"address","lon","lat"
"Shop 41 Town Hall Sq, Sydney NSW 2000",151.2053651,-33.8738198
"Shop 44 Town Hall Sq, Sydney NSW 2000",151.2053651,-33.8738198
"L 12 97- 99 Bathurst St, Sydney NSW 2000",151.205788,-33.8744757
"Sydney Medical Centre 580 George St, Sydney NSW 2000",151.2070915,-33.87482
"484 Kent St, Sydney NSW 2000",151.2053779,-33.8745025
"332 Pitt St, Sydney NSW 2000",151.2083593,-33.8760567
"Suite 26 Level 2 650 George St, Sydney NSW 2000",151.1753047,-33.8612148
"362 Pitt St, Sydney NSW 2000",151.2079429,-33.8773174
"370 Pitt St, Sydney NSW 2000",151.2079431,-33.877318
"Suite 1202/Lvl 12 370 Pitt St, Sydney NSW 2000",151.2040818,-33.8902793
"Suite 1208 Level 12 370 Pitt St, Sydney NSW 2000",151.2040818,-33.8902793
"Suite 1202, Level 12 The Chambers, 370 Pitt Street, Sydney NSW 2000",151.2079383,-33.8772971
"Suite 191, 569 George St The Summit, Sydney NSW 2000",151.2076327,-33.8647267
"Suite 191/ The Summit Building, 569 George St,, Sydney NSW 2000",151.2076327,-33.8647267
"Shop 8c/Upper Ground Floor 370 Pitt St, Sydney NSW 2000",151.2047411,-33.9018361
"World Tower Commercial Level 13/ 87-89 Liverpool St, Sydney NSW 2000",151.206883,-33.876613
"Shop 3 605 George St, Sydney NSW 2000",151.174904,-33.8612264
"410/ 3 Spring St, Sydney NSW 2000",151.2092642,-33.8642193
"Level 1 / 183 Macquarie St, Sydney NSW 2000",151.2121424,-33.8666132
"Suite 2 Ground Floor 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"30 Carrington St, Sydney NSW 2000",151.2066763,-33.866035
"Lvl 3/ 139 Macquarie St, Sydney NSW 2000",151.2124013,-33.8644407
"45-47 York St, Sydney NSW 2000",151.2055904,-33.866941
"Suite 101, 2nd Flr Strand Arcade 412 George St, Sydney NSW 2000",151.2076775,-33.8694348
"468 George St, Sydney NSW 2000",151.2071952,-33.8713162
"Level 4 257 Clarence St, Sydney NSW 2000",151.2054194,-33.8716142
"502/25 Lime St, King St Wharf Darling Harbour, Sydney NSW 2000",151.2017596,-33.8673436
"336 Sussex St, Sydney NSW 2000",151.2047196,-33.8755266
"World Square, 644 George St, Sydney NSW 2000",151.2068788,-33.8771813
"Ste 215/ 368 Sussex St, Sydney NSW 2000",151.2046972,-33.876426
