"POA_CODE_2016","low_income","high_income","p_income","f_income","h_income","chinese_p","english_only_n","non_english_n","owner","rent","rental","rent_distress","repay","repay_distress","house","semi","unit"
2065,9.20205011389522,41.2255125284738,6623,15829,12243,7.44464692482916,20005,4174,25.6428246013667,45.5339407744875,574.157175398633,13.1277904328018,2734.49430523918,5.29157175398633,21.5583143507973,15.7282460136674,62.1353075170843
2066,10.4063291139241,40.5548523206751,4888,15139,14055,9.06371308016878,12024,2293,29.8940928270042,32.7784810126582,611.945147679325,11.0860759493671,2895.17721518987,7.44092827004219,46.1641350210971,4.74472573839662,48.6160337552743
2067,17.8,27.2,737,2099,1881,35.2,8364,5994,26.9,47.1,600,23.4,2500,7.1,29.6,4.6,65.6
2068,10.3536585365854,51.6579268292683,4449,14861,13251,7.79024390243902,9252,1256,40.3487804878049,18.9817073170732,760.359756097561,7.16280487804878,3355.89024390244,7.58292682926829,80.2286585365854,6.77804878048781,12.3371951219512
2069,9.04761904761905,48.0148148148148,2990,9959,8658,14.3925925925926,9831,1558,44.5306878306878,17.4751322751323,724.78835978836,6.71428571428571,3109.07407407407,7.88571428571429,81.1978835978836,2.63280423280423,15.8687830687831
2070,11.653488372093,45.4813953488372,1901,6506,5560,17.8511627906977,8837,1657,41.0395348837209,21.5767441860465,671.488372093023,8.09767441860465,3139.53488372093,7.46744186046512,67.9325581395349,1.74186046511628,29.9209302325581
2071,13.4,43.4,739,2620,2524,34.8,1403,507,48.3,13,920,5,3100,10.4,99.7,0.3,0
2072,13.4,38.8,857,2629,2313,22.5,4289,1165,37.9,29.5,650,12.3,2800,7.9,56.6,4,39.3
2073,9.11694915254237,50.0813559322034,1961,6641,5945,12.6559322033898,11517,1667,41.2677966101695,15.1305084745763,673.559322033898,5.55084745762712,3066.10169491525,9.59322033898305,85.8576271186441,2.16610169491525,11.6440677966102
2074,10.3193370165746,44.7232044198895,1821,6006,5221,8.246408839779,11114,1349,41.1613259668508,14.5878453038674,633.259668508287,5.86685082872928,3000,7.89613259668508,81.6867403314917,3.22707182320442,14.9502762430939
2075,10.1017167381974,43.5261802575107,1867,5890,5415,12.2240343347639,14214,2209,43.0158798283262,13.8450643776824,727.510729613734,5.67210300429185,3024.98712446352,9.57038626609442,74.780686695279,8.1450643776824,16.9094420600858
2076,11.6602112676056,41.9242957746479,2553,8534,7426,9.24894366197183,17735,2323,40.4003521126761,15.8492957746479,591.338028169014,5.43802816901408,2927.18309859155,8.4862676056338,78.8003521126761,7.58591549295774,13.3172535211268
2077,14.4836538461538,22.3362980769231,2371,6551,5998,14.7581730769231,17683,5038,27.340625,34.396875,486.033653846154,14.2966346153846,2241.82692307692,8.396875,52.9197115384615,6.07427884615385,40.5151442307692
2079,9,34.2,828,2397,2268,4.3,5660,529,36.5,13.3,545,4.9,2400,8.7,95.2,4.1,0.3
2081,9.1,34.6,850,2511,2355,1.6,4030,243,36.4,12.3,550,3.4,2331,8.5,94,5.8,0
2082,9.5,29.3,824,2334,2138,0.9,4719,200,39,11.4,550,4.3,2383,10.2,95.9,3,0.8
2084,9.4,39.5,817,2457,2391,0.4,2610,120,41.8,14.9,650,6.5,2890,8.6,90,2.8,2.8
2085,12.44375,37.1326388888889,1635,5233,4747,2.56319444444444,9376,745,45.4881944444444,8.33472222222222,834.902777777778,3.01458333333333,3000,7.90555555555556,82.6902777777778,15.9583333333333,0.902777777777778
2086,9.8,40.1,863,2639,2514,3.7,10876,917,39.2,12.9,760,5.1,3000,10.1,93.3,4.7,1.6
2087,17.2,36.2,767,2556,2151,5.3,6209,755,39.3,19,600,8.2,2817,7.5,80.9,7.6,11
2088,10.7,44.9,1295,3671,2522,3.1,22190,2202,36.3,34.3,560,13.7,3000,6.1,35.4,12.1,51.7
2089,10.4,37.3,1356,3098,2301,5,7307,1203,23.5,52.9,550,15.3,2500,4.5,7.3,11.1,81
2092,8.4,54.2,1062,3672,3384,3.3,5891,448,39.6,16.6,780,7.1,3700,10.2,85.9,9,4.7
2093,8.47758620689655,56.4879310344828,3261,11468,10589,1.90172413793103,7550,420,44.6431034482759,10.8801724137931,994.336206896552,5.03706896551724,3918.40517241379,8.69310344827586,93.7344827586207,3.80603448275862,2.01465517241379
2095,12.4,42.8,1280,3277,2449,0,11811,1385,26.6,51,650,16.7,2882,3.8,11.3,11.1,76.9
2096,12.5,45.5,1031,3178,2693,0,2005,89,36.7,23.3,620,9.4,3100,7.6,70.8,8,16.2
2097,12.4,31.2,955,2483,2115,1.2,6340,498,33.3,30.1,530,11.6,2500,7.2,41.7,4.5,52.7
2099,15.6060428849903,23.3171539961014,3217,9266,8059,2.24931773879142,27734,4265,27.4099415204678,34.6846003898635,506.736842105263,15.4867446393762,2447.05263157895,8.31072124756335,43.3397660818713,6.34424951267057,49.6867446393762
2100,12.8063829787234,32.3744680851064,3357,9989,8991,3.44858156028369,16113,1651,30.8095744680851,23.8684397163121,581.460992907801,10.4312056737589,2717.24113475177,9.87943262411348,65.740780141844,9.78971631205674,23.1957446808511
2101,14.2713709677419,28.1536290322581,3447,9445,8390,0.278225806451613,16462,943,34.5637096774194,26.7729838709677,563.770161290323,11.1278225806452,2640.39112903226,7.90524193548387,54.7334677419355,8.50564516129032,34.0576612903226
2102,10,30.1,876,2366,2160,0,6051,453,30.1,18.2,680,9.2,2711,12,49.1,26.8,23.8
2105,6.9,24,965,2171,1800,0,505,19,35.5,16.6,465,8.7,2173,13.9,96.7,0,0
2110,13.268,47.004,2181,7438,5911,4.9664,7926,814,40.8712,21.9952,496.16,8.064,3372,8.0776,68.6592,10.7344,19.9504
