POA_CODE_2016,low_income,high_income,p_income,f_income,h_income,chinese_p,english_only_n,non_english_n,owner,rent,rental,rent_distress,repay,repay_distress,house,semi,unit
2024,11.679874213836477,41.632075471698116,2309,6344,4809,0.46037735849056605,8293,912,28.415723270440253,41.05157232704403,593.1446540880503,14.725157232704404,3308.1761006289307,6.023270440251572,25.460377358490565,21.547169811320753,51.269182389937114
2025,11.7,45.6,1375,3646,2529,1.6,5596,556,33.7,36.7,655,13.5,3033,5.3,15,33.5,50.2
2026,12.030322580645162,38.77053763440861,4962,12327,10320,0,22032,3577,20.58494623655914,53.804516129032265,636.8602150537635,20.33784946236559,2836.722580645161,4.923440860215054,10.00064516129032,16.27032258064516,72.61806451612904
2027,9.882352941176471,46.875735294117646,4671,11356,8808,3.4551470588235293,5917,716,40.60073529411765,38.64264705882353,742.6691176470588,14.008823529411766,3199.3161764705883,4.520588235294118,9.591911764705882,9.933088235294118,79.95808823529411
2028,11.599999999999998,43.8,1427,3421,2478,3.3,3449,417,34.3,41,680,15,3000,5.1,14.599999999999998,9.6,75.1
2029,11.9,38.4,1154,2942,2272,1.3,7380,974,30.1,43.2,600,19.2,3000,5.7,22.1,8.3,68.5
2030,10.233668341708542,47.5321608040201,3286,10403,8355,2.0919597989949748,10440,1270,41.015577889447236,24.185929648241206,668.4673366834171,11.774874371859296,3528.8643216080404,9.186934673366833,53.369346733668344,11.085427135678392,33.803517587939695
2031,12.44920634920635,35.289569160997736,2398,6132,4937,4.446712018140589,24196,3773,24.50068027210884,48.6875283446712,571.2698412698413,17.56621315192744,2774.360544217687,5.189795918367348,15.6421768707483,18.07777777777778,64.2156462585034
2032,56.3,8.6,400,1010,498,2.6,766,173,9.8,75.6,130,35.8,2550,0.6,15.5,67.1,17.4
2033,23,22.6,514,2200,1646,20.1,7100,2374,21.9,57.8,515,31.5,2600,4.7,19.2,6.5,72.9
2034,14.761386138613862,37.182178217821786,2040,5708,3913,0.810891089108911,14974,2014,22.203960396039605,52.693069306930695,512.049504950495,17.886138613861387,2823.8811881188117,4.362376237623762,15.985148514851485,10.800990099009901,72.25148514851486
2035,20.1,29,731,2286,1870,5.9,2315,538,38.1,24.4,420,9.8,2795,7.5,74.9,10.7,14.2
2036,20.286338797814206,26.079781420765023,2969,8310,7101,6.687978142076504,11506,2212,30.388524590163936,34.660655737704914,419,14.375409836065575,2547.6065573770493,7.622950819672131,47.39617486338798,24.884153005464483,27.271584699453555
2037,17.8,34.7,1063,2923,2143,13.600000000000001,2849,699,14.3,61.3,600,25.9,2900,5.1,1.6,41.60000000000001,55.89999999999999
2040,14.64877192982456,37.83684210526316,2225,6013,4566,2,16529,2213,24.555438596491225,38.94456140350877,540.6385964912281,13.937894736842106,3000,5.7814035087719295,30.66561403508772,45.66561403508772,22.07473684210526
2041,12.839912280701755,46.305263157894736,4172,11112,8260,0.9149122807017545,12582,1001,30.009649122807016,39.32587719298245,607.3245614035088,12.432456140350876,3074.561403508772,5.396491228070176,7.077192982456141,59.43289473684211,32.65833333333333
2042,13.5,30.5,1067,2694,2080,3.9000000000000004,10774,1430,15.8,58.4,520,22.6,2600,4,4.2,54,38.9
2043,9.7,39.3,1381,3011,2482,3.9000000000000004,5955,793,12.7,50.1,602,14.800000000000002,2600,6.8,3.5,40.2,55.3
