POA_NAME16,n_hospitals,n_schools,n_supermarkets,n_shoppingCentres,n_publicTransports,normalised_n_hospitals,normalised_n_schools,normalised_n_supermarkets,normalised_n_shoppingCentres,normalised_n_publicTransports,scaled_n_hospitals,scaled_n_schools,scaled_n_supermarkets,scaled_n_shoppingCentres,scaled_n_publicTransports,scaled_normalised_n_hospitals,scaled_normalised_n_schools,scaled_normalised_n_supermarkets,scaled_normalised_n_shoppingCentres,scaled_normalised_n_publicTransports
2050,2,0,0,0,0,0.002173913043478261,0,0,0,0,-0.04558039457506636,-0.16037883055411187,-0.7157596868143999,-0.2755283345134789,-0.3883747822311132,-0.045580394575066366,-0.16037883055411192,-0.7157596868143999,-0.27552833451347897,-0.3883747822311132
2065,6,2,4,0,2,0.006521739130434782,0.002107481559536354,0.1,0,0.04878048780487805,0.01729948969020671,-0.12979564115100112,0.2076586745696098,-0.2755283345134789,0.25328790145507385,0.017299489690206695,-0.12979564115100115,0.20765867456960985,-0.27552833451347897,0.25328790145507385
2067,2,6,10,4,2,0.002173913043478261,0.006322444678609062,0.25,0.3076923076923077,0.04878048780487805,-0.04558039457506636,-0.06862926234477962,1.5927862166456244,3.628568066389375,0.25328790145507385,-0.045580394575066366,-0.06862926234477965,1.5927862166456246,3.628568066389376,0.25328790145507385
2068,1,7,3,0,0,0.0010869565217391304,0.007376185458377239,0.075,0,0,-0.06130036564138463,-0.05333766764322425,-0.02319591577639263,-0.2755283345134789,-0.3883747822311132,-0.061300365641384635,-0.053337667643224264,-0.023195915776392684,-0.27552833451347897,-0.3883747822311132
2071,1,3,0,0,1,0.0010869565217391304,0.003161222339304531,0,0,0.024390243902439025,-0.06130036564138463,-0.11450404644944576,-0.7157596868143999,-0.2755283345134789,-0.06754344038801968,-0.061300365641384635,-0.11450404644944578,-0.7157596868143999,-0.27552833451347897,-0.06754344038801968
2074,1,5,2,0,2,0.0010869565217391304,0.005268703898840885,0.05,0,0.04878048780487805,-0.06130036564138463,-0.083920857046335,-0.25405050612239505,-0.2755283345134789,0.25328790145507385,-0.061300365641384635,-0.08392085704633502,-0.2540505061223951,-0.27552833451347897,0.25328790145507385
2076,3,15,1,0,2,0.003260869565217391,0.015806111696522657,0.025,0,0.04878048780487805,-0.029860423508748093,0.06899508996921876,-0.48490509646839747,-0.2755283345134789,0.25328790145507385,-0.0298604235087481,0.06899508996921878,-0.4849050964683975,-0.27552833451347897,0.25328790145507385
2077,4,10,3,1,3,0.004347826086956522,0.01053740779768177,0.075,0.07692307692307693,0.07317073170731707,-0.014140452442429825,-0.007462883538558121,-0.02319591577639263,0.7004957657122345,0.5741192432981673,-0.014140452442429832,-0.007462883538558135,-0.023195915776392684,0.7004957657122347,0.5741192432981673
2088,1,9,2,0,1,0.0010869565217391304,0.009483667017913594,0.05,0,0.024390243902439025,-0.06130036564138463,-0.022754478240113497,-0.25405050612239505,-0.2755283345134789,-0.06754344038801968,-0.061300365641384635,-0.022754478240113504,-0.2540505061223951,-0.27552833451347897,-0.06754344038801968
2090,1,2,1,0,0,0.0010869565217391304,0.002107481559536354,0.025,0,0,-0.06130036564138463,-0.12979564115100112,-0.48490509646839747,-0.2755283345134789,-0.3883747822311132,-0.061300365641384635,-0.12979564115100115,-0.4849050964683975,-0.27552833451347897,-0.3883747822311132
2095,1,4,2,0,1,0.0010869565217391304,0.004214963119072708,0.05,0,0.024390243902439025,-0.06130036564138463,-0.09921245174789038,-0.25405050612239505,-0.2755283345134789,-0.06754344038801968,-0.061300365641384635,-0.09921245174789041,-0.2540505061223951,-0.27552833451347897,-0.06754344038801968
2096,1,3,0,0,0,0.0010869565217391304,0.003161222339304531,0,0,0,-0.06130036564138463,-0.11450404644944576,-0.7157596868143999,-0.2755283345134789,-0.3883747822311132,-0.061300365641384635,-0.11450404644944578,-0.7157596868143999,-0.27552833451347897,-0.3883747822311132
2099,1,11,4,0,0,0.0010869565217391304,0.011591148577449948,0.1,0,0,-0.06130036564138463,0.007828711162997255,0.2076586745696098,-0.2755283345134789,-0.3883747822311132,-0.061300365641384635,0.007828711162997258,0.20765867456960985,-0.27552833451347897,-0.3883747822311132
2103,1,3,2,0,0,0.0010869565217391304,0.003161222339304531,0.05,0,0,-0.06130036564138463,-0.11450404644944576,-0.25405050612239505,-0.2755283345134789,-0.3883747822311132,-0.061300365641384635,-0.11450404644944578,-0.2540505061223951,-0.27552833451347897,-0.3883747822311132
2109,1,0,0,0,1,0.0010869565217391304,0,0,0,0.024390243902439025,-0.06130036564138463,-0.16037883055411187,-0.7157596868143999,-0.2755283345134789,-0.06754344038801968,-0.061300365641384635,-0.16037883055411192,-0.7157596868143999,-0.27552833451347897,-0.06754344038801968
2110,1,5,2,0,1,0.0010869565217391304,0.005268703898840885,0.05,0,0.024390243902439025,-0.06130036564138463,-0.083920857046335,-0.25405050612239505,-0.2755283345134789,-0.06754344038801968,-0.061300365641384635,-0.08392085704633502,-0.2540505061223951,-0.27552833451347897,-0.06754344038801968
2112,1,10,3,1,0,0.0010869565217391304,0.01053740779768177,0.075,0.07692307692307693,0,-0.06130036564138463,-0.007462883538558121,-0.02319591577639263,0.7004957657122345,-0.3883747822311132,-0.061300365641384635,-0.007462883538558135,-0.023195915776392684,0.7004957657122347,-0.3883747822311132
2113,2,3,2,1,5,0.002173913043478261,0.003161222339304531,0.05,0.07692307692307693,0.12195121951219512,-0.04558039457506636,-0.11450404644944576,-0.25405050612239505,0.7004957657122345,1.2157819269843544,-0.045580394575066366,-0.11450404644944578,-0.2540505061223951,0.7004957657122347,1.2157819269843544
2114,1,6,5,0,3,0.0010869565217391304,0.006322444678609062,0.125,0,0.07317073170731707,-0.06130036564138463,-0.06862926234477962,0.4385132649156122,-0.2755283345134789,0.5741192432981673,-0.061300365641384635,-0.06862926234477965,0.4385132649156122,-0.27552833451347897,0.5741192432981673
2117,1,6,3,0,2,0.0010869565217391304,0.006322444678609062,0.075,0,0.04878048780487805,-0.06130036564138463,-0.06862926234477962,-0.02319591577639263,-0.2755283345134789,0.25328790145507385,-0.061300365641384635,-0.06862926234477965,-0.023195915776392684,-0.27552833451347897,0.25328790145507385
2120,1,5,4,0,2,0.0010869565217391304,0.005268703898840885,0.1,0,0.04878048780487805,-0.06130036564138463,-0.083920857046335,0.2076586745696098,-0.2755283345134789,0.25328790145507385,-0.061300365641384635,-0.08392085704633502,0.20765867456960985,-0.27552833451347897,0.25328790145507385
2121,1,6,2,0,2,0.0010869565217391304,0.006322444678609062,0.05,0,0.04878048780487805,-0.06130036564138463,-0.06862926234477962,-0.25405050612239505,-0.2755283345134789,0.25328790145507385,-0.061300365641384635,-0.06862926234477965,-0.2540505061223951,-0.27552833451347897,0.25328790145507385
