,Couple family without children,Couple family with children,One parent family,Other family,Total families,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),Total families (%)
St Peters,255.0,169.0,74.0,22.0,520.0,49.0,32.5,14.2,4.2,--
Stanhope Gardens,332.0,353.0,94.0,11.0,790.0,42.0,44.7,11.9,1.4,--
Stanmore,710.0,631.0,213.0,76.0,1630.0,43.6,38.7,13.1,4.7,--
Stockton,380.0,408.0,223.0,29.0,1040.0,36.5,39.2,21.4,2.8,--
Strathfield,1425.0,2684.0,680.0,192.0,4981.0,28.6,53.9,13.7,3.9,--
Strathfield South,204.0,473.0,95.0,21.0,793.0,25.7,59.6,12.0,2.6,--
Summer Hill,573.0,577.0,241.0,62.0,1453.0,39.4,39.7,16.6,4.3,--
Surry Hills,1532.0,363.0,267.0,144.0,2306.0,66.4,15.7,11.6,6.2,--
Sutherland,1157.0,823.0,439.0,87.0,2506.0,46.2,32.8,17.5,3.5,--
Swansea,602.0,449.0,242.0,19.0,1312.0,45.9,34.2,18.4,1.4,--
Swansea Heads,69.0,81.0,25.0,0.0,175.0,39.4,46.3,14.3,0.0,--
Sydenham,81.0,94.0,54.0,14.0,243.0,33.3,38.7,22.2,5.8,--
Sydney,765.0,241.0,141.0,214.0,1361.0,56.2,17.7,10.4,15.7,--
Sylvania,957.0,1193.0,334.0,37.0,2521.0,38.0,47.3,13.2,1.5,--
Sylvania Waters,345.0,521.0,118.0,17.0,1001.0,34.5,52.0,11.8,1.7,--
Tacoma,47.0,101.0,36.0,0.0,184.0,25.5,54.9,19.6,0.0,--
Tacoma South,21.0,38.0,14.0,3.0,76.0,27.6,50.0,18.4,3.9,--
Tamarama,168.0,126.0,49.0,15.0,358.0,46.9,35.2,13.7,4.2,--
Taren Point,135.0,160.0,38.0,3.0,336.0,40.2,47.6,11.3,0.9,--
Tarrawanna,152.0,177.0,52.0,5.0,386.0,39.4,45.9,13.5,1.3,--
Tascott,195.0,226.0,72.0,5.0,498.0,39.2,45.4,14.5,1.0,--
Tempe,265.0,395.0,135.0,29.0,824.0,32.2,47.9,16.4,3.5,--
Teralba,137.0,158.0,65.0,7.0,367.0,37.3,43.1,17.7,1.9,--
Terrey Hills,209.0,467.0,86.0,7.0,769.0,27.2,60.7,11.2,0.9,--
Terrigal,1064.0,1137.0,387.0,36.0,2624.0,40.5,43.3,14.7,1.4,--
The Entrance,297.0,132.0,183.0,11.0,623.0,47.7,21.2,29.4,1.8,--
