,"Both employed, worked full-time","Both employed, worked part-time","One employed full-time, one part-time","One employed full-time, other not working","One employed part-time, other not working",Both not working,Other,Labour force status not stated,"Both employed, worked full-time (%)","Both employed, worked part-time (%)","One employed full-time, one part-time (%)","One employed full-time, other not working (%)","One employed part-time, other not working (%)",Both not working (%),Other (%),Labour force status not stated (%)
Stanmore (NSW),533.0,70.0,319.0,196.0,57.0,173.0,87.0,107.0,34.6,4.5,20.7,12.7,3.7,11.2,5.6,6.9
Stockton (NSW),123.0,22.0,178.0,104.0,35.0,198.0,47.0,52.0,16.2,2.9,23.5,13.7,4.6,26.1,6.2,6.9
Strathfield (NSW),1109.0,309.0,872.0,874.0,357.0,760.0,238.0,289.0,23.1,6.4,18.1,18.2,7.4,15.8,5.0,6.0
Strathfield South,189.0,19.0,142.0,129.0,49.0,108.0,49.0,29.0,26.5,2.7,19.9,18.1,6.9,15.1,6.9,4.1
Summer Hill (Ashfield - NSW),418.0,59.0,297.0,204.0,69.0,112.0,91.0,85.0,31.3,4.4,22.2,15.3,5.2,8.4,6.8,6.4
Surry Hills,1177.0,108.0,405.0,309.0,103.0,184.0,129.0,177.0,45.4,4.2,15.6,11.9,4.0,7.1,5.0,6.8
Sutherland (NSW),617.0,53.0,482.0,327.0,75.0,262.0,138.0,115.0,29.8,2.6,23.3,15.8,3.6,12.7,6.7,5.6
Swansea (NSW),114.0,20.0,143.0,129.0,84.0,408.0,54.0,62.0,11.2,2.0,14.1,12.7,8.3,40.2,5.3,6.1
Swansea Heads,32.0,9.0,36.0,26.0,8.0,42.0,4.0,9.0,19.3,5.4,21.7,15.7,4.8,25.3,2.4,5.4
Sydenham (NSW),56.0,5.0,32.0,26.0,4.0,30.0,17.0,11.0,30.9,2.8,17.7,14.4,2.2,16.6,9.4,6.1
Sydney,626.0,155.0,264.0,391.0,105.0,245.0,107.0,142.0,30.8,7.6,13.0,19.2,5.2,12.0,5.3,7.0
Sylvania,472.0,94.0,491.0,331.0,128.0,561.0,127.0,117.0,20.3,4.0,21.2,14.3,5.5,24.2,5.5,5.0
Sylvania Waters,181.0,36.0,161.0,113.0,31.0,176.0,43.0,45.0,23.0,4.6,20.5,14.4,3.9,22.4,5.5,5.7
Tacoma,35.0,6.0,40.0,18.0,10.0,29.0,15.0,11.0,21.3,3.7,24.4,11.0,6.1,17.7,9.1,6.7
Tacoma South,16.0,3.0,14.0,11.0,0.0,12.0,3.0,3.0,25.8,4.8,22.6,17.7,0.0,19.4,4.8,4.8
Tamarama,98.0,9.0,40.0,54.0,5.0,15.0,29.0,32.0,34.8,3.2,14.2,19.1,1.8,5.3,10.3,11.3
Taren Point,74.0,14.0,61.0,43.0,29.0,172.0,16.0,15.0,17.5,3.3,14.4,10.1,6.8,40.6,3.8,3.5
Tarrawanna,62.0,20.0,106.0,73.0,23.0,134.0,13.0,23.0,13.7,4.4,23.3,16.1,5.1,29.5,2.9,5.1
Tascott,63.0,13.0,88.0,56.0,24.0,86.0,31.0,21.0,16.5,3.4,23.0,14.7,6.3,22.5,8.1,5.5
Tempe,184.0,27.0,148.0,93.0,21.0,127.0,45.0,45.0,26.7,3.9,21.4,13.5,3.0,18.4,6.5,6.5
Teralba,58.0,13.0,61.0,40.0,18.0,80.0,14.0,17.0,19.3,4.3,20.3,13.3,6.0,26.6,4.7,5.6
Terrey Hills,135.0,53.0,209.0,96.0,48.0,115.0,41.0,35.0,18.4,7.2,28.6,13.1,6.6,15.7,5.6,4.8
Terrigal,439.0,93.0,550.0,334.0,138.0,556.0,141.0,162.0,18.2,3.9,22.8,13.8,5.7,23.0,5.8,6.7
The Entrance,72.0,15.0,72.0,76.0,41.0,230.0,40.0,46.0,12.2,2.5,12.2,12.8,6.9,38.9,6.8,7.8
The Entrance North,34.0,8.0,57.0,33.0,19.0,75.0,17.0,21.0,12.9,3.0,21.6,12.5,7.2,28.4,6.4,8.0
The Hill,92.0,12.0,73.0,45.0,18.0,47.0,24.0,22.0,27.6,3.6,21.9,13.5,5.4,14.1,7.2,6.6
The Junction,79.0,16.0,49.0,25.0,18.0,54.0,22.0,27.0,27.2,5.5,16.9,8.6,6.2,18.6,7.6,9.3
Thirroul,252.0,68.0,338.0,202.0,62.0,209.0,91.0,80.0,19.4,5.2,26.0,15.5,4.8,16.1,7.0,6.1
Thornleigh,461.0,59.0,494.0,315.0,84.0,294.0,130.0,104.0,23.8,3.0,25.5,16.2,4.3,15.1,6.7,5.4
Tighes Hill,58.0,17.0,67.0,46.0,24.0,52.0,15.0,21.0,19.3,5.7,22.3,15.3,8.0,17.3,5.0,7.0
Tingira Heights,84.0,15.0,137.0,71.0,21.0,78.0,36.0,33.0,17.7,3.2,28.8,14.9,4.4,16.4,7.6,6.9
Toongabbie (NSW),756.0,82.0,563.0,574.0,169.0,550.0,154.0,128.0,25.4,2.8,18.9,19.3,5.7,18.5,5.2,4.3
Toowoon Bay,22.0,3.0,18.0,10.0,6.0,44.0,3.0,10.0,19.0,2.6,15.5,8.6,5.2,37.9,2.6,8.6
Toronto,165.0,35.0,152.0,151.0,79.0,380.0,60.0,69.0,15.1,3.2,13.9,13.8,7.2,34.8,5.5,6.3
Toukley,127.0,25.0,116.0,82.0,41.0,291.0,46.0,65.0,16.0,3.2,14.6,10.3,5.2,36.7,5.8,8.2
Towradgi,134.0,15.0,150.0,81.0,39.0,162.0,36.0,41.0,20.4,2.3,22.8,12.3,5.9,24.6,5.5,6.2
Tregear,63.0,9.0,60.0,130.0,37.0,192.0,37.0,36.0,11.2,1.6,10.6,23.0,6.6,34.0,6.6,6.4
Tuggerah,42.0,3.0,34.0,42.0,6.0,41.0,14.0,8.0,22.1,1.6,17.9,22.1,3.2,21.6,7.4,4.2
Tuggerawong,49.0,5.0,61.0,32.0,17.0,48.0,12.0,15.0,20.5,2.1,25.5,13.4,7.1,20.1,5.0,6.3
Tumbi Umbi,193.0,34.0,296.0,156.0,51.0,304.0,45.0,79.0,16.7,2.9,25.6,13.5,4.4,26.3,3.9,6.8
Turramurra,516.0,108.0,628.0,505.0,158.0,466.0,144.0,182.0,19.1,4.0,23.2,18.7,5.8,17.2,5.3,6.7
Turrella,66.0,7.0,55.0,70.0,25.0,84.0,24.0,18.0,18.9,2.0,15.8,20.1,7.2,24.1,6.9,5.2
Ultimo,318.0,37.0,108.0,156.0,63.0,125.0,50.0,65.0,34.5,4.0,11.7,16.9,6.8,13.6,5.4,7.0
Umina Beach,567.0,133.0,679.0,539.0,171.0,880.0,204.0,178.0,16.9,4.0,20.3,16.1,5.1,26.3,6.1,5.3
Unanderra,147.0,30.0,208.0,169.0,72.0,345.0,77.0,68.0,13.2,2.7,18.6,15.1,6.5,30.9,6.9,6.1
Valentine (NSW),273.0,42.0,412.0,179.0,75.0,345.0,81.0,86.0,18.3,2.8,27.6,12.0,5.0,23.1,5.4,5.8
Valley Heights,71.0,12.0,89.0,57.0,18.0,57.0,22.0,17.0,20.7,3.5,25.9,16.6,5.2,16.6,6.4,5.0
Vaucluse,453.0,117.0,451.0,377.0,100.0,270.0,131.0,152.0,22.1,5.7,22.0,18.4,4.9,13.2,6.4,7.4
Villawood,77.0,14.0,56.0,150.0,68.0,337.0,44.0,55.0,9.6,1.7,7.0,18.7,8.5,42.1,5.5,6.9
Voyager Point,122.0,4.0,77.0,64.0,7.0,27.0,24.0,17.0,35.7,1.2,22.5,18.7,2.0,7.9,7.0,5.0
Wahroonga,838.0,150.0,890.0,725.0,222.0,667.0,199.0,239.0,21.3,3.8,22.6,18.4,5.6,17.0,5.1,6.1
Waitara,326.0,34.0,178.0,314.0,52.0,196.0,65.0,83.0,26.1,2.7,14.3,25.2,4.2,15.7,5.2,6.7
Wakeley,199.0,38.0,129.0,225.0,79.0,287.0,53.0,49.0,18.8,3.6,12.2,21.2,7.5,27.1,5.0,4.6
Wallsend,460.0,84.0,553.0,348.0,138.0,649.0,143.0,135.0,18.3,3.3,22.0,13.9,5.5,25.9,5.7,5.4
Wamberal,283.0,70.0,409.0,215.0,65.0,281.0,83.0,81.0,19.0,4.7,27.5,14.5,4.4,18.9,5.6,5.4
Warabrook,112.0,12.0,82.0,70.0,26.0,90.0,28.0,26.0,25.1,2.7,18.4,15.7,5.8,20.2,6.3,5.8
Waratah (NSW),155.0,29.0,162.0,99.0,32.0,137.0,56.0,49.0,21.6,4.0,22.5,13.8,4.5,19.1,7.8,6.8
Waratah West,83.0,15.0,84.0,63.0,32.0,152.0,29.0,30.0,17.0,3.1,17.2,12.9,6.6,31.1,5.9,6.1
Wareemba,90.0,10.0,87.0,34.0,17.0,67.0,26.0,27.0,25.1,2.8,24.3,9.5,4.7,18.7,7.3,7.5
Warilla,151.0,30.0,176.0,191.0,68.0,444.0,68.0,61.0,12.7,2.5,14.8,16.1,5.7,37.3,5.7,5.1
Warners Bay,300.0,50.0,382.0,215.0,95.0,501.0,104.0,99.0,17.2,2.9,21.9,12.3,5.4,28.7,6.0,5.7
