,"Both employed, worked full-time","Both employed, worked part-time","One employed full-time, one part-time","One employed full-time, other not working","One employed part-time, other not working",Both not working,Other,Labour force status not stated,"Both employed, worked full-time (%)","Both employed, worked part-time (%)","One employed full-time, one part-time (%)","One employed full-time, other not working (%)","One employed part-time, other not working (%)",Both not working (%),Other (%),Labour force status not stated (%)
Dee Why,1412.0,194.0,980.0,646.0,200.0,466.0,283.0,249.0,31.9,4.4,22.1,14.6,4.5,10.5,6.4,5.6
Denistone,174.0,34.0,234.0,151.0,40.0,150.0,58.0,50.0,19.5,3.8,26.3,16.9,4.5,16.8,6.5,5.6
Denistone East,136.0,8.0,127.0,89.0,29.0,81.0,24.0,29.0,26.0,1.5,24.3,17.0,5.5,15.5,4.6,5.5
Denistone West,48.0,10.0,64.0,45.0,7.0,36.0,10.0,8.0,21.1,4.4,28.1,19.7,3.1,15.8,4.4,3.5
Dharruk,95.0,10.0,70.0,113.0,41.0,128.0,32.0,40.0,18.0,1.9,13.2,21.4,7.8,24.2,6.0,7.6
Dolans Bay,20.0,8.0,36.0,23.0,16.0,33.0,6.0,5.0,13.6,5.4,24.5,15.6,10.9,22.4,4.1,3.4
Dolls Point,106.0,14.0,63.0,76.0,18.0,77.0,18.0,21.0,27.0,3.6,16.0,19.3,4.6,19.6,4.6,5.3
Doonside,539.0,66.0,390.0,474.0,134.0,559.0,154.0,139.0,22.0,2.7,15.9,19.3,5.5,22.8,6.3,5.7
Double Bay,271.0,50.0,155.0,139.0,60.0,126.0,43.0,60.0,30.0,5.5,17.1,15.4,6.6,13.9,4.8,6.6
Dover Heights,182.0,46.0,260.0,181.0,49.0,131.0,56.0,54.0,19.0,4.8,27.1,18.9,5.1,13.7,5.8,5.6
Drummoyne,769.0,108.0,532.0,367.0,108.0,347.0,160.0,170.0,30.0,4.2,20.8,14.3,4.2,13.5,6.2,6.6
Dudley,102.0,15.0,135.0,81.0,34.0,122.0,31.0,31.0,18.5,2.7,24.5,14.7,6.2,22.1,5.6,5.6
Dulwich Hill,731.0,110.0,572.0,364.0,105.0,420.0,179.0,159.0,27.7,4.2,21.7,13.8,4.0,15.9,6.8,6.0
Dundas (NSW),206.0,24.0,173.0,175.0,53.0,126.0,47.0,47.0,24.2,2.8,20.3,20.6,6.2,14.8,5.5,5.5
Dundas Valley,233.0,36.0,227.0,191.0,55.0,158.0,57.0,42.0,23.3,3.6,22.7,19.1,5.5,15.8,5.7,4.2
Dural (Hornsby - NSW),392.0,71.0,443.0,309.0,99.0,243.0,75.0,107.0,22.5,4.1,25.5,17.8,5.7,14.0,4.3,6.2
Eagle Vale,329.0,24.0,207.0,246.0,56.0,163.0,82.0,63.0,28.1,2.1,17.7,21.0,4.8,13.9,7.0,5.4
Earlwood,800.0,133.0,762.0,613.0,195.0,1055.0,232.0,234.0,19.9,3.3,18.9,15.2,4.8,26.2,5.8,5.8
East Gosford,149.0,37.0,153.0,122.0,38.0,205.0,42.0,53.0,18.6,4.6,19.1,15.3,4.8,25.7,5.3,6.6
East Hills,179.0,15.0,165.0,96.0,38.0,140.0,44.0,25.0,25.5,2.1,23.5,13.7,5.4,19.9,6.3,3.6
East Killara,124.0,37.0,132.0,140.0,52.0,141.0,31.0,55.0,17.4,5.2,18.5,19.7,7.3,19.8,4.4,7.7
East Lindfield,135.0,24.0,203.0,179.0,42.0,173.0,39.0,75.0,15.5,2.8,23.3,20.6,4.8,19.9,4.5,8.6
East Ryde,130.0,20.0,143.0,60.0,31.0,130.0,31.0,39.0,22.3,3.4,24.5,10.3,5.3,22.3,5.3,6.7
Eastern Creek,39.0,3.0,23.0,38.0,8.0,31.0,8.0,3.0,25.5,2.0,15.0,24.8,5.2,20.3,5.2,2.0
Eastlakes,233.0,39.0,211.0,265.0,119.0,321.0,82.0,91.0,17.1,2.9,15.5,19.5,8.7,23.6,6.0,6.7
Eastwood (NSW),785.0,154.0,658.0,681.0,229.0,720.0,190.0,184.0,21.8,4.3,18.3,18.9,6.4,20.0,5.3,5.1
Edensor Park,442.0,62.0,334.0,415.0,136.0,490.0,112.0,92.0,21.2,3.0,16.0,19.9,6.5,23.5,5.4,4.4
Edgecliff,134.0,16.0,69.0,45.0,18.0,55.0,18.0,20.0,35.7,4.3,18.4,12.0,4.8,14.7,4.8,5.3
Edgeworth,275.0,26.0,307.0,212.0,63.0,346.0,92.0,59.0,19.9,1.9,22.2,15.4,4.6,25.1,6.7,4.3
Elanora Heights,198.0,47.0,291.0,99.0,44.0,154.0,62.0,60.0,20.7,4.9,30.5,10.4,4.6,16.1,6.5,6.3
Elderslie (Camden - NSW),273.0,25.0,265.0,148.0,40.0,155.0,75.0,38.0,26.8,2.5,26.0,14.5,3.9,15.2,7.4,3.7
Eleebana,292.0,47.0,389.0,196.0,68.0,304.0,70.0,110.0,19.8,3.2,26.4,13.3,4.6,20.6,4.7,7.5
Elermore Vale,219.0,39.0,277.0,192.0,66.0,284.0,69.0,61.0,18.1,3.2,22.9,15.9,5.5,23.5,5.7,5.1
Elizabeth Bay,353.0,36.0,141.0,134.0,37.0,69.0,45.0,85.0,39.2,4.0,15.7,14.9,4.1,7.7,5.0,9.4
Emerton,52.0,4.0,43.0,85.0,21.0,93.0,20.0,21.0,15.3,1.2,12.7,25.1,6.2,27.4,5.9,6.2
Empire Bay,102.0,21.0,116.0,83.0,26.0,110.0,32.0,47.0,19.0,3.9,21.6,15.5,4.8,20.5,6.0,8.8
Emu Heights (NSW),204.0,16.0,227.0,136.0,28.0,82.0,50.0,32.0,26.3,2.1,29.3,17.5,3.6,10.6,6.5,4.1
Emu Plains,427.0,52.0,436.0,343.0,67.0,341.0,109.0,96.0,22.8,2.8,23.3,18.3,3.6,18.2,5.8,5.1
Enfield (NSW),131.0,21.0,94.0,102.0,40.0,118.0,38.0,26.0,23.0,3.7,16.5,17.9,7.0,20.7,6.7,4.6
Engadine,844.0,121.0,1229.0,590.0,195.0,742.0,311.0,171.0,20.1,2.9,29.2,14.0,4.6,17.7,7.4,4.1
Enmore (Marrickville - NSW),219.0,25.0,149.0,72.0,24.0,75.0,44.0,34.0,34.1,3.9,23.2,11.2,3.7,11.7,6.9,5.3
Epping (NSW),1103.0,221.0,929.0,954.0,293.0,833.0,206.0,300.0,22.8,4.6,19.2,19.7,6.1,17.2,4.3,6.2
Erina,134.0,20.0,179.0,122.0,48.0,382.0,38.0,56.0,13.7,2.0,18.3,12.5,4.9,39.0,3.9,5.7
Ermington,493.0,65.0,384.0,340.0,97.0,411.0,115.0,104.0,24.5,3.2,19.1,16.9,4.8,20.5,5.7,5.2
Erskine Park,482.0,27.0,385.0,288.0,53.0,106.0,101.0,80.0,31.7,1.8,25.3,18.9,3.5,7.0,6.6,5.3
Erskineville,746.0,46.0,301.0,169.0,34.0,68.0,85.0,91.0,48.4,3.0,19.5,11.0,2.2,4.4,5.5,5.9
Eschol Park,139.0,12.0,131.0,134.0,15.0,71.0,33.0,35.0,24.4,2.1,23.0,23.5,2.6,12.5,5.8,6.1
Ettalong Beach,104.0,26.0,109.0,121.0,54.0,320.0,52.0,59.0,12.3,3.1,12.9,14.3,6.4,37.9,6.2,7.0
Fairfield (NSW),386.0,76.0,223.0,585.0,271.0,1381.0,151.0,206.0,11.8,2.3,6.8,17.8,8.3,42.1,4.6,6.3
Fairfield East,136.0,18.0,91.0,178.0,84.0,327.0,42.0,52.0,14.7,1.9,9.8,19.2,9.1,35.2,4.5,5.6
Fairfield Heights,165.0,28.0,103.0,220.0,84.0,498.0,69.0,86.0,13.2,2.2,8.2,17.6,6.7,39.7,5.5,6.9
Fairfield West,360.0,35.0,243.0,433.0,194.0,738.0,124.0,107.0,16.1,1.6,10.9,19.4,8.7,33.0,5.6,4.8
Fairlight,370.0,61.0,290.0,204.0,60.0,168.0,88.0,95.0,27.7,4.6,21.7,15.3,4.5,12.6,6.6,7.1
Fairy Meadow,217.0,42.0,256.0,193.0,77.0,395.0,75.0,85.0,16.2,3.1,19.1,14.4,5.7,29.5,5.6,6.3
Farmborough Heights,187.0,33.0,262.0,190.0,48.0,180.0,81.0,50.0,18.1,3.2,25.4,18.4,4.7,17.5,7.9,4.8
Faulconbridge,193.0,44.0,264.0,153.0,43.0,155.0,71.0,41.0,20.0,4.6,27.4,15.9,4.5,16.1,7.4,4.3
Fennell Bay,39.0,8.0,75.0,51.0,22.0,107.0,21.0,24.0,11.2,2.3,21.6,14.7,6.3,30.8,6.1,6.9
Figtree,477.0,88.0,618.0,350.0,129.0,578.0,179.0,155.0,18.5,3.4,24.0,13.6,5.0,22.5,7.0,6.0
Five Dock,523.0,59.0,458.0,272.0,90.0,363.0,133.0,126.0,25.8,2.9,22.6,13.4,4.4,17.9,6.6,6.2
Fletcher (NSW),171.0,23.0,211.0,120.0,17.0,57.0,47.0,36.0,25.1,3.4,30.9,17.6,2.5,8.4,6.9,5.3
Flinders (NSW),269.0,31.0,323.0,225.0,48.0,186.0,91.0,71.0,21.6,2.5,26.0,18.1,3.9,15.0,7.3,5.7
Floraville,78.0,19.0,101.0,53.0,22.0,65.0,17.0,16.0,21.0,5.1,27.2,14.3,5.9,17.5,4.6,4.3
Forest Lodge,179.0,17.0,109.0,78.0,23.0,34.0,44.0,28.0,35.0,3.3,21.3,15.2,4.5,6.6,8.6,5.5
Forestville (NSW),331.0,74.0,481.0,268.0,109.0,405.0,92.0,101.0,17.8,4.0,25.8,14.4,5.9,21.8,4.9,5.4
Forresters Beach,129.0,25.0,153.0,81.0,30.0,110.0,36.0,43.0,21.3,4.1,25.2,13.3,4.9,18.1,5.9,7.1
Frenchs Forest,663.0,129.0,936.0,508.0,188.0,568.0,170.0,177.0,19.9,3.9,28.0,15.2,5.6,17.0,5.1,5.3
Garden Suburb,104.0,17.0,120.0,66.0,28.0,94.0,22.0,16.0,22.3,3.6,25.7,14.1,6.0,20.1,4.7,3.4
Gateshead,92.0,18.0,130.0,99.0,45.0,204.0,40.0,32.0,13.9,2.7,19.7,15.0,6.8,30.9,6.1,4.8
Georges Hall,390.0,50.0,328.0,335.0,142.0,477.0,121.0,98.0,20.1,2.6,16.9,17.3,7.3,24.6,6.2,5.0
Georgetown (NSW),99.0,19.0,104.0,62.0,23.0,70.0,29.0,19.0,23.3,4.5,24.5,14.6,5.4,16.5,6.8,4.5
Girraween (NSW),263.0,39.0,161.0,251.0,61.0,203.0,45.0,53.0,24.4,3.6,15.0,23.3,5.7,18.9,4.2,4.9
Gladesville,647.0,80.0,572.0,391.0,98.0,369.0,133.0,135.0,26.7,3.3,23.6,16.1,4.0,15.2,5.5,5.6
Glebe (NSW),573.0,74.0,349.0,277.0,89.0,246.0,114.0,135.0,30.9,4.0,18.8,14.9,4.8,13.2,6.1,7.3
Glen Alpine,337.0,34.0,281.0,178.0,47.0,123.0,68.0,50.0,30.1,3.0,25.1,15.9,4.2,11.0,6.1,4.5
Glenbrook,262.0,43.0,349.0,188.0,69.0,167.0,68.0,54.0,21.8,3.6,29.1,15.7,5.8,13.9,5.7,4.5
Glendale (NSW),137.0,28.0,165.0,105.0,35.0,179.0,40.0,48.0,18.6,3.8,22.4,14.2,4.7,24.3,5.4,6.5
Glendenning,374.0,24.0,214.0,241.0,43.0,94.0,78.0,51.0,33.4,2.1,19.1,21.5,3.8,8.4,7.0,4.6
Glenfield (NSW),461.0,36.0,293.0,342.0,80.0,223.0,93.0,97.0,28.4,2.2,18.0,21.0,4.9,13.7,5.7,6.0
Glenhaven,331.0,66.0,406.0,232.0,62.0,300.0,71.0,102.0,21.1,4.2,25.9,14.8,3.9,19.1,4.5,6.5
Glenmore Park,1568.0,94.0,1269.0,853.0,143.0,359.0,328.0,219.0,32.4,1.9,26.3,17.6,3.0,7.4,6.8,4.5
Glenning Valley,109.0,26.0,122.0,82.0,15.0,77.0,34.0,23.0,22.3,5.3,25.0,16.8,3.1,15.8,7.0,4.7
Glenwood (NSW),1199.0,97.0,832.0,681.0,119.0,314.0,214.0,166.0,33.1,2.7,23.0,18.8,3.3,8.7,5.9,4.6
Gordon (NSW),317.0,82.0,314.0,313.0,103.0,274.0,67.0,104.0,20.1,5.2,19.9,19.9,6.5,17.4,4.3,6.6
Gorokan,202.0,42.0,259.0,223.0,89.0,506.0,89.0,93.0,13.4,2.8,17.2,14.8,5.9,33.7,5.9,6.2
Gosford,173.0,23.0,87.0,95.0,44.0,100.0,45.0,30.0,29.0,3.9,14.6,15.9,7.4,16.8,7.5,5.0
Granville (NSW),474.0,110.0,351.0,598.0,236.0,608.0,153.0,169.0,17.6,4.1,13.0,22.2,8.7,22.5,5.7,6.3
Grays Point,161.0,36.0,207.0,86.0,36.0,109.0,37.0,51.0,22.3,5.0,28.6,11.9,5.0,15.1,5.1,7.1
Green Point (Great Lakes - NSW),23.0,11.0,23.0,10.0,10.0,49.0,14.0,13.0,15.0,7.2,15.0,6.5,6.5,32.0,9.2,8.5
Green Valley (NSW),603.0,59.0,375.0,591.0,155.0,494.0,181.0,120.0,23.4,2.3,14.5,22.9,6.0,19.2,7.0,4.7
Greenacre,576.0,137.0,540.0,902.0,443.0,1340.0,241.0,296.0,12.9,3.1,12.1,20.2,9.9,29.9,5.4,6.6
Greenfield Park,175.0,28.0,139.0,221.0,74.0,293.0,49.0,69.0,16.7,2.7,13.3,21.1,7.1,28.0,4.7,6.6
Greenwich,317.0,42.0,259.0,208.0,48.0,185.0,65.0,87.0,26.2,3.5,21.4,17.2,4.0,15.3,5.4,7.2
Greystanes,1092.0,145.0,1011.0,905.0,278.0,1152.0,339.0,231.0,21.2,2.8,19.6,17.6,5.4,22.4,6.6,4.5
Guildford (NSW),555.0,91.0,367.0,755.0,346.0,1105.0,224.0,243.0,15.1,2.5,10.0,20.5,9.4,30.0,6.1,6.6
Guildford West,171.0,29.0,125.0,177.0,63.0,229.0,63.0,52.0,18.8,3.2,13.8,19.5,6.9,25.2,6.9,5.7
Gwynneville,69.0,20.0,88.0,64.0,48.0,147.0,29.0,30.0,13.9,4.0,17.8,12.9,9.7,29.7,5.9,6.1
Gymea,425.0,44.0,394.0,212.0,73.0,329.0,95.0,101.0,25.4,2.6,23.6,12.7,4.4,19.7,5.7,6.0
Gymea Bay,355.0,71.0,513.0,242.0,70.0,280.0,108.0,88.0,20.6,4.1,29.7,14.0,4.1,16.2,6.3,5.1
Haberfield,323.0,54.0,373.0,193.0,60.0,324.0,89.0,86.0,21.5,3.6,24.8,12.8,4.0,21.6,5.9,5.7
Halekulani,68.0,12.0,93.0,73.0,29.0,201.0,33.0,40.0,12.4,2.2,16.9,13.3,5.3,36.6,6.0,7.3
Hamilton (NSW),157.0,33.0,166.0,106.0,41.0,149.0,45.0,51.0,21.0,4.4,22.2,14.2,5.5,19.9,6.0,6.8
Hamilton East,45.0,11.0,61.0,30.0,15.0,33.0,13.0,9.0,20.7,5.1,28.1,13.8,6.9,15.2,6.0,4.1
Hamilton North,43.0,9.0,50.0,20.0,7.0,16.0,15.0,4.0,26.2,5.5,30.5,12.2,4.3,9.8,9.1,2.4
Hamilton South,129.0,28.0,178.0,90.0,39.0,189.0,47.0,68.0,16.8,3.6,23.2,11.7,5.1,24.6,6.1,8.9
Hammondville,203.0,17.0,150.0,95.0,26.0,99.0,49.0,24.0,30.6,2.6,22.6,14.3,3.9,14.9,7.4,3.6
Harrington Park,535.0,38.0,557.0,291.0,53.0,168.0,116.0,102.0,28.8,2.0,29.9,15.6,2.8,9.0,6.2,5.5
Harris Park,213.0,51.0,151.0,300.0,94.0,153.0,39.0,81.0,19.7,4.7,14.0,27.7,8.7,14.1,3.6,7.5
Hassall Grove,269.0,19.0,156.0,213.0,49.0,105.0,66.0,65.0,28.6,2.0,16.6,22.6,5.2,11.1,7.0,6.9
Haymarket,134.0,59.0,73.0,105.0,59.0,106.0,41.0,46.0,21.5,9.5,11.7,16.9,9.5,17.0,6.6,7.4
Heathcote (NSW),249.0,48.0,443.0,196.0,67.0,256.0,89.0,70.0,17.6,3.4,31.2,13.8,4.7,18.1,6.3,4.9
Hebersham,181.0,25.0,158.0,205.0,65.0,254.0,62.0,60.0,17.9,2.5,15.6,20.3,6.4,25.1,6.1,5.9
Heckenberg,63.0,7.0,41.0,86.0,46.0,153.0,24.0,33.0,13.9,1.5,9.1,19.0,10.2,33.8,5.3,7.3
Henley,20.0,4.0,33.0,14.0,13.0,9.0,4.0,11.0,18.5,3.7,30.6,13.0,12.0,8.3,3.7,10.2
Highfields (NSW),42.0,10.0,66.0,29.0,14.0,52.0,16.0,16.0,17.1,4.1,26.9,11.8,5.7,21.2,6.5,6.5
Hillsborough (Lake Macquarie - NSW),26.0,3.0,53.0,14.0,4.0,30.0,12.0,10.0,17.1,2.0,34.9,9.2,2.6,19.7,7.9,6.6
Hillsdale,230.0,59.0,162.0,199.0,75.0,162.0,77.0,55.0,22.6,5.8,15.9,19.5,7.4,15.9,7.6,5.4
Hinchinbrook (NSW),589.0,61.0,408.0,482.0,122.0,354.0,180.0,120.0,25.4,2.6,17.6,20.8,5.3,15.3,7.8,5.2
Holmesville,52.0,5.0,94.0,64.0,14.0,68.0,20.0,12.0,15.8,1.5,28.6,19.5,4.3,20.7,6.1,3.6
Holsworthy,384.0,21.0,260.0,221.0,27.0,54.0,81.0,76.0,34.2,1.9,23.1,19.7,2.4,4.8,7.2,6.8
Homebush (NSW),336.0,55.0,204.0,267.0,77.0,161.0,69.0,73.0,27.1,4.4,16.4,21.5,6.2,13.0,5.6,5.9
Homebush West,348.0,48.0,163.0,317.0,94.0,174.0,93.0,63.0,26.8,3.7,12.5,24.4,7.2,13.4,7.2,4.8
Horningsea Park,267.0,18.0,182.0,175.0,33.0,73.0,62.0,32.0,31.7,2.1,21.6,20.8,3.9,8.7,7.4,3.8
Hornsby,1113.0,188.0,955.0,865.0,256.0,615.0,261.0,254.0,24.7,4.2,21.2,19.2,5.7,13.6,5.8,5.6
Hornsby Heights,347.0,70.0,445.0,238.0,69.0,213.0,85.0,94.0,22.2,4.5,28.5,15.2,4.4,13.6,5.4,6.0
Horsley,381.0,42.0,480.0,291.0,66.0,242.0,120.0,92.0,22.2,2.5,28.0,17.0,3.9,14.1,7.0,5.4
Hoxton Park,264.0,33.0,154.0,211.0,47.0,138.0,65.0,44.0,27.6,3.5,16.1,22.1,4.9,14.4,6.8,4.6
Hunters Hill,407.0,70.0,439.0,386.0,109.0,262.0,80.0,118.0,21.8,3.7,23.5,20.6,5.8,14.0,4.3,6.3
Huntleys Point,4.0,3.0,11.0,3.0,3.0,7.0,3.0,3.0,10.8,8.1,29.7,8.1,8.1,18.9,8.1,8.1
Hurlstone Park,263.0,48.0,200.0,150.0,51.0,237.0,63.0,70.0,24.3,4.4,18.5,13.9,4.7,21.9,5.8,6.5
Hurstville,1202.0,248.0,824.0,1115.0,395.0,1216.0,309.0,329.0,21.3,4.4,14.6,19.8,7.0,21.6,5.5,5.8
Hurstville Grove,132.0,19.0,136.0,71.0,37.0,112.0,38.0,41.0,22.5,3.2,23.2,12.1,6.3,19.1,6.5,7.0
Illawong,452.0,65.0,496.0,260.0,107.0,248.0,121.0,90.0,24.6,3.5,27.0,14.1,5.8,13.5,6.6,4.9
Ingleburn,716.0,76.0,499.0,703.0,154.0,524.0,164.0,152.0,24.0,2.5,16.7,23.5,5.2,17.5,5.5,5.1
Ingleside,44.0,15.0,73.0,36.0,19.0,38.0,12.0,21.0,17.1,5.8,28.3,14.0,7.4,14.7,4.7,8.1
Islington,80.0,13.0,50.0,47.0,12.0,56.0,20.0,17.0,27.1,4.4,16.9,15.9,4.1,19.0,6.8,5.8
Jamisontown,294.0,38.0,240.0,195.0,52.0,168.0,78.0,49.0,26.4,3.4,21.5,17.5,4.7,15.1,7.0,4.4
Jannali,319.0,38.0,354.0,189.0,58.0,195.0,94.0,50.0,24.6,2.9,27.3,14.6,4.5,15.0,7.2,3.9
Jesmond,53.0,11.0,57.0,59.0,33.0,119.0,23.0,19.0,14.2,2.9,15.2,15.8,8.8,31.8,6.1,5.1
Jewells,145.0,38.0,167.0,87.0,28.0,213.0,57.0,38.0,18.8,4.9,21.6,11.3,3.6,27.6,7.4,4.9
Kahibah,114.0,17.0,109.0,44.0,25.0,121.0,30.0,18.0,23.8,3.6,22.8,9.2,5.2,25.3,6.3,3.8
Kanahooka,200.0,32.0,261.0,151.0,71.0,402.0,65.0,72.0,15.9,2.6,20.8,12.0,5.7,32.1,5.2,5.7
Kangaroo Point (NSW),34.0,9.0,36.0,16.0,12.0,36.0,9.0,6.0,21.5,5.7,22.8,10.1,7.6,22.8,5.7,3.8
Kanwal,116.0,10.0,163.0,118.0,40.0,216.0,30.0,44.0,15.7,1.4,22.1,16.0,5.4,29.3,4.1,6.0
Kareela,173.0,30.0,238.0,121.0,61.0,196.0,61.0,31.0,19.0,3.3,26.1,13.3,6.7,21.5,6.7,3.4
Kariong,305.0,48.0,396.0,281.0,42.0,166.0,94.0,79.0,21.6,3.4,28.1,19.9,3.0,11.8,6.7,5.6
Kearns,207.0,16.0,168.0,94.0,15.0,49.0,40.0,25.0,33.7,2.6,27.4,15.3,2.4,8.0,6.5,4.1
Keiraville,91.0,18.0,130.0,86.0,46.0,183.0,37.0,41.0,14.4,2.8,20.6,13.6,7.3,29.0,5.9,6.5
Kellyville,1343.0,159.0,1344.0,899.0,189.0,509.0,272.0,275.0,26.9,3.2,26.9,18.0,3.8,10.2,5.5,5.5
Kembla Grange,16.0,0.0,13.0,8.0,4.0,9.0,3.0,0.0,30.2,0.0,24.5,15.1,7.5,17.0,5.7,0.0
Kensington (NSW),574.0,72.0,324.0,325.0,120.0,307.0,101.0,122.0,29.5,3.7,16.7,16.7,6.2,15.8,5.2,6.3
Kilaben Bay,59.0,10.0,85.0,38.0,16.0,88.0,21.0,36.0,16.7,2.8,24.1,10.8,4.5,24.9,5.9,10.2
Killara (NSW),417.0,80.0,450.0,433.0,149.0,370.0,107.0,160.0,19.3,3.7,20.8,20.0,6.9,17.1,4.9,7.4
Killarney Heights,208.0,52.0,275.0,184.0,60.0,228.0,58.0,61.0,18.5,4.6,24.4,16.3,5.3,20.2,5.2,5.4
Killarney Vale,243.0,56.0,290.0,199.0,66.0,377.0,97.0,69.0,17.4,4.0,20.8,14.2,4.7,27.0,6.9,4.9
Kincumber,235.0,56.0,348.0,165.0,82.0,436.0,74.0,81.0,15.9,3.8,23.6,11.2,5.6,29.5,5.0,5.5
Kincumber South,15.0,7.0,13.0,10.0,14.0,86.0,0.0,12.0,9.6,4.5,8.3,6.4,8.9,54.8,0.0,7.6
Kings Langley,642.0,70.0,571.0,393.0,105.0,308.0,140.0,107.0,27.5,3.0,24.4,16.8,4.5,13.2,6.0,4.6
Kings Park (NSW),272.0,24.0,191.0,154.0,26.0,94.0,46.0,24.0,32.7,2.9,23.0,18.5,3.1,11.3,5.5,2.9
Kingsford (NSW),564.0,106.0,489.0,406.0,148.0,523.0,152.0,137.0,22.3,4.2,19.4,16.1,5.9,20.7,6.0,5.4
Kingsgrove,527.0,90.0,490.0,417.0,163.0,732.0,159.0,148.0,19.3,3.3,18.0,15.3,6.0,26.9,5.8,5.4
Kingswood (Tamworth - NSW),80.0,5.0,69.0,33.0,16.0,44.0,20.0,30.0,26.9,1.7,23.2,11.1,5.4,14.8,6.7,10.1
Kirrawee,445.0,60.0,547.0,283.0,96.0,392.0,123.0,101.0,21.7,2.9,26.7,13.8,4.7,19.1,6.0,4.9
Kirribilli,273.0,30.0,91.0,117.0,43.0,105.0,32.0,72.0,35.8,3.9,11.9,15.3,5.6,13.8,4.2,9.4
Kogarah,671.0,156.0,460.0,555.0,195.0,441.0,156.0,164.0,24.0,5.6,16.4,19.8,7.0,15.8,5.6,5.9
Kogarah Bay,100.0,17.0,106.0,86.0,28.0,97.0,32.0,25.0,20.4,3.5,21.6,17.5,5.7,19.8,6.5,5.1
Koolewong,39.0,5.0,42.0,32.0,9.0,41.0,11.0,9.0,20.7,2.7,22.3,17.0,4.8,21.8,5.9,4.8
Koonawarra,75.0,20.0,145.0,114.0,54.0,209.0,52.0,41.0,10.6,2.8,20.4,16.1,7.6,29.4,7.3,5.8
Kotara,177.0,42.0,214.0,113.0,42.0,240.0,64.0,60.0,18.6,4.4,22.5,11.9,4.4,25.2,6.7,6.3
Kotara South,49.0,12.0,62.0,31.0,9.0,91.0,21.0,17.0,16.8,4.1,21.2,10.6,3.1,31.2,7.2,5.8
Kurnell,113.0,16.0,145.0,89.0,23.0,55.0,37.0,28.0,22.3,3.2,28.7,17.6,4.5,10.9,7.3,5.5
Kyeemagh,43.0,3.0,39.0,20.0,7.0,55.0,11.0,9.0,23.0,1.6,20.9,10.7,3.7,29.4,5.9,4.8
Kyle Bay,43.0,3.0,45.0,35.0,8.0,48.0,18.0,10.0,20.5,1.4,21.4,16.7,3.8,22.9,8.6,4.8
La Perouse,15.0,0.0,11.0,11.0,0.0,21.0,7.0,9.0,20.3,0.0,14.9,14.9,0.0,28.4,9.5,12.2
Lake Haven,97.0,17.0,115.0,104.0,26.0,248.0,28.0,38.0,14.4,2.5,17.1,15.5,3.9,36.8,4.2,5.6
Lake Heights,82.0,9.0,108.0,131.0,40.0,262.0,46.0,35.0,11.5,1.3,15.1,18.4,5.6,36.7,6.5,4.9
Lake Illawarra,71.0,24.0,100.0,82.0,28.0,197.0,34.0,35.0,12.4,4.2,17.5,14.4,4.9,34.5,6.0,6.1
Lakelands (NSW),89.0,13.0,104.0,52.0,17.0,60.0,23.0,25.0,23.2,3.4,27.2,13.6,4.4,15.7,6.0,6.5
Lakemba,267.0,124.0,234.0,881.0,405.0,779.0,183.0,211.0,8.7,4.0,7.6,28.6,13.1,25.3,5.9,6.8
Lalor Park,304.0,33.0,262.0,258.0,61.0,245.0,69.0,82.0,23.1,2.5,19.9,19.6,4.6,18.6,5.3,6.2
Lambton,204.0,37.0,264.0,148.0,54.0,197.0,70.0,57.0,19.8,3.6,25.6,14.4,5.2,19.1,6.8,5.5
Lane Cove,647.0,74.0,480.0,344.0,91.0,253.0,129.0,132.0,30.1,3.4,22.3,16.0,4.2,11.8,6.0,6.1
Lane Cove North,664.0,62.0,404.0,365.0,93.0,216.0,136.0,110.0,32.4,3.0,19.7,17.8,4.5,10.5,6.6,5.4
Lane Cove West,126.0,17.0,147.0,94.0,19.0,67.0,33.0,33.0,23.5,3.2,27.4,17.5,3.5,12.5,6.2,6.2
Lansvale,90.0,13.0,72.0,93.0,32.0,133.0,27.0,33.0,18.3,2.6,14.6,18.9,6.5,27.0,5.5,6.7
Lapstone,52.0,5.0,50.0,35.0,17.0,63.0,7.0,15.0,21.3,2.0,20.5,14.3,7.0,25.8,2.9,6.1
Lavender Bay,51.0,10.0,28.0,19.0,9.0,28.0,9.0,16.0,30.0,5.9,16.5,11.2,5.3,16.5,5.3,9.4
Leichhardt (NSW),944.0,98.0,675.0,417.0,102.0,248.0,218.0,167.0,32.9,3.4,23.5,14.5,3.6,8.6,7.6,5.8
Leonay,158.0,22.0,171.0,93.0,28.0,103.0,40.0,29.0,24.5,3.4,26.6,14.4,4.3,16.0,6.2,4.5
Lethbridge Park,103.0,16.0,79.0,114.0,37.0,230.0,53.0,58.0,14.9,2.3,11.4,16.5,5.4,33.3,7.7,8.4
Leumeah,457.0,64.0,357.0,408.0,119.0,374.0,114.0,98.0,23.0,3.2,17.9,20.5,6.0,18.8,5.7,4.9
Lewisham (NSW),185.0,25.0,126.0,81.0,15.0,68.0,42.0,31.0,32.3,4.4,22.0,14.1,2.6,11.9,7.3,5.4
Liberty Grove,156.0,4.0,96.0,103.0,22.0,43.0,29.0,27.0,32.5,0.8,20.0,21.5,4.6,9.0,6.0,5.6
Lidcombe,802.0,175.0,417.0,763.0,280.0,721.0,199.0,194.0,22.6,4.9,11.7,21.5,7.9,20.3,5.6,5.5
