,Couple family without children,Couple family with children,One parent family,Other family,Total families,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),Total families (%)
St Huberts Island,197.0,105.0,30.0,4.0,336.0,58.6,31.3,8.9,1.2,--
St Ives,1364.0,2314.0,347.0,31.0,4056.0,33.6,57.1,8.6,0.8,--
St Ives Chase,312.0,521.0,63.0,4.0,900.0,34.7,57.9,7.0,0.4,--
St Johns Park,365.0,838.0,220.0,24.0,1447.0,25.2,57.9,15.2,1.7,--
St Leonards,548.0,213.0,82.0,46.0,889.0,61.6,24.0,9.2,5.2,--
St Marys,757.0,963.0,664.0,67.0,2451.0,30.9,39.3,27.1,2.7,--
St Peters,311.0,178.0,98.0,20.0,607.0,51.2,29.3,16.1,3.3,--
Stanhope Gardens,374.0,631.0,127.0,15.0,1147.0,32.6,55.0,11.1,1.3,--
Stanmore,761.0,614.0,230.0,64.0,1669.0,45.6,36.8,13.8,3.8,--
Stockton,395.0,373.0,211.0,28.0,1007.0,39.2,37.0,21.0,2.8,--
Strathfield,1396.0,2561.0,655.0,189.0,4801.0,29.1,53.3,13.6,3.9,--
Strathfield South,214.0,479.0,122.0,17.0,832.0,25.7,57.6,14.7,2.0,--
Summer Hill (Ashfield),562.0,578.0,228.0,53.0,1421.0,39.5,40.7,16.0,3.7,--
Surry Hills,1756.0,347.0,199.0,128.0,2430.0,72.3,14.3,8.2,5.3,--
Sutherland,1146.0,850.0,493.0,58.0,2547.0,45.0,33.4,19.4,2.3,--
Swansea,606.0,379.0,272.0,25.0,1282.0,47.3,29.6,21.2,2.0,--
Swansea Heads,65.0,76.0,27.0,3.0,171.0,38.0,44.4,15.8,1.8,--
Sydenham,112.0,73.0,54.0,7.0,246.0,45.5,29.7,22.0,2.8,--
Sydney,993.0,284.0,139.0,288.0,1704.0,58.3,16.7,8.2,16.9,--
Sylvania,1067.0,1221.0,377.0,47.0,2712.0,39.3,45.0,13.9,1.7,--
Sylvania Waters,265.0,454.0,112.0,13.0,844.0,31.4,53.8,13.3,1.5,--
Tacoma,46.0,110.0,29.0,0.0,185.0,24.9,59.5,15.7,0.0,--
Tacoma South,17.0,43.0,9.0,0.0,69.0,24.6,62.3,13.0,0.0,--
Tamarama,172.0,114.0,33.0,9.0,328.0,52.4,34.8,10.1,2.7,--
Taren Point,168.0,143.0,35.0,6.0,352.0,47.7,40.6,9.9,1.7,--
Tarrawanna,165.0,168.0,56.0,3.0,392.0,42.1,42.9,14.3,0.8,--
Tascott,181.0,214.0,67.0,3.0,465.0,38.9,46.0,14.4,0.6,--
Tempe,302.0,363.0,129.0,24.0,818.0,36.9,44.4,15.8,2.9,--
