,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Kingsgrove,5442.0,278.0,663.0,589.0,3228.0,53.4,2.7,6.5,5.8,31.6,12158
Riverwood,4656.0,397.0,1089.0,603.0,3440.0,45.7,3.9,10.7,5.9,33.8,13371
Roselands,4806.0,331.0,675.0,475.0,2775.0,53.0,3.7,7.4,5.2,30.6,13409
Beverly Hills,4358.0,203.0,594.0,522.0,2786.0,51.5,2.4,7.0,6.2,32.9,10331
Narwee,2411.0,140.0,380.0,252.0,1398.0,52.6,3.1,8.3,5.5,30.5,12912
Lakemba,7336.0,386.0,801.0,538.0,3680.0,57.6,3.0,6.3,4.2,28.9,12257
Wiley Park,4396.0,271.0,518.0,232.0,2257.0,57.3,3.5,6.8,3.0,29.4,14293
Hurstville,13082.0,524.0,1580.0,961.0,9495.0,51.0,2.0,6.2,3.7,37.0,11964
Carlton (NSW),4729.0,238.0,647.0,404.0,2886.0,53.1,2.7,7.3,4.5,32.4,10819
Penshurst (NSW),5672.0,279.0,764.0,526.0,3434.0,53.1,2.6,7.2,4.9,32.2,13186
Oatley,4910.0,176.0,532.0,452.0,2436.0,57.7,2.1,6.3,5.3,28.6,13064
Mortdale,4403.0,247.0,661.0,454.0,2859.0,51.1,2.9,7.7,5.3,33.2,12728
Peakhurst,4382.0,249.0,653.0,866.0,2425.0,51.1,2.9,7.6,10.1,28.3,13168
Hurstville Grove,1255.0,36.0,107.0,97.0,720.0,56.7,1.6,4.8,4.4,32.5,11965
Lugarno,2842.0,98.0,244.0,237.0,1215.0,61.3,2.1,5.3,5.1,26.2,12421
Peakhurst Heights,1167.0,25.0,123.0,116.0,507.0,60.2,1.3,6.3,6.0,26.2,13169
South Hurstville,2112.0,108.0,318.0,274.0,1407.0,50.1,2.6,7.5,6.5,33.3,13587
Blakehurst,2815.0,108.0,283.0,344.0,1510.0,55.6,2.1,5.6,6.8,29.8,10403
Kyle Bay,506.0,10.0,38.0,31.0,257.0,60.1,1.2,4.5,3.7,30.5,12227
Connells Point,1371.0,51.0,130.0,108.0,646.0,59.5,2.2,5.6,4.7,28.0,11013
Carss Park,605.0,15.0,71.0,48.0,268.0,60.1,1.5,7.1,4.8,26.6,10837
Arncliffe,4006.0,278.0,595.0,434.0,3588.0,45.0,3.1,6.7,4.9,40.3,10086
Wolli Creek,2179.0,87.0,264.0,36.0,3326.0,37.0,1.5,4.5,0.6,56.4,14353
Turrella,961.0,52.0,109.0,48.0,907.0,46.3,2.5,5.2,2.3,43.7,13982
Bardwell Valley,977.0,71.0,146.0,108.0,594.0,51.5,3.7,7.7,5.7,31.3,10196
Bardwell Park,1028.0,51.0,109.0,94.0,550.0,56.1,2.8,5.9,5.1,30.0,10195
Bexley,8241.0,545.0,1147.0,1273.0,4959.0,51.0,3.4,7.1,7.9,30.7,10334
Kogarah,6853.0,309.0,856.0,503.0,4182.0,53.9,2.4,6.7,4.0,32.9,12181
Bexley North,1811.0,98.0,247.0,197.0,995.0,54.1,2.9,7.4,5.9,29.7,10335
Allawah,2528.0,130.0,377.0,152.0,1659.0,52.2,2.7,7.8,3.1,34.2,10038
Beverley Park,1081.0,54.0,119.0,100.0,575.0,56.0,2.8,6.2,5.2,29.8,10330
Kogarah Bay,934.0,23.0,95.0,89.0,507.0,56.7,1.4,5.8,5.4,30.8,12182
Kyeemagh,429.0,23.0,56.0,57.0,190.0,56.8,3.0,7.4,7.5,25.2,12226
Brighton-le-Sands,3150.0,300.0,781.0,434.0,2431.0,44.4,4.2,11.0,6.1,34.3,10569
Rockdale,6880.0,320.0,900.0,473.0,4883.0,51.1,2.4,6.7,3.5,36.3,13379
Monterey,1880.0,123.0,346.0,229.0,1153.0,50.4,3.3,9.3,6.1,30.9,12686
Banksia,1461.0,87.0,189.0,143.0,916.0,52.3,3.1,6.8,5.1,32.8,10178
Sandringham (NSW),552.0,26.0,94.0,62.0,289.0,54.0,2.5,9.2,6.1,28.3,13478
Dolls Point,599.0,43.0,202.0,80.0,478.0,42.7,3.1,14.4,5.7,34.1,11267
Sans Souci,4349.0,273.0,869.0,641.0,2424.0,50.8,3.2,10.2,7.5,28.3,13489
Ramsgate,455.0,32.0,87.0,58.0,283.0,49.7,3.5,9.5,6.3,30.9,13309
Ramsgate Beach,609.0,62.0,189.0,127.0,426.0,43.1,4.4,13.4,9.0,30.1,13310
Concord,6564.0,249.0,705.0,705.0,3629.0,55.4,2.1,5.9,5.9,30.6,10999
Breakfast Point,2169.0,100.0,320.0,139.0,878.0,60.1,2.8,8.9,3.9,24.3,10557
Cabarita (NSW),1051.0,32.0,106.0,64.0,389.0,64.0,1.9,6.5,3.9,23.7,10736
Mortlake (NSW),471.0,25.0,99.0,32.0,266.0,52.7,2.8,11.1,3.6,29.8,12729
North Strathfield,1839.0,99.0,220.0,125.0,1734.0,45.8,2.5,5.5,3.1,43.2,13009
Concord West,2597.0,104.0,283.0,247.0,1551.0,54.3,2.2,5.9,5.2,32.4,11000
Sydney Olympic Park,749.0,50.0,89.0,12.0,664.0,47.9,3.2,5.7,0.8,42.5,13716
Liberty Grove,1038.0,38.0,108.0,37.0,542.0,58.9,2.2,6.1,2.1,30.7,12315
Rhodes,4849.0,158.0,467.0,140.0,5000.0,45.7,1.5,4.4,1.3,47.1,13358
Drummoyne,4719.0,238.0,939.0,589.0,3558.0,47.0,2.4,9.3,5.9,35.4,11293
Russell Lea,2148.0,85.0,280.0,249.0,1252.0,53.5,2.1,7.0,6.2,31.2,13447
Rodd Point,614.0,30.0,58.0,65.0,319.0,56.5,2.8,5.3,6.0,29.4,13391
Abbotsford (NSW),2316.0,125.0,441.0,280.0,1389.0,50.9,2.7,9.7,6.2,30.5,10003
Chiswick,1137.0,80.0,275.0,151.0,871.0,45.2,3.2,10.9,6.0,34.6,10910
Five Dock,3816.0,175.0,668.0,471.0,2479.0,50.2,2.3,8.8,6.2,32.6,11530
Canada Bay,507.0,12.0,87.0,66.0,324.0,50.9,1.2,8.7,6.6,32.5,10785
Wareemba,694.0,27.0,77.0,86.0,382.0,54.8,2.1,6.1,6.8,30.2,14148
Balmain,3768.0,235.0,958.0,267.0,3424.0,43.6,2.7,11.1,3.1,39.6,10164
Birchgrove,1346.0,48.0,301.0,82.0,878.0,50.7,1.8,11.3,3.1,33.1,10374
Woolwich,389.0,16.0,51.0,46.0,202.0,55.3,2.3,7.2,6.5,28.7,14412
Leichhardt (NSW),4795.0,302.0,1068.0,449.0,5152.0,40.8,2.6,9.1,3.8,43.8,12297
Lilyfield,2693.0,146.0,536.0,304.0,2314.0,44.9,2.4,8.9,5.1,38.6,12325
Rozelle,3224.0,182.0,652.0,162.0,2990.0,44.7,2.5,9.0,2.2,41.5,13435
Ashfield (NSW),9050.0,464.0,1681.0,994.0,8707.0,43.3,2.2,8.0,4.8,41.7,10098
Summer Hill (Inner West - NSW),2395.0,167.0,511.0,223.0,2893.0,38.7,2.7,8.3,3.6,46.7,13687
