,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Fairfield Heights,2888.0,237.0,474.0,336.0,2001.0,48.7,4.0,8.0,5.7,33.7,11479
Greenfield Park,2137.0,148.0,248.0,189.0,1387.0,52.0,3.6,6.0,4.6,33.8,11761
Prairiewood,1441.0,83.0,185.0,131.0,822.0,54.1,3.1,6.9,4.9,30.9,13258
Horsley Park,858.0,26.0,85.0,83.0,466.0,56.5,1.7,5.6,5.5,30.7,11943
Mount Vernon,566.0,3.0,50.0,33.0,330.0,57.6,0.3,5.1,3.4,33.6,12796
Wetherill Park,2737.0,185.0,330.0,231.0,1554.0,54.3,3.7,6.6,4.6,30.9,14264
Wakeley,2025.0,123.0,242.0,214.0,1251.0,52.5,3.2,6.3,5.6,32.5,14089
St Johns Park,2617.0,162.0,355.0,335.0,1703.0,50.6,3.1,6.9,6.5,32.9,13641
Casula,6469.0,414.0,847.0,583.0,3987.0,52.6,3.4,6.9,4.7,32.4,10852
Moorebank,4285.0,242.0,518.0,312.0,2010.0,58.2,3.3,7.0,4.2,27.3,12712
Chipping Norton,3982.0,247.0,501.0,367.0,2139.0,55.0,3.4,6.9,5.1,29.6,10908
Voyager Point,844.0,18.0,39.0,18.0,365.0,65.7,1.4,3.0,1.4,28.4,14079
Wattle Grove (NSW),3910.0,171.0,436.0,168.0,2135.0,57.3,2.5,6.4,2.5,31.3,14192
Hammondville,1336.0,117.0,233.0,298.0,795.0,48.1,4.2,8.4,10.7,28.6,11844
Sandy Point (NSW),288.0,8.0,26.0,10.0,145.0,60.4,1.7,5.5,2.1,30.4,13487
Pleasure Point,257.0,11.0,17.0,9.0,102.0,64.9,2.8,4.3,2.3,25.8,13229
Liverpool,10594.0,1048.0,1913.0,1224.0,6609.0,49.5,4.9,8.9,5.7,30.9,12361
Warwick Farm,2029.0,244.0,589.0,269.0,1669.0,42.3,5.1,12.3,5.6,34.8,14177
Cartwright,679.0,100.0,244.0,124.0,721.0,36.3,5.4,13.1,6.6,38.6,10838
Lurnea,3367.0,319.0,549.0,426.0,2417.0,47.6,4.5,7.8,6.0,34.1,12422
Prestons,6514.0,329.0,567.0,413.0,3559.0,57.2,2.9,5.0,3.6,31.3,13260
Gymea Bay,3336.0,95.0,267.0,232.0,1437.0,62.2,1.8,5.0,4.3,26.8,11827
Gymea,3049.0,222.0,603.0,360.0,1993.0,49.0,3.6,9.7,5.8,32.0,11826
Grays Point,1568.0,25.0,128.0,62.0,710.0,62.9,1.0,5.1,2.5,28.5,11743
Miranda (NSW),6044.0,398.0,1196.0,995.0,3874.0,48.3,3.2,9.6,8.0,31.0,12645
Yowie Bay,1515.0,29.0,123.0,148.0,701.0,60.2,1.2,4.9,5.9,27.9,14519
Taren Point,842.0,32.0,93.0,257.0,310.0,54.9,2.1,6.1,16.8,20.2,13766
Caringbah,4011.0,371.0,1144.0,632.0,3344.0,42.2,3.9,12.0,6.7,35.2,10815
Sylvania Waters,1453.0,57.0,181.0,122.0,773.0,56.2,2.2,7.0,4.7,29.9,13718
Sylvania,4668.0,226.0,700.0,745.0,2234.0,54.5,2.6,8.2,8.7,26.1,13717
Kangaroo Point (NSW),338.0,0.0,10.0,10.0,111.0,72.1,0.0,2.1,2.1,23.7,12060
Caringbah South,5765.0,184.0,610.0,561.0,2617.0,59.2,1.9,6.3,5.8,26.9,10816
Dolans Bay,305.0,5.0,32.0,14.0,143.0,61.1,1.0,6.4,2.8,28.7,11266
Kurnell,851.0,56.0,168.0,84.0,528.0,50.4,3.3,10.0,5.0,31.3,12216
Greenhills Beach,366.0,0.0,19.0,9.0,193.0,62.4,0.0,3.2,1.5,32.9,11764
Cronulla,6523.0,547.0,1749.0,773.0,6258.0,41.2,3.5,11.0,4.9,39.5,11119
Bundeena,807.0,62.0,167.0,78.0,467.0,51.0,3.9,10.6,4.9,29.5,10672
Maianbar,210.0,17.0,42.0,9.0,123.0,52.4,4.2,10.5,2.2,30.7,12443
Woolooware,1630.0,69.0,258.0,159.0,1054.0,51.4,2.2,8.1,5.0,33.2,14410
Lilli Pilli (Sutherland Shire - NSW),721.0,9.0,43.0,32.0,304.0,65.0,0.8,3.9,2.9,27.4,12322
Port Hacking,553.0,6.0,39.0,41.0,225.0,64.0,0.7,4.5,4.7,26.0,13244
Burraneer,1774.0,42.0,122.0,123.0,826.0,61.4,1.5,4.2,4.3,28.6,10705
Heathcote (NSW),2621.0,114.0,309.0,417.0,1389.0,54.0,2.4,6.4,8.6,28.6,11883
Waterfall,235.0,0.0,21.0,8.0,103.0,64.0,0.0,5.7,2.2,28.1,14182
Illawong,3692.0,103.0,288.0,226.0,1764.0,60.8,1.7,4.7,3.7,29.0,11974
Alfords Point,1567.0,40.0,109.0,73.0,802.0,60.5,1.5,4.2,2.8,31.0,10031
Barden Ridge,1982.0,64.0,169.0,135.0,1153.0,56.6,1.8,4.8,3.9,32.9,10193
Menai,4554.0,207.0,598.0,259.0,2608.0,55.4,2.5,7.3,3.1,31.7,12567
Bangor (NSW),2682.0,99.0,300.0,237.0,1244.0,58.8,2.2,6.6,5.2,27.3,10177
Woronora,1013.0,47.0,154.0,42.0,545.0,56.2,2.6,8.6,2.3,30.3,14420
Bonnet Bay,1205.0,34.0,87.0,53.0,459.0,65.6,1.8,4.7,2.9,25.0,10469
Jannali,2459.0,134.0,424.0,335.0,1524.0,50.4,2.7,8.7,6.9,31.3,12001
Oyster Bay,2621.0,90.0,227.0,159.0,1081.0,62.7,2.2,5.4,3.8,25.9,13112
Como (NSW),1872.0,59.0,182.0,111.0,791.0,62.1,2.0,6.0,3.7,26.2,10996
Kareela,1764.0,48.0,138.0,124.0,675.0,64.2,1.7,5.0,4.5,24.6,12073
Kirrawee,3758.0,225.0,689.0,604.0,2190.0,50.3,3.0,9.2,8.1,29.3,12172
Sutherland (NSW),3827.0,318.0,1093.0,508.0,3300.0,42.3,3.5,12.1,5.6,36.5,13701
Loftus,1886.0,63.0,188.0,179.0,883.0,59.0,2.0,5.9,5.6,27.6,12371
Engadine,7859.0,353.0,883.0,630.0,3581.0,59.1,2.7,6.6,4.7,26.9,11422
Yarrawarrah,1395.0,46.0,91.0,66.0,577.0,64.1,2.1,4.2,3.0,26.5,14485
Woronora Heights,1428.0,29.0,101.0,40.0,745.0,60.9,1.2,4.3,1.7,31.8,14422
