,Italian,Assyrian (incl. Aramaic,Croatian,Arabic (incl. Lebanese,Spanish,&nbsp;,English only spoken at home,Greek,Cantonese,Tagalog (Filipino,Punjabi,Maltese,Macedonian,Serbian,Mandarin,Sinhalese,Samoan,Tongan,Vietnamese,German,Netherlandic,French,Hindi,Polish,Japanese,Korean,Turkish,Persian,Latvian,Thai,Hungarian,Armenian,Indonesian,Malay,Tamil,Maori (Cook Island,Hebrew,Norwegian,Afrikaans,Portuguese,Khmer,Russian,Fijian,Lao,Gujarati,Ukrainian,Maori (New Zealand,Irish,Urdu,Swedish,Estonian,Finnish,Bengali,Czech,Bosnian,Danish,Gaelic (Scotland,Burmese,Albanian,"Sign Languages, nec","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin",Slovak,Lithuanian,Auslan,Bulgarian,"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy",Nepali,Italian (%),Assyrian (incl. Aramaic (%),Croatian (%),Arabic (incl. Lebanese (%),Spanish (%),&nbsp; (%),English only spoken at home (%),Greek (%),Cantonese (%),Tagalog (Filipino (%),Punjabi (%),Maltese (%),Macedonian (%),Serbian (%),Mandarin (%),Sinhalese (%),Samoan (%),Tongan (%),Vietnamese (%),German (%),Netherlandic (%),French (%),Hindi (%),Polish (%),Japanese (%),Korean (%),Turkish (%),Persian (%),Latvian (%),Thai (%),Hungarian (%),Armenian (%),Indonesian (%),Malay (%),Tamil (%),Maori (Cook Island (%),Hebrew (%),Norwegian (%),Afrikaans (%),Portuguese (%),Khmer (%),Russian (%),Fijian (%),Lao (%),Gujarati (%),Ukrainian (%),Maori (New Zealand (%),Irish (%),Urdu (%),Swedish (%),Estonian (%),Finnish (%),Bengali (%),Czech (%),Bosnian (%),Danish (%),Gaelic (Scotland (%),Burmese (%),Albanian (%),"Sign Languages, nec (%)","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin (%)",Slovak (%),Lithuanian (%),Auslan (%),Bulgarian (%),"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy (%)",Nepali (%)
Campbelltown,,,,244,167,&nbsp;,"7,621",,,165,,,,,,,108,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.7,&nbsp;,76.8,,,1.7,,,,,,,1.1,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camperdown,73,,,,50,&nbsp;,"4,208",78,74,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,0.9,&nbsp;,77.1,1.4,1.4,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campsie,,,,"2,643",,&nbsp;,"3,922","1,055","2,386",,,,,,"2,479",,,,,,,,,,,"1,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,&nbsp;,18.8,5.1,11.4,,,,,,11.9,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Bay,199,,,23,17,&nbsp;,732,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,1.9,1.4,&nbsp;,60.6,3.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canley Heights,,,,,377,&nbsp;,"2,431",,776,,,,,315,,,,,"2,821",,,,,,,,,,,,,,,,,,,,,,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,&nbsp;,25.1,,8.0,,,,,3.3,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Canley Vale,,,,,,&nbsp;,"1,957",,"1,212",,,,,327,460,,,,"2,446",,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,19.4,,12.0,,,,,3.2,4.6,,,,24.2,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,233,,,465,,&nbsp;,"1,703",690,310,,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,8.6,,&nbsp;,31.3,12.7,5.7,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton Beach,3,,,,,&nbsp;,"1,051",,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,0.3,,,,,&nbsp;,93.9,,,,,,,,,,,,,0.3,0.5,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.3,,,,,,,,,,,,,,,,,,,
Cardiff,31,,,,,&nbsp;,"4,646",12,,14,,,,,,,,,,22,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,&nbsp;,92.2,0.2,,0.3,,,,,,,,,,0.4,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff Heights,,,,10,,&nbsp;,"1,639",10,,,,,8,,,,,,,8,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,&nbsp;,92.2,0.6,,,,,0.4,,,,,,,0.4,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff South,,,10,,,&nbsp;,"2,455",,,,,,10,,,,11,,,13,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,&nbsp;,91.5,,,,,,0.4,,,,0.4,,,0.5,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caringbah,213,,,108,,&nbsp;,"18,044",375,154,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,,&nbsp;,87.6,1.8,0.7,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlingford,245,,,350,,&nbsp;,"11,902",,"2,518",,,,,,949,,,,,,,,,,,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,1.8,,&nbsp;,61.2,,12.9,,,,,,4.9,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton,,,,614,,&nbsp;,"4,194",871,685,,,,697,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,&nbsp;,44.0,9.1,7.2,,,,7.3,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carramar,,,,175,160,&nbsp;,913,,156,,,,,,78,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.1,&nbsp;,29.4,,5.0,,,,,,2.5,,,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington,5,,,,,&nbsp;,"1,455",3,,9,,,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,&nbsp;,90.4,0.2,,0.6,,,,,,,0.2,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carss Park,12,,,37,,&nbsp;,835,150,11,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.2,,&nbsp;,72.6,13.0,1.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartwright,,,,148,63,&nbsp;,"1,285",,,,,,,,,,40,,172,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,2.8,&nbsp;,56.9,,,,,,,,,,1.8,,7.6,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Cove,42,,,,,&nbsp;,"1,536",,244,,,,,,44,,,,,,,,,,72,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,&nbsp;,66.1,,10.5,,,,,,1.9,,,,,,,,,,3.1,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Hill,410,,,359,,&nbsp;,"24,612",,"1,149",,,,,,426,,,,,,,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,1.1,,&nbsp;,78.1,,3.6,,,,,,1.4,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castlecrag,,,,,,&nbsp;,"2,046",,88,,,,,,51,,,,,35,,,,,76,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,77.4,,3.3,,,,,,1.9,,,,,1.3,,,,,2.9,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casula,570,,,813,364,&nbsp;,"5,965",335,,,,,,,,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,7.3,3.3,&nbsp;,53.3,3.0,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caves Beach,9,,,,10,&nbsp;,"3,853",9,,,,8,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.2,&nbsp;,93.6,0.2,,,,0.2,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecil Hills,297,419,,300,283,&nbsp;,"2,291",,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,7.2,,5.2,4.9,&nbsp;,39.4,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Park,25,,,,32,&nbsp;,"1,542",26,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,1.5,&nbsp;,73.4,1.2,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Charlestown,129,,,,,&nbsp;,"10,230",73,85,,,,125,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,&nbsp;,90.3,0.6,0.7,,,,1.1,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmhaven,7,,,,,&nbsp;,"2,068",5,8,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,0.3,,,,,&nbsp;,92.2,0.2,0.4,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,
Chatswood,237,,,,,&nbsp;,"5,292",,"1,239",,,,,,812,,,,,,,,,,286,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,&nbsp;,51.8,,12.1,,,,,,7.9,,,,,,,,,,2.8,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatswood West,,,,,,&nbsp;,"5,093",,553,,,,,,344,,,,,,,,,,144,197,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,68.0,,7.4,,,,,,4.6,,,,,,,,,,1.9,2.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham,13,,,,,&nbsp;,"1,663",,83,,,,,,15,12,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,&nbsp;,84.1,,4.2,,,,,,0.8,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherrybrook,,,,223,,&nbsp;,"12,749",,"1,384",,,,,,494,,,,,,,,,,,338,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,&nbsp;,68.5,,7.4,,,,,,2.7,,,,,,,,,,,1.8,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester Hill,169,,,"1,105",,&nbsp;,"4,931",178,506,,,,,,,,,,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,11.1,,&nbsp;,49.5,1.8,5.1,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chifley,50,,,53,37,&nbsp;,"2,200",79,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,1.8,1.2,&nbsp;,73.7,2.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chippendale,,,,,,&nbsp;,"1,955",,103,,,,,,140,,,,53,,,,,,,65,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,59.3,,3.1,,,,,,4.2,,,,1.6,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipping Norton,400,,,481,,&nbsp;,"5,728",458,173,,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,5.4,,&nbsp;,63.7,5.1,1.9,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiswick,177,,,,,&nbsp;,893,35,29,,,,,,23,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,&nbsp;,68.2,2.7,2.2,,,,,,1.8,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittaway Bay,8,,,,11,&nbsp;,"1,889",,3,,,3,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,0.6,&nbsp;,95.1,,0.2,,,0.2,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittaway Point,6,,3,,3,&nbsp;,715,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.4,,0.4,&nbsp;,89.8,,,,,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Point,8,,,,,&nbsp;,"1,033",,,,,,,,,,,,,4,3,4,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,&nbsp;,92.3,,,,,,,,,,,,,0.4,0.3,0.4,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont Meadows,,64,,98,37,&nbsp;,"2,595",,,94,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,2.8,1.1,&nbsp;,74.5,,,2.7,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claymore,,,,123,41,&nbsp;,"2,107",,,,,,,,,,430,68,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,1.1,&nbsp;,59.0,,,,,,,,,,12.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,
Clontarf,14,,,,,&nbsp;,"1,305",26,17,,,,,,27,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,&nbsp;,79.8,1.6,1.0,,,,,,1.7,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clovelly,44,,,,,&nbsp;,"3,720",51,25,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,&nbsp;,85.3,1.2,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Coal Point,,,,,,&nbsp;,"1,574",3,7,,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,94.2,0.2,0.4,,,,,,,,,,,,0.2,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,
Coledale,,,,,5,&nbsp;,807,,,,,,6,,,,,,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,&nbsp;,89.8,,,,,,0.7,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,
Collaroy,304,,62,,,&nbsp;,"11,898",,82,,,,,,63,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,0.5,,,&nbsp;,86.5,,0.6,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colyton,,,140,182,109,&nbsp;,"6,131",147,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.2,1.3,&nbsp;,75.3,1.8,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Como,15,,22,21,,&nbsp;,"3,397",48,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.6,0.6,,&nbsp;,92.5,1.3,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord,"1,961",,,497,,&nbsp;,"7,932",525,422,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,3.7,,&nbsp;,59.6,3.9,3.2,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord West,588,,,93,,&nbsp;,"3,915",193,151,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,1.6,,&nbsp;,66.1,3.3,2.5,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condell Park,394,,,"1,768",,&nbsp;,"3,577",640,,,,,303,,,,,,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,19.7,,&nbsp;,39.9,7.1,,,,,3.4,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coniston,45,,,52,,&nbsp;,"1,004",53,,,,,295,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,2.8,,&nbsp;,54.0,2.8,,,,,15.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connells Point,95,,53,34,,&nbsp;,"1,971",256,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,1.9,1.2,,&nbsp;,70.0,9.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coogee,152,,,,134,&nbsp;,"10,353",251,129,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,1.0,&nbsp;,77.3,1.9,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooks Hill,,,,,,&nbsp;,"2,224",,,8,,,,,8,,,,,16,,,,9,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,88.2,,,0.3,,,,,0.3,,,,,0.6,,,,0.4,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copacabana,12,,,,5,&nbsp;,"2,555",,,,,,,,,,,,,23,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,0.4,,,,0.2,&nbsp;,93.2,,,,,,,,,,,,,0.8,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,
Cordeaux Heights,133,,45,,34,&nbsp;,"3,741",91,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,0.9,,0.7,&nbsp;,76.9,1.9,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrimal,449,,,108,66,&nbsp;,"7,647",92,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,1.1,0.7,&nbsp;,80.6,1.0,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranebrook,48,,,56,98,&nbsp;,"11,557",,,105,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.4,0.7,&nbsp;,88.4,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremorne,66,,,,,&nbsp;,"8,119",,222,,,,,,108,,,,,,,79,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,&nbsp;,79.6,,2.2,,,,,,1.1,,,,,,,0.8,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremorne Point,,,,,,&nbsp;,"1,480",,,,,,,,13,,,,,11,11,22,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,82.8,,,,,,,,0.7,,,,,0.6,0.6,1.2,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cringila,91,,,251,,&nbsp;,579,,,,,,748,,,,,,,,,,,,,,98,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,10.7,,&nbsp;,24.6,,,,,,31.8,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cromer,227,,,,,&nbsp;,"5,956",,45,,,,,42,35,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,&nbsp;,85.9,,0.6,,,,,0.6,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cronulla,136,,,,93,&nbsp;,"14,076",132,,77,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.6,&nbsp;,86.5,0.8,,0.5,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croudace Bay,,,,,,&nbsp;,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crows Nest,25,,,18,,&nbsp;,"2,561",,79,,,,,,31,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.5,,&nbsp;,77.7,,2.4,,,,,,0.9,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon,916,,,551,,&nbsp;,"4,638",436,454,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,6.1,,&nbsp;,51.0,4.8,5.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon Park,"1,267",,,"1,011",,&nbsp;,"4,954",447,428,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,9.6,,&nbsp;,47.0,4.2,4.1,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curl Curl,14,,6,,,&nbsp;,"1,668",,8,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.3,,,&nbsp;,90.4,,0.4,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currans Hill,,,,39,62,&nbsp;,"3,761",,,28,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.4,&nbsp;,85.4,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,
Daceyville,22,,,29,34,&nbsp;,847,65,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,2.4,2.8,&nbsp;,69.4,5.3,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daleys Point,,,,,,&nbsp;,421,3,,3,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,&nbsp;,92.3,0.7,,0.7,,,,,,,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,
