,Italian,Assyrian (incl. Aramaic,Croatian,Arabic (incl. Lebanese,Spanish,&nbsp;,English only spoken at home,Greek,Cantonese,Tagalog (Filipino,Punjabi,Maltese,Macedonian,Serbian,Mandarin,Sinhalese,Samoan,Tongan,Vietnamese,German,Netherlandic,French,Hindi,Polish,Japanese,Korean,Turkish,Persian,Latvian,Thai,Hungarian,Armenian,Indonesian,Malay,Tamil,Maori (Cook Island,Hebrew,Norwegian,Afrikaans,Portuguese,Khmer,Russian,Fijian,Lao,Gujarati,Ukrainian,Maori (New Zealand,Irish,Urdu,Swedish,Estonian,Finnish,Bengali,Czech,Bosnian,Danish,Gaelic (Scotland,Burmese,Albanian,"Sign Languages, nec","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin",Slovak,Lithuanian,Auslan,Bulgarian,"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy",Nepali,Italian (%),Assyrian (incl. Aramaic (%),Croatian (%),Arabic (incl. Lebanese (%),Spanish (%),&nbsp; (%),English only spoken at home (%),Greek (%),Cantonese (%),Tagalog (Filipino (%),Punjabi (%),Maltese (%),Macedonian (%),Serbian (%),Mandarin (%),Sinhalese (%),Samoan (%),Tongan (%),Vietnamese (%),German (%),Netherlandic (%),French (%),Hindi (%),Polish (%),Japanese (%),Korean (%),Turkish (%),Persian (%),Latvian (%),Thai (%),Hungarian (%),Armenian (%),Indonesian (%),Malay (%),Tamil (%),Maori (Cook Island (%),Hebrew (%),Norwegian (%),Afrikaans (%),Portuguese (%),Khmer (%),Russian (%),Fijian (%),Lao (%),Gujarati (%),Ukrainian (%),Maori (New Zealand (%),Irish (%),Urdu (%),Swedish (%),Estonian (%),Finnish (%),Bengali (%),Czech (%),Bosnian (%),Danish (%),Gaelic (Scotland (%),Burmese (%),Albanian (%),"Sign Languages, nec (%)","Oceanian Pidgins and Creoles, nec (incl. Bislama,Pitcairnese,Solomon Islands Pidgin (%)",Slovak (%),Lithuanian (%),Auslan (%),Bulgarian (%),"African Languages (excl. North Africa, nec (incl. Bemba, Fante, Malagasy (%)",Nepali (%)
Asquith,51,,,,,&nbsp;,"2,555",,64,,,,,,31,,,,,22,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,&nbsp;,83.2,,2.1,,,,,,1.0,,,,,0.7,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,,,,"5,207",,&nbsp;,"5,331",,"2,508",,,,,,"1,257",,,,,,,,,,,,"3,295",677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,&nbsp;,20.1,,9.5,,,,,,4.7,,,,,,,,,,,,12.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austinmer,10,,,,,&nbsp;,"1,990",11,,,,,,,,,,,,19,8,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,&nbsp;,89.9,0.5,,,,,,,,,,,,0.9,0.4,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoca Beach,10,,,,13,&nbsp;,"3,829",15,,,,,,,,,,,,10,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.3,&nbsp;,93.6,0.4,,,,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balgowlah,47,,,,,&nbsp;,"5,254",78,83,,,,,,43,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,&nbsp;,85.0,1.3,1.3,,,,,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balgowlah Heights,40,,,,,&nbsp;,"2,768",52,23,,,,,,22,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,&nbsp;,88.3,1.7,0.7,,,,,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balgownie,416,,,53,61,&nbsp;,"4,882",67,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,0.9,1.0,&nbsp;,79.0,1.1,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmain,138,,,,,&nbsp;,"7,497",112,,,,,,,44,,,,,61,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,&nbsp;,83.2,1.2,,,,,,,0.5,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmain East,24,,,,13,&nbsp;,"1,521",,10,,,,,,7,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,0.7,&nbsp;,87.0,,0.6,,,,,,0.4,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangor,44,,,29,17,&nbsp;,"5,094",83,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.5,0.3,&nbsp;,89.8,1.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
