,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
South Turramurra,1387.0,77.0,731.0,63.2,3.5,33.3,13598
North Turramurra,1850.0,104.0,1027.0,62.1,3.5,34.5,13013
Warrawee,1377.0,108.0,803.0,60.2,4.7,35.1,14165
North Wahroonga,998.0,43.0,479.0,65.7,2.8,31.5,13015
Cremorne Point,846.0,255.0,721.0,46.4,14.0,39.6,11113
Cremorne (NSW),3730.0,1272.0,3540.0,43.7,14.9,41.4,11112
Neutral Bay,2949.0,1389.0,3500.0,37.6,17.7,44.7,12934
Crows Nest (NSW),1455.0,719.0,1460.0,40.0,19.8,40.2,11131
Wollstonecraft,2746.0,1052.0,2761.0,41.9,16.0,42.1,14359
Waverton,994.0,377.0,1024.0,41.5,15.7,42.8,14202
North Sydney,2214.0,952.0,2498.0,39.1,16.8,44.1,13010
Mosman,10669.0,2113.0,7831.0,51.8,10.3,38.0,12738
Kirribilli,1072.0,519.0,1438.0,35.4,17.1,47.5,12173
Kurraba Point,503.0,204.0,456.0,43.3,17.5,39.2,12217
Milsons Point,812.0,230.0,670.0,47.4,13.4,39.1,12629
McMahons Point,730.0,321.0,733.0,40.9,18.0,41.1,12547
Lavender Bay,281.0,117.0,340.0,38.1,15.9,46.1,12285
Seaforth (NSW),3012.0,341.0,1606.0,60.7,6.9,32.4,13509
Balgowlah Heights,1455.0,115.0,707.0,63.9,5.1,31.0,10154
Clontarf (NSW),784.0,68.0,407.0,62.3,5.4,32.3,10935
Balgowlah,2895.0,693.0,2088.0,51.0,12.2,36.8,10153
Manly (NSW),4547.0,2272.0,4977.0,38.5,19.3,42.2,12475
Fairlight,2110.0,678.0,1600.0,48.1,15.5,36.5,11482
Avalon Beach,3888.0,692.0,2539.0,54.6,9.7,35.7,10111
Palm Beach (NSW),638.0,86.0,409.0,56.3,7.6,36.1,13132
Whale Beach,102.0,13.0,54.0,60.4,7.7,32.0,14267
Clareville,378.0,46.0,168.0,63.9,7.8,28.4,10923
Scotland Island,213.0,37.0,146.0,53.8,9.3,36.9,13505
Elanora Heights,1887.0,229.0,997.0,60.6,7.4,32.0,11389
Ingleside,365.0,59.0,274.0,52.3,8.5,39.3,11979
Bayview (NSW),1498.0,157.0,1091.0,54.6,5.7,39.7,10237
Church Point,492.0,68.0,219.0,63.2,8.7,28.1,10915
Lovett Bay,28.0,15.0,20.0,44.4,23.8,31.7,12397
Mona Vale,4244.0,696.0,2882.0,54.3,8.9,36.8,12672
Newport (NSW),3555.0,736.0,2632.0,51.4,10.6,38.0,12956
Bilgola Plateau,1582.0,219.0,745.0,62.1,8.6,29.3,10351
Bilgola Beach,127.0,16.0,50.0,65.8,8.3,25.9,10350
Warriewood,2912.0,458.0,1781.0,56.5,8.9,34.6,14173
North Narrabeen,2169.0,459.0,1506.0,52.5,11.1,36.4,12999
Beacon Hill,3116.0,391.0,1978.0,56.8,7.1,36.1,10238
Narraweena,2408.0,326.0,2088.0,49.9,6.8,43.3,12910
Cromer (NSW),3090.0,400.0,2075.0,55.5,7.2,37.3,11118
Oxford Falls,50.0,9.0,40.0,50.5,9.1,40.4,13106
Dee Why,7004.0,2321.0,7017.0,42.9,14.2,42.9,11227
North Curl Curl,1577.0,210.0,1030.0,56.0,7.5,36.6,12988
Forestville (NSW),3488.0,318.0,2159.0,58.5,5.3,36.2,11548
Killarney Heights,1981.0,167.0,1104.0,60.9,5.1,33.9,12130
Frenchs Forest,5924.0,556.0,3247.0,60.9,5.7,33.4,11568
Belrose,3784.0,270.0,2270.0,59.8,4.3,35.9,10283
Davidson,1371.0,113.0,660.0,63.9,5.3,30.8,11219
Curl Curl,906.0,155.0,540.0,56.6,9.7,33.7,11167
Freshwater (NSW),2878.0,1131.0,2286.0,45.7,18.0,36.3,11569
Manly Vale,2024.0,596.0,1821.0,45.6,13.4,41.0,12476
North Manly,1188.0,186.0,784.0,55.1,8.6,36.3,12997
Queenscliff (NSW),973.0,608.0,1002.0,37.7,23.5,38.8,13296
Brookvale,943.0,400.0,1079.0,38.9,16.5,44.5,10601
Allambie Heights,2829.0,334.0,1793.0,57.1,6.7,36.2,10036
North Balgowlah,1493.0,171.0,742.0,62.1,7.1,30.8,12981
Narrabeen,2551.0,858.0,2531.0,42.9,14.4,42.6,12902
Collaroy (NSW),2880.0,718.0,2210.0,49.6,12.4,38.1,10970
Collaroy Plateau,1917.0,222.0,1222.0,57.0,6.6,36.4,10971
Wheeler Heights,1235.0,166.0,707.0,58.6,7.9,33.5,14268
Terrey Hills,1270.0,143.0,707.0,59.9,6.7,33.3,13804
Duffys Forest,212.0,25.0,131.0,57.6,6.8,35.6,11301
Ellis Lane,385.0,51.0,193.0,61.2,8.1,30.7,11405
Grasmere,767.0,51.0,483.0,59.0,3.9,37.1,11739
Camden,993.0,234.0,1012.0,44.4,10.5,45.2,10770
Camden Park (NSW),1025.0,86.0,470.0,64.8,5.4,29.7,10772
Cawdor (NSW),189.0,25.0,103.0,59.6,7.9,32.5,10863
Camden South,1923.0,316.0,1134.0,57.0,9.4,33.6,10773
Harrington Park,4500.0,524.0,2421.0,60.4,7.0,32.5,11859
Elderslie (Camden - NSW),2281.0,444.0,1516.0,53.8,10.5,35.7,11391
Narellan,1241.0,286.0,1154.0,46.3,10.7,43.0,12896
Kirkham,313.0,26.0,173.0,61.1,5.1,33.8,12171
Mount Annan,4646.0,716.0,2924.0,56.1,8.6,35.3,12745
Currans Hill,1751.0,494.0,1406.0,48.0,13.5,38.5,11175
Gregory Hills,2057.0,426.0,808.0,62.5,12.9,24.6,11774
Narellan Vale,2693.0,482.0,2051.0,51.5,9.2,39.2,12897
Spring Farm (NSW),1617.0,406.0,903.0,55.3,13.9,30.9,13612
Airds,408.0,181.0,1265.0,22.0,9.8,68.2,10022
Bradbury (NSW),2813.0,679.0,2864.0,44.3,10.7,45.1,10543
St Helens Park,2087.0,530.0,2032.0,44.9,11.4,43.7,13637
Wedderburn (NSW),220.0,45.0,179.0,49.5,10.1,40.3,14209
Woodbine (NSW),1043.0,164.0,749.0,53.3,8.4,38.3,14378
Campbelltown (NSW),3708.0,931.0,4365.0,41.2,10.3,48.5,10780
Leumeah,3293.0,739.0,3256.0,45.2,10.1,44.7,12308
Blair Athol (NSW),1150.0,122.0,867.0,53.8,5.7,40.5,10400
Raby,2262.0,433.0,1748.0,50.9,9.7,39.3,13303
Eagle Vale,1944.0,484.0,1903.0,44.9,11.2,43.9,11341
Eschol Park,924.0,244.0,790.0,47.2,12.5,40.3,11441
Blairmount,149.0,26.0,130.0,48.9,8.5,42.6,10401
Kearns,1043.0,165.0,862.0,50.4,8.0,41.6,12079
Claymore,272.0,131.0,914.0,20.7,9.9,69.4,10924
Holsworthy,1883.0,342.0,1274.0,53.8,9.8,36.4,11926
Ingleburn,5354.0,830.0,4854.0,48.5,7.5,44.0,11978
Macquarie Links,592.0,50.0,365.0,58.8,5.0,36.2,12435
Denham Court,905.0,47.0,446.0,64.7,3.4,31.9,11235
Bardia,626.0,92.0,358.0,58.2,8.6,33.3,10194
Edmondson Park,975.0,62.0,471.0,64.7,4.1,31.2,11383
Ruse,2052.0,405.0,1733.0,49.0,9.7,41.4,13443
Kentlyn,288.0,25.0,219.0,54.1,4.7,41.2,12101
Minto Heights,165.0,19.0,111.0,55.9,6.4,37.6,12643
Macquarie Fields,4387.0,649.0,4715.0,45.0,6.7,48.4,12433
Glenfield (NSW),3653.0,451.0,2602.0,54.5,6.7,38.8,11664
Long Point (Campbelltown - NSW),82.0,3.0,64.0,55.0,2.0,43.0,12381
St Andrews (NSW),2091.0,327.0,1852.0,49.0,7.7,43.4,13631
Bow Bowing,607.0,125.0,477.0,50.2,10.3,39.5,10526
Minto,4514.0,543.0,3890.0,50.5,6.1,43.5,12642
Rosemeadow,2447.0,560.0,2567.0,43.9,10.0,46.1,13410
Ambarvale,2158.0,521.0,2518.0,41.5,10.0,48.5,10049
Menangle Park,73.0,33.0,76.0,40.1,18.1,41.8,12569
Gilead,162.0,14.0,54.0,70.4,6.1,23.5,11617
Glen Alpine,2129.0,217.0,1213.0,59.8,6.1,34.1,11645
Englorie Park,126.0,33.0,130.0,43.6,11.4,45.0,11423
Yanderra,226.0,52.0,179.0,49.5,11.4,39.2,14461
Douglas Park,551.0,96.0,349.0,55.3,9.6,35.0,11283
Razorback,467.0,57.0,220.0,62.8,7.7,29.6,13328
Appin (NSW),995.0,210.0,576.0,55.9,11.8,32.3,10063
Menangle,531.0,40.0,261.0,63.8,4.8,31.4,12568
Picton (NSW),1880.0,326.0,1267.0,54.1,9.4,36.5,13200
Tahmoor,1605.0,519.0,1486.0,44.5,14.4,41.2,13727
Buxton (NSW),701.0,185.0,512.0,50.1,13.2,36.6,10726
Thirlmere,1512.0,240.0,1065.0,53.7,8.5,37.8,13847
Couridjah,100.0,35.0,86.0,45.2,15.8,38.9,11093
Lakesland,193.0,17.0,113.0,59.8,5.3,35.0,12258
The Oaks,1052.0,160.0,618.0,57.5,8.7,33.8,13831
Werombi,423.0,38.0,210.0,63.0,5.7,31.3,14232
Orangeville,547.0,70.0,270.0,61.7,7.9,30.4,13094
Belimbla Park,240.0,18.0,147.0,59.3,4.4,36.3,10261
Mount Hunter,304.0,34.0,177.0,59.0,6.6,34.4,12765
Brownlow Hill,130.0,19.0,60.0,62.2,9.1,28.7,10609
Theresa Park,250.0,11.0,130.0,63.9,2.8,33.2,13845
Silverdale (NSW),1544.0,241.0,864.0,58.3,9.1,32.6,13544
Oakdale (NSW),663.0,152.0,507.0,50.2,11.5,38.4,13054
Blackheath,1368.0,477.0,1394.0,42.2,14.7,43.0,10393
Mount Victoria,262.0,115.0,316.0,37.8,16.6,45.6,12797
Glenbrook,2133.0,253.0,1338.0,57.3,6.8,35.9,11656
Blaxland (NSW),3050.0,467.0,2002.0,55.3,8.5,36.3,10407
Warrimoo,959.0,203.0,660.0,52.6,11.1,36.2,14174
Lapstone,403.0,51.0,238.0,58.2,7.4,34.4,12276
Mount Riverview,1332.0,199.0,738.0,58.7,8.8,32.5,12788
Yarramundi,333.0,42.0,227.0,55.3,7.0,37.7,14477
Katoomba,1908.0,780.0,3134.0,32.8,13.4,53.8,12077
Leura,1403.0,406.0,1358.0,44.3,12.8,42.9,12309
Medlow Bath,184.0,88.0,199.0,39.1,18.7,42.3,12553
Linden (NSW),178.0,48.0,150.0,47.3,12.8,39.9,12335
Woodford (NSW),771.0,169.0,538.0,52.2,11.4,36.4,14383
Hazelbrook,1755.0,404.0,1454.0,48.6,11.2,40.2,11881
Lawson (NSW),817.0,241.0,857.0,42.7,12.6,44.8,12289
Bullaburra,415.0,138.0,350.0,46.0,15.3,38.8,10656
Faulconbridge,1566.0,334.0,1083.0,52.5,11.2,36.3,11496
Winmalee,2554.0,436.0,1583.0,55.8,9.5,34.6,14334
Hawkesbury Heights,180.0,42.0,107.0,54.7,12.8,32.5,11872
Yellow Rock (Blue Mountains - NSW),474.0,50.0,228.0,63.0,6.6,30.3,14502
Springwood (NSW),3183.0,606.0,2424.0,51.2,9.8,39.0,13629
Valley Heights,520.0,77.0,312.0,57.2,8.5,34.3,14069
Sun Valley (NSW),92.0,21.0,56.0,54.4,12.4,33.1,13691
Wentworth Falls,2224.0,530.0,1714.0,49.8,11.9,38.4,14226
Werrington Downs,1244.0,278.0,887.0,51.6,11.5,36.8,14237
Cambridge Park,2060.0,611.0,2201.0,42.3,12.5,45.2,10768
Werrington County,1368.0,348.0,1045.0,49.5,12.6,37.8,14236
Cambridge Gardens,751.0,184.0,560.0,50.2,12.3,37.5,10767
Cranebrook,5370.0,1306.0,4509.0,48.0,11.7,40.3,11105
Llandilo,628.0,73.0,436.0,55.2,6.4,38.3,12363
Castlereagh,465.0,57.0,304.0,56.3,6.9,36.8,10850
Penrith,3333.0,1079.0,5265.0,34.4,11.2,54.4,13184
Jordan Springs,1937.0,544.0,1067.0,54.6,15.3,30.1,12042
Emu Plains,3180.0,537.0,2358.0,52.3,8.8,38.8,11418
Leonay,1118.0,147.0,550.0,61.6,8.1,30.3,12304
Emu Heights (NSW),1276.0,246.0,941.0,51.8,10.0,38.2,11417
Glenmore Park,8987.0,1646.0,5770.0,54.8,10.0,35.2,11670
Regentville,304.0,54.0,229.0,51.8,9.2,39.0,13346
Jamisontown,1626.0,453.0,1854.0,41.3,11.5,47.1,12000
South Penrith,4332.0,871.0,3454.0,50.0,10.1,39.9,13596
Kingswood (Penrith - NSW),2506.0,688.0,3314.0,38.5,10.6,50.9,12163
Caddens,471.0,91.0,199.0,61.9,12.0,26.1,10743
Werrington,1139.0,330.0,1460.0,38.9,11.3,49.8,14235
Claremont Meadows,1811.0,322.0,1258.0,53.4,9.5,37.1,10918
Wallacia,624.0,100.0,465.0,52.5,8.4,39.1,14101
Mulgoa,774.0,92.0,463.0,58.2,6.9,34.8,12814
Luddenham,713.0,80.0,445.0,57.6,6.5,35.9,12419
Badgerys Creek,57.0,11.0,90.0,36.1,7.0,57.0,10132
Orchard Hills,800.0,65.0,594.0,54.8,4.5,40.7,13095
Warragamba,342.0,128.0,446.0,37.3,14.0,48.7,14158
Richmond (NSW),1305.0,380.0,1975.0,35.7,10.4,54.0,13360
North Richmond,1692.0,388.0,1544.0,46.7,10.7,42.6,13002
Agnes Banks,337.0,51.0,234.0,54.2,8.2,37.6,10021
Hobartville (NSW),902.0,205.0,917.0,44.6,10.1,45.3,11917
South Windsor,1526.0,526.0,2189.0,36.0,12.4,51.6,13601
Windsor (NSW),550.0,163.0,687.0,39.3,11.6,49.1,14325
Bligh Park,2088.0,579.0,1923.0,45.5,12.6,41.9,10411
Windsor Downs,586.0,27.0,324.0,62.5,2.9,34.6,14326
Londonderry (NSW),1374.0,269.0,1163.0,49.0,9.6,41.4,12375
Berkshire Park,433.0,68.0,333.0,51.9,8.2,39.9,10305
Erskine Park,2476.0,450.0,1974.0,50.5,9.2,40.3,11438
St Clair (Penrith - NSW),7525.0,1349.0,5843.0,51.1,9.2,39.7,13632
Colyton,2628.0,640.0,2869.0,42.8,10.4,46.7,10987
Oxley Park,855.0,259.0,1068.0,39.2,11.9,48.9,13110
St Marys (NSW),3076.0,983.0,4462.0,36.1,11.5,52.4,13643
North St Marys,887.0,279.0,1534.0,32.9,10.3,56.8,13007
Silverwater (Parramatta - NSW),811.0,152.0,712.0,48.4,9.1,42.5,13547
Newington (NSW),2515.0,331.0,1249.0,61.4,8.1,30.5,12953
Lidcombe,7228.0,626.0,7486.0,47.1,4.1,48.8,12316
Wentworth Point,2461.0,850.0,1944.0,46.8,16.2,37.0,14227
Auburn (NSW),12624.0,753.0,14346.0,45.5,2.7,51.7,10106
Berala,3342.0,260.0,3475.0,47.2,3.7,49.1,10299
Regents Park (NSW),1768.0,180.0,1787.0,47.3,4.8,47.8,13345
Carlingford,10798.0,796.0,7042.0,57.9,4.3,37.8,10818
Beecroft,4340.0,263.0,2396.0,62.0,3.8,34.2,10249
Epping (NSW),10084.0,768.0,7766.0,54.2,4.1,41.7,11428
Rydalmere,2541.0,299.0,2156.0,50.9,6.0,43.2,13453
Parramatta,9623.0,1125.0,8030.0,51.2,6.0,42.8,13156
Ermington,4019.0,562.0,3210.0,51.6,7.2,41.2,11435
Dundas (NSW),1763.0,217.0,1370.0,52.6,6.5,40.9,11312
Melrose Park (NSW),677.0,60.0,405.0,59.3,5.3,35.5,12563
Telopea,1989.0,255.0,1884.0,48.2,6.2,45.6,13782
Oatlands (NSW),2318.0,196.0,1739.0,54.5,4.6,40.9,13063
Dundas Valley,2021.0,257.0,1761.0,50.0,6.4,43.6,11313
Chester Hill,4145.0,450.0,4519.0,45.5,4.9,49.6,10899
Sefton,1969.0,182.0,2072.0,46.6,4.3,49.1,13516
Carramar (NSW),992.0,125.0,1358.0,40.1,5.1,54.9,10826
Old Guildford,899.0,45.0,857.0,49.9,2.5,47.6,13077
Fairfield East,1582.0,165.0,1963.0,42.6,4.4,52.9,11478
Yennora,447.0,48.0,575.0,41.8,4.5,53.7,14506
Fairfield (NSW),6073.0,462.0,7050.0,44.7,3.4,51.9,11477
Merrylands,10153.0,946.0,10590.0,46.8,4.4,48.8,12588
Granville (NSW),5344.0,567.0,5436.0,47.1,5.0,47.9,11738
Guildford (NSW),7189.0,751.0,7544.0,46.4,4.9,48.7,11790
Pemulwuy,2221.0,189.0,1012.0,64.9,5.5,29.6,13181
Greystanes,9378.0,876.0,6488.0,56.0,5.2,38.8,11781
South Granville,1811.0,143.0,1814.0,48.1,3.8,48.1,13583
Merrylands West,2197.0,215.0,2360.0,46.0,4.5,49.5,12589
Guildford West,1687.0,207.0,1605.0,48.2,5.9,45.9,11791
Woodpark,572.0,74.0,438.0,52.8,6.8,40.4,14390
South Wentworthville,2270.0,205.0,2019.0,50.5,4.6,44.9,13599
Holroyd,512.0,56.0,378.0,54.1,5.9,40.0,11925
Smithfield (NSW),3995.0,428.0,4434.0,45.1,4.8,50.1,13559
North Parramatta,4229.0,701.0,4319.0,45.7,7.6,46.7,13001
North Rocks,3672.0,294.0,1967.0,61.9,5.0,33.2,13003
Northmead,4366.0,673.0,3351.0,52.0,8.0,39.9,13023
Westmead,6904.0,340.0,3849.0,62.2,3.1,34.7,14261
Wentworthville,4684.0,297.0,3616.0,54.5,3.5,42.1,14228
Winston Hills,5180.0,465.0,2993.0,60.0,5.4,34.6,14335
Rosehill (NSW),1314.0,194.0,1206.0,48.4,7.1,44.4,13408
Harris Park,2310.0,154.0,1711.0,55.3,3.7,41.0,11860
Old Toongabbie,1293.0,137.0,925.0,54.9,5.8,39.3,13081
Constitution Hill,1404.0,162.0,1359.0,48.0,5.5,46.5,11014
Pendle Hill,2703.0,192.0,2233.0,52.7,3.7,43.5,13182
Girraween (NSW),2370.0,112.0,1469.0,60.0,2.8,37.2,11636
Mays Hill,261.0,30.0,264.0,47.0,5.4,47.6,12538
North Epping,2078.0,122.0,1229.0,60.6,3.6,35.8,12990
Cheltenham (NSW),1060.0,47.0,643.0,60.6,2.7,36.7,10896
Pennant Hills,3157.0,264.0,2156.0,56.6,4.7,38.7,13183
Denistone,1650.0,200.0,1060.0,56.7,6.9,36.4,11238
Eastwood (NSW),7192.0,588.0,6484.0,50.4,4.1,45.5,11369
Denistone East,953.0,66.0,622.0,58.1,4.0,37.9,11239
Denistone West,437.0,20.0,214.0,65.1,3.0,31.9,11240
Gladesville,4366.0,747.0,3662.0,49.8,8.5,41.7,11638
Tennyson Point,536.0,39.0,314.0,60.3,4.4,35.3,13790
Huntleys Point,75.0,0.0,50.0,60.0,0.0,40.0,11961
Henley,210.0,19.0,128.0,58.8,5.3,35.9,11891
Huntleys Cove,343.0,49.0,205.0,57.5,8.2,34.3,11960
Hunters Hill,3400.0,398.0,2268.0,56.1,6.6,37.4,11954
Macquarie Park,2360.0,603.0,2500.0,43.2,11.0,45.8,12437
Marsfield,4560.0,696.0,5111.0,44.0,6.7,49.3,12506
North Ryde,4361.0,430.0,3347.0,53.6,5.3,41.1,13005
Ryde,9966.0,1684.0,8579.0,49.3,8.3,42.4,13454
East Ryde,1132.0,61.0,655.0,61.3,3.3,35.4,11361
Meadowbank (NSW),1765.0,409.0,1506.0,48.0,11.1,40.9,12550
West Ryde,5268.0,698.0,4412.0,50.8,6.7,42.5,14251
Putney,1759.0,156.0,1179.0,56.9,5.0,38.1,13277
Busby,1075.0,215.0,1548.0,37.9,7.6,54.5,10720
Heckenberg,794.0,142.0,1190.0,37.3,6.7,56.0,11887
Miller,746.0,133.0,1323.0,33.9,6.0,60.1,12617
Ashcroft,873.0,140.0,1328.0,37.3,6.0,56.7,10097
Sadleir,784.0,111.0,1234.0,36.8,5.2,58.0,13461
Austral,963.0,135.0,911.0,47.9,6.7,45.3,10109
Rossmore (NSW),879.0,87.0,715.0,52.3,5.2,42.5,13420
Kemps Creek,811.0,86.0,682.0,51.4,5.4,43.2,12094
Bringelly,996.0,123.0,759.0,53.0,6.5,40.4,10575
Greendale (Liverpool - NSW),109.0,10.0,98.0,50.2,4.6,45.2,11759
Cecil Park,331.0,24.0,225.0,57.1,4.1,38.8,10866
Cecil Hills,2789.0,234.0,2191.0,53.5,4.5,42.0,10865
Catherine Field,636.0,42.0,466.0,55.6,3.7,40.7,10856
Leppington,1352.0,156.0,959.0,54.8,6.3,38.9,12305
Cobbitty,923.0,115.0,435.0,62.7,7.8,29.5,10954
Oran Park,1833.0,367.0,907.0,59.0,11.8,29.2,13091
Green Valley (NSW),4563.0,488.0,4295.0,48.8,5.2,46.0,11756
Elizabeth Hills,1037.0,96.0,550.0,61.6,5.7,32.7,11397
Hinchinbrook (NSW),4284.0,414.0,3726.0,50.9,4.9,44.2,11915
Hoxton Park,1685.0,156.0,1247.0,54.6,5.1,40.4,11951
Carnes Hill,888.0,93.0,423.0,63.2,6.6,30.1,10820
Horningsea Park,1461.0,136.0,1031.0,55.6,5.2,39.2,11935
Middleton Grange,2005.0,263.0,1074.0,60.0,7.9,32.1,12607
West Hoxton,3927.0,296.0,2887.0,55.2,4.2,40.6,14246
Bonnyrigg Heights,2802.0,242.0,2630.0,49.4,4.3,46.4,10472
Bonnyrigg,2748.0,296.0,3399.0,42.7,4.6,52.8,10471
Bossley Park,5844.0,447.0,4945.0,52.0,4.0,44.0,10515
Abbotsbury,1827.0,134.0,1412.0,54.2,4.0,41.9,10002
Cabramatta,6547.0,741.0,8969.0,40.3,4.6,55.2,10740
Lansvale,823.0,136.0,968.0,42.7,7.1,50.2,12275
Canley Vale,3203.0,339.0,4037.0,42.3,4.5,53.3,10792
Mount Pritchard,3130.0,456.0,3653.0,43.2,6.3,50.5,12785
Cabramatta West,2242.0,253.0,2908.0,41.5,4.7,53.8,10741
Canley Heights,3494.0,422.0,4435.0,41.8,5.1,53.1,10791
Edensor Park,3928.0,273.0,3419.0,51.5,3.6,44.9,11377
Fairfield West,4019.0,469.0,4250.0,46.0,5.4,48.6,11480
Fairfield Heights,2576.0,220.0,2799.0,46.0,3.9,50.0,11479
Greenfield Park,1977.0,117.0,1834.0,50.3,3.0,46.7,11761
Prairiewood,1321.0,103.0,1055.0,53.3,4.2,42.6,13258
Horsley Park,756.0,48.0,579.0,54.7,3.5,41.9,11943
Mount Vernon,507.0,24.0,351.0,57.5,2.7,39.8,12796
Wetherill Park,2520.0,225.0,1996.0,53.2,4.7,42.1,14264
Wakeley,1871.0,138.0,1644.0,51.2,3.8,45.0,14089
St Johns Park,2353.0,204.0,2184.0,49.6,4.3,46.1,13641
Casula,5798.0,649.0,4851.0,51.3,5.7,42.9,10852
Moorebank,3914.0,549.0,2446.0,56.7,7.9,35.4,12712
Chipping Norton,3629.0,388.0,2657.0,54.4,5.8,39.8,10908
Voyager Point,795.0,74.0,361.0,64.6,6.0,29.3,14079
Wattle Grove (NSW),3653.0,519.0,2294.0,56.5,8.0,35.5,14192
Hammondville,1141.0,237.0,942.0,49.2,10.2,40.6,11844
Sandy Point (NSW),264.0,45.0,132.0,59.9,10.2,29.9,13487
Pleasure Point,238.0,29.0,102.0,64.5,7.9,27.6,13229
Liverpool,8581.0,922.0,8552.0,47.5,5.1,47.4,12361
Warwick Farm,1584.0,288.0,2134.0,39.5,7.2,53.3,14177
Cartwright,593.0,110.0,964.0,35.6,6.6,57.8,10838
Lurnea,2963.0,340.0,3111.0,46.2,5.3,48.5,12422
Prestons,6060.0,510.0,4163.0,56.5,4.8,38.8,13260
Gymea Bay,3072.0,297.0,1626.0,61.5,5.9,32.6,11827
Gymea,2819.0,619.0,2356.0,48.7,10.7,40.7,11826
Grays Point,1460.0,149.0,739.0,62.2,6.3,31.5,11743
Miranda (NSW),5401.0,927.0,4838.0,48.4,8.3,43.3,12645
Yowie Bay,1379.0,113.0,838.0,59.2,4.8,36.0,14519
Taren Point,730.0,59.0,519.0,55.8,4.5,39.7,13766
Caringbah,3625.0,1033.0,3916.0,42.3,12.0,45.7,10815
Sylvania Waters,1316.0,159.0,934.0,54.6,6.6,38.8,13718
Sylvania,4274.0,502.0,2948.0,55.3,6.5,38.2,13717
Kangaroo Point (NSW),299.0,14.0,130.0,67.5,3.2,29.3,12060
Caringbah South,5329.0,503.0,3283.0,58.5,5.5,36.0,10816
Dolans Bay,286.0,26.0,162.0,60.3,5.5,34.2,11266
Kurnell,789.0,168.0,611.0,50.3,10.7,39.0,12216
Greenhills Beach,348.0,45.0,161.0,62.8,8.1,29.1,11764
Cronulla,5710.0,2059.0,6011.0,41.4,14.9,43.6,11119
Bundeena,718.0,196.0,521.0,50.0,13.7,36.3,10672
Maianbar,201.0,50.0,142.0,51.1,12.7,36.1,12443
Woolooware,1486.0,279.0,1185.0,50.4,9.5,40.2,14410
Lilli Pilli (Sutherland Shire - NSW),654.0,51.0,337.0,62.8,4.9,32.3,12322
Port Hacking,515.0,37.0,262.0,63.3,4.5,32.2,13244
Burraneer,1603.0,143.0,924.0,60.0,5.4,34.6,10705
Heathcote (NSW),2462.0,333.0,1648.0,55.4,7.5,37.1,11883
Waterfall,220.0,16.0,122.0,61.5,4.5,34.1,14182
Illawong,3450.0,263.0,1990.0,60.5,4.6,34.9,11974
Alfords Point,1505.0,90.0,897.0,60.4,3.6,36.0,10031
Barden Ridge,1864.0,135.0,1240.0,57.5,4.2,38.3,10193
Menai,4276.0,507.0,3022.0,54.8,6.5,38.7,12567
Bangor (NSW),2509.0,251.0,1444.0,59.7,6.0,34.3,10177
Woronora,898.0,151.0,557.0,55.9,9.4,34.7,14420
Bonnet Bay,1118.0,108.0,493.0,65.0,6.3,28.7,10469
Jannali,2222.0,405.0,1771.0,50.5,9.2,40.3,12001
Oyster Bay,2439.0,271.0,1230.0,61.9,6.9,31.2,13112
Como (NSW),1731.0,180.0,897.0,61.6,6.4,31.9,10996
Kareela,1669.0,135.0,822.0,63.6,5.1,31.3,12073
Kirrawee,3473.0,613.0,2699.0,51.2,9.0,39.8,12172
Sutherland (NSW),3410.0,1124.0,3558.0,42.1,13.9,44.0,13701
Loftus,1780.0,215.0,1044.0,58.6,7.1,34.4,12371
Engadine,7404.0,909.0,4194.0,59.2,7.3,33.5,11422
Yarrawarrah,1325.0,117.0,642.0,63.6,5.6,30.8,14485
Woronora Heights,1372.0,89.0,803.0,60.6,3.9,35.5,14422
