,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Fingal Head,177.0,41.0,169.0,45.7,10.6,43.7,11519
Casuarina (NSW),987.0,240.0,485.0,57.7,14.0,28.3,10851
Kingscliff,2605.0,558.0,2143.0,49.1,10.5,40.4,12154
Chinderah,468.0,113.0,678.0,37.2,9.0,53.9,10905
Cudgen,288.0,79.0,249.0,46.8,12.8,40.4,11143
Murwillumbah,2158.0,527.0,2281.0,43.5,10.6,45.9,12866
South Murwillumbah,307.0,70.0,383.0,40.4,9.2,50.4,13593
Bray Park (NSW),212.0,54.0,296.0,37.7,9.6,52.7,10552
Smiths Creek (Tweed - NSW),84.0,37.0,89.0,40.0,17.6,42.4,13562
Mount Burrell,45.0,29.0,92.0,27.1,17.5,55.4,12749
Byrrill Creek,24.0,26.0,32.0,29.3,31.7,39.0,10734
Pumpenbil,65.0,17.0,60.0,45.8,12.0,42.3,13272
Tumbulgum,136.0,36.0,99.0,50.2,13.3,36.5,13964
Limpinwood,89.0,24.0,57.0,52.4,14.1,33.5,12333
Tyalgum,141.0,53.0,165.0,39.3,14.8,46.0,13994
Dum Dum,47.0,15.0,29.0,51.6,16.5,31.9,11304
Byangum,39.0,15.0,40.0,41.5,16.0,42.6,10729
Eungella (NSW),95.0,33.0,80.0,45.7,15.9,38.5,11460
Crystal Creek (NSW),83.0,28.0,69.0,46.1,15.6,38.3,11138
Chillingham,89.0,21.0,66.0,50.6,11.9,37.5,10904
Stokers Siding,222.0,59.0,192.0,46.9,12.5,40.6,13664
Numinbah,37.0,3.0,36.0,48.7,3.9,47.4,13040
Upper Crystal Creek,77.0,14.0,62.0,50.3,9.2,40.5,14021
Nobbys Creek,123.0,12.0,70.0,60.0,5.9,34.1,12968
Dungay,87.0,22.0,56.0,52.7,13.3,33.9,11318
Kynnumboon,62.0,10.0,39.0,55.9,9.0,35.1,12228
Dunbible,141.0,30.0,92.0,53.6,11.4,35.0,11309
Fernvale (NSW),108.0,23.0,63.0,55.7,11.9,32.5,11511
Kielvale,113.0,21.0,69.0,55.7,10.3,34.0,12122
Reserve Creek,37.0,8.0,42.0,42.5,9.2,48.3,13353
Tygalgah,48.0,0.0,32.0,60.0,0.0,40.0,13996
Dulguigan,46.0,16.0,42.0,44.2,15.4,40.4,11302
Urliup,85.0,9.0,45.0,61.2,6.5,32.4,14060
Eviron,67.0,14.0,55.0,49.3,10.3,40.4,11472
Duranbah,85.0,9.0,68.0,52.5,5.6,42.0,11331
Condong,114.0,18.0,78.0,54.3,8.6,37.1,11003
Farrants Hill,49.0,17.0,28.0,52.1,18.1,29.8,11493
Clothiers Creek,95.0,21.0,75.0,49.7,11.0,39.3,10936
Nunderi,278.0,35.0,169.0,57.7,7.3,35.1,13042
Uki,205.0,66.0,205.0,43.1,13.9,43.1,14000
Bogangar,970.0,271.0,921.0,44.9,12.5,42.6,10439
Mooball,55.0,20.0,46.0,45.5,16.5,38.0,12687
Cabarita Beach,9.0,10.0,46.0,13.8,15.4,70.8,10737
Pottsville,2523.0,555.0,1496.0,55.2,12.1,32.7,13257
Crabbes Creek,89.0,18.0,95.0,44.1,8.9,47.0,11102
Upper Burringbar,71.0,26.0,96.0,36.8,13.5,49.7,14015
Burringbar,248.0,88.0,266.0,41.2,14.6,44.2,10713
Hastings Point,276.0,54.0,197.0,52.4,10.2,37.4,11868
Round Mountain,57.0,0.0,44.0,56.4,0.0,43.6,13425
Cudgera Creek,117.0,37.0,72.0,51.8,16.4,31.9,11144
Tweed Heads,2614.0,659.0,2995.0,41.7,10.5,47.8,13984
Tweed Heads West,1705.0,482.0,2373.0,37.4,10.6,52.0,13986
Piggabeen,119.0,21.0,96.0,50.4,8.9,40.7,13202
Bilambil Heights,1187.0,313.0,934.0,48.8,12.9,38.4,10348
Cobaki,77.0,16.0,48.0,54.6,11.3,34.0,10947
Bilambil,141.0,32.0,130.0,46.5,10.6,42.9,10347
Carool,64.0,15.0,50.0,49.6,11.6,38.8,10822
Glengarrie,48.0,7.0,49.0,46.2,6.7,47.1,11666
Banora Point,6057.0,1070.0,5188.0,49.2,8.7,42.1,10185
Terranora,1258.0,186.0,677.0,59.3,8.8,31.9,13802
North Tumbulgum,77.0,28.0,81.0,41.4,15.1,43.5,13012
Tweed Heads South,2314.0,568.0,2916.0,39.9,9.8,50.3,13985
Griffith (NSW),6069.0,1086.0,5084.0,49.6,8.9,41.5,11782
Yoogali,466.0,51.0,295.0,57.4,6.3,36.3,14516
Bilbul,217.0,28.0,125.0,58.6,7.6,33.8,10349
Yenda (NSW),571.0,111.0,371.0,54.2,10.5,35.2,14504
Beelbangera,166.0,19.0,106.0,57.0,6.5,36.4,10251
Myall Park (NSW),70.0,9.0,42.0,57.9,7.4,34.7,12873
Binya,61.0,0.0,23.0,72.6,0.0,27.4,10373
Hillston,464.0,133.0,373.0,47.8,13.7,38.5,11912
Rankins Springs,63.0,11.0,35.0,57.8,10.1,32.1,13316
Whitton,153.0,39.0,143.0,45.7,11.6,42.7,14280
Tharbogang,178.0,36.0,95.0,57.6,11.7,30.7,13811
Hanwood,465.0,79.0,333.0,53.0,9.0,38.0,11850
Coleambally,475.0,64.0,308.0,56.1,7.6,36.4,10964
Darlington Point,345.0,113.0,353.0,42.5,13.9,43.5,11215
Carrathool,72.0,26.0,57.0,46.5,16.8,36.8,10827
Goolgowi,128.0,43.0,111.0,45.4,15.2,39.4,11705
Merriwagga,43.0,3.0,33.0,54.4,3.8,41.8,12586
Nericon,114.0,15.0,69.0,57.6,7.6,34.8,12927
Lake Wyangan,400.0,36.0,202.0,62.7,5.6,31.7,12255
Murrami,83.0,17.0,54.0,53.9,11.0,35.1,12850
Stanbridge,69.0,8.0,39.0,59.5,6.9,33.6,13646
Leeton,2901.0,623.0,2379.0,49.1,10.6,40.3,12293
Yanco,185.0,54.0,198.0,42.3,12.4,45.3,14460
Corbie Hill,95.0,11.0,68.0,54.6,6.3,39.1,11068
Merungle Hill,100.0,12.0,56.0,59.5,7.1,33.3,12590
Narrandera,1336.0,288.0,1274.0,46.1,9.9,44.0,12906
Grong Grong,87.0,10.0,62.0,54.7,6.3,39.0,11784
Boree Creek,83.0,17.0,39.0,59.7,12.2,28.1,10512
Gillenbah,49.0,0.0,34.0,59.0,0.0,41.0,11622
Tumbarumba,656.0,138.0,493.0,51.0,10.7,38.3,13961
Khancoban,110.0,14.0,75.0,55.3,7.0,37.7,12111
Rosewood (Snowy Valleys - NSW),74.0,16.0,52.0,52.1,11.3,36.6,13415
Humula,46.0,6.0,39.0,50.5,6.6,42.9,11952
Tooma,40.0,15.0,19.0,54.1,20.3,25.7,13906
Tumut,1929.0,547.0,1762.0,45.5,12.9,41.6,13966
Gilmore (NSW),84.0,17.0,37.0,60.9,12.3,26.8,11626
Batlow,420.0,128.0,411.0,43.8,13.3,42.9,10232
Talbingo,81.0,13.0,58.0,53.3,8.6,38.2,13730
Gocup,58.0,7.0,34.0,58.6,7.1,34.3,11690
Bombowlee,128.0,26.0,52.0,62.1,12.6,25.2,10459
Lacmalac,62.0,7.0,33.0,60.8,6.9,32.4,12231
Mundongo,105.0,14.0,38.0,66.9,8.9,24.2,12840
Adelong,329.0,99.0,260.0,47.8,14.4,37.8,10018
Cootamundra,2542.0,437.0,1859.0,52.5,9.0,38.4,11053
Stockinbingal,138.0,18.0,103.0,53.3,6.9,39.8,13660
Wallendbeen,114.0,13.0,54.0,63.0,7.2,29.8,14113
Gundagai,543.0,149.0,495.0,45.7,12.6,41.7,11803
South Gundagai,254.0,81.0,246.0,43.7,13.9,42.3,13584
Tumblong,67.0,25.0,36.0,52.3,19.5,28.1,13963
Nangus,77.0,17.0,56.0,51.3,11.3,37.3,12890
Coolac,68.0,19.0,50.0,49.6,13.9,36.5,11022
Junee,1213.0,300.0,1267.0,43.6,10.8,45.6,12046
Harefield,67.0,4.0,29.0,67.0,4.0,29.0,11853
Old Junee,114.0,19.0,57.0,60.0,10.0,30.0,13078
Illabo,60.0,11.0,31.0,58.8,10.8,30.4,11972
Bethungra,73.0,8.0,45.0,57.9,6.3,35.7,10328
Wantabadgery,61.0,14.0,42.0,52.1,12.0,35.9,14136
Temora,1697.0,315.0,1385.0,50.0,9.3,40.8,13784
Springdale (NSW),49.0,21.0,26.0,51.0,21.9,27.1,13621
Lake Albert (NSW),2545.0,402.0,1485.0,57.4,9.1,33.5,12238
East Wagga Wagga,69.0,26.0,64.0,43.4,16.4,40.3,11364
Kooringal (NSW),2348.0,515.0,2322.0,45.3,9.9,44.8,12193
