,Preschool,Primary - Government,Primary - Catholic,Primary - other non Government,Secondary - Government,Secondary - Catholic,Secondary - other non Government,Technical or further education institution,University or tertiary institution,Other,Not stated,Preschool (%),Primary - Government (%),Primary - Catholic (%),Primary - other non Government (%),Secondary - Government (%),Secondary - Catholic (%),Secondary - other non Government (%),Technical or further education institution (%),University or tertiary institution (%),Other (%),Not stated (%),SSC_CODE
Somerton (NSW),3.0,10.0,7.0,0.0,6.0,0.0,4.0,8.0,0.0,0.0,50.0,3.4,11.4,8.0,0.0,6.8,0.0,4.5,9.1,0.0,0.0,56.8,13572
Bective,3.0,6.0,3.0,0.0,6.0,7.0,0.0,0.0,8.0,0.0,27.0,5.0,10.0,5.0,0.0,10.0,11.7,0.0,0.0,13.3,0.0,45.0,10245
Attunga,5.0,34.0,3.0,9.0,20.0,3.0,12.0,11.0,6.0,3.0,48.0,3.2,22.1,1.9,5.8,13.0,1.9,7.8,7.1,3.9,1.9,31.2,10105
Garthowen,0.0,7.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,0.0,10.0,0.0,23.3,0.0,0.0,10.0,13.3,10.0,10.0,0.0,0.0,33.3,11593
Limbri,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,5.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0,15.8,42.1,0.0,26.3,12327
Tintinhull,11.0,26.0,11.0,5.0,15.0,3.0,9.0,9.0,0.0,4.0,18.0,9.9,23.4,9.9,4.5,13.5,2.7,8.1,8.1,0.0,3.6,16.2,13879
Loomberah,7.0,35.0,7.0,15.0,15.0,9.0,12.0,9.0,7.0,0.0,19.0,5.2,25.9,5.2,11.1,11.1,6.7,8.9,6.7,5.2,0.0,14.1,12386
Moonbi,28.0,62.0,5.0,10.0,43.0,13.0,6.0,21.0,15.0,7.0,122.0,8.4,18.7,1.5,3.0,13.0,3.9,1.8,6.3,4.5,2.1,36.7,12699
Bendemeer,8.0,35.0,3.0,0.0,19.0,0.0,0.0,16.0,12.0,0.0,62.0,5.2,22.6,1.9,0.0,12.3,0.0,0.0,10.3,7.7,0.0,40.0,10289
Watsons Creek (NSW),0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,14.3,0.0,7.1,7.1,0.0,0.0,0.0,0.0,0.0,71.4,14188
Halls Creek (NSW),0.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.3,15.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,45.5,11834
Barraba,20.0,61.0,22.0,0.0,47.0,0.0,0.0,11.0,15.0,6.0,176.0,5.6,17.0,6.1,0.0,13.1,0.0,0.0,3.1,4.2,1.7,49.2,10206
Upper Manilla,3.0,3.0,3.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,22.0,6.8,6.8,6.8,0.0,22.7,0.0,0.0,6.8,0.0,0.0,50.0,14037
Manilla,53.0,111.0,68.0,3.0,147.0,21.0,8.0,28.0,21.0,12.0,291.0,6.9,14.5,8.9,0.4,19.3,2.8,1.0,3.7,2.8,1.6,38.1,12474
Daruka,14.0,54.0,24.0,16.0,42.0,20.0,18.0,13.0,13.0,4.0,28.0,5.7,22.0,9.8,6.5,17.1,8.1,7.3,5.3,5.3,1.6,11.4,11218
Moore Creek,66.0,161.0,80.0,85.0,105.0,63.0,58.0,40.0,54.0,3.0,132.0,7.8,19.0,9.4,10.0,12.4,7.4,6.8,4.7,6.4,0.4,15.6,12710
Hallsville,3.0,36.0,13.0,5.0,11.0,13.0,7.0,10.0,6.0,0.0,31.0,2.2,26.7,9.6,3.7,8.1,9.6,5.2,7.4,4.4,0.0,23.0,11835
Nundle,3.0,39.0,0.0,6.0,17.0,0.0,0.0,3.0,4.0,0.0,56.0,2.3,30.5,0.0,4.7,13.3,0.0,0.0,2.3,3.1,0.0,43.8,13043
Ogunbil,0.0,10.0,0.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,29.4,0.0,11.8,26.5,14.7,0.0,0.0,0.0,0.0,17.6,13071
Dungowan,8.0,36.0,8.0,9.0,20.0,4.0,3.0,7.0,10.0,0.0,33.0,5.8,26.1,5.8,6.5,14.5,2.9,2.2,5.1,7.2,0.0,23.9,11321
Piallamore,8.0,23.0,9.0,0.0,12.0,4.0,7.0,5.0,4.0,0.0,20.0,8.7,25.0,9.8,0.0,13.0,4.3,7.6,5.4,4.3,0.0,21.7,13195
Woolomin,3.0,25.0,0.0,3.0,11.0,0.0,3.0,3.0,0.0,0.0,17.0,4.6,38.5,0.0,4.6,16.9,0.0,4.6,4.6,0.0,0.0,26.2,14408
Warral,5.0,5.0,10.0,13.0,15.0,3.0,6.0,9.0,12.0,0.0,27.0,4.8,4.8,9.5,12.4,14.3,2.9,5.7,8.6,11.4,0.0,25.7,14163
Timbumburi,3.0,3.0,6.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,10.0,10.0,20.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,13870
Windale,57.0,260.0,41.0,12.0,190.0,12.0,0.0,45.0,44.0,9.0,341.0,5.6,25.7,4.1,1.2,18.8,1.2,0.0,4.5,4.4,0.9,33.7,14315
Jewells,45.0,172.0,21.0,9.0,108.0,28.0,17.0,50.0,60.0,13.0,76.0,7.5,28.7,3.5,1.5,18.0,4.7,2.8,8.3,10.0,2.2,12.7,12024
Belmont North,160.0,455.0,45.0,64.0,314.0,68.0,55.0,133.0,194.0,29.0,366.0,8.5,24.2,2.4,3.4,16.7,3.6,2.9,7.1,10.3,1.5,19.4,10277
Belmont (NSW),115.0,376.0,81.0,53.0,297.0,64.0,67.0,121.0,210.0,31.0,445.0,6.2,20.2,4.4,2.8,16.0,3.4,3.6,6.5,11.3,1.7,23.9,10276
Floraville,56.0,187.0,15.0,9.0,119.0,18.0,21.0,32.0,61.0,6.0,52.0,9.7,32.5,2.6,1.6,20.7,3.1,3.6,5.6,10.6,1.0,9.0,11535
Blacksmiths,17.0,111.0,15.0,4.0,79.0,22.0,16.0,45.0,35.0,7.0,91.0,3.8,25.1,3.4,0.9,17.9,5.0,3.6,10.2,7.9,1.6,20.6,10396
Pelican (NSW),5.0,50.0,6.0,4.0,42.0,11.0,4.0,20.0,21.0,4.0,44.0,2.4,23.7,2.8,1.9,19.9,5.2,1.9,9.5,10.0,1.9,20.9,13178
Marks Point,41.0,99.0,17.0,12.0,62.0,9.0,14.0,44.0,48.0,5.0,122.0,8.7,20.9,3.6,2.5,13.1,1.9,3.0,9.3,10.1,1.1,25.8,12492
Belmont South,8.0,70.0,10.0,0.0,56.0,19.0,0.0,15.0,17.0,7.0,46.0,3.2,28.2,4.0,0.0,22.6,7.7,0.0,6.0,6.9,2.8,18.5,10278
Kahibah,70.0,180.0,39.0,13.0,107.0,24.0,13.0,36.0,105.0,10.0,88.0,10.2,26.3,5.7,1.9,15.6,3.5,1.9,5.3,15.3,1.5,12.8,12048
Charlestown (NSW),237.0,735.0,230.0,62.0,466.0,155.0,65.0,251.0,606.0,86.0,593.0,6.8,21.1,6.6,1.8,13.4,4.4,1.9,7.2,17.4,2.5,17.0,10885
Whitebridge,41.0,160.0,51.0,10.0,122.0,45.0,20.0,46.0,115.0,5.0,115.0,5.6,21.9,7.0,1.4,16.7,6.2,2.7,6.3,15.8,0.7,15.8,14276
Gateshead,58.0,280.0,27.0,5.0,153.0,21.0,11.0,79.0,77.0,14.0,225.0,6.1,29.5,2.8,0.5,16.1,2.2,1.2,8.3,8.1,1.5,23.7,11594
Dudley,51.0,167.0,36.0,18.0,103.0,35.0,33.0,36.0,103.0,13.0,136.0,7.0,22.8,4.9,2.5,14.1,4.8,4.5,4.9,14.1,1.8,18.6,11300
Highfields (NSW),10.0,48.0,19.0,3.0,42.0,6.0,6.0,7.0,32.0,4.0,23.0,5.0,24.0,9.5,1.5,21.0,3.0,3.0,3.5,16.0,2.0,11.5,11902
Garden Suburb,40.0,109.0,36.0,11.0,86.0,44.0,39.0,30.0,82.0,8.0,72.0,7.2,19.6,6.5,2.0,15.4,7.9,7.0,5.4,14.7,1.4,12.9,11587
Cardiff (NSW),125.0,391.0,75.0,24.0,272.0,44.0,30.0,132.0,201.0,28.0,267.0,7.9,24.6,4.7,1.5,17.1,2.8,1.9,8.3,12.6,1.8,16.8,10809
Hillsborough (Lake Macquarie - NSW),12.0,49.0,10.0,0.0,41.0,7.0,5.0,10.0,21.0,0.0,22.0,6.8,27.7,5.6,0.0,23.2,4.0,2.8,5.6,11.9,0.0,12.4,11909
Warners Bay,158.0,495.0,81.0,30.0,412.0,84.0,37.0,129.0,290.0,34.0,352.0,7.5,23.5,3.9,1.4,19.6,4.0,1.8,6.1,13.8,1.6,16.7,14153
Argenton,23.0,101.0,8.0,7.0,58.0,3.0,3.0,32.0,29.0,3.0,83.0,6.6,28.9,2.3,2.0,16.6,0.9,0.9,9.1,8.3,0.9,23.7,10078
Glendale (NSW),80.0,192.0,37.0,30.0,124.0,31.0,36.0,66.0,91.0,29.0,145.0,9.3,22.3,4.3,3.5,14.4,3.6,4.2,7.7,10.6,3.4,16.8,11658
Elermore Vale,99.0,377.0,50.0,46.0,256.0,33.0,43.0,117.0,238.0,25.0,232.0,6.5,24.9,3.3,3.0,16.9,2.2,2.8,7.7,15.7,1.6,15.3,11394
Macquarie Hills,103.0,231.0,72.0,32.0,153.0,33.0,34.0,65.0,149.0,15.0,76.0,10.7,24.0,7.5,3.3,15.9,3.4,3.5,6.7,15.5,1.6,7.9,12434
Kotara,91.0,271.0,66.0,18.0,211.0,68.0,22.0,86.0,168.0,17.0,129.0,7.9,23.6,5.8,1.6,18.4,5.9,1.9,7.5,14.6,1.5,11.2,12200
Cardiff Heights,28.0,78.0,15.0,15.0,42.0,13.0,13.0,24.0,52.0,10.0,113.0,6.9,19.4,3.7,3.7,10.4,3.2,3.2,6.0,12.9,2.5,28.0,10810
Cardiff South,58.0,221.0,32.0,16.0,157.0,31.0,12.0,59.0,96.0,15.0,128.0,7.0,26.8,3.9,1.9,19.0,3.8,1.5,7.2,11.6,1.8,15.5,10811
New Lambton Heights,77.0,151.0,55.0,21.0,120.0,34.0,40.0,35.0,171.0,12.0,101.0,9.4,18.5,6.7,2.6,14.7,4.2,4.9,4.3,20.9,1.5,12.4,12943
Rankin Park,54.0,167.0,22.0,12.0,138.0,25.0,18.0,41.0,91.0,16.0,92.0,8.0,24.7,3.3,1.8,20.4,3.7,2.7,6.1,13.5,2.4,13.6,13315
Tingira Heights,50.0,169.0,18.0,18.0,123.0,23.0,35.0,46.0,82.0,12.0,135.0,7.0,23.8,2.5,2.5,17.3,3.2,4.9,6.5,11.5,1.7,19.0,13875
Mount Hutton (NSW),65.0,199.0,57.0,19.0,123.0,32.0,18.0,65.0,116.0,22.0,174.0,7.3,22.4,6.4,2.1,13.8,3.6,2.0,7.3,13.0,2.5,19.6,12766
Eleebana,104.0,452.0,61.0,45.0,319.0,73.0,75.0,91.0,252.0,22.0,199.0,6.1,26.7,3.6,2.7,18.8,4.3,4.4,5.4,14.9,1.3,11.8,11393
Redhead,68.0,252.0,40.0,20.0,154.0,51.0,30.0,55.0,127.0,14.0,223.0,6.6,24.4,3.9,1.9,14.9,4.9,2.9,5.3,12.3,1.4,21.6,13340
Caves Beach,81.0,249.0,52.0,23.0,195.0,43.0,37.0,71.0,145.0,20.0,169.0,7.5,22.9,4.8,2.1,18.0,4.0,3.4,6.5,13.4,1.8,15.6,10862
Nords Wharf,23.0,65.0,15.0,3.0,28.0,6.0,9.0,11.0,21.0,3.0,55.0,9.6,27.2,6.3,1.3,11.7,2.5,3.8,4.6,8.8,1.3,23.0,12975
Swansea (NSW),70.0,243.0,32.0,15.0,176.0,30.0,22.0,75.0,106.0,19.0,399.0,5.9,20.5,2.7,1.3,14.8,2.5,1.9,6.3,8.9,1.6,33.6,13711
Swansea Heads,8.0,27.0,9.0,5.0,23.0,9.0,10.0,14.0,24.0,7.0,20.0,5.1,17.3,5.8,3.2,14.7,5.8,6.4,9.0,15.4,4.5,12.8,13712
Catherine Hill Bay,3.0,13.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,11.0,8.1,35.1,0.0,0.0,16.2,0.0,0.0,10.8,0.0,0.0,29.7,10857
Cams Wharf,3.0,8.0,0.0,5.0,5.0,0.0,0.0,4.0,3.0,0.0,3.0,9.7,25.8,0.0,16.1,16.1,0.0,0.0,12.9,9.7,0.0,9.7,10784
Murrays Beach,25.0,55.0,11.0,3.0,21.0,3.0,6.0,3.0,20.0,0.0,16.0,15.3,33.7,6.7,1.8,12.9,1.8,3.7,1.8,12.3,0.0,9.8,12854
Valentine,103.0,389.0,57.0,43.0,296.0,69.0,68.0,115.0,252.0,26.0,180.0,6.4,24.3,3.6,2.7,18.5,4.3,4.3,7.2,15.8,1.6,11.3,14065
Croudace Bay,20.0,73.0,4.0,4.0,42.0,7.0,5.0,12.0,20.0,4.0,33.0,8.9,32.6,1.8,1.8,18.8,3.1,2.2,5.4,8.9,1.8,14.7,11128
Speers Point,63.0,161.0,55.0,26.0,99.0,37.0,25.0,55.0,129.0,10.0,171.0,7.6,19.4,6.6,3.1,11.9,4.5,3.0,6.6,15.5,1.2,20.6,13605
Lakelands (NSW),25.0,97.0,28.0,4.0,96.0,26.0,14.0,20.0,56.0,6.0,50.0,5.9,23.0,6.6,0.9,22.7,6.2,3.3,4.7,13.3,1.4,11.8,12256
Boolaroo,23.0,55.0,7.0,4.0,40.0,6.0,4.0,24.0,41.0,4.0,42.0,9.2,22.0,2.8,1.6,16.0,2.4,1.6,9.6,16.4,1.6,16.8,10482
Booragul,22.0,69.0,17.0,6.0,67.0,17.0,7.0,24.0,30.0,13.0,70.0,6.4,20.2,5.0,1.8,19.6,5.0,2.0,7.0,8.8,3.8,20.5,10495
Fennell Bay,20.0,83.0,11.0,24.0,54.0,9.0,24.0,37.0,39.0,9.0,84.0,5.1,21.1,2.8,6.1,13.7,2.3,6.1,9.4,9.9,2.3,21.3,11500
Marmong Point,19.0,43.0,13.0,16.0,15.0,27.0,14.0,11.0,25.0,4.0,30.0,8.8,19.8,6.0,7.4,6.9,12.4,6.5,5.1,11.5,1.8,13.8,12498
Woodrising,29.0,80.0,11.0,14.0,47.0,29.0,3.0,35.0,30.0,9.0,43.0,8.8,24.2,3.3,4.2,14.2,8.8,0.9,10.6,9.1,2.7,13.0,14391
Bolton Point,40.0,139.0,17.0,20.0,104.0,14.0,11.0,33.0,38.0,15.0,234.0,6.0,20.9,2.6,3.0,15.6,2.1,1.7,5.0,5.7,2.3,35.2,10449
Teralba,26.0,68.0,17.0,14.0,61.0,23.0,8.0,35.0,28.0,3.0,180.0,5.6,14.7,3.7,3.0,13.2,5.0,1.7,7.6,6.0,0.6,38.9,13793
Fassifern (NSW),18.0,23.0,3.0,6.0,23.0,7.0,10.0,13.0,16.0,3.0,24.0,12.3,15.8,2.1,4.1,15.8,4.8,6.8,8.9,11.0,2.1,16.4,11495
Balcolyn,18.0,54.0,6.0,21.0,41.0,7.0,17.0,25.0,15.0,9.0,54.0,6.7,20.2,2.2,7.9,15.4,2.6,6.4,9.4,5.6,3.4,20.2,10145
Yarrawonga Park,9.0,20.0,0.0,3.0,10.0,0.0,3.0,7.0,4.0,3.0,33.0,9.8,21.7,0.0,3.3,10.9,0.0,3.3,7.6,4.3,3.3,35.9,14487
Mirrabooka (NSW),13.0,34.0,6.0,18.0,35.0,3.0,21.0,11.0,21.0,10.0,28.0,6.5,17.0,3.0,9.0,17.5,1.5,10.5,5.5,10.5,5.0,14.0,12647
Sunshine (NSW),5.0,20.0,10.0,9.0,11.0,3.0,6.0,10.0,17.0,4.0,24.0,4.2,16.8,8.4,7.6,9.2,2.5,5.0,8.4,14.3,3.4,20.2,13694
Silverwater (Lake Macquarie - NSW),8.0,18.0,9.0,7.0,16.0,4.0,0.0,4.0,8.0,0.0,14.0,9.1,20.5,10.2,8.0,18.2,4.5,0.0,4.5,9.1,0.0,15.9,13546
Bonnells Bay,62.0,187.0,29.0,69.0,118.0,19.0,73.0,68.0,105.0,25.0,168.0,6.7,20.3,3.1,7.5,12.8,2.1,7.9,7.4,11.4,2.7,18.2,10468
Brightwaters,7.0,37.0,6.0,27.0,22.0,3.0,28.0,26.0,27.0,5.0,43.0,3.0,16.0,2.6,11.7,9.5,1.3,12.1,11.3,11.7,2.2,18.6,10570
Morisset Park,11.0,35.0,8.0,29.0,14.0,3.0,18.0,17.0,19.0,3.0,43.0,5.5,17.5,4.0,14.5,7.0,1.5,9.0,8.5,9.5,1.5,21.5,12724
Windermere Park,12.0,64.0,3.0,7.0,39.0,5.0,14.0,13.0,14.0,4.0,35.0,5.7,30.5,1.4,3.3,18.6,2.4,6.7,6.2,6.7,1.9,16.7,14321
Edgeworth,127.0,421.0,53.0,21.0,309.0,31.0,19.0,109.0,143.0,32.0,302.0,8.1,26.9,3.4,1.3,19.7,2.0,1.2,7.0,9.1,2.0,19.3,11381
Cameron Park,250.0,597.0,184.0,137.0,383.0,121.0,95.0,156.0,287.0,41.0,417.0,9.4,22.4,6.9,5.1,14.4,4.5,3.6,5.8,10.8,1.5,15.6,10775
Cooranbong,83.0,175.0,32.0,191.0,149.0,31.0,176.0,89.0,370.0,49.0,310.0,5.0,10.6,1.9,11.5,9.0,1.9,10.6,5.4,22.4,3.0,18.7,11052
Wyee,37.0,141.0,25.0,14.0,98.0,34.0,26.0,42.0,50.0,13.0,139.0,6.0,22.8,4.0,2.3,15.8,5.5,4.2,6.8,8.1,2.1,22.5,14438
Morisset,29.0,103.0,22.0,32.0,87.0,11.0,56.0,54.0,77.0,21.0,209.0,4.1,14.7,3.1,4.6,12.4,1.6,8.0,7.7,11.0,3.0,29.8,12723
Wyee Point,18.0,78.0,17.0,19.0,52.0,32.0,17.0,24.0,29.0,4.0,39.0,5.5,23.7,5.2,5.8,15.8,9.7,5.2,7.3,8.8,1.2,11.9,14439
Mandalong,4.0,28.0,8.0,11.0,23.0,4.0,9.0,10.0,14.0,3.0,27.0,2.8,19.9,5.7,7.8,16.3,2.8,6.4,7.1,9.9,2.1,19.1,12465
Dora Creek,29.0,75.0,16.0,16.0,47.0,9.0,17.0,26.0,43.0,10.0,99.0,7.5,19.4,4.1,4.1,12.1,2.3,4.4,6.7,11.1,2.6,25.6,11277
Eraring,3.0,13.0,3.0,0.0,7.0,5.0,10.0,3.0,5.0,3.0,14.0,4.5,19.7,4.5,0.0,10.6,7.6,15.2,4.5,7.6,4.5,21.2,11429
Martinsville,4.0,4.0,0.0,6.0,7.0,0.0,9.0,4.0,10.0,0.0,47.0,4.4,4.4,0.0,6.6,7.7,0.0,9.9,4.4,11.0,0.0,51.6,12512
Blackalls Park,49.0,178.0,13.0,26.0,160.0,22.0,20.0,68.0,77.0,15.0,115.0,6.6,24.0,1.7,3.5,21.5,3.0,2.7,9.2,10.4,2.0,15.5,10390
Toronto,71.0,315.0,40.0,42.0,257.0,22.0,39.0,121.0,129.0,32.0,474.0,4.6,20.4,2.6,2.7,16.7,1.4,2.5,7.8,8.4,2.1,30.7,13918
Kilaben Bay,24.0,74.0,16.0,25.0,48.0,22.0,31.0,17.0,48.0,6.0,60.0,6.5,19.9,4.3,6.7,12.9,5.9,8.4,4.6,12.9,1.6,16.2,12125
Coal Point,28.0,67.0,13.0,13.0,47.0,32.0,27.0,23.0,76.0,14.0,81.0,6.7,15.9,3.1,3.1,11.2,7.6,6.4,5.5,18.1,3.3,19.2,10943
Awaba,8.0,21.0,10.0,10.0,20.0,6.0,6.0,12.0,14.0,0.0,14.0,6.6,17.4,8.3,8.3,16.5,5.0,5.0,9.9,11.6,0.0,11.6,10118
Carey Bay,15.0,37.0,13.0,3.0,11.0,8.0,5.0,8.0,19.0,6.0,64.0,7.9,19.6,6.9,1.6,5.8,4.2,2.6,4.2,10.1,3.2,33.9,10812
Buttaba,24.0,50.0,22.0,19.0,38.0,24.0,17.0,19.0,23.0,9.0,42.0,8.4,17.4,7.7,6.6,13.2,8.4,5.9,6.6,8.0,3.1,14.6,10723
Fishing Point,13.0,39.0,10.0,16.0,45.0,13.0,22.0,22.0,33.0,7.0,36.0,5.1,15.2,3.9,6.2,17.6,5.1,8.6,8.6,12.9,2.7,14.1,11526
Rathmines,27.0,89.0,30.0,23.0,95.0,20.0,17.0,34.0,60.0,3.0,62.0,5.9,19.3,6.5,5.0,20.7,4.3,3.7,7.4,13.0,0.7,13.5,13319
Wangi Wangi,48.0,119.0,21.0,26.0,87.0,36.0,31.0,38.0,58.0,15.0,133.0,7.8,19.4,3.4,4.2,14.2,5.9,5.1,6.2,9.5,2.5,21.7,14135
Arcadia Vale,26.0,87.0,21.0,6.0,68.0,11.0,11.0,15.0,37.0,12.0,66.0,7.2,24.2,5.8,1.7,18.9,3.1,3.1,4.2,10.3,3.3,18.3,10073
Balmoral (Lake Macquarie - NSW),9.0,37.0,3.0,10.0,32.0,12.0,13.0,14.0,31.0,0.0,17.0,5.1,20.8,1.7,5.6,18.0,6.7,7.3,7.9,17.4,0.0,9.6,10166
Holmesville,26.0,95.0,12.0,14.0,94.0,3.0,10.0,32.0,29.0,3.0,82.0,6.5,23.8,3.0,3.5,23.5,0.8,2.5,8.0,7.2,0.8,20.5,11924
Barnsley,40.0,118.0,7.0,14.0,106.0,21.0,0.0,41.0,29.0,8.0,65.0,8.9,26.3,1.6,3.1,23.6,4.7,0.0,9.1,6.5,1.8,14.5,10204
Seahampton,10.0,25.0,0.0,0.0,22.0,3.0,3.0,8.0,4.0,4.0,22.0,9.9,24.8,0.0,0.0,21.8,3.0,3.0,7.9,4.0,4.0,21.8,13511
West Wallsend,45.0,176.0,18.0,14.0,119.0,12.0,3.0,35.0,50.0,6.0,95.0,7.9,30.7,3.1,2.4,20.8,2.1,0.5,6.1,8.7,1.0,16.6,14253
Killingworth (NSW),17.0,40.0,7.0,8.0,46.0,8.0,3.0,25.0,16.0,3.0,19.0,8.9,20.8,3.6,4.2,24.0,4.2,1.6,13.0,8.3,1.6,9.9,12137
Wakefield,3.0,0.0,3.0,10.0,6.0,0.0,0.0,3.0,6.0,0.0,15.0,6.5,0.0,6.5,21.7,13.0,0.0,0.0,6.5,13.0,0.0,32.6,14088
Adamstown Heights,150.0,387.0,112.0,23.0,244.0,77.0,30.0,78.0,264.0,15.0,161.0,9.7,25.1,7.3,1.5,15.8,5.0,1.9,5.1,17.1,1.0,10.4,10017
Adamstown,121.0,335.0,163.0,26.0,230.0,113.0,44.0,137.0,376.0,29.0,221.0,6.7,18.7,9.1,1.4,12.8,6.3,2.5,7.6,20.9,1.6,12.3,10016
Kotara South,31.0,66.0,23.0,11.0,51.0,14.0,3.0,15.0,52.0,3.0,71.0,9.1,19.4,6.8,3.2,15.0,4.1,0.9,4.4,15.3,0.9,20.9,12201
Woodberry,49.0,222.0,37.0,3.0,169.0,17.0,5.0,55.0,50.0,12.0,246.0,5.7,25.7,4.3,0.3,19.5,2.0,0.6,6.4,5.8,1.4,28.4,14377
Beresfield,70.0,181.0,57.0,3.0,113.0,30.0,6.0,68.0,82.0,18.0,178.0,8.7,22.5,7.1,0.4,14.0,3.7,0.7,8.4,10.2,2.2,22.1,10301
Tarro,35.0,101.0,9.0,7.0,64.0,10.0,3.0,33.0,24.0,9.0,105.0,8.8,25.2,2.2,1.8,16.0,2.5,0.8,8.2,6.0,2.2,26.2,13771
Hexham (NSW),0.0,6.0,3.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0,17.6,8.8,0.0,17.6,0.0,0.0,0.0,8.8,0.0,47.1,11898
Hamilton South,80.0,228.0,81.0,31.0,126.0,38.0,59.0,63.0,214.0,22.0,291.0,6.5,18.5,6.6,2.5,10.2,3.1,4.8,5.1,17.4,1.8,23.6,11841
Broadmeadow,38.0,101.0,18.0,0.0,70.0,6.0,4.0,49.0,122.0,3.0,68.0,7.9,21.1,3.8,0.0,14.6,1.3,0.8,10.2,25.5,0.6,14.2,10578
Hamilton East,20.0,56.0,19.0,14.0,37.0,11.0,16.0,11.0,74.0,8.0,47.0,6.4,17.9,6.1,4.5,11.8,3.5,5.1,3.5,23.6,2.6,15.0,11839
Newcastle West,0.0,8.0,0.0,0.0,5.0,3.0,0.0,16.0,75.0,0.0,97.0,0.0,3.9,0.0,0.0,2.5,1.5,0.0,7.8,36.8,0.0,47.5,12951
Hamilton North,16.0,49.0,10.0,5.0,40.0,17.0,4.0,13.0,55.0,10.0,36.0,6.3,19.2,3.9,2.0,15.7,6.7,1.6,5.1,21.6,3.9,14.1,11840
Hamilton (NSW),48.0,164.0,33.0,16.0,143.0,33.0,29.0,97.0,392.0,23.0,298.0,3.8,12.9,2.6,1.3,11.2,2.6,2.3,7.6,30.7,1.8,23.4,11838
New Lambton,219.0,614.0,245.0,66.0,419.0,189.0,67.0,206.0,571.0,54.0,429.0,7.1,19.9,8.0,2.1,13.6,6.1,2.2,6.7,18.5,1.8,13.9,12942
Lambton,104.0,285.0,101.0,51.0,228.0,74.0,40.0,105.0,331.0,26.0,170.0,6.9,18.8,6.7,3.4,15.0,4.9,2.6,6.9,21.8,1.7,11.2,12264
Jesmond,36.0,171.0,21.0,6.0,87.0,15.0,10.0,150.0,606.0,31.0,200.0,2.7,12.8,1.6,0.5,6.5,1.1,0.8,11.3,45.5,2.3,15.0,12023
Maryland (Newcastle - NSW),166.0,573.0,84.0,65.0,481.0,69.0,92.0,140.0,334.0,50.0,281.0,7.1,24.5,3.6,2.8,20.6,3.0,3.9,6.0,14.3,2.1,12.0,12514
Fletcher (NSW),186.0,396.0,106.0,173.0,264.0,44.0,119.0,84.0,243.0,22.0,175.0,10.3,21.9,5.8,9.5,14.6,2.4,6.6,4.6,13.4,1.2,9.7,11533
Minmi,19.0,63.0,4.0,8.0,52.0,3.0,9.0,32.0,22.0,10.0,13.0,8.1,26.8,1.7,3.4,22.1,1.3,3.8,13.6,9.4,4.3,5.5,12638
Warabrook,23.0,56.0,27.0,13.0,51.0,21.0,24.0,55.0,194.0,9.0,210.0,3.4,8.2,4.0,1.9,7.5,3.1,3.5,8.1,28.4,1.3,30.7,14140
Mayfield West,31.0,104.0,37.0,13.0,51.0,24.0,10.0,48.0,118.0,11.0,89.0,5.8,19.4,6.9,2.4,9.5,4.5,1.9,9.0,22.0,2.1,16.6,12536
Mayfield (Newcastle - NSW),158.0,452.0,95.0,42.0,233.0,80.0,58.0,319.0,617.0,57.0,641.0,5.7,16.4,3.5,1.5,8.5,2.9,2.1,11.6,22.4,2.1,23.3,12530
Mayfield East,25.0,87.0,19.0,3.0,39.0,16.0,8.0,51.0,101.0,11.0,88.0,5.6,19.4,4.2,0.7,8.7,3.6,1.8,11.4,22.5,2.5,19.6,12534
Merewether Heights,44.0,136.0,24.0,15.0,66.0,24.0,22.0,15.0,66.0,7.0,83.0,8.8,27.1,4.8,3.0,13.1,4.8,4.4,3.0,13.1,1.4,16.5,12574
Merewether,207.0,548.0,264.0,103.0,306.0,223.0,162.0,190.0,812.0,46.0,523.0,6.1,16.2,7.8,3.0,9.0,6.6,4.8,5.6,24.0,1.4,15.5,12573
The Junction,14.0,46.0,13.0,4.0,26.0,16.0,13.0,20.0,80.0,4.0,53.0,4.8,15.9,4.5,1.4,9.0,5.5,4.5,6.9,27.7,1.4,18.3,13827
Cooks Hill,50.0,136.0,34.0,26.0,87.0,37.0,35.0,78.0,350.0,22.0,249.0,4.5,12.3,3.1,2.4,7.9,3.4,3.2,7.1,31.7,2.0,22.6,11019
Bar Beach,11.0,34.0,26.0,13.0,21.0,24.0,50.0,24.0,109.0,3.0,116.0,2.6,7.9,6.0,3.0,4.9,5.6,11.6,5.6,25.3,0.7,26.9,10187
