,School Education,"Cafes, Restaurants and Takeaway Food Services",Building Installation Services,Road Freight Transport,Residential Building Construction,Legal and Accounting Services,Depository Financial Intermediation,Auxiliary Finance and Investment Services,Hospitals,Public Order and Safety Services,Defence,"Architectural, Engineering and Technical Services",Tertiary Education,"Building Cleaning, Pest Control and Gardening Services",Residential Care Services,Basic Ferrous Metal Manufacturing,Supermarket and Grocery Stores,Computer System Design and Related Services,"Clothing, Footwear and Personal Accessory Retailing",Coal Mining,Allied Health Services,Management and Related Consulting Services,State Government Administration,Building Completion Services,Accommodation,Other Machinery and Equipment Wholesaling,Medical Services,Pharmaceutical and Other Store-Based Retailing,Other Social Assistance Services,Child Care Services,Furniture Manufacturing,Specialised Food Retailing,Advertising Services,Air and Space Transport,Meat and Meat Product Manufacturing,Personal Care Services,Converted Paper Product Manufacturing,Real Estate Services,Printing and Printing Support Services,"Newspaper, Periodical, Book and Directory Publishing",Employment Services,"Furniture, Floor Covering and Other Goods Wholesaling",Automotive Repair and Maintenance,Veterinary Services,Road Passenger Transport,Local Government Administration,"Cement, Lime, Plaster and Concrete Product Manufacturing",Telecommunications Services,Specialised Machinery and Equipment Manufacturing,Recreational Goods Retailing,"Adult, Community and Other Education",Property Operators,Building Structure Services,Fruit and Vegetable Processing,Fertiliser and Pesticide Manufacturing,Polymer Product Manufacturing,Other Goods and Equipment Rental and Hiring,Sports and Physical Recreation Activities,Postal and Courier Pick-up and Delivery Services,Horse and Dog Racing Activities,"Pubs, Taverns and Bars",Rail Passenger Transport,School Education (%),"Cafes, Restaurants and Takeaway Food Services (%)",Building Installation Services (%),Road Freight Transport (%),Residential Building Construction (%),Legal and Accounting Services (%),Depository Financial Intermediation (%),Auxiliary Finance and Investment Services (%),Hospitals (%),Public Order and Safety Services (%),Defence (%),"Architectural, Engineering and Technical Services (%)",Tertiary Education (%),"Building Cleaning, Pest Control and Gardening Services (%)",Residential Care Services (%),Basic Ferrous Metal Manufacturing (%),Supermarket and Grocery Stores (%),Computer System Design and Related Services (%),"Clothing, Footwear and Personal Accessory Retailing (%)",Coal Mining (%),Allied Health Services (%),Management and Related Consulting Services (%),State Government Administration (%),Building Completion Services (%),Accommodation (%),Other Machinery and Equipment Wholesaling (%),Medical Services (%),Pharmaceutical and Other Store-Based Retailing (%),Other Social Assistance Services (%),Child Care Services (%),Furniture Manufacturing (%),Specialised Food Retailing (%),Advertising Services (%),Air and Space Transport (%),Meat and Meat Product Manufacturing (%),Personal Care Services (%),Converted Paper Product Manufacturing (%),Real Estate Services (%),Printing and Printing Support Services (%),"Newspaper, Periodical, Book and Directory Publishing (%)",Employment Services (%),"Furniture, Floor Covering and Other Goods Wholesaling (%)",Automotive Repair and Maintenance (%),Veterinary Services (%),Road Passenger Transport (%),Local Government Administration (%),"Cement, Lime, Plaster and Concrete Product Manufacturing (%)",Telecommunications Services (%),Specialised Machinery and Equipment Manufacturing (%),Recreational Goods Retailing (%),"Adult, Community and Other Education (%)",Property Operators (%),Building Structure Services (%),Fruit and Vegetable Processing (%),Fertiliser and Pesticide Manufacturing (%),Polymer Product Manufacturing (%),Other Goods and Equipment Rental and Hiring (%),Sports and Physical Recreation Activities (%),Postal and Courier Pick-up and Delivery Services (%),Horse and Dog Racing Activities (%),"Pubs, Taverns and Bars (%)",Rail Passenger Transport (%)
Caringbah,266,172,,,,,,,240,158,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.0,,,,,,,4.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlingford,442,365,,,,316,,,401,,,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.6,,,,3.1,,,4.0,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton,125,271,,,,127,114,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,5.8,,,,2.7,2.4,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carramar,25,33,,,21,,,,,,,,,,47,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.0,,,1.9,,,,,,,,,,4.2,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington,,43,,,,,,,51,,,36,35,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,5.6,,,3.9,3.8,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carss Park,29,27,18,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,5.3,4.9,3.3,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,
Cartwright,,25,,35,19,,,,,,,,,,18,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,5.9,3.2,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Cove,,47,,,,64,,33,,,,37,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,5.7,,2.9,,,,3.3,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Hill,"1,129",641,,,,572,,,613,,,,,,,,,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,3.4,,,,3.0,,,3.2,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castlecrag,,50,,,,91,,58,,,,75,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,6.8,,4.3,,,,5.6,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casula,283,216,,185,,,,,194,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.5,,3.0,,,,,3.2,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caves Beach,153,79,,,,,,,57,,,,,,,,75,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,4.5,,,,,,,3.2,,,,,,,,4.3,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecil Hills,125,133,,,,,92,,,,,,,,,,101,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.0,,,,,2.7,,,,,,,,,,3.0,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Park,,48,,,,83,,59,55,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,6.1,,4.3,4.0,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlestown,351,296,,,,,,,275,,,166,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,4.9,,,,,,,4.5,,,2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmhaven,44,37,,,,,,,31,,,,,,33,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.0,,,,,,,3.4,,,,,,3.6,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatswood,,579,,,,422,406,299,,,,,,,,,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,4.2,4.0,3.0,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatswood West,,,,,,36,,27,,,,38,25,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,3.8,,,,5.4,3.6,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham,74,,,,,35,,,56,,,,44,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,3.3,,,5.3,,,,4.2,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherrybrook,518,324,,,,328,339,,,,,,,,,,,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,3.4,,,,3.4,3.5,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester Hill,147,141,,140,94,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.4,,3.3,2.2,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chifley,68,51,,,42,,,,55,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.4,,,2.8,,,,3.7,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chippendale,,156,,,,89,70,,,,,,142,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,3.8,3.0,,,,,,6.0,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipping Norton,260,157,111,143,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,3.5,2.5,3.2,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiswick,57,,,,,62,49,60,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,4.1,3.2,4.0,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittaway Bay,35,45,,,,,,,33,,,,,,37,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.2,,,,,,,3.8,,,,,,4.2,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittaway Point,,18,19,,15,,,,16,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.3,,3.4,,,,3.6,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Point,,,,,,21,,,,,,,,,,,,19,,,,17,,,,,19,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,3.5,,,,3.1,,,,,3.5,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,
Claremont Meadows,90,77,,82,,,,,87,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.6,,3.9,,,,,4.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claymore,,16,,21,,,,,,,,,,21,22,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,4.6,,,,,,,,,,4.6,4.8,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clontarf,,26,,,,44,,47,,,,31,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,5.9,,6.3,,,,4.2,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clovelly,106,,,,,116,,101,94,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,4.6,,4.0,3.8,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal Point,44,25,,,,,,,,,,25,,,,,,,,27,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3.1,,,,,,,,,,3.1,,,,,,,,3.4,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coledale,40,24,,,,,,,26,,,,45,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,4.1,,,,,,,4.4,,,,7.7,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collaroy,330,232,,,206,218,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.0,,,2.7,2.9,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colyton,98,128,,171,,,,,,106,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.6,,4.9,,,,,,3.0,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Como,153,53,,,,75,81,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,2.7,,,,3.8,4.1,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord,361,286,,,,227,162,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,4.2,,,,3.3,2.4,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord West,154,89,,,,101,,,139,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3.2,,,,3.6,,,4.9,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condell Park,150,158,,103,,,87,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.2,,2.7,,,2.3,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coniston,42,36,,,,,,,35,,,,32,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.1,,,,,,,4.0,,,,3.6,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connells Point,48,52,,,,59,,,39,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.1,,,,4.6,,,3.1,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coogee,286,,,,,345,,281,396,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,4.0,,3.3,4.6,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooks Hill,107,120,,,,,,,147,,,99,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.7,,,,,,,7.0,,,4.7,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copacabana,98,55,34,,,,,,64,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,4.2,2.6,,,,,,4.9,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordeaux Heights,180,148,,,,,,,97,,,,97,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,5.7,,,,,,,3.7,,,,3.7,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrimal,135,124,,,,,,,89,,,,,,,96,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.5,,,,,,,3.3,,,,,,,3.5,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranebrook,330,252,,267,,,,,239,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.4,,3.6,,,,,3.2,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremorne,,,,,,362,254,345,,,,212,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,4.0,5.4,,,,3.3,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremorne Point,,,,,,68,37,63,,,,,,,,,,51,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,3.3,5.6,,,,,,,,,,4.6,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cringila,,27,,,,,,,,,,,,26,23,31,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,4.5,4.0,5.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cromer,164,125,94,,,91,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.5,2.6,,,2.5,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cronulla,473,350,266,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,3.5,2.6,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croudace Bay,20,14,,,,,,,17,,,,,,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.4,,,,,,,6.5,,,,,,3.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crows Nest,,106,,,,103,106,100,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,4.0,4.1,3.9,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon,243,211,,,,175,,,169,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.3,,,,3.6,,,3.4,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon Park,246,244,,,,134,153,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.8,,,,2.6,3.0,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curl Curl,64,35,,,34,,,34,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,3.0,,,2.9,,,2.9,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currans Hill,133,83,,99,,,,,82,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,3.3,,3.9,,,,,3.2,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daceyville,,13,,,10,11,,,14,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,3.4,3.8,,,4.8,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daleys Point,,,11,7,,,,,,,,,,,,,,,,,,,,,8,6,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.2,,,,,,,,,,,,,,,,,,,,,3.6,2.7,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,
Dapto,166,151,,,,,,,167,,,,,,,206,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.4,,,,,,,3.8,,,,,,,4.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darling Point,,,,,,125,88,138,53,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,4.4,6.9,2.7,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlinghurst,,379,,,,360,,274,229,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,5.5,,4.2,3.5,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,,72,,,,44,,,,,,52,110,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,3.4,,,,,,4.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,
Davidson,74,41,,,,45,,,40,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,3.2,,,,3.5,,,3.1,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davistown,58,42,40,,40,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,4.2,4.0,,4.0,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawes Point,,,,,,33,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,5.1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,4.1,,,,,,,,,,,,,,,,,,,,,,
Dean Park,,47,36,66,,,38,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.5,4.6,,,2.7,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Why,342,502,,,,,,,,,,,,,341,,320,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.3,,,,,,,,,,,,,2.9,,2.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone,96,67,,,,58,,,74,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,3.7,,,,3.2,,,4.1,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone East,47,31,,,,,,,40,,,,30,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.0,,,,,,,3.9,,,,2.9,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone West,23,,,,,,,12,26,,,,,,,,,,,,16,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,2.8,6.0,,,,,,,,,,,,3.7,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dharruk,,25,,60,,,,,,27,,,,,31,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,5.8,,,,,,2.6,,,,,3.0,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolans Bay,17,10,,,11,21,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.5,,,3.9,7.4,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolls Point,,40,25,,,,,,42,25,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,2.7,,,,,,4.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonside,,191,,159,,,,,204,,,,,,176,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,3.1,,,,,3.9,,,,,,3.4,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Bay,,76,,,,163,84,133,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,6.6,3.4,5.4,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Heights,69,72,,,,125,,68,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.8,,,,6.5,,3.5,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drummoyne,252,195,,,,279,240,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.2,,,,4.6,4.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley,58,40,,,,,,,63,,,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,3.6,,,,,,,5.7,,,4.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
