,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Enfield (NSW),50.0,44.0,33.0,--,--,--
Engadine,49.0,37.0,29.0,--,--,--
Enmore (Marrickville - NSW),43.0,34.0,34.0,--,--,--
Epping (NSW),50.0,36.0,26.0,--,--,--
Erina,59.0,42.0,55.0,--,--,--
Erskine Park,47.0,39.0,22.0,--,--,--
Erskineville,38.0,34.0,34.0,--,--,--
Eschol Park,50.0,34.0,28.0,--,--,--
Ettalong Beach,61.0,36.0,53.0,--,--,--
Fairfield (NSW),47.0,37.0,33.0,--,--,--
Fairfield East,49.0,42.0,33.0,--,--,--
Fairfield Heights,49.0,36.0,31.0,--,--,--
Fairfield West,50.0,41.0,30.0,--,--,--
Fairlight,47.0,35.0,37.0,--,--,--
Fairy Meadow,51.0,31.0,36.0,--,--,--
Farmborough Heights,49.0,39.0,25.0,--,--,--
Faulconbridge,51.0,42.0,31.0,--,--,--
Fennell Bay,58.0,41.0,40.0,--,--,--
Figtree,52.0,35.0,31.0,--,--,--
Five Dock,47.0,37.0,38.0,--,--,--
Fletcher (NSW),42.0,39.0,22.0,--,--,--
Flinders (NSW),44.0,38.0,28.0,--,--,--
Floraville,49.0,39.0,26.0,--,--,--
Forest Lodge,41.0,34.0,28.0,--,--,--
Forestville (NSW),50.0,41.0,39.0,--,--,--
Forresters Beach,51.0,38.0,29.0,--,--,--
Frenchs Forest,50.0,44.0,26.0,--,--,--
Garden Suburb,52.0,43.0,25.0,--,--,--
Gateshead,52.0,36.0,39.0,--,--,--
Georges Hall,51.0,40.0,30.0,--,--,--
Georgetown (NSW),47.0,34.0,45.0,--,--,--
Girraween (NSW),45.0,38.0,36.0,--,--,--
Gladesville,47.0,35.0,39.0,--,--,--
Glebe (NSW),48.0,34.0,34.0,--,--,--
Glen Alpine,51.0,45.0,22.0,--,--,--
Glenbrook,50.0,38.0,27.0,--,--,--
Glendale (NSW),52.0,33.0,41.0,--,--,--
Glendenning,41.0,32.0,25.0,--,--,--
Glenmore Park,44.0,34.0,23.0,--,--,--
Glenning Valley,49.0,37.0,25.0,--,--,--
Glenwood (NSW),44.0,37.0,24.0,--,--,--
Gordon (NSW),51.0,36.0,25.0,--,--,--
Gorokan,57.0,36.0,45.0,--,--,--
Gosford,46.0,27.0,39.0,--,--,--
Grays Point,52.0,47.0,22.0,--,--,--
Green Point (Great Lakes - NSW),54.0,43.0,47.0,--,--,--
Green Valley (NSW),47.0,39.0,25.0,--,--,--
Greenacre,47.0,44.0,27.0,--,--,--
Greenfield Park,50.0,40.0,27.0,--,--,--
Greenwich,51.0,37.0,31.0,--,--,--
Greystanes,51.0,39.0,29.0,--,--,--
Guildford (NSW),44.0,36.0,30.0,--,--,--
Guildford West,47.0,41.0,31.0,--,--,--
Gwynneville,45.0,29.0,27.0,--,--,--
Gymea,49.0,34.0,39.0,--,--,--
Haberfield,52.0,45.0,37.0,--,--,--
