,Worked full-time,Worked part-time,Away from work,Unemployed,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),SSC_CODE
Huntley (Orange - NSW),58.0,38.0,0.0,0.0,60.4,39.6,0.0,0.0,11958
Canobolas,152.0,102.0,15.0,8.0,54.9,36.8,5.4,2.9,10793
Clergate,68.0,37.0,9.0,4.0,57.6,31.4,7.6,3.4,10929
March,32.0,24.0,3.0,0.0,54.2,40.7,5.1,0.0,12486
Summer Hill Creek,75.0,33.0,6.0,3.0,64.1,28.2,5.1,2.6,13688
Mullion Creek,156.0,92.0,21.0,8.0,56.3,33.2,7.6,2.9,12826
Nashdale,128.0,57.0,21.0,7.0,60.1,26.8,9.9,3.3,12913
Windera (NSW),102.0,44.0,8.0,4.0,64.6,27.8,5.1,2.5,14319
Lidster,111.0,40.0,10.0,7.0,66.1,23.8,6.0,4.2,12319
Borenore,130.0,90.0,21.0,8.0,52.2,36.1,8.4,3.2,10513
Yeoval,84.0,55.0,12.0,16.0,50.3,32.9,7.2,9.6,14507
Grafton,2207.0,1393.0,194.0,361.0,53.1,33.5,4.7,8.7,11733
Rushforth,64.0,27.0,7.0,3.0,63.4,26.7,6.9,3.0,13446
Great Marlow,50.0,28.0,7.0,0.0,58.8,32.9,8.2,0.0,11745
South Grafton,957.0,733.0,105.0,314.0,45.4,34.8,5.0,14.9,13582
Junction Hill,324.0,185.0,28.0,33.0,56.8,32.5,4.9,5.8,12045
Carrs Creek,27.0,26.0,3.0,8.0,42.2,40.6,4.7,12.5,10834
Tucabia,76.0,62.0,13.0,12.0,46.6,38.0,8.0,7.4,13945
Ulmarra,149.0,115.0,23.0,34.0,46.4,35.8,7.2,10.6,14004
Ramornie,27.0,28.0,8.0,7.0,38.6,40.0,11.4,10.0,13308
Nymboida,46.0,46.0,10.0,25.0,36.2,36.2,7.9,19.7,13048
Blaxlands Creek,33.0,20.0,0.0,4.0,57.9,35.1,0.0,7.0,10408
Glenreagh,154.0,128.0,22.0,32.0,45.8,38.1,6.5,9.5,11675
Wells Crossing,21.0,21.0,0.0,8.0,42.0,42.0,0.0,16.0,14223
Kungala,27.0,21.0,5.0,7.0,45.0,35.0,8.3,11.7,12212
Wooli,57.0,56.0,8.0,26.0,38.8,38.1,5.4,17.7,14403
Halfway Creek,33.0,37.0,7.0,23.0,33.0,37.0,7.0,23.0,11831
Copmanhurst,37.0,39.0,12.0,10.0,37.8,39.8,12.2,10.2,11060
Whiteman Creek,20.0,25.0,6.0,3.0,37.0,46.3,11.1,5.6,14277
The Whiteman,35.0,19.0,4.0,3.0,57.4,31.1,6.6,4.9,13843
Waterview Heights,311.0,191.0,41.0,35.0,53.8,33.0,7.1,6.1,14186
Lawrence (NSW),166.0,142.0,22.0,33.0,45.7,39.1,6.1,9.1,12288
Eatonsville,44.0,30.0,3.0,13.0,48.9,33.3,3.3,14.4,11370
Seelands,111.0,61.0,9.0,12.0,57.5,31.6,4.7,6.2,13515
Mountain View (NSW),36.0,22.0,8.0,3.0,52.2,31.9,11.6,4.3,12808
Southgate,49.0,40.0,9.0,5.0,47.6,38.8,8.7,4.9,13604
Lower Southgate,29.0,22.0,7.0,0.0,50.0,37.9,12.1,0.0,12413
Ashby Heights,35.0,32.0,5.0,17.0,39.3,36.0,5.6,19.1,10095
Tullymorgan,28.0,25.0,3.0,4.0,46.7,41.7,5.0,6.7,13960
Ashby (NSW),58.0,47.0,7.0,9.0,47.9,38.8,5.8,7.4,10094
South Arm (Clarence Valley - NSW),58.0,29.0,7.0,8.0,56.9,28.4,6.9,7.8,13574
Woodford Island,56.0,43.0,10.0,7.0,48.3,37.1,8.6,6.0,14384
Brushgrove,38.0,23.0,8.0,4.0,52.1,31.5,11.0,5.5,10622
Elland,93.0,53.0,9.0,5.0,58.1,33.1,5.6,3.1,11399
Coutts Crossing,192.0,162.0,26.0,43.0,45.4,38.3,6.1,10.2,11094
Kremnos,42.0,20.0,0.0,3.0,64.6,30.8,0.0,4.6,12204
Lanitza,51.0,51.0,3.0,16.0,42.1,42.1,2.5,13.2,12270
Braunstone,85.0,41.0,9.0,7.0,59.9,28.9,6.3,4.9,10550
Glenugie,33.0,41.0,9.0,9.0,35.9,44.6,9.8,9.8,11681
Clarenza,158.0,84.0,6.0,14.0,60.3,32.1,2.3,5.3,10922
Swan Creek (NSW),23.0,21.0,3.0,4.0,45.1,41.2,5.9,7.8,13706
Pillar Valley,52.0,48.0,10.0,21.0,39.7,36.6,7.6,16.0,13204
Minnie Water,38.0,34.0,3.0,5.0,47.5,42.5,3.8,6.2,12640
Tyndale,27.0,24.0,6.0,5.0,43.5,38.7,9.7,8.1,13997
Ilarwill,39.0,36.0,8.0,5.0,44.3,40.9,9.1,5.7,11970
Yamba (NSW),960.0,808.0,145.0,157.0,46.4,39.0,7.0,7.6,14458
Gulmarrad,332.0,256.0,39.0,36.0,50.1,38.6,5.9,5.4,11795
Angourie,46.0,49.0,9.0,5.0,42.2,45.0,8.3,4.6,10059
Brooms Head,29.0,23.0,3.0,7.0,46.8,37.1,4.8,11.3,10603
Wooloweyah,95.0,91.0,15.0,12.0,44.6,42.7,7.0,5.6,14411
Woombah,123.0,100.0,18.0,27.0,45.9,37.3,6.7,10.1,14414
Maclean,363.0,361.0,45.0,87.0,42.4,42.2,5.3,10.2,12431
Iluka (NSW),172.0,187.0,25.0,38.0,40.8,44.3,5.9,9.0,11975
Harwood,62.0,55.0,9.0,11.0,45.3,40.1,6.6,8.0,11865
Chatsworth (NSW),40.0,38.0,4.0,0.0,48.8,46.3,4.9,0.0,10894
Townsend,151.0,141.0,30.0,16.0,44.7,41.7,8.9,4.7,13928
Palmers Channel,28.0,24.0,5.0,0.0,49.1,42.1,8.8,0.0,13135
James Creek,56.0,39.0,6.0,4.0,53.3,37.1,5.7,3.8,11999
Palmers Island,109.0,89.0,5.0,16.0,49.8,40.6,2.3,7.3,13136
Bellingen,682.0,688.0,70.0,106.0,44.1,44.5,4.5,6.9,10273
Brierfield,59.0,62.0,10.0,10.0,41.8,44.0,7.1,7.1,10568
Fernmount,87.0,62.0,12.0,8.0,51.5,36.7,7.1,4.7,11509
Darkwood,23.0,40.0,0.0,15.0,29.5,51.3,0.0,19.2,11210
Thora,72.0,55.0,10.0,13.0,48.0,36.7,6.7,8.7,13849
Gleniffer,68.0,83.0,13.0,11.0,38.9,47.4,7.4,6.3,11668
Valery,29.0,35.0,0.0,3.0,43.3,52.2,0.0,4.5,14066
Kalang,37.0,48.0,4.0,14.0,35.9,46.6,3.9,13.6,12050
Coffs Harbour,5613.0,3940.0,539.0,839.0,51.3,36.0,4.9,7.7,10959
North Boambee Valley,430.0,259.0,46.0,34.0,55.9,33.7,6.0,4.4,12983
Coramba,202.0,176.0,23.0,23.0,47.6,41.5,5.4,5.4,11065
Nana Glen,255.0,187.0,30.0,45.0,49.3,36.2,5.8,8.7,12889
Upper Orara,185.0,154.0,23.0,18.0,48.7,40.5,6.1,4.7,14041
Bucca (NSW),140.0,100.0,22.0,18.0,50.0,35.7,7.9,6.4,10625
Karangi,129.0,108.0,12.0,15.0,48.9,40.9,4.5,5.7,12072
Megan,29.0,41.0,8.0,4.0,35.4,50.0,9.8,4.9,12558
Ulong,29.0,29.0,0.0,8.0,43.9,43.9,0.0,12.1,14005
Lowanna,45.0,48.0,11.0,22.0,35.7,38.1,8.7,17.5,12398
Dorrigo,196.0,181.0,32.0,27.0,45.0,41.5,7.3,6.2,11278
Deer Vale,28.0,19.0,0.0,3.0,56.0,38.0,0.0,6.0,11232
Fernbrook,29.0,29.0,0.0,9.0,43.3,43.3,0.0,13.4,11506
Hernani,37.0,22.0,7.0,3.0,53.6,31.9,10.1,4.3,11896
Bostobrick,25.0,33.0,0.0,7.0,38.5,50.8,0.0,10.8,10516
North Dorrigo,43.0,34.0,6.0,10.0,46.2,36.6,6.5,10.8,12989
Sapphire Beach,557.0,374.0,51.0,50.0,54.0,36.2,4.9,4.8,13491
Emerald Beach,576.0,413.0,52.0,77.0,51.5,36.9,4.7,6.9,11411
Korora,667.0,418.0,51.0,56.0,56.0,35.1,4.3,4.7,12197
Moonee Beach,487.0,331.0,39.0,56.0,53.3,36.3,4.3,6.1,12703
Toormina,1139.0,904.0,105.0,269.0,47.1,37.4,4.3,11.1,13912
Boambee East,1296.0,866.0,116.0,175.0,52.8,35.3,4.7,7.1,10422
Boambee,440.0,331.0,40.0,44.0,51.5,38.7,4.7,5.1,10421
Sawtell,852.0,646.0,75.0,111.0,50.6,38.4,4.5,6.6,13498
Bonville,626.0,462.0,67.0,69.0,51.1,37.7,5.5,5.6,10474
Bundagen,13.0,27.0,0.0,7.0,27.7,57.4,0.0,14.9,10669
Mylestom,70.0,61.0,12.0,7.0,46.7,40.7,8.0,4.7,12875
Raleigh,146.0,114.0,21.0,15.0,49.3,38.5,7.1,5.1,13307
Urunga,547.0,477.0,56.0,97.0,46.5,40.5,4.8,8.2,14061
Repton,147.0,106.0,18.0,20.0,50.5,36.4,6.2,6.9,13352
Valla,196.0,175.0,24.0,29.0,46.2,41.3,5.7,6.8,14067
Woolgoolga,1062.0,807.0,132.0,139.0,49.6,37.7,6.2,6.5,14402
Safety Beach (NSW),245.0,159.0,17.0,18.0,55.8,36.2,3.9,4.1,13462
Sandy Beach,524.0,384.0,47.0,92.0,50.0,36.7,4.5,8.8,13479
Upper Corindi,33.0,21.0,3.0,7.0,51.6,32.8,4.7,10.9,14020
Corindi Beach,398.0,238.0,37.0,70.0,53.6,32.0,5.0,9.4,11073
Red Rock,79.0,64.0,12.0,17.0,45.9,37.2,7.0,9.9,13334
Arrawarra,38.0,44.0,6.0,9.0,39.2,45.4,6.2,9.3,10088
Arrawarra Headland,114.0,104.0,20.0,19.0,44.4,40.5,7.8,7.4,10089
Mullaway,126.0,102.0,6.0,17.0,50.2,40.6,2.4,6.8,12822
Bourke,529.0,180.0,37.0,60.0,65.6,22.3,4.6,7.4,10522
Wanaaring,31.0,15.0,0.0,0.0,67.4,32.6,0.0,0.0,14126
North Bourke,99.0,25.0,5.0,3.0,75.0,18.9,3.8,2.3,12985
Enngonia,23.0,13.0,0.0,4.0,57.5,32.5,0.0,10.0,11426
Brewarrina,218.0,71.0,32.0,73.0,55.3,18.0,8.1,18.5,10563
Cobar,1203.0,412.0,132.0,107.0,64.9,22.2,7.1,5.8,10949
Coonamble,592.0,276.0,83.0,101.0,56.3,26.2,7.9,9.6,11044
Gulargambone,103.0,59.0,12.0,25.0,51.8,29.6,6.0,12.6,11792
Quambone,35.0,16.0,12.0,5.0,51.5,23.5,17.6,7.4,13287
Nyngan,600.0,271.0,42.0,52.0,62.2,28.1,4.4,5.4,13049
Nevertire,71.0,23.0,0.0,6.0,71.0,23.0,0.0,6.0,12936
Warren,377.0,141.0,41.0,58.0,61.1,22.9,6.6,9.4,14171
Hermidale,42.0,18.0,4.0,0.0,65.6,28.1,6.2,0.0,11894
Ravenswood (NSW),90.0,38.0,10.0,18.0,57.7,24.4,6.4,11.5,13321
Cumborah,30.0,19.0,3.0,6.0,51.7,32.8,5.2,10.3,11158
Goodooga,52.0,21.0,8.0,18.0,52.5,21.2,8.1,18.2,11702
Carinda,63.0,25.0,14.0,3.0,60.0,23.8,13.3,2.9,10814
Pilliga,43.0,12.0,11.0,14.0,53.8,15.0,13.8,17.5,13205
Come By Chance,53.0,8.0,4.0,3.0,77.9,11.8,5.9,4.4,10993
Walgett,522.0,181.0,64.0,79.0,61.7,21.4,7.6,9.3,14096
Burren Junction,87.0,30.0,6.0,4.0,68.5,23.6,4.7,3.1,10710
Lightning Ridge,311.0,263.0,55.0,109.0,42.1,35.6,7.5,14.8,12320
Collarenebri,134.0,74.0,3.0,31.0,55.4,30.6,1.2,12.8,10969
Rowena,70.0,14.0,4.0,10.0,71.4,14.3,4.1,10.2,13431
Broken Hill,4271.0,2191.0,497.0,668.0,56.0,28.7,6.5,8.8,10592
White Cliffs,51.0,9.0,3.0,0.0,81.0,14.3,4.8,0.0,14274
Menindee,102.0,33.0,13.0,32.0,56.7,18.3,7.2,17.8,12571
Wilcannia,160.0,43.0,11.0,27.0,66.4,17.8,4.6,11.2,14290
Tibooburra,54.0,12.0,11.0,3.0,67.5,15.0,13.8,3.8,13860
Pooncarie,70.0,6.0,7.0,3.0,81.4,7.0,8.1,3.5,13242
Ivanhoe (NSW),109.0,25.0,9.0,4.0,74.1,17.0,6.1,2.7,11991
Baradine,147.0,71.0,18.0,26.0,56.1,27.1,6.9,9.9,10190
Coonabarabran,638.0,387.0,73.0,104.0,53.1,32.2,6.1,8.7,11043
Binnaway,90.0,51.0,14.0,29.0,48.9,27.7,7.6,15.8,10372
Mendooran,123.0,64.0,15.0,17.0,56.2,29.2,6.8,7.8,12570
Coolah,321.0,179.0,19.0,29.0,58.6,32.7,3.5,5.3,11024
Bugaldie,31.0,14.0,3.0,4.0,59.6,26.9,5.8,7.7,10646
Ulamambri,52.0,28.0,9.0,4.0,55.9,30.1,9.7,4.3,14001
Tambar Springs,48.0,18.0,9.0,6.0,59.3,22.2,11.1,7.4,13743
Merrygoen,38.0,15.0,0.0,4.0,66.7,26.3,0.0,7.0,12587
Dubbo,12018.0,5139.0,945.0,1052.0,62.7,26.8,4.9,5.5,11296
Terramungamine,106.0,36.0,13.0,0.0,68.4,23.2,8.4,0.0,13801
Brocklehurst,99.0,55.0,11.0,7.0,57.6,32.0,6.4,4.1,10583
Wongarbon,236.0,103.0,27.0,16.0,61.8,27.0,7.1,4.2,14373
Elong Elong,29.0,19.0,5.0,3.0,51.8,33.9,8.9,5.4,11406
Gollan,40.0,13.0,3.0,0.0,71.4,23.2,5.4,0.0,11694
Eumungerie,96.0,30.0,9.0,11.0,65.8,20.5,6.2,7.5,11456
Minore,52.0,21.0,3.0,4.0,65.0,26.2,3.8,5.0,12641
Ballimore,57.0,29.0,7.0,4.0,58.8,29.9,7.2,4.1,10161
Gilgandra,675.0,407.0,89.0,90.0,53.5,32.3,7.1,7.1,11619
Collie (NSW),86.0,20.0,3.0,3.0,76.8,17.9,2.7,2.7,10975
Armatree,53.0,11.0,4.0,8.0,69.7,14.5,5.3,10.5,10084
Tooraweenah,89.0,33.0,9.0,3.0,66.4,24.6,6.7,2.2,13911
Narromine,1197.0,553.0,110.0,157.0,59.3,27.4,5.5,7.8,12911
Burroway,39.0,18.0,3.0,3.0,61.9,28.6,4.8,4.8,10715
Trangie,320.0,127.0,23.0,39.0,62.9,25.0,4.5,7.7,13932
Tomingley,95.0,21.0,15.0,5.0,69.9,15.4,11.0,3.7,13896
Wellington (NSW),689.0,419.0,66.0,188.0,50.6,30.8,4.8,13.8,14221
Mumbil,41.0,30.0,17.0,14.0,40.2,29.4,16.7,13.7,12832
Stuart Town,56.0,32.0,3.0,7.0,57.1,32.7,3.1,7.1,13680
Euchareena,45.0,21.0,4.0,3.0,61.6,28.8,5.5,4.1,11452
Neurea,40.0,21.0,3.0,3.0,59.7,31.3,4.5,4.5,12933
Mount Arthur,39.0,25.0,3.0,0.0,58.2,37.3,4.5,0.0,12747
Maryvale (NSW),63.0,21.0,3.0,4.0,69.2,23.1,3.3,4.4,12517
Geurie,222.0,103.0,19.0,19.0,61.2,28.4,5.2,5.2,11608
Montefiores,155.0,56.0,22.0,9.0,64.0,23.1,9.1,3.7,12685
Greta (NSW),733.0,380.0,85.0,114.0,55.9,29.0,6.5,8.7,11778
Lower Belford,136.0,65.0,17.0,3.0,61.5,29.4,7.7,1.4,12401
Belford,51.0,31.0,11.0,4.0,52.6,32.0,11.3,4.1,10258
Branxton,568.0,321.0,54.0,53.0,57.0,32.2,5.4,5.3,10549
Pokolbin,304.0,172.0,23.0,13.0,59.4,33.6,4.5,2.5,13236
Keinbah,31.0,26.0,0.0,4.0,50.8,42.6,0.0,6.6,12084
Lovedale,154.0,78.0,10.0,9.0,61.4,31.1,4.0,3.6,12396
East Branxton,547.0,239.0,43.0,56.0,61.8,27.0,4.9,6.3,11346
North Rothbury,250.0,148.0,27.0,23.0,55.8,33.0,6.0,5.1,13004
Leconfield,46.0,19.0,7.0,4.0,60.5,25.0,9.2,5.3,12291
Cessnock,2861.0,1823.0,308.0,595.0,51.2,32.6,5.5,10.6,10878
Nulkaba,200.0,139.0,32.0,10.0,52.5,36.5,8.4,2.6,13031
Aberdare,536.0,348.0,62.0,138.0,49.4,32.1,5.7,12.7,10006
Kearsley,191.0,140.0,19.0,31.0,50.1,36.7,5.0,8.1,12080
Bellbird,483.0,264.0,53.0,72.0,55.4,30.3,6.1,8.3,10268
Bellbird Heights,204.0,119.0,22.0,27.0,54.8,32.0,5.9,7.3,10269
Ellalong,260.0,178.0,27.0,30.0,52.5,36.0,5.5,6.1,11398
Kitchener,98.0,66.0,12.0,14.0,51.6,34.7,6.3,7.4,12174
Abernethy,68.0,43.0,3.0,9.0,55.3,35.0,2.4,7.3,10011
Mulbring,150.0,87.0,18.0,12.0,56.2,32.6,6.7,4.5,12813
Buchanan (NSW),55.0,28.0,10.0,6.0,55.6,28.3,10.1,6.1,10628
Millfield,208.0,132.0,22.0,40.0,51.7,32.8,5.5,10.0,12620
Paxton,210.0,122.0,28.0,31.0,53.7,31.2,7.2,7.9,13162
Black Hill (NSW),150.0,88.0,14.0,8.0,57.7,33.8,5.4,3.1,10385
Mount Vincent,111.0,60.0,7.0,6.0,60.3,32.6,3.8,3.3,12799
Brunkerville,53.0,46.0,9.0,3.0,47.7,41.4,8.1,2.7,10620
Quorrobolong,153.0,101.0,18.0,14.0,53.5,35.3,6.3,4.9,13302
Congewai,41.0,32.0,4.0,6.0,49.4,38.6,4.8,7.2,11007
Mount View,31.0,23.0,0.0,0.0,57.4,42.6,0.0,0.0,12798
Paynes Crossing,13.0,12.0,0.0,0.0,52.0,48.0,0.0,0.0,13163
Laguna,32.0,32.0,4.0,12.0,40.0,40.0,5.0,15.0,12237
Wollombi,39.0,28.0,3.0,6.0,51.3,36.8,3.9,7.9,14355
Watagan,24.0,25.0,4.0,4.0,42.1,43.9,7.0,7.0,14180
Murrays Run,39.0,23.0,9.0,0.0,54.9,32.4,12.7,0.0,12855
Bucketty,41.0,29.0,9.0,3.0,50.0,35.4,11.0,3.7,10634
Clarence Town,562.0,290.0,56.0,58.0,58.2,30.0,5.8,6.0,10920
Dungog,392.0,260.0,60.0,56.0,51.0,33.9,7.8,7.3,11320
Bendolba,38.0,30.0,4.0,7.0,48.1,38.0,5.1,8.9,10291
Paterson (NSW),237.0,179.0,21.0,21.0,51.7,39.1,4.6,4.6,13159
Martins Creek,97.0,64.0,4.0,7.0,56.4,37.2,2.3,4.1,12511
Torryburn (Dungog - NSW),52.0,26.0,3.0,4.0,61.2,30.6,3.5,4.7,13920
Vacy,194.0,122.0,13.0,15.0,56.4,35.5,3.8,4.4,14063
East Gresford,82.0,55.0,9.0,7.0,53.6,35.9,5.9,4.6,11350
Gresford,58.0,38.0,11.0,4.0,52.3,34.2,9.9,3.6,11777
Glen Martin,44.0,28.0,6.0,0.0,56.4,35.9,7.7,0.0,11650
Wallarobba,56.0,34.0,0.0,0.0,62.2,37.8,0.0,0.0,14111
Hilldale,44.0,32.0,16.0,7.0,44.4,32.3,16.2,7.1,11906
Glen Oak,95.0,60.0,14.0,10.0,53.1,33.5,7.8,5.6,11652
Glen William,46.0,16.0,3.0,3.0,67.6,23.5,4.4,4.4,11654
Brookfield (NSW),54.0,35.0,3.0,4.0,56.2,36.5,3.1,4.2,10596
Abermain,545.0,347.0,66.0,93.0,51.9,33.0,6.3,8.8,10010
Weston (NSW),781.0,461.0,76.0,163.0,52.7,31.1,5.1,11.0,14262
Kurri Kurri,1364.0,760.0,139.0,249.0,54.3,30.3,5.5,9.9,12221
Stanford Merthyr,117.0,97.0,9.0,23.0,47.6,39.4,3.7,9.3,13647
Pelaw Main,223.0,142.0,20.0,36.0,53.0,33.7,4.8,8.6,13177
Heddon Greta,642.0,340.0,48.0,69.0,58.4,30.9,4.4,6.3,11888
Neath,64.0,43.0,6.0,21.0,47.8,32.1,4.5,15.7,12917
Cliftleigh,180.0,99.0,19.0,45.0,52.5,28.9,5.5,13.1,10932
Sawyers Gully,159.0,76.0,9.0,14.0,61.6,29.5,3.5,5.4,13499
Hunterview,982.0,444.0,78.0,108.0,60.9,27.5,4.8,6.7,11955
Redbournberry,82.0,38.0,6.0,4.0,63.1,29.2,4.6,3.1,13337
Singleton (NSW),1337.0,694.0,120.0,213.0,56.6,29.4,5.1,9.0,13549
Whittingham,102.0,53.0,9.0,9.0,59.0,30.6,5.2,5.2,14279
Gowrie (Singleton - NSW),99.0,50.0,6.0,8.0,60.7,30.7,3.7,4.9,11729
Glenridding,67.0,36.0,3.0,10.0,57.8,31.0,2.6,8.6,11676
Singleton Heights,1357.0,660.0,98.0,146.0,60.0,29.2,4.3,6.5,13550
Wattle Ponds,341.0,187.0,28.0,36.0,57.6,31.6,4.7,6.1,14193
McDougalls Hill,58.0,20.0,5.0,0.0,69.9,24.1,6.0,0.0,12541
Darlington (Singleton - NSW),115.0,51.0,9.0,16.0,60.2,26.7,4.7,8.4,11213
Broke (NSW),118.0,81.0,21.0,12.0,50.9,34.9,9.1,5.2,10590
Putty,15.0,7.0,3.0,0.0,60.0,28.0,12.0,0.0,13279
Howes Valley,7.0,4.0,5.0,4.0,35.0,20.0,25.0,20.0,11948
Bulga (NSW),95.0,45.0,16.0,10.0,57.2,27.1,9.6,6.0,10651
Jerrys Plains,141.0,36.0,16.0,3.0,71.9,18.4,8.2,1.5,12021
Maison Dieu,42.0,27.0,7.0,3.0,53.2,34.2,8.9,3.8,12448
Bridgman,63.0,29.0,12.0,4.0,58.3,26.9,11.1,3.7,10567
Mount Olive (Singleton - NSW),49.0,26.0,9.0,3.0,56.3,29.9,10.3,3.4,12781
Westbrook (NSW),48.0,36.0,4.0,0.0,54.5,40.9,4.5,0.0,14257
Reedy Creek (NSW),46.0,25.0,6.0,5.0,56.1,30.5,7.3,6.1,13342
Sedgefield,44.0,27.0,4.0,5.0,55.0,33.8,5.0,6.2,13514
Mitchells Flat,72.0,40.0,3.0,6.0,59.5,33.1,2.5,5.0,12651
Glendon,39.0,15.0,3.0,6.0,61.9,23.8,4.8,9.5,11660
Elderslie (Singleton - NSW),37.0,19.0,13.0,3.0,51.4,26.4,18.1,4.2,11392
Lambs Valley (Singleton - NSW),101.0,56.0,12.0,6.0,57.7,32.0,6.9,3.4,12263
Stanhope (NSW),42.0,24.0,7.0,3.0,55.3,31.6,9.2,3.9,13648
Glendon Brook,63.0,61.0,16.0,3.0,44.1,42.7,11.2,2.1,11661
Maitland (NSW),464.0,258.0,26.0,89.0,55.4,30.8,3.1,10.6,12449
South Maitland,100.0,46.0,12.0,28.0,53.8,24.7,6.5,15.1,13591
Gillieston Heights,1011.0,437.0,88.0,94.0,62.0,26.8,5.4,5.8,11624
Louth Park,214.0,132.0,12.0,28.0,55.4,34.2,3.1,7.3,12395
Horseshoe Bend,85.0,49.0,8.0,19.0,52.8,30.4,5.0,11.8,11939
Oakhampton,34.0,19.0,5.0,3.0,55.7,31.1,8.2,4.9,13056
East Maitland,3068.0,1714.0,266.0,431.0,56.0,31.3,4.9,7.9,11360
Metford,1195.0,658.0,105.0,213.0,55.0,30.3,4.8,9.8,12592
Tenambit,666.0,419.0,64.0,120.0,52.5,33.0,5.0,9.5,13787
Raworth,520.0,282.0,31.0,53.0,58.7,31.8,3.5,6.0,13325
Morpeth,370.0,204.0,38.0,30.0,57.6,31.8,5.9,4.7,12727
Ashtonfield,1418.0,752.0,104.0,127.0,59.1,31.3,4.3,5.3,10102
Chisholm (NSW),525.0,230.0,35.0,35.0,63.6,27.9,4.2,4.2,10909
Largs,566.0,314.0,54.0,40.0,58.1,32.2,5.5,4.1,12278
Bolwarra Heights,936.0,453.0,65.0,62.0,61.7,29.9,4.3,4.1,10451
Lorn,407.0,225.0,28.0,28.0,59.2,32.7,4.1,4.1,12389
Bolwarra (NSW),286.0,182.0,18.0,25.0,56.0,35.6,3.5,4.9,10450
Woodville (NSW),119.0,80.0,14.0,14.0,52.4,35.2,6.2,6.2,14398
Maitland Vale,38.0,20.0,5.0,3.0,57.6,30.3,7.6,4.5,12451
Rutherford,2933.0,1566.0,263.0,516.0,55.6,29.7,5.0,9.8,13449
Aberglasslyn,1719.0,837.0,139.0,173.0,59.9,29.2,4.8,6.0,10009
Luskintyre,52.0,35.0,8.0,0.0,54.7,36.8,8.4,0.0,12423
Lochinvar,230.0,145.0,20.0,24.0,54.9,34.6,4.8,5.7,12368
Windella,230.0,145.0,22.0,20.0,55.2,34.8,5.3,4.8,14317
Telarah,563.0,302.0,48.0,106.0,55.3,29.6,4.7,10.4,13780
Farley,65.0,29.0,6.0,3.0,63.1,28.2,5.8,2.9,11490
Bishops Bridge,72.0,38.0,12.0,8.0,55.4,29.2,9.2,6.2,10380
Thornton (NSW),2546.0,1343.0,183.0,244.0,59.0,31.1,4.2,5.7,13851
Millers Forest,116.0,61.0,16.0,6.0,58.3,30.7,8.0,3.0,12618
Berry Park,43.0,21.0,3.0,5.0,59.7,29.2,4.2,6.9,10325
Anna Bay,848.0,591.0,88.0,118.0,51.6,35.9,5.3,7.2,10060
Boat Harbour (Port Stephens - NSW),250.0,169.0,25.0,17.0,54.2,36.7,5.4,3.7,10425
Bobs Farm,108.0,77.0,17.0,14.0,50.0,35.6,7.9,6.5,10429
One Mile (NSW),95.0,65.0,12.0,12.0,51.6,35.3,6.5,6.5,13085
Lemon Tree Passage,500.0,340.0,46.0,87.0,51.4,34.9,4.7,8.9,12300
Mallabula,191.0,125.0,27.0,36.0,50.4,33.0,7.1,9.5,12455
Tanilba Bay,576.0,386.0,86.0,99.0,50.2,33.7,7.5,8.6,13748
Salamander Bay,890.0,678.0,92.0,127.0,49.8,37.9,5.1,7.1,13463
Soldiers Point,313.0,232.0,29.0,39.0,51.1,37.8,4.7,6.4,13570
Corlette,1175.0,842.0,119.0,127.0,51.9,37.2,5.3,5.6,11075
Taylors Beach (NSW),26.0,15.0,4.0,3.0,54.2,31.2,8.3,6.2,13777
Nelson Bay (NSW),1291.0,944.0,140.0,204.0,50.1,36.6,5.4,7.9,12923
Fingal Bay,247.0,178.0,35.0,39.0,49.5,35.7,7.0,7.8,11518
Shoal Bay (NSW),271.0,204.0,38.0,63.0,47.0,35.4,6.6,10.9,13539
Raymond Terrace,2906.0,1724.0,252.0,535.0,53.6,31.8,4.7,9.9,13327
Tomago,59.0,31.0,5.0,13.0,54.6,28.7,4.6,12.0,13889
Heatherbrae,114.0,54.0,16.0,23.0,55.1,26.1,7.7,11.1,11884
Eagleton,67.0,27.0,3.0,7.0,64.4,26.0,2.9,6.7,11342
Duns Creek,151.0,93.0,17.0,13.0,55.1,33.9,6.2,4.7,11326
Seaham,279.0,208.0,37.0,35.0,49.9,37.2,6.6,6.3,13510
Wallalong,335.0,163.0,30.0,30.0,60.0,29.2,5.4,5.4,14104
Brandy Hill,206.0,140.0,19.0,8.0,55.2,37.5,5.1,2.1,10548
Hinton,135.0,76.0,8.0,5.0,60.3,33.9,3.6,2.2,11916
Butterwick,45.0,22.0,5.0,7.0,57.0,27.8,6.3,8.9,10725
East Seaham,105.0,59.0,11.0,8.0,57.4,32.2,6.0,4.4,11362
Nelsons Plains,108.0,61.0,17.0,4.0,56.8,32.1,8.9,2.1,12924
Osterley (NSW),40.0,28.0,0.0,0.0,58.8,41.2,0.0,0.0,13099
Tea Gardens,367.0,309.0,42.0,65.0,46.9,39.5,5.4,8.3,13779
North Arm Cove,78.0,60.0,10.0,13.0,48.4,37.3,6.2,8.1,12979
Bundabah,19.0,15.0,3.0,0.0,51.4,40.5,8.1,0.0,10668
Pindimar,77.0,51.0,7.0,5.0,55.0,36.4,5.0,3.6,13211
