,Worked full-time,Worked part-time,Away from work,Unemployed,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),SSC_CODE
Miranda (NSW),4744.0,2148.0,369.0,331.0,62.5,28.3,4.9,4.4,12645
Yowie Bay,946.0,555.0,64.0,54.0,58.4,34.3,4.0,3.3,14519
Taren Point,378.0,196.0,36.0,30.0,59.1,30.6,5.6,4.7,13766
Caringbah,3934.0,1693.0,364.0,225.0,63.3,27.2,5.9,3.6,10815
Sylvania Waters,938.0,521.0,76.0,81.0,58.0,32.2,4.7,5.0,13718
Sylvania,2945.0,1466.0,225.0,208.0,60.8,30.3,4.6,4.3,13717
Kangaroo Point (NSW),172.0,116.0,3.0,12.0,56.8,38.3,1.0,4.0,12060
Caringbah South,3599.0,2181.0,271.0,193.0,57.6,34.9,4.3,3.1,10816
Dolans Bay,211.0,116.0,10.0,0.0,62.6,34.4,3.0,0.0,11266
Kurnell,698.0,349.0,51.0,46.0,61.0,30.5,4.5,4.0,12216
Greenhills Beach,288.0,139.0,21.0,10.0,62.9,30.3,4.6,2.2,11764
Cronulla,6942.0,2753.0,513.0,347.0,65.8,26.1,4.9,3.3,11119
Bundeena,542.0,339.0,52.0,43.0,55.5,34.7,5.3,4.4,10672
Maianbar,181.0,95.0,18.0,10.0,59.5,31.2,5.9,3.3,12443
Woolooware,1303.0,714.0,100.0,60.0,59.9,32.8,4.6,2.8,14410
Lilli Pilli (Sutherland Shire - NSW),458.0,258.0,37.0,21.0,59.2,33.3,4.8,2.7,12322
Port Hacking,352.0,196.0,23.0,14.0,60.2,33.5,3.9,2.4,13244
Burraneer,1119.0,683.0,80.0,42.0,58.2,35.5,4.2,2.2,10705
Heathcote (NSW),1873.0,969.0,120.0,115.0,60.9,31.5,3.9,3.7,11883
Waterfall,146.0,83.0,20.0,13.0,55.7,31.7,7.6,5.0,14182
Illawong,2593.0,1267.0,149.0,145.0,62.4,30.5,3.6,3.5,11974
Alfords Point,1158.0,565.0,74.0,70.0,62.0,30.3,4.0,3.7,10031
Barden Ridge,1601.0,834.0,89.0,89.0,61.3,31.9,3.4,3.4,10193
Menai,3635.0,1844.0,246.0,242.0,60.9,30.9,4.1,4.1,12567
Bangor (NSW),1865.0,975.0,121.0,104.0,60.8,31.8,3.9,3.4,10177
Woronora,738.0,391.0,62.0,34.0,60.2,31.9,5.1,2.8,14420
Bonnet Bay,741.0,425.0,58.0,28.0,59.2,33.9,4.6,2.2,10469
Jannali,1908.0,939.0,135.0,142.0,61.1,30.1,4.3,4.5,12001
Oyster Bay,1697.0,980.0,148.0,85.0,58.3,33.7,5.1,2.9,13112
Como (NSW),1263.0,694.0,88.0,62.0,59.9,32.9,4.2,2.9,10996
Kareela,999.0,615.0,72.0,68.0,57.0,35.1,4.1,3.9,12073
Kirrawee,2869.0,1434.0,213.0,170.0,61.2,30.6,4.5,3.6,12172
Sutherland (NSW),4177.0,1483.0,265.0,261.0,67.5,24.0,4.3,4.2,13701
Loftus,1254.0,670.0,104.0,64.0,59.9,32.0,5.0,3.1,12371
Engadine,5395.0,2880.0,416.0,267.0,60.2,32.2,4.6,3.0,11422
Yarrawarrah,944.0,506.0,62.0,45.0,60.6,32.5,4.0,2.9,14485
Woronora Heights,1079.0,610.0,60.0,45.0,60.1,34.0,3.3,2.5,14422
