,Personal,Family,Household,Personal (%),Family (%),Household (%)
Panania,573.0,1644.0,1347.0,--,--,--
Parramatta,623.0,1376.0,1314.0,--,--,--
Peakhurst,512.0,1530.0,1190.0,--,--,--
Peakhurst Heights,577.0,1756.0,1525.0,--,--,--
Pearl Beach,595.0,1375.0,1023.0,--,--,--
Pelican (NSW),493.0,1275.0,1016.0,--,--,--
Pendle Hill,501.0,1417.0,1188.0,--,--,--
Pennant Hills,693.0,2236.0,1842.0,--,--,--
Penrith,545.0,1274.0,949.0,--,--,--
Penrose (Wollongong - NSW),458.0,1397.0,1023.0,--,--,--
Penshurst (NSW),593.0,1558.0,1302.0,--,--,--
Petersham,857.0,2227.0,1680.0,--,--,--
Phillip Bay,575.0,1791.0,1454.0,--,--,--
Picnic Point,676.0,1944.0,1710.0,--,--,--
Plumpton (NSW),619.0,1619.0,1617.0,--,--,--
Point Clare,516.0,1452.0,1051.0,--,--,--
Point Frederick,624.0,1525.0,1033.0,--,--,--
Point Piper,1370.0,3005.0,2680.0,--,--,--
Port Kembla,388.0,995.0,806.0,--,--,--
Potts Point,1103.0,2532.0,1506.0,--,--,--
Prairiewood,382.0,1267.0,1292.0,--,--,--
Prestons,658.0,1758.0,1790.0,--,--,--
Primbee,442.0,1188.0,937.0,--,--,--
Prospect (NSW),655.0,1658.0,1594.0,--,--,--
Punchbowl (Canterbury - NSW),355.0,986.0,920.0,--,--,--
Putney,766.0,2471.0,2154.0,--,--,--
Pymble,887.0,2795.0,2671.0,--,--,--
Pyrmont,1095.0,2528.0,2186.0,--,--,--
Quakers Hill,695.0,1815.0,1749.0,--,--,--
Queens Park (NSW),992.0,2794.0,2425.0,--,--,--
Raby,676.0,1717.0,1649.0,--,--,--
Ramsgate,581.0,1402.0,1483.0,--,--,--
Ramsgate Beach,622.0,1473.0,1026.0,--,--,--
Randwick,908.0,2326.0,1786.0,--,--,--
Rankin Park,654.0,1796.0,1565.0,--,--,--
Redfern,810.0,2143.0,1447.0,--,--,--
Redhead,527.0,1605.0,1032.0,--,--,--
Regents Park (NSW),405.0,1095.0,974.0,--,--,--
Regentville,713.0,1689.0,1565.0,--,--,--
Revesby,501.0,1409.0,1222.0,--,--,--
Revesby Heights,665.0,1901.0,1672.0,--,--,--
Rhodes,705.0,1819.0,1617.0,--,--,--
Riverstone,559.0,1389.0,1191.0,--,--,--
Riverview (Lane Cove - NSW),867.0,2844.0,2702.0,--,--,--
Riverwood,389.0,1115.0,826.0,--,--,--
Rockdale,542.0,1335.0,1323.0,--,--,--
Rocky Point (NSW),525.0,1468.0,1114.0,--,--,--
Rodd Point,771.0,2418.0,1900.0,--,--,--
Rooty Hill,527.0,1483.0,1422.0,--,--,--
Rose Bay (NSW),962.0,2514.0,1908.0,--,--,--
Rosebery (NSW),650.0,1691.0,1524.0,--,--,--
Roselands,486.0,1327.0,1157.0,--,--,--
Rosemeadow,551.0,1387.0,1286.0,--,--,--
Roseville,879.0,2755.0,2563.0,--,--,--
Roseville Chase,880.0,2735.0,2622.0,--,--,--
Rouse Hill,794.0,2210.0,2132.0,--,--,--
Rozelle,1277.0,2923.0,2598.0,--,--,--
Ruse,650.0,1586.0,1480.0,--,--,--
Rushcutters Bay,1050.0,2403.0,1372.0,--,--,--
Russell Lea,771.0,2334.0,1829.0,--,--,--
Russell Vale,517.0,1395.0,1200.0,--,--,--
Rydalmere,549.0,1485.0,1287.0,--,--,--
Ryde,630.0,1726.0,1380.0,--,--,--
Sadleir,336.0,825.0,700.0,--,--,--
San Remo (NSW),459.0,1063.0,960.0,--,--,--
Sandringham (NSW),708.0,1938.0,1534.0,--,--,--
Sans Souci,605.0,1693.0,1248.0,--,--,--
Saratoga,571.0,1509.0,1263.0,--,--,--
Scarborough (NSW),772.0,1779.0,1750.0,--,--,--
Schofields,618.0,1660.0,1454.0,--,--,--
Scotland Island,920.0,1874.0,1724.0,--,--,--
Seaforth (NSW),855.0,2690.0,2553.0,--,--,--
Sefton,392.0,1103.0,985.0,--,--,--
Seven Hills (NSW),546.0,1487.0,1309.0,--,--,--
Shalvey,387.0,914.0,903.0,--,--,--
Shell Cove,632.0,1905.0,1863.0,--,--,--
Shellharbour,538.0,1405.0,1208.0,--,--,--
Shelly Beach (NSW),486.0,1323.0,974.0,--,--,--
Shortland,433.0,1140.0,878.0,--,--,--
Silverwater (Lake Macquarie - NSW),441.0,900.0,850.0,--,--,--
Smithfield (NSW),382.0,1115.0,970.0,--,--,--
South Coogee,579.0,2063.0,1065.0,--,--,--
South Granville,330.0,931.0,768.0,--,--,--
South Hurstville,520.0,1453.0,1305.0,--,--,--
South Penrith,617.0,1524.0,1377.0,--,--,--
