,Median rent,Households where rent payments are less than 30% of household income,Households with rent payments greater than or equal to 30% of household income,Median rent (%),Households where rent payments are less than 30% of household income (%),Households with rent payments greater than or equal to 30% of household income (%),SSC_CODE
Wisemans Ferry,250.0,--,--,--,87.8,12.2,14344
Erina,333.0,--,--,--,92.5,7.5,11433
Green Point (Central Coast - NSW),370.0,--,--,--,92.4,7.6,11753
Holgate,385.0,--,--,--,100.0,0.0,11921
Lisarow,380.0,--,--,--,94.6,5.4,12343
Erina Heights,480.0,--,--,--,97.5,2.5,11434
Terrigal,450.0,--,--,--,90.6,9.4,13805
Springfield (Central Coast - NSW),320.0,--,--,--,89.9,10.1,13623
North Gosford,328.0,--,--,--,77.8,22.2,12991
West Gosford,340.0,--,--,--,82.3,17.7,14244
Gosford,340.0,--,--,--,71.8,28.2,11722
East Gosford,330.0,--,--,--,81.9,18.1,11349
Point Frederick,320.0,--,--,--,79.0,21.0,13232
Kincumber,340.0,--,--,--,92.5,7.5,12141
Picketts Valley,820.0,--,--,--,93.0,7.0,13198
Narara,360.0,--,--,--,93.0,7.0,12895
Niagara Park,368.0,--,--,--,90.1,9.9,12961
Point Clare,360.0,--,--,--,89.2,10.8,13231
Tascott,410.0,--,--,--,93.8,6.2,13772
Koolewong,405.0,--,--,--,91.9,8.1,12185
Saratoga,405.0,--,--,--,93.0,7.0,13492
Davistown,350.0,--,--,--,92.5,7.5,11221
Yattalunga (NSW),395.0,--,--,--,97.8,2.2,14496
North Avoca,460.0,--,--,--,93.2,6.8,12980
Umina Beach,360.0,--,--,--,84.1,15.9,14007
Booker Bay,350.0,--,--,--,83.8,16.2,10477
Ettalong Beach,350.0,--,--,--,78.7,21.3,11445
Pearl Beach,400.0,--,--,--,93.6,6.4,13171
Wamberal,425.0,--,--,--,93.4,6.6,14122
Forresters Beach,410.0,--,--,--,91.9,8.1,11549
Tumbi Umbi,360.0,--,--,--,92.8,7.2,13962
Horsfield Bay,435.0,--,--,--,96.6,3.4,11941
Phegans Bay,370.0,--,--,--,88.4,11.6,13192
Woy Woy Bay,400.0,--,--,--,95.9,4.1,14426
Blackwall (NSW),350.0,--,--,--,85.5,14.5,10399
Wyoming,350.0,--,--,--,90.4,9.6,14445
Bateau Bay,340.0,--,--,--,90.7,9.3,10227
Killarney Vale,350.0,--,--,--,88.0,12.0,12131
Blue Haven,370.0,--,--,--,87.9,12.1,10415
San Remo (NSW),340.0,--,--,--,84.6,15.4,13470
Doyalson,345.0,--,--,--,87.7,12.3,11286
Buff Point,330.0,--,--,--,91.0,9.0,10645
Budgewoi,300.0,--,--,--,86.2,13.8,10642
Halekulani,318.0,--,--,--,89.5,10.5,11830
Glenning Valley,410.0,--,--,--,95.5,4.5,11672
Berkeley Vale,370.0,--,--,--,90.5,9.5,10304
Chittaway Point,370.0,--,--,--,91.4,8.6,10912
Chittaway Bay,340.0,--,--,--,92.2,7.8,10911
Kanwal,320.0,--,--,--,86.8,13.2,12067
Wyongah,350.0,--,--,--,88.8,11.2,14448
Tuggerawong,300.0,--,--,--,87.3,12.7,13951
Rocky Point (NSW),350.0,--,--,--,93.3,6.7,13388
Gorokan,310.0,--,--,--,83.5,16.5,11721
Charmhaven,340.0,--,--,--,87.6,12.4,10889
Lake Haven,303.0,--,--,--,85.7,14.3,12247
Jilliby,345.0,--,--,--,98.2,1.8,12027
Yarramalong,310.0,--,--,--,92.7,7.3,14475
Wyong Creek,350.0,--,--,--,92.3,7.7,14447
Dooralong,250.0,--,--,--,93.6,6.4,11276
Lake Munmorah,320.0,--,--,--,92.6,7.4,12253
Chain Valley Bay,320.0,--,--,--,96.3,3.7,10880
Kingfisher Shores,315.0,--,--,--,81.4,18.6,12146
Doyalson North,150.0,--,--,--,97.4,2.6,11287
Ourimbah,345.0,--,--,--,89.6,10.4,13103
Fountaindale,300.0,--,--,--,98.0,2.0,11554
Palm Grove (NSW),200.0,--,--,--,91.9,8.1,13133
Gwandalan,335.0,--,--,--,91.1,8.9,11824
Summerland Point,350.0,--,--,--,89.5,10.5,13690
Long Jetty,315.0,--,--,--,78.3,21.7,12378
Shelly Beach (NSW),400.0,--,--,--,93.0,7.0,13535
Blue Bay,350.0,--,--,--,77.8,22.2,10414
Toowoon Bay,300.0,--,--,--,77.2,22.8,13916
The Entrance North,330.0,--,--,--,77.0,23.0,13819
Magenta (NSW),550.0,--,--,--,86.7,13.3,12441
The Entrance,320.0,--,--,--,66.1,33.9,13818
Toukley,300.0,--,--,--,80.7,19.3,13925
Canton Beach,280.0,--,--,--,84.1,15.9,10798
Noraville,330.0,--,--,--,86.4,13.6,12974
Kangy Angy,295.0,--,--,--,87.7,12.3,12064
Tuggerah,360.0,--,--,--,84.6,15.4,13950
Wyong,300.0,--,--,--,81.3,18.7,14446
Mardi,400.0,--,--,--,88.8,11.2,12488
Tacoma South,425.0,--,--,--,96.5,3.5,13725
Hamlyn Terrace,440.0,--,--,--,88.9,11.1,11843
Woongarrah,470.0,--,--,--,92.7,7.3,14415
Warnervale,425.0,--,--,--,89.4,10.6,14154
Wallarah,510.0,--,--,--,85.3,14.7,14109
Wadalba,440.0,--,--,--,82.1,17.9,14080
Watanobbi,335.0,--,--,--,82.2,17.8,14181
Tacoma,330.0,--,--,--,91.7,8.3,13724
Llanarth (NSW),400.0,--,--,--,96.1,3.9,12362
South Bathurst,280.0,--,--,--,85.3,14.7,13577
Bathurst,260.0,--,--,--,78.9,21.1,10231
Robin Hill,230.0,--,--,--,100.0,0.0,13375
West Bathurst,275.0,--,--,--,84.2,15.8,14241
Mitchell (NSW),190.0,--,--,--,69.9,30.1,12650
Gormans Hill,200.0,--,--,--,82.6,17.4,11720
Abercrombie,370.0,--,--,--,96.5,3.5,10004
Eglinton (NSW),345.0,--,--,--,93.7,6.3,11386
Windradyne,320.0,--,--,--,86.5,13.5,14324
Raglan (NSW),310.0,--,--,--,96.6,3.4,13304
White Rock (NSW),90.0,--,--,--,100.0,0.0,14275
Kelso (NSW),315.0,--,--,--,88.7,11.3,12090
O'Connell (NSW),250.0,--,--,--,98.2,1.8,13052
Brewongle,215.0,--,--,--,93.5,6.5,10564
Perthville,230.0,--,--,--,98.4,1.6,13189
Sofala,115.0,--,--,--,94.7,5.3,13569
Wattle Flat (NSW),200.0,--,--,--,89.2,10.8,14191
Peel,138.0,--,--,--,100.0,0.0,13174
Limekilns,210.0,--,--,--,91.7,8.3,12330
Mount Rankin,245.0,--,--,--,97.2,2.8,12786
Rock Forest,243.0,--,--,--,95.4,4.6,13377
Evans Plains,204.0,--,--,--,100.0,0.0,11470
Yetholme,200.0,--,--,--,94.9,5.1,14513
Meadow Flat,215.0,--,--,--,97.2,2.8,12549
Glanmire (NSW),250.0,--,--,--,94.6,5.4,11640
Oberon,230.0,--,--,--,91.8,8.2,13068
Condobolin,170.0,--,--,--,92.6,7.4,11002
Tullamore,45.0,--,--,--,97.3,2.7,13954
Lake Cargelligo,150.0,--,--,--,93.7,6.3,12242
Ungarie,43.0,--,--,--,100.0,0.0,14011
Tottenham (NSW),108.0,--,--,--,98.2,1.8,13923
Cowra,190.0,--,--,--,90.3,9.7,11099
Canowindra,180.0,--,--,--,91.6,8.4,10796
Woodstock (Cowra - NSW),130.0,--,--,--,96.1,3.9,14394
Mandurama,133.0,--,--,--,97.7,2.3,12467
Billimari,175.0,--,--,--,100.0,0.0,10354
Forbes (NSW),185.0,--,--,--,91.8,8.2,11536
Eugowra,150.0,--,--,--,96.2,3.8,11454
Bedgerabong,0.0,--,--,--,93.2,6.8,10247
Grenfell,144.0,--,--,--,94.6,5.4,11776
Greenethorpe,118.0,--,--,--,100.0,0.0,11760
Quandialla,85.0,--,--,--,100.0,0.0,13290
Caragabal,0.0,--,--,--,94.7,5.3,10806
Parkes (NSW),200.0,--,--,--,90.1,9.9,13151
Cookamidgera,149.0,--,--,--,94.5,5.5,11016
Peak Hill (NSW),128.0,--,--,--,91.8,8.2,13166
Trundle,118.0,--,--,--,94.7,5.3,13940
Bogan Gate,205.0,--,--,--,96.2,3.8,10438
Alectown,110.0,--,--,--,100.0,0.0,10029
West Wyalong,170.0,--,--,--,95.5,4.5,14256
Barellan,125.0,--,--,--,98.4,1.6,10197
Ardlethan,89.0,--,--,--,100.0,0.0,10076
Ariah Park,115.0,--,--,--,96.0,4.0,10081
Barmedman,120.0,--,--,--,97.5,2.5,10202
South Bowenfels,330.0,--,--,--,99.0,1.0,13578
Lithgow,245.0,--,--,--,83.9,16.1,12347
Bowenfels,167.0,--,--,--,84.3,15.7,10529
Rydal,133.0,--,--,--,100.0,0.0,13452
Pottery Estate,210.0,--,--,--,75.5,24.5,13254
Oakey Park,250.0,--,--,--,89.4,10.6,13055
Morts Estate,240.0,--,--,--,84.4,15.6,12732
Hermitage Flat,225.0,--,--,--,86.7,13.3,11895
McKellars Park,200.0,--,--,--,95.2,4.8,12544
South Littleton,220.0,--,--,--,87.4,12.6,13590
Littleton,260.0,--,--,--,94.2,5.8,12360
Vale Of Clwydd,240.0,--,--,--,83.2,16.8,14064
Portland (NSW),218.0,--,--,--,95.6,4.4,13250
Lidsdale,277.0,--,--,--,96.6,3.4,12318
Wallerawang,200.0,--,--,--,90.0,10.0,14114
Little Hartley,300.0,--,--,--,98.3,1.7,12352
Hartley (NSW),150.0,--,--,--,97.9,2.1,11861
Clarence,0.0,--,--,--,95.8,4.2,10919
Cullen Bullen,195.0,--,--,--,94.5,5.5,11148
Megalong Valley,250.0,--,--,--,93.2,6.8,12557
Running Stream,175.0,--,--,--,93.5,6.5,13441
Mudgee,300.0,--,--,--,85.8,14.2,12812
Putta Bucca,340.0,--,--,--,100.0,0.0,13278
Bombira,225.0,--,--,--,100.0,0.0,10457
Spring Flat,255.0,--,--,--,100.0,0.0,13613
Kandos,190.0,--,--,--,85.0,15.0,12057
Rylstone,220.0,--,--,--,91.0,9.0,13457
Ilford,180.0,--,--,--,94.9,5.1,11971
Clandulla,200.0,--,--,--,93.2,6.8,10916
Lue,250.0,--,--,--,92.9,7.1,12420
Gulgong,250.0,--,--,--,87.6,12.4,11794
Dunedoo,175.0,--,--,--,93.1,6.9,11316
Cassilis (NSW),45.0,--,--,--,94.2,5.8,10844
Beryl,270.0,--,--,--,92.3,7.7,10327
Yarrawonga (NSW),290.0,--,--,--,97.8,2.2,14486
Cooks Gap,240.0,--,--,--,96.0,4.0,11018
Frog Rock,290.0,--,--,--,100.0,0.0,11570
St Fillans,68.0,--,--,--,100.0,0.0,13634
Eurunderee,216.0,--,--,--,95.1,4.9,11467
Kains Flat,231.0,--,--,--,100.0,0.0,12049
Grattai,198.0,--,--,--,100.0,0.0,11741
Hargraves,150.0,--,--,--,97.1,2.9,11854
Windeyer (NSW),0.0,--,--,--,95.5,4.5,14322
Mount Frome,218.0,--,--,--,100.0,0.0,12760
Buckaroo,275.0,--,--,--,100.0,0.0,10630
Blayney,230.0,--,--,--,89.3,10.7,10410
Millthorpe,273.0,--,--,--,93.7,6.3,12623
Lyndhurst (Blayney - NSW),200.0,--,--,--,97.0,3.0,12426
Neville,200.0,--,--,--,96.4,3.6,12937
Barry (Blayney - NSW),160.0,--,--,--,95.0,5.0,10218
Newbridge (NSW),243.0,--,--,--,95.9,4.1,12948
Orange,270.0,--,--,--,87.6,12.4,13092
Clifton Grove,450.0,--,--,--,100.0,0.0,10934
Cumnock,100.0,--,--,--,98.1,1.9,11159
Cudal,180.0,--,--,--,94.7,5.3,11140
Molong,240.0,--,--,--,91.9,8.1,12671
Manildra,150.0,--,--,--,98.0,2.0,12473
Cargo,155.0,--,--,--,97.9,2.1,10813
Spring Terrace,298.0,--,--,--,100.0,0.0,13620
Spring Hill (Cabonne - NSW),270.0,--,--,--,98.0,2.0,13615
Emu Swamp,270.0,--,--,--,100.0,0.0,11419
Lucknow (NSW),240.0,--,--,--,94.8,5.2,12418
Spring Creek (NSW),220.0,--,--,--,100.0,0.0,13611
Huntley (Orange - NSW),325.0,--,--,--,100.0,0.0,11958
Canobolas,250.0,--,--,--,96.4,3.6,10793
Clergate,75.0,--,--,--,100.0,0.0,10929
Nashdale,200.0,--,--,--,93.7,6.3,12913
Yeoval,135.0,--,--,--,93.1,6.9,14507
Grafton,255.0,--,--,--,84.4,15.6,11733
