,Median rent,Households where rent payments are less than 30% of household income,Households with rent payments greater than or equal to 30% of household income,Median rent (%),Households where rent payments are less than 30% of household income (%),Households with rent payments greater than or equal to 30% of household income (%),SSC_CODE
Drake,123.0,--,--,--,100.0,0.0,11290
Liston,190.0,--,--,--,87.5,12.5,12346
Legume,133.0,--,--,--,94.7,5.3,12296
Urbenville,185.0,--,--,--,89.4,10.6,14057
Woodenbong,175.0,--,--,--,98.1,1.9,14382
Jennings,170.0,--,--,--,90.0,10.0,12008
Moree,190.0,--,--,--,88.7,11.3,12722
Boggabilla,120.0,--,--,--,90.3,9.7,10441
Mungindi (NSW),100.0,--,--,--,94.1,5.9,12843
Bellata,92.0,--,--,--,97.2,2.8,10266
Narrabri,220.0,--,--,--,90.3,9.7,12903
Wee Waa,160.0,--,--,--,90.2,9.8,14211
Maules Creek,81.0,--,--,--,100.0,0.0,12526
Baan Baa,215.0,--,--,--,95.0,5.0,10120
Bohena Creek,135.0,--,--,--,100.0,0.0,10444
Gwabegar,50.0,--,--,--,94.0,6.0,11823
Gunnedah,250.0,--,--,--,88.7,11.3,11812
Curlewis (NSW),210.0,--,--,--,91.8,8.2,11169
Carroll,160.0,--,--,--,95.9,4.1,10832
Breeza,144.0,--,--,--,100.0,0.0,10561
Caroona,126.0,--,--,--,93.8,6.2,10823
Mullaley,118.0,--,--,--,91.4,8.6,12820
Werris Creek,190.0,--,--,--,90.5,9.5,14238
Quirindi,205.0,--,--,--,91.1,8.9,13301
Wallabadah,160.0,--,--,--,98.1,1.9,14098
Currabubula,120.0,--,--,--,94.1,5.9,11172
Willow Tree,170.0,--,--,--,95.0,5.0,14305
Hillvue,330.0,--,--,--,93.6,6.4,11914
Calala,330.0,--,--,--,90.9,9.1,10748
Kingswood (Tamworth Regional - NSW),290.0,--,--,--,97.5,2.5,12164
South Tamworth,235.0,--,--,--,80.3,19.7,13597
West Tamworth,230.0,--,--,--,78.4,21.6,14252
North Tamworth,270.0,--,--,--,85.5,14.5,13011
Tamworth,203.0,--,--,--,69.2,30.8,13746
East Tamworth,290.0,--,--,--,89.4,10.6,11363
Oxley Vale,300.0,--,--,--,84.2,15.8,13111
Nemingha,293.0,--,--,--,94.6,5.4,12926
Westdale (Tamworth Regional - NSW),325.0,--,--,--,87.1,12.9,14259
Kootingal,300.0,--,--,--,91.2,8.8,12194
Duri,230.0,--,--,--,97.7,2.3,11332
Winton (NSW),0.0,--,--,--,95.6,4.4,14336
Rushes Creek,200.0,--,--,--,92.7,7.3,13445
Somerton (NSW),155.0,--,--,--,95.5,4.5,13572
Attunga,250.0,--,--,--,96.5,3.5,10105
Tintinhull,213.0,--,--,--,97.8,2.2,13879
Loomberah,110.0,--,--,--,98.2,1.8,12386
Moonbi,200.0,--,--,--,93.0,7.0,12699
Bendemeer,150.0,--,--,--,96.7,3.3,10289
Barraba,155.0,--,--,--,92.9,7.1,10206
Upper Manilla,133.0,--,--,--,93.8,6.2,14037
Manilla,225.0,--,--,--,88.8,11.2,12474
Daruka,370.0,--,--,--,98.8,1.2,11218
Moore Creek,400.0,--,--,--,98.7,1.3,12710
Hallsville,248.0,--,--,--,100.0,0.0,11835
Nundle,150.0,--,--,--,96.3,3.7,13043
Ogunbil,208.0,--,--,--,100.0,0.0,13071
Dungowan,240.0,--,--,--,97.6,2.4,11321
Woolomin,270.0,--,--,--,92.0,8.0,14408
Warral,255.0,--,--,--,97.6,2.4,14163
Timbumburi,393.0,--,--,--,100.0,0.0,13870
Windale,166.0,--,--,--,69.2,30.8,14315
Jewells,410.0,--,--,--,96.4,3.6,12024
Belmont North,350.0,--,--,--,92.2,7.8,10277
Belmont (NSW),295.0,--,--,--,86.2,13.8,10276
Floraville,380.0,--,--,--,93.4,6.6,11535
Blacksmiths,300.0,--,--,--,90.0,10.0,10396
Pelican (NSW),320.0,--,--,--,92.4,7.6,13178
Marks Point,285.0,--,--,--,79.7,20.3,12492
Belmont South,250.0,--,--,--,82.8,17.2,10278
Kahibah,350.0,--,--,--,90.8,9.2,12048
Charlestown (NSW),350.0,--,--,--,90.1,9.9,10885
Gateshead,262.0,--,--,--,82.4,17.6,11594
Dudley,365.0,--,--,--,95.7,4.3,11300
Highfields (NSW),340.0,--,--,--,93.4,6.6,11902
Garden Suburb,410.0,--,--,--,96.7,3.3,11587
Cardiff (NSW),340.0,--,--,--,88.2,11.8,10809
Hillsborough (Lake Macquarie - NSW),351.0,--,--,--,94.5,5.5,11909
Warners Bay,350.0,--,--,--,89.2,10.8,14153
Glendale (NSW),300.0,--,--,--,85.6,14.4,11658
Elermore Vale,325.0,--,--,--,89.6,10.4,11394
Macquarie Hills,400.0,--,--,--,95.0,5.0,12434
Kotara,380.0,--,--,--,93.9,6.1,12200
Cardiff Heights,360.0,--,--,--,95.1,4.9,10810
Cardiff South,345.0,--,--,--,90.8,9.2,10811
New Lambton Heights,400.0,--,--,--,95.6,4.4,12943
Tingira Heights,350.0,--,--,--,91.4,8.6,13875
Mount Hutton (NSW),330.0,--,--,--,91.5,8.5,12766
Eleebana,420.0,--,--,--,96.4,3.6,11393
Redhead,370.0,--,--,--,94.2,5.8,13340
Caves Beach,360.0,--,--,--,94.0,6.0,10862
Nords Wharf,350.0,--,--,--,93.0,7.0,12975
Swansea (NSW),290.0,--,--,--,85.0,15.0,13711
Swansea Heads,440.0,--,--,--,94.5,5.5,13712
Catherine Hill Bay,315.0,--,--,--,86.7,13.3,10857
Murrays Beach,530.0,--,--,--,98.0,2.0,12854
Valentine,420.0,--,--,--,96.1,3.9,14065
Croudace Bay,420.0,--,--,--,93.0,7.0,11128
Speers Point,350.0,--,--,--,90.2,9.8,13605
Lakelands (NSW),380.0,--,--,--,96.8,3.2,12256
Boolaroo,323.0,--,--,--,86.2,13.8,10482
Booragul,250.0,--,--,--,83.5,16.5,10495
Fennell Bay,300.0,--,--,--,90.3,9.7,11500
Marmong Point,378.0,--,--,--,91.3,8.7,12498
Woodrising,333.0,--,--,--,94.0,6.0,14391
Bolton Point,225.0,--,--,--,83.9,16.1,10449
Teralba,255.0,--,--,--,88.6,11.4,13793
Fassifern (NSW),300.0,--,--,--,89.6,10.4,11495
Balcolyn,368.0,--,--,--,88.2,11.8,10145
Yarrawonga Park,340.0,--,--,--,90.1,9.9,14487
Mirrabooka (NSW),313.0,--,--,--,88.5,11.5,12647
Silverwater (Lake Macquarie - NSW),345.0,--,--,--,89.9,10.1,13546
Bonnells Bay,360.0,--,--,--,89.6,10.4,10468
Brightwaters,348.0,--,--,--,89.9,10.1,10570
Windermere Park,340.0,--,--,--,86.5,13.5,14321
Edgeworth,310.0,--,--,--,89.0,11.0,11381
Cooranbong,310.0,--,--,--,90.4,9.6,11052
Morisset,340.0,--,--,--,89.3,10.7,12723
Wyee Point,350.0,--,--,--,94.3,5.7,14439
Mandalong,315.0,--,--,--,90.1,9.9,12465
Dora Creek,313.0,--,--,--,90.9,9.1,11277
Eraring,138.0,--,--,--,94.7,5.3,11429
Martinsville,323.0,--,--,--,97.3,2.7,12512
Kilaben Bay,370.0,--,--,--,94.7,5.3,12125
Coal Point,375.0,--,--,--,95.8,4.2,10943
Awaba,300.0,--,--,--,96.9,3.1,10118
Buttaba,340.0,--,--,--,93.2,6.8,10723
Fishing Point,400.0,--,--,--,94.3,5.7,11526
Rathmines,330.0,--,--,--,93.7,6.3,13319
Wangi Wangi,300.0,--,--,--,88.2,11.8,14135
Arcadia Vale,325.0,--,--,--,92.6,7.4,10073
Balmoral (Lake Macquarie - NSW),350.0,--,--,--,90.6,9.4,10166
Holmesville,323.0,--,--,--,96.2,3.8,11924
Barnsley,340.0,--,--,--,94.0,6.0,10204
Seahampton,375.0,--,--,--,90.2,9.8,13511
West Wallsend,335.0,--,--,--,92.3,7.7,14253
Killingworth (NSW),385.0,--,--,--,95.3,4.7,12137
Adamstown Heights,395.0,--,--,--,95.8,4.2,10017
Kotara South,301.0,--,--,--,93.8,6.2,12201
Beresfield,300.0,--,--,--,85.9,14.1,10301
Hexham (NSW),245.0,--,--,--,89.1,10.9,11898
Hamilton South,135.0,--,--,--,84.4,15.6,11841
Broadmeadow,330.0,--,--,--,80.2,19.8,10578
Hamilton East,350.0,--,--,--,92.8,7.2,11839
Newcastle West,400.0,--,--,--,73.0,27.0,12951
Hamilton North,378.0,--,--,--,87.8,12.2,11840
Hamilton (NSW),350.0,--,--,--,82.0,18.0,11838
Lambton,310.0,--,--,--,85.0,15.0,12264
Jesmond,300.0,--,--,--,65.8,34.2,12023
Maryland (Newcastle - NSW),360.0,--,--,--,91.5,8.5,12514
Fletcher (NSW),493.0,--,--,--,93.7,6.3,11533
Minmi,355.0,--,--,--,92.1,7.9,12638
Warabrook,340.0,--,--,--,87.5,12.5,14140
Mayfield East,350.0,--,--,--,84.4,15.6,12534
Merewether Heights,490.0,--,--,--,99.3,0.7,12574
Merewether,360.0,--,--,--,88.7,11.3,12573
The Junction,350.0,--,--,--,86.9,13.1,13827
Cooks Hill,370.0,--,--,--,82.4,17.6,11019
Bar Beach,300.0,--,--,--,84.1,15.9,10187
Newcastle,450.0,--,--,--,81.9,18.1,12949
The Hill,340.0,--,--,--,80.8,19.2,13826
Newcastle East,335.0,--,--,--,79.8,20.2,12950
Carrington (Newcastle - NSW),360.0,--,--,--,82.6,17.4,10830
Shortland,330.0,--,--,--,83.5,16.5,13542
Birmingham Gardens,350.0,--,--,--,71.1,28.9,10377
Sandgate (NSW),250.0,--,--,--,78.6,21.4,13474
North Lambton,350.0,--,--,--,83.6,16.4,12993
Fern Bay,430.0,--,--,--,95.4,4.6,11501
Wallsend,320.0,--,--,--,84.8,15.2,14118
Waratah West,350.0,--,--,--,82.3,17.7,14142
Waratah (NSW),300.0,--,--,--,80.1,19.9,14141
Wickham (NSW),380.0,--,--,--,79.9,20.1,14285
Maryville,400.0,--,--,--,87.8,12.2,12518
Tighes Hill,330.0,--,--,--,85.9,14.1,13863
Islington,350.0,--,--,--,81.3,18.7,11990
Ballina,295.0,--,--,--,79.7,20.3,10162
West Ballina,320.0,--,--,--,86.1,13.9,14240
East Ballina,370.0,--,--,--,86.0,14.0,11345
Skennars Head,460.0,--,--,--,91.4,8.6,13554
Wollongbar,340.0,--,--,--,90.4,9.6,14357
Wardell,300.0,--,--,--,88.9,11.1,14144
East Wardell,300.0,--,--,--,83.0,17.0,11365
Meerschaum Vale,300.0,--,--,--,97.6,2.4,12556
Rous,384.0,--,--,--,88.8,11.2,13427
Pimlico (NSW),320.0,--,--,--,94.3,5.7,13207
Keith Hall,343.0,--,--,--,100.0,0.0,12086
Tuckombil,325.0,--,--,--,96.4,3.6,13947
Fernleigh,415.0,--,--,--,93.2,6.8,11508
Tintenbar,350.0,--,--,--,93.4,6.6,13878
Cumbalum,498.0,--,--,--,92.0,8.0,11154
Brooklet,300.0,--,--,--,90.5,9.5,10598
Knockrow,380.0,--,--,--,80.6,19.4,12178
Newrybar,400.0,--,--,--,90.6,9.4,12957
Alstonvale,310.0,--,--,--,91.9,8.1,10045
Teven,275.0,--,--,--,94.2,5.8,13807
Pearces Creek,400.0,--,--,--,90.7,9.3,13170
Rous Mill,330.0,--,--,--,93.0,7.0,13428
Ewingsdale,395.0,--,--,--,87.1,12.9,11474
Eureka (NSW),338.0,--,--,--,89.4,10.6,11461
Coorabell,250.0,--,--,--,88.3,11.7,11051
Possum Creek,400.0,--,--,--,81.3,18.7,13252
Bangalow,500.0,--,--,--,85.5,14.5,10174
Coopers Shoot,328.0,--,--,--,94.6,5.4,11049
Skinners Shoot,250.0,--,--,--,71.4,28.6,13556
Talofa,375.0,--,--,--,61.3,38.7,13739
Nashua,375.0,--,--,--,86.0,14.0,12914
Federal (NSW),350.0,--,--,--,91.9,8.1,11499
Binna Burra (NSW),315.0,--,--,--,89.3,10.7,10371
Brunswick Heads,310.0,--,--,--,74.7,25.3,10621
Ocean Shores,408.0,--,--,--,83.9,16.1,13070
Tyagarah,324.0,--,--,--,82.1,17.9,13993
New Brighton,450.0,--,--,--,84.4,15.6,12939
South Golden Beach,388.0,--,--,--,77.4,22.6,13581
Wooyung,383.0,--,--,--,84.8,15.2,14418
Byron Bay,460.0,--,--,--,79.9,20.1,10733
Suffolk Park,550.0,--,--,--,83.5,16.5,13684
Broken Head,395.0,--,--,--,90.9,9.1,10591
Woodburn (Richmond Valley - NSW),250.0,--,--,--,89.2,10.8,14379
Evans Head,260.0,--,--,--,79.2,20.8,11469
Bungawalbin,75.0,--,--,--,92.7,7.3,10683
Lennox Head,450.0,--,--,--,88.9,11.1,12303
Myocum,308.0,--,--,--,82.0,18.0,12877
Billinudgel,287.0,--,--,--,81.2,18.8,10355
Yelgun,210.0,--,--,--,69.7,30.3,14499
The Pocket,310.0,--,--,--,81.3,18.7,13834
Middle Pocket,408.0,--,--,--,86.7,13.3,12606
Main Arm,350.0,--,--,--,84.3,15.7,12445
Mullumbimby,380.0,--,--,--,81.4,18.6,12828
Mullumbimby Creek,250.0,--,--,--,86.8,13.2,12829
Wilsons Creek,300.0,--,--,--,88.7,11.3,14310
Huonbrook,231.0,--,--,--,92.3,7.7,11962
Whian Whian,315.0,--,--,--,87.8,12.2,14272
Yorklea,245.0,--,--,--,97.0,3.0,14517
Casino,240.0,--,--,--,85.0,15.0,10843
North Casino,280.0,--,--,--,99.0,1.0,12987
Fairy Hill,258.0,--,--,--,97.8,2.2,11483
Bonalbo,150.0,--,--,--,90.7,9.3,10463
Coraki,250.0,--,--,--,90.0,10.0,11063
Mallanganee,165.0,--,--,--,93.5,6.5,12457
Backmede,231.0,--,--,--,93.3,6.7,10130
Bentley (NSW),225.0,--,--,--,90.0,10.0,10298
Spring Grove,280.0,--,--,--,97.8,2.2,13614
West Coraki,318.0,--,--,--,100.0,0.0,14243
Ellangowan (NSW),210.0,--,--,--,94.4,5.6,11400
Leeville,263.0,--,--,--,100.0,0.0,12295
Rappville,200.0,--,--,--,89.7,10.3,13318
Goonellabah,275.0,--,--,--,86.9,13.1,11711
Chilcotts Grass,370.0,--,--,--,95.8,4.2,10903
West Wiangaree,170.0,--,--,--,100.0,0.0,14254
Wiangaree,190.0,--,--,--,90.9,9.1,14283
Kyogle,235.0,--,--,--,84.4,15.6,12229
Cedar Point,280.0,--,--,--,95.3,4.7,10871
Geneva,250.0,--,--,--,90.9,9.1,11599
Barkers Vale,138.0,--,--,--,92.2,7.8,10201
Wadeville,170.0,--,--,--,95.9,4.1,14082
Lillian Rock,175.0,--,--,--,89.0,11.0,12323
Fawcetts Plain,230.0,--,--,--,93.9,6.1,11498
Homeleigh,215.0,--,--,--,91.7,8.3,11931
Cawongla,245.0,--,--,--,90.8,9.2,10864
Green Pigeon,200.0,--,--,--,90.9,9.1,11752
Collins Creek,200.0,--,--,--,91.7,8.3,10978
East Lismore,260.0,--,--,--,81.3,18.7,11358
Lismore (NSW),240.0,--,--,--,74.8,25.2,12344
Lismore Heights,280.0,--,--,--,84.9,15.1,12345
South Lismore,250.0,--,--,--,82.7,17.3,13589
Girards Hill,250.0,--,--,--,81.2,18.8,11631
Monaltrie,300.0,--,--,--,87.8,12.2,12674
North Lismore,260.0,--,--,--,86.0,14.0,12994
Loftville,163.0,--,--,--,80.3,19.7,12372
Modanville,305.0,--,--,--,94.9,5.1,12655
Clunes (NSW),395.0,--,--,--,92.8,7.2,10939
Terania Creek,235.0,--,--,--,95.9,4.1,13794
Koonorigan,265.0,--,--,--,86.4,13.6,12188
Rosebank,275.0,--,--,--,89.3,10.7,13401
Corndale (NSW),290.0,--,--,--,89.6,10.4,11076
East Coraki,240.0,--,--,--,95.8,4.2,11347
Tregeagle,288.0,--,--,--,95.5,4.5,13933
Wyrallah,315.0,--,--,--,92.4,7.6,14449
South Gundurimba,250.0,--,--,--,97.3,2.7,13585
Blakebrook,283.0,--,--,--,83.6,16.4,10402
Booerie Creek,170.0,--,--,--,90.2,9.8,10475
Goolmangar,295.0,--,--,--,95.5,4.5,11708
Keerrong,223.0,--,--,--,83.3,16.7,12083
Tullera,290.0,--,--,--,96.7,3.3,13956
Boat Harbour (Lismore - NSW),375.0,--,--,--,93.3,6.7,10424
Eltham (NSW),333.0,--,--,--,95.5,4.5,11409
Lindendale,280.0,--,--,--,96.1,3.9,12336
Nimbin,225.0,--,--,--,87.7,12.3,12965
Blue Knob,210.0,--,--,--,94.5,5.5,10416
Tuntable Creek,140.0,--,--,--,90.2,9.8,13971
Coffee Camp,210.0,--,--,--,92.3,7.7,10958
Larnook,200.0,--,--,--,97.6,2.4,12279
Georgica,168.0,--,--,--,96.6,3.4,11604
Dunoon,288.0,--,--,--,88.8,11.2,11325
Dorroughby,253.0,--,--,--,89.6,10.4,11280
Numulgi,280.0,--,--,--,90.3,9.7,13041
Fingal Head,360.0,--,--,--,87.3,12.7,11519
Casuarina (NSW),460.0,--,--,--,87.3,12.7,10851
Kingscliff,360.0,--,--,--,85.0,15.0,12154
Chinderah,211.0,--,--,--,90.5,9.5,10905
Cudgen,340.0,--,--,--,89.5,10.5,11143
Murwillumbah,280.0,--,--,--,83.0,17.0,12866
South Murwillumbah,320.0,--,--,--,84.1,15.9,13593
Bray Park (NSW),285.0,--,--,--,85.9,14.1,10552
Smiths Creek (Tweed - NSW),275.0,--,--,--,92.7,7.3,13562
Mount Burrell,165.0,--,--,--,88.4,11.6,12749
Byrrill Creek,225.0,--,--,--,93.2,6.8,10734
Pumpenbil,335.0,--,--,--,90.7,9.3,13272
Limpinwood,215.0,--,--,--,96.0,4.0,12333
Tyalgum,305.0,--,--,--,90.4,9.6,13994
Dum Dum,295.0,--,--,--,90.0,10.0,11304
Eungella (NSW),200.0,--,--,--,84.3,15.7,11460
Crystal Creek (NSW),250.0,--,--,--,86.7,13.3,11138
Stokers Siding,300.0,--,--,--,93.2,6.8,13664
Numinbah,170.0,--,--,--,93.0,7.0,13040
Upper Crystal Creek,295.0,--,--,--,84.9,15.1,14021
Nobbys Creek,310.0,--,--,--,92.9,7.1,12968
Dungay,270.0,--,--,--,94.0,6.0,11318
Kynnumboon,183.0,--,--,--,92.5,7.5,12228
Dunbible,235.0,--,--,--,94.5,5.5,11309
Fernvale (NSW),288.0,--,--,--,94.9,5.1,11511
Kielvale,185.0,--,--,--,95.7,4.3,12122
Reserve Creek,220.0,--,--,--,93.5,6.5,13353
Tygalgah,285.0,--,--,--,89.5,10.5,13996
Dulguigan,250.0,--,--,--,94.1,5.9,11302
Urliup,275.0,--,--,--,95.5,4.5,14060
Eviron,380.0,--,--,--,95.0,5.0,11472
Duranbah,345.0,--,--,--,84.7,15.3,11331
Condong,400.0,--,--,--,85.9,14.1,11003
Farrants Hill,265.0,--,--,--,93.2,6.8,11493
Nunderi,400.0,--,--,--,95.4,4.6,13042
Uki,305.0,--,--,--,90.6,9.4,14000
Bogangar,360.0,--,--,--,84.9,15.1,10439
Mooball,350.0,--,--,--,94.9,5.1,12687
Cabarita Beach,363.0,--,--,--,70.0,30.0,10737
Pottsville,395.0,--,--,--,86.8,13.2,13257
Crabbes Creek,368.0,--,--,--,91.8,8.2,11102
Burringbar,290.0,--,--,--,88.5,11.5,10713
Hastings Point,277.0,--,--,--,89.0,11.0,11868
Round Mountain,350.0,--,--,--,87.5,12.5,13425
Cudgera Creek,360.0,--,--,--,85.3,14.7,11144
Tweed Heads,330.0,--,--,--,80.5,19.5,13984
Tweed Heads West,300.0,--,--,--,80.6,19.4,13986
Piggabeen,370.0,--,--,--,96.9,3.1,13202
Bilambil Heights,370.0,--,--,--,89.6,10.4,10348
Cobaki,260.0,--,--,--,93.2,6.8,10947
Bilambil,330.0,--,--,--,92.5,7.5,10347
Carool,295.0,--,--,--,90.6,9.4,10822
Banora Point,360.0,--,--,--,91.3,8.7,10185
Terranora,480.0,--,--,--,95.8,4.2,13802
Tweed Heads South,340.0,--,--,--,83.3,16.7,13985
Griffith (NSW),230.0,--,--,--,89.8,10.2,11782
Yoogali,250.0,--,--,--,97.9,2.1,14516
Bilbul,240.0,--,--,--,95.4,4.6,10349
Yenda (NSW),185.0,--,--,--,93.2,6.8,14504
Beelbangera,231.0,--,--,--,94.1,5.9,10251
Hillston,150.0,--,--,--,96.5,3.5,11912
Tharbogang,190.0,--,--,--,95.3,4.7,13811
Hanwood,220.0,--,--,--,94.0,6.0,11850
Coleambally,140.0,--,--,--,95.3,4.7,10964
Darlington Point,170.0,--,--,--,90.4,9.6,11215
Stanbridge,85.0,--,--,--,91.8,8.2,13646
Yanco,133.0,--,--,--,91.5,8.5,14460
Narrandera,180.0,--,--,--,91.4,8.6,12906
Grong Grong,40.0,--,--,--,100.0,0.0,11784
Boree Creek,150.0,--,--,--,95.8,4.2,10512
Gillenbah,110.0,--,--,--,89.5,10.5,11622
Tumbarumba,180.0,--,--,--,95.0,5.0,13961
Tooma,170.0,--,--,--,91.2,8.8,13906
Tumut,200.0,--,--,--,89.6,10.4,13966
Gilmore (NSW),150.0,--,--,--,93.9,6.1,11626
Talbingo,130.0,--,--,--,91.8,8.2,13730
Adelong,180.0,--,--,--,97.1,2.9,10018
Cootamundra,195.0,--,--,--,91.6,8.4,11053
South Gundagai,160.0,--,--,--,95.1,4.9,13584
Tumblong,76.0,--,--,--,100.0,0.0,13963
Nangus,111.0,--,--,--,95.9,4.1,12890
Coolac,67.0,--,--,--,100.0,0.0,11022
Junee,218.0,--,--,--,90.9,9.1,12046
Old Junee,160.0,--,--,--,94.8,5.2,13078
Springdale (NSW),110.0,--,--,--,92.1,7.9,13621
Lake Albert (NSW),310.0,--,--,--,94.5,5.5,12238
East Wagga Wagga,280.0,--,--,--,89.0,11.0,11364
Gumly Gumly,270.0,--,--,--,91.3,8.7,11800
Tatton,370.0,--,--,--,95.3,4.7,13775
Boorooma,395.0,--,--,--,92.7,7.3,10501
North Wagga Wagga,275.0,--,--,--,92.5,7.5,13014
Cartwrights Hill,305.0,--,--,--,91.5,8.5,10839
Springvale (Wagga Wagga - NSW),260.0,--,--,--,99.4,0.6,13628
Lloyd,380.0,--,--,--,96.4,3.6,12365
Bourkelands,350.0,--,--,--,94.5,5.5,10523
Tolland,199.0,--,--,--,79.9,20.1,13887
Mount Austin,225.0,--,--,--,82.4,17.6,12748
San Isidore,273.0,--,--,--,97.4,2.6,13469
Ashmont,200.0,--,--,--,81.0,19.0,10101
Wagga Wagga,265.0,--,--,--,83.8,16.2,14083
Ladysmith,235.0,--,--,--,95.3,4.7,12233
Forest Hill (NSW),280.0,--,--,--,91.3,8.7,11544
Collingullie,200.0,--,--,--,94.0,6.0,10976
Ganmain,140.0,--,--,--,96.6,3.4,11585
Matong,20.0,--,--,--,100.0,0.0,12523
Yerong Creek,100.0,--,--,--,97.0,3.0,14508
Uranquinty,265.0,--,--,--,96.3,3.7,14055
Marrar,200.0,--,--,--,97.5,2.5,12503
Coolamon,220.0,--,--,--,95.1,4.9,11025
Tarcutta,150.0,--,--,--,95.9,4.1,13763
Big Springs,188.0,--,--,--,100.0,0.0,10345
Berry,370.0,--,--,--,94.5,5.5,10322
Beaumont (NSW),0.0,--,--,--,92.1,7.9,10242
Coolangatta (NSW),265.0,--,--,--,96.9,3.1,11026
Jaspers Brush,250.0,--,--,--,97.7,2.3,12002
Shoalhaven Heads,300.0,--,--,--,92.1,7.9,13540
Callala Bay,330.0,--,--,--,88.7,11.3,10757
Callala Beach,330.0,--,--,--,86.0,14.0,10758
Currarong,270.0,--,--,--,94.5,5.5,11176
Orient Point,240.0,--,--,--,93.4,6.6,13096
Culburra Beach,290.0,--,--,--,88.7,11.3,11146
Greenwell Point,238.0,--,--,--,91.1,8.9,11769
Huskisson,248.0,--,--,--,83.0,17.0,11966
North Nowra,300.0,--,--,--,88.1,11.9,13000
Cambewarra Village,420.0,--,--,--,96.3,3.7,10764
Tapitallee,405.0,--,--,--,98.5,1.5,13755
Worrigee,325.0,--,--,--,88.2,11.8,14423
Nowra,214.0,--,--,--,79.4,20.6,13028
Nowra Hill,285.0,--,--,--,98.5,1.5,13029
West Nowra,300.0,--,--,--,85.0,15.0,14248
South Nowra,300.0,--,--,--,92.7,7.3,13594
Worrowing Heights,105.0,--,--,--,100.0,0.0,14424
Basin View,300.0,--,--,--,91.9,8.1,10223
Sanctuary Point,280.0,--,--,--,87.1,12.9,13472
Erowal Bay,300.0,--,--,--,91.3,8.7,11436
Wrights Beach,290.0,--,--,--,93.6,6.4,14428
Old Erowal Bay,290.0,--,--,--,88.2,11.8,13075
Berrara,250.0,--,--,--,94.5,5.5,10313
Cudmirrah,240.0,--,--,--,97.3,2.7,11145
Falls Creek (NSW),300.0,--,--,--,95.9,4.1,11487
Tomerong,230.0,--,--,--,96.2,3.8,13894
Woollamia,213.0,--,--,--,96.7,3.3,14405
Kings Point,330.0,--,--,--,90.7,9.3,12153
Burrill Lake,270.0,--,--,--,90.9,9.1,10712
Dolphin Point,320.0,--,--,--,85.1,14.9,11269
Milton (NSW),270.0,--,--,--,94.6,5.4,12630
Mollymook Beach,310.0,--,--,--,89.9,10.1,12670
Narrawallee,300.0,--,--,--,86.9,13.1,12909
Mollymook,300.0,--,--,--,87.7,12.3,12669
Manyana,265.0,--,--,--,92.7,7.3,12482
Fishermans Paradise,230.0,--,--,--,90.6,9.4,11523
Lake Tabourie,268.0,--,--,--,90.4,9.6,12254
Lake Conjola,310.0,--,--,--,91.2,8.8,12244
Yatte Yattah,265.0,--,--,--,95.0,5.0,14497
Little Forest,265.0,--,--,--,100.0,0.0,12351
Morton,193.0,--,--,--,100.0,0.0,12730
Bawley Point,280.0,--,--,--,92.8,7.2,10235
Kioloa,290.0,--,--,--,94.6,5.4,12165
Bowral,400.0,--,--,--,91.4,8.6,10536
Burradoo,475.0,--,--,--,96.9,3.1,10701
Woodlands (Wingecarribee - NSW),263.0,--,--,--,93.4,6.6,14388
Balmoral (Wingecarribee - NSW),330.0,--,--,--,97.9,2.1,10167
Hill Top (Wingecarribee - NSW),370.0,--,--,--,93.8,6.2,11905
Colo Vale,380.0,--,--,--,93.7,6.3,10985
Aylmerton,398.0,--,--,--,100.0,0.0,10119
Mittagong,320.0,--,--,--,87.5,12.5,12653
Renwick,565.0,--,--,--,93.4,6.6,13350
Balaclava (NSW),380.0,--,--,--,89.3,10.7,10143
Welby,310.0,--,--,--,83.1,16.9,14219
Glenquarry,310.0,--,--,--,94.4,5.6,11674
Braemar,430.0,--,--,--,92.4,7.6,10545
Moss Vale,320.0,--,--,--,88.0,12.0,12739
Sutton Forest,220.0,--,--,--,93.7,6.3,13703
Berrima,400.0,--,--,--,96.6,3.4,10320
New Berrima,320.0,--,--,--,92.3,7.7,12938
Kangaloon,275.0,--,--,--,94.1,5.9,12058
Burrawang,400.0,--,--,--,94.8,5.2,10708
Avoca (NSW),256.0,--,--,--,93.9,6.1,10113
Fitzroy Falls,233.0,--,--,--,95.8,4.2,11529
Bundanoon (NSW),324.0,--,--,--,95.1,4.9,10670
Wingello,260.0,--,--,--,93.6,6.4,14330
Medway,380.0,--,--,--,93.5,6.5,12555
Penrose,200.0,--,--,--,94.6,5.4,13185
Baulkham Hills,520.0,--,--,--,93.0,7.0,10233
Bella Vista,710.0,--,--,--,95.9,4.1,10263
Glenhaven,650.0,--,--,--,97.9,2.1,11667
Castle Hill (NSW),555.0,--,--,--,92.7,7.3,10847
West Pennant Hills,590.0,--,--,--,96.2,3.8,14249
Cherrybrook,650.0,--,--,--,95.8,4.2,10898
Kellyville,630.0,--,--,--,94.5,5.5,12088
Kenthurst,420.0,--,--,--,96.0,4.0,12100
Glenorie,438.0,--,--,--,94.4,5.6,11673
Canoelands,278.0,--,--,--,93.9,6.1,10794
Cattai,470.0,--,--,--,96.8,3.2,10859
South Maroota,400.0,--,--,--,98.0,2.0,13592
Dural (Hornsby - NSW),550.0,--,--,--,94.7,5.3,11328
