,Families without children,Families with children,Families without children (%),Families with children (%)
Gladesville,2577.0,3086.0,--,--
Glebe (NSW),2949.0,3531.0,--,--
Glen Alpine,2371.0,2868.0,--,--
Glenbrook,2457.0,2877.0,--,--
Glendale (NSW),2029.0,2029.0,--,--
Glendenning,1972.0,2062.0,--,--
Glenfield (NSW),2106.0,2253.0,--,--
Glenhaven,2595.0,3154.0,--,--
Glenmore Park,2241.0,2474.0,--,--
Glenning Valley,2215.0,2355.0,--,--
Glenwood (NSW),2419.0,2567.0,--,--
Gordon (NSW),2810.0,3397.0,--,--
Gorokan,1568.0,1816.0,--,--
Gosford,1817.0,1874.0,--,--
Granville (NSW),1711.0,1989.0,--,--
Grays Point,2799.0,3004.0,--,--
Green Point (Great Lakes - NSW),1468.0,1700.0,--,--
Green Valley (NSW),1823.0,2088.0,--,--
Greenacre,1882.0,2030.0,--,--
Greenfield Park,1826.0,2299.0,--,--
Greenwich,2756.0,3678.0,--,--
Greystanes,2043.0,2315.0,--,--
Guildford (NSW),1853.0,2050.0,--,--
Guildford West,2137.0,2203.0,--,--
Gwynneville,2029.0,2416.0,--,--
Gymea,2294.0,2696.0,--,--
Gymea Bay,2613.0,2980.0,--,--
Haberfield,2357.0,3197.0,--,--
Halekulani,1684.0,1966.0,--,--
Hamilton (NSW),2414.0,2656.0,--,--
Hamilton East,2291.0,3076.0,--,--
Hamilton North,2352.0,2416.0,--,--
Hamilton South,2486.0,2991.0,--,--
Hammondville,2134.0,2191.0,--,--
Harrington Park,2342.0,2570.0,--,--
Harris Park,1488.0,1661.0,--,--
Hassall Grove,1934.0,2076.0,--,--
Haymarket,1435.0,1805.0,--,--
Heathcote (NSW),2127.0,2549.0,--,--
Hebersham,1689.0,1979.0,--,--
Heckenberg,1646.0,1978.0,--,--
Henley,2542.0,3666.0,--,--
Highfields (NSW),2700.0,2454.0,--,--
Hillsborough (Lake Macquarie - NSW),1600.0,2236.0,--,--
Hillsdale,1723.0,1856.0,--,--
Hinchinbrook (NSW),1972.0,2127.0,--,--
Holmesville,1767.0,1941.0,--,--
Holsworthy,2313.0,2342.0,--,--
Homebush (NSW),2157.0,2223.0,--,--
Homebush West,2039.0,1995.0,--,--
Horningsea Park,2076.0,2298.0,--,--
Hornsby,2286.0,2465.0,--,--
Hornsby Heights,2612.0,2771.0,--,--
Horsley,2026.0,2254.0,--,--
Hoxton Park,2064.0,2086.0,--,--
Hunters Hill,3007.0,3544.0,--,--
Huntleys Point,2750.0,4333.0,--,--
Hurlstone Park,2370.0,2839.0,--,--
Hurstville,1769.0,2070.0,--,--
Hurstville Grove,2553.0,2919.0,--,--
Illawong,2534.0,3061.0,--,--
Ingleburn,1927.0,2214.0,--,--
Ingleside,2062.0,2678.0,--,--
Islington,2066.0,2196.0,--,--
Jamisontown,1957.0,2277.0,--,--
Jannali,2304.0,2585.0,--,--
Jesmond,1676.0,1926.0,--,--
Jewells,2148.0,2309.0,--,--
Kahibah,2343.0,2250.0,--,--
Kanahooka,2149.0,2255.0,--,--
Kangaroo Point (NSW),3150.0,3392.0,--,--
Kanwal,1750.0,2015.0,--,--
Kareela,2439.0,2942.0,--,--
Kariong,1993.0,2163.0,--,--
Kearns,2053.0,2367.0,--,--
Keiraville,2380.0,2552.0,--,--
Kellyville,2399.0,2917.0,--,--
Kembla Grange,2083.0,2750.0,--,--
Kensington (NSW),2335.0,3173.0,--,--
Kilaben Bay,2355.0,2774.0,--,--
Killara (NSW),3173.0,3605.0,--,--
Killarney Heights,2687.0,3145.0,--,--
Killarney Vale,1683.0,1889.0,--,--
Kincumber,1918.0,2144.0,--,--
Kincumber South,1291.0,2583.0,--,--
Kings Langley,2365.0,2655.0,--,--
Kings Park (NSW),2127.0,2174.0,--,--
Kingsford (NSW),2236.0,2854.0,--,--
Kingsgrove,2215.0,2322.0,--,--
Kingswood (Tamworth - NSW),1821.0,2389.0,--,--
Kirrawee,2256.0,2495.0,--,--
Kirribilli,3437.0,3625.0,--,--
Kogarah,1835.0,2182.0,--,--
Kogarah Bay,2062.0,2646.0,--,--
Koolewong,2187.0,2374.0,--,--
Koonawarra,1596.0,1700.0,--,--
Kotara,2158.0,2393.0,--,--
Kotara South,2200.0,2524.0,--,--
Kurnell,2214.0,2238.0,--,--
Kyeemagh,2218.0,2687.0,--,--
Kyle Bay,1916.0,3113.0,--,--
La Perouse,2083.0,2250.0,--,--
Lake Haven,1797.0,1884.0,--,--
Lake Heights,1849.0,1927.0,--,--
Lake Illawarra,1720.0,1738.0,--,--
Lakelands (NSW),2594.0,2637.0,--,--
Lakemba,1311.0,1629.0,--,--
Lalor Park,1859.0,2082.0,--,--
Lambton,2089.0,2467.0,--,--
Lane Cove,3002.0,3227.0,--,--
Lane Cove North,2645.0,3141.0,--,--
Lane Cove West,3045.0,3466.0,--,--
Lansvale,1874.0,1984.0,--,--
Lapstone,2478.0,2474.0,--,--
Lavender Bay,2928.0,3449.0,--,--
Leichhardt (NSW),3023.0,3143.0,--,--
Leonay,2184.0,2912.0,--,--
Lethbridge Park,1513.0,1770.0,--,--
Leumeah,1926.0,2188.0,--,--
Lewisham (NSW),2684.0,3281.0,--,--
Liberty Grove,2562.0,2807.0,--,--
Lidcombe,1797.0,2147.0,--,--
Lilli Pilli (Sutherland - NSW),2874.0,3250.0,--,--
Lilyfield,3339.0,3425.0,--,--
Lindfield,2910.0,3480.0,--,--
Linley Point,3281.0,4291.0,--,--
Lisarow,2153.0,2309.0,--,--
Little Bay,2529.0,2927.0,--,--
Liverpool,1814.0,1849.0,--,--
Loftus,2325.0,2650.0,--,--
Long Jetty,1835.0,2012.0,--,--
Long Point (Campbelltown - NSW),900.0,2833.0,--,--
Longueville,3583.0,4080.0,--,--
Lugarno,2488.0,2805.0,--,--
Lurnea,1689.0,2003.0,--,--
Macquarie Fields,1845.0,1935.0,--,--
Macquarie Hills,2149.0,2321.0,--,--
Macquarie Links,3166.0,3100.0,--,--
Macquarie Park,2391.0,2359.0,--,--
Malabar,2277.0,3218.0,--,--
Mangerton,2106.0,2845.0,--,--
Manly (NSW),3053.0,3346.0,--,--
Manly Vale,2259.0,2719.0,--,--
Marayong,1898.0,2180.0,--,--
Mardi,2010.0,2268.0,--,--
Marks Point,1968.0,1924.0,--,--
Marmong Point,2083.0,2154.0,--,--
Maroubra,2442.0,2946.0,--,--
Marrickville,2386.0,2603.0,--,--
Marsfield,2343.0,2577.0,--,--
Maryland (Newcastle - NSW),2010.0,2189.0,--,--
Maryville,2347.0,2323.0,--,--
Mascot,2322.0,2463.0,--,--
Matraville,2142.0,2592.0,--,--
Mayfield (Newcastle - NSW),1980.0,1975.0,--,--
Mayfield East,2284.0,2054.0,--,--
Mayfield West,2312.0,1939.0,--,--
Mays Hill,2062.0,1812.0,--,--
McMahons Point,3397.0,3937.0,--,--
Meadowbank (NSW),2222.0,2162.0,--,--
Melrose Park (NSW),2750.0,2712.0,--,--
Menai,2349.0,2753.0,--,--
Merewether,2394.0,3021.0,--,--
Merewether Heights,2531.0,2856.0,--,--
Merrylands,1905.0,2047.0,--,--
Merrylands West,2007.0,2209.0,--,--
Middle Cove,3399.0,3525.0,--,--
Miller,1424.0,1859.0,--,--
Millers Point,3652.0,4062.0,--,--
Milperra,2131.0,2514.0,--,--
Milsons Point,3435.0,3833.0,--,--
Minchinbury,2006.0,2341.0,--,--
Minmi,2083.0,2181.0,--,--
Minto,1866.0,1968.0,--,--
Miranda (NSW),2224.0,2376.0,--,--
Mona Vale,2247.0,2828.0,--,--
Monterey,2086.0,2517.0,--,--
Moorebank,2136.0,2251.0,--,--
Mortdale,2236.0,2406.0,--,--
Mortlake (NSW),3299.0,2805.0,--,--
Mosman,3168.0,3671.0,--,--
Mount Annan,2320.0,2433.0,--,--
Mount Colah,2506.0,2754.0,--,--
Mount Druitt,1726.0,1972.0,--,--
Mount Hutton (NSW),1959.0,2181.0,--,--
Mount Keira,2607.0,2734.0,--,--
Mount Kembla,2222.0,3076.0,--,--
Mount Lewis,2083.0,2222.0,--,--
Mount Ousley,2312.0,2404.0,--,--
Mount Pleasant (NSW),2374.0,3089.0,--,--
Mount Pritchard,1689.0,2011.0,--,--
Mount Riverview,2294.0,2661.0,--,--
Mount Saint Thomas,2203.0,2290.0,--,--
Mount Warrigal,1812.0,2047.0,--,--
Narara,1887.0,2120.0,--,--
Narellan,2150.0,2094.0,--,--
Narellan Vale,2168.0,2309.0,--,--
Naremburn,3357.0,3425.0,--,--
Narrabeen,2282.0,2460.0,--,--
Narraweena,2177.0,2467.0,--,--
Narwee,1981.0,2140.0,--,--
Neutral Bay,3116.0,3371.0,--,--
New Lambton,2233.0,2449.0,--,--
New Lambton Heights,2874.0,3035.0,--,--
Newcastle,2602.0,3019.0,--,--
Newcastle East,2549.0,2899.0,--,--
Newcastle West,2281.0,1833.0,--,--
Newington (NSW),2862.0,2777.0,--,--
Newport (NSW),2375.0,2863.0,--,--
Newtown (NSW),2756.0,3143.0,--,--
Niagara Park,1812.0,2053.0,--,--
Norah Head,1468.0,2399.0,--,--
Noraville,1841.0,1968.0,--,--
Normanhurst,2639.0,3032.0,--,--
North Avoca,2769.0,2440.0,--,--
North Balgowlah,2521.0,3129.0,--,--
North Bondi,2894.0,3184.0,--,--
North Curl Curl,2463.0,3109.0,--,--
North Epping,2865.0,3247.0,--,--
North Gosford,1903.0,1983.0,--,--
North Lambton,1928.0,2242.0,--,--
North Manly,2366.0,3045.0,--,--
North Narrabeen,2120.0,2548.0,--,--
North Parramatta,2250.0,2323.0,--,--
North Rocks,2364.0,2781.0,--,--
North Ryde,2404.0,2935.0,--,--
North St Marys,1766.0,1935.0,--,--
North Strathfield,2379.0,2412.0,--,--
North Sydney,3052.0,3286.0,--,--
North Turramurra,2796.0,3269.0,--,--
North Wahroonga,2327.0,3297.0,--,--
North Willoughby,2658.0,3233.0,--,--
North Wollongong,2150.0,2312.0,--,--
Northbridge (NSW),3310.0,3659.0,--,--
Northmead,2372.0,2669.0,--,--
Northwood (NSW),3549.0,3562.0,--,--
Oak Flats,1821.0,2166.0,--,--
Oakhurst (NSW),2085.0,2159.0,--,--
Oatlands (NSW),2556.0,2811.0,--,--
Oatley,2412.0,3143.0,--,--
Old Guildford,1750.0,1866.0,--,--
Old Toongabbie,2240.0,2397.0,--,--
Ourimbah,1923.0,2333.0,--,--
Oxley Park,1797.0,1951.0,--,--
Oyster Bay,2728.0,3035.0,--,--
Paddington (NSW),3370.0,3698.0,--,--
Padstow,2170.0,2335.0,--,--
Padstow Heights,2194.0,2424.0,--,--
Pagewood,2206.0,2855.0,--,--
Palm Beach (NSW),2461.0,2531.0,--,--
Panania,2197.0,2456.0,--,--
Parramatta,1996.0,1961.0,--,--
Peakhurst,2168.0,2431.0,--,--
Peakhurst Heights,2205.0,2741.0,--,--
Pearl Beach,2166.0,2083.0,--,--
Pelican (NSW),1949.0,2194.0,--,--
Pendle Hill,2040.0,2232.0,--,--
Pennant Hills,2586.0,3026.0,--,--
Penrith,1944.0,2064.0,--,--
Penrose (Wollongong - NSW),1767.0,2037.0,--,--
Penshurst (NSW),2105.0,2365.0,--,--
Petersham,2483.0,3246.0,--,--
Phillip Bay,1957.0,2874.0,--,--
Picnic Point,2366.0,2726.0,--,--
Plumpton (NSW),1855.0,2192.0,--,--
Point Clare,2027.0,2287.0,--,--
Point Frederick,2078.0,2568.0,--,--
Point Piper,3305.0,3833.0,--,--
Port Kembla,1894.0,2118.0,--,--
Potts Point,3017.0,2968.0,--,--
Prairiewood,1767.0,2374.0,--,--
Prestons,2134.0,2270.0,--,--
Primbee,1774.0,2173.0,--,--
Prospect (NSW),2160.0,2291.0,--,--
Punchbowl (Canterbury - NSW),1561.0,1881.0,--,--
Putney,2583.0,3274.0,--,--
Pymble,2992.0,3547.0,--,--
Pyrmont,3201.0,3222.0,--,--
Quakers Hill,2185.0,2359.0,--,--
Queens Park (NSW),3096.0,3759.0,--,--
Raby,1981.0,2285.0,--,--
Ramsgate,2750.0,2687.0,--,--
Randwick,2710.0,3137.0,--,--
Rankin Park,2321.0,2553.0,--,--
Redfern,2803.0,3113.0,--,--
Redhead,2220.0,2744.0,--,--
Regents Park (NSW),1828.0,2129.0,--,--
Regentville,1860.0,2437.0,--,--
Revesby,2119.0,2286.0,--,--
Revesby Heights,2132.0,2491.0,--,--
Rhodes,2484.0,2802.0,--,--
Riverstone,2038.0,1986.0,--,--
Riverview (Lane Cove - NSW),2718.0,3622.0,--,--
Riverwood,1957.0,2029.0,--,--
Rockdale,1802.0,1960.0,--,--
Rocky Point (NSW),1958.0,2324.0,--,--
Rodd Point,2542.0,3104.0,--,--
Rooty Hill,1907.0,2194.0,--,--
Rose Bay (NSW),3075.0,3209.0,--,--
Rosebery (NSW),2280.0,2440.0,--,--
Roselands,1865.0,2173.0,--,--
Rosemeadow,1897.0,2145.0,--,--
Roseville,3056.0,3502.0,--,--
Roseville Chase,3028.0,3288.0,--,--
Rouse Hill,2396.0,2609.0,--,--
Rozelle,3374.0,3461.0,--,--
Ruse,2043.0,2150.0,--,--
Rushcutters Bay,3022.0,3349.0,--,--
Russell Lea,2785.0,3256.0,--,--
Russell Vale,2392.0,2304.0,--,--
Rydalmere,2170.0,2328.0,--,--
Ryde,2263.0,2631.0,--,--
Sadleir,1890.0,1887.0,--,--
San Remo (NSW),1724.0,1794.0,--,--
Sandringham (NSW),2666.0,2575.0,--,--
Sans Souci,2383.0,2462.0,--,--
Saratoga,2103.0,2242.0,--,--
Scarborough (NSW),3449.0,2750.0,--,--
Schofields,1913.0,2323.0,--,--
Scotland Island,2777.0,2555.0,--,--
Seaforth (NSW),3125.0,3371.0,--,--
Sefton,1894.0,2184.0,--,--
Seven Hills (NSW),2104.0,2268.0,--,--
Shalvey,1650.0,1904.0,--,--
Shell Cove,2233.0,2463.0,--,--
Shellharbour,1949.0,2362.0,--,--
Shelly Beach (NSW),2374.0,2154.0,--,--
Shortland,1877.0,1874.0,--,--
Silverwater (Lake Macquarie - NSW),774.0,1275.0,--,--
Smithfield (NSW),1778.0,1945.0,--,--
South Coogee,2852.0,3334.0,--,--
South Granville,1791.0,2068.0,--,--
South Hurstville,2103.0,2321.0,--,--
South Penrith,2076.0,2229.0,--,--
South Turramurra,2957.0,3234.0,--,--
South Wentworthville,2012.0,2297.0,--,--
Speers Point,2118.0,2400.0,--,--
Springfield (Gosford - NSW),1956.0,2104.0,--,--
Springwood (NSW),2255.0,2503.0,--,--
St Andrews (NSW),2010.0,2252.0,--,--
St Clair (Penrith - NSW),2046.0,2280.0,--,--
St Helens Park,1893.0,2120.0,--,--
St Huberts Island,2166.0,2422.0,--,--
St Ives (NSW),2903.0,3394.0,--,--
St Ives Chase,2750.0,3186.0,--,--
St Johns Park,1741.0,2127.0,--,--
St Leonards (NSW),3158.0,3227.0,--,--
St Marys (NSW),1800.0,2009.0,--,--
St Peters (NSW),2696.0,2636.0,--,--
Stanhope Gardens,2490.0,2761.0,--,--
Stanmore (NSW),2580.0,3140.0,--,--
Stockton (NSW),2150.0,2383.0,--,--
Strathfield (NSW),1975.0,3111.0,--,--
Strathfield South,2130.0,2489.0,--,--
Summer Hill (Ashfield - NSW),2403.0,2964.0,--,--
Surry Hills,2994.0,3005.0,--,--
Sutherland (NSW),2277.0,2412.0,--,--
Swansea (NSW),1812.0,2025.0,--,--
Swansea Heads,2250.0,2333.0,--,--
Sydenham (NSW),2481.0,1908.0,--,--
Sydney,2454.0,2299.0,--,--
Sylvania,2409.0,2608.0,--,--
Sylvania Waters,2387.0,2580.0,--,--
Tacoma,2083.0,2059.0,--,--
Tacoma South,2750.0,2583.0,--,--
Tamarama,3355.0,3077.0,--,--
Taren Point,2392.0,3028.0,--,--
Tarrawanna,2230.0,2225.0,--,--
Tascott,2103.0,2087.0,--,--
Tempe,2318.0,2555.0,--,--
Teralba,1957.0,2119.0,--,--
Terrey Hills,2305.0,2821.0,--,--
Terrigal,2191.0,2528.0,--,--
The Entrance,1733.0,1928.0,--,--
The Entrance North,1555.0,1954.0,--,--
The Hill,2287.0,3073.0,--,--
The Junction,2173.0,3024.0,--,--
Thirroul,2379.0,2740.0,--,--
Thornleigh,2632.0,2983.0,--,--
Tighes Hill,2024.0,2191.0,--,--
Tingira Heights,1911.0,2244.0,--,--
Toongabbie (NSW),2059.0,2308.0,--,--
Toowoon Bay,2024.0,2125.0,--,--
Toronto,1977.0,2166.0,--,--
Toukley,1830.0,1911.0,--,--
