,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
Cronulla,52.0,50.0,54.0,80.0,28.0,--,--,--,--,--
Croudace Bay,53.0,51.0,53.0,76.0,22.0,--,--,--,--,--
Crows Nest (NSW),40.0,42.0,53.0,75.0,30.0,--,--,--,--,--
Croydon (NSW),49.0,48.0,53.0,80.0,27.0,--,--,--,--,--
Croydon Park (NSW),48.0,50.0,54.0,76.0,26.0,--,--,--,--,--
Curl Curl,48.0,50.0,51.0,81.0,27.0,--,--,--,--,--
Currans Hill,40.0,43.0,49.0,72.0,24.0,--,--,--,--,--
Daceyville,60.0,59.0,63.0,81.0,39.0,--,--,--,--,--
Daleys Point,63.0,49.0,65.0,85.0,22.0,--,--,--,--,--
Dapto,54.0,46.0,52.0,78.0,24.0,--,--,--,--,--
Darling Point,58.0,49.0,59.0,82.0,32.0,--,--,--,--,--
Darlinghurst,39.0,50.0,53.0,76.0,32.0,--,--,--,--,--
Darlington (Sydney - NSW),41.0,48.0,57.0,72.0,26.0,--,--,--,--,--
Davidson,53.0,60.0,58.0,68.0,22.0,--,--,--,--,--
Davistown,57.0,48.0,57.0,81.0,24.0,--,--,--,--,--
Dawes Point,57.0,57.0,52.0,83.0,32.0,--,--,--,--,--
Dean Park,46.0,40.0,51.0,75.0,24.0,--,--,--,--,--
Dee Why,42.0,49.0,55.0,78.0,29.0,--,--,--,--,--
Denistone,51.0,50.0,57.0,79.0,23.0,--,--,--,--,--
Denistone East,50.0,51.0,60.0,83.0,23.0,--,--,--,--,--
Denistone West,49.0,57.0,49.0,83.0,23.0,--,--,--,--,--
Dharruk,52.0,52.0,51.0,68.0,25.0,--,--,--,--,--
Dolans Bay,55.0,42.0,52.0,81.0,22.0,--,--,--,--,--
Dolls Point,48.0,46.0,52.0,82.0,35.0,--,--,--,--,--
Doonside,48.0,47.0,53.0,74.0,24.0,--,--,--,--,--
Double Bay,53.0,53.0,56.0,81.0,29.0,--,--,--,--,--
Dover Heights,52.0,53.0,55.0,82.0,23.0,--,--,--,--,--
Drummoyne,48.0,50.0,55.0,82.0,30.0,--,--,--,--,--
Dudley,53.0,50.0,54.0,77.0,23.0,--,--,--,--,--
Dulwich Hill,44.0,48.0,51.0,73.0,32.0,--,--,--,--,--
Dundas (NSW),46.0,46.0,54.0,76.0,26.0,--,--,--,--,--
Dundas Valley,47.0,48.0,56.0,74.0,25.0,--,--,--,--,--
Dural (Hornsby - NSW),52.0,50.0,56.0,82.0,21.0,--,--,--,--,--
Eagle Vale,48.0,47.0,51.0,70.0,23.0,--,--,--,--,--
Earlwood,52.0,49.0,52.0,78.0,27.0,--,--,--,--,--
East Gosford,57.0,49.0,59.0,81.0,28.0,--,--,--,--,--
East Hills,50.0,52.0,58.0,78.0,24.0,--,--,--,--,--
East Killara,53.0,47.0,55.0,78.0,20.0,--,--,--,--,--
East Lindfield,52.0,60.0,61.0,81.0,21.0,--,--,--,--,--
East Ryde,52.0,49.0,54.0,78.0,23.0,--,--,--,--,--
Eastern Creek,51.0,55.0,45.0,80.0,23.0,--,--,--,--,--
Eastlakes,46.0,52.0,55.0,77.0,26.0,--,--,--,--,--
Eastwood (NSW),49.0,52.0,55.0,80.0,23.0,--,--,--,--,--
Edensor Park,50.0,48.0,49.0,72.0,22.0,--,--,--,--,--
Edgecliff,49.0,51.0,56.0,86.0,31.0,--,--,--,--,--
Edgeworth,53.0,43.0,55.0,80.0,25.0,--,--,--,--,--
Elanora Heights,50.0,52.0,57.0,75.0,23.0,--,--,--,--,--
Elderslie (Camden - NSW),47.0,42.0,53.0,74.0,22.0,--,--,--,--,--
Eleebana,54.0,52.0,55.0,81.0,21.0,--,--,--,--,--
Elermore Vale,53.0,49.0,54.0,78.0,24.0,--,--,--,--,--
Elizabeth Bay,49.0,51.0,55.0,85.0,35.0,--,--,--,--,--
Emerton,49.0,54.0,58.0,71.0,24.0,--,--,--,--,--
Empire Bay,52.0,50.0,58.0,73.0,25.0,--,--,--,--,--
Emu Heights (NSW),48.0,44.0,50.0,71.0,22.0,--,--,--,--,--
Emu Plains,53.0,49.0,56.0,79.0,25.0,--,--,--,--,--
Enfield (NSW),50.0,54.0,54.0,78.0,26.0,--,--,--,--,--
Engadine,49.0,48.0,52.0,75.0,24.0,--,--,--,--,--
Enmore (Marrickville - NSW),43.0,47.0,51.0,74.0,31.0,--,--,--,--,--
Epping (NSW),50.0,50.0,55.0,79.0,23.0,--,--,--,--,--
Erina,61.0,52.0,64.0,84.0,25.0,--,--,--,--,--
Ermington,48.0,54.0,53.0,79.0,26.0,--,--,--,--,--
Erskine Park,47.0,48.0,51.0,72.0,21.0,--,--,--,--,--
Erskineville,38.0,47.0,50.0,68.0,32.0,--,--,--,--,--
Eschol Park,50.0,47.0,53.0,69.0,24.0,--,--,--,--,--
Ettalong Beach,61.0,56.0,58.0,79.0,31.0,--,--,--,--,--
Fairfield (NSW),46.0,47.0,51.0,74.0,25.0,--,--,--,--,--
Fairfield East,49.0,46.0,52.0,77.0,24.0,--,--,--,--,--
Fairfield Heights,49.0,44.0,51.0,75.0,24.0,--,--,--,--,--
Fairfield West,50.0,46.0,49.0,71.0,23.0,--,--,--,--,--
Fairlight,47.0,48.0,55.0,79.0,30.0,--,--,--,--,--
Fairy Meadow,51.0,49.0,54.0,79.0,25.0,--,--,--,--,--
Farmborough Heights,49.0,45.0,51.0,82.0,23.0,--,--,--,--,--
Faulconbridge,52.0,51.0,55.0,71.0,23.0,--,--,--,--,--
Fennell Bay,58.0,45.0,57.0,78.0,24.0,--,--,--,--,--
Figtree,52.0,49.0,54.0,79.0,23.0,--,--,--,--,--
Five Dock,47.0,49.0,53.0,79.0,29.0,--,--,--,--,--
Fletcher (NSW),43.0,47.0,50.0,75.0,21.0,--,--,--,--,--
Flinders (NSW),44.0,45.0,52.0,74.0,22.0,--,--,--,--,--
Floraville,49.0,41.0,52.0,73.0,21.0,--,--,--,--,--
Forest Lodge,42.0,48.0,54.0,70.0,27.0,--,--,--,--,--
Forestville (NSW),50.0,47.0,56.0,81.0,24.0,--,--,--,--,--
Forresters Beach,51.0,50.0,53.0,77.0,23.0,--,--,--,--,--
Frenchs Forest,50.0,51.0,54.0,77.0,22.0,--,--,--,--,--
Garden Suburb,53.0,43.0,52.0,77.0,21.0,--,--,--,--,--
Gateshead,53.0,49.0,53.0,74.0,27.0,--,--,--,--,--
