,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%),SSC_CODE
Warrimoo,496.0,630.0,280.0,198.0,25.5,32.4,14.4,10.2,14174
Lapstone,170.0,236.0,137.0,85.0,22.0,30.6,17.8,11.0,12276
Mount Riverview,546.0,776.0,370.0,286.0,22.9,32.6,15.5,12.0,12788
Yarramundi,153.0,168.0,78.0,83.0,23.5,25.8,12.0,12.7,14477
Katoomba,1489.0,2037.0,826.0,605.0,22.1,30.3,12.3,9.0,12077
Leura,700.0,1110.0,552.0,386.0,17.2,27.3,13.6,9.5,12309
Medlow Bath,116.0,173.0,74.0,51.0,21.4,31.9,13.7,9.4,12553
Linden (NSW),122.0,126.0,67.0,35.0,28.8,29.7,15.8,8.3,12335
Woodford (NSW),350.0,526.0,226.0,185.0,22.0,33.1,14.2,11.6,14383
Hazelbrook,884.0,1237.0,607.0,417.0,22.8,31.9,15.6,10.7,11881
Lawson (NSW),486.0,673.0,303.0,201.0,22.8,31.6,14.2,9.4,12289
Bullaburra,211.0,328.0,129.0,143.0,21.2,33.0,13.0,14.4,10656
Faulconbridge,763.0,1003.0,519.0,327.0,23.9,31.4,16.3,10.2,11496
Winmalee,1120.0,1563.0,715.0,533.0,23.0,32.1,14.7,10.9,14334
Hawkesbury Heights,98.0,107.0,47.0,36.0,28.2,30.8,13.5,10.4,11872
Yellow Rock (Blue Mountains - NSW),185.0,244.0,114.0,114.0,22.5,29.7,13.9,13.9,14502
Springwood (NSW),1548.0,2113.0,1021.0,713.0,22.0,30.0,14.5,10.1,13629
Valley Heights,232.0,277.0,160.0,104.0,24.1,28.8,16.6,10.8,14069
Sun Valley (NSW),42.0,59.0,22.0,27.0,22.7,31.9,11.9,14.6,13691
Wentworth Falls,987.0,1543.0,743.0,563.0,19.5,30.4,14.6,11.1,14226
Werrington Downs,586.0,733.0,340.0,255.0,23.0,28.7,13.3,10.0,14237
Cambridge Park,1174.0,1411.0,559.0,499.0,22.1,26.6,10.5,9.4,10768
Werrington County,647.0,845.0,369.0,266.0,22.2,29.0,12.7,9.1,14236
Cambridge Gardens,399.0,438.0,197.0,160.0,25.3,27.8,12.5,10.2,10767
Cranebrook,2884.0,3282.0,1413.0,1195.0,23.8,27.1,11.7,9.9,11105
Llandilo,247.0,284.0,148.0,138.0,19.4,22.3,11.6,10.9,12363
Castlereagh,165.0,238.0,123.0,115.0,17.7,25.5,13.2,12.3,10850
Penrith,2420.0,2714.0,1037.0,881.0,21.8,24.4,9.3,7.9,13184
Jordan Springs,936.0,1124.0,412.0,332.0,24.7,29.7,10.9,8.8,12042
Emu Plains,1471.0,1754.0,844.0,696.0,21.6,25.7,12.4,10.2,11418
Leonay,450.0,587.0,317.0,205.0,22.6,29.5,15.9,10.3,12304
Emu Heights (NSW),657.0,785.0,318.0,264.0,25.3,30.3,12.3,10.2,11417
Glenmore Park,4367.0,5077.0,2071.0,1589.0,25.1,29.2,11.9,9.1,11670
Regentville,151.0,180.0,77.0,62.0,23.6,28.1,12.0,9.7,13346
Jamisontown,977.0,1174.0,459.0,388.0,22.2,26.7,10.4,8.8,12000
South Penrith,2053.0,2546.0,1173.0,936.0,22.1,27.4,12.6,10.1,13596
Kingswood (Penrith - NSW),1557.0,1802.0,733.0,642.0,21.1,24.4,9.9,8.7,12163
Caddens,290.0,284.0,110.0,85.0,24.9,24.4,9.5,7.3,10743
Werrington,670.0,757.0,332.0,289.0,21.0,23.7,10.4,9.1,14235
Claremont Meadows,879.0,932.0,395.0,359.0,24.6,26.0,11.0,10.0,10918
Wallacia,275.0,325.0,151.0,130.0,21.0,24.8,11.5,9.9,14101
Mulgoa,338.0,418.0,201.0,170.0,22.2,27.5,13.2,11.2,12814
Luddenham,315.0,384.0,162.0,133.0,22.3,27.2,11.5,9.4,12419
Badgerys Creek,35.0,17.0,18.0,23.0,20.6,10.0,10.6,13.5,10132
Orchard Hills,365.0,382.0,172.0,174.0,23.0,24.1,10.8,11.0,13095
Warragamba,221.0,280.0,113.0,112.0,22.2,28.1,11.4,11.3,14158
Richmond (NSW),1054.0,1141.0,450.0,389.0,22.2,24.0,9.5,8.2,13360
North Richmond,901.0,1084.0,484.0,451.0,22.4,27.0,12.0,11.2,13002
Agnes Banks,170.0,170.0,88.0,83.0,24.3,24.3,12.6,11.8,10021
Hobartville (NSW),544.0,573.0,239.0,217.0,25.1,26.4,11.0,10.0,11917
South Windsor,1034.0,1162.0,502.0,449.0,22.1,24.9,10.7,9.6,13601
Windsor (NSW),368.0,402.0,193.0,130.0,23.2,25.4,12.2,8.2,14325
Bligh Park,1263.0,1317.0,581.0,496.0,26.1,27.2,12.0,10.3,10411
Windsor Downs,249.0,245.0,147.0,109.0,24.4,24.0,14.4,10.7,14326
Londonderry (NSW),643.0,717.0,408.0,336.0,20.5,22.9,13.0,10.7,12375
Berkshire Park,176.0,214.0,99.0,115.0,9.3,11.3,5.2,6.1,10305
Erskine Park,1332.0,1372.0,570.0,451.0,25.7,26.5,11.0,8.7,11438
St Clair (Penrith - NSW),3658.0,4073.0,1693.0,1437.0,23.2,25.9,10.8,9.1,13632
Colyton,1304.0,1542.0,661.0,641.0,19.5,23.1,9.9,9.6,10987
Oxley Park,491.0,585.0,220.0,217.0,20.1,24.0,9.0,8.9,13110
St Marys (NSW),1946.0,2093.0,851.0,818.0,20.0,21.5,8.7,8.4,13643
North St Marys,519.0,661.0,273.0,288.0,16.9,21.5,8.9,9.4,13007
Silverwater (Parramatta - NSW),465.0,413.0,153.0,159.0,12.7,11.2,4.2,4.3,13547
Newington (NSW),1147.0,1265.0,499.0,380.0,26.1,28.8,11.4,8.7,12953
Lidcombe,3796.0,3190.0,1332.0,1257.0,22.7,19.0,8.0,7.5,12316
Wentworth Point,1705.0,1583.0,424.0,297.0,27.9,25.9,6.9,4.9,14227
Auburn (NSW),5416.0,4980.0,2142.0,2256.0,18.0,16.5,7.1,7.5,10106
Berala,1570.0,1451.0,600.0,644.0,21.1,19.5,8.1,8.7,10299
Regents Park (NSW),844.0,781.0,386.0,336.0,21.4,19.8,9.8,8.5,13345
Carlingford,4595.0,4897.0,2482.0,2093.0,23.2,24.7,12.5,10.6,10818
Beecroft,1872.0,2182.0,1141.0,739.0,24.7,28.8,15.1,9.8,10249
Epping (NSW),4827.0,5004.0,2384.0,1748.0,24.5,25.5,12.1,8.9,11428
Rydalmere,1273.0,1360.0,592.0,452.0,23.8,25.4,11.1,8.4,13453
Parramatta,4600.0,4821.0,1780.0,1525.0,21.3,22.3,8.2,7.1,13156
Ermington,1892.0,2112.0,919.0,780.0,22.1,24.7,10.7,9.1,11435
Dundas (NSW),804.0,919.0,422.0,336.0,21.0,24.0,11.0,8.8,11312
Melrose Park (NSW),325.0,338.0,161.0,122.0,26.6,27.6,13.2,10.0,12563
Telopea,1014.0,1046.0,463.0,381.0,22.8,23.5,10.4,8.5,13782
Oatlands (NSW),1146.0,1122.0,543.0,448.0,25.0,24.5,11.8,9.8,13063
Dundas Valley,991.0,1068.0,448.0,370.0,22.7,24.5,10.3,8.5,11313
Chester Hill,1837.0,1879.0,919.0,915.0,18.4,18.8,9.2,9.2,10899
Sefton,930.0,893.0,411.0,399.0,20.5,19.7,9.1,8.8,13516
Carramar (NSW),516.0,477.0,212.0,228.0,17.8,16.5,7.3,7.9,10826
Old Guildford,379.0,299.0,161.0,204.0,19.7,15.6,8.4,10.6,13077
Fairfield East,730.0,679.0,293.0,308.0,17.5,16.3,7.0,7.4,11478
Yennora,202.0,173.0,92.0,89.0,15.2,13.0,6.9,6.7,14506
Fairfield (NSW),2396.0,2403.0,990.0,1079.0,16.4,16.4,6.8,7.4,11477
Merrylands,4464.0,4333.0,1876.0,2035.0,19.1,18.6,8.0,8.7,12588
Granville (NSW),2506.0,2383.0,1019.0,949.0,20.1,19.1,8.2,7.6,11738
Guildford (NSW),3100.0,2897.0,1305.0,1478.0,18.2,17.0,7.6,8.7,11790
Pemulwuy,902.0,988.0,424.0,295.0,24.6,26.9,11.5,8.0,13181
Greystanes,3803.0,4266.0,2067.0,1865.0,21.0,23.6,11.4,10.3,11781
South Granville,663.0,621.0,283.0,402.0,16.1,15.1,6.9,9.8,13583
Merrylands West,1034.0,1022.0,436.0,429.0,19.4,19.2,8.2,8.1,12589
Guildford West,741.0,796.0,331.0,329.0,19.7,21.2,8.8,8.7,11791
Woodpark,260.0,230.0,130.0,109.0,22.9,20.3,11.5,9.6,14390
South Wentworthville,995.0,1053.0,494.0,445.0,20.4,21.6,10.1,9.1,13599
Holroyd,232.0,242.0,90.0,75.0,23.2,24.2,9.0,7.5,11925
Smithfield (NSW),1739.0,1760.0,826.0,807.0,18.1,18.3,8.6,8.4,13559
North Parramatta,2572.0,2537.0,910.0,811.0,23.6,23.3,8.3,7.4,13001
North Rocks,1478.0,1790.0,867.0,710.0,23.4,28.3,13.7,11.2,13003
Northmead,2086.0,2579.0,1066.0,821.0,22.9,28.3,11.7,9.0,13023
Westmead,2413.0,2919.0,1372.0,1143.0,19.0,23.0,10.8,9.0,14261
Wentworthville,1812.0,2120.0,979.0,840.0,19.9,23.3,10.8,9.2,14228
Winston Hills,2045.0,2549.0,1300.0,967.0,22.4,27.9,14.2,10.6,14335
Rosehill (NSW),729.0,671.0,234.0,185.0,23.1,21.3,7.4,5.9,13408
Harris Park,855.0,881.0,370.0,333.0,17.9,18.4,7.7,7.0,11860
Old Toongabbie,560.0,665.0,335.0,267.0,22.5,26.8,13.5,10.7,13081
Constitution Hill,665.0,807.0,340.0,335.0,21.1,25.6,10.8,10.6,11014
Pendle Hill,1067.0,1207.0,597.0,541.0,18.2,20.6,10.2,9.2,13182
Girraween (NSW),802.0,991.0,483.0,431.0,19.1,23.6,11.5,10.3,11636
Mays Hill,117.0,141.0,55.0,64.0,19.3,23.2,9.1,10.5,12538
North Epping,929.0,1087.0,547.0,353.0,25.6,30.0,15.1,9.7,12990
Cheltenham (NSW),490.0,513.0,295.0,193.0,26.7,27.9,16.1,10.5,10896
Pennant Hills,1512.0,1726.0,847.0,536.0,25.4,29.0,14.2,9.0,13183
Denistone,751.0,813.0,464.0,313.0,24.1,26.1,14.9,10.1,11238
Eastwood (NSW),3538.0,3571.0,1773.0,1295.0,23.4,23.6,11.7,8.5,11369
Denistone East,406.0,458.0,237.0,175.0,23.1,26.1,13.5,10.0,11239
Denistone West,173.0,197.0,99.0,76.0,24.2,27.5,13.8,10.6,11240
Gladesville,2576.0,2674.0,1154.0,723.0,26.7,27.7,11.9,7.5,11638
Tennyson Point,275.0,256.0,134.0,86.0,27.7,25.8,13.5,8.7,13790
Huntleys Point,26.0,44.0,17.0,9.0,19.5,33.1,12.8,6.8,11961
Henley,109.0,88.0,53.0,36.0,27.6,22.3,13.4,9.1,11891
Huntleys Cove,196.0,205.0,78.0,43.0,30.0,31.3,11.9,6.6,11960
Hunters Hill,1836.0,1907.0,880.0,572.0,24.1,25.0,11.5,7.5,11954
Macquarie Park,1999.0,1721.0,518.0,308.0,27.5,23.6,7.1,4.2,12437
Marsfield,2667.0,2741.0,1138.0,799.0,23.3,23.9,9.9,7.0,12506
North Ryde,2147.0,2324.0,1084.0,718.0,24.1,26.1,12.2,8.1,13005
Ryde,5390.0,5476.0,2261.0,1697.0,24.4,24.8,10.3,7.7,13454
East Ryde,497.0,599.0,292.0,173.0,25.7,31.0,15.1,9.0,11361
Meadowbank (NSW),1117.0,1087.0,347.0,214.0,28.8,28.1,9.0,5.5,12550
West Ryde,2655.0,2935.0,1236.0,936.0,23.7,26.3,11.1,8.4,14251
Putney,828.0,970.0,425.0,279.0,25.1,29.4,12.9,8.5,13277
Busby,561.0,502.0,217.0,323.0,17.5,15.7,6.8,10.1,10720
Heckenberg,400.0,387.0,165.0,197.0,17.0,16.4,7.0,8.4,11887
Miller,403.0,350.0,164.0,214.0,15.9,13.8,6.5,8.4,12617
Ashcroft,427.0,406.0,181.0,238.0,15.9,15.1,6.7,8.9,10097
Sadleir,414.0,373.0,144.0,210.0,17.5,15.8,6.1,8.9,13461
Austral,440.0,481.0,212.0,227.0,17.4,19.0,8.4,9.0,10109
Rossmore (NSW),353.0,375.0,181.0,201.0,19.1,20.3,9.8,10.9,13420
Kemps Creek,405.0,346.0,175.0,190.0,21.6,18.5,9.3,10.1,12094
Bringelly,436.0,484.0,242.0,222.0,21.3,23.6,11.8,10.8,10575
Greendale (Liverpool - NSW),49.0,69.0,28.0,30.0,18.4,25.9,10.5,11.3,11759
Cecil Park,120.0,134.0,85.0,71.0,19.0,21.3,13.5,11.3,10866
Cecil Hills,1278.0,1193.0,504.0,469.0,22.9,21.4,9.0,8.4,10865
Catherine Field,290.0,293.0,134.0,154.0,21.3,21.5,9.8,11.3,10856
Leppington,612.0,610.0,262.0,264.0,22.1,22.0,9.5,9.5,12305
Cobbitty,384.0,468.0,195.0,164.0,23.6,28.7,12.0,10.1,10954
Oran Park,858.0,940.0,377.0,312.0,24.9,27.3,11.0,9.1,13091
Green Valley (NSW),2005.0,1898.0,835.0,817.0,20.3,19.2,8.5,8.3,11756
Elizabeth Hills,387.0,392.0,160.0,146.0,21.8,22.1,9.0,8.2,11397
Hinchinbrook (NSW),1895.0,1841.0,735.0,702.0,21.5,20.9,8.3,8.0,11915
Hoxton Park,715.0,689.0,271.0,266.0,21.6,20.8,8.2,8.0,11951
Carnes Hill,347.0,357.0,167.0,120.0,23.8,24.5,11.5,8.2,10820
Horningsea Park,650.0,684.0,256.0,222.0,23.6,24.9,9.3,8.1,11935
Middleton Grange,829.0,844.0,351.0,321.0,22.8,23.2,9.6,8.8,12607
West Hoxton,1846.0,1607.0,728.0,639.0,24.6,21.4,9.7,8.5,14246
Bonnyrigg Heights,1261.0,1216.0,551.0,483.0,21.4,20.6,9.3,8.2,10472
Bonnyrigg,1408.0,1220.0,575.0,618.0,20.2,17.5,8.2,8.8,10471
Bossley Park,2341.0,2292.0,1087.0,999.0,19.5,19.1,9.1,8.3,10515
Abbotsbury,880.0,780.0,374.0,311.0,25.1,22.3,10.7,8.9,10002
Cabramatta,3252.0,2825.0,1379.0,1239.0,18.2,15.8,7.7,6.9,10740
Lansvale,430.0,379.0,179.0,190.0,20.4,18.0,8.5,9.0,12275
Canley Vale,1582.0,1444.0,666.0,615.0,19.1,17.4,8.0,7.4,10792
Mount Pritchard,1554.0,1468.0,690.0,732.0,19.9,18.8,8.8,9.4,12785
Cabramatta West,1128.0,1049.0,431.0,487.0,19.5,18.1,7.4,8.4,10741
Canley Heights,1702.0,1595.0,778.0,680.0,19.3,18.1,8.8,7.7,10791
Edensor Park,1650.0,1496.0,700.0,681.0,20.6,18.7,8.7,8.5,11377
Fairfield West,1759.0,1708.0,799.0,790.0,19.0,18.4,8.6,8.5,11480
Fairfield Heights,926.0,941.0,456.0,466.0,15.6,15.8,7.7,7.8,11479
Greenfield Park,754.0,788.0,347.0,367.0,18.5,19.3,8.5,9.0,11761
Prairiewood,538.0,532.0,239.0,246.0,20.2,20.0,9.0,9.3,13258
Horsley Park,310.0,306.0,182.0,186.0,20.3,20.1,11.9,12.2,11943
Mount Vernon,213.0,208.0,118.0,102.0,21.9,21.4,12.1,10.5,12796
Wetherill Park,1068.0,1052.0,470.0,488.0,21.2,20.9,9.3,9.7,14264
Wakeley,801.0,726.0,291.0,320.0,20.7,18.8,7.5,8.3,14089
St Johns Park,1079.0,922.0,430.0,465.0,20.9,17.8,8.3,9.0,13641
Casula,2631.0,2693.0,1148.0,1047.0,21.4,21.9,9.3,8.5,10852
Moorebank,1685.0,1913.0,808.0,762.0,22.9,26.0,11.0,10.3,12712
Chipping Norton,1544.0,1682.0,819.0,737.0,21.3,23.3,11.3,10.2,10908
Voyager Point,325.0,367.0,161.0,116.0,25.4,28.6,12.6,9.0,14079
Wattle Grove (NSW),1794.0,1896.0,812.0,652.0,26.3,27.8,11.9,9.6,14192
Hammondville,565.0,720.0,315.0,205.0,20.3,25.9,11.3,7.4,11844
Sandy Point (NSW),129.0,137.0,57.0,39.0,26.7,28.4,11.8,8.1,13487
Pleasure Point,89.0,115.0,57.0,34.0,22.5,29.1,14.4,8.6,13229
Liverpool,3550.0,3591.0,1516.0,1619.0,16.6,16.8,7.1,7.6,12361
Warwick Farm,836.0,801.0,320.0,369.0,17.4,16.7,6.7,7.7,14177
Cartwright,299.0,289.0,143.0,148.0,16.0,15.5,7.7,7.9,10838
Lurnea,1128.0,1178.0,565.0,665.0,15.9,16.6,8.0,9.4,12422
Prestons,2519.0,2607.0,1091.0,1006.0,22.1,22.9,9.6,8.8,13260
Gymea Bay,1344.0,1547.0,775.0,517.0,25.0,28.8,14.4,9.6,11827
Gymea,1700.0,1752.0,701.0,513.0,27.3,28.1,11.2,8.2,11826
Grays Point,663.0,766.0,380.0,194.0,26.5,30.6,15.2,7.8,11743
Miranda (NSW),2940.0,3205.0,1386.0,982.0,23.5,25.7,11.1,7.9,12645
Yowie Bay,644.0,672.0,345.0,245.0,25.7,26.8,13.7,9.8,14519
Taren Point,308.0,363.0,164.0,140.0,20.1,23.7,10.7,9.2,13766
Caringbah,2442.0,2625.0,953.0,714.0,25.7,27.7,10.0,7.5,10815
Sylvania Waters,590.0,636.0,266.0,245.0,22.8,24.6,10.3,9.5,13718
Sylvania,1887.0,2103.0,1035.0,794.0,22.0,24.5,12.1,9.3,13717
Kangaroo Point (NSW),124.0,116.0,67.0,30.0,26.2,24.5,14.2,6.3,12060
Caringbah South,2381.0,2671.0,1414.0,977.0,24.5,27.5,14.5,10.0,10816
Dolans Bay,140.0,142.0,66.0,56.0,28.2,28.6,13.3,11.3,11266
Kurnell,415.0,439.0,216.0,205.0,24.4,25.8,12.7,12.0,12216
Greenhills Beach,160.0,173.0,74.0,55.0,27.0,29.2,12.5,9.3,11764
Cronulla,4578.0,4454.0,1479.0,890.0,28.9,28.1,9.3,5.6,11119
Bundeena,359.0,445.0,255.0,203.0,22.8,28.3,16.2,12.9,10672
Maianbar,85.0,135.0,81.0,34.0,20.4,32.4,19.4,8.2,12443
Woolooware,884.0,896.0,404.0,248.0,27.8,28.2,12.7,7.8,14410
Lilli Pilli (Sutherland Shire - NSW),289.0,292.0,162.0,114.0,26.1,26.4,14.6,10.3,12322
Port Hacking,220.0,267.0,115.0,84.0,25.3,30.7,13.2,9.7,13244
Burraneer,734.0,831.0,361.0,281.0,25.5,28.8,12.5,9.7,10705
Heathcote (NSW),1120.0,1376.0,691.0,474.0,23.1,28.4,14.3,9.8,11883
Waterfall,90.0,108.0,60.0,51.0,23.7,28.4,15.8,13.4,14182
Illawong,1505.0,1645.0,813.0,567.0,24.8,27.1,13.4,9.3,11974
Alfords Point,690.0,702.0,300.0,232.0,26.6,27.1,11.6,9.0,10031
Barden Ridge,985.0,920.0,475.0,259.0,28.2,26.3,13.6,7.4,10193
Menai,2124.0,2326.0,1042.0,687.0,25.9,28.3,12.7,8.4,12567
Bangor (NSW),1127.0,1286.0,637.0,376.0,24.7,28.2,14.0,8.3,10177
Woronora,441.0,499.0,256.0,178.0,24.7,28.0,14.4,10.0,14420
Bonnet Bay,472.0,584.0,268.0,187.0,25.7,31.8,14.6,10.2,10469
Jannali,1262.0,1365.0,547.0,421.0,25.9,28.0,11.2,8.6,12001
Oyster Bay,1067.0,1269.0,605.0,457.0,25.5,30.4,14.5,10.9,13112
Como (NSW),695.0,963.0,454.0,318.0,23.1,32.0,15.1,10.6,10996
Kareela,617.0,789.0,434.0,284.0,22.5,28.7,15.8,10.3,12073
Kirrawee,1807.0,2091.0,906.0,647.0,24.2,28.0,12.1,8.6,12172
Sutherland (NSW),2462.0,2665.0,885.0,628.0,27.2,29.5,9.8,6.9,13701
Loftus,708.0,1012.0,500.0,311.0,22.1,31.6,15.6,9.7,12371
Engadine,3064.0,3972.0,1949.0,1344.0,23.0,29.9,14.7,10.1,11422
Yarrawarrah,523.0,700.0,328.0,224.0,23.9,32.0,15.0,10.2,14485
Woronora Heights,652.0,678.0,311.0,225.0,27.9,29.0,13.3,9.6,14422
