,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Lower Boro,119.0,26.0,16.0,36.0,77.3,17.7,11.2,24.7,12402
New South Wales,4127723.0,1659250.0,709415.0,1103790.0,67.7,27.2,11.6,18.1,
Australia,13143914.0,5259400.0,2145203.0,3620726.0,69.0,27.6,11.3,19.0,
Oallen,75.0,17.0,18.0,28.0,63.0,13.7,14.1,23.0,13062
Braidwood,948.0,366.0,167.0,416.0,70.6,27.4,12.5,31.1,10547
Majors Creek (NSW),151.0,54.0,18.0,59.0,77.4,26.3,9.0,29.4,12452
Araluen (NSW),97.0,27.0,23.0,43.0,61.4,17.8,15.5,27.6,10070
Reidsdale,77.0,30.0,14.0,32.0,79.4,28.3,13.9,31.4,13348
Bombay,66.0,35.0,15.0,37.0,69.5,38.9,17.6,41.6,10456
Warri,69.0,39.0,10.0,25.0,85.2,46.4,12.3,31.2,14172
Manar,81.0,23.0,15.0,20.0,81.0,22.5,15.2,19.2,12462
Mongarlowe,65.0,15.0,17.0,35.0,60.2,14.0,15.3,31.5,12678
Karabar,4719.0,1894.0,821.0,1059.0,71.2,28.6,12.4,16.0,12071
Queanbeyan,3520.0,1253.0,514.0,800.0,65.8,23.5,9.6,15.0,13291
Crestwood,2668.0,968.0,355.0,601.0,69.7,25.3,9.3,15.7,11115
Queanbeyan East,2269.0,844.0,345.0,508.0,69.8,25.9,10.6,15.6,13292
Greenleigh,489.0,156.0,83.0,184.0,82.7,26.4,14.0,31.2,11767
The Ridgeway,99.0,37.0,22.0,39.0,68.8,25.3,15.4,27.7,13836
Bungendore,2573.0,1047.0,334.0,786.0,80.5,32.7,10.5,24.6,10684
Sutton (NSW),920.0,351.0,167.0,317.0,67.3,25.6,12.2,23.1,13702
Carwoola,921.0,326.0,144.0,304.0,78.0,27.4,12.2,25.8,10841
Hoskinstown,114.0,36.0,18.0,46.0,76.0,22.9,11.5,29.9,11944
Captains Flat,345.0,137.0,53.0,83.0,72.0,28.2,11.1,17.3,10804
Burra (Queanbeyan-Palerang Regional - NSW),521.0,171.0,83.0,173.0,79.7,26.1,12.7,26.2,10697
Mount Fairy,134.0,45.0,23.0,46.0,79.3,25.6,13.6,28.4,12758
Mulloon,86.0,39.0,15.0,31.0,67.7,30.7,12.2,25.6,12827
Royalla,615.0,262.0,88.0,227.0,80.6,34.3,11.5,30.1,13434
Primrose Valley,88.0,40.0,16.0,22.0,75.2,34.8,13.3,18.5,13265
Urila,67.0,20.0,11.0,20.0,58.3,17.5,9.6,17.4,14059
Tarago,254.0,95.0,44.0,87.0,73.8,28.1,12.9,25.6,13758
Currawang,97.0,29.0,22.0,32.0,65.1,18.5,14.0,20.4,11177
Googong,1589.0,751.0,214.0,390.0,78.8,37.5,10.7,19.5,11704
Wamboin,1084.0,397.0,160.0,410.0,79.1,28.7,11.6,29.7,14123
Bywong,878.0,326.0,122.0,303.0,82.2,30.6,11.3,28.1,10735
Michelago,320.0,144.0,60.0,108.0,74.8,33.6,13.8,24.9,12598
Jerrabomberra,5968.0,2572.0,804.0,1779.0,82.6,35.6,11.1,24.6,12016
Queanbeyan West,1791.0,720.0,261.0,407.0,71.6,28.7,10.4,16.3,13293
Delegate,217.0,59.0,44.0,116.0,70.5,19.3,14.5,37.1,11233
Bombala,762.0,276.0,131.0,305.0,67.2,24.4,11.6,26.9,10455
Cathcart (NSW),62.0,27.0,8.0,42.0,68.1,30.7,9.3,48.8,10855
Cooma (NSW),3732.0,1251.0,675.0,1249.0,66.4,22.2,12.0,22.2,11036
Kosciuszko National Park,270.0,80.0,24.0,75.0,52.5,15.7,4.7,14.8,12199
Adaminaby,191.0,42.0,28.0,80.0,72.6,15.9,10.4,30.4,10015
Nimmitabel,188.0,61.0,30.0,93.0,72.0,23.1,11.6,35.9,12966
Numeralla,144.0,50.0,27.0,63.0,74.2,24.6,13.0,30.7,13039
Colinton (NSW),84.0,31.0,17.0,26.0,78.5,31.0,15.2,23.0,10968
Dairymans Plains,106.0,32.0,21.0,45.0,82.2,25.0,16.3,34.6,11188
Binjura,203.0,68.0,38.0,77.0,79.6,27.2,14.9,31.3,10370
Bunyan,99.0,39.0,19.0,43.0,79.2,29.3,15.2,35.0,10691
Bredbo,217.0,75.0,42.0,65.0,75.9,26.4,15.1,23.0,10559
Berridale,671.0,290.0,139.0,249.0,69.7,30.0,14.3,25.9,10316
Kalkite,131.0,43.0,14.0,45.0,73.6,24.0,7.8,24.7,12052
Crackenback,112.0,43.0,16.0,37.0,72.7,28.5,10.7,24.2,11103
Jindabyne,1617.0,531.0,141.0,478.0,73.2,24.0,6.4,21.6,12030
East Jindabyne,439.0,184.0,34.0,172.0,79.5,33.6,6.2,31.4,11352
Dalgety,125.0,28.0,23.0,49.0,70.6,16.6,12.4,29.2,11190
Moonbah,347.0,162.0,40.0,124.0,80.5,37.9,9.3,29.1,12698
Catalina,1225.0,394.0,224.0,334.0,62.6,20.1,11.4,17.1,10853
Batemans Bay,761.0,209.0,144.0,190.0,56.8,15.7,10.8,14.3,10229
Nelligen,210.0,52.0,25.0,43.0,71.4,17.5,8.4,14.5,12920
Long Beach,909.0,288.0,161.0,258.0,76.0,24.0,13.4,21.5,12376
Benandarah,78.0,32.0,13.0,20.0,50.3,22.2,8.9,14.4,10287
North Batemans Bay,325.0,92.0,56.0,79.0,65.8,18.5,11.3,15.9,12982
Surfside,724.0,259.0,151.0,174.0,67.6,24.3,14.1,16.4,13698
Maloneys Beach,229.0,65.0,58.0,57.0,73.4,20.6,18.4,18.2,12460
Lilli Pilli (Eurobodalla - NSW),430.0,105.0,73.0,157.0,77.9,19.1,13.3,28.9,12321
Malua Bay,1185.0,349.0,193.0,387.0,72.6,21.4,11.8,23.8,12461
Surf Beach (NSW),1087.0,348.0,232.0,295.0,68.7,22.0,14.6,18.6,13697
Denhams Beach,319.0,88.0,62.0,83.0,57.0,15.6,10.9,14.9,11236
Sunshine Bay,731.0,231.0,153.0,224.0,69.3,22.1,14.6,21.3,13695
Rosedale (NSW),136.0,48.0,31.0,49.0,72.0,24.6,16.4,25.4,13407
Batehaven,1002.0,276.0,222.0,251.0,64.5,17.8,14.3,16.1,10228
Bega,2575.0,1031.0,444.0,852.0,68.6,27.5,11.8,22.7,10253
Tathra,1071.0,333.0,204.0,469.0,73.9,22.9,14.1,32.3,13774
Kalaru,396.0,164.0,69.0,155.0,74.2,30.7,12.7,29.0,12051
Wallagoot,323.0,127.0,62.0,115.0,75.1,30.2,14.8,27.1,14103
Bournda,80.0,36.0,8.0,31.0,65.0,28.8,6.6,24.6,10524
Black Range (NSW),109.0,53.0,8.0,39.0,76.8,37.3,5.5,27.1,10388
Tarraganda,232.0,71.0,43.0,97.0,80.6,24.7,14.7,33.8,13768
Kanoona,93.0,30.0,16.0,28.0,84.5,26.8,13.9,24.8,12066
Toothdale,112.0,39.0,23.0,34.0,77.2,27.7,16.8,23.9,13914
Wolumla,428.0,165.0,81.0,134.0,76.0,28.9,14.3,23.4,14362
South Wolumla,101.0,41.0,22.0,35.0,75.4,30.1,15.5,24.1,13602
Wyndham (NSW),236.0,67.0,38.0,88.0,72.8,20.3,11.6,27.2,14443
Kiah,94.0,15.0,5.0,35.0,71.8,12.5,4.2,28.2,12115
Towamba,149.0,43.0,21.0,48.0,78.4,22.8,10.8,24.5,13927
Lochiel (NSW),227.0,113.0,53.0,61.0,78.3,39.5,18.0,21.4,12367
Nethercote,222.0,68.0,34.0,65.0,75.0,23.3,11.6,21.9,12932
Candelo,429.0,165.0,86.0,164.0,78.7,30.2,15.5,29.7,10788
Tantawangalo,90.0,29.0,17.0,32.0,69.8,24.8,13.6,25.2,13753
Bemboka,337.0,113.0,75.0,138.0,72.2,24.0,15.8,28.9,10284
Quaama,198.0,55.0,41.0,68.0,80.5,22.1,16.9,26.9,13285
Cobargo,452.0,132.0,90.0,200.0,70.2,20.4,14.0,30.7,10951
Yowrie,74.0,18.0,19.0,27.0,74.7,18.2,19.8,26.2,14520
Wandella (NSW),107.0,27.0,25.0,34.0,79.3,20.9,18.8,26.4,14128
Angledale,97.0,35.0,18.0,31.0,72.9,27.6,13.8,24.4,10056
Verona,190.0,62.0,35.0,64.0,79.8,25.3,14.3,26.9,14073
Tanja,109.0,28.0,20.0,57.0,78.4,20.6,14.6,41.9,13749
Coolagolite,187.0,55.0,32.0,63.0,77.0,22.7,13.3,25.6,11023
Brogo,341.0,92.0,43.0,131.0,78.8,21.2,10.0,30.4,10589
Coopers Gully,100.0,49.0,20.0,37.0,75.8,36.8,15.6,28.2,11048
Stony Creek (Bega Valley - NSW),90.0,30.0,13.0,30.0,81.1,27.0,11.6,25.4,13668
Numbugga,74.0,28.0,16.0,31.0,75.5,29.5,17.4,31.0,13038
Buckajo,189.0,68.0,34.0,64.0,73.8,27.1,13.5,25.2,10629
Kameruka,76.0,24.0,16.0,31.0,80.9,25.5,16.2,31.3,12054
Greigs Flat,83.0,32.0,16.0,31.0,73.5,27.8,14.3,27.0,11775
Broulee,992.0,347.0,210.0,387.0,69.5,24.2,14.6,26.9,10608
Tomakin,581.0,163.0,110.0,156.0,66.9,18.5,12.6,17.9,13890
Mossy Point,382.0,112.0,61.0,140.0,78.9,23.3,12.6,29.2,12741
Bodalla,463.0,113.0,84.0,133.0,72.8,17.9,13.3,21.0,10434
Narooma,1542.0,380.0,291.0,504.0,67.1,16.6,12.7,21.9,12900
Eden,1697.0,588.0,326.0,604.0,63.9,22.2,12.3,22.8,11375
South Durras,203.0,68.0,27.0,76.0,69.3,23.3,9.2,26.4,13580
Mogo (Eurobodalla - NSW),181.0,67.0,31.0,42.0,67.3,25.4,11.9,15.6,12660
Jeremadra,111.0,48.0,19.0,23.0,81.6,35.3,14.3,18.5,12012
Mogendoura,118.0,28.0,22.0,46.0,74.7,17.7,14.1,29.1,12657
Turlinjah,105.0,27.0,21.0,36.0,72.9,18.6,14.9,24.8,13975
Potato Point,87.0,29.0,25.0,44.0,71.9,21.5,19.1,34.1,13253
Kianga (NSW),498.0,117.0,112.0,160.0,71.7,17.0,16.1,23.2,12119
Tuross Head,1485.0,308.0,282.0,478.0,73.4,15.2,13.9,23.6,13979
Pambula Beach,432.0,141.0,63.0,210.0,77.0,25.4,11.2,37.6,13141
Merimbula,2146.0,592.0,325.0,719.0,68.0,18.8,10.3,22.8,12575
Tura Beach,2006.0,536.0,327.0,673.0,73.2,19.6,12.0,24.6,13973
South Pambula,286.0,108.0,49.0,87.0,74.3,27.8,12.7,22.5,13595
Pambula,520.0,185.0,76.0,182.0,66.1,23.4,9.5,22.9,13140
Broadwater (Bega Valley - NSW),69.0,41.0,10.0,23.0,71.9,41.0,10.9,26.4,10579
Bald Hills (NSW),153.0,68.0,28.0,61.0,77.3,34.2,14.1,32.1,10147
Millingandi,285.0,64.0,62.0,87.0,70.7,16.0,15.3,21.5,12622
Mirador,244.0,91.0,33.0,87.0,78.5,28.9,10.4,27.4,12644
Berrambool,262.0,76.0,55.0,79.0,67.0,19.2,14.1,20.1,10312
Moruya,2331.0,712.0,459.0,736.0,68.8,21.0,13.5,21.7,12734
Moruya Heads,628.0,204.0,127.0,217.0,76.2,24.9,15.3,26.2,12735
Bergalia,110.0,34.0,12.0,38.0,79.7,23.6,8.5,27.9,10302
Congo,139.0,45.0,35.0,61.0,69.5,22.7,18.0,30.8,11008
Bingie,147.0,34.0,27.0,60.0,78.6,18.7,15.0,32.6,10367
Bermagui,951.0,262.0,172.0,367.0,71.9,19.8,13.0,28.0,10307
Dalmeny,1101.0,316.0,231.0,385.0,66.8,19.3,14.0,23.2,11191
Wallaga Lake,363.0,62.0,57.0,134.0,72.9,12.6,11.4,26.6,14102
Central Tilba,185.0,43.0,41.0,64.0,70.1,16.6,16.0,24.8,10877
North Narooma,398.0,110.0,82.0,162.0,74.0,20.3,15.2,29.7,12998
Akolele,76.0,27.0,16.0,24.0,57.6,19.6,11.9,17.9,10023
Mystery Bay,125.0,30.0,15.0,37.0,72.7,18.3,8.9,21.8,12883
Goulburn,11933.0,4888.0,2244.0,3127.0,65.0,26.6,12.2,17.0,11725
Run-o-Waters,303.0,119.0,40.0,93.0,77.9,30.8,10.6,24.2,13440
Marulan,632.0,279.0,122.0,149.0,68.8,30.1,13.2,16.2,12513
Windellama,203.0,57.0,42.0,76.0,66.1,19.1,13.9,24.9,14318
Bigga,128.0,44.0,16.0,54.0,60.7,20.5,7.5,25.4,10346
Tirrannaville,148.0,46.0,31.0,36.0,77.9,23.6,15.8,18.8,13883
Lake Bathurst,120.0,38.0,14.0,59.0,59.7,18.3,7.0,28.8,12239
Quialigo,152.0,54.0,32.0,56.0,75.2,27.7,15.5,27.2,13297
Laggan,231.0,82.0,59.0,91.0,79.7,28.2,20.8,31.8,12235
Grabben Gullen,137.0,51.0,16.0,49.0,64.6,24.1,7.5,23.4,11731
Parkesbourne,125.0,32.0,22.0,29.0,82.2,21.3,14.7,19.5,13152
Yarra,114.0,40.0,23.0,48.0,77.0,26.8,14.9,32.4,14468
Crookwell,1547.0,556.0,312.0,618.0,69.9,25.2,14.1,28.0,11123
Bungonia,224.0,75.0,34.0,51.0,71.1,24.0,11.0,16.0,10685
Collector,178.0,88.0,33.0,72.0,80.2,37.0,14.4,31.0,10972
Middle Arm,234.0,80.0,48.0,91.0,79.3,26.3,16.3,30.0,12599
Taralga,236.0,89.0,44.0,124.0,62.4,23.7,11.6,32.8,13759
Tarlo,115.0,37.0,25.0,43.0,81.0,26.1,16.9,29.7,13767
Wayo,85.0,20.0,25.0,17.0,81.0,18.9,21.0,15.0,14204
Kingsdale,98.0,43.0,17.0,31.0,72.1,30.7,12.1,22.8,12155
Bannister (NSW),72.0,36.0,19.0,32.0,72.7,38.7,20.0,34.0,10183
Brayton,94.0,33.0,13.0,23.0,66.2,22.6,9.0,15.9,10554
Greenwich Park,70.0,25.0,10.0,14.0,72.9,27.2,10.6,15.6,11771
Tallong,496.0,164.0,87.0,154.0,75.4,25.0,13.3,23.4,13733
Carrick (NSW),78.0,28.0,17.0,18.0,67.2,25.0,14.8,16.1,10828
Brisbane Grove,78.0,33.0,5.0,27.0,67.8,28.9,4.7,24.3,10577
Binda,146.0,63.0,21.0,48.0,65.2,28.5,9.5,21.8,10363
Towrang,104.0,42.0,26.0,38.0,71.2,30.2,17.8,26.2,13930
Mummel,69.0,33.0,7.0,25.0,72.6,33.7,7.7,27.8,12835
Baw Baw (NSW),160.0,61.0,33.0,45.0,73.1,27.5,14.7,20.7,10234
Boxers Creek,133.0,48.0,27.0,39.0,71.1,26.5,14.7,21.4,10541
Gundary,152.0,77.0,32.0,63.0,72.4,36.8,15.1,29.6,11806
Yass,3771.0,1542.0,683.0,1320.0,72.7,29.7,13.2,25.4,14493
Bookham,91.0,34.0,25.0,47.0,66.4,24.1,17.7,34.1,10478
Binalong,317.0,132.0,64.0,126.0,73.0,30.2,15.1,29.2,10362
Jugiong,130.0,47.0,16.0,53.0,69.1,25.8,8.6,29.0,12044
Galong,128.0,58.0,25.0,51.0,73.6,33.5,15.1,30.2,11580
Manton (NSW),181.0,79.0,28.0,74.0,78.0,34.5,12.4,32.7,12481
Yass River,223.0,81.0,29.0,105.0,79.6,29.3,10.5,38.5,14494
Rye Park,150.0,42.0,30.0,74.0,68.8,19.9,13.8,34.3,13455
Dalton,121.0,37.0,18.0,56.0,70.3,21.1,10.8,33.9,11194
Gundaroo,722.0,301.0,90.0,325.0,83.2,34.6,10.4,37.1,11805
Bowning,333.0,121.0,53.0,115.0,70.6,25.7,11.4,24.3,10535
Bellmount Forest,74.0,36.0,15.0,44.0,83.1,40.0,16.3,47.8,10274
Gunning,384.0,159.0,69.0,157.0,73.4,30.5,13.3,30.3,11813
Lade Vale,90.0,25.0,10.0,41.0,87.4,25.5,9.9,40.2,12232
Good Hope,88.0,40.0,24.0,48.0,72.1,31.5,18.5,38.1,11700
Wallaroo (NSW),457.0,162.0,76.0,178.0,76.4,27.5,12.8,30.1,14112
Murrumbateman,2028.0,854.0,277.0,745.0,82.9,34.9,11.3,30.5,12860
Springrange,194.0,96.0,19.0,71.0,81.5,39.8,8.1,29.8,13625
Jeir,172.0,77.0,28.0,59.0,81.5,37.9,13.6,29.2,12004
Marchmont,137.0,69.0,18.0,62.0,80.1,39.4,10.2,36.3,12487
Nanima,105.0,42.0,11.0,36.0,77.8,32.8,8.5,27.7,12891
Young,5379.0,2189.0,1014.0,1839.0,66.4,27.0,12.5,22.7,14518
Kingsvale,106.0,33.0,20.0,45.0,77.9,23.1,13.9,30.8,12161
Burrangong,138.0,60.0,25.0,39.0,73.8,31.6,13.7,20.5,10706
Wyangala,105.0,17.0,23.0,45.0,60.7,10.2,13.4,25.9,14434
Wombat,125.0,60.0,23.0,65.0,71.0,34.9,13.1,35.9,14364
Cunningar,100.0,29.0,22.0,50.0,75.2,21.8,16.5,40.0,11164
Harden,1058.0,370.0,207.0,405.0,62.2,21.8,12.2,23.8,11851
Boorowa,903.0,302.0,180.0,379.0,66.0,22.1,13.2,27.7,10503
Murrumburrah,62.0,20.0,15.0,33.0,72.9,20.6,16.7,40.2,12863
Frogmore,93.0,19.0,11.0,41.0,76.9,15.3,8.9,33.9,11571
Maimuru,76.0,30.0,11.0,39.0,73.8,27.8,10.3,37.5,12444
Bendick Murrell,84.0,32.0,15.0,32.0,67.2,24.1,11.9,23.7,10290
Koorawatha,214.0,54.0,46.0,66.0,59.3,15.3,12.7,18.2,12192
Monteagle,138.0,47.0,19.0,49.0,78.9,28.0,11.9,29.0,12683
Murringo,229.0,85.0,34.0,90.0,75.3,28.1,11.3,29.8,12858
Thuddungra,78.0,26.0,13.0,36.0,78.8,26.5,12.7,35.6,13853
Bribbaree,82.0,31.0,24.0,43.0,71.9,27.0,20.7,37.1,10566
Avoca Beach,2827.0,1253.0,437.0,956.0,79.1,35.1,12.2,26.7,10114
Copacabana,1700.0,780.0,245.0,549.0,78.7,36.1,11.3,25.4,11056
Killcare Heights,511.0,209.0,106.0,155.0,82.8,34.4,17.3,25.4,12134
Macmasters Beach,867.0,362.0,163.0,334.0,80.0,33.6,15.1,30.9,12432
Empire Bay,1431.0,652.0,225.0,338.0,75.3,34.2,11.8,17.7,11415
Wagstaffe,155.0,45.0,39.0,58.0,82.9,25.1,20.9,31.4,14084
St Huberts Island,659.0,210.0,153.0,180.0,70.6,22.3,16.3,19.3,13638
Killcare,302.0,109.0,54.0,120.0,77.8,27.7,14.0,31.1,12133
Bensville,1562.0,692.0,240.0,436.0,78.9,34.9,12.1,22.0,10297
Daleys Point,422.0,121.0,100.0,112.0,68.7,19.8,16.5,18.5,11189
Pretty Beach (Central Coast - NSW),234.0,96.0,33.0,93.0,82.4,33.3,11.4,32.2,13261
Hardys Bay,150.0,44.0,36.0,59.0,76.5,22.0,17.8,29.1,11852
Kincumber South,396.0,122.0,97.0,121.0,62.0,19.1,15.1,18.8,12142
Somersby,650.0,260.0,122.0,205.0,72.7,29.1,13.6,23.0,13571
Calga,85.0,46.0,19.0,24.0,81.7,44.2,18.6,22.0,10752
Woy Woy,5878.0,2140.0,1138.0,1373.0,65.0,23.7,12.6,15.2,14425
Patonga,145.0,42.0,20.0,63.0,73.6,21.6,10.5,31.5,13160
Mooney Mooney,216.0,68.0,49.0,68.0,80.6,26.2,18.6,26.4,12704
Kariong,3650.0,1583.0,578.0,868.0,73.5,31.9,11.7,17.5,12074
Peats Ridge,192.0,76.0,26.0,41.0,64.0,25.4,8.8,13.9,13172
Central Mangrove,177.0,49.0,22.0,60.0,76.0,21.4,9.4,26.2,10876
Mangrove Mountain,425.0,159.0,62.0,123.0,73.4,27.4,10.9,21.3,12472
Kulnura,377.0,146.0,69.0,117.0,73.9,28.5,13.5,22.9,12206
Mount White,112.0,24.0,20.0,30.0,71.3,15.4,12.5,18.2,12803
Wendoree Park,78.0,36.0,7.0,29.0,82.1,37.5,7.1,29.6,14224
Wisemans Ferry,133.0,45.0,27.0,46.0,69.6,23.6,13.8,24.1,14344
Gunderman,103.0,24.0,14.0,26.0,57.9,13.8,8.2,14.9,11808
Spencer,151.0,35.0,31.0,49.0,53.9,12.4,11.0,17.6,13607
Erina,2599.0,863.0,460.0,738.0,62.1,20.6,11.0,17.6,11433
Green Point (Central Coast - NSW),3880.0,1475.0,710.0,1130.0,73.3,27.9,13.4,21.4,11753
Matcham,619.0,260.0,92.0,220.0,80.7,33.6,12.0,28.4,12520
Holgate,634.0,265.0,94.0,184.0,84.1,35.1,12.5,24.3,11921
Lisarow,3152.0,1397.0,510.0,860.0,77.4,34.3,12.5,21.1,12343
Erina Heights,254.0,109.0,43.0,98.0,78.4,33.6,13.1,30.5,11434
Terrigal,7090.0,2786.0,1074.0,2021.0,75.8,29.8,11.5,21.6,13805
Springfield (Central Coast - NSW),2406.0,1095.0,432.0,691.0,75.3,34.3,13.5,21.6,13623
North Gosford,2133.0,873.0,333.0,548.0,71.0,29.1,11.1,18.2,12991
West Gosford,719.0,246.0,129.0,154.0,61.2,21.0,11.0,13.1,14244
Gosford,2082.0,637.0,302.0,417.0,67.1,20.5,9.7,13.4,11722
East Gosford,2507.0,944.0,461.0,688.0,70.7,26.7,13.0,19.5,11349
Point Frederick,1159.0,391.0,198.0,359.0,69.8,23.5,11.8,21.6,13232
Kincumber,4146.0,1587.0,700.0,1071.0,70.3,26.9,11.9,18.1,12141
Picketts Valley,128.0,60.0,25.0,39.0,80.5,38.0,15.6,24.2,13198
Narara,4792.0,2052.0,798.0,1242.0,75.3,32.3,12.5,19.5,12895
Niagara Park,1668.0,719.0,290.0,433.0,77.3,33.2,13.4,20.1,12961
Mount Elliot (NSW),117.0,48.0,18.0,29.0,79.6,32.9,13.2,20.4,12757
Point Clare,2269.0,905.0,392.0,627.0,75.3,30.0,13.0,20.8,13231
Tascott,1037.0,369.0,160.0,274.0,77.8,27.6,12.1,20.6,13772
Koolewong,589.0,217.0,101.0,164.0,79.4,29.5,13.7,22.0,12185
Saratoga,2428.0,1064.0,358.0,623.0,77.8,34.1,11.5,19.9,13492
Davistown,1493.0,582.0,265.0,384.0,72.0,28.0,12.7,18.5,11221
Yattalunga (NSW),335.0,179.0,78.0,77.0,79.4,41.4,18.3,18.2,14496
North Avoca,1438.0,583.0,199.0,427.0,81.0,33.0,11.3,24.1,12980
Umina Beach,9405.0,3860.0,1740.0,2169.0,68.5,28.1,12.7,15.8,14007
Booker Bay,795.0,233.0,161.0,169.0,67.7,20.0,13.7,14.4,10477
Ettalong Beach,2735.0,931.0,531.0,597.0,65.7,22.4,12.8,14.3,11445
Pearl Beach,357.0,96.0,53.0,136.0,74.8,20.2,11.1,28.3,13171
Wamberal,3941.0,1814.0,662.0,1140.0,77.6,35.7,13.0,22.4,14122
Forresters Beach,1826.0,813.0,292.0,531.0,78.6,35.0,12.5,22.9,11549
Tumbi Umbi,3025.0,1215.0,530.0,724.0,73.0,29.3,12.8,17.5,13962
Horsfield Bay,346.0,133.0,68.0,116.0,76.9,29.0,15.1,25.4,11941
Phegans Bay,290.0,103.0,59.0,72.0,81.9,29.3,16.6,20.1,13192
Woy Woy Bay,276.0,87.0,50.0,64.0,76.0,23.5,13.6,17.5,14426
Blackwall (NSW),1110.0,410.0,203.0,278.0,69.6,25.8,12.7,17.5,10399
Wyoming,5588.0,2236.0,936.0,1444.0,67.3,26.9,11.3,17.4,14445
Bateau Bay,6797.0,2831.0,1209.0,1643.0,68.1,28.4,12.1,16.5,10227
Killarney Vale,3937.0,1765.0,722.0,787.0,68.2,30.6,12.5,13.6,12131
Blue Haven,3358.0,1719.0,660.0,582.0,69.8,35.7,13.7,12.1,10415
San Remo (NSW),2238.0,1056.0,477.0,352.0,65.9,31.1,14.1,10.4,13470
Doyalson,167.0,85.0,43.0,29.0,66.0,33.3,16.6,11.5,11286
Buff Point,1911.0,827.0,380.0,351.0,66.8,29.0,13.3,12.3,10645
Budgewoi,1910.0,766.0,352.0,370.0,68.3,27.4,12.6,13.2,10642
Halekulani,1448.0,580.0,306.0,301.0,68.0,27.2,14.3,14.2,11830
Glenning Valley,1248.0,524.0,202.0,282.0,77.6,32.6,12.6,17.5,11672
Berkeley Vale,4752.0,2180.0,830.0,1098.0,71.6,32.8,12.5,16.5,10304
Chittaway Point,591.0,240.0,96.0,155.0,77.4,31.1,12.4,20.1,10912
Chittaway Bay,1153.0,533.0,212.0,245.0,70.8,32.8,13.1,15.1,10911
Kanwal,1989.0,823.0,390.0,416.0,59.0,24.4,11.6,12.3,12067
Wyongah,1134.0,479.0,218.0,259.0,71.5,30.1,13.8,16.4,14448
Tuggerawong,735.0,303.0,153.0,168.0,70.9,29.4,14.8,16.2,13951
Rocky Point (NSW),158.0,71.0,30.0,37.0,76.3,34.0,14.5,17.6,13388
Gorokan,4471.0,1822.0,930.0,773.0,65.2,26.6,13.6,11.3,11721
Charmhaven,1369.0,592.0,271.0,285.0,67.5,29.1,13.3,14.1,10889
Lake Haven,1799.0,692.0,398.0,359.0,58.6,22.5,12.9,11.7,12247
Jilliby,1001.0,429.0,135.0,276.0,76.1,32.6,10.2,20.9,12027
Yarramalong,229.0,96.0,35.0,62.0,83.6,35.8,12.9,23.1,14475
Cedar Brush Creek,69.0,27.0,8.0,22.0,77.5,29.7,8.4,23.7,10867
Wyong Creek,276.0,102.0,54.0,96.0,75.4,27.7,14.7,25.8,14447
Dooralong,223.0,77.0,21.0,86.0,72.9,25.0,6.8,27.3,11276
Lake Munmorah,3038.0,1132.0,595.0,671.0,69.2,25.7,13.5,15.2,12253
Chain Valley Bay,1353.0,434.0,278.0,308.0,63.9,20.5,13.2,14.5,10880
Kingfisher Shores,100.0,40.0,19.0,22.0,71.9,30.8,14.1,16.4,12146
Mannering Park,1361.0,614.0,252.0,254.0,67.5,30.5,12.5,12.6,12477
Doyalson North,208.0,31.0,44.0,45.0,56.5,8.3,11.9,12.1,11287
Ourimbah,2410.0,1023.0,367.0,680.0,77.1,32.7,11.7,21.8,13103
Fountaindale,449.0,206.0,87.0,153.0,78.2,35.8,15.2,26.4,11554
Palm Grove (NSW),62.0,21.0,22.0,26.0,63.9,20.8,22.0,26.3,13133
Gwandalan,1907.0,788.0,362.0,409.0,71.1,29.4,13.5,15.3,11824
Summerland Point,1462.0,615.0,257.0,274.0,71.4,30.0,12.5,13.4,13690
Long Jetty,3494.0,1401.0,646.0,801.0,66.2,26.5,12.2,15.2,12378
Shelly Beach (NSW),781.0,316.0,130.0,179.0,71.9,29.2,11.9,16.5,13535
Blue Bay,607.0,224.0,132.0,120.0,68.6,25.3,14.7,13.5,10414
Toowoon Bay,310.0,84.0,54.0,80.0,66.4,18.2,11.7,17.3,13916
The Entrance North,875.0,308.0,151.0,194.0,70.3,24.7,12.1,15.5,13819
Magenta (NSW),145.0,48.0,16.0,35.0,77.5,25.8,9.1,19.0,12441
The Entrance,2090.0,725.0,383.0,470.0,61.0,21.1,11.2,13.7,13818
Toukley,2268.0,839.0,499.0,503.0,58.5,21.6,12.9,13.0,13925
Canton Beach,553.0,167.0,113.0,134.0,53.5,16.3,11.0,13.0,10798
Noraville,1643.0,657.0,304.0,353.0,68.5,27.4,12.7,14.8,12974
Norah Head,698.0,287.0,128.0,211.0,72.6,29.8,13.4,22.2,12973
Kangy Angy,164.0,56.0,38.0,31.0,62.1,21.7,14.4,12.1,12064
Tuggerah,540.0,228.0,93.0,103.0,72.6,30.7,12.6,13.8,13950
Wyong,2268.0,880.0,451.0,534.0,62.4,24.3,12.5,14.7,14446
