,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Balmain,6559.0,2368.0,827.0,1907.0,75.8,27.3,9.6,22.0,10164
Birchgrove,2133.0,830.0,294.0,766.0,80.0,31.1,11.0,28.7,10374
Woolwich,509.0,173.0,105.0,205.0,72.4,24.4,14.8,28.8,14412
Leichhardt (NSW),8849.0,3444.0,1116.0,2359.0,75.1,29.2,9.5,20.0,12297
Lilyfield,4483.0,1877.0,721.0,1268.0,74.8,31.3,12.0,21.2,12325
Rozelle,5550.0,1973.0,642.0,1441.0,76.9,27.3,8.9,20.0,13435
Ashfield (NSW),12993.0,4192.0,1923.0,3236.0,62.2,20.1,9.2,15.5,10098
Summer Hill (Inner West - NSW),4541.0,1561.0,635.0,1228.0,73.3,25.3,10.3,19.9,13687
Hurlstone Park,2808.0,1007.0,544.0,732.0,70.9,25.4,13.7,18.5,11963
Ashbury,1975.0,817.0,361.0,474.0,74.2,30.6,13.5,17.8,10093
Burwood (NSW),7776.0,2331.0,1250.0,1751.0,53.8,16.1,8.6,12.1,10718
Croydon (NSW),6062.0,2293.0,1148.0,1620.0,68.4,25.9,13.0,18.3,11134
Strathfield (NSW),13420.0,4411.0,2291.0,3535.0,59.5,19.6,10.2,15.7,13675
Croydon Park (NSW),6133.0,2459.0,1141.0,1476.0,68.1,27.3,12.7,16.4,11135
Enfield (NSW),1599.0,580.0,298.0,330.0,66.9,24.3,12.5,13.8,11421
Burwood Heights,506.0,200.0,102.0,119.0,61.5,24.4,12.5,14.7,10719
Haberfield,3861.0,1448.0,826.0,1116.0,73.5,27.5,15.7,21.3,11828
Homebush West,4056.0,1611.0,515.0,773.0,56.1,22.3,7.1,10.7,11930
Homebush (NSW),3617.0,1278.0,543.0,852.0,60.3,21.3,9.0,14.2,11929
Strathfield South,1978.0,747.0,352.0,500.0,67.9,25.7,12.1,17.2,13676
Chatswood,13571.0,5417.0,1920.0,3598.0,65.1,26.0,9.2,17.2,10892
North Willoughby,2405.0,1075.0,380.0,698.0,74.2,33.2,11.7,21.6,13016
Willoughby (NSW),3805.0,1768.0,572.0,1165.0,76.1,35.3,11.4,23.3,14303
Artarmon,5682.0,2271.0,659.0,1703.0,73.8,29.5,8.6,22.1,10090
Roseville,6139.0,2603.0,919.0,2379.0,77.7,32.9,11.6,30.1,13412
Lane Cove North,7089.0,2600.0,811.0,1903.0,74.9,27.5,8.6,20.1,12267
Chatswood West,956.0,369.0,146.0,305.0,78.7,30.4,12.0,25.0,10893
Lane Cove West,1581.0,721.0,205.0,482.0,78.5,35.7,10.2,23.9,12268
Lane Cove,6765.0,2665.0,901.0,2070.0,77.1,30.4,10.3,23.6,12266
Riverview (NSW),1965.0,857.0,348.0,994.0,76.8,33.6,13.6,38.9,13370
Greenwich,3541.0,1253.0,554.0,1252.0,75.7,26.8,11.9,26.8,11770
Northwood (NSW),585.0,260.0,118.0,240.0,75.4,33.1,15.2,30.9,13024
Longueville,1323.0,560.0,276.0,554.0,80.0,33.9,16.6,33.5,12385
Linley Point,209.0,78.0,46.0,63.0,73.6,27.6,16.4,21.9,12341
St Leonards (NSW),3563.0,863.0,273.0,819.0,71.6,17.4,5.5,16.5,13642
Naremburn,3689.0,1506.0,476.0,1079.0,78.6,32.0,10.1,22.9,12898
Cammeray,4593.0,1733.0,558.0,1313.0,80.2,30.3,9.7,22.9,10778
Castle Cove,1546.0,657.0,276.0,512.0,76.3,32.3,13.6,25.3,10845
Castlecrag,1797.0,769.0,287.0,714.0,78.9,33.8,12.6,31.3,10849
Northbridge (NSW),3822.0,1675.0,620.0,1451.0,77.5,34.0,12.6,29.4,13022
Middle Cove,836.0,357.0,133.0,301.0,78.9,33.7,12.6,28.6,12602
Willoughby East,1095.0,502.0,149.0,393.0,82.9,38.0,11.3,29.7,14304
Hornsby Heights,3982.0,1849.0,592.0,1290.0,81.1,37.7,12.0,26.3,11937
Mount Colah,4451.0,1816.0,694.0,1414.0,79.2,32.3,12.3,25.1,12750
Asquith,2044.0,921.0,329.0,645.0,76.7,34.6,12.4,24.2,10103
Hornsby,12864.0,5397.0,1840.0,3351.0,71.3,29.9,10.2,18.6,11936
Mount Kuring-Gai,1052.0,449.0,168.0,342.0,78.4,33.5,12.6,25.5,12772
Cowan,389.0,167.0,78.0,143.0,76.0,32.7,15.4,27.8,11097
Berowra,3042.0,1321.0,470.0,966.0,82.3,35.8,12.7,26.2,10308
Brooklyn (NSW),457.0,166.0,81.0,162.0,72.7,26.0,12.8,25.8,10599
Berowra Heights,3359.0,1606.0,526.0,1125.0,83.3,39.9,13.0,27.9,10310
Dangar Island,194.0,67.0,34.0,108.0,78.5,28.0,13.9,44.1,11199
Normanhurst,3208.0,1332.0,501.0,1229.0,75.9,31.5,11.9,29.1,12976
