,Median mortgage repayments,Households where mortgage payments are less than 30% of household income,"Households where mortgage payments are 30%, or greater, of household income",Median mortgage repayments (%),Households where mortgage payments are less than 30% of household income (%),"Households where mortgage payments are 30%, or greater, of household income (%)"
Pyrmont,2704.0,--,--,--,92.2,7.8
Quakers Hill,2167.0,--,--,--,83.6,16.4
Queens Park (NSW),3000.0,--,--,--,85.8,14.2
Raby,1900.0,--,--,--,84.6,15.4
Ramsgate,2349.0,--,--,--,86.6,13.4
Ramsgate Beach,1900.0,--,--,--,93.7,6.3
Randwick,2600.0,--,--,--,91.3,8.7
Rankin Park,1800.0,--,--,--,92.3,7.7
Redfern,2522.0,--,--,--,92.4,7.6
Redhead,2080.0,--,--,--,93.5,6.5
Regents Park (NSW),1732.0,--,--,--,88.6,11.4
Regentville,2000.0,--,--,--,89.0,11.0
Revesby,2167.0,--,--,--,87.5,12.5
Revesby Heights,2292.0,--,--,--,86.1,13.9
Riverview (Lane Cove - NSW),3792.0,--,--,--,85.0,15.0
Riverwood,2000.0,--,--,--,89.4,10.6
Rockdale,2100.0,--,--,--,87.4,12.6
Rocky Point (NSW),1517.0,--,--,--,79.8,20.2
Rooty Hill,2024.0,--,--,--,84.6,15.4
Rose Bay (NSW),2877.0,--,--,--,91.4,8.6
Rosebery (NSW),2300.0,--,--,--,87.8,12.2
Rosemeadow,1733.0,--,--,--,84.9,15.1
Roseville,3033.0,--,--,--,87.5,12.5
Roseville Chase,3467.0,--,--,--,83.7,16.3
Rouse Hill,2795.0,--,--,--,79.1,20.9
Rozelle,3033.0,--,--,--,89.0,11.0
Ruse,1862.0,--,--,--,87.7,12.3
Rushcutters Bay,2050.0,--,--,--,93.9,6.1
Russell Lea,3000.0,--,--,--,89.1,10.9
Russell Vale,2167.0,--,--,--,87.2,12.8
Rydalmere,2275.0,--,--,--,84.2,15.8
Ryde,2300.0,--,--,--,88.8,11.2
Sadleir,1650.0,--,--,--,89.0,11.0
San Remo (NSW),1560.0,--,--,--,88.3,11.7
Sandringham (NSW),2800.0,--,--,--,88.3,11.7
Sans Souci,2400.0,--,--,--,88.4,11.6
Saratoga,2020.0,--,--,--,86.6,13.4
Scarborough (NSW),2200.0,--,--,--,86.7,13.3
Schofields,2159.0,--,--,--,88.8,11.2
Scotland Island,2817.0,--,--,--,81.7,18.3
Seaforth (NSW),3500.0,--,--,--,84.2,15.8
Sefton,1842.0,--,--,--,87.2,12.8
Seven Hills (NSW),2000.0,--,--,--,88.6,11.4
Shalvey,1638.0,--,--,--,90.5,9.5
Shell Cove,2253.0,--,--,--,83.9,16.1
Shellharbour,1800.0,--,--,--,91.5,8.5
Shelly Beach (NSW),2000.0,--,--,--,90.6,9.4
Shortland,1582.0,--,--,--,91.3,8.7
Silverwater (Lake Macquarie - NSW),1500.0,--,--,--,86.2,13.8
South Coogee,3100.0,--,--,--,92.7,7.3
South Granville,1850.0,--,--,--,88.1,11.9
South Hurstville,2167.0,--,--,--,85.9,14.1
South Turramurra,2838.0,--,--,--,86.7,13.3
South Wentworthville,2156.0,--,--,--,86.4,13.6
Speers Point,1733.0,--,--,--,93.1,6.9
Springfield (Gosford - NSW),1842.0,--,--,--,86.9,13.1
Springwood (NSW),1950.0,--,--,--,91.2,8.8
St Andrews (NSW),1800.0,--,--,--,85.0,15.0
St Clair (Penrith - NSW),2000.0,--,--,--,83.2,16.8
St Helens Park,1842.0,--,--,--,83.3,16.7
St Huberts Island,2167.0,--,--,--,91.0,9.0
St Ives (NSW),3033.0,--,--,--,86.3,13.7
St Ives Chase,3000.0,--,--,--,87.5,12.5
St Johns Park,2000.0,--,--,--,88.0,12.0
St Leonards (NSW),2500.0,--,--,--,91.8,8.2
St Marys (NSW),1733.0,--,--,--,90.5,9.5
St Peters (NSW),2708.0,--,--,--,86.0,14.0
Stanhope Gardens,2817.0,--,--,--,77.7,22.3
Stanmore (NSW),2600.0,--,--,--,90.3,9.7
Stockton (NSW),1733.0,--,--,--,94.9,5.1
Strathfield (NSW),2500.0,--,--,--,89.7,10.3
Strathfield South,2200.0,--,--,--,86.5,13.5
Summer Hill (Ashfield - NSW),2100.0,--,--,--,92.6,7.4
Surry Hills,2500.0,--,--,--,92.3,7.7
Sutherland (NSW),2132.0,--,--,--,88.2,11.8
Swansea (NSW),1733.0,--,--,--,94.2,5.8
Sydney,2500.0,--,--,--,91.2,8.8
Tacoma South,2300.0,--,--,--,83.3,16.7
Tamarama,3500.0,--,--,--,91.8,8.2
Taren Point,2255.0,--,--,--,92.4,7.6
Tarrawanna,1733.0,--,--,--,92.5,7.5
Tascott,1889.0,--,--,--,88.4,11.6
Terrey Hills,2809.0,--,--,--,85.5,14.5
Terrigal,2167.0,--,--,--,90.4,9.6
The Entrance,1673.0,--,--,--,97.1,2.9
The Hill,1993.0,--,--,--,94.7,5.3
The Junction,1733.0,--,--,--,95.3,4.7
Thirroul,2167.0,--,--,--,90.7,9.3
Thornleigh,2600.0,--,--,--,88.2,11.8
Tighes Hill,1700.0,--,--,--,90.6,9.4
Tingira Heights,1820.0,--,--,--,83.7,16.3
Toongabbie (NSW),2013.0,--,--,--,87.4,12.6
Toowoon Bay,2084.0,--,--,--,97.2,2.8
Toronto,1668.0,--,--,--,94.0,6.0
Toukley,1554.0,--,--,--,94.5,5.5
Towradgi,2000.0,--,--,--,91.6,8.4
Tregear,1408.0,--,--,--,93.9,6.1
Tuggerah,1580.0,--,--,--,87.1,12.9
Tumbi Umbi,1900.0,--,--,--,88.1,11.9
Turrella,2383.0,--,--,--,81.2,18.8
Ultimo,2280.0,--,--,--,93.2,6.8
Umina Beach,1841.0,--,--,--,91.0,9.0
Unanderra,1794.0,--,--,--,92.4,7.6
Valentine (NSW),2100.0,--,--,--,91.9,8.1
Valley Heights,2000.0,--,--,--,89.9,10.1
Vaucluse,3250.0,--,--,--,88.1,11.9
Villawood,1733.0,--,--,--,90.7,9.3
Voyager Point,2550.0,--,--,--,83.2,16.8
Waitara,2167.0,--,--,--,89.8,10.2
Wakeley,1990.0,--,--,--,83.1,16.9
Wallsend,1665.0,--,--,--,92.8,7.2
Wamberal,2167.0,--,--,--,87.4,12.6
Warabrook,1703.0,--,--,--,93.4,6.6
Waratah (NSW),1768.0,--,--,--,93.3,6.7
Waratah West,1700.0,--,--,--,94.5,5.5
Wareemba,2903.0,--,--,--,92.3,7.7
Warilla,1625.0,--,--,--,93.5,6.5
Warners Bay,1780.0,--,--,--,93.4,6.6
Warrawee,3200.0,--,--,--,86.4,13.6
Warrawong,1517.0,--,--,--,95.5,4.5
Warriewood,3000.0,--,--,--,81.6,18.4
Warwick Farm,1387.0,--,--,--,92.5,7.5
Watanobbi,1677.0,--,--,--,89.4,10.6
Waterloo (NSW),2500.0,--,--,--,93.7,6.3
Watsons Bay,3100.0,--,--,--,90.5,9.5
Wattle Grove (NSW),2200.0,--,--,--,86.9,13.1
Waverley (NSW),3000.0,--,--,--,90.0,10.0
Waverton,2500.0,--,--,--,94.9,5.1
Wentworthville,2037.0,--,--,--,89.7,10.3
Werrington,1610.0,--,--,--,89.2,10.8
Werrington County,1810.0,--,--,--,86.6,13.4
Werrington Downs,1907.0,--,--,--,84.0,16.0
West Gosford,1400.0,--,--,--,94.5,5.5
West Hoxton,2500.0,--,--,--,71.7,28.3
West Pymble,3000.0,--,--,--,86.6,13.4
West Ryde,2167.0,--,--,--,90.5,9.5
West Wallsend,1517.0,--,--,--,88.0,12.0
West Wollongong,1928.0,--,--,--,92.9,7.1
Westleigh,2584.0,--,--,--,89.8,10.2
Westmead,2000.0,--,--,--,92.5,7.5
Wetherill Park,1842.0,--,--,--,87.3,12.7
Whalan,1517.0,--,--,--,92.3,7.7
Whitebridge,1846.0,--,--,--,91.0,9.0
Wickham (NSW),1733.0,--,--,--,92.4,7.6
Wiley Park,1600.0,--,--,--,87.8,12.2
Willmot,1400.0,--,--,--,93.2,6.8
Windale,1300.0,--,--,--,96.6,3.4
Windang,1842.0,--,--,--,94.8,5.2
Winmalee,2000.0,--,--,--,90.1,9.9
Wollongong,1800.0,--,--,--,94.6,5.4
Wombarra,2200.0,--,--,--,86.1,13.9
Woodcroft (NSW),2300.0,--,--,--,81.0,19.0
Woodpark,2167.0,--,--,--,78.4,21.6
Woodrising,1473.0,--,--,--,83.6,16.4
Woollahra,3033.0,--,--,--,90.5,9.5
Woolloomooloo,2325.0,--,--,--,94.4,5.6
Woolooware,2400.0,--,--,--,86.9,13.1
Woolwich,3600.0,--,--,--,91.2,8.8
Woronora,2600.0,--,--,--,83.3,16.7
Woronora Heights,2167.0,--,--,--,86.7,13.3
Woy Woy Bay,2299.0,--,--,--,95.0,5.0
Wyoming,1759.0,--,--,--,89.6,10.4
Wyong,1649.0,--,--,--,93.9,6.1
Yagoona,1950.0,--,--,--,84.6,15.4
Yowie Bay,2539.0,--,--,--,87.9,12.1
Zetland,2557.0,--,--,--,85.0,15.0
