,Median mortgage repayments,Households where mortgage payments are less than 30% of household income,"Households where mortgage payments are 30%, or greater, of household income",Median mortgage repayments (%),Households where mortgage payments are less than 30% of household income (%),"Households where mortgage payments are 30%, or greater, of household income (%)"
Carrington (Newcastle - NSW),1733.0,--,--,--,93.5,6.5
Carss Park,3000.0,--,--,--,87.8,12.2
Cartwright,1600.0,--,--,--,89.0,11.0
Castle Cove,3500.0,--,--,--,87.7,12.3
Castle Hill (NSW),2600.0,--,--,--,86.5,13.5
Castlecrag,4467.0,--,--,--,85.0,15.0
Casula,2167.0,--,--,--,82.3,17.7
Caves Beach,1928.0,--,--,--,91.9,8.1
Cecil Hills,2167.0,--,--,--,79.7,20.3
Centennial Park (NSW),2323.0,--,--,--,91.7,8.3
Charlestown (NSW),1850.0,--,--,--,92.5,7.5
Charmhaven,1668.0,--,--,--,87.8,12.2
Chatswood,2600.0,--,--,--,91.0,9.0
Chatswood West,3400.0,--,--,--,87.5,12.5
Cheltenham (NSW),2500.0,--,--,--,89.6,10.4
Cherrybrook,2600.0,--,--,--,87.8,12.2
Chester Hill,2000.0,--,--,--,87.3,12.7
Chifley (NSW),2167.0,--,--,--,88.2,11.8
Chippendale,2167.0,--,--,--,93.5,6.5
Chipping Norton,2057.0,--,--,--,85.0,15.0
Chiswick,2600.0,--,--,--,91.2,8.8
Chittaway Bay,1733.0,--,--,--,88.5,11.5
Chittaway Point,2000.0,--,--,--,85.9,14.1
Church Point,3000.0,--,--,--,85.4,14.6
Claremont Meadows,2077.0,--,--,--,77.7,22.3
Claymore,477.0,--,--,--,100.0,0.0
Clontarf (NSW),4000.0,--,--,--,87.4,12.6
Clovelly,3067.0,--,--,--,89.5,10.5
Coal Point,2200.0,--,--,--,92.7,7.3
Coledale,2350.0,--,--,--,87.3,12.7
Collaroy (NSW),2668.0,--,--,--,86.0,14.0
Colyton,1885.0,--,--,--,84.0,16.0
Como (NSW),2600.0,--,--,--,87.4,12.6
Concord,2500.0,--,--,--,89.8,10.2
Concord West,2383.0,--,--,--,88.8,11.2
Condell Park,2167.0,--,--,--,84.7,15.3
Coniston,1534.0,--,--,--,92.3,7.7
Connells Point,2600.0,--,--,--,87.1,12.9
Coogee (NSW),2600.0,--,--,--,92.7,7.3
Cooks Hill,1950.0,--,--,--,94.6,5.4
Copacabana,1924.0,--,--,--,86.6,13.4
Cordeaux Heights,1898.0,--,--,--,90.1,9.9
Corrimal,1950.0,--,--,--,91.1,8.9
Cranebrook,2000.0,--,--,--,83.6,16.4
Cremorne (NSW),2817.0,--,--,--,91.0,9.0
Cremorne Point,3525.0,--,--,--,92.9,7.1
Cringila,1326.0,--,--,--,88.4,11.6
Cromer (NSW),2600.0,--,--,--,86.0,14.0
Cronulla,2275.0,--,--,--,91.0,9.0
Croudace Bay,1984.0,--,--,--,91.1,8.9
Crows Nest (NSW),2900.0,--,--,--,90.1,9.9
Croydon (NSW),2400.0,--,--,--,89.6,10.4
Curl Curl,3000.0,--,--,--,88.2,11.8
Currans Hill,2167.0,--,--,--,78.7,21.3
Daceyville,1600.0,--,--,--,97.4,2.6
Daleys Point,1550.0,--,--,--,92.8,7.2
Dapto,1733.0,--,--,--,88.4,11.6
Darling Point,3200.0,--,--,--,93.2,6.8
Darlinghurst,2643.0,--,--,--,92.0,8.0
Darlington (Sydney - NSW),2600.0,--,--,--,93.1,6.9
Davidson,3000.0,--,--,--,86.4,13.6
Davistown,1918.0,--,--,--,89.4,10.6
Dawes Point,5500.0,--,--,--,90.6,9.4
Dean Park,1950.0,--,--,--,82.9,17.1
Dee Why,2370.0,--,--,--,86.8,13.2
Denistone,2500.0,--,--,--,90.1,9.9
Denistone East,2817.0,--,--,--,87.2,12.8
Denistone West,2450.0,--,--,--,88.0,12.0
Dharruk,1647.0,--,--,--,86.1,13.9
Dolans Bay,3017.0,--,--,--,87.6,12.4
Dolls Point,2405.0,--,--,--,88.4,11.6
Doonside,1900.0,--,--,--,88.7,11.3
Double Bay,3000.0,--,--,--,92.5,7.5
Dover Heights,4275.0,--,--,--,85.5,14.5
Drummoyne,2760.0,--,--,--,90.5,9.5
Dudley,2000.0,--,--,--,89.6,10.4
Dulwich Hill,2200.0,--,--,--,90.5,9.5
Dundas (NSW),2167.0,--,--,--,87.0,13.0
Dundas Valley,2500.0,--,--,--,85.4,14.6
Dural (Hornsby - NSW),2600.0,--,--,--,86.3,13.7
Eagle Vale,1733.0,--,--,--,83.2,16.8
Earlwood,2500.0,--,--,--,88.3,11.7
East Gosford,1750.0,--,--,--,92.9,7.1
East Hills,2300.0,--,--,--,87.9,12.1
East Killara,3467.0,--,--,--,88.5,11.5
East Lindfield,3267.0,--,--,--,88.9,11.1
East Ryde,2600.0,--,--,--,88.6,11.4
Eastern Creek,1847.0,--,--,--,84.1,15.9
Eastlakes,2030.0,--,--,--,91.3,8.7
Eastwood (NSW),2167.0,--,--,--,89.1,10.9
Edensor Park,2026.0,--,--,--,85.6,14.4
