,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Dwelling type not stated,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%),Dwelling type not stated (%)
Bangor,1556.0,76.0,24.0,34.0,3.0,91.9,4.5,1.4,2.0,0.2
Banksia,885.0,71.0,15.0,12.0,0.0,90.0,7.2,1.5,1.2,0.0
Bankstown,3500.0,741.0,3893.0,10.0,69.0,42.6,9.0,47.4,0.1,0.8
Bar Beach,240.0,73.0,335.0,0.0,0.0,37.0,11.3,51.7,0.0,0.0
Barden Ridge,973.0,56.0,0.0,0.0,6.0,94.0,5.4,0.0,0.0,0.6
Bardwell Park,708.0,29.0,64.0,3.0,4.0,87.6,3.6,7.9,0.4,0.5
Bardwell Valley,487.0,160.0,34.0,0.0,3.0,71.2,23.4,5.0,0.0,0.4
Barnsley,584.0,3.0,3.0,6.0,4.0,97.3,0.5,0.5,1.0,0.7
Barrack Heights,1991.0,75.0,172.0,17.0,31.0,87.1,3.3,7.5,0.7,1.4
Barrack Point,152.0,24.0,6.0,54.0,8.0,62.3,9.8,2.5,22.1,3.3
Bass Hill,2314.0,252.0,232.0,77.0,4.0,80.4,8.8,8.1,2.7,0.1
Bateau Bay,3424.0,543.0,151.0,9.0,218.0,78.8,12.5,3.5,0.2,5.0
Baulkham Hills,9716.0,1092.0,333.0,0.0,26.0,87.0,9.8,3.0,0.0,0.2
Bayview,826.0,4.0,41.0,0.0,366.0,66.8,0.3,3.3,0.0,29.6
Beacon Hill,1760.0,134.0,82.0,0.0,13.0,88.5,6.7,4.1,0.0,0.7
Beaconsfield,40.0,191.0,62.0,6.0,3.0,13.2,63.2,20.5,2.0,1.0
Beecroft,2586.0,114.0,65.0,7.0,17.0,92.7,4.1,2.3,0.3,0.6
Belfield,1498.0,375.0,123.0,12.0,4.0,74.5,18.6,6.1,0.6,0.2
Bella Vista,1026.0,233.0,7.0,0.0,0.0,81.0,18.4,0.6,0.0,0.0
Bellambi,949.0,449.0,277.0,7.0,3.0,56.3,26.6,16.4,0.4,0.2
Bellevue Hill,1374.0,306.0,2193.0,9.0,59.0,34.9,7.8,55.6,0.2,1.5
Belmont,1853.0,226.0,312.0,168.0,69.0,70.5,8.6,11.9,6.4,2.6
Belmont North,1753.0,59.0,121.0,28.0,68.0,86.4,2.9,6.0,1.4,3.4
Belmont South,364.0,53.0,25.0,17.0,0.0,79.3,11.5,5.4,3.7,0.0
Belmore,2385.0,188.0,1664.0,41.0,38.0,55.3,4.4,38.6,0.9,0.9
Belrose,2112.0,279.0,140.0,9.0,9.0,82.9,10.9,5.5,0.4,0.4
Bensville,546.0,8.0,0.0,0.0,3.0,98.0,1.4,0.0,0.0,0.5
Berala,1645.0,323.0,612.0,26.0,10.0,62.9,12.3,23.4,1.0,0.4
Berkeley,2357.0,81.0,204.0,3.0,17.0,88.5,3.0,7.7,0.1,0.6
Berkeley Vale,2928.0,117.0,199.0,0.0,25.0,89.6,3.6,6.1,0.0,0.8
Berowra,1277.0,36.0,11.0,99.0,11.0,89.1,2.5,0.8,6.9,0.8
Berowra Heights,1643.0,19.0,17.0,0.0,3.0,97.7,1.1,1.0,0.0,0.2
Beverley Park,662.0,47.0,19.0,3.0,4.0,90.1,6.4,2.6,0.4,0.5
Beverly Hills,2234.0,424.0,539.0,15.0,13.0,69.3,13.1,16.7,0.5,0.4
Bexley,3645.0,1185.0,1256.0,54.0,37.0,59.0,19.2,20.3,0.9,0.6
Bexley North,1181.0,102.0,113.0,17.0,3.0,83.4,7.2,8.0,1.2,0.2
Bidwill,911.0,465.0,3.0,3.0,3.0,65.8,33.6,0.2,0.2,0.2
Birchgrove,474.0,525.0,274.0,7.0,13.0,36.7,40.6,21.2,0.5,1.0
Birmingham Gardens,654.0,22.0,38.0,0.0,5.0,91.0,3.1,5.3,0.0,0.7
Birrong,865.0,58.0,23.0,4.0,36.0,87.7,5.9,2.3,0.4,3.7
Blackalls Park,952.0,56.0,18.0,0.0,3.0,92.5,5.4,1.7,0.0,0.3
Blackbutt,714.0,191.0,108.0,0.0,11.0,69.7,18.7,10.5,0.0,1.1
Blackett,980.0,89.0,14.0,0.0,0.0,90.5,8.2,1.3,0.0,0.0
Blacksmiths,581.0,27.0,56.0,116.0,6.0,73.9,3.4,7.1,14.8,0.8
Blacktown,10359.0,1482.0,1121.0,31.0,68.0,79.3,11.3,8.6,0.2,0.5
Blackwall,594.0,106.0,27.0,15.0,4.0,79.6,14.2,3.6,2.0,0.5
Blairmount,72.0,25.0,0.0,0.0,3.0,72.0,25.0,0.0,0.0,3.0
Blakehurst,1626.0,45.0,65.0,22.0,22.0,91.3,2.5,3.7,1.2,1.2
Blaxland,2311.0,106.0,20.0,6.0,17.0,93.9,4.3,0.8,0.2,0.7
Blue Bay,239.0,99.0,57.0,8.0,0.0,59.3,24.6,14.1,2.0,0.0
Blue Haven,1588.0,22.0,3.0,0.0,4.0,98.2,1.4,0.2,0.0,0.2
Bolton Point,627.0,107.0,29.0,0.0,6.0,81.5,13.9,3.8,0.0,0.8
Bondi,408.0,653.0,3076.0,77.0,21.0,9.6,15.4,72.6,1.8,0.5
Bondi Beach,305.0,575.0,4506.0,19.0,70.0,5.6,10.5,82.3,0.3,1.3
Bondi Junction,267.0,1015.0,2352.0,15.0,66.0,7.2,27.3,63.3,0.4,1.8
Bonnet Bay,712.0,0.0,0.0,0.0,3.0,99.6,0.0,0.0,0.0,0.4
Bonnyrigg,1892.0,476.0,68.0,4.0,24.0,76.8,19.3,2.8,0.2,1.0
Bonnyrigg Heights,1774.0,29.0,0.0,0.0,5.0,98.1,1.6,0.0,0.0,0.3
Booker Bay,364.0,211.0,58.0,3.0,0.0,57.2,33.2,9.1,0.5,0.0
Boolaroo,467.0,0.0,13.0,4.0,0.0,96.5,0.0,2.7,0.8,0.0
Booragul,460.0,46.0,10.0,0.0,38.0,83.0,8.3,1.8,0.0,6.9
Bossley Park,3866.0,143.0,16.0,3.0,16.0,95.6,3.5,0.4,0.1,0.4
Botany,1283.0,658.0,701.0,41.0,25.0,47.4,24.3,25.9,1.5,0.9
Bow Bowing,476.0,19.0,0.0,0.0,0.0,96.2,3.8,0.0,0.0,0.0
Bradbury,2741.0,235.0,88.0,4.0,22.0,88.7,7.6,2.8,0.1,0.7
Broadmeadow,505.0,92.0,54.0,9.0,5.0,75.9,13.8,8.1,1.4,0.8
Bronte,897.0,429.0,1483.0,21.0,45.0,31.2,14.9,51.6,0.7,1.6
Brookvale,596.0,81.0,205.0,6.0,3.0,66.9,9.1,23.0,0.7,0.3
Budgewoi,1175.0,64.0,56.0,32.0,8.0,88.0,4.8,4.2,2.4,0.6
Buff Point,1157.0,27.0,3.0,129.0,17.0,86.8,2.0,0.2,9.7,1.3
Bulli,1591.0,190.0,210.0,25.0,3.0,78.8,9.4,10.4,1.2,0.1
Burwood,1721.0,361.0,2094.0,35.0,31.0,40.6,8.5,49.4,0.8,0.7
Burwood Heights,222.0,18.0,5.0,0.0,29.0,81.0,6.6,1.8,0.0,10.6
Busby,1163.0,71.0,49.0,3.0,0.0,90.4,5.5,3.8,0.2,0.0
Cabarita,218.0,91.0,133.0,0.0,4.0,48.9,20.4,29.8,0.0,0.9
Cabramatta,2275.0,1251.0,2772.0,25.0,44.0,35.7,19.6,43.5,0.4,0.7
Cabramatta West,1801.0,84.0,15.0,6.0,24.0,93.3,4.4,0.8,0.3,1.2
Cambridge Gardens,683.0,3.0,0.0,0.0,0.0,99.6,0.4,0.0,0.0,0.0
Cambridge Park,1996.0,115.0,9.0,3.0,18.0,93.2,5.4,0.4,0.1,0.8
Camden,947.0,150.0,108.0,20.0,0.0,77.3,12.2,8.8,1.6,0.0
Camden South,1474.0,84.0,5.0,0.0,0.0,94.3,5.4,0.3,0.0,0.0
Cammeray,772.0,363.0,1715.0,21.0,11.0,26.8,12.6,59.5,0.7,0.4
Campbelltown,2838.0,468.0,376.0,5.0,21.0,76.5,12.6,10.1,0.1,0.6
Camperdown,120.0,841.0,752.0,35.0,11.0,6.8,47.8,42.8,2.0,0.6
Campsie,2456.0,624.0,4116.0,28.0,56.0,33.7,8.6,56.5,0.4,0.8
Canada Bay,285.0,72.0,116.0,0.0,5.0,59.6,15.1,24.3,0.0,1.0
Canley Heights,2611.0,186.0,26.0,20.0,11.0,91.5,6.5,0.9,0.7,0.4
Canley Vale,1755.0,469.0,806.0,262.0,20.0,53.0,14.2,24.3,7.9,0.6
Canterbury,1083.0,65.0,721.0,31.0,36.0,55.9,3.4,37.2,1.6,1.9
Canton Beach,428.0,20.0,6.0,96.0,0.0,77.8,3.6,1.1,17.5,0.0
Cardiff,1821.0,108.0,104.0,11.0,0.0,89.1,5.3,5.1,0.5,0.0
Cardiff Heights,585.0,10.0,77.0,0.0,4.0,86.5,1.5,11.4,0.0,0.6
Cardiff South,902.0,51.0,65.0,7.0,3.0,87.7,5.0,6.3,0.7,0.3
Caringbah,4928.0,1495.0,1513.0,15.0,18.0,61.8,18.8,19.0,0.2,0.2
Carlingford,5466.0,562.0,470.0,13.0,16.0,83.7,8.6,7.2,0.2,0.2
Carlton,1965.0,146.0,1332.0,38.0,13.0,56.2,4.2,38.1,1.1,0.4
Carramar,495.0,193.0,488.0,7.0,23.0,41.0,16.0,40.5,0.6,1.9
Carrington,539.0,166.0,31.0,3.0,0.0,72.9,22.5,4.2,0.4,0.0
Carss Park,355.0,55.0,17.0,3.0,5.0,81.6,12.6,3.9,0.7,1.1
Cartwright,553.0,102.0,237.0,0.0,4.0,61.7,11.4,26.5,0.0,0.4
Castle Cove,702.0,104.0,6.0,4.0,19.0,84.1,12.5,0.7,0.5,2.3
Castle Hill,8299.0,1132.0,498.0,5.0,161.0,82.2,11.2,4.9,0.0,1.6
Castlecrag,935.0,10.0,5.0,0.0,11.0,97.3,1.0,0.5,0.0,1.1
Casula,2797.0,728.0,91.0,5.0,17.0,76.9,20.0,2.5,0.1,0.5
Caves Beach,1282.0,143.0,21.0,23.0,5.0,87.0,9.7,1.4,1.6,0.3
Cecil Hills,1470.0,75.0,0.0,0.0,0.0,95.1,4.9,0.0,0.0,0.0
Centennial Park,112.0,210.0,834.0,0.0,0.0,9.7,18.2,72.1,0.0,0.0
Charlestown,3631.0,589.0,254.0,6.0,13.0,80.8,13.1,5.7,0.1,0.3
Charmhaven,803.0,3.0,4.0,3.0,0.0,98.8,0.4,0.5,0.4,0.0
Chatswood,1649.0,284.0,1926.0,13.0,41.0,42.1,7.3,49.2,0.3,1.0
Chatswood West,1655.0,150.0,1149.0,0.0,19.0,55.7,5.0,38.6,0.0,0.6
Cheltenham,629.0,12.0,3.0,0.0,10.0,96.2,1.8,0.5,0.0,1.5
Cherrybrook,4650.0,777.0,201.0,0.0,21.0,82.3,13.8,3.6,0.0,0.4
Chester Hill,2768.0,325.0,214.0,19.0,20.0,82.7,9.7,6.4,0.6,0.6
Chifley,737.0,131.0,217.0,3.0,4.0,67.5,12.0,19.9,0.3,0.4
Chippendale,5.0,349.0,1166.0,53.0,8.0,0.3,22.1,73.8,3.4,0.5
Chipping Norton,2373.0,185.0,272.0,9.0,16.0,83.1,6.5,9.5,0.3,0.6
Chiswick,211.0,27.0,345.0,3.0,7.0,35.6,4.6,58.2,0.5,1.2
Chittaway Bay,673.0,21.0,5.0,0.0,0.0,96.3,3.0,0.7,0.0,0.0
Chittaway Point,281.0,6.0,4.0,0.0,0.0,96.6,2.1,1.4,0.0,0.0
Church Point,408.0,3.0,0.0,0.0,0.0,99.3,0.7,0.0,0.0,0.0
Claremont Meadows,1015.0,45.0,0.0,0.0,4.0,95.4,4.2,0.0,0.0,0.4
Claymore,277.0,708.0,3.0,0.0,27.0,27.3,69.8,0.3,0.0,2.7
Clontarf,528.0,32.0,11.0,0.0,0.0,92.5,5.6,1.9,0.0,0.0
Clovelly,476.0,553.0,809.0,35.0,5.0,25.3,29.4,43.1,1.9,0.3
Coal Point,622.0,0.0,5.0,3.0,3.0,98.3,0.0,0.8,0.5,0.5
Coledale,304.0,16.0,12.0,3.0,0.0,90.7,4.8,3.6,0.9,0.0
Collaroy,3264.0,241.0,1285.0,29.0,13.0,67.5,5.0,26.6,0.6,0.3
Colyton,2562.0,36.0,57.0,3.0,29.0,95.3,1.3,2.1,0.1,1.1
Como,1173.0,69.0,13.0,12.0,0.0,92.6,5.4,1.0,0.9,0.0
Concord,3529.0,333.0,779.0,32.0,32.0,75.0,7.1,16.6,0.7,0.7
Concord West,1665.0,81.0,170.0,16.0,22.0,85.2,4.1,8.7,0.8,1.1
Condell Park,2279.0,445.0,110.0,12.0,12.0,79.7,15.6,3.8,0.4,0.4
Coniston,400.0,109.0,242.0,10.0,5.0,52.2,14.2,31.6,1.3,0.7
Connells Point,846.0,146.0,0.0,3.0,3.0,84.8,14.6,0.0,0.3,0.3
Coogee,783.0,690.0,4748.0,52.0,127.0,12.2,10.8,74.2,0.8,2.0
Cooks Hill,332.0,449.0,448.0,7.0,5.0,26.8,36.2,36.1,0.6,0.4
Copacabana,932.0,18.0,19.0,3.0,5.0,95.4,1.8,1.9,0.3,0.5
Cordeaux Heights,1352.0,43.0,3.0,0.0,4.0,96.4,3.1,0.2,0.0,0.3
Corrimal,2515.0,502.0,856.0,29.0,6.0,64.4,12.8,21.9,0.7,0.2
Cranebrook,3609.0,415.0,16.0,0.0,33.0,88.6,10.2,0.4,0.0,0.8
Cremorne,922.0,822.0,3407.0,12.0,133.0,17.4,15.5,64.3,0.2,2.5
Cremorne Point,84.0,80.0,772.0,0.0,10.0,8.9,8.5,81.6,0.0,1.1
Cringila,724.0,9.0,54.0,3.0,3.0,91.3,1.1,6.8,0.4,0.4
Cromer,1868.0,215.0,284.0,5.0,6.0,78.6,9.0,11.9,0.2,0.3
Cronulla,1745.0,442.0,5746.0,30.0,59.0,21.8,5.5,71.6,0.4,0.7
Croudace Bay,148.0,4.0,3.0,0.0,0.0,95.5,2.6,1.9,0.0,0.0
Crows Nest,282.0,681.0,680.0,24.0,8.0,16.8,40.7,40.6,1.4,0.5
Croydon,2126.0,389.0,605.0,60.0,34.0,66.1,12.1,18.8,1.9,1.1
Croydon Park,2297.0,587.0,1005.0,14.0,36.0,58.3,14.9,25.5,0.4,0.9
Curl Curl,500.0,25.0,133.0,10.0,0.0,74.9,3.7,19.9,1.5,0.0
Currans Hill,1368.0,52.0,3.0,0.0,3.0,95.9,3.6,0.2,0.0,0.2
Daceyville,51.0,386.0,129.0,0.0,9.0,8.9,67.1,22.4,0.0,1.6
Daleys Point,123.0,10.0,89.0,0.0,0.0,55.4,4.5,40.1,0.0,0.0
Dapto,3443.0,305.0,253.0,9.0,7.0,85.7,7.6,6.3,0.2,0.2
Darling Point,112.0,200.0,1929.0,0.0,17.0,5.0,8.9,85.4,0.0,0.8
Darlinghurst,46.0,1102.0,3523.0,46.0,150.0,0.9,22.6,72.4,0.9,3.1
Darlington,0.0,631.0,158.0,14.0,4.0,0.0,78.2,19.6,1.7,0.5
Davidson,776.0,7.0,6.0,0.0,0.0,98.4,0.9,0.8,0.0,0.0
Davistown,667.0,56.0,32.0,3.0,11.0,86.7,7.3,4.2,0.4,1.4
Dawes Point,5.0,57.0,56.0,0.0,0.0,4.2,48.3,47.5,0.0,0.0
Dean Park,920.0,9.0,3.0,6.0,0.0,98.1,1.0,0.3,0.6,0.0
Dee Why,1716.0,330.0,5385.0,11.0,38.0,22.9,4.4,72.0,0.1,0.5
Denistone,1015.0,127.0,17.0,0.0,8.0,87.0,10.9,1.5,0.0,0.7
Denistone East,602.0,71.0,4.0,3.0,4.0,88.0,10.4,0.6,0.4,0.6
Denistone West,217.0,0.0,0.0,0.0,19.0,91.9,0.0,0.0,0.0,8.1
Dharruk,846.0,22.0,0.0,0.0,3.0,97.1,2.5,0.0,0.0,0.3
Dolans Bay,345.0,15.0,0.0,0.0,0.0,95.8,4.2,0.0,0.0,0.0
Dolls Point,149.0,74.0,400.0,3.0,16.0,23.2,11.5,62.3,0.5,2.5
Doonside,3931.0,204.0,74.0,10.0,8.0,93.0,4.8,1.8,0.2,0.2
Double Bay,346.0,105.0,1078.0,3.0,24.0,22.2,6.7,69.3,0.2,1.5
Dover Heights,846.0,126.0,198.0,5.0,24.0,70.6,10.5,16.5,0.4,2.0
Drummoyne,1553.0,634.0,2397.0,29.0,70.0,33.2,13.5,51.2,0.6,1.5
Dudley,753.0,51.0,12.0,3.0,11.0,90.7,6.1,1.4,0.4,1.3
Dulwich Hill,1878.0,616.0,2530.0,108.0,28.0,36.4,11.9,49.0,2.1,0.5
Dundas,2031.0,825.0,795.0,8.0,8.0,55.4,22.5,21.7,0.2,0.2
Dundas Valley,1608.0,425.0,479.0,0.0,16.0,63.6,16.8,18.9,0.0,0.6
Dural,912.0,170.0,137.0,66.0,21.0,69.8,13.0,10.5,5.1,1.6
Eagle Vale,1577.0,121.0,0.0,0.0,3.0,92.7,7.1,0.0,0.0,0.2
Earlwood,4885.0,358.0,494.0,71.0,59.0,83.3,6.1,8.4,1.2,1.0
East Gosford,787.0,558.0,242.0,6.0,7.0,49.2,34.9,15.1,0.4,0.4
East Hills,782.0,122.0,54.0,6.0,11.0,80.2,12.5,5.5,0.6,1.1
East Killara,914.0,0.0,7.0,0.0,3.0,98.9,0.0,0.8,0.0,0.3
East Lindfield,1064.0,11.0,83.0,0.0,3.0,91.6,0.9,7.1,0.0,0.3
East Ryde,753.0,17.0,9.0,0.0,13.0,95.1,2.1,1.1,0.0,1.6
Eastern Creek,173.0,0.0,8.0,0.0,3.0,94.0,0.0,4.3,0.0,1.6
Eastlakes,675.0,140.0,1887.0,7.0,12.0,24.8,5.1,69.3,0.3,0.4
Eastwood,3286.0,531.0,1249.0,33.0,4.0,64.4,10.4,24.5,0.6,0.1
Edensor Park,2268.0,255.0,6.0,0.0,10.0,89.3,10.0,0.2,0.0,0.4
Edgecliff,67.0,264.0,1200.0,0.0,6.0,4.4,17.2,78.1,0.0,0.4
Edgeworth,2452.0,242.0,61.0,3.0,10.0,88.6,8.7,2.2,0.1,0.4
Elanora Heights,1162.0,14.0,54.0,3.0,3.0,94.0,1.1,4.4,0.2,0.2
Elderslie,861.0,43.0,21.0,41.0,0.0,89.1,4.5,2.2,4.2,0.0
Eleebana,1835.0,93.0,19.0,0.0,0.0,94.2,4.8,1.0,0.0,0.0
Elermore Vale,1360.0,287.0,5.0,0.0,5.0,82.1,17.3,0.3,0.0,0.3
Elizabeth Bay,10.0,15.0,2830.0,14.0,63.0,0.3,0.5,96.5,0.5,2.1
Emerton,578.0,102.0,46.0,0.0,12.0,78.3,13.8,6.2,0.0,1.6
Empire Bay,541.0,20.0,0.0,3.0,7.0,94.7,3.5,0.0,0.5,1.2
Emu Heights,1006.0,8.0,9.0,3.0,9.0,97.2,0.8,0.9,0.3,0.9
Emu Plains,2426.0,155.0,237.0,103.0,14.0,82.7,5.3,8.1,3.5,0.5
Enfield,585.0,134.0,158.0,8.0,7.0,65.6,15.0,17.7,0.9,0.8
Engadine,5231.0,332.0,466.0,22.0,4.0,86.4,5.5,7.7,0.4,0.1
Enmore,276.0,671.0,598.0,82.0,18.0,16.8,40.8,36.4,5.0,1.1
Epping,4300.0,500.0,1868.0,11.0,17.0,64.2,7.5,27.9,0.2,0.3
Erina,1025.0,328.0,85.0,6.0,445.0,54.3,17.4,4.5,0.3,23.6
Ermington,3170.0,252.0,287.0,0.0,20.0,85.0,6.8,7.7,0.0,0.5
Erskine Park,1950.0,11.0,0.0,0.0,3.0,99.3,0.6,0.0,0.0,0.2
Erskineville,117.0,1325.0,827.0,13.0,16.0,5.1,57.7,36.0,0.6,0.7
Eschol Park,813.0,39.0,0.0,0.0,16.0,93.7,4.5,0.0,0.0,1.8
Ettalong Beach,1257.0,394.0,218.0,47.0,16.0,65.1,20.4,11.3,2.4,0.8
Fairfield,2348.0,636.0,1751.0,18.0,45.0,48.9,13.3,36.5,0.4,0.9
Fairfield East,663.0,8.0,47.0,0.0,3.0,92.0,1.1,6.5,0.0,0.4
Fairfield Heights,1317.0,347.0,68.0,11.0,4.0,75.4,19.9,3.9,0.6,0.2
Fairfield West,2975.0,124.0,12.0,3.0,5.0,95.4,4.0,0.4,0.1,0.2
Fairlight,662.0,338.0,1443.0,13.0,28.0,26.7,13.6,58.1,0.5,1.1
Fairy Meadow,1738.0,333.0,502.0,154.0,5.0,63.6,12.2,18.4,5.6,0.2
Farmborough Heights,1181.0,12.0,13.0,0.0,4.0,97.6,1.0,1.1,0.0,0.3
Faulconbridge,1365.0,11.0,13.0,3.0,10.0,97.4,0.8,0.9,0.2,0.7
Fennell Bay,726.0,6.0,31.0,4.0,3.0,94.3,0.8,4.0,0.5,0.4
Figtree,2992.0,148.0,298.0,173.0,11.0,82.6,4.1,8.2,4.8,0.3
Five Dock,1718.0,397.0,746.0,38.0,49.0,58.3,13.5,25.3,1.3,1.7
Fletcher,226.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Flinders,607.0,303.0,4.0,0.0,0.0,66.4,33.2,0.4,0.0,0.0
Floraville,373.0,78.0,7.0,0.0,4.0,80.7,16.9,1.5,0.0,0.9
Forest Lodge,63.0,579.0,444.0,6.0,4.0,5.7,52.8,40.5,0.5,0.4
Forestville,2431.0,116.0,157.0,0.0,19.0,89.3,4.3,5.8,0.0,0.7
Forresters Beach,744.0,32.0,28.0,3.0,9.0,91.2,3.9,3.4,0.4,1.1
Frenchs Forest,3883.0,115.0,36.0,5.0,22.0,95.6,2.8,0.9,0.1,0.5
Garden Suburb,521.0,3.0,5.0,3.0,0.0,97.9,0.6,0.9,0.6,0.0
Gateshead,1250.0,78.0,27.0,9.0,8.0,91.1,5.7,2.0,0.7,0.6
Georges Hall,2368.0,139.0,15.0,6.0,8.0,93.4,5.5,0.6,0.2,0.3
Georgetown,713.0,23.0,82.0,7.0,0.0,86.4,2.8,9.9,0.8,0.0
Girraween,945.0,234.0,142.0,3.0,3.0,71.2,17.6,10.7,0.2,0.2
Gladesville,2401.0,321.0,1683.0,37.0,25.0,53.7,7.2,37.7,0.8,0.6
Glebe,366.0,2289.0,2358.0,38.0,81.0,7.1,44.6,45.9,0.7,1.6
Glen Alpine,1147.0,6.0,6.0,0.0,4.0,98.6,0.5,0.5,0.0,0.3
Glenbrook,1665.0,47.0,28.0,0.0,9.0,95.2,2.7,1.6,0.0,0.5
Glendale,1070.0,49.0,72.0,3.0,8.0,89.0,4.1,6.0,0.2,0.7
Glendenning,1364.0,9.0,0.0,0.0,5.0,99.0,0.7,0.0,0.0,0.4
Glenfield,1554.0,516.0,38.0,5.0,102.0,70.2,23.3,1.7,0.2,4.6
Glenhaven,1558.0,85.0,10.0,3.0,7.0,93.7,5.1,0.6,0.2,0.4
Glenmore Park,4838.0,296.0,39.0,3.0,72.0,92.2,5.6,0.7,0.1,1.4
Glenning Valley,211.0,12.0,0.0,0.0,4.0,93.0,5.3,0.0,0.0,1.8
Glenwood,2810.0,57.0,0.0,3.0,5.0,97.7,2.0,0.0,0.1,0.2
Gordon,1609.0,124.0,355.0,0.0,16.0,76.5,5.9,16.9,0.0,0.8
Gorokan,2660.0,388.0,102.0,3.0,6.0,84.2,12.3,3.2,0.1,0.2
Gosford,184.0,137.0,875.0,20.0,18.0,14.9,11.1,70.9,1.6,1.5
Granville,5125.0,376.0,1204.0,44.0,58.0,75.3,5.5,17.7,0.6,0.9
Grays Point,859.0,16.0,4.0,0.0,7.0,97.0,1.8,0.5,0.0,0.8
Green Point,1697.0,281.0,110.0,260.0,7.0,72.1,11.9,4.7,11.0,0.3
Green Valley,2568.0,468.0,47.0,0.0,64.0,81.6,14.9,1.5,0.0,2.0
Greenacre,4941.0,1046.0,431.0,14.0,35.0,76.4,16.2,6.7,0.2,0.5
Greenfield Park,1369.0,100.0,0.0,0.0,3.0,93.0,6.8,0.0,0.0,0.2
Greenwich,1074.0,66.0,777.0,0.0,19.0,55.5,3.4,40.1,0.0,1.0
Greystanes,6809.0,196.0,71.0,10.0,46.0,95.5,2.7,1.0,0.1,0.6
Guildford,2612.0,323.0,683.0,21.0,24.0,71.3,8.8,18.6,0.6,0.7
Guildford West,1183.0,145.0,23.0,14.0,8.0,86.2,10.6,1.7,1.0,0.6
Gwynneville,475.0,81.0,227.0,4.0,3.0,60.1,10.3,28.7,0.5,0.4
Gymea,1502.0,483.0,667.0,20.0,9.0,56.0,18.0,24.9,0.7,0.3
Gymea Bay,1946.0,124.0,7.0,5.0,0.0,93.5,6.0,0.3,0.2,0.0
Haberfield,1781.0,331.0,236.0,46.0,9.0,74.1,13.8,9.8,1.9,0.4
