,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Armidale,4950.0,1391.0,595.0,2061.0,3428.0,642.0,1953.0,22.0,3.0,1475.0,41.0,2129.0,25.8,7.2,3.1,10.7,17.8,3.3,10.2,0.1,0.0,7.7,0.2,11.1,10085
Guyra,137.0,79.0,57.0,231.0,202.0,62.0,285.0,0.0,0.0,235.0,7.0,248.0,8.6,5.0,3.6,14.5,12.7,3.9,17.9,0.0,0.0,14.8,0.4,15.6,11822
South Guyra,14.0,13.0,8.0,36.0,26.0,13.0,54.0,0.0,0.0,48.0,0.0,44.0,5.3,4.9,3.0,13.6,9.8,4.9,20.4,0.0,0.0,18.1,0.0,16.6,13586
Llangothlin,16.0,12.0,3.0,12.0,21.0,0.0,9.0,0.0,0.0,16.0,0.0,18.0,16.2,12.1,3.0,12.1,21.2,0.0,9.1,0.0,0.0,16.2,0.0,18.2,12364
Ben Lomond (NSW),21.0,12.0,10.0,10.0,15.0,7.0,22.0,0.0,0.0,15.0,0.0,20.0,16.5,9.4,7.9,7.9,11.8,5.5,17.3,0.0,0.0,11.8,0.0,15.7,10286
Black Mountain (NSW),59.0,25.0,3.0,23.0,45.0,4.0,27.0,0.0,0.0,20.0,0.0,27.0,24.2,10.2,1.2,9.4,18.4,1.6,11.1,0.0,0.0,8.2,0.0,11.1,10387
Thalgarrah,38.0,19.0,6.0,27.0,11.0,0.0,11.0,0.0,0.0,12.0,0.0,10.0,28.4,14.2,4.5,20.1,8.2,0.0,8.2,0.0,0.0,9.0,0.0,7.5,13810
Hillgrove (Armidale Regional - NSW),22.0,16.0,3.0,26.0,11.0,3.0,26.0,0.0,0.0,13.0,0.0,20.0,16.2,11.8,2.2,19.1,8.1,2.2,19.1,0.0,0.0,9.6,0.0,14.7,11907
Ebor,15.0,5.0,9.0,24.0,17.0,8.0,32.0,0.0,0.0,12.0,0.0,24.0,10.3,3.4,6.2,16.4,11.6,5.5,21.9,0.0,0.0,8.2,0.0,16.4,11372
Uralla (NSW),290.0,182.0,82.0,363.0,244.0,68.0,381.0,0.0,0.0,263.0,7.0,293.0,13.0,8.1,3.7,16.2,10.9,3.0,17.0,0.0,0.0,11.7,0.3,13.1,14051
Saumarez Ponds,90.0,34.0,12.0,58.0,32.0,7.0,40.0,0.0,0.0,21.0,0.0,25.0,26.9,10.1,3.6,17.3,9.6,2.1,11.9,0.0,0.0,6.3,0.0,7.5,13495
Invergowrie,173.0,65.0,23.0,74.0,65.0,16.0,68.0,0.0,3.0,26.0,0.0,63.0,29.5,11.1,3.9,12.6,11.1,2.7,11.6,0.0,0.5,4.4,0.0,10.8,11983
Arding,39.0,28.0,3.0,27.0,19.0,9.0,17.0,0.0,0.0,16.0,0.0,14.0,23.2,16.7,1.8,16.1,11.3,5.4,10.1,0.0,0.0,9.5,0.0,8.3,10075
Castle Doyle,45.0,16.0,3.0,23.0,17.0,3.0,10.0,0.0,0.0,5.0,0.0,11.0,32.1,11.4,2.1,16.4,12.1,2.1,7.1,0.0,0.0,3.6,0.0,7.9,10846
Dangarsleigh,31.0,13.0,0.0,22.0,16.0,3.0,17.0,0.0,0.0,5.0,0.0,20.0,24.2,10.2,0.0,17.2,12.5,2.3,13.3,0.0,0.0,3.9,0.0,15.6,11200
Kellys Plains,44.0,12.0,5.0,23.0,9.0,7.0,14.0,0.0,0.0,3.0,0.0,16.0,35.2,9.6,4.0,18.4,7.2,5.6,11.2,0.0,0.0,2.4,0.0,12.8,12087
Yarrowyck,17.0,18.0,7.0,15.0,13.0,3.0,10.0,0.0,0.0,14.0,0.0,19.0,14.5,15.4,6.0,12.8,11.1,2.6,8.5,0.0,0.0,12.0,0.0,16.2,14492
Kentucky,26.0,11.0,3.0,18.0,19.0,5.0,23.0,0.0,0.0,16.0,0.0,15.0,18.6,7.9,2.1,12.9,13.6,3.6,16.4,0.0,0.0,11.4,0.0,10.7,12102
Kentucky South,16.0,17.0,7.0,14.0,6.0,3.0,9.0,0.0,0.0,5.0,0.0,12.0,19.0,20.2,8.3,16.7,7.1,3.6,10.7,0.0,0.0,6.0,0.0,14.3,12103
Balala,14.0,7.0,3.0,13.0,8.0,0.0,15.0,0.0,0.0,14.0,0.0,35.0,13.0,6.5,2.8,12.0,7.4,0.0,13.9,0.0,0.0,13.0,0.0,32.4,10144
Rocky River (Uralla - NSW),41.0,15.0,5.0,40.0,30.0,10.0,31.0,0.0,0.0,23.0,0.0,29.0,17.7,6.5,2.2,17.2,12.9,4.3,13.4,0.0,0.0,9.9,0.0,12.5,13390
Walcha,229.0,156.0,51.0,314.0,229.0,78.0,350.0,0.0,0.0,258.0,5.0,356.0,10.9,7.4,2.4,14.9,10.9,3.7,16.6,0.0,0.0,12.3,0.2,16.9,14093
Woolbrook,13.0,7.0,3.0,9.0,13.0,5.0,24.0,0.0,0.0,24.0,0.0,25.0,9.9,5.3,2.3,6.9,9.9,3.8,18.3,0.0,0.0,18.3,0.0,19.1,14400
Nowendoc,21.0,12.0,3.0,12.0,18.0,3.0,21.0,0.0,0.0,15.0,0.0,26.0,17.5,10.0,2.5,10.0,15.0,2.5,17.5,0.0,0.0,12.5,0.0,21.7,13026
Yarrowitch,16.0,7.0,3.0,17.0,12.0,3.0,16.0,0.0,0.0,34.0,0.0,36.0,11.0,4.8,2.1,11.6,8.2,2.1,11.0,0.0,0.0,23.3,0.0,24.7,14491
Stonehenge (NSW),13.0,11.0,3.0,24.0,11.0,4.0,22.0,0.0,0.0,13.0,0.0,13.0,12.3,10.4,2.8,22.6,10.4,3.8,20.8,0.0,0.0,12.3,0.0,12.3,13665
Glen Innes,446.0,363.0,173.0,712.0,487.0,196.0,915.0,3.0,0.0,764.0,19.0,768.0,8.9,7.2,3.5,14.2,9.7,3.9,18.3,0.1,0.0,15.2,0.4,15.3,11649
Emmaville,28.0,25.0,17.0,53.0,38.0,11.0,99.0,0.0,0.0,79.0,5.0,84.0,6.4,5.7,3.9,12.2,8.7,2.5,22.8,0.0,0.0,18.2,1.1,19.3,11414
Deepwater (NSW),28.0,29.0,9.0,63.0,40.0,10.0,85.0,0.0,0.0,56.0,3.0,62.0,6.9,7.2,2.2,15.6,9.9,2.5,21.0,0.0,0.0,13.9,0.7,15.3,11231
Dundee,20.0,6.0,3.0,17.0,15.0,4.0,24.0,0.0,0.0,11.0,0.0,13.0,15.7,4.7,2.4,13.4,11.8,3.1,18.9,0.0,0.0,8.7,0.0,10.2,11314
Red Range,18.0,12.0,5.0,14.0,17.0,3.0,30.0,0.0,0.0,35.0,0.0,16.0,11.7,7.8,3.2,9.1,11.0,1.9,19.5,0.0,0.0,22.7,0.0,10.4,13333
Shannon Vale,15.0,12.0,4.0,23.0,16.0,8.0,22.0,0.0,0.0,13.0,0.0,29.0,10.1,8.1,2.7,15.4,10.7,5.4,14.8,0.0,0.0,8.7,0.0,19.5,13526
Glencoe (NSW),15.0,10.0,5.0,17.0,16.0,7.0,23.0,0.0,0.0,24.0,0.0,29.0,9.6,6.4,3.2,10.8,10.2,4.5,14.6,0.0,0.0,15.3,0.0,18.5,11657
Inverell,871.0,571.0,304.0,1553.0,1086.0,370.0,1669.0,16.0,0.0,1313.0,25.0,1249.0,9.4,6.1,3.3,16.7,11.7,4.0,18.0,0.2,0.0,14.1,0.3,13.5,11981
Ashford (NSW),23.0,30.0,25.0,75.0,47.0,20.0,113.0,0.0,0.0,101.0,0.0,108.0,4.1,5.4,4.5,13.5,8.4,3.6,20.3,0.0,0.0,18.1,0.0,19.4,10099
Tingha,18.0,28.0,12.0,88.0,45.0,33.0,152.0,0.0,0.0,155.0,3.0,130.0,2.7,4.1,1.8,13.0,6.7,4.9,22.5,0.0,0.0,22.9,0.4,19.2,13874
Yetman,14.0,8.0,0.0,20.0,18.0,7.0,33.0,0.0,0.0,17.0,0.0,25.0,9.2,5.2,0.0,13.1,11.8,4.6,21.6,0.0,0.0,11.1,0.0,16.3,14514
Bundarra,39.0,42.0,11.0,97.0,46.0,29.0,97.0,0.0,0.0,102.0,0.0,83.0,7.0,7.5,2.0,17.3,8.2,5.2,17.3,0.0,0.0,18.2,0.0,14.8,10671
Gilgai,31.0,27.0,26.0,115.0,53.0,22.0,112.0,0.0,0.0,75.0,0.0,99.0,5.3,4.6,4.5,19.8,9.1,3.8,19.3,0.0,0.0,12.9,0.0,17.0,11618
Bonshaw (NSW),8.0,3.0,3.0,4.0,15.0,7.0,14.0,0.0,0.0,12.0,0.0,16.0,8.4,3.2,3.2,4.2,15.8,7.4,14.7,0.0,0.0,12.6,0.0,16.8,10473
Coolatai,15.0,4.0,4.0,8.0,8.0,6.0,18.0,0.0,0.0,14.0,0.0,24.0,15.0,4.0,4.0,8.0,8.0,6.0,18.0,0.0,0.0,14.0,0.0,24.0,11028
Bukkulla,15.0,11.0,3.0,18.0,10.0,7.0,16.0,0.0,0.0,10.0,0.0,9.0,14.0,10.3,2.8,16.8,9.3,6.5,15.0,0.0,0.0,9.3,0.0,8.4,10648
Oakwood (NSW),9.0,12.0,3.0,31.0,18.0,7.0,24.0,0.0,0.0,17.0,0.0,18.0,6.6,8.8,2.2,22.6,13.1,5.1,17.5,0.0,0.0,12.4,0.0,13.1,13061
Nullamanna,13.0,8.0,4.0,23.0,7.0,4.0,29.0,0.0,0.0,19.0,5.0,8.0,10.4,6.4,3.2,18.4,5.6,3.2,23.2,0.0,0.0,15.2,4.0,6.4,13032
Elsmore,21.0,33.0,12.0,30.0,32.0,11.0,27.0,0.0,0.0,20.0,0.0,93.0,7.3,11.5,4.2,10.4,11.1,3.8,9.4,0.0,0.0,6.9,0.0,32.3,11408
Bingara,86.0,71.0,43.0,156.0,104.0,46.0,238.0,0.0,0.0,235.0,4.0,244.0,6.8,5.6,3.4,12.3,8.2,3.6,18.8,0.0,0.0,18.6,0.3,19.3,10365
Gravesend,31.0,21.0,7.0,32.0,27.0,10.0,62.0,0.0,0.0,27.0,0.0,39.0,12.3,8.3,2.8,12.6,10.7,4.0,24.5,0.0,0.0,10.7,0.0,15.4,11742
Auburn Vale,16.0,10.0,0.0,15.0,9.0,0.0,12.0,0.0,0.0,9.0,0.0,8.0,20.3,12.7,0.0,19.0,11.4,0.0,15.2,0.0,0.0,11.4,0.0,10.1,10107
Gum Flat,21.0,9.0,4.0,30.0,20.0,5.0,35.0,0.0,0.0,11.0,0.0,26.0,12.4,5.3,2.4,17.6,11.8,2.9,20.6,0.0,0.0,6.5,0.0,15.3,11796
Delungra,37.0,25.0,17.0,81.0,59.0,18.0,99.0,0.0,0.0,74.0,0.0,82.0,7.3,5.0,3.4,16.1,11.7,3.6,19.6,0.0,0.0,14.7,0.0,16.3,11234
Warialda,89.0,74.0,36.0,188.0,131.0,58.0,251.0,0.0,0.0,217.0,6.0,222.0,6.9,5.7,2.8,14.5,10.1,4.5,19.4,0.0,0.0,16.8,0.5,17.2,14149
Yallaroi,3.0,10.0,3.0,10.0,14.0,3.0,23.0,0.0,0.0,3.0,0.0,11.0,3.5,11.8,3.5,11.8,16.5,3.5,27.1,0.0,0.0,3.5,0.0,12.9,14456
Warialda Rail,8.0,7.0,0.0,12.0,11.0,6.0,18.0,0.0,0.0,22.0,3.0,6.0,9.0,7.9,0.0,13.5,12.4,6.7,20.2,0.0,0.0,24.7,3.4,6.7,14150
Upper Horton,6.0,8.0,7.0,12.0,21.0,9.0,18.0,0.0,0.0,16.0,0.0,29.0,4.3,5.8,5.1,8.7,15.2,6.5,13.0,0.0,0.0,11.6,0.0,21.0,14029
Tabulam,35.0,19.0,9.0,49.0,47.0,25.0,73.0,3.0,0.0,72.0,0.0,59.0,8.7,4.7,2.2,12.2,11.7,6.2,18.1,0.7,0.0,17.9,0.0,14.6,13723
Tenterfield,314.0,223.0,106.0,549.0,333.0,131.0,603.0,0.0,0.0,441.0,9.0,595.0,9.2,6.5,3.1,16.1,9.8,3.8,17.7,0.0,0.0,12.9,0.3,17.4,13792
Drake,30.0,15.0,11.0,41.0,27.0,18.0,40.0,0.0,0.0,41.0,0.0,75.0,9.7,4.9,3.6,13.3,8.8,5.8,13.0,0.0,0.0,13.3,0.0,24.4,11290
Liston,9.0,9.0,7.0,14.0,15.0,3.0,29.0,0.0,0.0,8.0,0.0,18.0,7.9,7.9,6.1,12.3,13.2,2.6,25.4,0.0,0.0,7.0,0.0,15.8,12346
Legume,4.0,10.0,6.0,23.0,14.0,12.0,25.0,0.0,0.0,11.0,0.0,19.0,3.3,8.1,4.9,18.7,11.4,9.8,20.3,0.0,0.0,8.9,0.0,15.4,12296
Urbenville,14.0,12.0,4.0,32.0,30.0,4.0,50.0,0.0,0.0,37.0,0.0,76.0,5.2,4.4,1.5,11.8,11.1,1.5,18.5,0.0,0.0,13.7,0.0,28.0,14057
Woodenbong,28.0,26.0,9.0,53.0,25.0,10.0,67.0,0.0,0.0,52.0,0.0,41.0,9.0,8.3,2.9,17.0,8.0,3.2,21.5,0.0,0.0,16.7,0.0,13.1,14382
Jennings,5.0,7.0,3.0,18.0,17.0,5.0,32.0,0.0,0.0,25.0,0.0,13.0,3.8,5.3,2.3,13.7,13.0,3.8,24.4,0.0,0.0,19.1,0.0,9.9,12008
Moree,782.0,467.0,190.0,1027.0,824.0,319.0,1237.0,8.0,0.0,885.0,37.0,1384.0,10.7,6.4,2.6,14.0,11.3,4.4,16.9,0.1,0.0,12.1,0.5,18.9,12722
Pallamallawa,23.0,30.0,0.0,61.0,37.0,11.0,57.0,0.0,0.0,46.0,0.0,78.0,6.6,8.6,0.0,17.4,10.6,3.1,16.3,0.0,0.0,13.1,0.0,22.3,13131
Garah,22.0,20.0,3.0,35.0,31.0,12.0,48.0,0.0,0.0,28.0,0.0,38.0,8.7,7.9,1.2,13.9,12.3,4.8,19.0,0.0,0.0,11.1,0.0,15.1,11586
Boomi,11.0,12.0,0.0,23.0,28.0,7.0,25.0,0.0,0.0,20.0,0.0,28.0,7.0,7.6,0.0,14.6,17.7,4.4,15.8,0.0,0.0,12.7,0.0,17.7,10489
Ashley,13.0,15.0,9.0,46.0,35.0,9.0,39.0,0.0,0.0,31.0,0.0,42.0,5.0,5.7,3.4,17.6,13.4,3.4,14.9,0.0,0.0,11.9,0.0,16.1,10100
Boggabilla,55.0,31.0,14.0,62.0,73.0,49.0,137.0,0.0,0.0,145.0,11.0,150.0,7.5,4.2,1.9,8.4,9.9,6.7,18.7,0.0,0.0,19.8,1.5,20.4,10441
North Star,21.0,17.0,3.0,15.0,23.0,8.0,25.0,0.0,0.0,21.0,0.0,30.0,12.1,9.8,1.7,8.6,13.2,4.6,14.4,0.0,0.0,12.1,0.0,17.2,13008
Mungindi (NSW),41.0,28.0,8.0,54.0,53.0,29.0,84.0,0.0,0.0,45.0,3.0,68.0,9.6,6.6,1.9,12.7,12.5,6.8,19.8,0.0,0.0,10.6,0.7,16.0,12843
Gurley,16.0,16.0,7.0,20.0,25.0,3.0,43.0,0.0,0.0,15.0,0.0,28.0,8.7,8.7,3.8,10.9,13.6,1.6,23.4,0.0,0.0,8.2,0.0,15.2,11817
Biniguy,21.0,0.0,0.0,16.0,15.0,7.0,25.0,0.0,0.0,17.0,0.0,23.0,17.9,0.0,0.0,13.7,12.8,6.0,21.4,0.0,0.0,14.5,0.0,19.7,10369
Bellata,26.0,15.0,5.0,29.0,24.0,3.0,73.0,0.0,0.0,44.0,0.0,36.0,10.4,6.0,2.0,11.6,9.6,1.2,29.3,0.0,0.0,17.7,0.0,14.5,10266
Narrabri,674.0,361.0,201.0,935.0,639.0,274.0,1044.0,5.0,3.0,796.0,22.0,907.0,11.2,6.0,3.3,15.6,10.6,4.6,17.4,0.1,0.0,13.2,0.4,15.1,12903
Wee Waa,128.0,79.0,22.0,209.0,181.0,67.0,315.0,0.0,0.0,197.0,3.0,345.0,8.0,5.0,1.4,13.1,11.4,4.2,19.8,0.0,0.0,12.4,0.2,21.7,14211
Merah North,20.0,11.0,0.0,19.0,33.0,0.0,25.0,0.0,0.0,9.0,0.0,14.0,15.2,8.3,0.0,14.4,25.0,0.0,18.9,0.0,0.0,6.8,0.0,10.6,12572
Maules Creek,17.0,8.0,4.0,12.0,17.0,0.0,13.0,0.0,0.0,7.0,0.0,12.0,21.0,9.9,4.9,14.8,21.0,0.0,16.0,0.0,0.0,8.6,0.0,14.8,12526
Baan Baa,4.0,9.0,3.0,16.0,9.0,6.0,30.0,0.0,0.0,16.0,0.0,19.0,3.2,7.3,2.4,12.9,7.3,4.8,24.2,0.0,0.0,12.9,0.0,15.3,10120
Tarriaro,11.0,5.0,3.0,11.0,13.0,4.0,17.0,0.0,0.0,14.0,0.0,10.0,11.2,5.1,3.1,11.2,13.3,4.1,17.3,0.0,0.0,14.3,0.0,10.2,13770
Bohena Creek,4.0,7.0,8.0,18.0,14.0,9.0,23.0,0.0,0.0,13.0,0.0,25.0,2.8,5.0,5.7,12.8,9.9,6.4,16.3,0.0,0.0,9.2,0.0,17.7,10444
Jacks Creek,3.0,8.0,3.0,26.0,19.0,3.0,21.0,0.0,0.0,18.0,0.0,6.0,3.0,7.9,3.0,25.7,18.8,3.0,20.8,0.0,0.0,17.8,0.0,5.9,11993
Gwabegar,7.0,0.0,0.0,12.0,11.0,8.0,23.0,0.0,0.0,39.0,0.0,20.0,5.3,0.0,0.0,9.2,8.4,6.1,17.6,0.0,0.0,29.8,0.0,15.3,11823
Gunnedah,792.0,492.0,225.0,1288.0,832.0,324.0,1392.0,11.0,0.0,969.0,32.0,1079.0,10.3,6.4,2.9,16.8,10.9,4.2,18.2,0.1,0.0,12.7,0.4,14.1,11812
Curlewis (NSW),24.0,39.0,18.0,102.0,63.0,18.0,155.0,0.0,0.0,118.0,7.0,68.0,4.0,6.5,3.0,16.9,10.4,3.0,25.7,0.0,0.0,19.5,1.2,11.3,11169
Boggabri,49.0,44.0,21.0,150.0,80.0,35.0,205.0,0.0,0.0,141.0,0.0,170.0,5.4,4.9,2.3,16.6,8.9,3.9,22.7,0.0,0.0,15.6,0.0,18.8,10442
Carroll,21.0,17.0,3.0,48.0,37.0,14.0,34.0,0.0,0.0,40.0,0.0,48.0,8.2,6.7,1.2,18.8,14.5,5.5,13.3,0.0,0.0,15.7,0.0,18.8,10832
Piallaway,12.0,12.0,3.0,15.0,14.0,4.0,17.0,0.0,0.0,9.0,0.0,17.0,10.9,10.9,2.7,13.6,12.7,3.6,15.5,0.0,0.0,8.2,0.0,15.5,13196
Breeza,15.0,9.0,8.0,8.0,8.0,3.0,29.0,0.0,0.0,33.0,0.0,14.0,11.6,7.0,6.2,6.2,6.2,2.3,22.5,0.0,0.0,25.6,0.0,10.9,10561
Caroona,8.0,7.0,4.0,21.0,19.0,8.0,45.0,0.0,0.0,28.0,0.0,22.0,5.1,4.4,2.5,13.3,12.0,5.1,28.5,0.0,0.0,17.7,0.0,13.9,10823
Spring Ridge,25.0,23.0,4.0,34.0,35.0,9.0,43.0,0.0,0.0,26.0,0.0,13.0,11.9,11.0,1.9,16.2,16.7,4.3,20.5,0.0,0.0,12.4,0.0,6.2,13619
Emerald Hill,10.0,10.0,0.0,23.0,4.0,3.0,22.0,0.0,0.0,7.0,0.0,23.0,10.0,10.0,0.0,23.0,4.0,3.0,22.0,0.0,0.0,7.0,0.0,23.0,11412
Mullaley,15.0,13.0,7.0,12.0,16.0,6.0,24.0,0.0,0.0,18.0,0.0,19.0,11.5,10.0,5.4,9.2,12.3,4.6,18.5,0.0,0.0,13.8,0.0,14.6,12820
Kelvin,13.0,12.0,9.0,30.0,12.0,0.0,18.0,0.0,0.0,20.0,0.0,22.0,9.2,8.5,6.3,21.1,8.5,0.0,12.7,0.0,0.0,14.1,0.0,15.5,12091
Werris Creek,55.0,49.0,30.0,161.0,118.0,40.0,292.0,3.0,0.0,276.0,3.0,251.0,4.2,3.8,2.3,12.4,9.1,3.1,22.4,0.2,0.0,21.2,0.2,19.3,14238
Quirindi,240.0,177.0,75.0,436.0,311.0,138.0,526.0,5.0,0.0,364.0,13.0,413.0,8.6,6.4,2.7,15.7,11.2,5.0,18.9,0.2,0.0,13.1,0.5,14.8,13301
Wallabadah,24.0,40.0,16.0,51.0,47.0,8.0,60.0,0.0,0.0,50.0,0.0,45.0,6.7,11.2,4.5,14.3,13.2,2.2,16.8,0.0,0.0,14.0,0.0,12.6,14098
Currabubula,22.0,19.0,15.0,43.0,30.0,8.0,52.0,0.0,0.0,33.0,0.0,36.0,8.1,7.0,5.5,15.8,11.0,2.9,19.0,0.0,0.0,12.1,0.0,13.2,11172
Quipolly,18.0,14.0,4.0,30.0,9.0,3.0,32.0,0.0,0.0,13.0,0.0,19.0,12.6,9.8,2.8,21.0,6.3,2.1,22.4,0.0,0.0,9.1,0.0,13.3,13300
Willow Tree,11.0,14.0,6.0,31.0,29.0,11.0,44.0,0.0,0.0,53.0,0.0,54.0,4.2,5.4,2.3,11.9,11.2,4.2,16.9,0.0,0.0,20.4,0.0,20.8,14305
Blackville,3.0,16.0,0.0,10.0,16.0,5.0,11.0,0.0,0.0,10.0,0.0,20.0,3.2,17.2,0.0,10.8,17.2,5.4,11.8,0.0,0.0,10.8,0.0,21.5,10398
Hillvue,653.0,470.0,240.0,848.0,629.0,237.0,860.0,10.0,0.0,493.0,8.0,462.0,12.8,9.2,4.7,16.6,12.3,4.6,16.8,0.2,0.0,9.7,0.2,9.0,11914
Calala,486.0,319.0,133.0,519.0,364.0,141.0,459.0,0.0,0.0,251.0,14.0,231.0,16.2,10.6,4.4,17.3,12.1,4.7,15.3,0.0,0.0,8.4,0.5,7.7,10748
Kingswood (Tamworth Regional - NSW),117.0,85.0,27.0,150.0,91.0,30.0,128.0,0.0,0.0,71.0,0.0,97.0,14.4,10.5,3.3,18.5,11.2,3.7,15.8,0.0,0.0,8.7,0.0,11.9,12164
South Tamworth,306.0,314.0,176.0,839.0,581.0,220.0,1012.0,19.0,0.0,783.0,22.0,882.0,5.7,5.9,3.3,15.7,10.9,4.1,19.0,0.4,0.0,14.7,0.4,16.6,13597
West Tamworth,285.0,210.0,133.0,538.0,451.0,189.0,755.0,12.0,0.0,685.0,22.0,719.0,6.9,5.1,3.2,13.1,11.0,4.6,18.4,0.3,0.0,16.7,0.5,17.5,14252
North Tamworth,683.0,338.0,148.0,584.0,547.0,132.0,572.0,3.0,0.0,474.0,18.0,645.0,16.0,7.9,3.5,13.7,12.8,3.1,13.4,0.1,0.0,11.1,0.4,15.1,13011
Tamworth,16.0,12.0,8.0,24.0,23.0,7.0,16.0,0.0,0.0,12.0,0.0,31.0,10.2,7.6,5.1,15.3,14.6,4.5,10.2,0.0,0.0,7.6,0.0,19.7,13746
East Tamworth,1084.0,399.0,160.0,539.0,524.0,163.0,526.0,4.0,0.0,363.0,18.0,454.0,24.8,9.1,3.7,12.3,12.0,3.7,12.0,0.1,0.0,8.3,0.4,10.4,11363
Oxley Vale,354.0,193.0,125.0,477.0,301.0,119.0,529.0,9.0,0.0,293.0,12.0,370.0,12.4,6.7,4.4,16.7,10.5,4.2,18.5,0.3,0.0,10.2,0.4,12.9,13111
Nemingha,58.0,47.0,36.0,110.0,54.0,22.0,88.0,0.0,0.0,48.0,0.0,59.0,10.6,8.6,6.6,20.0,9.8,4.0,16.0,0.0,0.0,8.7,0.0,10.7,12926
Westdale (Tamworth Regional - NSW),174.0,132.0,61.0,392.0,242.0,77.0,389.0,3.0,0.0,171.0,8.0,251.0,8.8,6.7,3.1,19.9,12.3,3.9,19.8,0.2,0.0,8.7,0.4,12.8,14259
Kootingal,174.0,120.0,82.0,331.0,152.0,74.0,319.0,4.0,0.0,197.0,3.0,159.0,10.4,7.2,4.9,19.9,9.1,4.4,19.1,0.2,0.0,11.8,0.2,9.5,12194
Duri,46.0,26.0,15.0,93.0,58.0,20.0,70.0,0.0,0.0,37.0,0.0,53.0,10.9,6.1,3.5,22.0,13.7,4.7,16.5,0.0,0.0,8.7,0.0,12.5,11332
Bithramere,16.0,9.0,11.0,19.0,27.0,3.0,25.0,0.0,0.0,9.0,0.0,26.0,10.6,6.0,7.3,12.6,17.9,2.0,16.6,0.0,0.0,6.0,0.0,17.2,10381
Winton (NSW),22.0,14.0,0.0,28.0,16.0,0.0,30.0,0.0,0.0,20.0,3.0,35.0,12.0,7.6,0.0,15.2,8.7,0.0,16.3,0.0,0.0,10.9,1.6,19.0,14336
Rushes Creek,5.0,11.0,0.0,14.0,3.0,0.0,21.0,0.0,0.0,14.0,0.0,16.0,5.9,12.9,0.0,16.5,3.5,0.0,24.7,0.0,0.0,16.5,0.0,18.8,13445
Somerton (NSW),27.0,14.0,8.0,32.0,23.0,9.0,31.0,0.0,0.0,25.0,0.0,51.0,11.9,6.2,3.5,14.2,10.2,4.0,13.7,0.0,0.0,11.1,0.0,22.6,13572
Bective,30.0,14.0,3.0,33.0,17.0,12.0,32.0,0.0,0.0,8.0,0.0,14.0,17.6,8.2,1.8,19.4,10.0,7.1,18.8,0.0,0.0,4.7,0.0,8.2,10245
Attunga,50.0,32.0,14.0,95.0,47.0,13.0,97.0,0.0,0.0,45.0,3.0,58.0,10.8,6.9,3.0,20.6,10.2,2.8,21.0,0.0,0.0,9.7,0.6,12.6,10105
Garthowen,18.0,15.0,0.0,26.0,12.0,8.0,27.0,0.0,0.0,18.0,0.0,8.0,13.5,11.3,0.0,19.5,9.0,6.0,20.3,0.0,0.0,13.5,0.0,6.0,11593
Limbri,9.0,4.0,0.0,18.0,12.0,4.0,19.0,0.0,0.0,10.0,0.0,16.0,9.5,4.2,0.0,18.9,12.6,4.2,20.0,0.0,0.0,10.5,0.0,16.8,12327
Tintinhull,39.0,19.0,17.0,70.0,32.0,10.0,50.0,0.0,0.0,38.0,0.0,20.0,12.8,6.2,5.6,23.0,10.5,3.3,16.4,0.0,0.0,12.5,0.0,6.6,13879
Loomberah,64.0,44.0,14.0,81.0,45.0,17.0,51.0,0.0,0.0,25.0,0.0,39.0,15.6,10.7,3.4,19.7,10.9,4.1,12.4,0.0,0.0,6.1,0.0,9.5,12386
Moonbi,69.0,66.0,33.0,150.0,78.0,32.0,184.0,0.0,0.0,134.0,3.0,151.0,7.4,7.1,3.5,16.1,8.4,3.4,19.8,0.0,0.0,14.4,0.3,16.2,12699
Bendemeer,46.0,22.0,11.0,62.0,35.0,12.0,99.0,0.0,0.0,44.0,0.0,71.0,11.0,5.3,2.6,14.8,8.4,2.9,23.6,0.0,0.0,10.5,0.0,16.9,10289
Watsons Creek (NSW),8.0,3.0,0.0,15.0,7.0,5.0,7.0,0.0,0.0,16.0,0.0,31.0,7.9,3.0,0.0,14.9,6.9,5.0,6.9,0.0,0.0,15.8,0.0,30.7,14188
Halls Creek (NSW),8.0,11.0,5.0,13.0,10.0,0.0,15.0,0.0,0.0,11.0,0.0,18.0,7.9,10.9,5.0,12.9,9.9,0.0,14.9,0.0,0.0,10.9,0.0,17.8,11834
Barraba,86.0,54.0,36.0,168.0,117.0,42.0,209.0,0.0,0.0,257.0,4.0,220.0,7.1,4.5,3.0,14.0,9.7,3.5,17.4,0.0,0.0,21.4,0.3,18.3,10206
Upper Manilla,10.0,14.0,3.0,13.0,12.0,0.0,19.0,0.0,0.0,14.0,0.0,19.0,9.4,13.2,2.8,12.3,11.3,0.0,17.9,0.0,0.0,13.2,0.0,17.9,14037
