,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Brayton,19.0,20.0,4.0,32.0,10.0,0.0,17.0,0.0,0.0,15.0,0.0,31.0,12.2,12.8,2.6,20.5,6.4,0.0,10.9,0.0,0.0,9.6,0.0,19.9,10554
Greenwich Park,13.0,11.0,7.0,11.0,15.0,6.0,12.0,0.0,0.0,7.0,0.0,10.0,13.1,11.1,7.1,11.1,15.2,6.1,12.1,0.0,0.0,7.1,0.0,10.1,11771
Tallong,89.0,71.0,23.0,139.0,68.0,20.0,98.0,0.0,0.0,56.0,4.0,63.0,13.8,11.0,3.6,21.6,10.5,3.1,15.2,0.0,0.0,8.7,0.6,9.8,13733
Carrick (NSW),11.0,10.0,8.0,22.0,10.0,3.0,12.0,0.0,0.0,5.0,3.0,22.0,10.4,9.4,7.5,20.8,9.4,2.8,11.3,0.0,0.0,4.7,2.8,20.8,10828
Brisbane Grove,20.0,3.0,4.0,27.0,20.0,5.0,12.0,0.0,0.0,10.0,0.0,7.0,18.7,2.8,3.7,25.2,18.7,4.7,11.2,0.0,0.0,9.3,0.0,6.5,10577
Binda,29.0,21.0,3.0,25.0,23.0,10.0,39.0,0.0,0.0,27.0,0.0,48.0,13.2,9.5,1.4,11.4,10.5,4.5,17.7,0.0,0.0,12.3,0.0,21.8,10363
Towrang,12.0,11.0,0.0,28.0,12.0,6.0,21.0,0.0,0.0,8.0,0.0,22.0,8.5,7.7,0.0,19.7,8.5,4.2,14.8,0.0,0.0,5.6,0.0,15.5,13930
Mummel,13.0,8.0,0.0,21.0,16.0,3.0,10.0,0.0,0.0,7.0,0.0,13.0,14.6,9.0,0.0,23.6,18.0,3.4,11.2,0.0,0.0,7.9,0.0,14.6,12835
Baw Baw (NSW),42.0,21.0,10.0,36.0,21.0,3.0,25.0,0.0,0.0,15.0,3.0,26.0,20.4,10.2,4.9,17.5,10.2,1.5,12.1,0.0,0.0,7.3,1.5,12.6,10234
Boxers Creek,15.0,19.0,10.0,43.0,8.0,10.0,21.0,0.0,0.0,30.0,0.0,30.0,7.7,9.7,5.1,22.1,4.1,5.1,10.8,0.0,0.0,15.4,0.0,15.4,10541
Gundary,35.0,30.0,10.0,41.0,20.0,4.0,29.0,0.0,0.0,13.0,0.0,19.0,16.4,14.1,4.7,19.2,9.4,1.9,13.6,0.0,0.0,6.1,0.0,8.9,11806
Yass,849.0,419.0,179.0,774.0,724.0,194.0,711.0,7.0,0.0,444.0,15.0,705.0,16.4,8.1,3.5,14.9,14.0,3.7,13.7,0.1,0.0,8.6,0.3,13.6,14493
Bookham,21.0,12.0,4.0,24.0,14.0,12.0,17.0,0.0,0.0,11.0,0.0,25.0,13.7,7.8,2.6,15.7,9.2,7.8,11.1,0.0,0.0,7.2,0.0,16.3,10478
