,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Tibooburra,18.0,7.0,24.0,3.0,3.0,32.7,12.7,43.6,5.5,5.5,13860
Pooncarie,12.0,19.0,14.0,0.0,0.0,26.7,42.2,31.1,0.0,0.0,13242
Ivanhoe (NSW),48.0,6.0,34.0,0.0,7.0,50.5,6.3,35.8,0.0,7.4,11991
Baradine,162.0,54.0,88.0,0.0,10.0,51.6,17.2,28.0,0.0,3.2,10190
Coonabarabran,515.0,306.0,373.0,13.0,38.0,41.4,24.6,30.0,1.0,3.1,11043
Binnaway,138.0,46.0,57.0,4.0,16.0,52.9,17.6,21.8,1.5,6.1,10372
Mendooran,118.0,64.0,35.0,3.0,8.0,51.8,28.1,15.4,1.3,3.5,12570
Coolah,192.0,110.0,135.0,5.0,12.0,42.3,24.2,29.7,1.1,2.6,11024
Bugaldie,39.0,12.0,12.0,5.0,5.0,53.4,16.4,16.4,6.8,6.8,10646
Ulamambri,43.0,23.0,11.0,0.0,0.0,55.8,29.9,14.3,0.0,0.0,14001
Tambar Springs,44.0,14.0,18.0,3.0,3.0,53.7,17.1,22.0,3.7,3.7,13743
Merrygoen,25.0,5.0,8.0,0.0,0.0,65.8,13.2,21.1,0.0,0.0,12587
Dubbo,3983.0,4731.0,4500.0,180.0,385.0,28.9,34.3,32.7,1.3,2.8,11296
Terramungamine,26.0,45.0,17.0,0.0,0.0,29.5,51.1,19.3,0.0,0.0,13801
Brocklehurst,54.0,41.0,20.0,0.0,3.0,45.8,34.7,16.9,0.0,2.5,10583
Wongarbon,73.0,132.0,23.0,0.0,7.0,31.1,56.2,9.8,0.0,3.0,14373
Elong Elong,32.0,12.0,8.0,0.0,0.0,61.5,23.1,15.4,0.0,0.0,11406
Gollan,21.0,10.0,5.0,0.0,0.0,58.3,27.8,13.9,0.0,0.0,11694
Eumungerie,48.0,49.0,11.0,0.0,0.0,44.4,45.4,10.2,0.0,0.0,11456
Minore,34.0,17.0,3.0,0.0,0.0,63.0,31.5,5.6,0.0,0.0,12641
Ballimore,27.0,23.0,9.0,0.0,3.0,43.5,37.1,14.5,0.0,4.8,10161
Gilgandra,469.0,288.0,365.0,16.0,46.0,39.6,24.3,30.8,1.4,3.9,11619
Collie (NSW),32.0,22.0,18.0,0.0,3.0,42.7,29.3,24.0,0.0,4.0,10975
Armatree,25.0,9.0,9.0,0.0,0.0,58.1,20.9,20.9,0.0,0.0,10084
Curban,23.0,10.0,8.0,0.0,0.0,56.1,24.4,19.5,0.0,0.0,11166
Tooraweenah,50.0,25.0,15.0,0.0,4.0,53.2,26.6,16.0,0.0,4.3,13911
Narromine,611.0,522.0,467.0,12.0,55.0,36.7,31.3,28.0,0.7,3.3,12911
Burroway,18.0,7.0,8.0,3.0,4.0,45.0,17.5,20.0,7.5,10.0,10715
Trangie,189.0,103.0,134.0,3.0,22.0,41.9,22.8,29.7,0.7,4.9,13932
Tomingley,53.0,27.0,18.0,0.0,4.0,52.0,26.5,17.6,0.0,3.9,13896
Wellington (NSW),542.0,354.0,566.0,15.0,65.0,35.1,23.0,36.7,1.0,4.2,14221
Mumbil,55.0,30.0,16.0,0.0,5.0,51.9,28.3,15.1,0.0,4.7,12832
Stuart Town,34.0,29.0,15.0,0.0,0.0,43.6,37.2,19.2,0.0,0.0,13680
Euchareena,35.0,9.0,12.0,0.0,0.0,62.5,16.1,21.4,0.0,0.0,11452
Neurea,24.0,12.0,3.0,0.0,0.0,61.5,30.8,7.7,0.0,0.0,12933
Mount Arthur,33.0,16.0,3.0,0.0,3.0,60.0,29.1,5.5,0.0,5.5,12747
Maryvale (NSW),23.0,26.0,9.0,0.0,0.0,39.7,44.8,15.5,0.0,0.0,12517
Geurie,109.0,114.0,33.0,0.0,3.0,42.1,44.0,12.7,0.0,1.2,11608
Montefiores,87.0,73.0,42.0,0.0,3.0,42.4,35.6,20.5,0.0,1.5,12685
Greta (NSW),274.0,445.0,227.0,4.0,23.0,28.2,45.7,23.3,0.4,2.4,11778
Lower Belford,53.0,54.0,20.0,0.0,4.0,40.5,41.2,15.3,0.0,3.1,12401
Belford,15.0,32.0,6.0,0.0,0.0,28.3,60.4,11.3,0.0,0.0,10258
Branxton,236.0,304.0,118.0,0.0,16.0,35.0,45.1,17.5,0.0,2.4,10549
Pokolbin,137.0,114.0,63.0,4.0,10.0,41.8,34.8,19.2,1.2,3.0,13236
Keinbah,18.0,18.0,6.0,0.0,3.0,40.0,40.0,13.3,0.0,6.7,12084
Lovedale,69.0,67.0,15.0,5.0,0.0,44.2,42.9,9.6,3.2,0.0,12396
East Branxton,111.0,255.0,224.0,6.0,22.0,18.0,41.3,36.2,1.0,3.6,11346
North Rothbury,75.0,156.0,60.0,0.0,12.0,24.8,51.5,19.8,0.0,4.0,13004
Leconfield,21.0,19.0,8.0,0.0,0.0,43.8,39.6,16.7,0.0,0.0,12291
Cessnock,1675.0,1370.0,2019.0,54.0,197.0,31.5,25.8,38.0,1.0,3.7,10878
Nulkaba,79.0,93.0,26.0,0.0,9.0,38.2,44.9,12.6,0.0,4.3,13031
Aberdare,261.0,298.0,334.0,8.0,24.0,28.2,32.2,36.1,0.9,2.6,10006
Kearsley,106.0,124.0,45.0,0.0,8.0,37.5,43.8,15.9,0.0,2.8,12080
Bellbird,246.0,260.0,172.0,3.0,25.0,34.8,36.8,24.4,0.4,3.5,10268
Bellbird Heights,118.0,110.0,45.0,0.0,10.0,41.7,38.9,15.9,0.0,3.5,10269
Ellalong,110.0,192.0,46.0,0.0,13.0,30.5,53.2,12.7,0.0,3.6,11398
Kitchener,69.0,65.0,17.0,0.0,6.0,43.9,41.4,10.8,0.0,3.8,12174
Abernethy,29.0,51.0,7.0,0.0,4.0,31.9,56.0,7.7,0.0,4.4,10011
Mulbring,87.0,91.0,17.0,0.0,3.0,43.9,46.0,8.6,0.0,1.5,12813
Buchanan (NSW),21.0,29.0,11.0,0.0,0.0,34.4,47.5,18.0,0.0,0.0,10628
Millfield,113.0,153.0,39.0,0.0,4.0,36.6,49.5,12.6,0.0,1.3,12620
Paxton,97.0,161.0,47.0,0.0,4.0,31.4,52.1,15.2,0.0,1.3,13162
Black Hill (NSW),85.0,62.0,22.0,0.0,3.0,49.4,36.0,12.8,0.0,1.7,10385
Mount Vincent,64.0,47.0,10.0,0.0,7.0,50.0,36.7,7.8,0.0,5.5,12799
Brunkerville,28.0,29.0,11.0,0.0,0.0,41.2,42.6,16.2,0.0,0.0,10620
Quorrobolong,62.0,77.0,13.0,0.0,3.0,40.0,49.7,8.4,0.0,1.9,13302
Congewai,31.0,28.0,3.0,4.0,3.0,44.9,40.6,4.3,5.8,4.3,11007
Mount View,20.0,13.0,4.0,0.0,4.0,48.8,31.7,9.8,0.0,9.8,12798
Paynes Crossing,15.0,10.0,3.0,0.0,3.0,48.4,32.3,9.7,0.0,9.7,13163
Laguna,38.0,14.0,10.0,0.0,3.0,58.5,21.5,15.4,0.0,4.6,12237
Wollombi,38.0,26.0,16.0,0.0,4.0,45.2,31.0,19.0,0.0,4.8,14355
Watagan,31.0,18.0,7.0,0.0,0.0,55.4,32.1,12.5,0.0,0.0,14180
Murrays Run,27.0,23.0,12.0,0.0,0.0,43.5,37.1,19.4,0.0,0.0,12855
Bucketty,27.0,27.0,4.0,0.0,3.0,44.3,44.3,6.6,0.0,4.9,10634
Clarence Town,238.0,347.0,79.0,0.0,11.0,35.3,51.4,11.7,0.0,1.6,10920
Dungog,372.0,219.0,206.0,13.0,27.0,44.4,26.2,24.6,1.6,3.2,11320
Bendolba,27.0,15.0,26.0,0.0,0.0,39.7,22.1,38.2,0.0,0.0,10291
Paterson (NSW),121.0,135.0,38.0,0.0,9.0,39.9,44.6,12.5,0.0,3.0,13159
Martins Creek,45.0,63.0,16.0,0.0,3.0,35.4,49.6,12.6,0.0,2.4,12511
Torryburn (Dungog - NSW),28.0,23.0,10.0,4.0,0.0,43.1,35.4,15.4,6.2,0.0,13920
Vacy,79.0,113.0,15.0,3.0,3.0,37.1,53.1,7.0,1.4,1.4,14063
East Gresford,49.0,30.0,32.0,0.0,5.0,42.2,25.9,27.6,0.0,4.3,11350
Gresford,49.0,28.0,16.0,0.0,3.0,51.0,29.2,16.7,0.0,3.1,11777
Glen Martin,26.0,21.0,8.0,0.0,0.0,47.3,38.2,14.5,0.0,0.0,11650
Wallarobba,32.0,25.0,6.0,0.0,0.0,50.8,39.7,9.5,0.0,0.0,14111
Hilldale,25.0,24.0,9.0,0.0,4.0,40.3,38.7,14.5,0.0,6.5,11906
Glen Oak,30.0,58.0,14.0,0.0,0.0,29.4,56.9,13.7,0.0,0.0,11652
Glen William,13.0,14.0,11.0,0.0,0.0,34.2,36.8,28.9,0.0,0.0,11654
Brookfield (NSW),27.0,32.0,12.0,0.0,0.0,38.0,45.1,16.9,0.0,0.0,10596
Abermain,289.0,346.0,155.0,7.0,18.0,35.5,42.5,19.0,0.9,2.2,10010
Weston (NSW),430.0,477.0,356.0,3.0,41.0,32.9,36.5,27.2,0.2,3.1,14262
Kurri Kurri,716.0,714.0,780.0,8.0,81.0,31.1,31.1,33.9,0.3,3.5,12221
Stanford Merthyr,95.0,85.0,35.0,0.0,6.0,43.0,38.5,15.8,0.0,2.7,13647
Pelaw Main,142.0,125.0,114.0,4.0,12.0,35.8,31.5,28.7,1.0,3.0,13177
Heddon Greta,189.0,349.0,130.0,3.0,20.0,27.4,50.5,18.8,0.4,2.9,11888
Neath,100.0,48.0,41.0,0.0,4.0,51.8,24.9,21.2,0.0,2.1,12917
Cliftleigh,42.0,24.0,165.0,0.0,3.0,17.9,10.3,70.5,0.0,1.3,10932
Sawyers Gully,57.0,79.0,13.0,4.0,8.0,35.4,49.1,8.1,2.5,5.0,13499
Hunterview,183.0,428.0,346.0,3.0,18.0,18.7,43.8,35.4,0.3,1.8,11955
Redbournberry,28.0,34.0,13.0,0.0,3.0,35.9,43.6,16.7,0.0,3.8,13337
Singleton (NSW),637.0,548.0,712.0,20.0,47.0,32.4,27.9,36.3,1.0,2.4,13549
Whittingham,57.0,43.0,22.0,0.0,3.0,45.6,34.4,17.6,0.0,2.4,14279
Gowrie (Singleton - NSW),33.0,57.0,6.0,0.0,0.0,34.4,59.4,6.2,0.0,0.0,11729
Glenridding,43.0,25.0,29.0,3.0,0.0,43.0,25.0,29.0,3.0,0.0,11676
Singleton Heights,368.0,613.0,609.0,8.0,39.0,22.5,37.4,37.2,0.5,2.4,13550
Wattle Ponds,99.0,199.0,18.0,0.0,3.0,31.0,62.4,5.6,0.0,0.9,14193
McDougalls Hill,28.0,22.0,12.0,0.0,0.0,45.2,35.5,19.4,0.0,0.0,12541
Darlington (Singleton - NSW),43.0,54.0,42.0,0.0,4.0,30.1,37.8,29.4,0.0,2.8,11213
Broke (NSW),57.0,90.0,25.0,0.0,3.0,32.6,51.4,14.3,0.0,1.7,10590
Putty,14.0,14.0,3.0,0.0,3.0,41.2,41.2,8.8,0.0,8.8,13279
Howes Valley,14.0,8.0,3.0,0.0,0.0,56.0,32.0,12.0,0.0,0.0,11948
Bulga (NSW),37.0,44.0,26.0,0.0,4.0,33.3,39.6,23.4,0.0,3.6,10651
Jerrys Plains,22.0,43.0,30.0,0.0,0.0,23.2,45.3,31.6,0.0,0.0,12021
Maison Dieu,19.0,19.0,16.0,0.0,0.0,35.2,35.2,29.6,0.0,0.0,12448
Bridgman,24.0,32.0,12.0,0.0,4.0,33.3,44.4,16.7,0.0,5.6,10567
Mount Olive (Singleton - NSW),27.0,21.0,4.0,0.0,0.0,51.9,40.4,7.7,0.0,0.0,12781
Westbrook (NSW),23.0,14.0,0.0,0.0,0.0,62.2,37.8,0.0,0.0,0.0,14257
Reedy Creek (NSW),27.0,24.0,3.0,3.0,0.0,47.4,42.1,5.3,5.3,0.0,13342
Sedgefield,21.0,30.0,3.0,0.0,0.0,38.9,55.6,5.6,0.0,0.0,13514
Mitchells Flat,22.0,29.0,6.0,0.0,0.0,38.6,50.9,10.5,0.0,0.0,12651
Elderslie (Singleton - NSW),11.0,21.0,4.0,0.0,5.0,26.8,51.2,9.8,0.0,12.2,11392
Lambs Valley (Singleton - NSW),38.0,62.0,10.0,0.0,0.0,34.5,56.4,9.1,0.0,0.0,12263
Stanhope (NSW),20.0,17.0,4.0,0.0,0.0,48.8,41.5,9.8,0.0,0.0,13648
Glendon Brook,31.0,39.0,8.0,0.0,3.0,38.3,48.1,9.9,0.0,3.7,11661
Maitland (NSW),217.0,202.0,269.0,3.0,31.0,30.1,28.0,37.3,0.4,4.3,12449
South Maitland,65.0,47.0,51.0,0.0,4.0,38.9,28.1,30.5,0.0,2.4,13591
Gillieston Heights,227.0,423.0,396.0,16.0,29.0,20.8,38.8,36.3,1.5,2.7,11624
Louth Park,65.0,99.0,18.0,0.0,4.0,34.9,53.2,9.7,0.0,2.2,12395
Horseshoe Bend,48.0,53.0,41.0,0.0,4.0,32.9,36.3,28.1,0.0,2.7,11939
Oakhampton,33.0,14.0,13.0,4.0,3.0,49.3,20.9,19.4,6.0,4.5,13056
East Maitland,1431.0,1402.0,1646.0,60.0,121.0,30.7,30.1,35.3,1.3,2.6,11360
Metford,404.0,654.0,591.0,4.0,30.0,24.0,38.9,35.1,0.2,1.8,12592
Tenambit,376.0,324.0,362.0,3.0,26.0,34.5,29.7,33.2,0.3,2.4,13787
Raworth,141.0,253.0,160.0,0.0,7.0,25.1,45.1,28.5,0.0,1.2,13325
Morpeth,232.0,166.0,130.0,54.0,10.0,39.2,28.0,22.0,9.1,1.7,12727
Ashtonfield,460.0,664.0,335.0,0.0,23.0,31.0,44.8,22.6,0.0,1.6,10102
Chisholm (NSW),109.0,274.0,79.0,5.0,0.0,23.3,58.7,16.9,1.1,0.0,10909
Largs,203.0,314.0,104.0,6.0,11.0,31.8,49.2,16.3,0.9,1.7,12278
Bolwarra Heights,334.0,503.0,99.0,0.0,10.0,35.3,53.2,10.5,0.0,1.1,10451
Lorn,216.0,196.0,95.0,0.0,8.0,41.9,38.1,18.4,0.0,1.6,12389
Bolwarra (NSW),154.0,145.0,46.0,0.0,0.0,44.6,42.0,13.3,0.0,0.0,10450
Woodville (NSW),70.0,60.0,13.0,0.0,3.0,47.9,41.1,8.9,0.0,2.1,14398
Maitland Vale,16.0,18.0,5.0,0.0,0.0,41.0,46.2,12.8,0.0,0.0,12451
Rutherford,1044.0,1369.0,1655.0,60.0,197.0,24.1,31.7,38.3,1.4,4.6,13449
Aberglasslyn,320.0,772.0,616.0,7.0,30.0,18.3,44.2,35.3,0.4,1.7,10009
Luskintyre,27.0,26.0,6.0,0.0,0.0,45.8,44.1,10.2,0.0,0.0,12423
Lochinvar,101.0,125.0,26.0,3.0,3.0,39.1,48.4,10.1,1.2,1.2,12368
Windella,70.0,135.0,6.0,0.0,3.0,32.7,63.1,2.8,0.0,1.4,14317
Telarah,273.0,314.0,316.0,3.0,28.0,29.2,33.6,33.8,0.3,3.0,13780
Farley,35.0,22.0,9.0,0.0,5.0,49.3,31.0,12.7,0.0,7.0,11490
Bishops Bridge,31.0,38.0,4.0,0.0,0.0,42.5,52.1,5.5,0.0,0.0,10380
Thornton (NSW),750.0,1340.0,565.0,6.0,40.0,27.8,49.6,20.9,0.2,1.5,13851
Millers Forest,55.0,43.0,17.0,0.0,0.0,47.8,37.4,14.8,0.0,0.0,12618
Berry Park,16.0,10.0,9.0,0.0,0.0,45.7,28.6,25.7,0.0,0.0,10325
Anna Bay,591.0,421.0,311.0,6.0,38.0,43.2,30.8,22.8,0.4,2.8,10060
Boat Harbour (Port Stephens - NSW),142.0,104.0,77.0,0.0,3.0,43.6,31.9,23.6,0.0,0.9,10425
Bobs Farm,61.0,62.0,14.0,0.0,5.0,43.0,43.7,9.9,0.0,3.5,10429
One Mile (NSW),89.0,39.0,13.0,0.0,3.0,61.8,27.1,9.0,0.0,2.1,13085
Lemon Tree Passage,430.0,298.0,283.0,3.0,35.0,41.0,28.4,27.0,0.3,3.3,12300
Mallabula,128.0,122.0,98.0,0.0,4.0,36.4,34.7,27.8,0.0,1.1,12455
Tanilba Bay,477.0,367.0,304.0,9.0,37.0,39.9,30.7,25.5,0.8,3.1,13748
Salamander Bay,891.0,453.0,503.0,37.0,53.0,46.0,23.4,26.0,1.9,2.7,13463
Soldiers Point,259.0,139.0,171.0,4.0,17.0,43.9,23.6,29.0,0.7,2.9,13570
Corlette,936.0,560.0,464.0,3.0,40.0,46.7,28.0,23.2,0.1,2.0,11075
Taylors Beach (NSW),24.0,10.0,11.0,0.0,5.0,48.0,20.0,22.0,0.0,10.0,13777
Nelson Bay (NSW),948.0,542.0,785.0,8.0,57.0,40.5,23.2,33.5,0.3,2.4,12923
Fingal Bay,302.0,106.0,170.0,42.0,15.0,47.6,16.7,26.8,6.6,2.4,11518
Shoal Bay (NSW),269.0,136.0,230.0,20.0,19.0,39.9,20.2,34.1,3.0,2.8,13539
Raymond Terrace,1167.0,1474.0,1834.0,21.0,136.0,25.2,31.8,39.6,0.5,2.9,13327
Tomago,66.0,10.0,48.0,3.0,3.0,50.8,7.7,36.9,2.3,2.3,13889
Heatherbrae,61.0,25.0,35.0,0.0,115.0,25.8,10.6,14.8,0.0,48.7,11884
Eagleton,38.0,26.0,7.0,0.0,0.0,53.5,36.6,9.9,0.0,0.0,11342
Duns Creek,71.0,86.0,9.0,0.0,0.0,42.8,51.8,5.4,0.0,0.0,11326
Seaham,118.0,161.0,23.0,0.0,5.0,38.4,52.4,7.5,0.0,1.6,13510
Wallalong,91.0,183.0,18.0,0.0,5.0,30.6,61.6,6.1,0.0,1.7,14104
Brandy Hill,99.0,106.0,12.0,0.0,3.0,45.0,48.2,5.5,0.0,1.4,10548
Hinton,60.0,70.0,21.0,0.0,4.0,38.7,45.2,13.5,0.0,2.6,11916
Butterwick,17.0,21.0,3.0,0.0,0.0,41.5,51.2,7.3,0.0,0.0,10725
East Seaham,45.0,44.0,22.0,0.0,0.0,40.5,39.6,19.8,0.0,0.0,11362
Nelsons Plains,42.0,53.0,13.0,0.0,7.0,36.5,46.1,11.3,0.0,6.1,12924
Osterley (NSW),21.0,14.0,3.0,0.0,0.0,55.3,36.8,7.9,0.0,0.0,13099
Tea Gardens,702.0,202.0,210.0,119.0,33.0,55.5,16.0,16.6,9.4,2.6,13779
North Arm Cove,88.0,51.0,37.0,3.0,8.0,47.1,27.3,19.8,1.6,4.3,12979
Bundabah,27.0,16.0,5.0,0.0,0.0,56.2,33.3,10.4,0.0,0.0,10668
Pindimar,69.0,41.0,20.0,0.0,5.0,51.1,30.4,14.8,0.0,3.7,13211
Hawks Nest,258.0,66.0,180.0,0.0,26.0,48.7,12.5,34.0,0.0,4.9,11873
Karuah,254.0,149.0,121.0,7.0,17.0,46.4,27.2,22.1,1.3,3.1,12076
Medowie,796.0,1446.0,707.0,18.0,61.0,26.3,47.8,23.3,0.6,2.0,12554
Salt Ash,144.0,162.0,43.0,0.0,11.0,40.0,45.0,11.9,0.0,3.1,13467
Williamtown,174.0,61.0,30.0,0.0,22.0,60.6,21.3,10.5,0.0,7.7,14299
Twelve Mile Creek,20.0,12.0,33.0,3.0,3.0,28.2,16.9,46.5,4.2,4.2,13988
Swan Bay (Port Stephens - NSW),44.0,37.0,17.0,0.0,3.0,43.6,36.6,16.8,0.0,3.0,13704
Muswellbrook,1033.0,1358.0,1879.0,9.0,113.0,23.5,30.9,42.8,0.2,2.6,12868
Denman,242.0,221.0,176.0,18.0,31.0,35.2,32.1,25.6,2.6,4.5,11241
Gungal,29.0,34.0,18.0,3.0,10.0,30.9,36.2,19.1,3.2,10.6,11810
Martindale,27.0,13.0,13.0,5.0,3.0,44.3,21.3,21.3,8.2,4.9,12510
Castle Rock,18.0,9.0,21.0,0.0,3.0,35.3,17.6,41.2,0.0,5.9,10848
Aberdeen (NSW),268.0,266.0,204.0,4.0,21.0,35.1,34.9,26.7,0.5,2.8,10007
Wybong,12.0,3.0,22.0,0.0,0.0,32.4,8.1,59.5,0.0,0.0,14436
Sandy Hollow,18.0,25.0,18.0,0.0,0.0,29.5,41.0,29.5,0.0,0.0,13486
Muscle Creek,24.0,61.0,7.0,0.0,0.0,26.1,66.3,7.6,0.0,0.0,12867
McCullys Gap,31.0,42.0,9.0,0.0,0.0,37.8,51.2,11.0,0.0,0.0,12540
Scone,673.0,703.0,680.0,7.0,55.0,31.8,33.2,32.1,0.3,2.6,13503
Middle Brook,30.0,34.0,10.0,0.0,0.0,40.5,45.9,13.5,0.0,0.0,12600
Dartbrook,14.0,11.0,16.0,0.0,0.0,34.1,26.8,39.0,0.0,0.0,11217
Segenhoe,23.0,8.0,22.0,0.0,0.0,43.4,15.1,41.5,0.0,0.0,13517
Rouchel,13.0,11.0,17.0,0.0,0.0,31.7,26.8,41.5,0.0,0.0,13422
Murrurundi,161.0,123.0,115.0,0.0,6.0,39.8,30.4,28.4,0.0,1.5,12864
Blandford,42.0,28.0,12.0,0.0,0.0,51.2,34.1,14.6,0.0,0.0,10406
Wingen,28.0,43.0,20.0,0.0,0.0,30.8,47.3,22.0,0.0,0.0,14331
Parkville (NSW),36.0,46.0,17.0,0.0,0.0,36.4,46.5,17.2,0.0,0.0,13154
Upper Dartbrook,26.0,11.0,13.0,3.0,0.0,49.1,20.8,24.5,5.7,0.0,14022
Gundy,27.0,27.0,14.0,0.0,3.0,38.0,38.0,19.7,0.0,4.2,11809
Moonan Flat,20.0,17.0,7.0,0.0,0.0,45.5,38.6,15.9,0.0,0.0,12697
Niangala,25.0,10.0,12.0,0.0,3.0,50.0,20.0,24.0,0.0,6.0,12962
Merriwa (NSW),241.0,178.0,195.0,10.0,24.0,37.2,27.5,30.1,1.5,3.7,12585
Moobi,14.0,19.0,7.0,0.0,0.0,35.0,47.5,17.5,0.0,0.0,12688
Dapto,1428.0,1467.0,892.0,35.0,119.0,36.2,37.2,22.6,0.9,3.0,11202
Kanahooka,1035.0,729.0,226.0,17.0,52.0,50.3,35.4,11.0,0.8,2.5,12055
Koonawarra,313.0,400.0,520.0,16.0,38.0,24.3,31.1,40.4,1.2,3.0,12187
Avondale (NSW),193.0,249.0,166.0,0.0,24.0,30.5,39.4,26.3,0.0,3.8,10116
Marshall Mount,22.0,8.0,16.0,0.0,0.0,47.8,17.4,34.8,0.0,0.0,12507
Haywards Bay,88.0,197.0,22.0,0.0,5.0,28.2,63.1,7.1,0.0,1.6,11880
Brownsville,65.0,64.0,90.0,0.0,10.0,28.4,27.9,39.3,0.0,4.4,10612
Horsley,715.0,1424.0,363.0,6.0,43.0,28.0,55.8,14.2,0.2,1.7,11942
Wongawilli,20.0,21.0,4.0,0.0,0.0,44.4,46.7,8.9,0.0,0.0,14374
Kembla Grange,28.0,22.0,16.0,0.0,7.0,38.4,30.1,21.9,0.0,9.6,12092
Dombarton,25.0,14.0,6.0,3.0,0.0,52.1,29.2,12.5,6.2,0.0,11270
Port Kembla,745.0,443.0,624.0,6.0,68.0,39.5,23.5,33.1,0.3,3.6,13245
Coniston,282.0,192.0,325.0,3.0,31.0,33.9,23.0,39.0,0.4,3.7,11010
Unanderra,586.0,507.0,821.0,76.0,60.0,28.6,24.7,40.0,3.7,2.9,14008
Mount Kembla,156.0,153.0,16.0,0.0,3.0,47.6,46.6,4.9,0.0,0.9,12769
Kembla Heights,3.0,0.0,38.0,0.0,0.0,7.3,0.0,92.7,0.0,0.0,12093
Cordeaux Heights,610.0,644.0,118.0,0.0,28.0,43.6,46.0,8.4,0.0,2.0,11070
Farmborough Heights,529.0,628.0,176.0,3.0,25.0,38.9,46.1,12.9,0.2,1.8,11491
Berkeley,885.0,745.0,992.0,17.0,111.0,32.2,27.1,36.1,0.6,4.0,10303
Cringila,308.0,167.0,175.0,6.0,33.0,44.7,24.2,25.4,0.9,4.8,11116
Lake Heights,555.0,413.0,382.0,8.0,43.0,39.6,29.5,27.3,0.6,3.1,12248
Warrawong,605.0,222.0,853.0,9.0,79.0,34.2,12.6,48.2,0.5,4.5,14167
Windang,653.0,236.0,258.0,3.0,48.0,54.5,19.7,21.5,0.3,4.0,14316
Primbee,262.0,152.0,188.0,7.0,23.0,41.5,24.1,29.7,1.1,3.6,13264
Mount Keira,237.0,218.0,92.0,3.0,5.0,42.7,39.3,16.6,0.5,0.9,12768
Bulli,665.0,872.0,454.0,19.0,50.0,32.3,42.3,22.0,0.9,2.4,10662
Bargo,497.0,660.0,212.0,42.0,46.0,34.1,45.3,14.6,2.9,3.2,10198
Yerrinbool,119.0,217.0,43.0,5.0,7.0,30.4,55.5,11.0,1.3,1.8,14510
Wilton (NSW),205.0,601.0,97.0,0.0,9.0,22.5,65.9,10.6,0.0,1.0,14311
Pheasants Nest,53.0,101.0,26.0,0.0,7.0,28.3,54.0,13.9,0.0,3.7,13191
Albion Park,1312.0,2096.0,722.0,15.0,84.0,31.0,49.6,17.1,0.4,2.0,10025
Calderwood,22.0,14.0,16.0,0.0,0.0,42.3,26.9,30.8,0.0,0.0,10750
Tullimbar,53.0,100.0,35.0,0.0,0.0,28.2,53.2,18.6,0.0,0.0,13958
Yellow Rock (Shellharbour - NSW),27.0,21.0,9.0,0.0,0.0,47.4,36.8,15.8,0.0,0.0,14503
Albion Park Rail,800.0,884.0,631.0,38.0,73.0,33.0,36.4,26.0,1.6,3.0,10026
Kiama,1237.0,712.0,634.0,97.0,54.0,45.2,26.0,23.2,3.5,2.0,12116
Kiama Heights,151.0,94.0,45.0,0.0,6.0,51.0,31.8,15.2,0.0,2.0,12118
Bombo,15.0,16.0,10.0,0.0,0.0,36.6,39.0,24.4,0.0,0.0,10458
Kiama Downs,747.0,667.0,238.0,0.0,25.0,44.5,39.8,14.2,0.0,1.5,12117
Minnamurra,157.0,84.0,44.0,0.0,10.0,53.2,28.5,14.9,0.0,3.4,12639
Gerringong,545.0,459.0,268.0,31.0,38.0,40.6,34.2,20.0,2.3,2.8,11606
Jamberoo,320.0,172.0,74.0,3.0,10.0,55.3,29.7,12.8,0.5,1.7,11998
Werri Beach,100.0,51.0,46.0,0.0,0.0,50.8,25.9,23.4,0.0,0.0,14233
Gerroa,112.0,50.0,60.0,3.0,6.0,48.5,21.6,26.0,1.3,2.6,11607
Curramore (NSW),39.0,13.0,8.0,0.0,0.0,65.0,21.7,13.3,0.0,0.0,11174
Jerrara,19.0,10.0,8.0,0.0,0.0,51.4,27.0,21.6,0.0,0.0,12017
Toolijooa,16.0,6.0,5.0,0.0,0.0,59.3,22.2,18.5,0.0,0.0,13903
Foxground,34.0,17.0,7.0,0.0,0.0,58.6,29.3,12.1,0.0,0.0,11558
Flinders (NSW),580.0,1009.0,502.0,5.0,43.0,27.1,47.2,23.5,0.2,2.0,11534
Shellharbour,494.0,342.0,420.0,8.0,26.0,38.3,26.5,32.6,0.6,2.0,13533
Shell Cove,528.0,884.0,261.0,3.0,14.0,31.2,52.3,15.4,0.2,0.8,13532
Barrack Point,121.0,72.0,44.0,0.0,7.0,49.6,29.5,18.0,0.0,2.9,10208
Dunmore (NSW),30.0,26.0,9.0,0.0,0.0,46.2,40.0,13.8,0.0,0.0,11323
Oak Flats,986.0,769.0,499.0,11.0,52.0,42.6,33.2,21.5,0.5,2.2,13053
Blackbutt (NSW),447.0,345.0,335.0,4.0,35.0,38.3,29.6,28.7,0.3,3.0,10391
Shellharbour City Centre,18.0,15.0,24.0,11.0,3.0,25.4,21.1,33.8,15.5,4.2,13534
Warilla,818.0,508.0,977.0,24.0,101.0,33.7,20.9,40.2,1.0,4.2,14151
Lake Illawarra,355.0,284.0,652.0,17.0,59.0,26.0,20.8,47.7,1.2,4.3,12250
