,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Springrange,36.0,31.0,20.0,0.0,0.0,41.4,35.6,23.0,0.0,0.0,13625
Jeir,33.0,38.0,12.0,0.0,4.0,37.9,43.7,13.8,0.0,4.6,12004
Marchmont,26.0,37.0,9.0,0.0,0.0,36.1,51.4,12.5,0.0,0.0,12487
Nanima,19.0,32.0,5.0,0.0,0.0,33.9,57.1,8.9,0.0,0.0,12891
Young,1406.0,1095.0,1177.0,20.0,128.0,36.7,28.6,30.8,0.5,3.3,14518
Kingsvale,35.0,11.0,17.0,0.0,0.0,55.6,17.5,27.0,0.0,0.0,12161
Burrangong,44.0,32.0,11.0,0.0,3.0,48.9,35.6,12.2,0.0,3.3,10706
Wyangala,47.0,24.0,9.0,0.0,0.0,58.7,30.0,11.2,0.0,0.0,14434
Wombat,41.0,27.0,11.0,0.0,0.0,51.9,34.2,13.9,0.0,0.0,14364
Cunningar,28.0,11.0,7.0,0.0,3.0,57.1,22.4,14.3,0.0,6.1,11164
Harden,369.0,254.0,156.0,8.0,50.0,44.1,30.3,18.6,1.0,6.0,11851
Boorowa,300.0,171.0,158.0,13.0,28.0,44.8,25.5,23.6,1.9,4.2,10503
Murrumburrah,18.0,15.0,8.0,0.0,0.0,43.9,36.6,19.5,0.0,0.0,12863
Frogmore,37.0,10.0,9.0,3.0,4.0,58.7,15.9,14.3,4.8,6.3,11571
Maimuru,18.0,20.0,9.0,0.0,0.0,38.3,42.6,19.1,0.0,0.0,12444
Bendick Murrell,31.0,16.0,5.0,0.0,0.0,59.6,30.8,9.6,0.0,0.0,10290
Koorawatha,92.0,43.0,20.0,7.0,8.0,54.1,25.3,11.8,4.1,4.7,12192
Monteagle,34.0,32.0,12.0,0.0,4.0,41.5,39.0,14.6,0.0,4.9,12683
Murringo,59.0,46.0,36.0,3.0,4.0,39.9,31.1,24.3,2.0,2.7,12858
Thuddungra,19.0,12.0,10.0,0.0,3.0,43.2,27.3,22.7,0.0,6.8,13853
Bribbaree,22.0,19.0,16.0,3.0,0.0,36.7,31.7,26.7,5.0,0.0,10566
Avoca Beach,549.0,655.0,281.0,0.0,32.0,36.2,43.2,18.5,0.0,2.1,10114
Copacabana,306.0,396.0,216.0,9.0,21.0,32.3,41.8,22.8,0.9,2.2,11056
Killcare Heights,127.0,111.0,41.0,0.0,8.0,44.3,38.7,14.3,0.0,2.8,12134
Macmasters Beach,204.0,169.0,71.0,0.0,5.0,45.4,37.6,15.8,0.0,1.1,12432
Empire Bay,299.0,371.0,135.0,3.0,18.0,36.2,44.9,16.3,0.4,2.2,11415
Wagstaffe,57.0,25.0,11.0,0.0,0.0,61.3,26.9,11.8,0.0,0.0,14084
St Huberts Island,242.0,117.0,42.0,3.0,14.0,57.9,28.0,10.0,0.7,3.3,13638
Killcare,80.0,60.0,30.0,3.0,3.0,45.5,34.1,17.0,1.7,1.7,12133
Bensville,261.0,468.0,58.0,4.0,7.0,32.7,58.6,7.3,0.5,0.9,10297
Daleys Point,145.0,69.0,42.0,35.0,16.0,47.2,22.5,13.7,11.4,5.2,11189
Pretty Beach (Central Coast - NSW),62.0,49.0,21.0,0.0,0.0,47.0,37.1,15.9,0.0,0.0,13261
Hardys Bay,45.0,23.0,19.0,0.0,3.0,50.0,25.6,21.1,0.0,3.3,11852
Kincumber South,314.0,31.0,34.0,0.0,15.0,79.7,7.9,8.6,0.0,3.8,12142
Somersby,142.0,98.0,74.0,3.0,11.0,43.3,29.9,22.6,0.9,3.4,13571
Calga,16.0,17.0,14.0,0.0,0.0,34.0,36.2,29.8,0.0,0.0,10752
Woy Woy,1630.0,1064.0,1578.0,37.0,183.0,36.3,23.7,35.1,0.8,4.1,14425
Patonga,61.0,15.0,25.0,0.0,0.0,60.4,14.9,24.8,0.0,0.0,13160
Mooney Mooney,33.0,53.0,26.0,0.0,3.0,28.7,46.1,22.6,0.0,2.6,12704
Kariong,467.0,1048.0,418.0,4.0,37.0,23.7,53.1,21.2,0.2,1.9,12074
Peats Ridge,31.0,20.0,59.0,0.0,3.0,27.4,17.7,52.2,0.0,2.7,13172
Central Mangrove,34.0,35.0,19.0,0.0,9.0,35.1,36.1,19.6,0.0,9.3,10876
Mangrove Mountain,80.0,82.0,62.0,4.0,6.0,34.2,35.0,26.5,1.7,2.6,12472
Kulnura,84.0,63.0,44.0,3.0,7.0,41.8,31.3,21.9,1.5,3.5,12206
Mount White,35.0,6.0,39.0,0.0,5.0,41.2,7.1,45.9,0.0,5.9,12803
Wendoree Park,15.0,30.0,3.0,0.0,0.0,31.2,62.5,6.2,0.0,0.0,14224
Wisemans Ferry,34.0,29.0,27.0,0.0,4.0,36.2,30.9,28.7,0.0,4.3,14344
Gunderman,31.0,27.0,10.0,0.0,4.0,43.1,37.5,13.9,0.0,5.6,11808
Spencer,50.0,40.0,22.0,0.0,4.0,43.1,34.5,19.0,0.0,3.4,13607
Erina,944.0,416.0,355.0,157.0,91.0,48.1,21.2,18.1,8.0,4.6,11433
Green Point (Central Coast - NSW),1050.0,860.0,445.0,5.0,69.0,43.2,35.4,18.3,0.2,2.8,11753
Matcham,154.0,123.0,16.0,3.0,5.0,51.2,40.9,5.3,1.0,1.7,12520
Holgate,124.0,136.0,16.0,0.0,3.0,44.4,48.7,5.7,0.0,1.1,11921
Lisarow,553.0,816.0,253.0,37.0,27.0,32.8,48.4,15.0,2.2,1.6,12343
Erina Heights,50.0,54.0,16.0,0.0,8.0,39.1,42.2,12.5,0.0,6.2,11434
Terrigal,1598.0,1400.0,1054.0,11.0,94.0,38.4,33.7,25.4,0.3,2.3,13805
Springfield (Central Coast - NSW),376.0,624.0,395.0,9.0,29.0,26.2,43.5,27.6,0.6,2.0,13623
North Gosford,306.0,431.0,657.0,8.0,39.0,21.2,29.9,45.6,0.6,2.7,12991
West Gosford,159.0,97.0,260.0,44.0,35.0,26.7,16.3,43.7,7.4,5.9,14244
Gosford,203.0,237.0,1134.0,9.0,52.0,12.4,14.5,69.4,0.6,3.2,11722
East Gosford,578.0,453.0,743.0,24.0,64.0,31.0,24.3,39.9,1.3,3.4,11349
Point Frederick,247.0,171.0,369.0,3.0,33.0,30.0,20.8,44.8,0.4,4.0,13232
Kincumber,1018.0,917.0,503.0,287.0,107.0,35.9,32.4,17.8,10.1,3.8,12141
Picketts Valley,26.0,28.0,8.0,0.0,0.0,41.9,45.2,12.9,0.0,0.0,13198
Narara,852.0,1263.0,538.0,7.0,56.0,31.4,46.5,19.8,0.3,2.1,12895
Niagara Park,248.0,437.0,239.0,3.0,14.0,26.4,46.4,25.4,0.3,1.5,12961
Mount Elliot (NSW),22.0,19.0,0.0,0.0,3.0,50.0,43.2,0.0,0.0,6.8,12757
Point Clare,506.0,515.0,336.0,14.0,46.0,35.7,36.3,23.7,1.0,3.2,13231
Tascott,227.0,253.0,118.0,0.0,14.0,37.1,41.3,19.3,0.0,2.3,13772
Koolewong,150.0,121.0,73.0,0.0,6.0,42.9,34.6,20.9,0.0,1.7,12185
Saratoga,495.0,610.0,207.0,6.0,36.0,36.6,45.1,15.3,0.4,2.7,13492
Davistown,395.0,345.0,152.0,77.0,28.0,39.6,34.6,15.2,7.7,2.8,11221
Yattalunga (NSW),67.0,100.0,24.0,4.0,0.0,34.4,51.3,12.3,2.1,0.0,14496
North Avoca,272.0,315.0,140.0,5.0,10.0,36.7,42.5,18.9,0.7,1.3,12980
Umina Beach,2211.0,1957.0,1941.0,61.0,209.0,34.7,30.7,30.4,1.0,3.3,14007
Booker Bay,255.0,112.0,193.0,3.0,19.0,43.8,19.2,33.2,0.5,3.3,10477
Ettalong Beach,947.0,328.0,852.0,14.0,80.0,42.6,14.8,38.4,0.6,3.6,11445
Pearl Beach,147.0,32.0,40.0,0.0,10.0,64.2,14.0,17.5,0.0,4.4,13171
Wamberal,737.0,959.0,367.0,27.0,53.0,34.4,44.8,17.1,1.3,2.5,14122
Forresters Beach,378.0,377.0,186.0,64.0,30.0,36.5,36.4,18.0,6.2,2.9,11549
Tumbi Umbi,635.0,694.0,283.0,92.0,43.0,36.3,39.7,16.2,5.3,2.5,13962
Horsfield Bay,57.0,95.0,21.0,4.0,5.0,31.3,52.2,11.5,2.2,2.7,11941
Phegans Bay,39.0,74.0,35.0,0.0,3.0,25.8,49.0,23.2,0.0,2.0,13192
Woy Woy Bay,68.0,53.0,28.0,0.0,3.0,44.7,34.9,18.4,0.0,2.0,14426
Blackwall (NSW),286.0,215.0,222.0,3.0,26.0,38.0,28.6,29.5,0.4,3.5,10399
Wyoming,1150.0,1294.0,883.0,227.0,131.0,31.2,35.1,24.0,6.2,3.6,14445
Bateau Bay,1628.0,1526.0,1055.0,119.0,166.0,36.2,34.0,23.5,2.6,3.7,10227
Killarney Vale,793.0,996.0,664.0,4.0,86.0,31.2,39.2,26.1,0.2,3.4,12131
Blue Haven,528.0,882.0,613.0,14.0,65.0,25.1,42.0,29.2,0.7,3.1,10415
San Remo (NSW),408.0,594.0,452.0,5.0,38.0,27.3,39.7,30.2,0.3,2.5,13470
Doyalson,22.0,55.0,26.0,0.0,3.0,20.8,51.9,24.5,0.0,2.8,11286
Buff Point,508.0,464.0,280.0,5.0,44.0,39.0,35.7,21.5,0.4,3.4,10645
Budgewoi,512.0,404.0,402.0,3.0,59.0,37.1,29.3,29.1,0.2,4.3,10642
Halekulani,490.0,310.0,206.0,5.0,42.0,46.5,29.4,19.6,0.5,4.0,11830
Glenning Valley,213.0,346.0,95.0,0.0,6.0,32.3,52.4,14.4,0.0,0.9,11672
Berkeley Vale,910.0,1303.0,627.0,7.0,78.0,31.1,44.5,21.4,0.2,2.7,10304
Chittaway Point,114.0,140.0,67.0,3.0,8.0,34.3,42.2,20.2,0.9,2.4,10912
Chittaway Bay,226.0,286.0,150.0,3.0,12.0,33.4,42.2,22.2,0.4,1.8,10911
Kanwal,484.0,448.0,356.0,8.0,50.0,36.0,33.3,26.4,0.6,3.7,12067
Wyongah,204.0,295.0,169.0,0.0,12.0,30.0,43.4,24.9,0.0,1.8,14448
Tuggerawong,132.0,172.0,129.0,10.0,19.0,28.6,37.2,27.9,2.2,4.1,13951
Rocky Point (NSW),28.0,36.0,19.0,0.0,4.0,32.2,41.4,21.8,0.0,4.6,13388
Gorokan,1092.0,979.0,1099.0,11.0,111.0,33.2,29.7,33.4,0.3,3.4,11721
Charmhaven,274.0,313.0,247.0,0.0,26.0,31.9,36.4,28.7,0.0,3.0,10889
Lake Haven,523.0,318.0,443.0,35.0,124.0,36.2,22.0,30.7,2.4,8.6,12247
Jilliby,157.0,254.0,37.0,3.0,3.0,34.6,55.9,8.1,0.7,0.7,12027
Yarramalong,38.0,66.0,12.0,0.0,6.0,31.1,54.1,9.8,0.0,4.9,14475
Cedar Brush Creek,18.0,19.0,4.0,0.0,0.0,43.9,46.3,9.8,0.0,0.0,10867
Wyong Creek,72.0,51.0,15.0,3.0,5.0,49.3,34.9,10.3,2.1,3.4,14447
Dooralong,39.0,30.0,18.0,0.0,0.0,44.8,34.5,20.7,0.0,0.0,11276
Lake Munmorah,1000.0,658.0,347.0,10.0,67.0,48.0,31.6,16.7,0.5,3.2,12253
