,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Dwelling type not stated,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%),Dwelling type not stated (%)
Gateshead,1233.0,114.0,19.0,4.0,0.0,90.0,8.3,1.4,0.3,0.0
Georges Hall,2332.0,184.0,31.0,8.0,0.0,91.3,7.2,1.2,0.3,0.0
Georgetown,724.0,38.0,55.0,0.0,0.0,88.6,4.7,6.7,0.0,0.0
Girraween,940.0,365.0,176.0,4.0,0.0,63.3,24.6,11.9,0.3,0.0
Gladesville,2391.0,452.0,1684.0,23.0,0.0,52.5,9.9,37.0,0.5,0.0
Glebe,742.0,2085.0,2361.0,98.0,3.0,14.0,39.4,44.6,1.9,0.1
Glen Alpine,1253.0,0.0,8.0,3.0,0.0,99.1,0.0,0.6,0.2,0.0
Glenbrook,1684.0,72.0,13.0,0.0,0.0,95.2,4.1,0.7,0.0,0.0
Glendale,1087.0,57.0,67.0,7.0,0.0,89.2,4.7,5.5,0.6,0.0
Glendenning,1407.0,29.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0
Glenfield,1347.0,841.0,18.0,16.0,0.0,60.6,37.8,0.8,0.7,0.0
Glenhaven,1584.0,131.0,11.0,0.0,0.0,91.8,7.6,0.6,0.0,0.0
Glenmore Park,5670.0,262.0,8.0,0.0,3.0,95.4,4.4,0.1,0.0,0.1
Glenning Valley,612.0,21.0,3.0,3.0,0.0,95.8,3.3,0.5,0.5,0.0
Glenwood,3997.0,86.0,0.0,0.0,0.0,97.9,2.1,0.0,0.0,0.0
Gordon,1520.0,126.0,339.0,3.0,12.0,76.0,6.3,17.0,0.2,0.6
Gorokan,2529.0,453.0,139.0,0.0,0.0,81.0,14.5,4.5,0.0,0.0
Gosford,154.0,189.0,1270.0,18.0,0.0,9.4,11.6,77.9,1.1,0.0
Granville,4823.0,576.0,2273.0,27.0,3.0,62.6,7.5,29.5,0.4,0.0
Grays Point,872.0,13.0,9.0,0.0,5.0,97.0,1.4,1.0,0.0,0.6
Green Point (Gosford),2109.0,306.0,51.0,0.0,0.0,85.5,12.4,2.1,0.0,0.0
Green Valley,2694.0,589.0,9.0,4.0,0.0,81.7,17.9,0.3,0.1,0.0
Greenacre,4867.0,1412.0,630.0,21.0,0.0,70.2,20.4,9.1,0.3,0.0
Greenfield Park,1367.0,99.0,0.0,0.0,0.0,93.2,6.8,0.0,0.0,0.0
Greenwich,1034.0,108.0,793.0,12.0,0.0,53.1,5.5,40.7,0.6,0.0
