,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Dwelling type not stated,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%),Dwelling type not stated (%)
Sadleir,852.0,34.0,71.0,0.0,0.0,89.0,3.6,7.4,0.0,0.0
San Remo,1427.0,5.0,0.0,3.0,0.0,99.4,0.3,0.0,0.2,0.0
Sandringham,336.0,67.0,83.0,0.0,0.0,69.1,13.8,17.1,0.0,0.0
Sans Souci,1933.0,948.0,710.0,0.0,0.0,53.8,26.4,19.8,0.0,0.0
Saratoga,1042.0,295.0,21.0,3.0,0.0,76.6,21.7,1.5,0.2,0.0
Scarborough,126.0,0.0,4.0,0.0,0.0,96.9,0.0,3.1,0.0,0.0
Schofields,1275.0,50.0,3.0,7.0,0.0,95.5,3.7,0.2,0.5,0.0
Scotland Island,242.0,0.0,0.0,3.0,0.0,98.8,0.0,0.0,1.2,0.0
Seaforth,1919.0,109.0,105.0,3.0,0.0,89.8,5.1,4.9,0.1,0.0
Sefton,1444.0,259.0,105.0,5.0,0.0,79.6,14.3,5.8,0.3,0.0
Seven Hills,5237.0,1089.0,142.0,5.0,0.0,80.9,16.8,2.2,0.1,0.0
Shalvey,990.0,133.0,0.0,0.0,0.0,88.2,11.8,0.0,0.0,0.0
Shell Cove,829.0,46.0,0.0,0.0,19.0,92.7,5.1,0.0,0.0,2.1
Shellharbour,951.0,217.0,56.0,3.0,0.0,77.5,17.7,4.6,0.2,0.0
Shelly Beach,466.0,44.0,5.0,19.0,0.0,87.3,8.2,0.9,3.6,0.0
Shortland,1280.0,54.0,82.0,6.0,0.0,90.0,3.8,5.8,0.4,0.0
Silverwater (Auburn),192.0,45.0,97.0,3.0,0.0,57.0,13.4,28.8,0.9,0.0
Smithfield,3334.0,369.0,62.0,71.0,0.0,86.9,9.6,1.6,1.9,0.0
South Coogee,918.0,121.0,998.0,0.0,0.0,45.1,5.9,49.0,0.0,0.0
South Granville,896.0,75.0,24.0,3.0,0.0,89.8,7.5,2.4,0.3,0.0
South Hurstville,929.0,365.0,350.0,3.0,0.0,56.4,22.2,21.3,0.2,0.0
South Penrith,3905.0,196.0,54.0,4.0,0.0,93.9,4.7,1.3,0.1,0.0
South Turramurra,983.0,10.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0
South Wentworthville,1268.0,508.0,35.0,5.0,0.0,69.8,28.0,1.9,0.3,0.0
Speers Point,1065.0,96.0,123.0,0.0,0.0,82.9,7.5,9.6,0.0,0.0
Springfield (Gosford),1370.0,55.0,4.0,0.0,6.0,95.5,3.8,0.3,0.0,0.4
Springwood,2536.0,408.0,140.0,3.0,0.0,82.2,13.2,4.5,0.1,0.0
St Andrews,1750.0,65.0,4.0,0.0,0.0,96.2,3.6,0.2,0.0,0.0
St Clair (Penrith),6090.0,18.0,4.0,25.0,15.0,99.0,0.3,0.1,0.4,0.2
St Helens Park,1823.0,162.0,0.0,0.0,0.0,91.8,8.2,0.0,0.0,0.0
St Huberts Island,445.0,5.0,3.0,7.0,0.0,96.7,1.1,0.7,1.5,0.0
St Ives,4248.0,261.0,225.0,3.0,3.0,89.6,5.5,4.7,0.1,0.1
St Ives Chase,977.0,11.0,18.0,0.0,0.0,97.1,1.1,1.8,0.0,0.0
St Johns Park,1485.0,8.0,30.0,3.0,0.0,97.3,0.5,2.0,0.2,0.0
St Leonards,165.0,5.0,1907.0,0.0,0.0,7.9,0.2,91.8,0.0,0.0
St Marys,2374.0,916.0,604.0,6.0,0.0,60.9,23.5,15.5,0.2,0.0
St Peters,426.0,470.0,214.0,17.0,0.0,37.8,41.7,19.0,1.5,0.0
Stanhope Gardens,1209.0,10.0,3.0,305.0,13.0,78.5,0.6,0.2,19.8,0.8
Stanmore,1184.0,718.0,1192.0,35.0,3.0,37.8,22.9,38.1,1.1,0.1
Stockton,1302.0,48.0,203.0,30.0,0.0,82.2,3.0,12.8,1.9,0.0
Strathfield,3890.0,405.0,2562.0,10.0,0.0,56.6,5.9,37.3,0.1,0.0
Strathfield South,715.0,162.0,213.0,0.0,0.0,65.6,14.9,19.5,0.0,0.0
Summer Hill (Ashfield),629.0,425.0,1660.0,41.0,0.0,22.8,15.4,60.3,1.5,0.0
Surry Hills,94.0,1942.0,5785.0,106.0,0.0,1.2,24.5,73.0,1.3,0.0
Sutherland,1195.0,831.0,2399.0,4.0,0.0,27.0,18.8,54.2,0.1,0.0
Swansea,1470.0,429.0,105.0,49.0,4.0,71.5,20.9,5.1,2.4,0.2
Swansea Heads,202.0,0.0,12.0,0.0,0.0,94.4,0.0,5.6,0.0,0.0
Sydenham,160.0,192.0,18.0,16.0,0.0,41.5,49.7,4.7,4.1,0.0
Sydney,185.0,3.0,5920.0,56.0,0.0,3.0,0.0,96.0,0.9,0.0
Sylvania,2471.0,640.0,611.0,11.0,0.0,66.2,17.1,16.4,0.3,0.0
Sylvania Waters,859.0,54.0,135.0,0.0,0.0,82.0,5.2,12.9,0.0,0.0
Tacoma,223.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Tacoma South,88.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Tamarama,151.0,76.0,455.0,0.0,0.0,22.1,11.1,66.7,0.0,0.0
Taren Point,340.0,17.0,121.0,5.0,0.0,70.4,3.5,25.1,1.0,0.0
Tarrawanna,390.0,125.0,64.0,0.0,0.0,67.4,21.6,11.1,0.0,0.0
Tascott,645.0,7.0,6.0,4.0,0.0,97.4,1.1,0.9,0.6,0.0
Tempe,984.0,203.0,47.0,0.0,0.0,79.7,16.5,3.8,0.0,0.0
Teralba,463.0,18.0,17.0,55.0,0.0,83.7,3.3,3.1,9.9,0.0
Terrey Hills,813.0,14.0,28.0,23.0,0.0,92.6,1.6,3.2,2.6,0.0
Terrigal,3010.0,515.0,265.0,4.0,0.0,79.3,13.6,7.0,0.1,0.0
The Entrance,511.0,234.0,626.0,12.0,0.0,36.9,16.9,45.3,0.9,0.0
The Entrance North,298.0,73.0,87.0,34.0,0.0,60.6,14.8,17.7,6.9,0.0
The Hill,268.0,168.0,595.0,0.0,12.0,25.7,16.1,57.0,0.0,1.2
The Junction,256.0,140.0,232.0,0.0,0.0,40.8,22.3,36.9,0.0,0.0
Thirroul,1533.0,332.0,222.0,20.0,0.0,72.8,15.8,10.5,0.9,0.0
Thornleigh,2186.0,363.0,62.0,4.0,0.0,83.6,13.9,2.4,0.2,0.0
Tighes Hill,574.0,65.0,11.0,14.0,0.0,86.4,9.8,1.7,2.1,0.0
Tingira Heights,994.0,26.0,13.0,3.0,0.0,95.9,2.5,1.3,0.3,0.0
Toongabbie,3144.0,1004.0,289.0,4.0,0.0,70.8,22.6,6.5,0.1,0.0
Toowoon Bay,106.0,80.0,6.0,42.0,0.0,45.3,34.2,2.6,17.9,0.0
Toronto,1789.0,147.0,142.0,11.0,0.0,85.6,7.0,6.8,0.5,0.0
Toukley,1313.0,391.0,155.0,19.0,0.0,69.9,20.8,8.3,1.0,0.0
Towradgi,853.0,40.0,314.0,15.0,4.0,69.6,3.3,25.6,1.2,0.3
Tregear,1134.0,32.0,96.0,0.0,0.0,89.9,2.5,7.6,0.0,0.0
Tuggerah,276.0,93.0,0.0,0.0,0.0,74.8,25.2,0.0,0.0,0.0
Tuggerawong,400.0,6.0,0.0,40.0,0.0,89.7,1.3,0.0,9.0,0.0
Tumbi Umbi,1343.0,171.0,15.0,0.0,8.0,87.4,11.1,1.0,0.0,0.5
Turramurra,3027.0,95.0,561.0,5.0,0.0,82.1,2.6,15.2,0.1,0.0
Turrella,293.0,0.0,19.0,4.0,0.0,92.7,0.0,6.0,1.3,0.0
Ultimo,0.0,358.0,2595.0,0.0,0.0,0.0,12.1,87.9,0.0,0.0
Umina Beach,4970.0,558.0,523.0,163.0,0.0,80.0,9.0,8.4,2.6,0.0
Unanderra,1853.0,211.0,169.0,13.0,5.0,82.3,9.4,7.5,0.6,0.2
Valentine,1759.0,151.0,45.0,4.0,0.0,89.8,7.7,2.3,0.2,0.0
Valley Heights,461.0,16.0,6.0,0.0,0.0,95.4,3.3,1.2,0.0,0.0
Vaucluse,1743.0,337.0,1197.0,30.0,0.0,52.7,10.2,36.2,0.9,0.0
Villawood,1339.0,117.0,376.0,10.0,0.0,72.7,6.4,20.4,0.5,0.0
Voyager Point,368.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Wahroonga,3984.0,278.0,332.0,3.0,0.0,86.7,6.0,7.2,0.1,0.0
Waitara,378.0,136.0,1837.0,0.0,0.0,16.1,5.8,78.1,0.0,0.0
Wakeley,1210.0,170.0,11.0,0.0,0.0,87.0,12.2,0.8,0.0,0.0
Wallsend,3877.0,606.0,303.0,33.0,0.0,80.5,12.6,6.3,0.7,0.0
Wamberal,1861.0,115.0,108.0,0.0,0.0,89.3,5.5,5.2,0.0,0.0
Warabrook,525.0,201.0,26.0,0.0,0.0,69.8,26.7,3.5,0.0,0.0
Waratah,1169.0,239.0,389.0,4.0,0.0,64.9,13.3,21.6,0.2,0.0
Waratah West,1007.0,58.0,22.0,0.0,0.0,92.6,5.3,2.0,0.0,0.0
Wareemba,343.0,104.0,126.0,21.0,0.0,57.7,17.5,21.2,3.5,0.0
Warilla,1692.0,151.0,207.0,203.0,0.0,75.1,6.7,9.2,9.0,0.0
Warners Bay,2190.0,394.0,287.0,3.0,0.0,76.2,13.7,10.0,0.1,0.0
Warrawee,751.0,17.0,18.0,0.0,0.0,95.5,2.2,2.3,0.0,0.0
Warrawong,1321.0,223.0,554.0,0.0,0.0,63.0,10.6,26.4,0.0,0.0
Warriewood,1191.0,394.0,123.0,11.0,0.0,69.3,22.9,7.2,0.6,0.0
Warrimoo,802.0,4.0,6.0,0.0,0.0,98.8,0.5,0.7,0.0,0.0
Warwick Farm,580.0,71.0,1085.0,0.0,0.0,33.4,4.1,62.5,0.0,0.0
Watanobbi,1200.0,53.0,3.0,0.0,0.0,95.5,4.2,0.2,0.0,0.0
Waterloo,219.0,382.0,4067.0,33.0,0.0,4.7,8.1,86.5,0.7,0.0
Watsons Bay,127.0,25.0,78.0,11.0,0.0,52.7,10.4,32.4,4.6,0.0
Wattle Grove,2119.0,28.0,0.0,0.0,0.0,98.7,1.3,0.0,0.0,0.0
Waverley,422.0,323.0,926.0,17.0,0.0,25.0,19.1,54.9,1.0,0.0
Waverton,277.0,261.0,1014.0,0.0,3.0,17.8,16.8,65.2,0.0,0.2
Wentworthville,1762.0,870.0,1352.0,7.0,153.0,42.5,21.0,32.6,0.2,3.7
Werrington,680.0,438.0,264.0,0.0,0.0,49.2,31.7,19.1,0.0,0.0
Werrington County,1249.0,11.0,0.0,3.0,0.0,98.9,0.9,0.0,0.2,0.0
Werrington Downs,1052.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
West Gosford,329.0,161.0,247.0,0.0,0.0,44.6,21.8,33.5,0.0,0.0
West Hoxton,2067.0,61.0,3.0,0.0,0.0,97.0,2.9,0.1,0.0,0.0
West Pennant Hills,4573.0,420.0,91.0,4.0,0.0,89.9,8.3,1.8,0.1,0.0
West Pymble,1548.0,15.0,19.0,0.0,0.0,97.9,0.9,1.2,0.0,0.0
West Ryde,2143.0,432.0,2005.0,3.0,7.0,46.7,9.4,43.7,0.1,0.2
West Wallsend,568.0,3.0,9.0,11.0,0.0,96.1,0.5,1.5,1.9,0.0
West Wollongong,1178.0,234.0,329.0,0.0,0.0,67.7,13.4,18.9,0.0,0.0
Westleigh,1369.0,101.0,5.0,0.0,0.0,92.8,6.8,0.3,0.0,0.0
Westmead,986.0,152.0,2386.0,0.0,0.0,28.0,4.3,67.7,0.0,0.0
Wetherill Park,1697.0,151.0,0.0,0.0,0.0,91.8,8.2,0.0,0.0,0.0
Whalan,1622.0,152.0,121.0,0.0,0.0,85.6,8.0,6.4,0.0,0.0
Whitebridge,802.0,67.0,32.0,3.0,0.0,88.7,7.4,3.5,0.3,0.0
Wickham,192.0,128.0,109.0,5.0,0.0,44.2,29.5,25.1,1.2,0.0
Wiley Park,814.0,360.0,1940.0,7.0,0.0,26.1,11.5,62.2,0.2,0.0
Willmot,682.0,108.0,5.0,3.0,0.0,85.5,13.5,0.6,0.4,0.0
Willoughby,1220.0,297.0,603.0,27.0,0.0,56.8,13.8,28.1,1.3,0.0
Willoughby East,526.0,24.0,7.0,3.0,0.0,93.9,4.3,1.3,0.5,0.0
Windale,960.0,120.0,93.0,0.0,0.0,81.8,10.2,7.9,0.0,0.0
Windang,513.0,181.0,53.0,395.0,0.0,44.9,15.8,4.6,34.6,0.0
Winmalee,2139.0,15.0,7.0,0.0,0.0,99.0,0.7,0.3,0.0,0.0
Winston Hills,2846.0,167.0,7.0,8.0,0.0,94.0,5.5,0.2,0.3,0.0
Wollongong,1512.0,588.0,4959.0,62.0,8.0,21.2,8.2,69.6,0.9,0.1
Wollstonecraft,323.0,436.0,3101.0,30.0,0.0,8.3,11.2,79.7,0.8,0.0
Wombarra,267.0,17.0,10.0,3.0,0.0,89.9,5.7,3.4,1.0,0.0
Woodbine,836.0,20.0,0.0,0.0,0.0,97.7,2.3,0.0,0.0,0.0
Woodcroft,1279.0,197.0,17.0,0.0,0.0,85.7,13.2,1.1,0.0,0.0
Woodpark,400.0,28.0,0.0,0.0,0.0,93.5,6.5,0.0,0.0,0.0
Woodrising,503.0,10.0,0.0,0.0,0.0,98.1,1.9,0.0,0.0,0.0
Woollahra,923.0,777.0,1738.0,14.0,8.0,26.7,22.5,50.2,0.4,0.2
Woolloomooloo,11.0,438.0,1513.0,113.0,15.0,0.5,21.0,72.4,5.4,0.7
Woolooware,1898.0,325.0,215.0,54.0,8.0,75.9,13.0,8.6,2.2,0.3
Woolwich,200.0,45.0,41.0,0.0,35.0,62.3,14.0,12.8,0.0,10.9
Woonona,2776.0,798.0,540.0,13.0,0.0,67.3,19.3,13.1,0.3,0.0
Woronora,665.0,9.0,41.0,0.0,0.0,93.0,1.3,5.7,0.0,0.0
Woronora Heights,831.0,3.0,0.0,0.0,0.0,99.6,0.4,0.0,0.0,0.0
Woy Woy,3137.0,762.0,473.0,60.0,14.0,70.6,17.1,10.6,1.3,0.3
Woy Woy Bay,254.0,0.0,3.0,0.0,0.0,98.8,0.0,1.2,0.0,0.0
Wyoming,2867.0,162.0,232.0,47.0,0.0,86.7,4.9,7.0,1.4,0.0
Wyong,975.0,284.0,92.0,49.0,0.0,69.6,20.3,6.6,3.5,0.0
Wyongah,653.0,0.0,7.0,0.0,0.0,98.9,0.0,1.1,0.0,0.0
Yagoona,3688.0,744.0,355.0,19.0,51.0,75.9,15.3,7.3,0.4,1.1
Yarrawarrah,418.0,6.0,3.0,0.0,0.0,97.9,1.4,0.7,0.0,0.0
Yattalunga,169.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Yennora,339.0,11.0,92.0,0.0,0.0,76.7,2.5,20.8,0.0,0.0
Yowie Bay,1147.0,107.0,7.0,3.0,0.0,90.7,8.5,0.6,0.2,0.0
Zetland,7.0,278.0,935.0,0.0,0.0,0.6,22.8,76.6,0.0,0.0
