,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
Skennars Head,292,372,108,204,,,,,,,57,,,,,,,,,,,,,,,,,,,,,25.3,32.3,9.4,17.7,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,13554
Alstonville,"1,670","1,176",456,"1,057",,,399,,,,,,,,,,,,,,,,,,,,,,,,,29.2,20.6,8.0,18.5,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,10046
Wollongbar,806,634,208,546,,,140,,,,,,,,,,,,,,,,,,,,,,,,,28.6,22.5,7.4,19.4,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,14357
Wardell,212,166,139,194,,,,,,,34,,,,,,,,,,,,,,,,,,,,,25.6,20.0,16.8,23.4,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,14144
East Wardell,75,78,38,56,,,,,,,15,,,,,,,,,,,,,,,,,,,,,24.6,25.6,12.5,18.4,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,11365
Empire Vale,44,42,17,46,,,9,,,,,,,,,,,,,,,,,,,,,,,,,25.0,23.9,9.7,26.1,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,11416
Meerschaum Vale,115,67,63,79,,,,,,,,13,,,,,,,,,,,,,,,,,,,,28.8,16.8,15.8,19.8,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,12556
Dalwood (Ballina - NSW),61,53,17,37,,,18,,,,,,,,,,,,,,,,,,,,,,,,,26.6,23.1,7.4,16.2,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,11195
Marom Creek,35,30,15,38,,,7,,,,,,,,,,,,,,,,,,,,,,,,,25.7,22.1,11.0,27.9,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,12499
Rous,56,59,,38,13,,,,,,22,,,,,,,,,,,,,,,,,,,,,24.7,26.0,,16.7,5.7,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,13427
Pimlico (NSW),88,71,37,51,,,,,,,16,,,,,,,,,,,,,,,,,,,,,28.3,22.8,11.9,16.4,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,13207
Coolgardie (NSW),41,11,24,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,32.3,8.7,18.9,23.6,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,11031
Keith Hall,53,34,40,15,,,,,,,10,,,,,,,,,,,,,,,,,,,,,31.9,20.5,24.1,9.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,12086
Uralba,79,24,18,40,,,,,,,13,,,,,,,,,,,,,,,,,,,,,36.6,11.1,8.3,18.5,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,14050
Tuckombil,107,48,9,46,15,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,19.6,3.7,18.8,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,13947
Fernleigh,123,50,42,45,,,,,,,,,,,,,,,,,,,,,,9,,,,,,41.3,16.8,14.1,15.1,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,11508
Tintenbar,295,160,114,113,,,37,,,,,,,,,,,,,,,,,,,,,,,,,36.2,19.6,14.0,13.8,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,13878
Cumbalum,479,338,110,318,,,,,,,59,,,,,,,,,,,,,,,,,,,,,31.3,22.1,7.2,20.8,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,11154
Brooklet,116,36,25,43,,,12,,,,,,,,,,,,,,,,,,,,,,,,,44.8,13.9,9.7,16.6,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,10598
Knockrow,57,37,24,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,19.4,12.6,13.6,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,12178
Newrybar,182,57,37,72,,,,,,,18,,,,,,,,,,,,,,,,,,,,,42.3,13.3,8.6,16.7,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,12957
Alstonvale,113,112,44,69,31,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.5,10.0,15.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,10045
Teven,71,57,35,58,,,,,,,24,,,,,,,,,,,,,,,,,,,,,25.3,20.3,12.5,20.6,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,13807
Pearces Creek,61,15,15,43,,,,,,,,,10,,,,,,,,,,,,,,,,,,,35.1,8.6,8.6,24.7,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,13170
Lynwood (NSW),58,30,21,46,18,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,13.8,9.6,21.1,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,12427
Rous Mill,67,48,10,28,,,20,,,,,,,,,,,,,,,,,,,,,,,,,34.7,24.9,5.2,14.5,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,13428
Ewingsdale,313,109,173,89,,32,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,13.2,21.0,10.8,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,11474
Eureka (NSW),140,48,36,44,,,21,,,,,,,,,,,,,,,,,,,,,,,,,39.1,13.4,10.1,12.3,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,11461
Coorabell,237,38,41,48,,,,,,,,,,,,,,,,,,12,,,,,,,,,,56.4,9.0,9.8,11.4,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,11051
Possum Creek,142,41,47,27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,14.6,16.7,9.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,13252
Bangalow,980,320,216,221,,,,,,,71,,,,,,,,,,,,,,,,,,,,,48.3,15.8,10.7,10.9,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,10174
Coopers Shoot,122,31,36,38,,12,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,11.9,13.8,14.6,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,11049
Skinners Shoot,59,13,40,5,,,,,,,,,,3,,,,,,,,,,,,,,,,,,46.8,10.3,31.7,4.0,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,13556
Talofa,52,14,21,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,12.7,19.1,6.4,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,13739
Nashua,105,39,19,31,,,14,,,,,,,,,,,,,,,,,,,,,,,,,43.2,16.0,7.8,12.8,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,12914
Federal (NSW),371,70,119,38,,32,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,10.2,17.3,5.5,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,11499
Binna Burra (NSW),101,41,34,17,,,8,,,,,,,,,,,,,,,,,,,,,,,,,48.8,19.8,16.4,8.2,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,10371
Brunswick Heads,704,280,225,229,,,85,,,,,,,,,,,,,,,,,,,,,,,,,40.5,16.1,12.9,13.2,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,10621
Ocean Shores,"2,396",727,653,576,,129,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,14.2,12.7,11.2,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,13070
Tyagarah,83,14,23,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,9.0,14.8,4.5,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,13993
New Brighton,158,47,70,34,,13,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,13.4,19.9,9.7,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,12939
South Golden Beach,476,60,135,36,,38,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,7.3,16.5,4.4,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,13581
Wooyung,45,17,15,18,,,,,,,,,,,,,,,,,,,,,,4,,,,,,44.1,16.7,14.7,17.6,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,14418
Byron Bay,"2,365",663,"1,294",518,,,126,,,,,,,,,,,,,,,,,,,,,,,,,43.0,12.0,23.5,9.4,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,10733
Suffolk Park,"1,787",554,555,353,,,,,,,101,,,,,,,,,,,,,,,,,,,,,47.7,14.8,14.8,9.4,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,13684
Broken Head,147,43,28,34,,,10,,,,,,,,,,,,,,,,,,,,,,,,,52.7,15.4,10.0,12.2,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,10591
Woodburn (Richmond Valley - NSW),212,170,88,155,,,,,,,52,,,,,,,,,,,,,,,,,,,,,29.0,23.3,12.1,21.2,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,14379
Broadwater (Richmond Valley - NSW),189,153,65,123,,,,,,,46,,,,,,,,,,,,,,,,,,,,,29.4,23.8,10.1,19.2,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,10580
Rileys Hill,46,51,12,36,,,,,,,8,,,,,,,,,,,,,,,,,,,,,28.2,31.3,7.4,22.1,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,13364
Evans Head,825,601,297,623,,,,,,,236,,,,,,,,,,,,,,,,,,,,,28.9,21.0,10.4,21.8,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,11469
Bungawalbin,40,18,21,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,15.8,18.4,21.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,10683
New Italy,72,32,42,24,,,8,,,,,,,,,,,,,,,,,,,,,,,,,38.1,16.9,22.2,12.7,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,12941
Swan Bay (Richmond Valley - NSW),51,76,29,56,,,,,,,16,,,,,,,,,,,,,,,,,,,,,21.7,32.3,12.3,23.8,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,13705
Doonbah,50,46,32,60,,,,,,,30,,,,,,,,,,,,,,,,,,,,,20.7,19.1,13.3,24.9,,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,11274
Lennox Head,"2,427","1,521",596,999,,,,,,,187,,,,,,,,,,,,,,,,,,,,,37.8,23.7,9.3,15.6,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,12303
Myocum,443,92,141,97,,33,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,9.4,14.5,9.9,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,12877
Billinudgel,93,34,37,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,16.1,17.5,8.1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,10355
Yelgun,41,,11,6,8,,,,,,9,,,,,,,,,,,,,,,,,,,,,43.2,,11.6,6.3,8.4,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,14499
The Pocket,130,35,37,22,,,,,,,,,,,,,,,,,,11,,,,,,,,,,48.9,13.2,13.9,8.3,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,13834
Middle Pocket,79,15,20,7,,,4,,,,,,,,,,,,,,,,,,,,,,,,,58.5,11.1,14.8,5.2,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,12606
Main Arm,263,44,135,63,,15,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,7.5,22.9,10.7,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,12445
Upper Main Arm,110,15,62,8,,14,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,6.6,27.4,3.5,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,14035
Mullumbimby,"1,636",446,528,375,,,157,,,,,,,,,,,,,,,,,,,,,,,,,45.3,12.3,14.6,10.4,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,12828
Mullumbimby Creek,297,26,100,30,,,20,,,,,,,,,,,,,,,,,,,,,,,,,56.1,4.9,18.9,5.7,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,12829
Wilsons Creek,200,26,131,17,,,,,,,,,,,,,,,,,,,,,,17,,,,,,45.9,6.0,30.0,3.9,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,14310
Goonengerry,236,17,39,25,,16,,,,,,,,,,,,,,,,,,,,,,,,,,65.6,4.7,10.8,6.9,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,11712
Huonbrook,73,7,48,4,,,,,,,,,,,,,,,,,,,,,,8,,,,,,50.0,4.8,32.9,2.7,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,11962
Whian Whian,72,9,22,13,,,,,,,,,,,,,,,,,,,,,,,12,,,,,50.7,6.3,15.5,9.2,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,14272
Yorklea,71,96,57,92,,,,,,,29,,,,,,,,,,,,,,,,,,,,,18.0,24.3,14.4,23.3,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,14517
Casino,"2,373","2,817",943,"2,510",,,,,,,689,,,,,,,,,,,,,,,,,,,,,21.7,25.8,8.6,23.0,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,10843
North Casino,161,303,47,208,,,,,,,42,,,,,,,,,,,,,,,,,,,,,17.0,31.9,5.0,21.9,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,12987
Fairy Hill,58,133,22,104,,,,,,,18,,,,,,,,,,,,,,,,,,,,,14.9,34.3,5.7,26.8,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,11483
Bonalbo,103,81,53,45,,,18,,,,,,,,,,,,,,,,,,,,,,,,,28.9,22.7,14.8,12.6,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,10463
Coraki,276,391,147,239,,,108,,,,,,,,,,,,,,,,,,,,,,,,,21.7,30.8,11.6,18.8,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,11063
Mallanganee,37,34,8,33,,,,,,,9,,,,,,,,,,,,,,,,,,,,,27.4,25.2,5.9,24.4,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,12457
Dobies Bight,27,27,24,35,,,14,,,,,,,,,,,,,,,,,,,,,,,,,21.3,21.3,18.9,27.6,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,11262
Backmede,16,53,24,42,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9.9,32.7,14.8,25.9,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,10130
Stratheden,50,66,,55,,,14,,,,15,,,,,,,,,,,,,,,,,,,,,23.6,31.1,,25.9,,,6.6,,,,7.1,,,,,,,,,,,,,,,,,,,,,13674
Woodview,11,52,14,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,38.8,10.4,23.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14397
Bentley (NSW),35,44,41,41,,,20,,,,,,,,,,,,,,,,,,,,,,,,,16.9,21.3,19.8,19.8,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,10298
Spring Grove,98,147,,83,,,25,,,,32,,,,,,,,,,,,,,,,,,,,,22.8,34.3,,19.3,,,5.8,,,,7.5,,,,,,,,,,,,,,,,,,,,,13614
Greenridge,29,31,29,40,,,7,,,,,,,,,,,,,,,,,,,,,,,,,19.2,20.5,19.2,26.5,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,11768
McKees Hill,69,139,17,63,,,,,,,15,,,,,,,,,,,,,,,,,,,,,20.2,40.8,5.0,18.5,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,12543
Tatham,45,69,17,38,,,14,,,,,,,,,,,,,,,,,,,,,,,,,21.4,32.9,8.1,18.1,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,13773
West Coraki,27,23,38,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,19.0,31.4,19.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,14243
Ellangowan (NSW),90,52,49,54,,,21,,,,,,,,,,,,,,,,,,,,,,,,,28.2,16.3,15.4,16.9,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,11400
Leeville,51,69,33,58,,,10,,,,,,,,,,,,,,,,,,,,,,,,,20.8,28.2,13.5,23.7,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,12295
Shannon Brook,29,37,36,54,,,14,,,,,,,,,,,,,,,,,,,,,,,,,16.2,20.7,20.1,30.2,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,13525
Rappville,48,20,16,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,12.4,9.9,28.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,13318
Goonellabah,"3,505","3,026","1,246","2,058",,,,,,,707,,,,,,,,,,,,,,,,,,,,,27.1,23.4,9.7,15.9,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,11711
Chilcotts Grass,66,62,19,39,,,,,,,13,,,,,,,,,,,,,,,,,,,,,30.6,28.7,8.8,18.1,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,10903
Eden Creek,69,19,22,11,,,12,,,,,,,,,,,,,,,,,,,,,,,,,43.7,12.0,13.9,7.0,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,11376
West Wiangaree,34,23,11,20,,,,,,,10,,,,,,,,,,,,,,,,,,,,,30.9,20.9,10.0,18.2,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,14254
Wiangaree,45,26,7,29,,,15,,,,,,,,,,,,,,,,,,,,,,,,,34.1,19.7,5.3,22.0,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,14283
Doubtful Creek,32,36,,28,,,9,,,,23,,,,,,,,,,,,,,,,,,,,,23.2,26.1,,20.3,,,6.5,,,,16.7,,,,,,,,,,,,,,,,,,,,,11282
Ettrick (NSW),32,36,8,20,,,,,,,9,,,,,,,,,,,,,,,,,,,,,25.0,28.1,6.2,15.6,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,11448
Kyogle,548,478,304,393,,,190,,,,,,,,,,,,,,,,,,,,,,,,,25.0,21.8,13.9,17.9,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,12229
Cedar Point,32,46,13,40,,,,,,,20,,,,,,,,,,,,,,,,,,,,,19.2,27.5,7.8,24.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,10871
Geneva,141,175,68,152,,,71,,,,,,,,,,,,,,,,,,,,,,,,,19.8,24.6,9.6,21.3,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,11599
Upper Horseshoe Creek,50,,28,19,,,11,,10,,,,,,,,,,,,,,,,,,,,,,,39.7,,22.2,15.1,,,8.7,,7.9,,,,,,,,,,,,,,,,,,,,,,,14028
Barkers Vale,111,8,36,6,,7,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,4.7,21.1,3.5,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,10201
Wadeville,88,15,25,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,9.3,15.5,4.3,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,14082
Lillian Rock,115,9,44,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,4.4,21.4,4.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,12323
Fawcetts Plain,21,54,19,19,,,21,,,,,,,,,,,,,,,,,,,,,,,,,14.3,36.7,12.9,12.9,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,11498
New Park,26,30,12,41,,,17,,,,,,,,,,,,,,,,,,,,,,,,,17.4,20.1,8.1,27.5,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,12945
Homeleigh,39,14,17,18,,,6,,,,,,,,,,,,,,,,,,,,,,,,,37.5,13.5,16.3,17.3,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,11931
Cawongla,79,30,25,24,,8,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,16.5,13.7,13.2,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,10864
Green Pigeon,75,10,23,21,,9,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,6.4,14.6,13.4,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,11752
Collins Creek,48,19,27,15,,,,,,,,,,,,,,,,,,10,,,,,,,,,,35.0,13.9,19.7,10.9,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,10978
East Lismore,"1,495","1,104",617,740,,,,,,,284,,,,,,,,,,,,,,,,,,,,,30.0,22.2,12.4,14.9,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,11358
Lismore (NSW),"1,269",720,456,477,,,135,,,,,,,,,,,,,,,,,,,,,,,,,35.5,20.1,12.7,13.3,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,12344
Lismore Heights,734,500,223,304,,,90,,,,,,,,,,,,,,,,,,,,,,,,,33.4,22.8,10.2,13.8,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,12345
South Lismore,680,391,216,274,,,85,,,,,,,,,,,,,,,,,,,,,,,,,36.2,20.8,11.5,14.6,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,13589
Girards Hill,563,239,166,145,,,,,,,50,,,,,,,,,,,,,,,,,,,,,42.5,18.1,12.5,11.0,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,11631
Monaltrie,39,57,10,54,,,,,,,14,,,,,,,,,,,,,,,,,,,,,20.6,30.2,5.3,28.6,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,12674
North Lismore,288,179,106,95,,,23,,,,,,,,,,,,,,,,,,,,,,,,,37.1,23.0,13.6,12.2,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,12994
Loftville,63,34,48,31,,,25,,,,,,,,,,,,,,,,,,,,,,,,,27.2,14.7,20.7,13.4,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,12372
Modanville,179,149,60,111,,,26,,,,,,,,,,,,,,,,,,,,,,,,,28.8,24.0,9.6,17.8,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,12655
Clunes (NSW),410,92,101,108,,,38,,,,,,,,,,,,,,,,,,,,,,,,,47.7,10.7,11.8,12.6,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,10939
Terania Creek,123,15,7,13,,5,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,8.2,3.8,7.1,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,13794
The Channon,187,28,45,37,,27,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,7.5,12.0,9.9,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,13816
Koonorigan,115,79,25,50,,,,,,,9,,,,,,,,,,,,,,,,,,,,,39.0,26.8,8.5,16.9,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,12188
Rosebank,201,35,74,47,,,,,,,21,,,,,,,,,,,,,,,,,,,,,47.6,8.3,17.5,11.1,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,13401
Corndale (NSW),159,42,35,30,,,,,,,22,,,,,,,,,,,,,,,,,,,,,50.5,13.3,11.1,9.5,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,11076
East Coraki,36,78,14,38,,,24,,,,,,,,,,,,,,,,,,,,,,,,,17.2,37.3,6.7,18.2,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,11347
Tregeagle,104,104,,103,,,40,,,,28,,,,,,,,,,,,,,,,,,,,,23.2,23.2,,23.0,,,8.9,,,,6.2,,,,,,,,,,,,,,,,,,,,,13933
Wyrallah,127,94,41,86,,,,,,,31,,,,,,,,,,,,,,,,,,,,,28.7,21.3,9.3,19.5,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,14449
South Gundurimba,84,66,34,60,,,26,,,,,,,,,,,,,,,,,,,,,,,,,27.0,21.2,10.9,19.3,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,13585
Caniaba,113,223,65,110,,,44,,,,,,,,,,,,,,,,,,,,,,,,,17.5,34.5,10.0,17.0,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,10790
Blakebrook,34,50,20,26,,,,,,,11,,,,,,,,,,,,,,,,,,,,,23.0,33.8,13.5,17.6,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,10402
Booerie Creek,36,35,37,30,,,9,,,,,,,,,,,,,,,,,,,,,,,,,22.2,21.6,22.8,18.5,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,10475
Goolmangar,59,39,23,23,,,,,,,29,,,,,,,,,,,,,,,,,,,,,30.4,20.1,11.9,11.9,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,11708
Keerrong,55,32,27,20,,,,7,,,,,,,,,,,,,,,,,,,,,,,,36.4,21.2,17.9,13.2,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,12083
Tullera,62,89,31,51,,,,,,,14,,,,,,,,,,,,,,,,,,,,,22.5,32.2,11.2,18.5,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,13956
Bexhill,167,118,,77,,,45,,,,34,,,,,,,,,,,,,,,,,,,,,33.1,23.4,,15.3,,,8.9,,,,6.7,,,,,,,,,,,,,,,,,,,,,10333
Richmond Hill (NSW),198,243,65,127,,,59,,,,,,,,,,,,,,,,,,,,,,,,,24.0,29.4,7.9,15.4,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,13361
Boat Harbour (Lismore - NSW),40,30,25,23,,,,,,,,7,,,,,,,,,,,,,,,,,,,,28.6,21.4,17.9,16.4,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,10424
McLeans Ridges,168,84,61,107,,,25,,,,,,,,,,,,,,,,,,,,,,,,,33.3,16.6,12.1,21.2,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,12545
Eltham (NSW),134,59,25,52,,,,,,,22,,,,,,,,,,,,,,,,,,,,,38.8,17.1,7.2,15.1,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,11409
Lindendale,83,49,17,56,,,10,,,,,,,,,,,,,,,,,,,,,,,,,34.6,20.4,7.1,23.3,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,12336
Nimbin,785,93,297,79,,41,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,6.2,19.7,5.3,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,12965
Stony Chute,83,15,34,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,9.2,20.9,4.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,13667
Blue Knob,114,11,55,9,,,,,,,,,,,,,,,,,,,,,9,,,,,,,52.3,5.0,25.2,4.1,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,10416
Tuntable Creek,105,,23,23,,20,,,,,8,,,,,,,,,,,,,,,,,,,,,54.1,,11.9,11.9,,10.3,,,,,4.1,,,,,,,,,,,,,,,,,,,,,13971
