,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
Bombala,280,328,108,477,,,,,,,92,,,,,,,,,,,,,,,,,,,,,20.3,23.8,7.8,34.6,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,10455
Cathcart (NSW),22,20,11,47,,,5,,,,,,,,,,,,,,,,,,,,,,,,,20.4,18.5,10.2,43.5,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,10855
Cooma (NSW),"1,746","1,751",883,"1,256",,,,,,,,165,,,,,,,,,,,,,,,,,,,,26.1,26.2,13.2,18.8,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,11036
Kosciuszko National Park,214,70,167,57,11,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,12.3,29.2,10.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,12199
Adaminaby,84,91,23,75,,,11,,,,,,,,,,,,,,,,,,,,,,,,,27.5,29.7,7.5,24.5,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,10015
Nimmitabel,68,72,23,86,,,17,,,,,,,,,,,,,,,,,,,,,,,,,21.5,22.8,7.3,27.2,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,12966
Numeralla,83,36,56,52,,,,,,,9,,,,,,,,,,,,,,,,,,,,,33.2,14.4,22.4,20.8,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,13039
Colinton (NSW),41,16,25,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,13.9,21.7,13.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,10968
Dairymans Plains,39,44,9,31,,,7,,,,,,,,,,,,,,,,,,,,,,,,,25.8,29.1,6.0,20.5,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,11188
Binjura,98,78,42,42,,,,,,,,23,,,,,,,,,,,,,,,,,,,,30.3,24.1,13.0,13.0,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,10370
Bunyan,37,56,9,29,,,,,,,,7,,,,,,,,,,,,,,,,,,,,26.1,39.4,6.3,20.4,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,10691
Bredbo,95,94,42,75,,,12,,,,,,,,,,,,,,,,,,,,,,,,,26.9,26.6,11.9,21.2,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,10559
Berridale,404,267,106,275,,,31,,,,,,,,,,,,,,,,,,,,,,,,,34.0,22.5,8.9,23.1,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,10316
Kalkite,79,48,19,38,,,,,,,6,,,,,,,,,,,,,,,,,,,,,38.0,23.1,9.1,18.3,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,12052
