,Average number of people per household,Average number of persons per bedroom,Median weekly household income,Average number of people per household (%),Average number of persons per bedroom (%),Median weekly household income (%),SSC_CODE
Singleton (NSW),2.9,0.9,958.0,--,--,--,13549
Whittingham,2.0,0.7,1749.0,--,--,--,14279
Glenridding,2.5,1.4,1124.0,--,--,--,11676
Singleton Heights,3.0,0.9,1215.0,--,--,--,13550
Wattle Ponds,4.2,0.9,2416.0,--,--,--,14193
Darlington (Singleton - NSW),3.2,0.7,1375.0,--,--,--,11213
Broke (NSW),4.4,1.4,1374.0,--,--,--,10590
Bulga (NSW),3.7,1.2,1458.0,--,--,--,10651
Jerrys Plains,0.0,1.0,2124.0,--,--,--,12021
Maison Dieu,3.0,0.7,1687.0,--,--,--,12448
Maitland (NSW),2.6,1.0,1031.0,--,--,--,12449
South Maitland,3.0,0.9,1562.0,--,--,--,13591
Gillieston Heights,3.8,1.0,1968.0,--,--,--,11624
Louth Park,3.2,1.0,2374.0,--,--,--,12395
Horseshoe Bend,1.6,0.6,1437.0,--,--,--,11939
East Maitland,2.8,0.9,1348.0,--,--,--,11360
Metford,3.4,1.0,1028.0,--,--,--,12592
Tenambit,3.4,1.0,1017.0,--,--,--,13787
Raworth,3.3,0.9,1875.0,--,--,--,13325
Morpeth,1.9,0.6,1416.0,--,--,--,12727
Ashtonfield,3.3,0.9,1859.0,--,--,--,10102
Chisholm (NSW),3.4,0.9,2083.0,--,--,--,10909
Largs,3.0,0.9,1812.0,--,--,--,12278
Bolwarra Heights,4.0,0.8,2125.0,--,--,--,10451
Lorn,2.3,0.8,2125.0,--,--,--,12389
Bolwarra (NSW),3.5,0.8,1875.0,--,--,--,10450
Rutherford,3.3,0.9,1227.0,--,--,--,13449
Aberglasslyn,3.5,0.9,1636.0,--,--,--,10009
Lochinvar,3.0,0.9,1374.0,--,--,--,12368
Windella,4.0,0.9,2750.0,--,--,--,14317
Telarah,2.9,1.0,1047.0,--,--,--,13780
Farley,4.0,1.3,2249.0,--,--,--,11490
Bishops Bridge,6.0,1.0,2583.0,--,--,--,10380
Thornton (NSW),3.2,0.9,1521.0,--,--,--,13851
Millers Forest,4.0,1.3,1937.0,--,--,--,12618
Anna Bay,3.6,0.9,1350.0,--,--,--,10060
Boat Harbour (Port Stephens - NSW),3.4,0.9,2250.0,--,--,--,10425
Bobs Farm,3.0,1.0,1574.0,--,--,--,10429
One Mile (NSW),3.1,1.0,1875.0,--,--,--,13085
Lemon Tree Passage,3.2,0.9,1300.0,--,--,--,12300
Mallabula,3.2,1.0,1174.0,--,--,--,12455
Tanilba Bay,3.4,0.9,1021.0,--,--,--,13748
Salamander Bay,3.5,1.0,1279.0,--,--,--,13463
Soldiers Point,3.0,0.9,900.0,--,--,--,13570
Corlette,3.0,0.8,1571.0,--,--,--,11075
Nelson Bay (NSW),3.2,1.0,1292.0,--,--,--,12923
Fingal Bay,2.4,1.1,1187.0,--,--,--,11518
Shoal Bay (NSW),2.9,0.8,1281.0,--,--,--,13539
Raymond Terrace,3.3,1.0,1091.0,--,--,--,13327
Heatherbrae,2.2,1.1,856.0,--,--,--,11884
Duns Creek,4.0,1.0,2624.0,--,--,--,11326
Seaham,3.5,0.6,1875.0,--,--,--,13510
Wallalong,3.7,1.2,1875.0,--,--,--,14104
Brandy Hill,2.0,0.0,2125.0,--,--,--,10548
Hinton,5.0,1.6,1187.0,--,--,--,11916
East Seaham,3.0,0.0,1874.0,--,--,--,11362
Nelsons Plains,6.0,1.2,0.0,--,--,--,12924
Tea Gardens,2.7,0.9,1531.0,--,--,--,13779
North Arm Cove,3.1,0.7,1125.0,--,--,--,12979
Bundabah,1.5,0.5,575.0,--,--,--,10668
Pindimar,2.0,1.0,1375.0,--,--,--,13211
Hawks Nest,2.3,1.0,1031.0,--,--,--,11873
Karuah,3.0,1.1,911.0,--,--,--,12076
Medowie,3.6,1.0,1702.0,--,--,--,12554
Salt Ash,3.1,0.9,1374.0,--,--,--,13467
Williamtown,1.5,1.0,1375.0,--,--,--,14299
Twelve Mile Creek,2.0,0.0,1937.0,--,--,--,13988
Swan Bay (Port Stephens - NSW),4.0,1.0,1041.0,--,--,--,13704
Muswellbrook,3.0,0.9,1101.0,--,--,--,12868
Denman,3.2,1.0,1093.0,--,--,--,11241
Castle Rock,2.0,0.4,1874.0,--,--,--,10848
Aberdeen (NSW),3.1,1.0,1410.0,--,--,--,10007
Wybong,0.0,0.0,1024.0,--,--,--,14436
Sandy Hollow,3.1,1.0,2083.0,--,--,--,13486
Scone,2.8,0.8,1180.0,--,--,--,13503
Murrurundi,2.5,0.8,1125.0,--,--,--,12864
Wingen,2.0,1.0,1074.0,--,--,--,14331
Merriwa (NSW),3.0,0.9,1025.0,--,--,--,12585
Dapto,3.4,0.9,1366.0,--,--,--,11202
Kanahooka,3.5,1.0,1812.0,--,--,--,12055
Koonawarra,3.8,1.1,1036.0,--,--,--,12187
Avondale (NSW),2.9,1.3,833.0,--,--,--,10116
Haywards Bay,3.0,1.1,2125.0,--,--,--,11880
Brownsville,2.8,1.0,933.0,--,--,--,10612
Horsley,3.5,0.9,2050.0,--,--,--,11942
Port Kembla,2.8,1.1,981.0,--,--,--,13245
Coniston,2.6,0.9,1375.0,--,--,--,11010
Unanderra,2.5,1.0,762.0,--,--,--,14008
Mount Kembla,3.0,0.9,2249.0,--,--,--,12769
Kembla Heights,4.0,1.3,0.0,--,--,--,12093
Cordeaux Heights,3.1,0.9,2124.0,--,--,--,11070
Farmborough Heights,3.6,1.0,1906.0,--,--,--,11491
Berkeley,3.1,1.0,942.0,--,--,--,10303
Cringila,2.6,1.0,1125.0,--,--,--,11116
Lake Heights,3.0,1.1,1265.0,--,--,--,12248
Warrawong,3.3,1.2,850.0,--,--,--,14167
Windang,2.5,1.0,1208.0,--,--,--,14316
Primbee,2.6,0.8,1375.0,--,--,--,13264
Bulli,3.0,1.0,1399.0,--,--,--,10662
Bargo,3.6,0.9,1781.0,--,--,--,10198
Yerrinbool,2.7,0.8,1625.0,--,--,--,14510
Wilton (NSW),3.7,0.9,2125.0,--,--,--,14311
Pheasants Nest,5.0,1.0,1375.0,--,--,--,13191
Albion Park,3.5,0.9,1787.0,--,--,--,10025
Albion Park Rail,3.5,1.0,1312.0,--,--,--,10026
Kiama,2.9,1.1,1531.0,--,--,--,12116
Kiama Heights,2.0,0.0,1875.0,--,--,--,12118
Kiama Downs,3.8,1.1,2036.0,--,--,--,12117
Minnamurra,2.0,0.6,2583.0,--,--,--,12639
Gerringong,3.1,1.0,2166.0,--,--,--,11606
Jamberoo,2.5,1.0,2124.0,--,--,--,11998
Werri Beach,4.0,0.0,2149.0,--,--,--,14233
Flinders (NSW),3.5,1.1,1825.0,--,--,--,11534
Shellharbour,3.1,1.1,1542.0,--,--,--,13533
Shell Cove,3.5,0.9,2708.0,--,--,--,13532
Barrack Point,3.7,1.1,1249.0,--,--,--,10208
Oak Flats,3.7,1.1,1359.0,--,--,--,13053
Blackbutt (NSW),3.2,1.0,1687.0,--,--,--,10391
Warilla,3.3,1.0,1014.0,--,--,--,14151
Lake Illawarra,2.4,0.9,916.0,--,--,--,12250
Barrack Heights,3.4,1.0,1262.0,--,--,--,10207
Mount Warrigal,3.3,0.9,1031.0,--,--,--,12801
Fairy Meadow,3.0,1.0,1228.0,--,--,--,11484
Balgownie,3.2,0.9,1125.0,--,--,--,10155
Gwynneville,2.6,1.0,1312.0,--,--,--,11825
North Wollongong,2.1,1.0,1468.0,--,--,--,13017
Mount Ousley,2.7,1.0,2749.0,--,--,--,12782
Mount Pleasant (NSW),3.0,1.0,3249.0,--,--,--,12784
Tarrawanna,3.0,0.9,2124.0,--,--,--,13769
Corrimal,3.1,1.1,1318.0,--,--,--,11082
Towradgi,3.6,1.1,1312.0,--,--,--,13929
Fernhill,2.4,0.9,665.0,--,--,--,11507
East Corrimal,2.8,1.0,1145.0,--,--,--,11348
Bellambi,3.1,0.9,762.0,--,--,--,10264
West Wollongong,2.2,0.9,1031.0,--,--,--,14255
Keiraville,2.8,0.9,1375.0,--,--,--,12085
Figtree,3.2,1.0,1476.0,--,--,--,11515
Helensburgh,3.3,1.0,2218.0,--,--,--,11890
Stanwell Park,3.7,1.0,1687.0,--,--,--,13653
Thirroul,3.1,0.9,1843.0,--,--,--,13848
Austinmer,3.5,1.0,1437.0,--,--,--,10108
Coledale,3.7,0.8,2750.0,--,--,--,10966
Wombarra,3.7,1.2,3250.0,--,--,--,14363
Woonona,2.9,1.0,1645.0,--,--,--,14416
Russell Vale,3.1,1.2,1399.0,--,--,--,13448
Wollongong,2.1,0.9,1116.0,--,--,--,14358
Mount Saint Thomas,2.5,1.0,725.0,--,--,--,12791
Bulahdelah,2.1,0.8,756.0,--,--,--,10649
Stroud,3.4,1.4,1468.0,--,--,--,13677
Girvan,2.9,1.2,1149.0,--,--,--,11637
Allworth,1.9,1.0,1125.0,--,--,--,10041
Booral (NSW),0.0,0.5,850.0,--,--,--,10496
Limeburners Creek (Mid-Coast - NSW),3.8,1.1,1187.0,--,--,--,12328
Forster (NSW),3.2,1.0,996.0,--,--,--,11550
Green Point (Mid-Coast - NSW),2.8,0.8,1125.0,--,--,--,11755
Tarbuck Bay,3.5,1.0,1062.0,--,--,--,13762
Nabiac,3.4,1.1,1062.0,--,--,--,12885
Failford,2.0,0.0,724.0,--,--,--,11476
Coomba Park,2.8,0.7,949.0,--,--,--,11038
Smiths Lake,2.3,0.8,1093.0,--,--,--,13563
Coolongolook,3.0,0.9,725.0,--,--,--,11032
Coomba Bay,1.0,0.0,474.0,--,--,--,11037
Elizabeth Beach,1.6,0.5,575.0,--,--,--,11396
Blueys Beach,1.0,0.5,483.0,--,--,--,10420
Tuncurry,2.4,0.9,789.0,--,--,--,13969
South Kempsey,3.0,1.0,833.0,--,--,--,13588
West Kempsey,3.0,1.0,713.0,--,--,--,14247
Kempsey,2.8,1.2,762.0,--,--,--,12095
Frederickton,3.9,1.0,1410.0,--,--,--,11561
Aldavilla,4.3,1.0,1624.0,--,--,--,10028
Dondingalong,3.0,0.5,1687.0,--,--,--,11272
Greenhill (NSW),3.4,1.1,693.0,--,--,--,11763
East Kempsey,3.6,1.0,1125.0,--,--,--,11354
Yarravel,3.1,0.8,1062.0,--,--,--,14483
Stuarts Point,2.9,1.0,933.0,--,--,--,13681
Hat Head,2.5,0.9,933.0,--,--,--,11869
Smithtown,4.4,1.5,850.0,--,--,--,13564
Willawarrin,3.3,0.9,1312.0,--,--,--,14295
Temagog,2.5,1.1,1125.0,--,--,--,13783
Crescent Head,2.8,0.9,1024.0,--,--,--,11114
Fishermans Reach,0.0,0.0,575.0,--,--,--,11524
Bellimbopinni,0.0,0.5,699.0,--,--,--,10272
Kundabung,4.0,1.5,1416.0,--,--,--,12209
Bellbrook,3.1,0.6,959.0,--,--,--,10270
Macksville,3.6,1.0,929.0,--,--,--,12430
North Macksville,3.4,1.0,1062.0,--,--,--,12995
Way Way,2.0,0.0,1624.0,--,--,--,14203
Scotts Head,2.7,1.0,1281.0,--,--,--,13508
Gumma,5.0,1.0,1125.0,--,--,--,11801
Nambucca Heads,3.0,1.0,771.0,--,--,--,12887
Hyland Park,1.5,0.6,1937.0,--,--,--,11968
Bowraville,3.3,1.2,769.0,--,--,--,10537
Valla Beach,2.8,0.9,1125.0,--,--,--,14068
South Arm (Nambucca - NSW),2.7,1.0,575.0,--,--,--,13575
Newee Creek,5.0,0.0,1999.0,--,--,--,12952
Congarinni North,3.0,1.0,849.0,--,--,--,11006
Eungai Rail,2.0,0.0,762.0,--,--,--,11459
Yarranbella,5.0,1.0,774.0,--,--,--,14478
Missabotti,1.4,0.6,1125.0,--,--,--,12649
South West Rocks,3.1,1.0,1098.0,--,--,--,13600
Arakoon,2.0,0.8,1149.0,--,--,--,10069
Lake Cathie,3.4,1.0,1325.0,--,--,--,12243
Bonny Hills,3.1,0.9,1666.0,--,--,--,10470
North Haven (NSW),2.6,0.9,833.0,--,--,--,12992
West Haven,2.8,1.0,1812.0,--,--,--,14245
Laurieton,2.2,0.8,860.0,--,--,--,12283
Herons Creek,4.0,1.0,900.0,--,--,--,11897
Lakewood,3.6,1.1,1125.0,--,--,--,12259
Dunbogan,2.6,1.1,1562.0,--,--,--,11310
Johns River,2.6,0.7,1312.0,--,--,--,12037
Port Macquarie,3.1,1.0,1173.0,--,--,--,13246
Lake Innes,2.0,1.2,2625.0,--,--,--,12251
Thrumster,3.5,0.9,2374.0,--,--,--,13852
North Shore (NSW),2.6,0.0,1437.0,--,--,--,13006
Telegraph Point,1.0,0.7,1375.0,--,--,--,13781
Gum Scrub,1.0,0.0,900.0,--,--,--,11797
Cooperabung,4.4,1.0,1875.0,--,--,--,11046
Mortons Creek,2.0,0.6,1437.0,--,--,--,12731
Byabarra,3.0,1.0,1999.0,--,--,--,10727
Ellenborough,4.0,0.6,1062.0,--,--,--,11401
Comboyne,2.5,1.0,474.0,--,--,--,10992
Wauchope,3.5,1.0,971.0,--,--,--,14197
Beechwood,3.1,0.7,1041.0,--,--,--,10248
Redbank (NSW),0.0,0.0,2125.0,--,--,--,13336
Crosslands,3.4,0.8,1187.0,--,--,--,11127
King Creek,3.2,0.8,1875.0,--,--,--,12145
Sancrox,1.0,0.0,1749.0,--,--,--,13471
Gloucester,3.0,0.9,984.0,--,--,--,11685
Stratford (NSW),1.5,0.4,1124.0,--,--,--,13672
Barrington (NSW),2.4,1.5,1166.0,--,--,--,10216
Diamond Beach,2.7,1.0,762.0,--,--,--,11251
Manning Point,2.0,2.0,899.0,--,--,--,12478
Mitchells Island,3.0,0.7,900.0,--,--,--,12652
Oxley Island,5.0,0.0,1125.0,--,--,--,13109
Old Bar,3.0,0.9,1104.0,--,--,--,13073
Black Head,2.0,1.0,1624.0,--,--,--,10384
Red Head,2.5,0.8,1062.0,--,--,--,13329
Rainbow Flat,2.6,0.8,2125.0,--,--,--,13305
Hallidays Point,2.5,1.0,899.0,--,--,--,11832
Wallabi Point,4.5,1.0,1024.0,--,--,--,14099
Taree,3.1,1.0,765.0,--,--,--,13764
Cundletown,3.3,1.0,1042.0,--,--,--,11161
Taree South,2.0,0.6,1087.0,--,--,--,13765
Pampoolah,2.0,0.8,1812.0,--,--,--,13142
Glenthorne,2.5,0.3,687.0,--,--,--,11680
Tinonee,2.9,0.9,1312.0,--,--,--,13876
Harrington,2.6,0.8,1025.0,--,--,--,11858
Coopernook,3.3,0.9,749.0,--,--,--,11047
Moorland (NSW),3.7,1.2,1375.0,--,--,--,12714
Upper Lansdowne,2.2,0.8,849.0,--,--,--,14033
Lansdowne (Mid-Coast - NSW),2.8,0.9,762.0,--,--,--,12273
Cedar Party,4.0,1.6,1375.0,--,--,--,10870
Marlee,3.7,1.2,0.0,--,--,--,12494
Elands,0.0,0.0,350.0,--,--,--,11388
Mount George (NSW),3.0,1.5,1375.0,--,--,--,12761
Mondrook,5.0,1.1,1625.0,--,--,--,12676
Hillville,3.5,0.9,1375.0,--,--,--,11913
Dyers Crossing,3.0,0.6,1749.0,--,--,--,11338
Firefly,3.5,1.0,1187.0,--,--,--,11521
Coralville,2.0,0.0,1274.0,--,--,--,11064
Wingham,3.3,1.0,1039.0,--,--,--,14332
Thurgoona,3.6,1.0,1589.0,--,--,--,13856
East Albury,2.7,0.7,1149.0,--,--,--,11344
North Albury,2.9,1.0,697.0,--,--,--,12977
Lavington,2.9,0.9,913.0,--,--,--,12287
Glenroy (Albury - NSW),2.8,0.7,1625.0,--,--,--,11678
Hamilton Valley,2.0,0.8,1333.0,--,--,--,11842
Albury,2.2,0.8,866.0,--,--,--,10027
South Albury,1.3,0.8,725.0,--,--,--,13573
West Albury,3.4,0.9,682.0,--,--,--,14239
Jindera,3.7,1.6,1291.0,--,--,--,12032
Holbrook,3.9,1.0,725.0,--,--,--,11920
Table Top,5.0,0.0,1749.0,--,--,--,13722
Gerogery,4.0,1.0,1812.0,--,--,--,11605
Walla Walla,3.5,1.0,1125.0,--,--,--,14097
Culcairn,2.9,0.7,1166.0,--,--,--,11147
Henty (NSW),3.7,1.2,725.0,--,--,--,11892
Springdale Heights,3.3,1.0,640.0,--,--,--,13622
Hay (NSW),3.0,0.8,833.0,--,--,--,11874
Hay South,1.5,0.8,1125.0,--,--,--,11875
Gol Gol,2.8,0.9,866.0,--,--,--,11693
Buronga,2.6,0.9,900.0,--,--,--,10696
Wentworth (NSW),2.4,0.8,819.0,--,--,--,14225
Coomealla,3.6,1.1,537.0,--,--,--,11041
Dareton,3.2,1.1,725.0,--,--,--,11206
Curlwaa,1.0,0.0,350.0,--,--,--,11170
Euston,3.7,1.0,1375.0,--,--,--,11468
Balranald,2.9,1.1,849.0,--,--,--,10168
Corowa,2.6,0.9,1187.0,--,--,--,11080
Rand,5.0,1.1,1624.0,--,--,--,13311
Oaklands,4.0,1.3,1149.0,--,--,--,13059
Urana,2.0,0.6,449.0,--,--,--,14052
Deniliquin,2.7,0.9,781.0,--,--,--,11237
Mathoura,3.0,1.0,1312.0,--,--,--,12522
Barham,2.8,0.7,1249.0,--,--,--,10199
Wakool,2.0,0.6,1062.0,--,--,--,14090
Moulamein,1.5,0.8,725.0,--,--,--,12743
Moama,2.8,0.8,1017.0,--,--,--,12654
Barooga,2.9,1.1,1375.0,--,--,--,10205
Tocumwal,2.7,0.7,1093.0,--,--,--,13886
Finley,2.7,0.9,1267.0,--,--,--,11520
Berrigan,2.8,0.9,899.0,--,--,--,10318
Jerilderie,1.8,0.8,1083.0,--,--,--,12014
Armidale,2.9,1.0,916.0,--,--,--,10085
Guyra,3.2,0.9,949.0,--,--,--,11822
South Guyra,4.3,0.9,1187.0,--,--,--,13586
Hillgrove (Armidale Regional - NSW),2.0,0.0,1249.0,--,--,--,11907
Uralla (NSW),3.0,1.0,888.0,--,--,--,14051
Arding,2.0,1.0,1149.0,--,--,--,10075
Kentucky,2.0,0.6,474.0,--,--,--,12102
Rocky River (Uralla - NSW),3.0,1.0,612.0,--,--,--,13390
Walcha,2.4,0.7,866.0,--,--,--,14093
Woolbrook,3.1,1.0,1125.0,--,--,--,14400
Glen Innes,2.8,0.9,805.0,--,--,--,11649
Emmaville,4.1,1.2,833.0,--,--,--,11414
Deepwater (NSW),1.6,1.0,833.0,--,--,--,11231
Red Range,2.0,0.6,899.0,--,--,--,13333
Inverell,3.1,1.1,837.0,--,--,--,11981
Ashford (NSW),2.1,0.8,900.0,--,--,--,10099
Tingha,3.6,1.1,1136.0,--,--,--,13874
Bundarra,3.3,0.8,949.0,--,--,--,10671
Gilgai,3.0,0.8,1031.0,--,--,--,11618
Oakwood (NSW),2.0,0.6,966.0,--,--,--,13061
Bingara,2.7,1.1,883.0,--,--,--,10365
Gravesend,2.8,0.9,1687.0,--,--,--,11742
Delungra,3.2,1.1,900.0,--,--,--,11234
Warialda,2.9,1.0,1160.0,--,--,--,14149
Warialda Rail,1.0,0.0,575.0,--,--,--,14150
Upper Horton,0.0,0.0,949.0,--,--,--,14029
Tabulam,2.9,0.9,675.0,--,--,--,13723
Tenterfield,2.8,0.9,776.0,--,--,--,13792
Drake,1.9,0.8,575.0,--,--,--,11290
Urbenville,2.7,1.0,519.0,--,--,--,14057
Woodenbong,3.4,0.9,762.0,--,--,--,14382
Moree,2.8,0.9,838.0,--,--,--,12722
Pallamallawa,2.9,0.8,1406.0,--,--,--,13131
Garah,2.5,0.9,899.0,--,--,--,11586
Boomi,1.5,0.6,725.0,--,--,--,10489
Ashley,3.1,1.2,1666.0,--,--,--,10100
Boggabilla,3.9,1.1,706.0,--,--,--,10441
Mungindi (NSW),3.2,1.3,900.0,--,--,--,12843
Gurley,0.0,0.6,0.0,--,--,--,11817
Bellata,2.6,0.9,1062.0,--,--,--,10266
Narrabri,3.0,1.0,1019.0,--,--,--,12903
Wee Waa,2.7,0.8,962.0,--,--,--,14211
Merah North,5.0,1.0,1187.0,--,--,--,12572
Baan Baa,2.0,0.6,575.0,--,--,--,10120
Bohena Creek,3.0,0.6,1625.0,--,--,--,10444
Jacks Creek,2.0,1.0,1499.0,--,--,--,11993
Gunnedah,3.1,1.0,1084.0,--,--,--,11812
Curlewis (NSW),3.2,0.9,866.0,--,--,--,11169
Boggabri,2.9,0.9,1303.0,--,--,--,10442
Carroll,2.8,1.2,966.0,--,--,--,10832
Breeza,2.0,0.8,1187.0,--,--,--,10561
Caroona,2.9,0.7,743.0,--,--,--,10823
Spring Ridge,0.0,0.6,1125.0,--,--,--,13619
Mullaley,1.5,0.6,900.0,--,--,--,12820
Werris Creek,2.8,1.0,1018.0,--,--,--,14238
Quirindi,2.7,0.9,991.0,--,--,--,13301
Currabubula,0.0,1.0,649.0,--,--,--,11172
Quipolly,4.0,1.0,1687.0,--,--,--,13300
Hillvue,3.4,0.9,1507.0,--,--,--,11914
Calala,3.6,0.9,1468.0,--,--,--,10748
Kingswood (Tamworth Regional - NSW),2.8,0.8,1687.0,--,--,--,12164
South Tamworth,2.9,1.0,862.0,--,--,--,13597
West Tamworth,2.9,1.0,740.0,--,--,--,14252
North Tamworth,2.6,0.9,1201.0,--,--,--,13011
Tamworth,1.4,1.0,900.0,--,--,--,13746
East Tamworth,2.7,0.9,1275.0,--,--,--,11363
Oxley Vale,3.5,1.0,1183.0,--,--,--,13111
Nemingha,2.9,0.7,1375.0,--,--,--,12926
Westdale (Tamworth Regional - NSW),3.3,1.0,1394.0,--,--,--,14259
Kootingal,3.3,0.9,1381.0,--,--,--,12194
Duri,3.7,0.8,1999.0,--,--,--,11332
Winton (NSW),2.0,0.5,2250.0,--,--,--,14336
Bective,4.0,0.0,1874.0,--,--,--,10245
Attunga,2.6,0.7,1125.0,--,--,--,10105
Limbri,0.0,0.0,1249.0,--,--,--,12327
Tintinhull,2.0,0.9,1562.0,--,--,--,13879
Moonbi,2.8,0.9,1312.0,--,--,--,12699
Bendemeer,2.0,0.9,774.0,--,--,--,10289
Barraba,2.5,1.1,1208.0,--,--,--,10206
Manilla,3.1,0.9,1036.0,--,--,--,12474
Daruka,2.6,0.8,2250.0,--,--,--,11218
Moore Creek,4.0,1.0,2399.0,--,--,--,12710
Hallsville,2.6,0.8,2249.0,--,--,--,11835
Nundle,2.1,0.6,1020.0,--,--,--,13043
Dungowan,2.0,0.5,949.0,--,--,--,11321
Piallamore,3.3,0.0,1874.0,--,--,--,13195
Woolomin,3.0,0.8,949.0,--,--,--,14408
Warral,2.0,0.0,2374.0,--,--,--,14163
Windale,3.0,1.0,740.0,--,--,--,14315
Jewells,2.9,0.9,2062.0,--,--,--,12024
Belmont North,3.4,1.1,1518.0,--,--,--,10277
Belmont (NSW),2.7,1.1,991.0,--,--,--,10276
Floraville,3.6,1.0,1812.0,--,--,--,11535
Blacksmiths,2.9,0.9,1624.0,--,--,--,10396
Pelican (NSW),2.3,1.0,1375.0,--,--,--,13178
Marks Point,2.6,1.1,1031.0,--,--,--,12492
Belmont South,2.5,1.1,1083.0,--,--,--,10278
Kahibah,2.7,1.1,1781.0,--,--,--,12048
Charlestown (NSW),2.9,1.0,1571.0,--,--,--,10885
Whitebridge,2.2,0.8,1458.0,--,--,--,14276
Gateshead,3.5,1.0,1027.0,--,--,--,11594
Dudley,2.6,1.0,1416.0,--,--,--,11300
Highfields (NSW),3.4,1.0,1375.0,--,--,--,11902
Garden Suburb,4.0,1.0,1531.0,--,--,--,11587
Cardiff (NSW),2.9,0.9,1333.0,--,--,--,10809
Hillsborough (Lake Macquarie - NSW),3.3,1.0,2250.0,--,--,--,11909
Warners Bay,3.1,1.0,1333.0,--,--,--,14153
Argenton,2.6,1.0,900.0,--,--,--,10078
Glendale (NSW),2.9,1.0,1097.0,--,--,--,11658
Elermore Vale,3.0,1.0,1137.0,--,--,--,11394
Macquarie Hills,3.2,0.9,2125.0,--,--,--,12434
Kotara,2.7,0.9,1781.0,--,--,--,12200
Cardiff South,3.1,1.0,1583.0,--,--,--,10811
New Lambton Heights,2.5,0.9,2083.0,--,--,--,12943
Tingira Heights,3.3,1.0,1350.0,--,--,--,13875
Mount Hutton (NSW),2.7,0.9,1212.0,--,--,--,12766
Eleebana,3.3,0.8,1687.0,--,--,--,11393
Redhead,3.5,0.9,1791.0,--,--,--,13340
Caves Beach,2.7,0.8,1562.0,--,--,--,10862
Nords Wharf,3.5,1.0,1687.0,--,--,--,12975
Swansea (NSW),3.0,1.0,1008.0,--,--,--,13711
Swansea Heads,4.5,1.1,2666.0,--,--,--,13712
Catherine Hill Bay,4.0,0.0,2124.0,--,--,--,10857
Murrays Beach,0.0,1.2,3250.0,--,--,--,12854
Valentine,3.2,0.8,1924.0,--,--,--,14065
Croudace Bay,3.5,1.1,1375.0,--,--,--,11128
Speers Point,3.1,1.0,1292.0,--,--,--,13605
Lakelands (NSW),3.4,0.8,2750.0,--,--,--,12256
Boolaroo,2.8,1.4,1583.0,--,--,--,10482
Booragul,2.6,0.9,866.0,--,--,--,10495
Fennell Bay,2.5,1.0,1416.0,--,--,--,11500
Woodrising,3.5,0.9,1449.0,--,--,--,14391
Bolton Point,3.4,1.0,900.0,--,--,--,10449
Teralba,2.9,1.1,1149.0,--,--,--,13793
Fassifern (NSW),2.9,0.9,1375.0,--,--,--,11495
Sunshine (NSW),2.0,1.0,949.0,--,--,--,13694
Bonnells Bay,3.1,0.9,1300.0,--,--,--,10468
Brightwaters,3.1,0.9,1625.0,--,--,--,10570
Morisset Park,2.9,1.0,2250.0,--,--,--,12724
Windermere Park,3.3,1.0,1458.0,--,--,--,14321
Edgeworth,3.1,1.0,1161.0,--,--,--,11381
Cameron Park,3.7,1.0,1963.0,--,--,--,10775
Cooranbong,3.3,1.0,1328.0,--,--,--,11052
Morisset,2.8,0.9,1156.0,--,--,--,12723
Wyee Point,4.1,0.9,1625.0,--,--,--,14439
Mandalong,4.5,1.3,1875.0,--,--,--,12465
Dora Creek,3.4,1.1,1542.0,--,--,--,11277
Toronto,3.4,1.1,1039.0,--,--,--,13918
Kilaben Bay,3.9,0.6,1874.0,--,--,--,12125
Coal Point,2.6,0.4,1187.0,--,--,--,10943
Carey Bay,2.0,0.6,2250.0,--,--,--,10812
Fishing Point,3.7,0.9,1624.0,--,--,--,11526
Rathmines,2.8,0.8,1149.0,--,--,--,13319
Wangi Wangi,2.7,1.0,1542.0,--,--,--,14135
Arcadia Vale,3.3,0.9,1375.0,--,--,--,10073
Balmoral (Lake Macquarie - NSW),2.8,1.0,2125.0,--,--,--,10166
Barnsley,3.3,1.0,1812.0,--,--,--,10204
Seahampton,2.5,0.6,725.0,--,--,--,13511
West Wallsend,3.1,0.9,1437.0,--,--,--,14253
Killingworth (NSW),3.0,0.8,1375.0,--,--,--,12137
Adamstown Heights,3.1,1.0,1781.0,--,--,--,10017
Adamstown,2.9,1.1,1649.0,--,--,--,10016
Kotara South,2.8,1.2,1187.0,--,--,--,12201
Woodberry,3.2,1.0,1083.0,--,--,--,14377
Beresfield,3.1,0.9,1170.0,--,--,--,10301
Tarro,3.3,0.9,1399.0,--,--,--,13771
Hexham (NSW),0.0,0.0,1074.0,--,--,--,11898
Hamilton South,2.2,0.9,550.0,--,--,--,11841
Broadmeadow,2.8,1.0,1395.0,--,--,--,10578
Hamilton East,4.1,1.1,1708.0,--,--,--,11839
Newcastle West,1.7,1.0,1374.0,--,--,--,12951
Hamilton North,3.6,0.7,1625.0,--,--,--,11840
Hamilton (NSW),2.1,1.0,1483.0,--,--,--,11838
New Lambton,2.8,1.0,1218.0,--,--,--,12942
Lambton,2.7,0.9,1031.0,--,--,--,12264
Jesmond,2.1,0.9,780.0,--,--,--,12023
Maryland (Newcastle - NSW),3.6,1.0,1472.0,--,--,--,12514
Fletcher (NSW),3.7,0.9,1908.0,--,--,--,11533
Warabrook,2.3,0.8,1291.0,--,--,--,14140
