,Average number of people per household,Average number of persons per bedroom,Median weekly household income,Average number of people per household (%),Average number of persons per bedroom (%),Median weekly household income (%),SSC_CODE
North Batemans Bay,2.5,0.7,725.0,--,--,--,12982
Surfside,4.1,1.2,1109.0,--,--,--,13698
Maloneys Beach,4.0,0.0,1499.0,--,--,--,12460
Lilli Pilli (Eurobodalla - NSW),2.0,0.5,1125.0,--,--,--,12321
Malua Bay,3.1,0.9,1624.0,--,--,--,12461
Surf Beach (NSW),3.1,1.0,966.0,--,--,--,13697
Denhams Beach,2.9,0.9,1062.0,--,--,--,11236
Sunshine Bay,3.0,0.8,974.0,--,--,--,13695
Rosedale (NSW),1.0,0.5,0.0,--,--,--,13407
Batehaven,3.3,1.1,979.0,--,--,--,10228
Bega,3.0,1.0,785.0,--,--,--,10253
Tathra,3.7,0.6,1874.0,--,--,--,13774
Wallagoot,3.4,1.3,1625.0,--,--,--,14103
Wolumla,3.5,1.0,725.0,--,--,--,14362
South Wolumla,2.0,0.6,724.0,--,--,--,13602
Wyndham (NSW),0.0,0.0,725.0,--,--,--,14443
Kiah,2.1,0.3,1187.0,--,--,--,12115
Towamba,0.0,0.0,1499.0,--,--,--,13927
Candelo,2.6,1.0,1187.0,--,--,--,10788
Bemboka,2.4,1.0,1374.0,--,--,--,10284
Quaama,2.0,1.1,725.0,--,--,--,13285
Cobargo,2.5,1.1,749.0,--,--,--,10951
Brogo,0.0,0.0,1875.0,--,--,--,10589
Numbugga,2.0,0.6,0.0,--,--,--,13038
Buckajo,3.5,0.0,1874.0,--,--,--,10629
Broulee,3.5,1.0,1375.0,--,--,--,10608
Tomakin,3.5,1.2,1687.0,--,--,--,13890
Mossy Point,0.0,0.0,1149.0,--,--,--,12741
Bodalla,3.2,0.9,833.0,--,--,--,10434
Narooma,2.6,1.1,780.0,--,--,--,12900
Eden,3.1,0.9,672.0,--,--,--,11375
Mogo (Eurobodalla - NSW),3.2,0.9,914.0,--,--,--,12660
Jeremadra,3.3,1.2,1125.0,--,--,--,12012
Mogendoura,5.0,0.0,0.0,--,--,--,12657
Potato Point,3.0,1.3,1624.0,--,--,--,13253
Kianga (NSW),2.4,0.9,900.0,--,--,--,12119
Tuross Head,2.4,0.8,1025.0,--,--,--,13979
Merimbula,2.2,0.7,924.0,--,--,--,12575
Tura Beach,3.6,0.9,1458.0,--,--,--,13973
South Pambula,4.0,1.0,2083.0,--,--,--,13595
Pambula,2.4,1.0,725.0,--,--,--,13140
Berrambool,2.0,0.5,1149.0,--,--,--,10312
Moruya,2.7,0.9,725.0,--,--,--,12734
Moruya Heads,2.7,0.9,1125.0,--,--,--,12735
Bingie,0.0,0.0,899.0,--,--,--,10367
Bermagui,3.1,0.9,1312.0,--,--,--,10307
Dalmeny,3.1,1.1,899.0,--,--,--,11191
North Narooma,3.2,0.7,1374.0,--,--,--,12998
Akolele,2.5,0.6,575.0,--,--,--,10023
Goulburn,3.1,0.9,1134.0,--,--,--,11725
Run-o-Waters,2.0,0.8,2750.0,--,--,--,13440
Marulan,3.6,1.1,1375.0,--,--,--,12513
Windellama,0.0,1.0,1374.0,--,--,--,14318
Tirrannaville,3.0,1.0,0.0,--,--,--,13883
Quialigo,2.0,0.6,1499.0,--,--,--,13297
Grabben Gullen,0.0,0.0,1125.0,--,--,--,11731
Crookwell,2.8,0.8,1224.0,--,--,--,11123
Bungonia,5.0,1.0,2250.0,--,--,--,10685
Middle Arm,0.0,0.0,1874.0,--,--,--,12599
Taralga,0.0,1.0,1624.0,--,--,--,13759
Kingsdale,0.0,0.0,1374.0,--,--,--,12155
Baw Baw (NSW),0.0,0.0,1375.0,--,--,--,10234
Boxers Creek,3.0,0.7,0.0,--,--,--,10541
Yass,3.2,0.9,1222.0,--,--,--,14493
Bookham,4.0,0.0,0.0,--,--,--,10478
Binalong,1.0,1.0,724.0,--,--,--,10362
Galong,4.0,1.3,749.0,--,--,--,11580
Gundaroo,2.3,0.6,2749.0,--,--,--,11805
Bowning,2.5,0.7,1562.0,--,--,--,10535
Gunning,2.8,1.0,1149.0,--,--,--,11813
Good Hope,2.0,1.0,0.0,--,--,--,11700
Murrumbateman,4.3,1.1,3083.0,--,--,--,12860
Young,3.0,1.0,852.0,--,--,--,14518
Harden,3.3,1.0,949.0,--,--,--,11851
Boorowa,2.2,0.7,1062.0,--,--,--,10503
Murrumburrah,0.0,0.0,2749.0,--,--,--,12863
Koorawatha,4.6,1.1,1187.0,--,--,--,12192
Monteagle,4.0,0.0,1375.0,--,--,--,12683
Murringo,0.0,1.0,1562.0,--,--,--,12858
Bribbaree,1.0,0.3,0.0,--,--,--,10566
Avoca Beach,3.6,0.9,2374.0,--,--,--,10114
Copacabana,3.3,0.9,1624.0,--,--,--,11056
Macmasters Beach,3.5,0.8,2250.0,--,--,--,12432
Empire Bay,3.6,1.1,1333.0,--,--,--,11415
St Huberts Island,2.5,0.8,2583.0,--,--,--,13638
Killcare,2.0,0.6,1312.0,--,--,--,12133
Bensville,3.5,0.9,1937.0,--,--,--,10297
Daleys Point,3.5,1.0,762.0,--,--,--,11189
Kincumber South,2.0,0.7,725.0,--,--,--,12142
Somersby,3.7,0.9,1208.0,--,--,--,13571
Woy Woy,3.0,1.0,1059.0,--,--,--,14425
Mooney Mooney,3.0,1.0,2249.0,--,--,--,12704
Kariong,3.1,0.9,1281.0,--,--,--,12074
Peats Ridge,3.5,1.4,1875.0,--,--,--,13172
Mangrove Mountain,0.0,0.0,1749.0,--,--,--,12472
Kulnura,4.0,0.0,1812.0,--,--,--,12206
Wisemans Ferry,2.3,1.0,725.0,--,--,--,14344
Spencer,0.0,1.2,1375.0,--,--,--,13607
Erina,3.0,0.9,1542.0,--,--,--,11433
Green Point (Central Coast - NSW),2.9,0.8,1224.0,--,--,--,11753
Matcham,5.0,1.0,2874.0,--,--,--,12520
Holgate,4.3,1.1,3750.0,--,--,--,11921
Lisarow,3.1,1.0,1656.0,--,--,--,12343
Terrigal,3.5,1.0,2044.0,--,--,--,13805
Springfield (Central Coast - NSW),3.3,0.9,1230.0,--,--,--,13623
North Gosford,2.3,0.9,1031.0,--,--,--,12991
West Gosford,2.0,0.9,875.0,--,--,--,14244
Gosford,2.0,1.0,1292.0,--,--,--,11722
East Gosford,2.6,1.0,949.0,--,--,--,11349
Point Frederick,1.9,0.8,900.0,--,--,--,13232
Kincumber,3.4,0.9,1862.0,--,--,--,12141
Narara,3.4,1.1,1625.0,--,--,--,12895
Niagara Park,3.1,1.0,899.0,--,--,--,12961
Point Clare,2.9,0.8,1875.0,--,--,--,13231
Tascott,2.3,1.1,1583.0,--,--,--,13772
Koolewong,3.3,0.9,1687.0,--,--,--,12185
Saratoga,3.7,1.0,2062.0,--,--,--,13492
Davistown,2.8,0.8,1468.0,--,--,--,11221
Yattalunga (NSW),2.7,1.0,900.0,--,--,--,14496
North Avoca,3.1,0.9,2250.0,--,--,--,12980
Umina Beach,3.1,1.0,1285.0,--,--,--,14007
Booker Bay,2.9,0.9,762.0,--,--,--,10477
Ettalong Beach,2.5,1.0,1125.0,--,--,--,11445
Wamberal,3.7,0.9,1875.0,--,--,--,14122
Forresters Beach,3.0,1.0,2094.0,--,--,--,11549
Tumbi Umbi,3.4,1.0,1343.0,--,--,--,13962
Horsfield Bay,1.0,1.0,1625.0,--,--,--,11941
Phegans Bay,4.0,0.0,575.0,--,--,--,13192
Woy Woy Bay,2.0,0.6,1187.0,--,--,--,14426
Blackwall (NSW),3.5,1.1,1656.0,--,--,--,10399
Wyoming,3.3,1.0,1202.0,--,--,--,14445
Bateau Bay,3.2,0.9,1261.0,--,--,--,10227
Killarney Vale,3.1,1.0,1193.0,--,--,--,12131
Blue Haven,3.7,1.1,1423.0,--,--,--,10415
San Remo (NSW),3.4,1.1,1192.0,--,--,--,13470
Doyalson,2.9,1.2,724.0,--,--,--,11286
Buff Point,3.2,1.0,1187.0,--,--,--,10645
Budgewoi,3.2,1.1,1388.0,--,--,--,10642
Halekulani,3.0,1.0,1238.0,--,--,--,11830
Glenning Valley,3.3,0.8,1562.0,--,--,--,11672
Berkeley Vale,3.3,1.0,1648.0,--,--,--,10304
Chittaway Point,5.0,1.0,2624.0,--,--,--,10912
Chittaway Bay,3.4,0.8,1531.0,--,--,--,10911
