,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Balgownie,2676.0,369.0,243.0,1228.0,59.4,8.2,5.4,27.2
Balmain,3055.0,1116.0,295.0,3665.0,37.6,13.7,3.6,45.1
Balmain East,620.0,220.0,64.0,578.0,41.9,14.9,4.3,39.1
Bangor,2390.0,314.0,163.0,1334.0,56.9,7.5,3.9,31.7
Banksia,1285.0,212.0,140.0,818.0,52.3,8.6,5.7,33.3
Bankstown,10750.0,2542.0,1083.0,5833.0,53.2,12.6,5.4,28.9
Bar Beach,420.0,124.0,77.0,488.0,37.8,11.2,6.9,44.0
Barden Ridge,1835.0,188.0,58.0,897.0,61.7,6.3,2.0,30.2
Bardwell Park,1103.0,146.0,94.0,569.0,57.7,7.6,4.9,29.7
Bardwell Valley,810.0,184.0,91.0,483.0,51.7,11.7,5.8,30.8
Barnsley,720.0,157.0,38.0,474.0,52.0,11.3,2.7,34.2
Barrack Heights,2477.0,566.0,274.0,1581.0,50.6,11.6,5.6,32.3
Barrack Point,241.0,79.0,32.0,138.0,48.8,16.0,6.5,27.9
Bass Hill,2912.0,625.0,413.0,1685.0,51.7,11.1,7.3,29.9
Bateau Bay,4670.0,1203.0,1009.0,2632.0,49.1,12.6,10.6,27.6
Baulkham Hills,16523.0,2126.0,1243.0,7713.0,59.8,7.7,4.5,27.9
Bayview,1538.0,195.0,356.0,501.0,59.4,7.5,13.7,19.3
Beacon Hill,2881.0,386.0,228.0,1314.0,59.9,8.0,4.7,27.3
Beaconsfield,237.0,62.0,15.0,263.0,41.0,10.7,2.6,45.5
Beecroft,4292.0,394.0,458.0,1836.0,61.5,5.6,6.6,26.3
Belfield,2395.0,438.0,353.0,1356.0,52.7,9.6,7.8,29.8
Bella Vista,3063.0,228.0,118.0,1486.0,62.5,4.7,2.4,30.3
Bellambi,1203.0,542.0,205.0,1226.0,37.9,17.1,6.5,38.7
Bellevue Hill,3763.0,709.0,383.0,3016.0,47.8,9.0,4.9,38.3
Belmont,2679.0,756.0,527.0,1383.0,50.1,14.1,9.9,25.9
Belmont North,2328.0,467.0,387.0,1196.0,53.2,10.7,8.8,27.3
Belmont South,408.0,145.0,64.0,290.0,44.9,16.0,7.0,31.9
Belmore,5016.0,1123.0,640.0,3027.0,51.1,11.4,6.5,30.8
Belrose,4127.0,453.0,704.0,1451.0,61.3,6.7,10.5,21.6
Bensville,1285.0,177.0,64.0,555.0,61.6,8.5,3.1,26.6
Berala,3277.0,590.0,340.0,1996.0,52.8,9.5,5.5,32.2
Berkeley,2824.0,696.0,455.0,1920.0,48.0,11.8,7.7,32.6
Berkeley Vale,2960.0,852.0,506.0,1843.0,48.1,13.8,8.2,29.9
Berowra,2003.0,270.0,96.0,885.0,61.6,8.3,3.0,27.2
Berowra Heights,2445.0,326.0,126.0,1099.0,61.2,8.2,3.2,27.5
Beverley Park,991.0,138.0,119.0,382.0,60.8,8.5,7.3,23.4
Beverly Hills,3579.0,529.0,562.0,1920.0,54.3,8.0,8.5,29.1
Bexley,7780.0,1330.0,973.0,4232.0,54.4,9.3,6.8,29.6
Bexley North,1661.0,280.0,220.0,864.0,54.9,9.3,7.3,28.6
Bidwill,946.0,510.0,143.0,1333.0,32.3,17.4,4.9,45.4
Birchgrove,1276.0,395.0,101.0,1199.0,43.0,13.3,3.4,40.4
Birmingham Gardens,639.0,125.0,116.0,673.0,41.1,8.0,7.5,43.3
Birrong,813.0,157.0,131.0,484.0,51.1,9.9,8.2,30.4
Blackalls Park,1157.0,244.0,154.0,643.0,52.6,11.1,7.0,29.2
Blackbutt,1369.0,275.0,121.0,641.0,56.9,11.4,5.0,26.6
Blackett,899.0,336.0,122.0,916.0,39.5,14.8,5.4,40.2
Blacksmiths,515.0,128.0,70.0,263.0,52.7,13.1,7.2,26.9
Blacktown,15188.0,3413.0,1958.0,10007.0,49.7,11.2,6.4,32.7
Blackwall,675.0,288.0,139.0,422.0,44.4,18.9,9.1,27.7
Blairmount,148.0,47.0,4.0,204.0,37.1,11.8,1.0,51.1
Blakehurst,2495.0,281.0,345.0,1229.0,57.3,6.5,7.9,28.2
Blaxland,3043.0,535.0,245.0,1743.0,54.7,9.6,4.4,31.3
Blue Bay,361.0,135.0,80.0,199.0,46.5,17.4,10.3,25.6
Blue Haven,2187.0,526.0,168.0,1200.0,53.6,12.9,4.1,29.4
Bolton Point,698.0,251.0,141.0,564.0,42.4,15.2,8.6,34.2
Bondi,2561.0,892.0,470.0,4292.0,31.2,10.9,5.7,52.2
Bondi Beach,2474.0,999.0,320.0,5559.0,26.5,10.7,3.4,59.4
Bondi Junction,2522.0,795.0,413.0,3357.0,35.6,11.2,5.8,47.4
Bonnet Bay,1174.0,93.0,42.0,494.0,65.0,5.1,2.3,27.3
Bonnyrigg,2971.0,776.0,355.0,2249.0,46.8,12.2,5.6,35.4
Bonnyrigg Heights,2976.0,408.0,171.0,1786.0,55.7,7.6,3.2,33.4
Booker Bay,534.0,214.0,131.0,332.0,44.4,17.8,10.9,27.6
Boolaroo,311.0,127.0,71.0,280.0,39.5,16.1,9.0,35.6
Booragul,483.0,152.0,220.0,315.0,41.3,13.0,18.8,26.9
Bossley Park,6210.0,913.0,490.0,3620.0,55.3,8.1,4.4,32.2
Botany,2881.0,703.0,419.0,1942.0,48.4,11.8,7.0,32.6
Bow Bowing,640.0,128.0,37.0,369.0,54.3,10.9,3.1,31.3
Bradbury,3540.0,837.0,362.0,2526.0,48.7,11.5,5.0,34.8
Broadmeadow,482.0,217.0,87.0,647.0,33.7,15.2,6.1,45.2
Bronte,2106.0,537.0,215.0,2218.0,41.5,10.6,4.2,43.7
Brookvale,1240.0,317.0,166.0,980.0,45.9,11.7,6.1,36.3
Budgewoi,1135.0,389.0,229.0,711.0,46.1,15.8,9.3,28.9
Buff Point,1352.0,393.0,191.0,756.0,50.2,14.6,7.1,28.1
Bulli,2183.0,498.0,269.0,1314.0,51.2,11.7,6.3,30.8
Burwood,4668.0,876.0,574.0,4233.0,45.1,8.5,5.5,40.9
Burwood Heights,437.0,34.0,74.0,299.0,51.5,4.0,8.7,35.2
Busby,1270.0,383.0,205.0,1053.0,43.6,13.1,7.0,36.1
Cabarita,1161.0,115.0,79.0,449.0,64.4,6.4,4.4,24.9
Cabramatta,7331.0,2467.0,1086.0,4574.0,47.4,16.0,7.0,29.6
Cabramatta West,2378.0,601.0,371.0,1601.0,48.0,12.1,7.5,32.3
Cambridge Gardens,844.0,203.0,43.0,506.0,52.9,12.7,2.7,31.7
Cambridge Park,2133.0,609.0,243.0,1623.0,46.2,13.2,5.3,35.2
Camden,1153.0,356.0,356.0,727.0,44.5,13.7,13.7,28.1
Camden South,2020.0,337.0,165.0,957.0,58.1,9.7,4.7,27.5
Cammeray,2222.0,814.0,223.0,2551.0,38.2,14.0,3.8,43.9
Campbelltown,2783.0,888.0,450.0,2344.0,43.1,13.7,7.0,36.3
Camperdown,1316.0,500.0,134.0,4169.0,21.5,8.2,2.2,68.1
Campsie,8745.0,1936.0,826.0,5173.0,52.4,11.6,5.0,31.0
Canada Bay,509.0,108.0,59.0,341.0,50.1,10.6,5.8,33.6
Canley Heights,3762.0,894.0,443.0,2392.0,50.2,11.9,5.9,31.9
Canley Vale,3274.0,989.0,563.0,2190.0,46.7,14.1,8.0,31.2
Canterbury,2155.0,527.0,186.0,1621.0,48.0,11.7,4.1,36.1
Canton Beach,379.0,176.0,173.0,212.0,40.4,18.8,18.4,22.6
Cardiff,2162.0,638.0,360.0,1540.0,46.0,13.6,7.7,32.8
Cardiff Heights,1227.0,181.0,160.0,610.0,56.3,8.3,7.3,28.0
Cardiff South,1178.0,234.0,154.0,717.0,51.6,10.2,6.7,31.4
Caringbah,8924.0,1917.0,1336.0,5196.0,51.4,11.0,7.7,29.9
Carlingford,9968.0,1243.0,882.0,5159.0,57.8,7.2,5.1,29.9
Carlton,4194.0,792.0,439.0,2406.0,53.6,10.1,5.6,30.7
Carramar,1029.0,405.0,209.0,783.0,42.5,16.7,8.6,32.3
Carrington (Newcastle),404.0,277.0,93.0,757.0,26.4,18.1,6.1,49.4
Carss Park,568.0,78.0,78.0,242.0,58.7,8.1,8.1,25.0
Cartwright,628.0,287.0,111.0,593.0,38.8,17.7,6.9,36.7
Castle Cove,1222.0,122.0,111.0,418.0,65.4,6.5,5.9,22.4
Castle Hill,16719.0,2000.0,1853.0,7880.0,58.8,7.0,6.5,27.7
Castlecrag,1452.0,132.0,97.0,472.0,67.3,6.1,4.5,21.9
Casula,5668.0,943.0,501.0,2987.0,56.1,9.3,5.0,29.6
Caves Beach,2032.0,269.0,188.0,819.0,61.3,8.1,5.7,24.7
Cecil Hills,3046.0,310.0,131.0,1501.0,61.1,6.2,2.6,30.1
Centennial Park,501.0,244.0,53.0,1123.0,26.1,12.7,2.8,58.5
Charlestown,4966.0,1114.0,664.0,2945.0,51.3,11.5,6.9,30.4
Charmhaven,795.0,256.0,116.0,569.0,45.9,14.8,6.7,32.8
Chatswood,5454.0,876.0,683.0,4519.0,47.3,7.6,5.9,39.2
Chatswood West,3406.0,570.0,295.0,2139.0,53.1,8.9,4.6,33.4
Cheltenham,1049.0,90.0,73.0,479.0,62.3,5.3,4.3,28.5
Cherrybrook,8953.0,802.0,653.0,4230.0,61.2,5.5,4.5,28.9
Chester Hill,4090.0,950.0,648.0,2541.0,49.7,11.5,7.9,30.9
Chifley,1292.0,276.0,164.0,764.0,51.7,11.0,6.6,30.6
Chippendale,703.0,370.0,55.0,2711.0,18.3,9.6,1.4,70.7
Chipping Norton,3836.0,626.0,323.0,2152.0,55.3,9.0,4.7,31.0
Chiswick,873.0,277.0,74.0,858.0,41.9,13.3,3.6,41.2
Chittaway Bay,831.0,215.0,97.0,500.0,50.6,13.1,5.9,30.5
Chittaway Point,322.0,92.0,35.0,184.0,50.9,14.5,5.5,29.1
Church Point,637.0,68.0,27.0,224.0,66.8,7.1,2.8,23.5
Claremont Meadows,1360.0,235.0,44.0,731.0,57.3,9.9,1.9,30.8
Claymore,537.0,362.0,72.0,1027.0,26.9,18.1,3.6,51.4
Clontarf,810.0,62.0,63.0,287.0,66.4,5.1,5.2,23.5
Clovelly,1603.0,350.0,159.0,1498.0,44.4,9.7,4.4,41.5
Coal Point,912.0,129.0,72.0,332.0,63.1,8.9,5.0,23.0
Coledale,389.0,84.0,34.0,229.0,52.6,11.4,4.6,31.0
Collaroy,6050.0,1177.0,645.0,3581.0,52.8,10.3,5.6,31.3
Colyton,3005.0,761.0,285.0,2048.0,49.2,12.5,4.7,33.6
Como,1743.0,198.0,140.0,784.0,60.9,6.9,4.9,27.4
Concord,5873.0,838.0,662.0,3215.0,55.5,7.9,6.3,30.4
Concord West,2480.0,340.0,270.0,1429.0,54.9,7.5,6.0,31.7
Condell Park,4382.0,748.0,482.0,2393.0,54.7,9.3,6.0,29.9
Coniston,719.0,206.0,115.0,527.0,46.0,13.2,7.4,33.7
Connells Point,1403.0,155.0,149.0,597.0,60.8,6.7,6.5,25.9
Coogee,3719.0,1203.0,420.0,6306.0,31.9,10.3,3.6,54.1
Cooks Hill,736.0,356.0,129.0,1381.0,28.3,13.7,5.0,53.1
Copacabana,1063.0,293.0,74.0,606.0,52.2,14.4,3.6,29.7
Cordeaux Heights,2454.0,212.0,65.0,1011.0,65.6,5.7,1.7,27.0
Corrimal,2716.0,609.0,461.0,1527.0,51.1,11.5,8.7,28.7
Cranebrook,4679.0,1156.0,230.0,3338.0,49.8,12.3,2.4,35.5
Cremorne,3598.0,1274.0,446.0,3842.0,39.3,13.9,4.9,41.9
Cremorne Point,743.0,234.0,75.0,574.0,45.6,14.4,4.6,35.3
Cringila,855.0,202.0,122.0,594.0,48.2,11.4,6.9,33.5
Cromer,3527.0,533.0,402.0,1566.0,58.5,8.8,6.7,26.0
Cronulla,5561.0,2060.0,937.0,6187.0,37.7,14.0,6.4,42.0
Croudace Bay,210.0,37.0,17.0,67.0,63.4,11.2,5.1,20.2
Crows Nest,1004.0,372.0,93.0,1323.0,36.0,13.3,3.3,47.4
Croydon,3942.0,642.0,495.0,2885.0,49.5,8.1,6.2,36.2
Croydon Park,4308.0,894.0,511.0,2689.0,51.3,10.6,6.1,32.0
Curl Curl,870.0,151.0,78.0,566.0,52.4,9.1,4.7,34.1
Currans Hill,1804.0,417.0,77.0,1138.0,52.5,12.1,2.2,33.1
Daceyville,300.0,246.0,147.0,338.0,29.2,23.9,14.3,32.8
Daleys Point,278.0,52.0,60.0,73.0,59.8,11.2,12.9,15.7
Dapto,4435.0,1041.0,577.0,2312.0,53.0,12.4,6.9,27.6
Darling Point,1435.0,421.0,357.0,1290.0,41.0,12.0,10.2,36.8
Darlinghurst,1879.0,1126.0,213.0,6332.0,19.7,11.8,2.2,66.3
Darlington (Sydney),400.0,188.0,55.0,1380.0,19.8,9.3,2.7,68.3
Davidson,1254.0,128.0,57.0,536.0,63.6,6.5,2.9,27.2
Davistown,1026.0,245.0,201.0,422.0,54.1,12.9,10.6,22.3
Dawes Point,299.0,79.0,21.0,302.0,42.5,11.2,3.0,42.9
Dean Park,1138.0,238.0,134.0,825.0,48.7,10.2,5.7,35.3
Dee Why,6018.0,2238.0,758.0,5965.0,40.2,14.9,5.1,39.8
Denistone,1668.0,172.0,146.0,761.0,60.7,6.3,5.3,27.7
Denistone East,996.0,94.0,97.0,419.0,62.1,5.9,6.0,26.1
Denistone West,359.0,33.0,65.0,169.0,57.6,5.3,10.4,27.1
Dharruk,954.0,255.0,74.0,800.0,45.8,12.3,3.6,38.4
Dolans Bay,606.0,62.0,28.0,273.0,62.6,6.4,2.9,28.2
Dolls Point,596.0,213.0,162.0,485.0,40.7,14.6,11.1,33.2
Doonside,4660.0,1213.0,494.0,3574.0,46.9,12.2,5.0,36.0
Double Bay,1592.0,506.0,300.0,1721.0,38.7,12.3,7.3,41.8
Dover Heights,1830.0,192.0,210.0,969.0,57.2,6.0,6.6,30.3
Drummoyne,3976.0,1028.0,598.0,3311.0,44.6,11.5,6.7,37.1
Dudley,1013.0,193.0,82.0,498.0,56.8,10.8,4.6,27.9
Dulwich Hill,4124.0,1280.0,423.0,4416.0,40.3,12.5,4.1,43.1
Dundas,3996.0,979.0,409.0,2399.0,51.3,12.6,5.3,30.8
Dundas Valley,2765.0,415.0,366.0,1478.0,55.0,8.3,7.3,29.4
Dural (Baulkham Hills and Hornsby),3257.0,454.0,352.0,1535.0,58.1,8.1,6.3,27.4
Eagle Vale,2096.0,468.0,145.0,1458.0,50.3,11.2,3.5,35.0
Earlwood,7663.0,1105.0,852.0,3950.0,56.5,8.1,6.3,29.1
East Gosford,1241.0,548.0,374.0,837.0,41.4,18.3,12.5,27.9
East Hills,1024.0,261.0,169.0,663.0,48.3,12.3,8.0,31.3
East Killara,1426.0,113.0,82.0,681.0,62.1,4.9,3.6,29.7
East Lindfield,1772.0,109.0,208.0,673.0,64.2,3.9,7.5,24.4
East Ryde,1105.0,108.0,107.0,487.0,61.0,6.0,5.9,26.9
Eastern Creek,177.0,57.0,23.0,156.0,42.7,13.7,5.5,37.6
Eastlakes,2688.0,669.0,380.0,1673.0,49.7,12.4,7.0,30.9
Eastwood,6331.0,805.0,667.0,4087.0,53.2,6.8,5.6,34.4
Edensor Park,4028.0,571.0,256.0,2353.0,55.9,7.9,3.6,32.7
Edgecliff,467.0,187.0,144.0,727.0,30.5,12.2,9.4,47.5
Edgeworth,2327.0,512.0,431.0,1439.0,49.4,10.9,9.2,30.6
Elanora Heights,1824.0,233.0,133.0,726.0,62.5,8.0,4.6,24.9
Elderslie (Camden),1148.0,252.0,103.0,568.0,55.3,12.1,5.0,27.4
Eleebana,2869.0,354.0,230.0,1129.0,62.6,7.7,5.0,24.6
Elermore Vale,1980.0,381.0,168.0,1252.0,52.4,10.1,4.4,33.1
Elizabeth Bay,1069.0,594.0,235.0,2878.0,22.4,12.4,4.9,60.3
Emerton,644.0,268.0,89.0,568.0,41.0,17.0,5.7,36.1
Empire Bay,982.0,266.0,122.0,469.0,53.3,14.4,6.6,25.5
Emu Heights,1373.0,235.0,72.0,776.0,55.9,9.6,2.9,31.6
Emu Plains,3389.0,704.0,412.0,1967.0,52.4,10.9,6.4,30.4
Enfield,1092.0,189.0,130.0,719.0,51.2,8.9,6.1,33.7
Engadine,8514.0,1179.0,582.0,3820.0,60.4,8.4,4.1,27.1
Enmore (Marrickville),771.0,333.0,86.0,1832.0,25.5,11.0,2.8,60.6
Epping,8607.0,940.0,839.0,5176.0,55.3,6.0,5.4,33.3
Erina,2148.0,460.0,746.0,873.0,50.9,10.9,17.7,20.7
Ermington,3984.0,988.0,630.0,2636.0,48.4,12.0,7.6,32.0
Erskine Park,2853.0,419.0,98.0,1584.0,57.5,8.5,2.0,31.9
Erskineville,1429.0,631.0,113.0,3734.0,24.2,10.7,1.9,63.2
Eschol Park,979.0,250.0,54.0,707.0,49.3,12.6,2.7,35.6
Ettalong Beach,1331.0,645.0,419.0,1057.0,38.5,18.7,12.1,30.6
Fairfield,5933.0,1464.0,805.0,3877.0,49.1,12.1,6.7,32.1
Fairfield East,1714.0,365.0,251.0,1096.0,50.0,10.7,7.3,32.0
Fairfield Heights,2290.0,534.0,348.0,1553.0,48.5,11.3,7.4,32.9
Fairfield West,4253.0,844.0,415.0,2496.0,53.1,10.5,5.2,31.2
Fairlight,2182.0,558.0,255.0,1709.0,46.4,11.9,5.4,36.3
Fairy Meadow,2267.0,623.0,425.0,2067.0,42.1,11.6,7.9,38.4
Farmborough Heights,1767.0,229.0,110.0,861.0,59.4,7.7,3.7,29.0
Faulconbridge,1700.0,371.0,127.0,950.0,54.0,11.8,4.0,30.2
Fennell Bay,683.0,157.0,83.0,328.0,54.7,12.6,6.6,26.3
Figtree,5036.0,689.0,494.0,2082.0,60.7,8.3,6.0,25.1
Five Dock,3249.0,739.0,471.0,2204.0,48.8,11.1,7.1,33.1
Fletcher,926.0,106.0,17.0,307.0,68.2,7.8,1.3,22.6
Flinders,1794.0,322.0,111.0,726.0,60.6,10.9,3.8,24.5
Floraville,679.0,101.0,52.0,297.0,60.4,9.0,4.6,26.4
Forest Lodge,596.0,242.0,45.0,1285.0,27.4,11.1,2.1,59.1
Forestville,3646.0,549.0,472.0,1566.0,58.5,8.8,7.6,25.1
Forresters Beach,1013.0,188.0,70.0,538.0,56.2,10.4,3.9,29.9
Frenchs Forest,6149.0,686.0,389.0,2465.0,63.4,7.1,4.0,25.4
Garden Suburb,874.0,90.0,46.0,310.0,66.2,6.8,3.5,23.5
Gateshead,1161.0,411.0,224.0,1012.0,41.3,14.6,8.0,36.0
Georges Hall,3708.0,482.0,384.0,1823.0,58.0,7.5,6.0,28.5
Georgetown,596.0,223.0,138.0,572.0,39.0,14.6,9.0,37.4
Girraween,1711.0,361.0,170.0,997.0,52.9,11.2,5.3,30.8
Gladesville,4309.0,983.0,519.0,3055.0,48.6,11.1,5.9,34.5
Glebe,2702.0,1355.0,405.0,5499.0,27.1,13.6,4.1,55.2
Glen Alpine,2192.0,187.0,78.0,1053.0,62.4,5.3,2.2,30.0
Glenbrook,2311.0,341.0,170.0,1137.0,58.4,8.6,4.3,28.7
Glendale,1189.0,321.0,193.0,778.0,48.0,13.0,7.8,31.4
Glendenning,2016.0,272.0,62.0,926.0,61.5,8.3,1.9,28.3
Glenfield,2610.0,570.0,498.0,1826.0,47.4,10.4,9.0,33.2
Glenhaven,2752.0,283.0,108.0,1332.0,61.5,6.3,2.4,29.8
Glenmore Park,8181.0,1226.0,294.0,4020.0,59.6,8.9,2.1,29.3
Glenning Valley,889.0,133.0,57.0,368.0,61.1,9.1,3.9,25.3
Glenwood,6377.0,745.0,206.0,2685.0,63.7,7.4,2.1,26.8
Gordon,2848.0,293.0,403.0,1353.0,58.2,6.0,8.2,27.6
Gorokan,2440.0,987.0,596.0,1719.0,42.5,17.2,10.4,29.9
Gosford,723.0,529.0,139.0,1335.0,26.5,19.4,5.1,49.0
Granville,8686.0,1849.0,922.0,6088.0,49.5,10.5,5.3,34.7
Grays Point,1403.0,146.0,45.0,583.0,64.4,6.7,2.1,26.8
Green Point (Gosford),2929.0,646.0,449.0,1268.0,55.3,12.2,8.5,23.9
Green Valley,4881.0,813.0,302.0,2789.0,55.6,9.3,3.4,31.7
Greenacre,8917.0,1558.0,1180.0,5326.0,52.5,9.2,6.9,31.4
Greenfield Park,2250.0,357.0,176.0,1408.0,53.7,8.5,4.2,33.6
Greenwich,2104.0,389.0,225.0,1435.0,50.6,9.4,5.4,34.5
Greystanes,9245.0,1423.0,898.0,4622.0,57.1,8.8,5.5,28.5
Guildford,4162.0,1018.0,632.0,2971.0,47.4,11.6,7.2,33.8
Guildford West,1656.0,365.0,187.0,1045.0,50.9,11.2,5.8,32.1
Gwynneville,814.0,194.0,120.0,1032.0,37.7,9.0,5.6,47.8
Gymea,2837.0,566.0,382.0,1845.0,50.4,10.1,6.8,32.8
Gymea Bay,3649.0,368.0,252.0,1436.0,64.0,6.5,4.4,25.2
Haberfield,2874.0,415.0,414.0,1669.0,53.4,7.7,7.7,31.0
Halekulani,966.0,303.0,184.0,460.0,50.5,15.8,9.6,24.1
Hamilton,983.0,512.0,295.0,1458.0,30.3,15.8,9.1,44.9
Hamilton East,377.0,77.0,69.0,305.0,45.8,9.3,8.4,37.0
Hamilton North,219.0,129.0,50.0,294.0,31.5,18.6,7.2,42.3
Hamilton South,1358.0,485.0,250.0,1141.0,41.9,15.0,7.7,35.2
Hammondville,1101.0,264.0,257.0,674.0,48.0,11.5,11.2,29.4
Harrington Park,2847.0,284.0,77.0,1026.0,67.3,6.7,1.8,24.2
Harris Park,2619.0,658.0,233.0,2245.0,45.5,11.4,4.0,39.0
Hassall Grove,1665.0,284.0,76.0,941.0,56.1,9.6,2.6,31.7
Haymarket,906.0,173.0,29.0,3005.0,22.0,4.2,0.7,73.1
Heathcote,2682.0,357.0,374.0,1193.0,58.2,7.8,8.1,25.9
Hebersham,1825.0,505.0,184.0,1566.0,44.7,12.4,4.5,38.4
Heckenberg,859.0,285.0,138.0,785.0,41.6,13.8,6.7,38.0
Henley,230.0,25.0,20.0,125.0,57.2,6.2,5.0,31.1
Highfields,285.0,57.0,44.0,166.0,51.0,10.2,7.9,29.7
Hillsborough (Lake Macquarie),293.0,57.0,22.0,166.0,54.3,10.6,4.1,30.7
Hillsdale,1656.0,467.0,132.0,1440.0,44.8,12.6,3.6,39.0
Hinchinbrook,4372.0,725.0,208.0,2262.0,57.8,9.6,2.7,29.9
Holmesville,591.0,149.0,57.0,379.0,50.2,12.6,4.8,32.2
Holsworthy,1633.0,271.0,42.0,1117.0,53.3,8.8,1.4,36.5
Homebush,2864.0,364.0,212.0,2260.0,50.3,6.4,3.7,39.7
Homebush West,1592.0,379.0,110.0,1405.0,45.7,10.9,3.2,40.3
Horningsea Park,1535.0,210.0,50.0,629.0,63.4,8.7,2.1,26.0
Hornsby,7717.0,1754.0,811.0,5146.0,50.0,11.4,5.3,33.4
Hornsby Heights,2772.0,386.0,135.0,1330.0,59.9,8.3,2.9,28.7
Horsley,3072.0,411.0,141.0,1279.0,62.7,8.4,2.9,26.1
Hoxton Park,1499.0,225.0,78.0,807.0,57.4,8.6,3.0,30.9
Hunters Hill,3558.0,572.0,705.0,2438.0,48.9,7.9,9.7,33.5
Huntleys Point,97.0,10.0,3.0,48.0,62.2,6.4,1.9,30.8
Hurlstone Park,1910.0,396.0,210.0,1464.0,48.1,10.0,5.3,36.8
Hurstville,10060.0,1598.0,878.0,6887.0,51.8,8.2,4.5,35.5
Hurstville Grove,1146.0,101.0,90.0,542.0,61.2,5.4,4.8,28.9
Illawong,3635.0,321.0,236.0,1936.0,59.3,5.2,3.9,31.6
Ingleburn,5308.0,1353.0,556.0,3516.0,49.5,12.6,5.2,32.8
Ingleside,126.0,13.0,12.0,58.0,60.6,6.3,5.8,27.9
Islington,332.0,223.0,87.0,680.0,25.0,16.8,6.6,51.2
Jamisontown,1733.0,508.0,235.0,1432.0,44.3,13.0,6.0,36.6
Jannali,2230.0,501.0,287.0,1347.0,51.2,11.5,6.6,30.9
Jesmond,668.0,256.0,212.0,960.0,31.9,12.2,10.1,45.8
Jewells,1302.0,171.0,81.0,548.0,61.9,8.1,3.8,26.0
Kahibah,1036.0,236.0,159.0,598.0,51.0,11.6,7.8,29.5
Kanahooka,2439.0,382.0,387.0,917.0,59.1,9.3,9.4,22.2
Kangaroo Point,330.0,23.0,14.0,132.0,65.6,4.6,2.8,26.2
Kanwal,1466.0,396.0,232.0,728.0,51.9,14.0,8.2,25.8
Kareela,1297.0,137.0,82.0,470.0,65.3,6.9,4.1,23.7
Kariong,2470.0,472.0,146.0,1207.0,57.6,11.0,3.4,28.1
Kearns,1113.0,201.0,71.0,720.0,53.1,9.6,3.4,34.3
Keiraville,1234.0,218.0,150.0,984.0,47.7,8.4,5.8,38.1
Kellyville,8740.0,840.0,287.0,3465.0,65.6,6.3,2.2,26.0
Kembla Grange,70.0,6.0,0.0,41.0,56.0,4.8,0.0,32.8
Kensington,3196.0,666.0,350.0,5375.0,33.3,6.9,3.6,56.0
Kilaben Bay,605.0,121.0,59.0,270.0,57.3,11.5,5.6,25.6
Killara,4250.0,406.0,518.0,1945.0,59.7,5.7,7.3,27.3
Killarney Heights,2117.0,187.0,148.0,737.0,66.5,5.9,4.6,23.1
Killarney Vale,2484.0,771.0,509.0,1672.0,45.7,14.2,9.4,30.8
