,Australia,Australia (%)
Greenwich,3352.0,64.8
Greystanes,14258.0,65.7
Guildford (NSW),9946.0,50.1
Guildford West,2742.0,62.0
Gwynneville,1606.0,56.6
Gymea,5645.0,78.7
Gymea Bay,5839.0,85.0
Haberfield,4325.0,65.0
Halekulani,2091.0,86.2
Hamilton (NSW),3188.0,78.3
Hamilton East,775.0,86.3
Hamilton North,780.0,88.1
Hamilton South,3184.0,79.0
Hammondville,2300.0,70.7
Harrington Park,6028.0,78.9
Harris Park,1104.0,21.8
Hassall Grove,2600.0,59.2
Haymarket,554.0,10.3
Heathcote (NSW),5190.0,86.8
Hebersham,3430.0,63.1
Heckenberg,1658.0,55.5
Henley,337.0,73.1
Highfields (NSW),876.0,83.7
Hillsborough (Lake Macquarie - NSW),607.0,91.0
Hillsdale,2013.0,40.5
Hinchinbrook (NSW),5431.0,51.1
Holmesville,1266.0,89.2
Holsworthy,3354.0,66.3
Homebush (NSW),2078.0,33.5
Homebush West,1475.0,25.5
Horningsea Park,2214.0,60.4
Hornsby,9625.0,48.5
Hornsby Heights,4448.0,71.8
Horsley,5719.0,81.3
Hoxton Park,2123.0,50.4
Hunters Hill,6387.0,71.0
Huntleys Point,91.0,66.9
Hurlstone Park,2637.0,56.2
Hurstville,8223.0,31.6
Hurstville Grove,1565.0,65.5
Illawong,5449.0,74.3
Ingleburn,8394.0,60.4
Ingleside,829.0,74.0
Islington,1405.0,77.8
Jamisontown,3986.0,76.0
Jannali,4516.0,75.8
Jesmond,1626.0,62.3
Jewells,2690.0,86.2
Kahibah,1844.0,88.4
Kanahooka,3838.0,74.3
Kangaroo Point (NSW),390.0,67.7
Kanwal,3201.0,82.6
Kareela,2550.0,76.7
Kariong,5177.0,80.2
Kearns,2146.0,77.7
Keiraville,2172.0,65.0
Kellyville,13481.0,66.3
Kembla Grange,178.0,79.8
Kensington (NSW),5838.0,45.7
Kilaben Bay,1099.0,82.2
Killara (NSW),5502.0,59.3
Killarney Heights,2848.0,64.0
Killarney Vale,5955.0,85.6
Kincumber,5566.0,81.4
Kincumber South,510.0,75.1
Kings Langley,6684.0,72.1
Kings Park (NSW),2381.0,71.1
Kingsford (NSW),5722.0,40.6
Kingsgrove,6449.0,56.0
Kingswood (Tamworth - NSW),1020.0,89.9
Kirrawee,7123.0,79.3
Kirribilli,1882.0,51.3
Kogarah,4699.0,36.8
Kogarah Bay,1372.0,66.6
Koolewong,600.0,75.3
Koonawarra,2772.0,76.3
Kotara,3439.0,87.8
Kotara South,1005.0,87.8
Kurnell,1825.0,82.5
Kyeemagh,432.0,54.7
Kyle Bay,592.0,70.6
La Perouse,314.0,74.9
Lake Haven,2686.0,79.8
Lake Heights,1952.0,59.9
Lake Illawarra,2364.0,76.6
Lakelands (NSW),1272.0,84.5
Lakemba,5023.0,32.4
Lalor Park,5011.0,71.8
Lambton,4145.0,82.9
Lane Cove,5880.0,62.1
Lane Cove North,5227.0,56.0
Lane Cove West,1511.0,67.2
Lansvale,1247.0,51.4
Lapstone,752.0,82.5
Lavender Bay,493.0,57.7
Leichhardt (NSW),8791.0,65.0
Leonay,1906.0,78.7
Lethbridge Park,3203.0,68.8
Leumeah,6377.0,67.7
Lewisham (NSW),1812.0,61.9
Liberty Grove,766.0,37.4
Lidcombe,5450.0,32.7
Lilli Pilli (Sutherland - NSW),1084.0,84.6
Lilyfield,4941.0,67.3
Lindfield,5229.0,60.4
Linley Point,251.0,63.2
Lisarow,4117.0,81.7
Little Bay,1805.0,61.5
Liverpool,7796.0,32.4
Loftus,3439.0,85.7
Long Jetty,4759.0,82.1
Long Point (Campbelltown - NSW),156.0,77.2
Longueville,1588.0,75.7
Lugarno,4295.0,77.4
Lurnea,4810.0,55.9
Macquarie Fields,7821.0,59.4
Macquarie Hills,2682.0,87.3
Macquarie Links,685.0,62.8
Macquarie Park,2229.0,36.3
Malabar,3278.0,66.4
Mangerton,2106.0,74.7
Manly (NSW),7837.0,52.0
Manly Vale,3578.0,62.7
Marayong,4188.0,57.2
Mardi,2600.0,75.6
Marks Point,1501.0,86.6
Marmong Point,649.0,85.3
Maroubra,15258.0,51.6
Marrickville,12994.0,52.8
Marsfield,5236.0,42.4
Maryland (Newcastle - NSW),6791.0,87.2
Maryville,1173.0,82.7
Mascot,4922.0,48.4
Matraville,5400.0,59.7
Mayfield (Newcastle - NSW),7247.0,79.9
Mayfield East,1386.0,81.1
Mayfield West,1438.0,81.2
Mays Hill,325.0,45.5
McMahons Point,1326.0,56.5
Meadowbank (NSW),1259.0,34.4
Melrose Park (NSW),1028.0,69.9
Menai,8177.0,77.7
Merewether,8965.0,85.6
Merewether Heights,1241.0,86.5
Merrylands,12417.0,46.6
Merrylands West,3186.0,51.5
Middle Cove,838.0,65.9
Miller,1778.0,57.6
Millers Point,757.0,43.6
Milperra,3220.0,83.8
Milsons Point,761.0,37.8
Minchinbury,3303.0,60.6
Minmi,632.0,90.7
Minto,5773.0,56.0
Miranda (NSW),10154.0,70.3
Mona Vale,7314.0,72.0
Monterey,2490.0,57.5
Moorebank,4999.0,65.8
Mortdale,5944.0,61.3
Mortlake (NSW),501.0,66.6
Mosman,16632.0,60.6
Mount Annan,8431.0,80.0
Mount Colah,5147.0,72.4
Mount Druitt,6574.0,41.6
Mount Hutton (NSW),2691.0,84.5
Mount Keira,1203.0,79.1
Mount Kembla,850.0,82.8
Mount Lewis,587.0,53.3
Mount Ousley,1181.0,77.1
Mount Pleasant (NSW),924.0,77.5
Mount Pritchard,4812.0,53.2
Mount Riverview,2359.0,79.5
Mount Saint Thomas,1027.0,72.2
Mount Warrigal,3386.0,74.5
Narara,6257.0,80.6
Narellan,2950.0,84.5
Narellan Vale,6042.0,83.4
Naremburn,3438.0,62.8
Narrabeen,5332.0,71.3
Narraweena,4193.0,68.2
Narwee,2166.0,43.7
Neutral Bay,5162.0,55.0
New Lambton,8239.0,84.4
New Lambton Heights,1813.0,84.1
Newcastle,1721.0,72.2
Newcastle East,746.0,75.3
Newcastle West,426.0,71.5
Newington (NSW),2369.0,44.5
Newport (NSW),6608.0,73.1
Newtown (NSW),8554.0,60.5
Niagara Park,2305.0,81.9
Norah Head,945.0,86.8
Noraville,2291.0,85.0
Normanhurst,3511.0,68.1
North Avoca,1553.0,79.6
North Balgowlah,2497.0,72.3
North Bondi,4742.0,55.3
North Curl Curl,2582.0,73.0
North Epping,2947.0,67.1
North Gosford,2601.0,74.3
North Lambton,2353.0,75.5
North Manly,1861.0,67.1
North Narrabeen,4193.0,75.8
North Parramatta,6211.0,49.3
North Rocks,5010.0,65.7
North Ryde,6078.0,60.1
North St Marys,2570.0,69.8
North Strathfield,1873.0,42.2
North Sydney,3139.0,50.2
North Turramurra,2612.0,65.8
North Wahroonga,1212.0,64.2
North Willoughby,2323.0,59.6
North Wollongong,1479.0,65.0
Northbridge (NSW),4149.0,70.0
Northmead,6760.0,66.1
Northwood (NSW),654.0,72.2
Oak Flats,4891.0,77.5
Oakhurst (NSW),3823.0,55.0
Oatlands (NSW),3291.0,61.8
Oatley,7540.0,74.7
Old Guildford,1447.0,55.7
Old Toongabbie,1931.0,72.1
Ourimbah,3432.0,82.5
Oxley Park,1892.0,64.7
Oyster Bay,4419.0,81.4
Paddington (NSW),6995.0,57.6
Padstow,7877.0,61.9
Padstow Heights,2591.0,74.3
Pagewood,2252.0,61.8
Palm Beach (NSW),1173.0,73.5
Panania,8364.0,72.8
Parramatta,5427.0,27.5
Peakhurst,6877.0,69.4
Peakhurst Heights,1850.0,79.6
Pearl Beach,322.0,62.9
Pelican (NSW),789.0,93.7
Pendle Hill,2873.0,43.1
Pennant Hills,4428.0,63.0
Penrith,8340.0,70.6
Penrose (Wollongong - NSW),1103.0,78.9
Penshurst (NSW),6193.0,53.0
Petersham,4848.0,64.4
Phillip Bay,451.0,70.9
Picnic Point,4540.0,81.0
Plumpton (NSW),3973.0,48.2
Point Clare,2876.0,75.5
Point Frederick,1269.0,71.7
Point Piper,673.0,48.0
Port Kembla,3156.0,64.7
Potts Point,3357.0,48.9
Prairiewood,1384.0,46.0
Prestons,7663.0,53.1
Primbee,1104.0,69.8
Prospect (NSW),2864.0,62.0
Punchbowl (Canterbury - NSW),8474.0,46.0
Putney,2874.0,70.5
Pymble,6446.0,60.9
Pyrmont,4593.0,39.5
Quakers Hill,15738.0,60.1
Queens Park (NSW),1844.0,63.0
Raby,4407.0,73.6
Ramsgate,576.0,63.8
Ramsgate Beach,897.0,61.4
Randwick,15114.0,54.5
Rankin Park,2115.0,86.4
Redfern,5917.0,49.2
Redhead,2999.0,86.8
Regents Park (NSW),1943.0,43.1
Regentville,509.0,82.2
Revesby,7967.0,61.6
Revesby Heights,1099.0,80.3
Rhodes,1347.0,23.7
Riverstone,5019.0,81.1
Riverview (Lane Cove - NSW),2392.0,75.8
Riverwood,4507.0,44.1
Rockdale,4656.0,33.2
Rocky Point (NSW),234.0,84.8
Rodd Point,933.0,72.0
Rooty Hill,6512.0,48.7
Rose Bay (NSW),4942.0,52.6
Rosebery (NSW),3846.0,45.4
Roselands,6345.0,56.8
Rosemeadow,5288.0,69.3
Roseville,6063.0,66.1
Roseville Chase,1104.0,69.3
Rouse Hill,5190.0,69.4
Rozelle,5032.0,63.5
Ruse,4269.0,77.5
Rushcutters Bay,1096.0,46.2
Russell Lea,3334.0,69.8
Russell Vale,1297.0,85.4
Rydalmere,3639.0,58.5
Ryde,12048.0,55.8
Sadleir,1843.0,60.4
San Remo (NSW),3659.0,85.0
Sandringham (NSW),680.0,69.5
Sans Souci,6369.0,65.9
Saratoga,3117.0,83.9
Scarborough (NSW),240.0,86.6
Schofields,2820.0,74.0
Scotland Island,474.0,66.2
Seaforth (NSW),4490.0,66.7
Sefton,2700.0,51.6
Seven Hills (NSW),11176.0,59.4
Shalvey,2373.0,67.5
Shell Cove,3228.0,80.1
Shellharbour,2649.0,79.7
Shelly Beach (NSW),1062.0,83.9
Shortland,3098.0,83.6
Silverwater (Lake Macquarie - NSW),226.0,91.1
Smithfield (NSW),5368.0,48.7
South Coogee,3053.0,60.1
South Granville,2562.0,52.8
South Hurstville,2596.0,52.7
South Penrith,9028.0,77.6
South Turramurra,2004.0,67.4
South Wentworthville,3136.0,56.8
Speers Point,2739.0,84.8
Springfield (Gosford - NSW),3327.0,81.0
Springwood (NSW),6823.0,80.9
St Andrews (NSW),3880.0,68.2
St Clair (Penrith - NSW),14117.0,71.2
St Helens Park,4793.0,75.8
St Huberts Island,839.0,81.5
St Ives (NSW),8461.0,54.4
St Ives Chase,1693.0,54.9
St Johns Park,2389.0,40.1
St Leonards (NSW),1525.0,34.1
St Marys (NSW),6912.0,63.1
St Peters (NSW),1769.0,61.6
Stanhope Gardens,4322.0,56.3
Stanmore (NSW),4981.0,64.7
Stockton (NSW),3583.0,85.4
Strathfield (NSW),8840.0,37.4
Strathfield South,1647.0,51.3
Summer Hill (Ashfield - NSW),3838.0,58.3
Surry Hills,6873.0,44.8
Sutherland (NSW),6960.0,70.1
Swansea (NSW),4090.0,84.6
Swansea Heads,600.0,85.1
Sydenham (NSW),534.0,52.3
Sydney,2464.0,17.2
Sylvania,7082.0,72.8
Sylvania Waters,2116.0,67.8
Tacoma,643.0,85.5
Tacoma South,222.0,84.1
Tamarama,741.0,51.1
Taren Point,1230.0,73.3
Tarrawanna,1486.0,74.4
Tascott,1222.0,71.7
Tempe,1915.0,58.1
Teralba,1360.0,87.2
Terrey Hills,2285.0,76.5
Terrigal,7848.0,73.9
The Entrance,2866.0,74.0
The Entrance North,1153.0,82.9
The Hill,1325.0,77.2
The Junction,1252.0,83.7
Thirroul,4571.0,81.3
Thornleigh,5446.0,67.1
Tighes Hill,1291.0,79.9
Tingira Heights,1777.0,89.9
Toongabbie (NSW),7125.0,54.8
Toowoon Bay,447.0,81.1
Toronto,4543.0,83.6
Toukley,3302.0,79.8
Towradgi,2387.0,76.4
Tregear,2746.0,70.1
Tuggerah,798.0,78.5
Tuggerawong,1005.0,83.5
Tumbi Umbi,4068.0,81.7
Turramurra,7117.0,64.2
Turrella,923.0,57.7
Ultimo,1602.0,22.5
Umina Beach,12964.0,80.7
Unanderra,4235.0,74.7
Valentine (NSW),4810.0,86.6
Valley Heights,1132.0,81.9
Vaucluse,5164.0,57.1
Villawood,2482.0,46.8
Voyager Point,903.0,65.8
Wahroonga,10583.0,63.3
Waitara,2059.0,38.4
Wakeley,1895.0,40.6
Wallsend,10249.0,83.3
Wamberal,5131.0,81.4
Warabrook,1606.0,76.8
Waratah (NSW),3775.0,79.3
Waratah West,2097.0,78.4
Wareemba,959.0,65.0
Warilla,4788.0,74.7
Warners Bay,6316.0,84.7
Warrawee,1776.0,61.0
Warrawong,2679.0,56.2
Warriewood,4381.0,71.3
Warrimoo,1963.0,83.7
Warwick Farm,1654.0,36.8
Watanobbi,3003.0,79.6
Waterloo (NSW),3805.0,35.7
Watsons Bay,586.0,63.7
Wattle Grove (NSW),5619.0,68.6
Waverley (NSW),2371.0,55.7
Waverton,1624.0,57.8
Wentworthville,4421.0,41.8
Werrington,2600.0,67.6
Werrington County,2984.0,81.2
Werrington Downs,2661.0,81.6
West Gosford,962.0,69.0
West Hoxton,5270.0,57.7
West Pennant Hills,9854.0,61.7
West Pymble,3599.0,69.9
West Ryde,5624.0,47.4
West Wallsend,1560.0,91.0
West Wollongong,3130.0,70.4
Westleigh,3119.0,69.6
Westmead,4270.0,30.1
Wetherill Park,2860.0,47.5
Whalan,4024.0,67.9
Whitebridge,2295.0,89.4
Wickham (NSW),778.0,81.8
Wiley Park,3319.0,34.2
Willmot,1735.0,70.0
Willoughby (NSW),3759.0,63.5
Willoughby East,1299.0,71.4
Windale,2684.0,86.7
Windang,2017.0,77.7
Winmalee,5463.0,82.9
Winston Hills,7803.0,69.8
Wollongong,9726.0,58.2
Wollstonecraft,4331.0,54.1
Wombarra,690.0,79.7
Woodbine (NSW),1802.0,68.4
Woodcroft (NSW),2449.0,38.2
Woodpark,883.0,66.7
Woodrising,1045.0,87.4
Woollahra,4393.0,61.2
Woolloomooloo,1677.0,45.1
Woolooware,3318.0,78.8
Woolwich,586.0,71.8
Woonona,9293.0,81.2
Woronora,1817.0,81.8
Woronora Heights,2532.0,84.9
Woy Woy,7861.0,77.7
Woy Woy Bay,331.0,77.0
Wyoming,7773.0,78.5
Wyongah,1707.0,87.5
Yagoona,8293.0,51.8
Yarrawarrah,2555.0,85.7
Yattalunga (NSW),439.0,83.0
Yennora,615.0,43.7
Yowie Bay,2641.0,83.4
Zetland,1648.0,43.2
