,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Abbotsbury,4253.0,0.488,0.512,38.0,1177.0,2.0,1.3,1266.0,3.5,2171.0,2167.0,505.0,2.5
Abbotsford,5373.0,0.47200000000000003,0.528,45.0,1532.0,1.6,0.6,2520.0,2.3,2006.0,2600.0,520.0,1.6
Acacia Gardens,3798.0,0.5,0.5,34.0,1070.0,1.8,1.2,1151.0,3.4,2378.0,2383.0,520.0,2.0
Adamstown,6044.0,0.48200000000000004,0.518,36.0,1541.0,1.8,0.7,2678.0,2.4,1404.0,1842.0,325.0,1.6
Adamstown Heights,5299.0,0.501,0.499,41.0,1532.0,1.8,0.8,2074.0,2.7,1770.0,2008.0,395.0,1.9
Airds,2926.0,0.456,0.544,30.0,715.0,2.1,1.2,1093.0,2.8,677.0,1200.0,178.0,1.1
Albion Park,13316.0,0.48200000000000004,0.518,35.0,3674.0,1.9,1.0,4604.0,3.0,1678.0,1950.0,385.0,2.1
Albion Park Rail,6918.0,0.488,0.512,40.0,1915.0,1.8,0.8,2696.0,2.6,1198.0,1700.0,320.0,1.9
Alexandria,8262.0,0.51,0.49,33.0,2062.0,1.5,0.3,4264.0,2.1,2421.0,2500.0,590.0,1.1
Alfords Point,3109.0,0.49,0.51,40.0,896.0,2.0,1.3,965.0,3.4,2622.0,2400.0,740.0,2.6
Allambie Heights,7009.0,0.48600000000000004,0.514,41.0,1829.0,1.9,1.0,2459.0,3.0,2229.0,2902.0,478.0,1.9
Allawah,5706.0,0.5,0.5,33.0,1571.0,1.6,0.6,2233.0,2.7,1494.0,1950.0,440.0,1.3
Ambarvale,7374.0,0.488,0.512,32.0,1989.0,2.0,1.1,2534.0,3.0,1287.0,1700.0,330.0,1.7
Annandale,9451.0,0.48100000000000004,0.519,37.0,2244.0,1.7,0.6,4324.0,2.3,2337.0,3000.0,540.0,1.3
Argenton,1351.0,0.503,0.49700000000000005,40.0,363.0,1.7,0.7,610.0,2.4,1002.0,1517.0,275.0,1.6
Arncliffe,10590.0,0.501,0.499,33.0,2604.0,1.9,0.8,3936.0,2.9,1657.0,2167.0,500.0,1.4
Artarmon,9523.0,0.488,0.512,35.0,2539.0,1.6,0.7,4062.0,2.5,2183.0,2483.0,541.0,1.2
Ashbury,3329.0,0.49700000000000005,0.503,42.0,915.0,1.8,1.1,1162.0,3.1,2157.0,2500.0,560.0,1.8
Ashcroft,3585.0,0.49,0.51,31.0,789.0,2.2,1.2,1228.0,3.1,887.0,1733.0,225.0,1.5
Ashfield,23841.0,0.494,0.506,34.0,5715.0,1.5,0.5,9731.0,2.5,1632.0,2058.0,440.0,1.2
Asquith,3376.0,0.48,0.52,39.0,933.0,1.8,0.9,1283.0,3.0,2029.0,2400.0,528.0,1.7
Auburn,37366.0,0.55,0.45,30.0,8314.0,2.1,1.0,11157.0,3.5,1240.0,1733.0,400.0,1.6
Austinmer,2560.0,0.485,0.515,41.0,678.0,1.9,0.9,1016.0,2.7,2031.0,2383.0,473.0,1.9
Avoca Beach,4584.0,0.498,0.502,41.0,1251.0,1.9,1.0,2248.0,2.8,1896.0,2167.0,440.0,2.0
Balgowlah,7961.0,0.48100000000000004,0.519,39.0,2167.0,1.7,0.8,3440.0,2.5,2261.0,3000.0,580.0,1.5
Balgowlah Heights,3342.0,0.48600000000000004,0.514,41.0,887.0,2.0,1.3,1117.0,3.2,3726.0,4292.0,1100.0,2.0
Balgownie,5525.0,0.48100000000000004,0.519,43.0,1576.0,1.8,0.8,2218.0,2.6,1558.0,2167.0,375.0,1.9
Balmain,10453.0,0.48,0.52,40.0,2637.0,1.7,0.6,5009.0,2.3,2550.0,3000.0,600.0,1.2
Balmain East,1932.0,0.49100000000000005,0.509,43.0,524.0,1.8,0.5,981.0,2.2,2485.0,3500.0,580.0,1.3
Bangor,5568.0,0.49600000000000005,0.504,42.0,1604.0,1.9,1.0,1888.0,3.0,2289.0,2500.0,598.0,2.3
Banksia,3388.0,0.495,0.505,38.0,920.0,1.8,0.9,1186.0,3.0,1685.0,2383.0,480.0,1.6
Bankstown,32113.0,0.493,0.507,32.0,7809.0,1.9,1.0,11155.0,3.1,1120.0,1733.0,400.0,1.5
Bar Beach,1256.0,0.54,0.46,39.0,272.0,2.0,0.6,649.0,2.1,1719.0,2435.0,300.0,1.5
Barden Ridge,4329.0,0.493,0.507,37.0,1156.0,2.1,1.4,1247.0,3.5,2772.0,2383.0,615.0,2.6
Bardwell Park,2242.0,0.49200000000000005,0.508,41.0,618.0,1.8,0.9,835.0,2.9,1992.0,2257.0,500.0,1.7
Bardwell Valley,2323.0,0.478,0.522,40.0,627.0,1.9,1.0,864.0,2.9,1684.0,2288.0,490.0,1.8
Barnsley,1747.0,0.5,0.5,36.0,494.0,1.8,0.9,634.0,2.8,1402.0,1700.0,340.0,2.2
Barrack Heights,5900.0,0.48600000000000004,0.514,40.0,1692.0,1.8,0.8,2427.0,2.6,1088.0,1647.0,320.0,1.8
Barrack Point,689.0,0.505,0.495,45.0,171.0,2.0,0.8,305.0,2.5,1342.0,2167.0,340.0,2.0
Bass Hill,9069.0,0.493,0.507,34.0,2236.0,2.2,1.2,3001.0,3.2,1225.0,2080.0,380.0,1.9
Bateau Bay,12146.0,0.469,0.531,44.0,3238.0,1.8,0.8,5122.0,2.5,1245.0,1820.0,340.0,1.8
Baulkham Hills,37050.0,0.49,0.51,38.0,10451.0,1.8,1.0,12895.0,3.0,2107.0,2300.0,520.0,1.9
Bayview,3620.0,0.459,0.541,56.0,933.0,1.8,0.6,1672.0,2.3,1476.0,3000.0,500.0,1.8
Beacon Hill,7457.0,0.5,0.5,40.0,2044.0,1.9,1.1,2403.0,3.2,2369.0,2900.0,736.0,2.1
Beaconsfield,987.0,0.522,0.478,34.0,251.0,1.6,0.4,454.0,2.3,2330.0,2455.0,623.0,1.3
Beecroft,9396.0,0.474,0.526,43.0,2621.0,1.9,1.0,3190.0,3.1,2598.0,3000.0,595.0,2.0
Belfield,6322.0,0.484,0.516,39.0,1677.0,1.9,1.0,2282.0,2.9,1440.0,2378.0,430.0,1.7
Bella Vista,7837.0,0.494,0.506,38.0,2134.0,1.9,1.2,2321.0,3.5,2942.0,2700.0,710.0,2.4
Bellambi,3947.0,0.484,0.516,40.0,1039.0,1.8,0.7,1787.0,2.4,924.0,1842.0,215.0,1.4
Bellevue Hill,10716.0,0.48700000000000004,0.513,37.0,2668.0,1.9,0.7,4642.0,2.5,2892.0,3000.0,625.0,1.6
Belmont,7114.0,0.485,0.515,46.0,1934.0,1.7,0.6,3370.0,2.3,1040.0,1842.0,295.0,1.6
Belmont North,6335.0,0.494,0.506,40.0,1779.0,1.9,0.9,2409.0,2.7,1409.0,1734.0,350.0,1.9
Belmont South,1054.0,0.485,0.515,44.0,301.0,1.7,0.6,499.0,2.3,1026.0,1700.0,250.0,1.6
Belmore,12718.0,0.498,0.502,37.0,3290.0,1.9,0.9,4868.0,2.8,1192.0,2000.0,360.0,1.5
Belrose,8780.0,0.48100000000000004,0.519,45.0,2328.0,1.9,0.9,3149.0,2.9,2117.0,3000.0,820.0,2.0
Bensville,2545.0,0.498,0.502,40.0,728.0,2.0,1.1,863.0,3.1,1960.0,2000.0,400.0,2.2
Berala,9049.0,0.518,0.48200000000000004,34.0,2285.0,1.8,0.9,2963.0,3.2,1319.0,1733.0,380.0,1.6
Berkeley,7605.0,0.48700000000000004,0.513,39.0,2036.0,1.9,0.8,3079.0,2.6,1059.0,1603.0,230.0,1.7
Berkeley Vale,8355.0,0.48,0.52,38.0,2259.0,1.8,0.9,3240.0,2.7,1397.0,1733.0,370.0,1.9
Berowra,4721.0,0.499,0.501,39.0,1318.0,1.9,1.1,1590.0,3.1,2355.0,2331.0,550.0,2.0
Berowra Heights,5264.0,0.493,0.507,40.0,1514.0,1.9,1.1,1824.0,3.0,2138.0,2383.0,550.0,2.0
Beverley Park,2393.0,0.501,0.499,39.0,653.0,1.8,0.9,920.0,2.8,1819.0,2500.0,550.0,1.8
Beverly Hills,10156.0,0.48200000000000004,0.518,39.0,2757.0,1.8,0.9,3697.0,2.9,1549.0,2167.0,450.0,1.7
Bexley,19733.0,0.488,0.512,39.0,4951.0,1.9,1.0,6746.0,2.9,1556.0,2167.0,450.0,1.7
Bexley North,4097.0,0.48700000000000004,0.513,40.0,1119.0,1.8,0.8,1576.0,2.8,1570.0,2200.0,430.0,1.5
Bidwill,4280.0,0.466,0.534,29.0,1038.0,2.1,1.2,1501.0,2.9,798.0,1517.0,190.0,1.3
Birchgrove,3303.0,0.469,0.531,43.0,877.0,1.7,0.7,1520.0,2.4,3225.0,3000.0,650.0,1.4
Birmingham Gardens,2376.0,0.531,0.469,26.0,453.0,1.9,0.6,961.0,2.6,1061.0,1517.0,350.0,1.6
Birrong,3103.0,0.49100000000000005,0.509,35.0,796.0,2.0,1.1,998.0,3.2,1373.0,1948.0,430.0,1.7
Blackalls Park,2753.0,0.48100000000000004,0.519,42.0,760.0,1.8,0.8,1160.0,2.5,1139.0,1625.0,310.0,1.8
Blackbutt,3301.0,0.47500000000000003,0.525,40.0,946.0,1.8,0.9,1263.0,2.7,1373.0,1950.0,370.0,2.0
Blackett,3452.0,0.48100000000000004,0.519,31.0,850.0,2.1,1.1,1206.0,3.0,1018.0,1523.0,294.0,1.4
Blacksmiths,1846.0,0.507,0.493,48.0,510.0,1.8,0.7,898.0,2.3,988.0,1733.0,300.0,1.7
Blacktown,47176.0,0.504,0.49600000000000005,33.0,12361.0,1.8,0.9,16444.0,3.0,1459.0,1900.0,380.0,1.6
Blackwall,1888.0,0.478,0.522,44.0,509.0,1.7,0.6,895.0,2.3,1188.0,1759.0,350.0,1.6
Blairmount,422.0,0.513,0.48700000000000004,29.0,107.0,2.1,1.3,130.0,3.5,1850.0,1983.0,378.0,2.1
Blakehurst,6219.0,0.489,0.511,41.0,1632.0,2.0,1.1,2127.0,3.1,2080.0,2600.0,500.0,2.0
Blaxland,7451.0,0.484,0.516,40.0,2141.0,1.9,0.9,2835.0,2.8,1814.0,2058.0,390.0,1.9
Blue Bay,1027.0,0.473,0.527,50.0,283.0,1.6,0.5,689.0,2.1,1141.0,1925.0,350.0,1.6
Blue Haven,6378.0,0.479,0.521,33.0,1734.0,2.0,1.0,2305.0,2.9,1331.0,1733.0,370.0,1.9
Bolton Point,2119.0,0.47500000000000003,0.525,43.0,558.0,1.9,0.8,868.0,2.5,1009.0,1517.0,225.0,1.6
Bondi,10045.0,0.493,0.507,33.0,2162.0,1.6,0.4,4976.0,2.2,2175.0,2600.0,620.0,1.1
Bondi Beach,11656.0,0.5,0.5,33.0,2468.0,1.6,0.3,6498.0,2.1,2253.0,2708.0,630.0,1.0
Bondi Junction,9445.0,0.48,0.52,35.0,2063.0,1.7,0.4,4609.0,2.2,2026.0,2817.0,630.0,1.0
Bonnet Bay,2262.0,0.504,0.49600000000000005,43.0,674.0,1.8,0.9,785.0,3.0,2706.0,2600.0,650.0,2.2
Bonnyrigg,8670.0,0.48200000000000004,0.518,36.0,2265.0,1.9,1.2,2685.0,3.3,1196.0,1900.0,290.0,1.8
Bonnyrigg Heights,7303.0,0.49600000000000005,0.504,35.0,1964.0,2.0,1.4,2004.0,3.8,1679.0,2000.0,430.0,2.3
Booker Bay,1326.0,0.489,0.511,55.0,365.0,1.7,0.4,748.0,2.1,1002.0,1733.0,350.0,1.4
Boolaroo,1039.0,0.495,0.505,42.0,277.0,1.6,0.6,477.0,2.3,1187.0,1467.0,323.0,1.8
Booragul,1281.0,0.45799999999999996,0.542,45.0,336.0,1.7,0.7,562.0,2.5,932.0,1521.0,250.0,1.6
Bossley Park,14585.0,0.495,0.505,39.0,3924.0,2.0,1.2,4420.0,3.4,1511.0,2000.0,440.0,2.1
Botany,10817.0,0.5,0.5,36.0,2847.0,1.8,0.9,4128.0,2.8,2028.0,2600.0,520.0,1.7
Bow Bowing,1602.0,0.501,0.499,34.0,446.0,2.0,1.1,523.0,3.2,1797.0,1863.0,400.0,2.1
Bradbury,8800.0,0.489,0.511,35.0,2409.0,1.9,0.9,3287.0,2.8,1373.0,1733.0,360.0,1.7
Broadmeadow,1592.0,0.501,0.499,35.0,402.0,1.6,0.5,772.0,2.2,1288.0,1712.0,330.0,1.5
Bronte,6733.0,0.495,0.505,37.0,1706.0,1.8,0.7,2989.0,2.6,2671.0,3500.0,620.0,1.5
Brookvale,3161.0,0.49700000000000005,0.503,35.0,849.0,1.6,0.5,1428.0,2.3,1822.0,2200.0,500.0,1.5
Budgewoi,3360.0,0.49700000000000005,0.503,45.0,929.0,1.7,0.6,1700.0,2.3,1029.0,1517.0,300.0,1.6
Buff Point,3511.0,0.498,0.502,44.0,952.0,1.9,0.7,1517.0,2.5,1104.0,1591.0,330.0,1.8
Bulli,6105.0,0.48600000000000004,0.514,38.0,1624.0,1.9,1.0,2356.0,2.8,1896.0,2288.0,318.0,1.9
Burwood,16030.0,0.479,0.521,30.0,3514.0,1.6,0.5,6041.0,2.8,1398.0,2167.0,520.0,1.1
Burwood Heights,989.0,0.44700000000000006,0.5529999999999999,38.0,241.0,1.8,0.9,323.0,3.1,1863.0,2500.0,530.0,1.6
Busby,4290.0,0.49200000000000005,0.508,32.0,1016.0,2.2,1.3,1380.0,3.3,1026.0,1733.0,268.0,1.6
Cabarita,1957.0,0.49,0.51,48.0,596.0,1.8,0.7,793.0,2.7,2559.0,3000.0,850.0,1.9
Cabramatta,21783.0,0.488,0.512,36.0,5477.0,1.8,0.9,7182.0,3.1,968.0,1371.0,310.0,1.3
Cabramatta West,7222.0,0.48700000000000004,0.513,35.0,1850.0,1.9,1.1,2092.0,3.5,1189.0,1768.0,350.0,1.9
Cambridge Gardens,2014.0,0.488,0.512,35.0,580.0,1.9,0.9,717.0,2.9,1766.0,1907.0,379.0,2.0
Cambridge Park,6726.0,0.495,0.505,35.0,1844.0,1.8,0.9,2557.0,2.7,1429.0,1749.0,360.0,1.7
Camden,3230.0,0.47100000000000003,0.529,42.0,800.0,1.8,0.7,1374.0,2.3,1379.0,2123.0,380.0,1.8
Camden South,4539.0,0.49,0.51,37.0,1335.0,1.9,0.9,1689.0,2.8,1812.0,2167.0,430.0,2.1
Cammeray,7006.0,0.469,0.531,38.0,1879.0,1.6,0.5,3446.0,2.2,2361.0,2670.0,580.0,1.4
Campbelltown,12566.0,0.488,0.512,35.0,3139.0,1.8,0.7,5414.0,2.4,1206.0,1733.0,360.0,1.4
Camperdown,10341.0,0.483,0.517,29.0,1900.0,1.5,0.2,5451.0,1.8,1796.0,2516.0,500.0,0.8
Campsie,24541.0,0.502,0.498,34.0,6460.0,1.6,0.7,8918.0,2.9,1239.0,1742.0,395.0,1.3
Canada Bay,1238.0,0.498,0.502,41.0,336.0,1.8,0.8,513.0,2.6,1989.0,2500.0,500.0,1.7
Canley Heights,10974.0,0.48700000000000004,0.513,35.0,2865.0,1.9,1.2,3333.0,3.5,1260.0,1733.0,370.0,1.8
Canley Vale,10216.0,0.49200000000000005,0.508,36.0,2573.0,1.9,1.0,3301.0,3.2,1053.0,1517.0,320.0,1.6
Canterbury,7233.0,0.493,0.507,35.0,1945.0,1.7,0.7,3001.0,2.6,1503.0,2167.0,450.0,1.4
Canton Beach,1171.0,0.48,0.52,60.0,263.0,1.7,0.4,706.0,1.8,673.0,1517.0,280.0,1.1
Cardiff,5830.0,0.493,0.507,37.0,1601.0,1.7,0.7,2495.0,2.4,1231.0,1690.0,340.0,1.7
Cardiff Heights,1443.0,0.47500000000000003,0.525,46.0,375.0,1.8,0.7,577.0,2.4,1468.0,1777.0,360.0,1.8
Cardiff South,2830.0,0.48,0.52,38.0,784.0,1.7,0.8,1158.0,2.5,1386.0,1733.0,345.0,1.8
Caringbah,11658.0,0.48100000000000004,0.519,37.0,3047.0,1.7,0.7,5272.0,2.3,1568.0,2208.0,430.0,1.5
Carlingford,24394.0,0.49100000000000005,0.509,39.0,6871.0,1.7,0.9,8513.0,3.1,1833.0,2167.0,510.0,1.9
Carlton,10722.0,0.502,0.498,36.0,2926.0,1.7,0.8,3988.0,2.9,1600.0,2024.0,440.0,1.5
Carramar,3550.0,0.49600000000000005,0.504,37.0,827.0,1.8,0.8,1359.0,2.7,926.0,1335.0,290.0,1.4
Carrington,1929.0,0.508,0.49200000000000005,35.0,465.0,1.6,0.4,970.0,2.1,1402.0,1733.0,360.0,1.5
Carss Park,1252.0,0.48200000000000004,0.518,45.0,338.0,2.0,0.9,476.0,2.9,1779.0,2913.0,212.0,1.9
Cartwright,2370.0,0.503,0.49700000000000005,37.0,542.0,2.2,0.9,981.0,2.6,740.0,1729.0,168.0,1.3
Castle Cove,2554.0,0.499,0.501,44.0,724.0,1.9,1.0,945.0,3.0,2797.0,3113.0,923.0,2.1
Castle Hill,39594.0,0.484,0.516,40.0,10942.0,1.9,1.0,13721.0,3.0,2219.0,2500.0,555.0,2.0
Castlecrag,2939.0,0.49600000000000005,0.504,43.0,817.0,2.0,1.1,1047.0,3.1,3799.0,3991.0,950.0,2.0
Casula,15662.0,0.48700000000000004,0.513,34.0,4017.0,2.0,1.2,5103.0,3.2,1584.0,2167.0,420.0,2.0
Caves Beach,4054.0,0.48100000000000004,0.519,46.0,1187.0,1.9,0.8,1661.0,2.7,1407.0,1950.0,360.0,1.9
Cecil Hills,7018.0,0.49700000000000005,0.503,35.0,1797.0,2.1,1.5,1938.0,3.7,2137.0,2167.0,500.0,2.5
Centennial Park,2376.0,0.483,0.517,35.0,535.0,1.7,0.4,1293.0,2.0,2010.0,2167.0,505.0,1.2
Charlestown,12912.0,0.49,0.51,38.0,3647.0,1.7,0.7,5558.0,2.5,1424.0,1863.0,350.0,1.8
Charmhaven,2551.0,0.49600000000000005,0.504,37.0,650.0,2.0,0.8,980.0,2.7,1194.0,1517.0,340.0,1.9
Chatswood,24913.0,0.473,0.527,34.0,6506.0,1.6,0.6,10500.0,2.6,1881.0,2500.0,600.0,1.1
Chatswood West,1499.0,0.493,0.507,43.0,428.0,1.8,0.9,547.0,3.0,2533.0,3000.0,700.0,1.9
Cheltenham,2243.0,0.474,0.526,43.0,636.0,1.9,1.1,720.0,3.2,3170.0,3000.0,670.0,2.1
Cherrybrook,18765.0,0.49100000000000005,0.509,42.0,5319.0,1.9,1.1,6157.0,3.2,2443.0,2500.0,650.0,2.0
Chester Hill,12814.0,0.49,0.51,35.0,3086.0,2.1,1.1,4322.0,3.1,1125.0,2000.0,330.0,1.7
Chifley,3233.0,0.483,0.517,42.0,846.0,1.8,1.0,1226.0,2.9,1816.0,2600.0,237.0,1.8
Chippendale,8617.0,0.48100000000000004,0.519,26.0,1298.0,1.3,0.1,4174.0,2.0,1250.0,2167.0,572.0,0.5
Chipping Norton,9001.0,0.489,0.511,38.0,2451.0,1.9,1.0,3076.0,3.0,1773.0,2167.0,450.0,2.1
Chiswick,2926.0,0.46399999999999997,0.536,38.0,789.0,1.5,0.5,1424.0,2.2,2220.0,2600.0,600.0,1.4
Chittaway Bay,2028.0,0.499,0.501,41.0,560.0,1.8,0.9,773.0,2.8,1443.0,1733.0,340.0,2.0
Chittaway Point,941.0,0.494,0.506,41.0,259.0,1.8,0.8,379.0,2.8,1603.0,1871.0,370.0,2.2
Church Point,997.0,0.498,0.502,51.0,302.0,1.8,0.7,429.0,2.6,2590.0,3033.0,775.0,2.2
Claremont Meadows,4776.0,0.494,0.506,31.0,1293.0,1.9,1.2,1530.0,3.2,2075.0,2100.0,400.0,2.1
Claymore,2644.0,0.434,0.5660000000000001,23.0,512.0,2.4,1.6,852.0,3.3,698.0,0.0,199.0,1.0
Clontarf,1737.0,0.474,0.526,44.0,475.0,2.1,1.2,614.0,3.2,3744.0,4333.0,1200.0,2.1
Clovelly,4736.0,0.48100000000000004,0.519,37.0,1301.0,1.8,0.7,2080.0,2.5,2768.0,3683.0,630.0,1.5
Coal Point,1723.0,0.494,0.506,50.0,515.0,1.7,0.6,782.0,2.5,1801.0,2000.0,375.0,2.2
Coledale,1260.0,0.498,0.502,42.0,348.0,1.9,0.9,501.0,2.9,2154.0,2400.0,500.0,2.0
Collaroy,7870.0,0.488,0.512,39.0,2138.0,1.8,0.7,3257.0,2.6,2115.0,2500.0,530.0,1.8
Colyton,8439.0,0.49600000000000005,0.504,35.0,2220.0,2.0,1.0,3028.0,2.9,1415.0,1753.0,365.0,1.8
Como,3977.0,0.498,0.502,39.0,1090.0,1.9,1.1,1352.0,3.1,2543.0,2600.0,550.0,1.9
Concord,14533.0,0.484,0.516,41.0,3987.0,1.8,0.9,5276.0,2.9,2078.0,2500.0,496.0,1.8
Concord West,5914.0,0.488,0.512,41.0,1581.0,1.8,1.0,2085.0,3.0,2072.0,2500.0,480.0,1.7
Condell Park,11574.0,0.499,0.501,33.0,2937.0,2.1,1.3,3639.0,3.4,1392.0,2167.0,450.0,1.9
Coniston,2268.0,0.49600000000000005,0.504,38.0,554.0,1.8,0.7,964.0,2.4,1135.0,1700.0,295.0,1.5
Connells Point,2829.0,0.48600000000000004,0.514,42.0,799.0,1.9,1.0,986.0,3.1,2287.0,2800.0,595.0,2.1
Coogee,15212.0,0.47100000000000003,0.529,34.0,3542.0,1.6,0.5,7319.0,2.3,2396.0,2743.0,600.0,1.3
Cooks Hill,3621.0,0.48,0.52,35.0,809.0,1.6,0.4,1984.0,2.0,1497.0,1950.0,370.0,1.4
Copacabana,2735.0,0.51,0.49,41.0,763.0,1.9,1.0,1422.0,2.8,1837.0,2167.0,413.0,2.0
Cordeaux Heights,4559.0,0.505,0.495,39.0,1313.0,2.0,1.2,1473.0,3.2,2265.0,2000.0,450.0,2.3
Corrimal,6519.0,0.48200000000000004,0.518,42.0,1758.0,1.8,0.7,2889.0,2.4,1230.0,2000.0,310.0,1.7
Cranebrook,15759.0,0.489,0.511,32.0,4325.0,1.9,1.1,5385.0,3.0,1874.0,2000.0,380.0,2.1
Cremorne,11227.0,0.455,0.545,38.0,2955.0,1.6,0.5,5655.0,2.1,2348.0,2600.0,587.0,1.3
Cremorne Point,2409.0,0.483,0.517,43.0,642.0,1.6,0.4,1306.0,2.1,2506.0,3000.0,600.0,1.4
Cringila,2198.0,0.518,0.48200000000000004,36.0,555.0,2.0,1.1,796.0,2.9,901.0,1394.0,300.0,1.5
Cromer,7592.0,0.483,0.517,42.0,2026.0,1.9,0.9,2778.0,2.9,1998.0,2700.0,600.0,1.9
Cronulla,18070.0,0.493,0.507,39.0,4756.0,1.7,0.5,9330.0,2.1,1794.0,2167.0,450.0,1.6
Croudace Bay,574.0,0.48700000000000004,0.513,41.0,159.0,2.1,1.1,211.0,3.0,1448.0,2234.0,420.0,1.8
Crows Nest,4798.0,0.484,0.516,35.0,1259.0,1.5,0.4,2521.0,2.1,2312.0,2800.0,550.0,1.1
Croydon,10612.0,0.47700000000000004,0.523,40.0,2734.0,1.8,0.8,3836.0,2.9,1846.0,2400.0,450.0,1.5
Croydon Park,11012.0,0.473,0.527,39.0,2981.0,1.8,0.9,4281.0,2.8,1597.0,2167.0,400.0,1.6
Curl Curl,2414.0,0.516,0.484,38.0,595.0,2.0,1.0,866.0,3.0,2693.0,3100.0,620.0,2.0
Currans Hill,5309.0,0.489,0.511,31.0,1444.0,2.0,1.2,1797.0,3.1,1860.0,2086.0,430.0,2.0
Daceyville,1209.0,0.429,0.5710000000000001,53.0,242.0,1.8,0.5,621.0,1.9,498.0,2550.0,130.0,0.9
Daleys Point,681.0,0.461,0.539,62.0,205.0,1.8,0.5,385.0,2.1,934.0,2099.0,395.0,1.6
Dapto,10730.0,0.49,0.51,40.0,3009.0,1.8,0.8,4323.0,2.6,1238.0,1733.0,340.0,1.8
Darling Point,4190.0,0.45299999999999996,0.547,48.0,1050.0,1.5,0.3,2527.0,1.9,2966.0,3000.0,787.0,1.3
Darlinghurst,11320.0,0.578,0.42200000000000004,35.0,2156.0,1.4,0.1,6769.0,1.8,2158.0,2500.0,560.0,0.7
Darlington,3097.0,0.478,0.522,25.0,378.0,1.5,0.2,1412.0,2.2,1111.0,2800.0,500.0,0.6
Davidson,2849.0,0.49200000000000005,0.508,43.0,835.0,1.9,1.0,945.0,3.1,2630.0,3000.0,878.0,2.3
Davistown,2488.0,0.484,0.516,48.0,695.0,1.8,0.6,1160.0,2.3,1176.0,1950.0,350.0,1.7
Dawes Point,357.0,0.49,0.51,51.0,107.0,1.4,0.3,202.0,2.0,3806.0,5200.0,1500.0,1.4
Dean Park,3227.0,0.48600000000000004,0.514,34.0,830.0,2.0,1.1,1021.0,3.1,1600.0,1788.0,400.0,1.9
Dee Why,21518.0,0.49,0.51,36.0,5735.0,1.6,0.6,10018.0,2.3,1716.0,2167.0,500.0,1.4
Denistone,3751.0,0.49700000000000005,0.503,42.0,1057.0,1.8,0.9,1280.0,3.0,2333.0,2300.0,565.0,1.8
Denistone East,2250.0,0.49,0.51,38.0,611.0,1.8,1.0,746.0,3.2,2129.0,2200.0,600.0,1.9
Denistone West,933.0,0.499,0.501,39.0,251.0,1.8,1.0,318.0,3.1,2128.0,2500.0,560.0,1.8
Dharruk,2774.0,0.49,0.51,34.0,732.0,2.1,1.2,908.0,3.2,1281.0,1555.0,325.0,1.7
Dolans Bay,598.0,0.49700000000000005,0.503,43.0,175.0,2.0,1.0,215.0,3.1,2815.0,3250.0,600.0,2.4
Dolls Point,1661.0,0.461,0.539,43.0,442.0,1.6,0.5,859.0,2.1,1438.0,2037.0,435.0,1.5
Doonside,13451.0,0.49200000000000005,0.508,35.0,3543.0,1.9,1.0,4604.0,3.1,1340.0,1950.0,310.0,1.6
Double Bay,4642.0,0.438,0.562,39.0,1126.0,1.6,0.4,2516.0,2.1,2478.0,3000.0,680.0,1.2
Dover Heights,3802.0,0.478,0.522,41.0,1043.0,2.0,1.0,1427.0,3.0,3031.0,4000.0,725.0,1.9
Drummoyne,11950.0,0.47000000000000003,0.53,40.0,3069.0,1.7,0.6,5532.0,2.3,2353.0,2900.0,571.0,1.5
Dudley,2414.0,0.493,0.507,40.0,678.0,1.9,0.9,931.0,2.7,1991.0,2000.0,365.0,2.1
Dulwich Hill,13715.0,0.47700000000000004,0.523,37.0,3437.0,1.7,0.6,6279.0,2.3,1809.0,2167.0,450.0,1.2
Dundas,4740.0,0.488,0.512,35.0,1196.0,1.8,0.9,1625.0,2.9,1701.0,2167.0,430.0,1.7
Dundas Valley,5412.0,0.49,0.51,36.0,1401.0,1.8,0.9,2049.0,2.8,1551.0,2200.0,350.0,1.7
Eagle Vale,5788.0,0.499,0.501,33.0,1599.0,1.9,1.1,1891.0,3.1,1612.0,1733.0,370.0,2.0
Earlwood,17741.0,0.493,0.507,42.0,4782.0,1.8,0.9,6553.0,2.9,1824.0,2500.0,500.0,1.7
East Gosford,4238.0,0.46299999999999997,0.537,44.0,1065.0,1.8,0.6,2131.0,2.1,1065.0,1863.0,330.0,1.4
East Hills,3206.0,0.499,0.501,41.0,831.0,1.9,0.9,1260.0,2.7,1511.0,2200.0,322.0,1.8
East Killara,2978.0,0.502,0.498,42.0,843.0,1.9,1.1,992.0,3.3,2524.0,3100.0,920.0,2.1
East Lindfield,3711.0,0.48200000000000004,0.518,42.0,981.0,2.0,1.1,1252.0,3.1,3047.0,3500.0,975.0,2.0
East Ryde,2454.0,0.48200000000000004,0.518,41.0,696.0,1.9,1.1,858.0,3.1,2585.0,2817.0,675.0,2.0
Eastern Creek,827.0,0.505,0.495,34.0,203.0,2.2,1.1,278.0,3.2,1613.0,1763.0,380.0,2.0
Eastlakes,6912.0,0.5,0.5,36.0,1733.0,1.7,0.7,2908.0,2.6,1051.0,2000.0,400.0,1.2
