,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Shelly Beach,1318.0,0.49700000000000005,0.503,45.0,355.0,1.8,0.7,551.0,2.6,1504.0,2167.0,400.0,1.9
Shortland,3905.0,0.508,0.49200000000000005,33.0,967.0,1.8,0.6,1732.0,2.4,1038.0,1517.0,330.0,1.6
Silverwater,4166.0,0.662,0.33799999999999997,33.0,574.0,1.9,0.8,913.0,2.8,1536.0,2000.0,450.0,1.7
Smithfield,11972.0,0.495,0.505,37.0,2989.0,2.1,1.1,4077.0,3.1,1173.0,2000.0,360.0,1.7
South Coogee,5502.0,0.469,0.531,41.0,1314.0,1.8,0.8,2386.0,2.5,1517.0,3132.0,177.0,1.3
South Granville,5500.0,0.505,0.495,31.0,1239.0,2.3,1.2,1848.0,3.3,957.0,2000.0,226.0,1.6
South Hurstville,5147.0,0.48,0.52,37.0,1345.0,1.7,0.9,1842.0,2.9,1581.0,2167.0,470.0,1.6
South Penrith,11790.0,0.49,0.51,37.0,3327.0,1.9,0.9,4444.0,2.8,1573.0,2000.0,390.0,1.9
South Turramurra,3084.0,0.494,0.506,42.0,859.0,1.9,1.1,1039.0,3.1,2564.0,3000.0,725.0,2.0
South Wentworthville,6197.0,0.501,0.499,34.0,1584.0,1.9,1.0,2157.0,3.0,1469.0,2100.0,420.0,1.8
Speers Point,3313.0,0.49,0.51,46.0,930.0,1.7,0.6,1460.0,2.4,1369.0,1841.0,350.0,1.8
Springfield,39.0,0.474,0.526,44.0,11.0,1.6,0.7,17.0,2.8,1875.0,0.0,0.0,2.5
Springwood,8475.0,0.46399999999999997,0.536,46.0,2280.0,1.8,0.7,3448.0,2.5,1550.0,1950.0,355.0,1.7
St Andrews,5730.0,0.505,0.495,34.0,1598.0,1.9,1.1,1901.0,3.1,1643.0,1733.0,380.0,2.0
St Clair,5.0,0.0,1.0,46.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0
St Helens Park,6602.0,0.48700000000000004,0.513,31.0,1784.0,2.0,1.1,2186.0,3.1,1651.0,1800.0,380.0,2.0
St Huberts Island,1058.0,0.49,0.51,55.0,326.0,1.6,0.5,526.0,2.4,1414.0,2232.0,480.0,2.0
St Ives,17300.0,0.47600000000000003,0.524,42.0,4995.0,1.8,1.0,6405.0,2.9,2477.0,3000.0,680.0,2.0
St Ives Chase,3154.0,0.49100000000000005,0.509,42.0,920.0,1.9,1.1,1060.0,3.2,2938.0,3142.0,950.0,2.2
St Johns Park,6119.0,0.484,0.516,41.0,1668.0,1.9,1.1,1785.0,3.4,1505.0,1950.0,418.0,2.1
St Leonards,5495.0,0.49600000000000005,0.504,33.0,1468.0,1.4,0.3,3080.0,2.0,2327.0,2500.0,580.0,0.9
St Marys,12195.0,0.49600000000000005,0.504,34.0,2994.0,1.9,0.8,5103.0,2.6,1190.0,1703.0,350.0,1.5
St Peters,3145.0,0.506,0.494,34.0,763.0,1.5,0.4,1490.0,2.4,2318.0,2600.0,600.0,1.2
Stanhope Gardens,9163.0,0.49,0.51,35.0,2466.0,1.9,1.1,2958.0,3.2,2291.0,2500.0,575.0,1.9
Stanmore,7938.0,0.49600000000000005,0.504,35.0,1815.0,1.7,0.5,3543.0,2.3,2179.0,2600.0,500.0,1.2
Stockton,4160.0,0.5,0.5,49.0,1024.0,1.7,0.6,1809.0,2.3,1286.0,1950.0,300.0,1.6
Strathfield,25813.0,0.501,0.499,32.0,6077.0,1.8,0.7,9036.0,3.0,1892.0,2301.0,500.0,1.5
Strathfield South,3546.0,0.49100000000000005,0.509,36.0,956.0,1.8,1.0,1280.0,2.9,1809.0,2300.0,490.0,1.7
Summer Hill,7311.0,0.48600000000000004,0.514,36.0,1786.0,1.6,0.5,3339.0,2.3,1940.0,2167.0,445.0,1.1
Surry Hills,16412.0,0.5750000000000001,0.425,34.0,3173.0,1.4,0.1,9219.0,1.9,2144.0,2500.0,550.0,0.6
Sutherland,10816.0,0.48,0.52,36.0,2902.0,1.6,0.6,5081.0,2.2,1667.0,2058.0,425.0,1.4
Swansea,5058.0,0.49,0.51,52.0,1387.0,1.7,0.5,2517.0,2.2,874.0,1733.0,290.0,1.6
Swansea Heads,614.0,0.517,0.483,44.0,172.0,1.7,0.9,249.0,2.8,1634.0,2167.0,440.0,2.1
Sydenham,1145.0,0.507,0.493,36.0,266.0,1.6,0.5,464.0,2.5,1861.0,2500.0,550.0,1.1
Sydney,17252.0,0.511,0.489,30.0,3051.0,1.3,0.2,8800.0,2.4,1949.0,2302.0,690.0,0.5
Sylvania,10479.0,0.47200000000000003,0.528,44.0,2886.0,1.8,0.8,4100.0,2.7,1649.0,2500.0,440.0,1.8
Sylvania Waters,3169.0,0.502,0.498,41.0,901.0,1.8,1.0,1171.0,2.9,1973.0,2700.0,500.0,2.1
Tacoma,633.0,0.498,0.502,39.0,174.0,1.9,1.0,214.0,3.2,1487.0,1733.0,330.0,2.4
Tacoma South,248.0,0.545,0.455,42.0,72.0,2.0,0.9,101.0,2.6,1687.0,1733.0,425.0,2.5
Tamarama,1622.0,0.48600000000000004,0.514,36.0,386.0,1.7,0.5,758.0,2.4,3348.0,3640.0,710.0,1.4
Taren Point,1734.0,0.451,0.549,57.0,453.0,1.8,0.6,729.0,2.3,1391.0,2817.0,545.0,1.7
Tarrawanna,2069.0,0.457,0.543,47.0,550.0,1.9,0.7,853.0,2.5,1104.0,2080.0,258.0,1.7
Tascott,1602.0,0.498,0.502,43.0,454.0,1.8,0.7,705.0,2.5,1580.0,1733.0,410.0,1.8
Tempe,3556.0,0.495,0.505,38.0,899.0,1.8,0.8,1362.0,2.7,1912.0,2600.0,530.0,1.3
Teralba,1588.0,0.509,0.49100000000000005,46.0,406.0,1.7,0.7,648.0,2.5,1133.0,1538.0,255.0,1.8
Terrey Hills,3041.0,0.494,0.506,43.0,810.0,1.9,1.1,991.0,3.1,2391.0,2890.0,650.0,2.4
Terrigal,11349.0,0.489,0.511,42.0,3157.0,1.9,0.8,5232.0,2.6,1679.0,2167.0,450.0,1.9
The Entrance,4006.0,0.47600000000000003,0.524,47.0,955.0,1.7,0.4,3184.0,1.9,846.0,1473.0,320.0,1.2
The Entrance North,1474.0,0.49100000000000005,0.509,43.0,390.0,1.6,0.6,924.0,2.3,1135.0,1950.0,330.0,1.6
