,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Australian citizenship (%),People born overseas (%),Overseas visitors (excluded from people counts) (%)
Lugarno,5167.0,1010.0,14.0,93.5,18.3,0.3
Lurnea,6878.0,2746.0,20.0,85.9,34.3,0.2
Macquarie Fields,11622.0,3925.0,42.0,84.8,28.6,0.3
Macquarie Hills,2415.0,196.0,7.0,95.9,7.8,0.3
Macquarie Links,286.0,112.0,6.0,87.7,34.4,1.8
Macquarie Park,4223.0,2611.0,478.0,70.2,43.4,7.4
Malabar,3172.0,1104.0,32.0,69.7,24.3,0.7
Mangerton,2275.0,549.0,22.0,89.9,21.7,0.9
Manly,9708.0,4497.0,762.0,68.6,31.8,5.1
Manly Vale,4058.0,1585.0,39.0,82.2,32.1,0.8
Marayong,6180.0,2265.0,27.0,87.4,32.0,0.4
Mardi,2069.0,476.0,8.0,86.0,19.8,0.3
Marks Point,1549.0,134.0,3.0,92.0,8.0,0.2
Marmong Point,383.0,36.0,0.0,95.5,9.0,0.0
Maroubra,20397.0,9670.0,373.0,80.5,38.1,1.5
Marrickville,19551.0,11422.0,255.0,78.7,46.0,1.0
Marsfield,9084.0,4720.0,269.0,80.7,41.9,2.3
Maryland,6506.0,617.0,19.0,94.6,9.0,0.3
Maryville,967.0,118.0,3.0,93.6,11.4,0.3
Mascot,6514.0,3338.0,96.0,81.4,41.7,1.2
Matraville,7480.0,3033.0,57.0,86.6,35.1,0.7
Mayfield,8204.0,1201.0,35.0,91.0,13.3,0.4
Mayfield East,1321.0,175.0,4.0,89.8,11.9,0.3
Mayfield West,1565.0,197.0,8.0,91.7,11.5,0.5
Mays Hill,457.0,235.0,3.0,69.0,35.5,0.5
McMahons Point,1504.0,643.0,121.0,71.8,30.7,5.5
Meadowbank,1411.0,1025.0,24.0,68.5,49.7,1.2
Melrose Park,1796.0,524.0,8.0,90.3,26.4,0.4
Menai,9490.0,2222.0,35.0,89.9,21.0,0.3
Merewether,9374.0,985.0,48.0,94.1,9.9,0.5
Merewether Heights,1230.0,108.0,7.0,95.0,8.3,0.5
Merrylands,15830.0,8497.0,106.0,80.4,43.1,0.5
Merrylands West,4709.0,1975.0,30.0,85.8,36.0,0.5
Middle Cove,834.0,301.0,11.0,87.6,31.6,1.1
Miller,2638.0,993.0,6.0,83.6,31.5,0.2
Millers Point,906.0,374.0,70.0,73.6,30.4,5.4
Milperra,3707.0,516.0,13.0,94.2,13.1,0.3
Milsons Point,809.0,623.0,160.0,62.4,48.0,11.0
Minchinbury,4605.0,1710.0,16.0,87.8,32.6,0.3
Minmi,611.0,46.0,0.0,94.9,7.1,0.0
Minto,9250.0,3207.0,32.0,81.8,28.4,0.3
Miranda,10869.0,2904.0,67.0,87.4,23.4,0.5
Mona Vale,8112.0,2138.0,66.0,87.4,23.0,0.7
Monterey,3463.0,1380.0,23.0,85.5,34.1,0.6
Moorebank,5373.0,1615.0,26.0,90.2,27.1,0.4
Mortdale,7983.0,2767.0,60.0,86.7,30.0,0.6
Mortlake,311.0,82.0,3.0,86.4,22.8,0.8
Mosman,20230.0,7418.0,407.0,81.5,29.9,1.6
Mount Annan,6008.0,1044.0,23.0,90.5,15.7,0.3
Mount Colah,6168.0,1743.0,39.0,89.9,25.4,0.6
Mount Druitt,9048.0,5179.0,57.0,78.3,44.8,0.5
Mount Hutton,2778.0,271.0,6.0,92.2,9.0,0.2
Mount Keira,1255.0,278.0,3.0,90.5,20.1,0.2
Mount Kembla,875.0,139.0,9.0,95.0,15.1,1.0
Mount Lewis,987.0,402.0,3.0,89.2,36.3,0.3
Mount Ousley,1620.0,342.0,8.0,92.6,19.5,0.5
Mount Pleasant,835.0,186.0,0.0,90.0,20.0,0.0
Mount Pritchard,7812.0,3429.0,29.0,87.3,38.3,0.3
Mount Riverview,2900.0,517.0,8.0,93.7,16.7,0.3
Mount Saint Thomas,1379.0,343.0,10.0,88.9,22.1,0.6
Mount Warrigal,4978.0,1333.0,10.0,89.5,24.0,0.2
Narara,7370.0,1227.0,40.0,91.1,15.2,0.5
Narellan,3338.0,475.0,15.0,91.6,13.0,0.4
Narellan Vale,6227.0,998.0,16.0,89.4,14.3,0.2
Naremburn,3989.0,1605.0,77.0,82.0,33.0,1.6
Narrabeen,5416.0,1268.0,39.0,85.1,19.9,0.6
Narraweena,4671.0,1384.0,34.0,88.9,26.3,0.6
Narwee,3244.0,1597.0,31.0,82.3,40.5,0.8
Neutral Bay,7141.0,3271.0,203.0,74.4,34.1,2.1
New Lambton,8389.0,883.0,42.0,93.1,9.8,0.5
New Lambton Heights,2710.0,319.0,23.0,93.4,11.0,0.8
Newcastle,1249.0,228.0,71.0,71.5,13.0,3.9
Newcastle East,769.0,177.0,50.0,84.1,19.4,5.2
Newcastle West,123.0,24.0,3.0,70.7,13.8,1.7
Newington,727.0,1080.0,26.0,24.7,36.7,0.9
Newport,7741.0,1886.0,66.0,86.6,21.1,0.7
Newtown,9698.0,3704.0,294.0,77.9,29.7,2.3
Niagara Park,2151.0,330.0,4.0,90.8,13.9,0.2
Norah Head,1035.0,104.0,0.0,93.8,9.4,0.0
Noraville,2321.0,268.0,7.0,93.1,10.7,0.3
Normanhurst,4031.0,1106.0,33.0,90.3,24.8,0.7
North Avoca,1979.0,300.0,29.0,92.1,14.0,1.3
North Balgowlah,2830.0,728.0,32.0,89.7,23.1,1.0
North Bondi,6576.0,2972.0,193.0,80.0,36.2,2.3
North Curl Curl,2817.0,669.0,31.0,88.9,21.1,1.0
North Epping,3744.0,1084.0,25.0,90.3,26.2,0.6
North Gosford,2887.0,513.0,11.0,89.2,15.8,0.3
North Lambton,2709.0,398.0,13.0,90.6,13.3,0.4
North Manly,2213.0,738.0,26.0,85.0,28.3,1.0
North Narrabeen,4782.0,1026.0,41.0,87.8,18.8,0.7
North Parramatta,6543.0,3078.0,91.0,75.1,35.3,1.0
North Rocks,6571.0,1986.0,32.0,90.9,27.5,0.4
North Ryde,8809.0,2975.0,80.0,89.3,30.2,0.8
North St Marys,3319.0,850.0,10.0,87.4,22.4,0.3
North Strathfield,2427.0,1356.0,58.0,79.5,44.4,1.9
North Sydney,3950.0,1856.0,170.0,71.9,33.8,3.0
North Turramurra,3249.0,1039.0,38.0,88.3,28.2,1.0
North Wahroonga,1982.0,702.0,20.0,88.9,31.5,0.9
North Willoughby,3153.0,1341.0,34.0,84.8,36.1,0.9
North Wollongong,1459.0,720.0,159.0,72.3,35.7,7.3
Northbridge,5032.0,1536.0,44.0,86.8,26.5,0.8
Northmead,5915.0,1491.0,28.0,89.4,22.5,0.4
Northwood,824.0,184.0,12.0,88.4,19.7,1.3
Oak Flats,5997.0,1392.0,11.0,90.0,20.9,0.2
Oakhurst,5421.0,2427.0,28.0,85.4,38.2,0.4
Oatlands,4351.0,1451.0,43.0,88.6,29.5,0.9
Oatley,8755.0,1721.0,48.0,93.2,18.3,0.5
Old Guildford,1885.0,847.0,7.0,87.1,39.2,0.3
Old Toongabbie,4465.0,1351.0,28.0,89.1,27.0,0.6
Ourimbah,2444.0,372.0,8.0,90.8,13.8,0.3
Oxley Park,2126.0,611.0,5.0,88.0,25.3,0.2
Oyster Bay,5131.0,779.0,19.0,93.9,14.3,0.3
Paddington,8448.0,3627.0,315.0,73.4,31.5,2.7
Padstow,11001.0,3336.0,60.0,90.9,27.6,0.5
Padstow Heights,3171.0,668.0,10.0,93.0,19.6,0.3
Pagewood,2913.0,1124.0,36.0,87.0,33.6,1.1
Palm Beach,1218.0,270.0,13.0,76.1,16.9,0.8
Panania,9929.0,2186.0,45.0,91.9,20.2,0.4
Parramatta,11716.0,9157.0,310.0,65.2,50.9,1.7
Peakhurst,7404.0,1773.0,24.0,92.1,22.1,0.3
Peakhurst Heights,2236.0,383.0,5.0,94.9,16.2,0.2
Pearl Beach,144.0,30.0,10.0,90.0,18.8,5.9
Pelican,782.0,32.0,0.0,95.1,3.9,0.0
Pendle Hill,7556.0,3019.0,51.0,83.4,33.3,0.6
Pennant Hills,5534.0,1674.0,89.0,90.4,27.4,1.4
Penrith,9720.0,2394.0,57.0,84.1,20.7,0.5
Penrose,1346.0,328.0,3.0,88.6,21.6,0.2
Penshurst,9283.0,4002.0,109.0,85.2,36.7,1.0
Petersham,5370.0,2117.0,72.0,81.8,32.2,1.1
Phillip Bay,647.0,180.0,6.0,92.2,25.6,0.8
Picnic Point,4863.0,770.0,18.0,93.5,14.8,0.3
Plumpton,5762.0,2998.0,46.0,84.8,44.1,0.7
Point Clare,2859.0,524.0,13.0,89.7,16.4,0.4
Point Frederick,1465.0,299.0,6.0,90.0,18.4,0.4
Point Piper,1075.0,456.0,15.0,78.2,33.2,1.1
Port Kembla,4061.0,1531.0,8.0,88.8,33.5,0.2
Potts Point,4176.0,2304.0,1842.0,58.3,32.2,20.5
Prairiewood,2955.0,1653.0,17.0,89.4,50.0,0.5
Prestons,7271.0,3365.0,48.0,85.9,39.8,0.6
Primbee,1378.0,410.0,0.0,88.2,26.2,0.0
Prospect,3830.0,1506.0,24.0,89.5,35.2,0.6
Punchbowl,14457.0,8024.0,74.0,84.4,46.9,0.4
Putney,2620.0,676.0,18.0,91.1,23.5,0.6
Pymble,8119.0,2739.0,108.0,87.7,29.6,1.2
Pyrmont,4330.0,3402.0,507.0,55.1,43.3,6.1
Quakers Hill,19871.0,7042.0,105.0,86.8,30.8,0.5
Queens Park,2251.0,829.0,36.0,84.6,31.2,1.3
Raby,5691.0,1463.0,28.0,89.6,23.0,0.4
Ramsgate,620.0,175.0,0.0,85.5,24.1,0.0
Ramsgate Beach,1152.0,362.0,3.0,85.3,26.8,0.2
Randwick,20187.0,9579.0,828.0,76.7,36.4,3.0
