,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Lower Boro,10.0,58.0,0.0,14.7,85.3,0.0,12402
New South Wales,381709.0,2149040.0,73565.0,14.7,82.5,2.8,
Australia,1172415.0,6892165.0,221494.0,14.1,83.2,2.7,
Oallen,7.0,39.0,0.0,15.2,84.8,0.0,13062
Braidwood,123.0,458.0,38.0,19.9,74.0,6.1,10547
Majors Creek (NSW),17.0,75.0,7.0,17.2,75.8,7.1,12452
Araluen (NSW),18.0,53.0,4.0,24.0,70.7,5.3,10070
Reidsdale,5.0,32.0,0.0,13.5,86.5,0.0,13348
Bombay,11.0,33.0,0.0,25.0,75.0,0.0,10456
Warri,9.0,34.0,0.0,20.9,79.1,0.0,14172
Manar,0.0,32.0,0.0,0.0,100.0,0.0,12462
Mongarlowe,8.0,41.0,0.0,16.3,83.7,0.0,12678
Karabar,509.0,2360.0,95.0,17.2,79.6,3.2,12071
Queanbeyan,507.0,2032.0,92.0,19.3,77.2,3.5,13291
Crestwood,390.0,1545.0,58.0,19.6,77.5,2.9,11115
Queanbeyan East,306.0,1387.0,58.0,17.5,79.2,3.3,13292
Greenleigh,9.0,212.0,6.0,4.0,93.4,2.6,11767
The Ridgeway,3.0,56.0,0.0,5.1,94.9,0.0,13836
Bungendore,81.0,1214.0,16.0,6.2,92.6,1.2,10684
Sutton (NSW),39.0,405.0,16.0,8.5,88.0,3.5,13702
Carwoola,29.0,414.0,13.0,6.4,90.8,2.9,10841
Hoskinstown,7.0,51.0,0.0,12.1,87.9,0.0,11944
Captains Flat,37.0,193.0,7.0,15.6,81.4,3.0,10804
Burra (Queanbeyan-Palerang Regional - NSW),15.0,225.0,4.0,6.1,92.2,1.6,10697
Mount Fairy,8.0,64.0,0.0,11.1,88.9,0.0,12758
Mulloon,6.0,38.0,0.0,13.6,86.4,0.0,12827
Royalla,15.0,256.0,6.0,5.4,92.4,2.2,13434
Primrose Valley,3.0,46.0,0.0,6.1,93.9,0.0,13265
Urila,3.0,35.0,0.0,7.9,92.1,0.0,14059
Tarago,26.0,108.0,3.0,19.0,78.8,2.2,13758
Currawang,5.0,48.0,4.0,8.8,84.2,7.0,11177
Googong,34.0,733.0,12.0,4.4,94.1,1.5,11704
Wamboin,23.0,488.0,6.0,4.4,94.4,1.2,14123
Bywong,26.0,415.0,15.0,5.7,91.0,3.3,10735
Michelago,24.0,152.0,0.0,13.6,86.4,0.0,12598
Jerrabomberra,140.0,2852.0,27.0,4.6,94.5,0.9,12016
Queanbeyan West,157.0,941.0,24.0,14.0,83.9,2.1,13293
Delegate,61.0,94.0,5.0,38.1,58.7,3.1,11233
Bombala,164.0,375.0,16.0,29.5,67.6,2.9,10455
Cathcart (NSW),14.0,30.0,0.0,31.8,68.2,0.0,10855
Cooma (NSW),584.0,1973.0,132.0,21.7,73.4,4.9,11036
Kosciuszko National Park,9.0,78.0,39.0,7.1,61.9,31.0,12199
Adaminaby,30.0,98.0,4.0,22.7,74.2,3.0,10015
Nimmitabel,26.0,105.0,3.0,19.4,78.4,2.2,12966
Numeralla,12.0,71.0,4.0,13.8,81.6,4.6,13039
Colinton (NSW),6.0,34.0,0.0,15.0,85.0,0.0,10968
Dairymans Plains,7.0,53.0,0.0,11.7,88.3,0.0,11188
Binjura,15.0,92.0,0.0,14.0,86.0,0.0,10370
Bunyan,18.0,44.0,0.0,29.0,71.0,0.0,10691
Bredbo,16.0,91.0,0.0,15.0,85.0,0.0,10559
Berridale,75.0,360.0,24.0,16.3,78.4,5.2,10316
Kalkite,4.0,73.0,0.0,5.2,94.8,0.0,12052
Crackenback,7.0,46.0,0.0,13.2,86.8,0.0,11103
Jindabyne,114.0,759.0,32.0,12.6,83.9,3.5,12030
East Jindabyne,13.0,220.0,3.0,5.5,93.2,1.3,11352
Dalgety,22.0,72.0,0.0,23.4,76.6,0.0,11190
Moonbah,20.0,163.0,5.0,10.6,86.7,2.7,12698
Catalina,189.0,678.0,29.0,21.1,75.7,3.2,10853
Batemans Bay,245.0,399.0,34.0,36.1,58.8,5.0,10229
Nelligen,33.0,101.0,3.0,24.1,73.7,2.2,12920
Long Beach,44.0,479.0,12.0,8.2,89.5,2.2,12376
Benandarah,19.0,39.0,0.0,32.8,67.2,0.0,10287
North Batemans Bay,52.0,171.0,5.0,22.8,75.0,2.2,12982
Surfside,103.0,405.0,15.0,19.7,77.4,2.9,13698
Maloneys Beach,35.0,111.0,4.0,23.3,74.0,2.7,12460
Lilli Pilli (Eurobodalla - NSW),18.0,210.0,10.0,7.6,88.2,4.2,12321
Malua Bay,88.0,624.0,20.0,12.0,85.2,2.7,12461
Surf Beach (NSW),160.0,599.0,28.0,20.3,76.1,3.6,13697
Denhams Beach,34.0,160.0,3.0,17.3,81.2,1.5,11236
Sunshine Bay,98.0,420.0,20.0,18.2,78.1,3.7,13695
Rosedale (NSW),8.0,76.0,3.0,9.2,87.4,3.4,13407
Batehaven,192.0,518.0,28.0,26.0,70.2,3.8,10228
Bega,425.0,1312.0,75.0,23.5,72.4,4.1,10253
Tathra,118.0,563.0,21.0,16.8,80.2,3.0,13774
Kalaru,21.0,215.0,7.0,8.6,88.5,2.9,12051
Wallagoot,16.0,162.0,5.0,8.7,88.5,2.7,14103
Black Range (NSW),8.0,56.0,0.0,12.5,87.5,0.0,10388
Tarraganda,17.0,104.0,7.0,13.3,81.2,5.5,13768
Kanoona,3.0,37.0,0.0,7.5,92.5,0.0,12066
Toothdale,12.0,46.0,4.0,19.4,74.2,6.5,13914
Wolumla,40.0,204.0,11.0,15.7,80.0,4.3,14362
South Wolumla,6.0,51.0,0.0,10.5,89.5,0.0,13602
Wyndham (NSW),20.0,120.0,0.0,14.3,85.7,0.0,14443
Kiah,18.0,46.0,0.0,28.1,71.9,0.0,12115
Towamba,39.0,55.0,0.0,41.5,58.5,0.0,13927
Lochiel (NSW),28.0,98.0,3.0,21.7,76.0,2.3,12367
Nethercote,15.0,105.0,0.0,12.5,87.5,0.0,12932
Candelo,43.0,214.0,9.0,16.2,80.5,3.4,10788
Tantawangalo,6.0,43.0,0.0,12.2,87.8,0.0,13753
Bemboka,68.0,154.0,8.0,29.6,67.0,3.5,10284
Quaama,20.0,97.0,0.0,17.1,82.9,0.0,13285
Cobargo,75.0,232.0,10.0,23.7,73.2,3.2,10951
Wandella (NSW),10.0,51.0,0.0,16.4,83.6,0.0,14128
Angledale,10.0,48.0,0.0,17.2,82.8,0.0,10056
Verona,17.0,101.0,0.0,14.4,85.6,0.0,14073
Tanja,11.0,56.0,6.0,15.1,76.7,8.2,13749
Coolagolite,21.0,91.0,3.0,18.3,79.1,2.6,11023
Brogo,38.0,161.0,7.0,18.4,78.2,3.4,10589
Coopers Gully,7.0,50.0,3.0,11.7,83.3,5.0,11048
Stony Creek (Bega Valley - NSW),7.0,42.0,0.0,14.3,85.7,0.0,13668
Numbugga,6.0,34.0,3.0,14.0,79.1,7.0,13038
Buckajo,15.0,88.0,3.0,14.2,83.0,2.8,10629
Kameruka,3.0,33.0,0.0,8.3,91.7,0.0,12054
Greigs Flat,8.0,48.0,0.0,14.3,85.7,0.0,11775
Broulee,107.0,540.0,24.0,15.9,80.5,3.6,10608
Tomakin,71.0,317.0,8.0,17.9,80.1,2.0,13890
Mossy Point,21.0,191.0,5.0,9.7,88.0,2.3,12741
Bodalla,56.0,227.0,10.0,19.1,77.5,3.4,10434
Narooma,295.0,830.0,38.0,25.4,71.4,3.3,12900
Eden,317.0,883.0,51.0,25.3,70.6,4.1,11375
South Durras,15.0,107.0,3.0,12.0,85.6,2.4,13580
Mogo (Eurobodalla - NSW),24.0,93.0,7.0,19.4,75.0,5.6,12660
Jeremadra,10.0,57.0,0.0,14.9,85.1,0.0,12012
Mogendoura,13.0,63.0,0.0,17.1,82.9,0.0,12657
Turlinjah,8.0,45.0,0.0,15.1,84.9,0.0,13975
Potato Point,6.0,45.0,3.0,11.1,83.3,5.6,13253
Kianga (NSW),74.0,241.0,8.0,22.9,74.6,2.5,12119
Tuross Head,178.0,821.0,34.0,17.2,79.5,3.3,13979
Pambula Beach,29.0,238.0,5.0,10.7,87.5,1.8,13141
Merimbula,300.0,1163.0,53.0,19.8,76.7,3.5,12575
Tura Beach,164.0,1081.0,39.0,12.8,84.2,3.0,13973
South Pambula,16.0,136.0,4.0,10.3,87.2,2.6,13595
Pambula,89.0,284.0,9.0,23.3,74.3,2.4,13140
Broadwater (Bega Valley - NSW),5.0,35.0,0.0,12.5,87.5,0.0,10579
Bald Hills (NSW),8.0,78.0,0.0,9.3,90.7,0.0,10147
Millingandi,50.0,149.0,8.0,24.2,72.0,3.9,12622
Mirador,5.0,129.0,0.0,3.7,96.3,0.0,12644
Berrambool,33.0,157.0,6.0,16.8,80.1,3.1,10312
Moruya,403.0,1162.0,61.0,24.8,71.5,3.8,12734
Moruya Heads,56.0,314.0,12.0,14.7,82.2,3.1,12735
Bergalia,4.0,50.0,0.0,7.4,92.6,0.0,10302
Congo,12.0,75.0,0.0,13.8,86.2,0.0,11008
Bingie,11.0,69.0,0.0,13.8,86.2,0.0,10367
Bermagui,117.0,517.0,22.0,17.8,78.8,3.4,10307
Dalmeny,134.0,591.0,20.0,18.0,79.3,2.7,11191
Wallaga Lake,50.0,196.0,11.0,19.5,76.3,4.3,14102
Central Tilba,19.0,98.0,4.0,15.7,81.0,3.3,10877
North Narooma,36.0,216.0,7.0,13.9,83.4,2.7,12998
Akolele,11.0,30.0,0.0,26.8,73.2,0.0,10023
Mystery Bay,21.0,53.0,0.0,28.4,71.6,0.0,12883
Goulburn,2027.0,6116.0,279.0,24.1,72.6,3.3,11725
Run-o-Waters,16.0,134.0,3.0,10.5,87.6,2.0,13440
Marulan,91.0,330.0,16.0,20.8,75.5,3.7,12513
Windellama,46.0,90.0,6.0,32.4,63.4,4.2,14318
Bigga,31.0,56.0,3.0,34.4,62.2,3.3,10346
Tirrannaville,15.0,69.0,3.0,17.2,79.3,3.4,13883
Lake Bathurst,14.0,55.0,5.0,18.9,74.3,6.8,12239
Quialigo,21.0,65.0,5.0,23.1,71.4,5.5,13297
Laggan,22.0,96.0,3.0,18.2,79.3,2.5,12235
Grabben Gullen,24.0,55.0,0.0,30.4,69.6,0.0,11731
Parkesbourne,4.0,56.0,3.0,6.3,88.9,4.8,13152
Crookwell,301.0,733.0,36.0,28.1,68.5,3.4,11123
Bungonia,32.0,101.0,4.0,23.4,73.7,2.9,10685
Collector,14.0,87.0,3.0,13.5,83.7,2.9,10972
Middle Arm,22.0,104.0,0.0,17.5,82.5,0.0,12599
Taralga,38.0,115.0,8.0,23.6,71.4,5.0,13759
Tarlo,17.0,41.0,0.0,29.3,70.7,0.0,13767
Wayo,12.0,34.0,0.0,26.1,73.9,0.0,14204
Kingsdale,5.0,54.0,0.0,8.5,91.5,0.0,12155
Bannister (NSW),6.0,32.0,0.0,15.8,84.2,0.0,10183
Brayton,15.0,42.0,0.0,26.3,73.7,0.0,10554
Greenwich Park,9.0,29.0,4.0,21.4,69.0,9.5,11771
Tallong,42.0,244.0,3.0,14.5,84.4,1.0,13733
Carrick (NSW),6.0,39.0,0.0,13.3,86.7,0.0,10828
Brisbane Grove,4.0,30.0,0.0,11.8,88.2,0.0,10577
Binda,28.0,60.0,4.0,30.4,65.2,4.3,10363
Towrang,12.0,46.0,0.0,20.7,79.3,0.0,13930
Mummel,9.0,33.0,0.0,21.4,78.6,0.0,12835
Baw Baw (NSW),13.0,70.0,0.0,15.7,84.3,0.0,10234
Boxers Creek,24.0,54.0,4.0,29.3,65.9,4.9,10541
Gundary,16.0,68.0,0.0,19.0,81.0,0.0,11806
Yass,454.0,1836.0,62.0,19.3,78.1,2.6,14493
Bookham,14.0,41.0,3.0,24.1,70.7,5.2,10478
Binalong,48.0,164.0,3.0,22.3,76.3,1.4,10362
Jugiong,30.0,53.0,0.0,36.1,63.9,0.0,12044
Galong,24.0,58.0,4.0,27.9,67.4,4.7,11580
Manton (NSW),6.0,88.0,0.0,6.4,93.6,0.0,12481
Yass River,10.0,104.0,3.0,8.5,88.9,2.6,14494
Rye Park,20.0,69.0,0.0,22.5,77.5,0.0,13455
Dalton,16.0,58.0,0.0,21.6,78.4,0.0,11194
Gundaroo,23.0,349.0,8.0,6.1,91.8,2.1,11805
Bowning,34.0,176.0,5.0,15.8,81.9,2.3,10535
Bellmount Forest,8.0,36.0,0.0,18.2,81.8,0.0,10274
Gunning,49.0,206.0,6.0,18.8,78.9,2.3,11813
Lade Vale,10.0,41.0,0.0,19.6,80.4,0.0,12232
Good Hope,9.0,39.0,4.0,17.3,75.0,7.7,11700
Wallaroo (NSW),18.0,199.0,3.0,8.2,90.5,1.4,14112
Murrumbateman,44.0,947.0,7.0,4.4,94.9,0.7,12860
Springrange,6.0,83.0,0.0,6.7,93.3,0.0,13625
Jeir,6.0,73.0,4.0,7.2,88.0,4.8,12004
Marchmont,4.0,69.0,0.0,5.5,94.5,0.0,12487
Nanima,8.0,49.0,0.0,14.0,86.0,0.0,12891
Young,967.0,2733.0,131.0,25.2,71.3,3.4,14518
Kingsvale,17.0,50.0,0.0,25.4,74.6,0.0,12161
Burrangong,20.0,62.0,3.0,23.5,72.9,3.5,10706
Wyangala,28.0,52.0,3.0,33.7,62.7,3.6,14434
Wombat,25.0,56.0,3.0,29.8,66.7,3.6,14364
Cunningar,18.0,39.0,3.0,30.0,65.0,5.0,11164
Harden,260.0,534.0,46.0,31.0,63.6,5.5,11851
Boorowa,199.0,449.0,18.0,29.9,67.4,2.7,10503
Murrumburrah,8.0,34.0,3.0,17.8,75.6,6.7,12863
Frogmore,10.0,41.0,3.0,18.5,75.9,5.6,11571
Maimuru,8.0,38.0,0.0,17.4,82.6,0.0,12444
Bendick Murrell,13.0,44.0,0.0,22.8,77.2,0.0,10290
Koorawatha,50.0,111.0,10.0,29.2,64.9,5.8,12192
Monteagle,9.0,67.0,0.0,11.8,88.2,0.0,12683
Murringo,32.0,111.0,0.0,22.4,77.6,0.0,12858
Thuddungra,3.0,32.0,3.0,7.9,84.2,7.9,13853
Bribbaree,16.0,39.0,3.0,27.6,67.2,5.2,10566
Avoca Beach,112.0,1377.0,29.0,7.4,90.7,1.9,10114
Copacabana,57.0,860.0,21.0,6.1,91.7,2.2,11056
Killcare Heights,23.0,257.0,3.0,8.1,90.8,1.1,12134
Macmasters Beach,27.0,413.0,4.0,6.1,93.0,0.9,12432
Empire Bay,106.0,699.0,21.0,12.8,84.6,2.5,11415
Wagstaffe,16.0,78.0,3.0,16.5,80.4,3.1,14084
St Huberts Island,55.0,353.0,10.0,13.2,84.4,2.4,13638
Killcare,10.0,156.0,0.0,6.0,94.0,0.0,12133
Bensville,49.0,745.0,9.0,6.1,92.8,1.1,10297
Daleys Point,58.0,240.0,15.0,18.5,76.7,4.8,11189
Pretty Beach (Central Coast - NSW),11.0,113.0,3.0,8.7,89.0,2.4,13261
Hardys Bay,3.0,79.0,3.0,3.5,92.9,3.5,11852
Kincumber South,124.0,256.0,16.0,31.3,64.6,4.0,12142
Somersby,39.0,284.0,11.0,11.7,85.0,3.3,13571
Calga,3.0,40.0,0.0,7.0,93.0,0.0,10752
Woy Woy,1104.0,3206.0,176.0,24.6,71.5,3.9,14425
Patonga,18.0,81.0,0.0,18.2,81.8,0.0,13160
Mooney Mooney,9.0,106.0,3.0,7.6,89.8,2.5,12704
Kariong,158.0,1785.0,41.0,8.0,90.0,2.1,12074
Peats Ridge,19.0,92.0,5.0,16.4,79.3,4.3,13172
Central Mangrove,19.0,69.0,7.0,20.0,72.6,7.4,10876
Mangrove Mountain,29.0,191.0,6.0,12.8,84.5,2.7,12472
Kulnura,30.0,169.0,6.0,14.6,82.4,2.9,12206
Mount White,22.0,58.0,3.0,26.5,69.9,3.6,12803
Wisemans Ferry,21.0,74.0,3.0,21.4,75.5,3.1,14344
Gunderman,16.0,52.0,0.0,23.5,76.5,0.0,11808
Spencer,24.0,84.0,0.0,22.2,77.8,0.0,13607
Erina,469.0,1422.0,75.0,23.9,72.3,3.8,11433
Green Point (Central Coast - NSW),327.0,2045.0,56.0,13.5,84.2,2.3,11753
Matcham,23.0,270.0,7.0,7.7,90.0,2.3,12520
Holgate,9.0,266.0,0.0,3.3,96.7,0.0,11921
Lisarow,140.0,1520.0,18.0,8.3,90.6,1.1,12343
Erina Heights,9.0,113.0,8.0,6.9,86.9,6.2,11434
Terrigal,418.0,3652.0,86.0,10.1,87.9,2.1,13805
Springfield (Central Coast - NSW),167.0,1232.0,27.0,11.7,86.4,1.9,13623
North Gosford,237.0,1159.0,48.0,16.4,80.3,3.3,12991
West Gosford,137.0,424.0,31.0,23.1,71.6,5.2,14244
Gosford,215.0,1366.0,50.0,13.2,83.8,3.1,11722
East Gosford,384.0,1415.0,65.0,20.6,75.9,3.5,11349
Point Frederick,135.0,659.0,28.0,16.4,80.2,3.4,13232
Kincumber,514.0,2233.0,89.0,18.1,78.7,3.1,12141
Picketts Valley,10.0,49.0,3.0,16.1,79.0,4.8,13198
Narara,249.0,2416.0,51.0,9.2,89.0,1.9,12895
Niagara Park,114.0,819.0,17.0,12.0,86.2,1.8,12961
Mount Elliot (NSW),0.0,45.0,3.0,0.0,93.8,6.2,12757
Point Clare,209.0,1163.0,45.0,14.7,82.1,3.2,13231
Tascott,60.0,542.0,9.0,9.8,88.7,1.5,13772
Koolewong,38.0,306.0,3.0,11.0,88.2,0.9,12185
Saratoga,122.0,1207.0,31.0,9.0,88.8,2.3,13492
Davistown,189.0,783.0,23.0,19.0,78.7,2.3,11221
Yattalunga (NSW),24.0,167.0,7.0,12.1,84.3,3.5,14496
North Avoca,32.0,692.0,9.0,4.4,94.4,1.2,12980
Umina Beach,1209.0,4969.0,197.0,19.0,77.9,3.1,14007
Booker Bay,127.0,442.0,19.0,21.6,75.2,3.2,10477
Ettalong Beach,533.0,1617.0,76.0,23.9,72.6,3.4,11445
Pearl Beach,33.0,195.0,4.0,14.2,84.1,1.7,13171
Wamberal,182.0,1916.0,45.0,8.5,89.4,2.1,14122
Forresters Beach,117.0,883.0,34.0,11.3,85.4,3.3,11549
Tumbi Umbi,239.0,1471.0,41.0,13.6,84.0,2.3,13962
Horsfield Bay,8.0,164.0,7.0,4.5,91.6,3.9,11941
Phegans Bay,5.0,151.0,0.0,3.2,96.8,0.0,13192
Woy Woy Bay,15.0,133.0,3.0,9.9,88.1,2.0,14426
Blackwall (NSW),145.0,586.0,18.0,19.4,78.2,2.4,10399
Wyoming,644.0,2931.0,117.0,17.4,79.4,3.2,14445
Bateau Bay,834.0,3513.0,145.0,18.6,78.2,3.2,10227
Killarney Vale,429.0,2034.0,75.0,16.9,80.1,3.0,12131
Blue Haven,292.0,1747.0,54.0,14.0,83.5,2.6,10415
San Remo (NSW),249.0,1201.0,45.0,16.7,80.3,3.0,13470
Doyalson,21.0,83.0,3.0,19.6,77.6,2.8,11286
Buff Point,260.0,1008.0,32.0,20.0,77.5,2.5,10645
Budgewoi,306.0,1019.0,53.0,22.2,73.9,3.8,10642
Halekulani,244.0,770.0,46.0,23.0,72.6,4.3,11830
Glenning Valley,48.0,604.0,4.0,7.3,92.1,0.6,11672
Berkeley Vale,427.0,2424.0,79.0,14.6,82.7,2.7,10304
Chittaway Point,29.0,289.0,4.0,9.0,89.8,1.2,10912
Chittaway Bay,98.0,577.0,15.0,14.2,83.6,2.2,10911
Kanwal,271.0,1023.0,47.0,20.2,76.3,3.5,12067
Wyongah,83.0,589.0,14.0,12.1,85.9,2.0,14448
Tuggerawong,84.0,353.0,22.0,18.3,76.9,4.8,13951
Rocky Point (NSW),16.0,76.0,3.0,16.8,80.0,3.2,13388
Gorokan,805.0,2367.0,119.0,24.5,71.9,3.6,11721
Charmhaven,139.0,697.0,25.0,16.1,81.0,2.9,10889
Lake Haven,351.0,977.0,115.0,24.3,67.7,8.0,12247
Jilliby,28.0,424.0,0.0,6.2,93.8,0.0,12027
Yarramalong,9.0,109.0,3.0,7.4,90.1,2.5,14475
Cedar Brush Creek,13.0,33.0,0.0,28.3,71.7,0.0,10867
Wyong Creek,13.0,126.0,7.0,8.9,86.3,4.8,14447
Dooralong,11.0,84.0,0.0,11.6,88.4,0.0,11276
Lake Munmorah,388.0,1621.0,69.0,18.7,78.0,3.3,12253
Chain Valley Bay,220.0,777.0,33.0,21.4,75.4,3.2,10880
Kingfisher Shores,11.0,53.0,3.0,16.4,79.1,4.5,12146
Mannering Park,173.0,704.0,25.0,19.2,78.0,2.8,12477
Doyalson North,79.0,120.0,6.0,38.5,58.5,2.9,11287
Ourimbah,137.0,1229.0,13.0,9.9,89.1,0.9,13103
Fountaindale,19.0,177.0,7.0,9.4,87.2,3.4,11554
Palm Grove (NSW),10.0,29.0,0.0,25.6,74.4,0.0,13133
Gwandalan,160.0,1022.0,29.0,13.2,84.4,2.4,11824
Summerland Point,161.0,764.0,21.0,17.0,80.8,2.2,13690
Long Jetty,625.0,1936.0,119.0,23.3,72.2,4.4,12378
Shelly Beach (NSW),59.0,395.0,16.0,12.6,84.0,3.4,13535
Blue Bay,75.0,343.0,13.0,17.4,79.6,3.0,10414
Toowoon Bay,55.0,181.0,13.0,22.1,72.7,5.2,13916
The Entrance North,116.0,438.0,23.0,20.1,75.9,4.0,13819
Magenta (NSW),7.0,81.0,3.0,7.7,89.0,3.3,12441
The Entrance,522.0,1259.0,78.0,28.1,67.7,4.2,13818
Toukley,485.0,1284.0,75.0,26.3,69.6,4.1,13925
Canton Beach,211.0,317.0,35.0,37.5,56.3,6.2,10798
Noraville,189.0,848.0,27.0,17.8,79.7,2.5,12974
Norah Head,49.0,342.0,11.0,12.2,85.1,2.7,12973
Kangy Angy,21.0,82.0,0.0,20.4,79.6,0.0,12064
Tuggerah,42.0,305.0,9.0,11.8,85.7,2.5,13950
Wyong,449.0,1191.0,56.0,26.5,70.2,3.3,14446
Mardi,104.0,1034.0,31.0,8.9,88.5,2.7,12488
Tacoma South,8.0,75.0,3.0,9.3,87.2,3.5,13725
Hamlyn Terrace,217.0,1610.0,38.0,11.6,86.3,2.0,11843
Woongarrah,117.0,1383.0,21.0,7.7,90.9,1.4,14415
Warnervale,20.0,169.0,0.0,10.6,89.4,0.0,14154
Wallarah,15.0,84.0,4.0,14.6,81.6,3.9,14109
Wadalba,135.0,792.0,34.0,14.0,82.4,3.5,14080
Watanobbi,209.0,1082.0,38.0,15.7,81.4,2.9,14181
Tacoma,24.0,163.0,3.0,12.6,85.8,1.6,13724
Llanarth (NSW),40.0,646.0,10.0,5.7,92.8,1.4,12362
South Bathurst,132.0,458.0,21.0,21.6,75.0,3.4,13577
Bathurst,718.0,2190.0,76.0,24.1,73.4,2.5,10231
Robin Hill,24.0,280.0,4.0,7.8,90.9,1.3,13375
West Bathurst,339.0,1052.0,49.0,23.5,73.1,3.4,14241
Mitchell (NSW),39.0,67.0,5.0,35.1,60.4,4.5,12650
Gormans Hill,76.0,188.0,48.0,24.4,60.3,15.4,11720
Abercrombie,28.0,323.0,3.0,7.9,91.2,0.8,10004
Eglinton (NSW),74.0,658.0,13.0,9.9,88.3,1.7,11386
Windradyne,183.0,879.0,24.0,16.9,80.9,2.2,14324
Raglan (NSW),51.0,342.0,8.0,12.7,85.3,2.0,13304
White Rock (NSW),20.0,191.0,4.0,9.3,88.8,1.9,14275
Kelso (NSW),478.0,2402.0,78.0,16.2,81.2,2.6,12090
O'Connell (NSW),22.0,157.0,3.0,12.1,86.3,1.6,13052
Brewongle,10.0,36.0,0.0,21.7,78.3,0.0,10564
Trunkey Creek,16.0,29.0,0.0,35.6,64.4,0.0,13942
Perthville,23.0,170.0,7.0,11.5,85.0,3.5,13189
Sofala,21.0,38.0,3.0,33.9,61.3,4.8,13569
Wattle Flat (NSW),36.0,70.0,3.0,33.0,64.2,2.8,14191
Peel,15.0,80.0,0.0,15.8,84.2,0.0,13174
Limekilns,5.0,28.0,0.0,15.2,84.8,0.0,12330
Rockley,15.0,56.0,3.0,20.3,75.7,4.1,13380
Georges Plains,18.0,53.0,3.0,24.3,71.6,4.1,11602
Duramana,4.0,65.0,0.0,5.8,94.2,0.0,11330
Billywillinga,13.0,50.0,0.0,20.6,79.4,0.0,10357
Mount Rankin,17.0,93.0,3.0,15.0,82.3,2.7,12786
Rock Forest,8.0,61.0,0.0,11.6,88.4,0.0,13377
Evans Plains,11.0,39.0,0.0,22.0,78.0,0.0,11470
The Lagoon,12.0,55.0,0.0,17.9,82.1,0.0,13828
Yetholme,7.0,68.0,0.0,9.3,90.7,0.0,14513
Meadow Flat,11.0,88.0,6.0,10.5,83.8,5.7,12549
Tarana,12.0,46.0,3.0,19.7,75.4,4.9,13760
Napoleon Reef,11.0,47.0,5.0,17.5,74.6,7.9,12893
Oberon,300.0,862.0,52.0,24.7,71.0,4.3,13068
Black Springs (NSW),28.0,47.0,0.0,37.3,62.7,0.0,10389
Condobolin,421.0,778.0,52.0,33.7,62.2,4.2,11002
Tullamore,45.0,111.0,11.0,26.9,66.5,6.6,13954
Lake Cargelligo,165.0,317.0,23.0,32.7,62.8,4.6,12242
Tullibigeal,28.0,61.0,0.0,31.5,68.5,0.0,13957
Ungarie,53.0,146.0,9.0,25.5,70.2,4.3,14011
Euabalong,31.0,39.0,0.0,44.3,55.7,0.0,11449
Fifield,13.0,31.0,3.0,27.7,66.0,6.4,11514
Tottenham (NSW),55.0,112.0,4.0,32.2,65.5,2.3,13923
Cowra,1029.0,2723.0,141.0,26.4,69.9,3.6,11099
Canowindra,237.0,640.0,27.0,26.2,70.8,3.0,10796
Woodstock (Cowra - NSW),78.0,192.0,9.0,28.0,68.8,3.2,14394
Gooloogong,41.0,110.0,4.0,26.5,71.0,2.6,11709
Mandurama,28.0,110.0,10.0,18.9,74.3,6.8,12467
Wattamondara,24.0,59.0,0.0,28.9,71.1,0.0,14190
Darbys Falls,18.0,70.0,3.0,19.8,76.9,3.3,11205
Billimari,18.0,30.0,3.0,35.3,58.8,5.9,10354
Moorbel,16.0,69.0,3.0,18.2,78.4,3.4,12709
Forbes (NSW),857.0,2140.0,119.0,27.5,68.7,3.8,11536
Eugowra,86.0,210.0,9.0,28.2,68.9,3.0,11454
Warroo (NSW),3.0,38.0,0.0,7.3,92.7,0.0,14175
Bedgerabong,11.0,38.0,0.0,22.4,77.6,0.0,10247
Grenfell,289.0,750.0,44.0,26.7,69.3,4.1,11776
Greenethorpe,18.0,58.0,9.0,21.2,68.2,10.6,11760
Quandialla,19.0,46.0,3.0,27.9,67.6,4.4,13290
Caragabal,16.0,41.0,3.0,26.7,68.3,5.0,10806
Parkes (NSW),1001.0,2962.0,137.0,24.4,72.2,3.3,13151
Cookamidgera,14.0,42.0,4.0,23.3,70.0,6.7,11016
Peak Hill (NSW),171.0,260.0,19.0,38.0,57.8,4.2,13166
Trundle,78.0,174.0,12.0,29.5,65.9,4.5,13940
Bogan Gate,23.0,58.0,3.0,27.4,69.0,3.6,10438
Alectown,20.0,48.0,0.0,29.4,70.6,0.0,10029
West Wyalong,296.0,809.0,59.0,25.4,69.5,5.1,14256
Wyalong,75.0,172.0,11.0,29.1,66.7,4.3,14431
Weethalle,31.0,66.0,10.0,29.0,61.7,9.3,14215
Barellan,53.0,132.0,13.0,26.8,66.7,6.6,10197
Ardlethan,59.0,135.0,9.0,29.1,66.5,4.4,10076
Ariah Park,47.0,129.0,11.0,25.1,69.0,5.9,10081
Barmedman,32.0,122.0,4.0,20.3,77.2,2.5,10202
Beckom,8.0,33.0,0.0,19.5,80.5,0.0,10244
South Bowenfels,65.0,333.0,15.0,15.7,80.6,3.6,13578
Marrangaroo,25.0,134.0,0.0,15.7,84.3,0.0,12502
