,Internet not accessed from dwelling,Internet accessed from dwelling,Not stated,Internet not accessed from dwelling (%),Internet accessed from dwelling (%),Not stated (%),SSC_CODE
Blakehurst,183.0,1672.0,44.0,9.6,88.0,2.3,10403
Kyle Bay,23.0,290.0,3.0,7.3,91.8,0.9,12227
Connells Point,89.0,814.0,11.0,9.7,89.1,1.2,11013
Carss Park,65.0,355.0,10.0,15.1,82.6,2.3,10837
Arncliffe,501.0,2811.0,126.0,14.6,81.8,3.7,10086
Wolli Creek,124.0,2252.0,100.0,5.0,91.0,4.0,14353
Turrella,72.0,668.0,31.0,9.3,86.6,4.0,13982
Bardwell Valley,94.0,652.0,22.0,12.2,84.9,2.9,10196
Bardwell Park,107.0,637.0,16.0,14.1,83.8,2.1,10195
Bexley,860.0,5017.0,174.0,14.2,82.9,2.9,10334
Kogarah,632.0,4483.0,163.0,12.0,84.9,3.1,12181
Bexley North,228.0,1133.0,41.0,16.3,80.8,2.9,10335
Allawah,242.0,1738.0,51.0,11.9,85.6,2.5,10038
Beverley Park,119.0,667.0,14.0,14.9,83.4,1.8,10330
Kogarah Bay,67.0,532.0,14.0,10.9,86.8,2.3,12182
Kyeemagh,64.0,239.0,8.0,20.6,76.8,2.6,12226
Brighton-le-Sands,629.0,2564.0,95.0,19.1,78.0,2.9,10569
Rockdale,649.0,4368.0,194.0,12.5,83.8,3.7,13379
Monterey,270.0,1375.0,43.0,16.0,81.5,2.5,12686
Banksia,167.0,863.0,31.0,15.7,81.3,2.9,10178
Sandringham (NSW),62.0,396.0,8.0,13.3,85.0,1.7,13478
Dolls Point,123.0,601.0,20.0,16.5,80.8,2.7,11267
Sans Souci,724.0,3095.0,110.0,18.4,78.8,2.8,13489
Ramsgate,54.0,331.0,11.0,13.6,83.6,2.8,13309
Ramsgate Beach,135.0,555.0,22.0,19.0,77.9,3.1,13310
Concord,600.0,4102.0,90.0,12.5,85.6,1.9,10999
Breakfast Point,98.0,1613.0,32.0,5.6,92.5,1.8,10557
Cabarita (NSW),44.0,648.0,13.0,6.2,91.9,1.8,10736
Mortlake (NSW),24.0,354.0,11.0,6.2,91.0,2.8,12729
North Strathfield,168.0,1403.0,36.0,10.5,87.3,2.2,13009
Concord West,249.0,1600.0,49.0,13.1,84.3,2.6,11000
Sydney Olympic Park,35.0,601.0,14.0,5.4,92.5,2.2,13716
Liberty Grove,31.0,686.0,11.0,4.3,94.2,1.5,12315
Rhodes,247.0,4363.0,104.0,5.2,92.6,2.2,13358
Drummoyne,438.0,4083.0,104.0,9.5,88.3,2.2,11293
