,Male,Female,Male (%),Female (%)
Kirribilli,--,--,20.3,79.7
Kogarah Bay,--,--,8.3,91.7
Kotara South,--,--,22.4,77.6
Kyeemagh,--,--,26.7,73.3
Lakelands (NSW),--,--,25.5,74.5
Lane Cove North,--,--,17.7,82.3
Lane Cove West,--,--,4.5,95.5
Lilli Pilli (Sutherland - NSW),--,--,42.3,57.7
Lisarow,--,--,23.1,76.9
Long Point (Campbelltown - NSW),--,--,62.5,37.5
Longueville,--,--,9.5,90.5
Maryland (Newcastle - NSW),--,--,19.6,80.4
McMahons Point,--,--,24.5,75.5
Meadowbank (NSW),--,--,8.4,91.6
Miller,--,--,8.5,91.5
Millers Point,--,--,4.9,95.1
Milperra,--,--,22.1,77.9
Milsons Point,--,--,32.6,67.4
Mount Keira,--,--,29.4,70.6
Mount Ousley,--,--,28.6,71.4
Mount Pleasant (NSW),--,--,29.0,71.0
New Lambton Heights,--,--,32.7,67.3
Newcastle West,--,--,21.7,78.3
Northmead,--,--,12.7,87.3
Old Guildford,--,--,9.3,90.7
Oyster Bay,--,--,22.9,77.1
Peakhurst Heights,--,--,20.9,79.1
Pelican (NSW),--,--,36.1,63.9
Phillip Bay,--,--,29.2,70.8
Regentville,--,--,30.4,69.6
Rodd Point,--,--,25.0,75.0
Sandringham (NSW),--,--,34.6,65.4
Schofields,--,--,24.7,75.3
Scotland Island,--,--,29.6,70.4
South Hurstville,--,--,11.0,89.0
Springfield (Gosford - NSW),--,--,10.6,89.4
Tamarama,--,--,8.8,91.2
Tuggerawong,--,--,4.3,95.7
Warrimoo,--,--,23.7,76.3
Windang,--,--,28.3,71.7
Woodcroft (NSW),--,--,11.2,88.8
Woodpark,--,--,19.4,80.6
Woy Woy Bay,--,--,54.5,45.5
