,Real estate agent,State or Territory housing authority,Other landlord type,Landlord type not stated,Real estate agent (%),State or Territory housing authority (%),Other landlord type (%),Landlord type not stated (%)
Colyton,311.0,89.0,162.0,11.0,54.4,15.6,28.3,1.9
Como,68.0,6.0,44.0,5.0,53.5,4.7,34.6,3.9
Concord,637.0,122.0,197.0,19.0,65.3,12.5,20.2,1.9
Concord West,239.0,27.0,108.0,7.0,63.1,7.1,28.5,1.8
Condell Park,353.0,131.0,236.0,27.0,47.3,17.5,31.6,3.6
Coniston,153.0,39.0,80.0,5.0,55.6,14.2,29.1,1.8
Connells Point,68.0,0.0,30.0,7.0,63.6,0.0,28.0,6.5
Coogee,2223.0,38.0,701.0,52.0,73.8,1.3,23.3,1.7
Cooks Hill,400.0,160.0,168.0,14.0,53.8,21.5,22.6,1.9
Copacabana,158.0,0.0,44.0,3.0,77.5,0.0,21.6,1.5
Cordeaux Heights,57.0,22.0,26.0,6.0,52.8,20.4,24.1,5.6
Corrimal,384.0,174.0,161.0,16.0,52.4,23.7,22.0,2.2
Cranebrook,462.0,407.0,244.0,10.0,41.1,36.2,21.7,0.9
Cremorne,1646.0,28.0,407.0,29.0,78.0,1.3,19.3,1.4
Cremorne Point,293.0,0.0,101.0,4.0,74.0,0.0,25.5,1.0
Cringila,50.0,5.0,72.0,8.0,36.0,3.6,51.8,5.8
Cromer,175.0,25.0,149.0,16.0,48.2,6.9,41.0,4.4
Cronulla,2428.0,70.0,553.0,53.0,78.2,2.3,17.8,1.7
Croudace Bay,7.0,0.0,8.0,0.0,53.8,0.0,61.5,0.0
Crows Nest,552.0,25.0,141.0,4.0,76.5,3.5,19.5,0.6
Croydon,612.0,78.0,232.0,17.0,65.1,8.3,24.7,1.8
Croydon Park,759.0,165.0,226.0,33.0,64.1,13.9,19.1,2.8
Curl Curl,124.0,11.0,64.0,0.0,61.7,5.5,31.8,0.0
Currans Hill,330.0,36.0,80.0,3.0,73.7,8.0,17.9,0.7
Daceyville,19.0,397.0,11.0,16.0,4.3,89.6,2.5,3.6
Daleys Point,23.0,0.0,10.0,0.0,71.9,0.0,31.3,0.0
Dapto,438.0,155.0,244.0,21.0,51.1,18.1,28.5,2.5
Darling Point,396.0,0.0,188.0,15.0,66.2,0.0,31.4,2.5
Darlinghurst,1603.0,97.0,482.0,38.0,72.1,4.4,21.7,1.7
Darlington (Sydney),235.0,35.0,126.0,5.0,58.2,8.7,31.2,1.2
Davidson,31.0,0.0,8.0,3.0,73.8,0.0,19.0,7.1
Davistown,107.0,0.0,59.0,6.0,61.5,0.0,33.9,3.4
Dawes Point,72.0,30.0,28.0,4.0,54.1,22.6,21.1,3.0
Dean Park,106.0,23.0,53.0,7.0,55.8,12.1,27.9,3.7
Dee Why,2486.0,112.0,656.0,45.0,75.3,3.4,19.9,1.4
Denistone,97.0,4.0,52.0,4.0,62.6,2.6,33.5,2.6
Denistone East,58.0,3.0,26.0,4.0,64.4,3.3,28.9,4.4
Denistone West,15.0,0.0,6.0,3.0,62.5,0.0,25.0,12.5
Dharruk,97.0,100.0,40.0,6.0,39.8,41.0,16.4,2.5
Dolans Bay,21.0,0.0,23.0,0.0,50.0,0.0,54.8,0.0
Dolls Point,231.0,3.0,56.0,6.0,78.0,1.0,18.9,2.0
Doonside,431.0,1013.0,197.0,30.0,25.8,60.5,11.8,1.8
Double Bay,600.0,4.0,211.0,13.0,72.4,0.5,25.5,1.6
Dover Heights,150.0,4.0,76.0,4.0,63.8,1.7,32.3,1.7
Drummoyne,1100.0,62.0,321.0,38.0,72.3,4.1,21.1,2.5
Dudley,67.0,16.0,45.0,4.0,51.5,12.3,34.6,3.1
Dulwich Hill,1541.0,88.0,423.0,50.0,73.5,4.2,20.2,2.4
Dundas,577.0,673.0,151.0,29.0,40.3,47.0,10.6,2.0
Dundas Valley,256.0,205.0,125.0,14.0,42.7,34.2,20.9,2.3
Dural (Baulkham Hills and Hornsby),180.0,0.0,91.0,20.0,61.6,0.0,31.2,6.8
Eagle Vale,194.0,53.0,77.0,3.0,59.3,16.2,23.5,0.9
Earlwood,708.0,51.0,273.0,33.0,66.5,4.8,25.6,3.1
East Gosford,321.0,169.0,144.0,12.0,49.7,26.2,22.3,1.9
East Hills,92.0,116.0,47.0,12.0,33.7,42.5,17.2,4.4
East Killara,83.0,0.0,14.0,7.0,80.6,0.0,13.6,6.8
East Lindfield,83.0,0.0,31.0,5.0,70.9,0.0,26.5,4.3
East Ryde,55.0,0.0,19.0,7.0,68.8,0.0,23.8,8.8
Eastern Creek,16.0,0.0,9.0,0.0,61.5,0.0,34.6,0.0
Eastlakes,620.0,498.0,158.0,35.0,47.3,38.0,12.0,2.7
Eastwood,969.0,160.0,320.0,39.0,65.1,10.7,21.5,2.6
Edensor Park,249.0,137.0,99.0,3.0,51.1,28.1,20.3,0.6
Edgecliff,306.0,0.0,90.0,11.0,75.6,0.0,22.2,2.7
Edgeworth,168.0,169.0,128.0,13.0,35.2,35.4,26.8,2.7
Elanora Heights,64.0,0.0,64.0,4.0,48.5,0.0,48.5,3.0
Elderslie (Camden),95.0,68.0,52.0,8.0,42.8,30.6,23.4,3.6
Eleebana,124.0,0.0,55.0,4.0,66.7,0.0,29.6,2.2
Elermore Vale,154.0,94.0,95.0,5.0,44.4,27.1,27.4,1.4
Elizabeth Bay,1174.0,3.0,301.0,17.0,78.5,0.2,20.1,1.1
Emerton,116.0,180.0,39.0,10.0,33.6,52.2,11.3,2.9
Empire Bay,93.0,3.0,51.0,4.0,62.8,2.0,34.5,2.7
Emu Heights,94.0,20.0,46.0,4.0,57.0,12.1,27.9,2.4
Emu Plains,326.0,81.0,131.0,15.0,58.7,14.6,23.6,2.7
Enfield,173.0,42.0,75.0,5.0,58.4,14.2,25.3,1.7
Engadine,532.0,61.0,194.0,13.0,66.5,7.6,24.3,1.6
Enmore (Marrickville),521.0,22.0,131.0,6.0,77.0,3.2,19.4,0.9
Epping,1374.0,44.0,338.0,46.0,76.2,2.4,18.7,2.5
Erina,147.0,66.0,106.0,10.0,45.0,20.2,32.4,3.1
Ermington,355.0,727.0,169.0,31.0,27.7,56.8,13.2,2.4
Erskine Park,175.0,16.0,70.0,5.0,65.3,6.0,26.1,1.9
Erskineville,1211.0,201.0,295.0,20.0,70.2,11.7,17.1,1.2
Eschol Park,96.0,0.0,45.0,0.0,67.6,0.0,31.7,0.0
Ettalong Beach,631.0,0.0,150.0,19.0,78.9,0.0,18.8,2.4
Fairfield,1708.0,295.0,380.0,51.0,70.2,12.1,15.6,2.1
Fairfield East,155.0,205.0,101.0,20.0,32.4,42.9,21.1,4.2
Fairfield Heights,460.0,159.0,130.0,14.0,60.1,20.8,17.0,1.8
Fairfield West,367.0,69.0,163.0,17.0,59.4,11.2,26.4,2.8
Fairlight,624.0,3.0,203.0,23.0,73.1,0.4,23.8,2.7
Fairy Meadow,575.0,240.0,187.0,19.0,56.3,23.5,18.3,1.9
Farmborough Heights,49.0,28.0,27.0,3.0,45.4,25.9,25.0,2.8
Faulconbridge,142.0,7.0,64.0,3.0,65.7,3.2,29.6,1.4
Fennell Bay,60.0,26.0,34.0,3.0,48.8,21.1,27.6,2.4
Figtree,290.0,20.0,188.0,10.0,57.2,3.9,37.1,2.0
Five Dock,708.0,164.0,190.0,22.0,65.1,15.1,17.5,2.0
Fletcher,38.0,0.0,19.0,0.0,69.1,0.0,34.5,0.0
Flinders,212.0,92.0,64.0,7.0,56.4,24.5,17.0,1.9
Floraville,65.0,3.0,21.0,5.0,69.1,3.2,22.3,5.3
Forest Lodge,328.0,67.0,113.0,9.0,63.6,13.0,21.9,1.7
