,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Rosewood (Snowy Valleys - NSW),8.0,7.0,9.0,5.0,39.0,10.4,9.1,11.7,6.5,50.6,13415
Humula,8.0,3.0,4.0,5.0,23.0,16.7,6.2,8.3,10.4,47.9,11952
Tooma,3.0,3.0,0.0,4.0,46.0,5.1,5.1,0.0,6.8,78.0,13906
Tumut,277.0,256.0,284.0,431.0,1053.0,11.3,10.5,11.6,17.6,43.0,13966
Gilmore (NSW),4.0,8.0,5.0,13.0,55.0,4.4,8.8,5.5,14.3,60.4,11626
Batlow,46.0,45.0,78.0,124.0,200.0,8.4,8.2,14.2,22.5,36.4,10232
Talbingo,6.0,5.0,3.0,11.0,24.0,10.3,8.6,5.2,19.0,41.4,13730
Gocup,3.0,8.0,8.0,13.0,33.0,4.1,11.0,11.0,17.8,45.2,11690
Bombowlee,13.0,13.0,12.0,16.0,77.0,9.6,9.6,8.9,11.9,57.0,10459
Lacmalac,9.0,3.0,9.0,11.0,34.0,11.8,3.9,11.8,14.5,44.7,12231
Mundongo,14.0,8.0,8.0,23.0,47.0,12.7,7.3,7.3,20.9,42.7,12840
Adelong,40.0,44.0,44.0,54.0,171.0,10.6,11.6,11.6,14.3,45.2,10018
Cootamundra,263.0,253.0,331.0,512.0,994.0,10.5,10.1,13.3,20.5,39.8,11053
Stockinbingal,15.0,15.0,11.0,22.0,51.0,11.7,11.7,8.6,17.2,39.8,13660
Wallendbeen,7.0,13.0,10.0,17.0,62.0,5.8,10.8,8.3,14.2,51.7,14113
Gundagai,88.0,71.0,99.0,131.0,263.0,12.8,10.3,14.4,19.0,38.2,11803
South Gundagai,40.0,44.0,45.0,58.0,141.0,11.5,12.6,12.9,16.7,40.5,13584
Tumblong,8.0,11.0,7.0,9.0,48.0,8.8,12.1,7.7,9.9,52.7,13963
Nangus,13.0,12.0,9.0,15.0,39.0,12.9,11.9,8.9,14.9,38.6,12890
Coolac,7.0,12.0,10.0,13.0,61.0,6.8,11.7,9.7,12.6,59.2,11022
Junee,172.0,141.0,184.0,394.0,634.0,10.6,8.7,11.3,24.3,39.1,12046
Harefield,10.0,8.0,7.0,16.0,38.0,11.8,9.4,8.2,18.8,44.7,11853
Old Junee,9.0,17.0,9.0,20.0,66.0,6.8,12.8,6.8,15.0,49.6,13078
Illabo,6.0,6.0,9.0,8.0,38.0,9.0,9.0,13.4,11.9,56.7,11972
Bethungra,9.0,3.0,3.0,14.0,49.0,10.2,3.4,3.4,15.9,55.7,10328
Wantabadgery,10.0,3.0,3.0,11.0,54.0,11.9,3.6,3.6,13.1,64.3,14136
Temora,244.0,175.0,238.0,313.0,776.0,13.0,9.4,12.7,16.7,41.5,13784
Springdale (NSW),3.0,4.0,4.0,8.0,17.0,7.0,9.3,9.3,18.6,39.5,13621
Lake Albert (NSW),342.0,298.0,333.0,629.0,1257.0,11.3,9.8,11.0,20.8,41.5,12238
East Wagga Wagga,10.0,15.0,9.0,20.0,42.0,10.4,15.6,9.4,20.8,43.8,11364
Kooringal (NSW),350.0,301.0,383.0,782.0,1333.0,10.6,9.1,11.6,23.7,40.4,12193
Gumly Gumly,15.0,15.0,17.0,28.0,58.0,10.8,10.8,12.2,20.1,41.7,11800
Tatton,148.0,111.0,127.0,233.0,646.0,11.1,8.3,9.5,17.5,48.5,13775
Estella,174.0,110.0,88.0,259.0,431.0,15.5,9.8,7.8,23.1,38.4,11444
Boorooma,64.0,48.0,31.0,105.0,210.0,13.4,10.0,6.5,22.0,43.9,10501
North Wagga Wagga,34.0,33.0,43.0,71.0,158.0,9.4,9.2,11.9,19.7,43.9,13014
Cartwrights Hill,10.0,6.0,7.0,20.0,41.0,11.5,6.9,8.0,23.0,47.1,10839
Springvale (Wagga Wagga - NSW),101.0,95.0,96.0,152.0,459.0,10.7,10.0,10.1,16.1,48.5,13628
Lloyd,32.0,37.0,44.0,107.0,215.0,6.9,8.0,9.5,23.2,46.5,12365
Bourkelands,160.0,149.0,179.0,346.0,670.0,10.2,9.5,11.4,22.1,42.8,10523
Glenfield Park,227.0,205.0,299.0,639.0,1080.0,8.8,7.9,11.6,24.8,41.9,11665
Tolland,152.0,120.0,170.0,299.0,490.0,11.7,9.2,13.1,23.0,37.6,13887
Mount Austin,172.0,135.0,171.0,371.0,509.0,11.9,9.3,11.8,25.7,35.2,12748
Turvey Park,182.0,137.0,194.0,356.0,721.0,10.9,8.2,11.6,21.3,43.1,13983
San Isidore,22.0,18.0,9.0,45.0,83.0,11.5,9.4,4.7,23.4,43.2,13469
Ashmont,153.0,115.0,181.0,316.0,466.0,11.8,8.8,13.9,24.3,35.8,10101
Wagga Wagga,382.0,335.0,383.0,778.0,1536.0,10.7,9.4,10.7,21.7,42.9,14083
Kapooka,26.0,10.0,11.0,20.0,353.0,5.8,2.2,2.4,4.5,78.6,12068
Moorong,6.0,7.0,10.0,7.0,41.0,8.1,9.5,13.5,9.5,55.4,12715
Ladysmith,13.0,11.0,24.0,24.0,75.0,8.0,6.8,14.8,14.8,46.3,12233
The Rock,43.0,57.0,70.0,96.0,225.0,8.4,11.1,13.6,18.7,43.8,13838
Forest Hill (NSW),97.0,78.0,94.0,298.0,594.0,7.9,6.4,7.7,24.3,48.5,11544
Collingullie,12.0,6.0,11.0,19.0,47.0,11.7,5.8,10.7,18.4,45.6,10976
Lockhart,51.0,37.0,52.0,73.0,194.0,11.7,8.5,11.9,16.7,44.4,12369
Pleasant Hills,3.0,10.0,3.0,4.0,36.0,5.4,17.9,5.4,7.1,64.3,13228
Ganmain,23.0,38.0,28.0,44.0,119.0,8.4,13.8,10.2,16.0,43.3,11585
Matong,15.0,10.0,8.0,7.0,36.0,19.7,13.2,10.5,9.2,47.4,12523
Yerong Creek,20.0,13.0,10.0,12.0,62.0,16.3,10.6,8.1,9.8,50.4,14508
Uranquinty,34.0,41.0,60.0,91.0,191.0,7.7,9.3,13.6,20.6,43.3,14055
Currawarna,7.0,9.0,8.0,21.0,37.0,8.2,10.6,9.4,24.7,43.5,11178
Oura,11.0,9.0,15.0,25.0,43.0,10.0,8.2,13.6,22.7,39.1,13102
Eunanoreenya,7.0,17.0,14.0,14.0,38.0,7.5,18.3,15.1,15.1,40.9,11457
Gobbagombalin,15.0,27.0,15.0,50.0,156.0,5.4,9.7,5.4,17.9,55.9,11689
Brucedale,12.0,18.0,8.0,15.0,44.0,11.7,17.5,7.8,14.6,42.7,10613
Downside,9.0,6.0,10.0,8.0,43.0,11.4,7.6,12.7,10.1,54.4,11285
Euberta,8.0,13.0,4.0,8.0,33.0,11.4,18.6,5.7,11.4,47.1,11451
Marrar,18.0,18.0,21.0,36.0,86.0,9.3,9.3,10.9,18.7,44.6,12503
Coolamon,93.0,72.0,108.0,173.0,394.0,10.3,8.0,12.0,19.2,43.6,11025
Tarcutta,24.0,12.0,16.0,32.0,110.0,11.8,5.9,7.9,15.8,54.2,13763
Gregadoo,15.0,11.0,27.0,19.0,56.0,11.7,8.6,21.1,14.8,43.8,11773
Big Springs,10.0,9.0,8.0,10.0,30.0,14.3,12.9,11.4,14.3,42.9,10345
Mangoplah,7.0,8.0,18.0,26.0,84.0,4.7,5.4,12.1,17.4,56.4,12470
Gelston Park,14.0,4.0,4.0,7.0,27.0,21.5,6.2,6.2,10.8,41.5,11597
Berry,156.0,121.0,121.0,118.0,418.0,15.7,12.2,12.2,11.9,42.1,10322
Kangaroo Valley,64.0,48.0,47.0,60.0,157.0,16.1,12.1,11.8,15.1,39.5,12061
Barrengarry,17.0,11.0,9.0,8.0,37.0,19.8,12.8,10.5,9.3,43.0,10213
Upper Kangaroo River,8.0,11.0,10.0,0.0,20.0,15.4,21.2,19.2,0.0,38.5,14030
Broughton Vale,11.0,3.0,3.0,3.0,37.0,18.3,5.0,5.0,5.0,61.7,10606
Bellawongarah,14.0,3.0,6.0,4.0,15.0,30.4,6.5,13.0,8.7,32.6,10267
Beaumont (NSW),9.0,5.0,5.0,5.0,20.0,17.3,9.6,9.6,9.6,38.5,10242
Far Meadow,15.0,13.0,14.0,15.0,29.0,15.5,13.4,14.4,15.5,29.9,11488
Coolangatta (NSW),35.0,18.0,19.0,26.0,61.0,20.6,10.6,11.2,15.3,35.9,11026
Jaspers Brush,19.0,19.0,17.0,15.0,85.0,11.6,11.6,10.4,9.1,51.8,12002
Shoalhaven Heads,152.0,125.0,140.0,194.0,416.0,14.0,11.5,12.9,17.8,38.2,13540
Callala Bay,125.0,88.0,119.0,140.0,308.0,15.1,10.7,14.4,16.9,37.3,10757
Callala Beach,38.0,18.0,33.0,40.0,112.0,14.7,6.9,12.7,15.4,43.2,10758
Currarong,30.0,13.0,13.0,22.0,60.0,20.3,8.8,8.8,14.9,40.5,11176
Myola (NSW),3.0,0.0,0.0,3.0,14.0,15.0,0.0,0.0,15.0,70.0,12878
Orient Point,20.0,25.0,17.0,31.0,64.0,11.6,14.5,9.8,17.9,37.0,13096
Culburra Beach,127.0,116.0,131.0,183.0,360.0,12.9,11.8,13.3,18.6,36.7,11146
Greenwell Point,53.0,41.0,50.0,81.0,170.0,12.1,9.3,11.4,18.5,38.7,11769
Numbaa,7.0,7.0,7.0,3.0,29.0,11.9,11.9,11.9,5.1,49.2,13035
Huskisson,48.0,40.0,39.0,46.0,126.0,15.0,12.5,12.2,14.4,39.4,11966
Vincentia,171.0,151.0,162.0,227.0,527.0,12.9,11.4,12.2,17.1,39.7,14075
Hyams Beach,11.0,9.0,3.0,3.0,8.0,28.9,23.7,7.9,7.9,21.1,11967
Bomaderry,325.0,269.0,337.0,474.0,857.0,13.5,11.1,14.0,19.6,35.5,10453
Cambewarra,24.0,20.0,17.0,20.0,50.0,17.8,14.8,12.6,14.8,37.0,10763
North Nowra,335.0,263.0,300.0,467.0,900.0,14.1,11.0,12.6,19.6,37.8,13000
Bangalee (NSW),49.0,41.0,35.0,48.0,144.0,14.6,12.2,10.4,14.3,43.0,10173
Meroo Meadow,28.0,17.0,23.0,37.0,106.0,12.2,7.4,10.0,16.2,46.3,12579
Cambewarra Village,114.0,64.0,73.0,98.0,230.0,18.5,10.4,11.9,15.9,37.4,10764
Tapitallee,43.0,27.0,31.0,30.0,137.0,15.3,9.6,11.0,10.7,48.8,13755
Worrigee,242.0,219.0,250.0,427.0,897.0,11.1,10.1,11.5,19.6,41.2,14423
Nowra,389.0,334.0,358.0,563.0,881.0,14.4,12.4,13.3,20.9,32.7,13028
Nowra Hill,95.0,61.0,56.0,128.0,330.0,13.6,8.8,8.0,18.4,47.4,13029
West Nowra,85.0,62.0,69.0,132.0,239.0,13.6,9.9,11.0,21.1,38.2,14248
Terara,17.0,13.0,14.0,14.0,33.0,17.9,13.7,14.7,14.7,34.7,13795
South Nowra,64.0,83.0,84.0,152.0,348.0,8.2,10.6,10.7,19.4,44.3,13594
St Georges Basin,130.0,129.0,140.0,203.0,350.0,12.7,12.6,13.7,19.9,34.2,13636
Worrowing Heights,16.0,3.0,5.0,8.0,4.0,44.4,8.3,13.9,22.2,11.1,14424
Basin View,59.0,69.0,86.0,117.0,203.0,10.4,12.1,15.1,20.5,35.6,10223
Sanctuary Point,311.0,256.0,334.0,454.0,712.0,14.1,11.6,15.1,20.6,32.3,13472
Erowal Bay,42.0,34.0,21.0,54.0,99.0,16.0,13.0,8.0,20.6,37.8,11436
Wrights Beach,9.0,3.0,0.0,12.0,13.0,24.3,8.1,0.0,32.4,35.1,14428
Old Erowal Bay,56.0,43.0,60.0,83.0,98.0,15.2,11.7,16.3,22.6,26.6,13075
Sussex Inlet,142.0,140.0,141.0,167.0,314.0,14.5,14.3,14.4,17.1,32.2,13700
Swanhaven,10.0,3.0,5.0,11.0,9.0,24.4,7.3,12.2,26.8,22.0,13709
Berrara,24.0,10.0,19.0,24.0,36.0,20.5,8.5,16.2,20.5,30.8,10313
Cudmirrah,15.0,8.0,11.0,21.0,30.0,16.5,8.8,12.1,23.1,33.0,11145
Falls Creek (NSW),41.0,46.0,56.0,74.0,169.0,9.9,11.1,13.6,17.9,40.9,11487
Tomerong,68.0,65.0,65.0,92.0,196.0,13.1,12.5,12.5,17.8,37.8,13894
Wandandian,22.0,16.0,11.0,23.0,63.0,15.2,11.0,7.6,15.9,43.4,14127
Woollamia,41.0,28.0,37.0,50.0,97.0,15.8,10.8,14.3,19.3,37.5,14405
Parma,19.0,13.0,8.0,13.0,35.0,20.9,14.3,8.8,14.3,38.5,13155
Ulladulla,372.0,286.0,313.0,388.0,683.0,17.1,13.1,14.4,17.8,31.4,14003
Kings Point,37.0,28.0,33.0,40.0,91.0,15.0,11.4,13.4,16.3,37.0,12153
Burrill Lake,91.0,69.0,77.0,83.0,164.0,17.1,13.0,14.5,15.6,30.8,10712
Dolphin Point,11.0,10.0,5.0,9.0,18.0,16.9,15.4,7.7,13.8,27.7,11269
Milton (NSW),96.0,72.0,74.0,74.0,217.0,16.8,12.6,13.0,13.0,38.0,12630
Mollymook Beach,154.0,114.0,133.0,136.0,303.0,17.6,13.0,15.2,15.5,34.5,12670
Narrawallee,83.0,74.0,67.0,73.0,150.0,17.8,15.8,14.3,15.6,32.1,12909
Mollymook,54.0,40.0,62.0,54.0,152.0,13.6,10.1,15.6,13.6,38.3,12669
Manyana,39.0,34.0,26.0,30.0,64.0,19.3,16.8,12.9,14.9,31.7,12482
Conjola,9.0,8.0,10.0,16.0,32.0,11.5,10.3,12.8,20.5,41.0,11011
Fishermans Paradise,19.0,10.0,18.0,22.0,32.0,17.0,8.9,16.1,19.6,28.6,11523
Lake Tabourie,47.0,32.0,30.0,30.0,77.0,19.6,13.3,12.5,12.5,32.1,12254
Conjola Park,26.0,17.0,12.0,20.0,45.0,20.6,13.5,9.5,15.9,35.7,11012
Lake Conjola,16.0,29.0,16.0,25.0,27.0,13.0,23.6,13.0,20.3,22.0,12244
Yatte Yattah,16.0,11.0,14.0,11.0,29.0,18.4,12.6,16.1,12.6,33.3,14497
Little Forest,16.0,10.0,14.0,3.0,28.0,21.6,13.5,18.9,4.1,37.8,12351
Croobyar,20.0,4.0,3.0,11.0,27.0,28.6,5.7,4.3,15.7,38.6,11121
Morton,19.0,16.0,5.0,18.0,31.0,20.4,17.2,5.4,19.4,33.3,12730
Woodstock (Shoalhaven - NSW),17.0,14.0,12.0,9.0,37.0,18.1,14.9,12.8,9.6,39.4,14396
Bawley Point,44.0,33.0,41.0,30.0,80.0,17.6,13.2,16.4,12.0,32.0,10235
Kioloa,16.0,13.0,9.0,9.0,31.0,19.8,16.0,11.1,11.1,38.3,12165
Termeil,19.0,18.0,13.0,24.0,45.0,15.1,14.3,10.3,19.0,35.7,13797
Bowral,584.0,480.0,501.0,550.0,1754.0,14.4,11.8,12.3,13.5,43.2,10536
Burradoo,161.0,118.0,106.0,88.0,388.0,17.7,13.0,11.6,9.7,42.6,10701
Woodlands (Wingecarribee - NSW),20.0,17.0,13.0,20.0,78.0,13.2,11.2,8.6,13.2,51.3,14388
Balmoral (Wingecarribee - NSW),26.0,27.0,15.0,45.0,110.0,11.4,11.8,6.6,19.7,48.0,10167
Hill Top (Wingecarribee - NSW),132.0,110.0,155.0,263.0,543.0,10.4,8.6,12.2,20.6,42.6,11905
Colo Vale,102.0,87.0,84.0,130.0,309.0,13.7,11.7,11.3,17.4,41.5,10985
Alpine,11.0,10.0,12.0,10.0,32.0,14.7,13.3,16.0,13.3,42.7,10044
Aylmerton,13.0,12.0,13.0,13.0,53.0,12.0,11.1,12.0,12.0,49.1,10119
Mittagong,345.0,266.0,307.0,398.0,955.0,14.4,11.1,12.8,16.6,39.9,12653
Willow Vale (Wingecarribee - NSW),52.0,39.0,44.0,57.0,151.0,14.9,11.1,12.6,16.3,43.1,14307
Renwick,33.0,30.0,25.0,49.0,133.0,11.4,10.4,8.7,17.0,46.0,13350
Balaclava (NSW),30.0,28.0,32.0,35.0,94.0,12.7,11.9,13.6,14.8,39.8,10143
Welby,44.0,38.0,42.0,64.0,114.0,14.0,12.1,13.4,20.4,36.3,14219
Glenquarry,23.0,13.0,7.0,6.0,55.0,21.5,12.1,6.5,5.6,51.4,11674
Braemar,32.0,27.0,22.0,47.0,107.0,13.4,11.3,9.2,19.7,45.0,10545
Moss Vale,483.0,368.0,454.0,685.0,1550.0,13.0,9.9,12.2,18.4,41.6,12739
Sutton Forest,24.0,24.0,16.0,26.0,126.0,10.6,10.6,7.0,11.5,55.5,13703
Berrima,50.0,44.0,43.0,34.0,131.0,16.2,14.2,13.9,11.0,42.4,10320
New Berrima,24.0,23.0,37.0,67.0,121.0,8.5,8.2,13.2,23.8,43.1,12938
Robertson (NSW),90.0,105.0,94.0,136.0,365.0,11.0,12.9,11.5,16.7,44.8,13374
Kangaloon,4.0,15.0,7.0,4.0,31.0,6.0,22.4,10.4,6.0,46.3,12058
