,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%),SSC_CODE
Wyong Creek,38.0,28.0,33.0,29.0,97.0,16.3,12.0,14.2,12.4,41.6,14447
Dooralong,18.0,17.0,6.0,16.0,75.0,12.2,11.5,4.1,10.8,50.7,11276
Lake Munmorah,240.0,228.0,254.0,422.0,763.0,12.0,11.4,12.7,21.1,38.2,12253
Chain Valley Bay,86.0,83.0,119.0,150.0,291.0,10.9,10.5,15.1,19.0,36.9,10880
Kingfisher Shores,6.0,4.0,10.0,17.0,28.0,8.8,5.9,14.7,25.0,41.2,12146
Mannering Park,126.0,123.0,120.0,242.0,361.0,12.1,11.8,11.5,23.2,34.6,12477
Doyalson North,11.0,9.0,6.0,9.0,26.0,18.0,14.8,9.8,14.8,42.6,11287
Ourimbah,228.0,201.0,235.0,391.0,852.0,11.3,10.0,11.7,19.4,42.3,13103
Fountaindale,47.0,32.0,40.0,62.0,156.0,13.4,9.1,11.4,17.7,44.4,11554
Palm Grove (NSW),7.0,9.0,8.0,12.0,19.0,12.7,16.4,14.5,21.8,34.5,13133
Gwandalan,150.0,149.0,161.0,272.0,589.0,10.8,10.8,11.6,19.6,42.5,11824
Summerland Point,106.0,103.0,134.0,177.0,394.0,11.1,10.7,14.0,18.5,41.1,13690
Long Jetty,330.0,292.0,335.0,515.0,938.0,12.9,11.4,13.1,20.2,36.7,12378
Shelly Beach (NSW),53.0,70.0,74.0,96.0,233.0,9.5,12.6,13.3,17.2,41.8,13535
Blue Bay,59.0,56.0,66.0,69.0,175.0,13.1,12.4,14.6,15.3,38.8,10414
Toowoon Bay,20.0,26.0,27.0,30.0,77.0,10.0,13.0,13.5,15.0,38.5,13916
The Entrance North,62.0,82.0,70.0,116.0,252.0,10.2,13.6,11.6,19.2,41.7,13819
Magenta (NSW),4.0,4.0,13.0,24.0,43.0,4.5,4.5,14.8,27.3,48.9,12441
The Entrance,150.0,170.0,186.0,270.0,491.0,11.1,12.5,13.7,19.9,36.2,13818
Toukley,156.0,155.0,221.0,283.0,538.0,10.8,10.7,15.3,19.6,37.2,13925
Canton Beach,27.0,31.0,31.0,55.0,98.0,10.3,11.9,11.9,21.1,37.5,10798
Noraville,159.0,149.0,184.0,226.0,444.0,12.8,12.0,14.8,18.2,35.7,12974
Norah Head,65.0,71.0,52.0,84.0,227.0,12.6,13.8,10.1,16.3,44.0,12973
Kangy Angy,13.0,17.0,20.0,23.0,50.0,10.6,13.8,16.3,18.7,40.7,12064
Tuggerah,34.0,55.0,42.0,114.0,176.0,7.7,12.5,9.5,25.9,39.9,13950
Wyong,175.0,153.0,202.0,305.0,560.0,11.8,10.3,13.6,20.5,37.6,14446
Mardi,183.0,163.0,191.0,383.0,647.0,11.2,9.9,11.7,23.4,39.5,12488
Tacoma South,12.0,12.0,7.0,30.0,58.0,9.8,9.8,5.7,24.6,47.5,13725
Hamlyn Terrace,299.0,257.0,303.0,501.0,1060.0,11.8,10.2,12.0,19.8,41.9,11843
Woongarrah,263.0,218.0,236.0,489.0,1034.0,11.1,9.2,10.0,20.7,43.7,14415
Warnervale,46.0,32.0,35.0,59.0,135.0,14.1,9.8,10.7,18.1,41.4,14154
Wallarah,20.0,19.0,20.0,35.0,51.0,12.9,12.3,12.9,22.6,32.9,14109
Wadalba,137.0,123.0,137.0,279.0,532.0,10.6,9.5,10.6,21.6,41.1,14080
Watanobbi,168.0,180.0,185.0,352.0,592.0,10.8,11.6,11.9,22.7,38.2,14181
Tacoma,38.0,39.0,39.0,55.0,109.0,12.8,13.2,13.2,18.6,36.8,13724
Llanarth (NSW),126.0,112.0,99.0,202.0,527.0,11.3,10.1,8.9,18.2,47.4,12362
South Bathurst,82.0,55.0,64.0,149.0,250.0,13.0,8.7,10.2,23.7,39.7,13577
Bathurst,422.0,342.0,339.0,692.0,1198.0,13.3,10.8,10.7,21.9,37.9,10231
Robin Hill,59.0,46.0,31.0,77.0,258.0,11.9,9.3,6.2,15.5,52.0,13375
West Bathurst,172.0,134.0,165.0,355.0,560.0,11.5,9.0,11.0,23.7,37.5,14241
Mitchell (NSW),95.0,41.0,19.0,20.0,22.0,40.1,17.3,8.0,8.4,9.3,12650
Gormans Hill,29.0,32.0,31.0,71.0,92.0,11.1,12.2,11.8,27.1,35.1,11720
Abercrombie,65.0,59.0,67.0,120.0,237.0,11.3,10.3,11.7,20.9,41.3,10004
Eglinton (NSW),130.0,84.0,148.0,237.0,433.0,11.8,7.7,13.5,21.6,39.4,11386
Windradyne,146.0,110.0,149.0,295.0,534.0,11.2,8.4,11.4,22.6,41.0,14324
Raglan (NSW),49.0,48.0,80.0,114.0,235.0,8.8,8.6,14.3,20.4,42.0,13304
White Rock (NSW),45.0,35.0,45.0,58.0,153.0,13.0,10.1,13.0,16.8,44.2,14275
Kelso (NSW),465.0,322.0,406.0,856.0,1609.0,12.0,8.3,10.5,22.1,41.5,12090
O'Connell (NSW),34.0,29.0,34.0,46.0,132.0,11.8,10.1,11.8,16.0,46.0,13052
Brewongle,3.0,0.0,3.0,11.0,26.0,7.0,0.0,7.0,25.6,60.5,10564
Trunkey Creek,3.0,6.0,9.0,6.0,23.0,5.7,11.3,17.0,11.3,43.4,13942
Perthville,27.0,37.0,33.0,53.0,136.0,8.9,12.1,10.8,17.4,44.6,13189
Sofala,9.0,3.0,9.0,0.0,17.0,23.7,7.9,23.7,0.0,44.7,13569
Wattle Flat (NSW),23.0,4.0,17.0,15.0,28.0,26.4,4.6,19.5,17.2,32.2,14191
Peel,10.0,11.0,17.0,23.0,53.0,7.5,8.3,12.8,17.3,39.8,13174
Limekilns,11.0,11.0,4.0,13.0,25.0,17.2,17.2,6.2,20.3,39.1,12330
Clear Creek,11.0,17.0,9.0,9.0,25.0,14.9,23.0,12.2,12.2,33.8,10925
Rockley,11.0,12.0,10.0,18.0,26.0,13.1,14.3,11.9,21.4,31.0,13380
Georges Plains,7.0,9.0,19.0,15.0,38.0,7.7,9.9,20.9,16.5,41.8,11602
Duramana,10.0,15.0,10.0,16.0,53.0,9.3,14.0,9.3,15.0,49.5,11330
Billywillinga,12.0,15.0,11.0,15.0,27.0,15.0,18.8,13.8,18.8,33.8,10357
Mount Rankin,26.0,21.0,12.0,47.0,82.0,13.4,10.8,6.2,24.2,42.3,12786
Rock Forest,13.0,6.0,13.0,21.0,39.0,12.5,5.8,12.5,20.2,37.5,13377
Evans Plains,9.0,5.0,9.0,9.0,43.0,11.4,6.3,11.4,11.4,54.4,11470
The Lagoon,7.0,11.0,8.0,15.0,52.0,6.9,10.8,7.8,14.7,51.0,13828
Wisemans Creek,8.0,3.0,0.0,11.0,22.0,17.0,6.4,0.0,23.4,46.8,14343
Yetholme,4.0,12.0,10.0,18.0,52.0,4.0,12.0,10.0,18.0,52.0,14513
Meadow Flat,17.0,19.0,3.0,26.0,70.0,12.0,13.4,2.1,18.3,49.3,12549
Tarana,6.0,9.0,9.0,11.0,42.0,7.8,11.7,11.7,14.3,54.5,13760
Glanmire (NSW),6.0,8.0,9.0,13.0,46.0,7.1,9.4,10.6,15.3,54.1,11640
Napoleon Reef,11.0,11.0,3.0,6.0,32.0,16.4,16.4,4.5,9.0,47.8,12893
Oberon,154.0,127.0,127.0,275.0,571.0,11.5,9.5,9.5,20.5,42.5,13068
Black Springs (NSW),16.0,8.0,3.0,12.0,40.0,19.5,9.8,3.7,14.6,48.8,10389
Condobolin,136.0,107.0,169.0,154.0,710.0,9.8,7.7,12.1,11.1,51.0,11002
Tullamore,22.0,13.0,21.0,11.0,117.0,11.3,6.7,10.8,5.7,60.3,13954
Lake Cargelligo,58.0,60.0,61.0,51.0,268.0,10.8,11.1,11.3,9.5,49.7,12242
Tullibigeal,10.0,5.0,14.0,12.0,71.0,8.3,4.2,11.7,10.0,59.2,13957
Ungarie,20.0,19.0,29.0,17.0,114.0,9.5,9.0,13.8,8.1,54.3,14011
Euabalong,3.0,0.0,5.0,5.0,47.0,4.5,0.0,7.6,7.6,71.2,11449
Fifield,5.0,3.0,3.0,4.0,36.0,9.3,5.6,5.6,7.4,66.7,11514
Tottenham (NSW),8.0,13.0,14.0,17.0,101.0,4.7,7.6,8.2,9.9,59.1,13923
Cowra,449.0,426.0,468.0,715.0,1551.0,11.7,11.1,12.2,18.7,40.5,11099
Canowindra,114.0,106.0,121.0,137.0,408.0,12.1,11.3,12.9,14.6,43.4,10796
Woodstock (Cowra - NSW),26.0,22.0,15.0,46.0,125.0,10.2,8.6,5.9,18.0,49.0,14394
Gooloogong,22.0,19.0,21.0,17.0,75.0,13.6,11.7,13.0,10.5,46.3,11709
Mandurama,15.0,12.0,15.0,14.0,84.0,10.0,8.0,10.0,9.3,56.0,12467
Wattamondara,8.0,12.0,11.0,17.0,40.0,8.3,12.5,11.5,17.7,41.7,14190
Darbys Falls,14.0,9.0,8.0,13.0,34.0,15.6,10.0,8.9,14.4,37.8,11205
Billimari,7.0,4.0,6.0,8.0,28.0,13.2,7.5,11.3,15.1,52.8,10354
Moorbel,6.0,10.0,18.0,10.0,37.0,7.0,11.6,20.9,11.6,43.0,12709
Forbes (NSW),338.0,289.0,407.0,594.0,1488.0,10.1,8.6,12.2,17.8,44.5,11536
Eugowra,22.0,29.0,39.0,45.0,176.0,6.6,8.8,11.8,13.6,53.2,11454
Warroo (NSW),6.0,7.0,3.0,6.0,51.0,7.8,9.1,3.9,7.8,66.2,14175
Bedgerabong,3.0,4.0,9.0,7.0,38.0,4.3,5.7,12.9,10.0,54.3,10247
Grenfell,114.0,92.0,99.0,144.0,444.0,11.9,9.6,10.3,15.0,46.4,11776
Greenethorpe,12.0,17.0,7.0,10.0,30.0,14.5,20.5,8.4,12.0,36.1,11760
Quandialla,4.0,3.0,5.0,3.0,49.0,6.2,4.7,7.8,4.7,76.6,13290
Caragabal,6.0,14.0,11.0,3.0,44.0,7.4,17.3,13.6,3.7,54.3,10806
Parkes (NSW),502.0,398.0,525.0,862.0,2006.0,10.9,8.7,11.4,18.8,43.6,13151
Cookamidgera,5.0,5.0,0.0,14.0,30.0,8.6,8.6,0.0,24.1,51.7,11016
Peak Hill (NSW),45.0,34.0,44.0,34.0,181.0,12.5,9.4,12.2,9.4,50.1,13166
Trundle,27.0,24.0,29.0,24.0,130.0,10.2,9.1,11.0,9.1,49.2,13940
Bogan Gate,9.0,10.0,11.0,6.0,53.0,9.5,10.5,11.6,6.3,55.8,10438
Alectown,12.0,11.0,6.0,5.0,44.0,14.1,12.9,7.1,5.9,51.8,10029
West Wyalong,158.0,138.0,141.0,202.0,609.0,11.9,10.4,10.6,15.2,45.8,14256
Wyalong,45.0,26.0,32.0,46.0,144.0,14.5,8.4,10.3,14.8,46.5,14431
Weethalle,10.0,6.0,8.0,14.0,64.0,8.7,5.2,7.0,12.2,55.7,14215
Tallimba,5.0,6.0,8.0,9.0,55.0,5.6,6.7,9.0,10.1,61.8,13732
Barellan,16.0,20.0,16.0,37.0,122.0,7.2,9.0,7.2,16.7,55.0,10197
Ardlethan,24.0,18.0,23.0,10.0,81.0,14.5,10.9,13.9,6.1,49.1,10076
Ariah Park,25.0,13.0,23.0,15.0,102.0,13.0,6.8,12.0,7.8,53.1,10081
Barmedman,15.0,10.0,17.0,12.0,72.0,11.5,7.7,13.1,9.2,55.4,10202
Beckom,4.0,3.0,3.0,3.0,40.0,6.7,5.0,5.0,5.0,66.7,10244
South Bowenfels,57.0,55.0,44.0,73.0,229.0,11.8,11.3,9.1,15.1,47.2,13578
Marrangaroo,24.0,21.0,25.0,53.0,98.0,10.1,8.9,10.5,22.4,41.4,12502
Lithgow,247.0,179.0,219.0,449.0,684.0,13.1,9.5,11.6,23.7,36.2,12347
Bowenfels,68.0,62.0,64.0,90.0,207.0,12.9,11.7,12.1,17.0,39.1,10529
Rydal,4.0,8.0,13.0,9.0,38.0,5.1,10.1,16.5,11.4,48.1,13452
Pottery Estate,4.0,3.0,6.0,11.0,20.0,9.1,6.8,13.6,25.0,45.5,13254
Oakey Park,17.0,5.0,21.0,26.0,61.0,12.8,3.8,15.8,19.5,45.9,13055
Morts Estate,16.0,38.0,31.0,39.0,76.0,7.5,17.8,14.6,18.3,35.7,12732
Hermitage Flat,15.0,19.0,15.0,21.0,36.0,13.3,16.8,13.3,18.6,31.9,11895
McKellars Park,8.0,11.0,11.0,21.0,36.0,8.5,11.7,11.7,22.3,38.3,12544
South Littleton,25.0,8.0,14.0,29.0,47.0,19.8,6.3,11.1,23.0,37.3,13590
Littleton,26.0,44.0,54.0,72.0,128.0,7.4,12.5,15.3,20.5,36.4,12360
Vale Of Clwydd,28.0,18.0,28.0,32.0,59.0,16.4,10.5,16.4,18.7,34.5,14064
Portland (NSW),94.0,86.0,101.0,185.0,303.0,11.4,10.5,12.3,22.5,36.9,13250
Lidsdale,23.0,24.0,20.0,41.0,64.0,12.6,13.2,11.0,22.5,35.2,12318
Wallerawang,78.0,81.0,82.0,179.0,281.0,10.4,10.8,10.9,23.9,37.5,14114
Little Hartley,27.0,34.0,36.0,38.0,111.0,10.3,12.9,13.7,14.4,42.2,12352
Hartley (NSW),24.0,14.0,31.0,41.0,86.0,11.3,6.6,14.6,19.3,40.6,11861
Clarence,9.0,17.0,10.0,14.0,29.0,11.0,20.7,12.2,17.1,35.4,10919
Glen Davis,0.0,3.0,3.0,3.0,16.0,0.0,12.0,12.0,12.0,64.0,11646
Cullen Bullen,10.0,13.0,3.0,17.0,33.0,11.6,15.1,3.5,19.8,38.4,11148
Megalong Valley,16.0,5.0,5.0,11.0,29.0,23.2,7.2,7.2,15.9,42.0,12557
Kanimbla (NSW),0.0,7.0,3.0,8.0,27.0,0.0,14.6,6.2,16.7,56.2,12065
Capertee,7.0,8.0,10.0,7.0,23.0,11.1,12.7,15.9,11.1,36.5,10802
Running Stream,10.0,8.0,9.0,7.0,23.0,17.5,14.0,15.8,12.3,40.4,13441
Mudgee,485.0,466.0,551.0,768.0,2125.0,10.4,10.0,11.9,16.5,45.8,12812
Putta Bucca,19.0,16.0,13.0,14.0,45.0,16.5,13.9,11.3,12.2,39.1,13278
Bombira,21.0,22.0,15.0,14.0,102.0,11.8,12.4,8.4,7.9,57.3,10457
Burrundulla,6.0,11.0,4.0,12.0,37.0,8.6,15.7,5.7,17.1,52.9,10717
Spring Flat,6.0,9.0,18.0,14.0,44.0,6.4,9.6,19.1,14.9,46.8,13613
Kandos,52.0,36.0,44.0,63.0,97.0,16.1,11.2,13.7,19.6,30.1,12057
Rylstone,47.0,28.0,40.0,43.0,164.0,14.2,8.5,12.1,13.0,49.7,13457
Ilford,11.0,5.0,12.0,9.0,19.0,17.7,8.1,19.4,14.5,30.6,11971
Clandulla,7.0,3.0,7.0,5.0,23.0,15.6,6.7,15.6,11.1,51.1,10916
Charbon,0.0,10.0,6.0,0.0,18.0,0.0,29.4,17.6,0.0,52.9,10883
Lue,13.0,10.0,17.0,13.0,33.0,14.6,11.2,19.1,14.6,37.1,12420
Gulgong,119.0,107.0,114.0,134.0,416.0,12.6,11.4,12.1,14.2,44.2,11794
Dunedoo,50.0,24.0,61.0,41.0,200.0,12.3,5.9,15.0,10.1,49.3,11316
Leadville,3.0,4.0,10.0,0.0,26.0,6.5,8.7,21.7,0.0,56.5,12290
Cassilis (NSW),15.0,9.0,18.0,20.0,75.0,10.3,6.2,12.3,13.7,51.4,10844
Tallawang,13.0,6.0,3.0,6.0,38.0,19.7,9.1,4.5,9.1,57.6,13731
Beryl,6.0,7.0,3.0,12.0,23.0,11.8,13.7,5.9,23.5,45.1,10327
Stubbo,8.0,8.0,12.0,10.0,52.0,8.5,8.5,12.8,10.6,55.3,13682
Cope,9.0,5.0,3.0,4.0,16.0,20.0,11.1,6.7,8.9,35.6,11057
Yarrawonga (NSW),15.0,12.0,10.0,25.0,70.0,10.1,8.1,6.8,16.9,47.3,14486
Piambong,6.0,16.0,6.0,7.0,40.0,7.1,18.8,7.1,8.2,47.1,13197
Cooks Gap,19.0,20.0,23.0,44.0,74.0,9.7,10.3,11.8,22.6,37.9,11018
Frog Rock,3.0,4.0,11.0,9.0,22.0,4.9,6.6,18.0,14.8,36.1,11570
Cooyal,5.0,3.0,10.0,4.0,26.0,9.8,5.9,19.6,7.8,51.0,11055
St Fillans,13.0,17.0,7.0,11.0,49.0,13.4,17.5,7.2,11.3,50.5,13634
Eurunderee,13.0,6.0,13.0,7.0,51.0,14.0,6.5,14.0,7.5,54.8,11467
Budgee Budgee (NSW),7.0,11.0,9.0,9.0,46.0,7.4,11.6,9.5,9.5,48.4,10641
Kains Flat,12.0,3.0,7.0,7.0,13.0,26.7,6.7,15.6,15.6,28.9,12049
Menah,11.0,7.0,7.0,11.0,31.0,15.7,10.0,10.0,15.7,44.3,12566
Grattai,8.0,17.0,20.0,21.0,55.0,6.2,13.2,15.5,16.3,42.6,11741
Hargraves,15.0,12.0,13.0,8.0,35.0,16.9,13.5,14.6,9.0,39.3,11854
Windeyer (NSW),13.0,3.0,4.0,6.0,16.0,31.0,7.1,9.5,14.3,38.1,14322
Bocoble,8.0,6.0,4.0,4.0,14.0,20.5,15.4,10.3,10.3,35.9,10432
Mount Frome,7.0,3.0,8.0,5.0,43.0,10.6,4.5,12.1,7.6,65.2,12760
Buckaroo,9.0,3.0,12.0,9.0,26.0,14.5,4.8,19.4,14.5,41.9,10630
Blayney,164.0,134.0,148.0,241.0,642.0,11.7,9.5,10.5,17.1,45.7,10410
Millthorpe,68.0,50.0,72.0,85.0,277.0,11.5,8.4,12.2,14.4,46.8,12623
Carcoar,7.0,13.0,13.0,23.0,48.0,6.1,11.3,11.3,20.0,41.7,10808
Lyndhurst (Blayney - NSW),18.0,12.0,21.0,23.0,75.0,11.3,7.5,13.2,14.5,47.2,12426
Forest Reefs,30.0,30.0,16.0,23.0,121.0,13.1,13.1,7.0,10.0,52.8,11547
Neville,15.0,8.0,17.0,20.0,59.0,12.2,6.5,13.8,16.3,48.0,12937
Barry (Blayney - NSW),8.0,10.0,12.0,14.0,32.0,9.8,12.2,14.6,17.1,39.0,10218
Newbridge (NSW),12.0,12.0,9.0,13.0,33.0,14.6,14.6,11.0,15.9,40.2,12948
Orange,1738.0,1520.0,1842.0,3275.0,7350.0,10.5,9.1,11.1,19.7,44.2,13092
Clifton Grove,55.0,43.0,45.0,63.0,200.0,12.9,10.1,10.5,14.8,46.8,10934
Cumnock,22.0,19.0,23.0,19.0,90.0,11.6,10.0,12.1,10.0,47.4,11159
Cudal,30.0,24.0,20.0,43.0,119.0,11.5,9.2,7.7,16.5,45.6,11140
Molong,115.0,110.0,114.0,210.0,485.0,10.6,10.1,10.5,19.3,44.5,12671
Manildra,26.0,37.0,33.0,44.0,167.0,7.8,11.1,9.9,13.2,50.2,12473
Cargo,26.0,21.0,31.0,57.0,130.0,9.4,7.6,11.2,20.6,46.9,10813
Spring Terrace,3.0,13.0,6.0,4.0,29.0,5.2,22.4,10.3,6.9,50.0,13620
Springside (NSW),20.0,18.0,17.0,26.0,78.0,12.0,10.8,10.2,15.7,47.0,13626
Spring Hill (Cabonne - NSW),22.0,20.0,26.0,47.0,106.0,9.2,8.4,10.9,19.7,44.5,13615
Guyong,4.0,8.0,10.0,3.0,27.0,7.1,14.3,17.9,5.4,48.2,11821
Emu Swamp,8.0,10.0,4.0,12.0,46.0,9.2,11.5,4.6,13.8,52.9,11419
Lewis Ponds,6.0,3.0,6.0,14.0,33.0,8.5,4.2,8.5,19.7,46.5,12312
Lucknow (NSW),24.0,17.0,16.0,27.0,71.0,14.5,10.3,9.7,16.4,43.0,12418
Spring Creek (NSW),8.0,4.0,6.0,13.0,36.0,10.8,5.4,8.1,17.6,48.6,13611
Huntley (Orange - NSW),14.0,9.0,16.0,15.0,44.0,14.3,9.2,16.3,15.3,44.9,11958
Canobolas,37.0,25.0,39.0,32.0,122.0,13.8,9.3,14.5,11.9,45.4,10793
Clergate,8.0,13.0,13.0,17.0,47.0,7.5,12.3,12.3,16.0,44.3,10929
March,11.0,3.0,9.0,9.0,27.0,17.7,4.8,14.5,14.5,43.5,12486
Summer Hill Creek,9.0,12.0,10.0,18.0,56.0,8.2,10.9,9.1,16.4,50.9,13688
Mullion Creek,36.0,25.0,35.0,41.0,120.0,13.1,9.1,12.7,14.9,43.6,12826
Nashdale,17.0,18.0,19.0,36.0,91.0,8.5,9.0,9.5,18.0,45.5,12913
Windera (NSW),18.0,13.0,9.0,32.0,72.0,12.1,8.7,6.0,21.5,48.3,14319
Lidster,10.0,16.0,16.0,24.0,91.0,6.1,9.7,9.7,14.5,55.2,12319
Borenore,24.0,30.0,30.0,40.0,91.0,10.3,12.9,12.9,17.2,39.1,10513
Yeoval,23.0,12.0,16.0,28.0,55.0,15.4,8.1,10.7,18.8,36.9,14507
Grafton,463.0,402.0,525.0,850.0,1354.0,12.2,10.6,13.9,22.4,35.8,11733
Rushforth,7.0,14.0,15.0,29.0,39.0,6.3,12.6,13.5,26.1,35.1,13446
Great Marlow,9.0,12.0,15.0,12.0,40.0,8.8,11.8,14.7,11.8,39.2,11745
South Grafton,282.0,192.0,261.0,371.0,584.0,15.7,10.7,14.6,20.7,32.6,13582
Junction Hill,62.0,54.0,57.0,115.0,215.0,11.6,10.1,10.7,21.5,40.3,12045
Carrs Creek,9.0,10.0,7.0,9.0,20.0,15.5,17.2,12.1,15.5,34.5,10834
Tucabia,17.0,16.0,21.0,26.0,51.0,12.0,11.3,14.8,18.3,35.9,13945
Ulmarra,32.0,39.0,45.0,48.0,100.0,11.3,13.8,15.9,17.0,35.3,14004
Ramornie,10.0,12.0,10.0,7.0,24.0,13.9,16.7,13.9,9.7,33.3,13308
Nymboida,14.0,18.0,11.0,14.0,34.0,14.3,18.4,11.2,14.3,34.7,13048
Blaxlands Creek,10.0,5.0,4.0,15.0,21.0,18.2,9.1,7.3,27.3,38.2,10408
Glenreagh,40.0,36.0,49.0,71.0,89.0,12.9,11.6,15.8,22.8,28.6,11675
Wells Crossing,8.0,3.0,13.0,11.0,18.0,15.1,5.7,24.5,20.8,34.0,14223
Kungala,4.0,11.0,6.0,9.0,22.0,7.1,19.6,10.7,16.1,39.3,12212
Wooli,15.0,26.0,16.0,9.0,47.0,12.6,21.8,13.4,7.6,39.5,14403
Halfway Creek,16.0,6.0,12.0,9.0,24.0,20.5,7.7,15.4,11.5,30.8,11831
Copmanhurst,20.0,17.0,3.0,14.0,19.0,23.5,20.0,3.5,16.5,22.4,11060
Whiteman Creek,12.0,4.0,11.0,13.0,15.0,19.4,6.5,17.7,21.0,24.2,14277
The Whiteman,9.0,7.0,8.0,18.0,17.0,14.5,11.3,12.9,29.0,27.4,13843
Waterview Heights,64.0,49.0,79.0,115.0,198.0,11.7,8.9,14.4,20.9,36.1,14186
Lawrence (NSW),57.0,32.0,56.0,60.0,105.0,17.3,9.7,17.0,18.2,31.9,12288
Eatonsville,9.0,15.0,5.0,15.0,26.0,12.3,20.5,6.8,20.5,35.6,11370
Seelands,21.0,12.0,21.0,35.0,81.0,11.8,6.7,11.8,19.7,45.5,13515
Mountain View (NSW),8.0,8.0,11.0,12.0,25.0,11.6,11.6,15.9,17.4,36.2,12808
Southgate,14.0,10.0,20.0,17.0,30.0,13.7,9.8,19.6,16.7,29.4,13604
Lower Southgate,4.0,8.0,7.0,13.0,23.0,7.3,14.5,12.7,23.6,41.8,12413
Ashby Heights,12.0,12.0,9.0,5.0,27.0,17.1,17.1,12.9,7.1,38.6,10095
Tullymorgan,4.0,5.0,8.0,8.0,23.0,7.7,9.6,15.4,15.4,44.2,13960
Ashby (NSW),21.0,17.0,14.0,21.0,35.0,18.8,15.2,12.5,18.8,31.2,10094
South Arm (Clarence Valley - NSW),13.0,8.0,10.0,15.0,40.0,14.0,8.6,10.8,16.1,43.0,13574
Woodford Island,7.0,20.0,16.0,21.0,42.0,5.8,16.7,13.3,17.5,35.0,14384
Brushgrove,10.0,7.0,10.0,6.0,29.0,14.7,10.3,14.7,8.8,42.6,10622
Elland,17.0,19.0,26.0,29.0,69.0,10.2,11.4,15.7,17.5,41.6,11399
Coutts Crossing,60.0,43.0,58.0,74.0,118.0,15.5,11.1,15.0,19.2,30.6,11094
Kremnos,5.0,3.0,8.0,24.0,27.0,7.5,4.5,11.9,35.8,40.3,12204
Lanitza,18.0,13.0,21.0,18.0,29.0,17.6,12.7,20.6,17.6,28.4,12270
Braunstone,16.0,12.0,11.0,26.0,56.0,12.9,9.7,8.9,21.0,45.2,10550
Glenugie,9.0,12.0,17.0,20.0,15.0,10.6,14.1,20.0,23.5,17.6,11681
Clarenza,31.0,28.0,29.0,46.0,111.0,12.1,10.9,11.3,17.9,43.2,10922
Swan Creek (NSW),4.0,4.0,7.0,3.0,14.0,12.5,12.5,21.9,9.4,43.8,13706
Pillar Valley,16.0,10.0,17.0,12.0,41.0,15.4,9.6,16.3,11.5,39.4,13204
Minnie Water,14.0,10.0,12.0,11.0,21.0,20.6,14.7,17.6,16.2,30.9,12640
Tyndale,6.0,6.0,12.0,8.0,19.0,9.4,9.4,18.8,12.5,29.7,13997
Ilarwill,18.0,10.0,12.0,19.0,27.0,19.1,10.6,12.8,20.2,28.7,11970
Yamba (NSW),284.0,235.0,281.0,306.0,656.0,14.9,12.3,14.7,16.1,34.4,14458
Gulmarrad,83.0,82.0,88.0,122.0,203.0,13.5,13.3,14.3,19.8,32.9,11795
Angourie,9.0,22.0,16.0,9.0,32.0,8.9,21.8,15.8,8.9,31.7,10059
Brooms Head,6.0,12.0,8.0,9.0,23.0,9.1,18.2,12.1,13.6,34.8,10603
Wooloweyah,28.0,23.0,38.0,38.0,57.0,13.8,11.3,18.7,18.7,28.1,14411
Woombah,25.0,26.0,50.0,33.0,94.0,10.0,10.4,20.0,13.2,37.6,14414
Maclean,106.0,104.0,145.0,124.0,238.0,13.8,13.6,18.9,16.2,31.0,12431
Iluka (NSW),67.0,64.0,59.0,53.0,120.0,17.4,16.7,15.4,13.8,31.2,11975
Harwood,17.0,15.0,17.0,15.0,43.0,14.5,12.8,14.5,12.8,36.8,11865
Chatsworth (NSW),18.0,10.0,12.0,11.0,31.0,20.2,11.2,13.5,12.4,34.8,10894
Townsend,50.0,50.0,50.0,62.0,91.0,15.0,15.0,15.0,18.6,27.2,13928
Palmers Channel,7.0,9.0,8.0,6.0,25.0,11.9,15.3,13.6,10.2,42.4,13135
James Creek,12.0,15.0,12.0,16.0,38.0,12.0,15.0,12.0,16.0,38.0,11999
Palmers Island,35.0,20.0,36.0,27.0,80.0,17.2,9.8,17.6,13.2,39.2,13136
Bellingen,228.0,203.0,255.0,242.0,442.0,15.9,14.2,17.8,16.9,30.9,10273
Brierfield,25.0,20.0,19.0,23.0,36.0,19.5,15.6,14.8,18.0,28.1,10568
Fernmount,22.0,14.0,23.0,24.0,68.0,13.4,8.5,14.0,14.6,41.5,11509
Darkwood,17.0,6.0,6.0,4.0,15.0,35.4,12.5,12.5,8.3,31.2,11210
Thora,22.0,16.0,13.0,27.0,45.0,16.5,12.0,9.8,20.3,33.8,13849
Gleniffer,22.0,22.0,31.0,17.0,50.0,13.7,13.7,19.3,10.6,31.1,11668
Valery,7.0,15.0,11.0,5.0,27.0,10.8,23.1,16.9,7.7,41.5,14066
Kalang,12.0,15.0,20.0,12.0,31.0,12.5,15.6,20.8,12.5,32.3,12050
Coffs Harbour,1370.0,1130.0,1444.0,2087.0,3529.0,13.6,11.2,14.3,20.7,34.9,10959
North Boambee Valley,108.0,63.0,84.0,138.0,288.0,14.9,8.7,11.6,19.0,39.7,12983
Coramba,58.0,46.0,67.0,74.0,125.0,14.9,11.9,17.3,19.1,32.2,11065
