,Less than $600 gross weekly income,"More than $3,000 gross weekly income",Less than $600 gross weekly income (%),"More than $3,000 gross weekly income (%)"
Claymore,--,--,51.0,1.7
Clontarf (NSW),--,--,9.1,36.9
Clovelly,--,--,12.3,33.0
Coal Point,--,--,15.0,19.1
Coledale,--,--,14.7,19.8
Collaroy (NSW),--,--,12.6,21.7
Colyton,--,--,21.6,6.7
Como (NSW),--,--,11.8,29.8
Concord,--,--,19.6,22.6
Concord West,--,--,18.4,20.3
Condell Park,--,--,26.2,8.3
Coniston,--,--,29.9,7.2
Connells Point,--,--,16.5,25.5
Coogee (NSW),--,--,12.6,25.7
Cooks Hill,--,--,25.1,15.4
Copacabana,--,--,18.7,12.2
Cordeaux Heights,--,--,10.5,25.0
Corrimal,--,--,32.3,7.2
Cranebrook,--,--,15.2,12.0
Cremorne (NSW),--,--,12.7,25.3
Cremorne Point,--,--,9.9,28.9
Cringila,--,--,35.8,1.5
Cromer (NSW),--,--,19.0,18.7
Cronulla,--,--,17.1,14.1
Croudace Bay,--,--,20.2,13.9
Crows Nest (NSW),--,--,11.1,24.8
Croydon (NSW),--,--,19.8,18.3
Croydon Park (NSW),--,--,23.8,12.5
Curl Curl,--,--,13.4,29.7
Currans Hill,--,--,10.8,11.2
Daceyville,--,--,61.6,4.6
Daleys Point,--,--,34.5,8.5
Dapto,--,--,27.1,5.9
Darling Point,--,--,12.1,28.8
Darlinghurst,--,--,15.0,20.8
Darlington (Sydney - NSW),--,--,20.2,22.3
Davidson,--,--,7.2,31.7
Davistown,--,--,31.5,7.3
Dawes Point,--,--,18.4,36.3
Dean Park,--,--,15.2,7.8
Dee Why,--,--,17.7,12.1
Denistone,--,--,10.0,27.1
Denistone East,--,--,14.6,24.5
Denistone West,--,--,13.6,25.3
Dharruk,--,--,21.0,5.5
Dolans Bay,--,--,6.9,28.5
Dolls Point,--,--,21.9,8.9
Doonside,--,--,27.9,6.7
Double Bay,--,--,13.0,26.9
Dover Heights,--,--,11.9,34.4
Drummoyne,--,--,15.0,27.0
Dudley,--,--,16.6,19.8
Dulwich Hill,--,--,17.4,14.7
Dundas (NSW),--,--,19.4,11.9
Dundas Valley,--,--,25.1,13.1
Dural (Hornsby - NSW),--,--,15.1,27.1
Eagle Vale,--,--,14.9,10.0
Earlwood,--,--,22.2,15.2
East Gosford,--,--,36.8,6.5
East Hills,--,--,24.8,14.6
East Killara,--,--,14.8,31.7
East Lindfield,--,--,10.3,37.3
East Ryde,--,--,14.7,27.8
Eastern Creek,--,--,22.2,5.7
Eastlakes,--,--,36.2,5.7
Eastwood (NSW),--,--,23.4,17.5
Edensor Park,--,--,18.1,12.7
Edgecliff,--,--,14.1,22.7
Edgeworth,--,--,30.4,3.6
Elanora Heights,--,--,13.0,25.9
Elderslie (Camden - NSW),--,--,17.0,15.0
Eleebana,--,--,14.0,21.9
Elermore Vale,--,--,24.6,11.4
Elizabeth Bay,--,--,15.0,15.8
Emerton,--,--,34.7,2.2
Empire Bay,--,--,24.2,7.9
Emu Heights (NSW),--,--,11.1,17.0
Emu Plains,--,--,21.7,13.3
