,Less than $600 gross weekly income,"More than $3,000 gross weekly income",Less than $600 gross weekly income (%),"More than $3,000 gross weekly income (%)"
Woodbine (NSW),--,--,16.1,12.2
Woodcroft (NSW),--,--,10.1,21.2
Woodpark,--,--,18.6,8.7
Woodrising,--,--,13.4,5.3
Woollahra,--,--,15.9,26.6
Woolloomooloo,--,--,25.8,17.1
Woolooware,--,--,17.2,19.1
Woolwich,--,--,6.8,32.1
Woonona,--,--,26.5,11.5
Woronora,--,--,14.7,24.8
Woronora Heights,--,--,4.1,33.4
Woy Woy,--,--,38.3,3.9
Woy Woy Bay,--,--,20.8,23.8
Wyoming,--,--,30.1,5.3
Wyong,--,--,42.8,3.5
Wyongah,--,--,23.1,5.4
Yagoona,--,--,29.8,6.9
Yarrawarrah,--,--,12.2,25.5
Yattalunga (NSW),--,--,23.0,9.7
Yennora,--,--,48.5,4.5
Yowie Bay,--,--,12.7,29.6
Zetland,--,--,16.2,22.3
