,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%)
Illawong,4454.0,1656.0,781.0,1033.0,72.6,27.0,12.7,16.8
Ingleburn,7571.0,3057.0,1321.0,1382.0,67.7,27.3,11.8,12.4
Ingleside,673.0,288.0,108.0,222.0,74.9,32.0,12.0,24.7
Islington,1146.0,371.0,173.0,234.0,74.9,24.2,11.3,15.3
Jamisontown,3004.0,1283.0,424.0,456.0,70.2,30.0,9.9,10.7
Jannali,3432.0,1557.0,552.0,829.0,73.1,33.2,11.8,17.7
Jesmond,1329.0,439.0,198.0,265.0,59.7,19.7,8.9,11.9
Jewells,1824.0,765.0,345.0,427.0,71.6,30.0,13.5,16.8
Kahibah,1279.0,511.0,193.0,271.0,76.4,30.6,11.5,16.2
Kanahooka,2941.0,1323.0,563.0,652.0,68.3,30.7,13.1,15.1
Kangaroo Point (NSW),333.0,133.0,69.0,102.0,68.2,27.2,14.1,20.8
Kanwal,1897.0,853.0,366.0,406.0,61.6,27.7,11.9,13.2
Kareela,2089.0,935.0,380.0,494.0,77.5,34.7,14.1,18.3
Kariong,3680.0,1728.0,527.0,827.0,76.3,35.8,10.9,17.2
Kearns,1544.0,653.0,204.0,278.0,70.4,29.8,9.3,12.7
Keiraville,2044.0,681.0,314.0,687.0,71.0,23.7,10.9,23.9
Kellyville,11430.0,5528.0,1644.0,2689.0,75.5,36.5,10.9,17.8
Kembla Grange,131.0,53.0,24.0,42.0,72.0,29.0,13.2,23.2
Kensington (NSW),7126.0,1806.0,825.0,2194.0,62.4,15.8,7.2,19.2
Kilaben Bay,875.0,322.0,157.0,217.0,78.3,28.8,14.0,19.4
Killara (NSW),5541.0,2189.0,925.0,2053.0,73.9,29.2,12.3,27.4
Killarney Heights,2647.0,1291.0,371.0,849.0,78.8,38.4,11.0,25.3
Killarney Vale,3831.0,1687.0,650.0,718.0,69.3,30.5,11.8,13.0
Kincumber,3970.0,1513.0,676.0,894.0,70.7,26.9,12.0,15.9
Kincumber South,403.0,101.0,98.0,113.0,63.7,16.0,15.5,17.9
Kings Langley,5593.0,2434.0,876.0,1151.0,76.4,33.3,12.0,15.7
Kings Park (NSW),1995.0,938.0,259.0,365.0,76.6,36.0,9.9,14.0
Kingsford (NSW),7528.0,2306.0,1049.0,1848.0,61.3,18.8,8.5,15.0
Kingsgrove,6085.0,2474.0,1194.0,952.0,64.4,26.2,12.6,10.1
Kingswood (Tamworth - NSW),685.0,269.0,115.0,211.0,76.8,30.1,12.9,23.6
Kirrawee,5402.0,2310.0,900.0,1250.0,74.6,31.9,12.4,17.3
Kirribilli,2480.0,501.0,299.0,699.0,72.3,14.6,8.7,20.4
Kogarah,6596.0,2626.0,1042.0,1094.0,61.9,24.6,9.8,10.3
Kogarah Bay,1120.0,487.0,225.0,237.0,68.0,29.6,13.7,14.4
Koolewong,518.0,190.0,102.0,135.0,78.4,28.7,15.4,20.4
Koonawarra,1835.0,884.0,375.0,279.0,65.8,31.7,13.4,10.0
Kotara,2501.0,1055.0,397.0,568.0,79.4,33.5,12.6,18.0
Kotara South,711.0,328.0,121.0,171.0,79.0,36.4,13.4,19.0
Kurnell,1267.0,601.0,226.0,220.0,74.8,35.5,13.3,13.0
Kyeemagh,430.0,160.0,76.0,64.0,65.2,24.3,11.6,9.7
Kyle Bay,487.0,213.0,93.0,105.0,71.7,31.3,13.7,15.5
La Perouse,220.0,89.0,50.0,58.0,64.0,25.9,14.5,17.0
Lake Haven,1761.0,620.0,367.0,363.0,62.1,21.9,13.0,12.8
