,People,Male,Female,Median age,Families,Average children per family,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Abbotsbury,4194.0,2080.0,2114.0,35.0,1128.0,2.0,1228.0,3.5,1971.0,2200.0,433.0,2.4
Abbotsford,4907.0,2481.0,2426.0,35.0,1040.0,1.6,2279.0,2.3,1793.0,2200.0,391.0,1.2
Acacia Gardens,3681.0,1816.0,1865.0,32.0,1014.0,1.9,1134.0,3.4,2217.0,2500.0,450.0,2.0
Adamstown,5642.0,2711.0,2931.0,35.0,1450.0,1.8,2592.0,2.3,1214.0,1950.0,270.0,1.5
Adamstown Heights,5174.0,2570.0,2604.0,41.0,1541.0,1.8,2078.0,2.6,1448.0,1950.0,315.0,1.8
Airds,3507.0,1584.0,1923.0,26.0,879.0,2.2,1211.0,2.9,544.0,1213.0,144.0,1.0
Albion Park,12872.0,6276.0,6596.0,33.0,3579.0,2.0,4382.0,3.0,1483.0,1993.0,310.0,2.0
Albion Park Rail,7003.0,3402.0,3601.0,37.0,1948.0,1.9,2641.0,2.7,1028.0,1733.0,255.0,1.8
Alexandria,7050.0,3649.0,3401.0,33.0,1740.0,1.5,3801.0,2.0,2075.0,2500.0,480.0,1.1
Alfords Point,3303.0,1666.0,1637.0,38.0,913.0,2.1,968.0,3.6,2496.0,2500.0,530.0,2.6
Allambie Heights,6742.0,3213.0,3529.0,41.0,1807.0,1.9,2449.0,2.8,1689.0,3000.0,325.0,1.8
Allawah,5367.0,2598.0,2769.0,35.0,1522.0,1.6,2255.0,2.5,1204.0,2000.0,360.0,1.3
Ambarvale,7213.0,3542.0,3671.0,31.0,1851.0,2.0,2494.0,3.0,1160.0,1733.0,250.0,1.6
Annandale,8974.0,4390.0,4584.0,35.0,2433.0,2.0,2990.0,3.1,1944.0,1923.0,365.0,2.1
Argenton,1370.0,689.0,681.0,40.0,397.0,1.7,601.0,2.4,810.0,1603.0,208.0,1.5
Arncliffe,8420.0,4236.0,4184.0,36.0,2130.0,2.0,2978.0,2.9,1251.0,2277.0,340.0,1.4
Artarmon,8642.0,4201.0,4441.0,34.0,2315.0,1.6,3921.0,2.4,1910.0,2500.0,460.0,1.2
Ashbury,3134.0,1531.0,1603.0,41.0,889.0,1.9,1106.0,3.0,1693.0,2500.0,443.0,1.7
Ashcroft,3308.0,1640.0,1668.0,32.0,799.0,2.1,1196.0,3.0,694.0,1647.0,150.0,1.3
Ashfield,1256.0,664.0,592.0,38.0,329.0,1.8,575.0,2.3,1091.0,2167.0,250.0,1.6
Asquith,3474.0,1721.0,1753.0,39.0,987.0,1.8,1289.0,2.8,1643.0,2200.0,400.0,1.6
Auburn,598.0,305.0,293.0,49.0,159.0,1.9,344.0,2.1,890.0,1192.0,115.0,2.0
Austinmer,2452.0,1189.0,1263.0,40.0,660.0,1.9,1013.0,2.7,1786.0,2167.0,400.0,1.8
Avoca Beach,4319.0,2138.0,2181.0,40.0,1177.0,2.0,2180.0,2.8,1458.0,2167.0,330.0,1.8
Balgowlah,7495.0,3553.0,3942.0,37.0,2079.0,1.7,3268.0,2.5,1912.0,2836.0,490.0,1.5
Balgowlah Heights,3268.0,1584.0,1684.0,40.0,891.0,2.0,1118.0,3.1,2695.0,3987.0,818.0,1.9
Balgownie,5447.0,2669.0,2778.0,41.0,1573.0,1.8,2192.0,2.6,1308.0,2167.0,290.0,1.8
Balmain,9783.0,4688.0,5095.0,38.0,2523.0,1.6,4912.0,2.2,2456.0,3033.0,485.0,1.2
Balmain East,1866.0,894.0,972.0,42.0,501.0,1.7,979.0,2.1,2511.0,3250.0,465.0,1.3
Bangor,5620.0,2774.0,2846.0,40.0,1606.0,1.9,1880.0,3.0,2171.0,2498.0,425.0,2.2
Banksia,3231.0,1632.0,1599.0,38.0,895.0,1.8,1125.0,2.9,1371.0,2500.0,430.0,1.6
Bankstown,30572.0,15118.0,15454.0,31.0,7645.0,1.9,10445.0,3.0,950.0,1733.0,330.0,1.4
Bar Beach,1122.0,639.0,483.0,36.0,226.0,1.9,642.0,2.0,1129.0,2500.0,200.0,1.4
Barden Ridge,4041.0,2056.0,1985.0,35.0,1085.0,2.1,1150.0,3.6,2495.0,2271.0,560.0,2.5
Bardwell Park,2266.0,1138.0,1128.0,39.0,643.0,1.8,825.0,2.9,1606.0,2700.0,420.0,1.7
Bardwell Valley,2205.0,1066.0,1139.0,38.0,585.0,2.0,823.0,2.9,1415.0,2275.0,410.0,1.6
Barnsley,1813.0,899.0,914.0,34.0,512.0,2.0,635.0,3.0,1330.0,1517.0,278.0,2.1
Barrack Heights,6016.0,2948.0,3068.0,38.0,1694.0,1.9,2342.0,2.7,943.0,1733.0,230.0,1.7
Barrack Point,627.0,306.0,321.0,43.0,159.0,2.0,278.0,2.5,1103.0,2167.0,320.0,1.7
Bass Hill,8175.0,4073.0,4102.0,36.0,2099.0,2.0,2808.0,3.0,1051.0,2004.0,250.0,1.7
Bateau Bay,11759.0,5445.0,6314.0,44.0,3178.0,1.8,5097.0,2.4,938.0,1800.0,270.0,1.6
Baulkham Hills,33945.0,16676.0,17269.0,37.0,9777.0,1.8,11948.0,2.9,1872.0,2400.0,420.0,1.9
Bayview,1522.0,760.0,762.0,33.0,405.0,1.8,616.0,2.7,2646.0,2577.0,550.0,2.1
Beacon Hill,6900.0,3377.0,3523.0,39.0,1935.0,1.9,2291.0,3.1,1950.0,2817.0,575.0,2.0
Beaconsfield,1199.0,594.0,605.0,42.0,326.0,1.8,564.0,2.2,680.0,914.0,155.0,1.6
Beecroft,8836.0,4186.0,4650.0,43.0,2483.0,1.9,3076.0,3.0,2523.0,2650.0,500.0,2.0
Belfield,6043.0,2928.0,3115.0,38.0,1637.0,1.9,2193.0,2.9,1135.0,2275.0,320.0,1.6
Bella Vista,7317.0,3593.0,3724.0,36.0,1971.0,2.0,2178.0,3.5,2634.0,2704.0,600.0,2.3
Bellambi,4011.0,1931.0,2080.0,37.0,1061.0,1.9,1790.0,2.4,763.0,1950.0,175.0,1.3
Bellevue Hill,10765.0,5336.0,5429.0,36.0,2520.0,1.9,4651.0,2.5,2566.0,3250.0,508.0,1.6
Belmont,6263.0,3234.0,3029.0,34.0,1505.0,1.8,2860.0,2.3,1197.0,2000.0,300.0,1.6
Belmont North,6481.0,3188.0,3293.0,39.0,1828.0,1.9,2513.0,2.6,1194.0,1863.0,255.0,1.8
Belmont South,1204.0,595.0,609.0,40.0,335.0,1.8,531.0,2.4,827.0,1777.0,245.0,1.5
Belmore,12574.0,6280.0,6294.0,35.0,3265.0,1.9,4735.0,2.8,987.0,1950.0,300.0,1.4
Belrose,8288.0,3981.0,4307.0,43.0,2265.0,1.9,2910.0,2.9,1782.0,2817.0,630.0,1.9
Bensville,2607.0,1296.0,1311.0,37.0,731.0,2.0,890.0,3.1,1606.0,2058.0,350.0,2.1
Berala,8799.0,4392.0,4407.0,33.0,2280.0,1.9,2974.0,3.1,1012.0,1755.0,300.0,1.4
Berkeley,7427.0,3626.0,3801.0,40.0,2019.0,1.9,3000.0,2.6,885.0,1621.0,170.0,1.5
Berkeley Vale,8486.0,4051.0,4435.0,36.0,2302.0,1.9,3226.0,2.7,1135.0,1800.0,300.0,1.8
Berowra,4623.0,2327.0,2296.0,38.0,1284.0,2.0,1539.0,3.1,2091.0,2500.0,400.0,1.9
Berowra Heights,5104.0,2561.0,2543.0,38.0,1478.0,1.9,1779.0,3.0,1885.0,2232.0,430.0,2.0
Beverley Park,2103.0,1063.0,1040.0,40.0,603.0,1.8,787.0,2.9,1522.0,2500.0,440.0,1.8
Beverly Hills,9661.0,4609.0,5052.0,39.0,2664.0,1.8,3657.0,2.8,1260.0,2100.0,380.0,1.5
Bexley,19067.0,9281.0,9786.0,37.0,5037.0,1.9,6731.0,2.9,1358.0,2167.0,370.0,1.6
Bexley North,3999.0,1941.0,2058.0,38.0,1092.0,1.8,1520.0,2.8,1251.0,2427.0,325.0,1.6
Bidwill,472.0,238.0,234.0,46.0,156.0,2.0,189.0,2.6,920.0,1142.0,158.0,2.2
Birchgrove,3107.0,1457.0,1650.0,40.0,854.0,1.6,1465.0,2.4,2726.0,3300.0,560.0,1.4
Birmingham Gardens,2122.0,1101.0,1021.0,27.0,453.0,1.9,877.0,2.6,914.0,1517.0,290.0,1.5
Birrong,2953.0,1443.0,1510.0,37.0,728.0,2.0,977.0,3.1,1095.0,2000.0,250.0,1.6
Blackalls Park,2763.0,1385.0,1378.0,40.0,780.0,1.9,1129.0,2.5,986.0,1517.0,260.0,1.8
Blackbutt,1055.0,511.0,544.0,54.0,293.0,1.9,546.0,2.3,593.0,1008.0,200.0,1.6
Blackett,3417.0,1675.0,1742.0,30.0,873.0,2.1,1160.0,3.1,847.0,1509.0,200.0,1.4
Blacksmiths,1844.0,908.0,936.0,46.0,495.0,1.8,894.0,2.2,742.0,1647.0,230.0,1.5
Blacktown,43374.0,21594.0,21780.0,33.0,11673.0,1.9,15686.0,2.9,1174.0,1907.0,320.0,1.5
Blackwall,306.0,144.0,162.0,46.0,83.0,1.9,135.0,2.6,884.0,1040.0,250.0,2.1
Blairmount,482.0,278.0,204.0,27.0,106.0,1.9,138.0,3.3,1489.0,1984.0,320.0,2.0
Blakehurst,6102.0,3027.0,3075.0,41.0,1642.0,2.0,2129.0,3.0,1903.0,2500.0,430.0,2.0
Blaxland,7330.0,3559.0,3771.0,39.0,2122.0,1.9,2812.0,2.7,1540.0,2000.0,305.0,1.8
Blue Bay,1025.0,469.0,556.0,43.0,286.0,1.7,642.0,2.2,837.0,1473.0,270.0,1.4
Blue Haven,6167.0,3019.0,3148.0,32.0,1687.0,2.0,2221.0,2.9,1072.0,1733.0,300.0,1.7
Bolton Point,2298.0,1136.0,1162.0,40.0,624.0,1.9,935.0,2.5,794.0,1600.0,182.0,1.6
Bondi,9614.0,4749.0,4865.0,33.0,2077.0,1.7,4900.0,2.1,1782.0,2708.0,500.0,1.1
Bondi Beach,10748.0,5539.0,5209.0,33.0,2260.0,1.6,6105.0,2.0,1856.0,2687.0,490.0,1.0
Bondi Junction,8660.0,4269.0,4391.0,35.0,1923.0,1.7,4408.0,2.1,1634.0,2800.0,520.0,1.0
Bonnet Bay,2133.0,1082.0,1051.0,43.0,645.0,1.8,745.0,3.0,2396.0,2600.0,538.0,2.2
Bonnyrigg,7978.0,3856.0,4122.0,34.0,2125.0,2.0,2565.0,3.4,1051.0,1857.0,191.0,1.7
Bonnyrigg Heights,7209.0,3582.0,3627.0,33.0,1916.0,2.1,1967.0,3.8,1470.0,2000.0,370.0,2.2
Booker Bay,1136.0,532.0,604.0,49.0,325.0,1.7,677.0,2.1,788.0,1679.0,290.0,1.3
Boolaroo,933.0,456.0,477.0,40.0,263.0,1.6,447.0,2.3,919.0,1517.0,270.0,1.7
Booragul,1415.0,632.0,783.0,48.0,331.0,1.8,557.0,2.4,808.0,1590.0,206.0,1.5
Bossley Park,14028.0,7066.0,6962.0,37.0,3890.0,2.0,4273.0,3.4,1381.0,2000.0,350.0,2.0
Botany,8884.0,4387.0,4497.0,37.0,2316.0,1.8,3312.0,2.8,1628.0,2513.0,350.0,1.6
Bow Bowing,1583.0,770.0,813.0,33.0,430.0,2.0,512.0,3.2,1549.0,2100.0,340.0,2.0
Bradbury,190.0,97.0,93.0,42.0,60.0,1.6,75.0,2.8,1928.0,1150.0,250.0,2.5
Broadmeadow,1552.0,799.0,753.0,34.0,389.0,1.7,767.0,2.2,1054.0,1800.0,270.0,1.3
Bronte,6827.0,3320.0,3507.0,37.0,1680.0,1.8,3040.0,2.5,2318.0,3467.0,495.0,1.4
Brookvale,2589.0,1292.0,1297.0,36.0,652.0,1.7,1158.0,2.4,1451.0,2600.0,430.0,1.4
Budgewoi,3254.0,1603.0,1651.0,44.0,911.0,1.8,1681.0,2.3,792.0,1649.0,225.0,1.5
Buff Point,3285.0,1565.0,1720.0,43.0,943.0,1.8,1458.0,2.4,838.0,1733.0,250.0,1.6
Bulli,5671.0,2764.0,2907.0,38.0,1559.0,1.9,2215.0,2.7,1463.0,2295.0,220.0,1.7
Burwood,13162.0,6065.0,7097.0,34.0,2986.0,1.7,5296.0,2.6,1099.0,2000.0,328.0,1.5
Burwood Heights,810.0,381.0,429.0,42.0,197.0,1.9,284.0,3.0,1399.0,3250.0,280.0,1.7
Busby,4208.0,2007.0,2201.0,31.0,1009.0,2.1,1368.0,3.1,820.0,1733.0,185.0,1.5
Cabarita,513.0,257.0,256.0,36.0,141.0,2.2,173.0,3.1,1395.0,1517.0,320.0,2.4
Cabramatta,20780.0,10073.0,10707.0,36.0,5317.0,1.8,7082.0,3.0,780.0,1300.0,250.0,1.2
Cabramatta West,6767.0,3305.0,3462.0,35.0,1764.0,2.0,2045.0,3.4,916.0,1733.0,250.0,1.7
Cambridge Gardens,2038.0,1017.0,1021.0,33.0,595.0,1.9,708.0,2.9,1647.0,1930.0,320.0,2.0
Cambridge Park,6160.0,3063.0,3097.0,34.0,1747.0,1.8,2415.0,2.7,1239.0,1831.0,300.0,1.7
Camden,3244.0,1543.0,1701.0,40.0,799.0,1.8,1396.0,2.4,1188.0,2032.0,320.0,1.7
Camden South,4343.0,2118.0,2225.0,37.0,1297.0,1.8,1630.0,2.8,1620.0,2000.0,345.0,2.0
Cammeray,6784.0,3218.0,3566.0,37.0,1754.0,1.6,3456.0,2.1,2239.0,2754.0,480.0,1.3
Campbelltown,7573.0,3595.0,3978.0,40.0,1994.0,1.8,3512.0,2.3,859.0,1523.0,240.0,1.4
Camperdown,3462.0,1669.0,1793.0,46.0,915.0,1.9,1659.0,2.3,808.0,1083.0,160.0,1.7
Campsie,21218.0,10660.0,10558.0,35.0,5711.0,1.6,7877.0,2.8,945.0,1733.0,320.0,1.2
Canada Bay,1296.0,640.0,656.0,39.0,379.0,1.7,540.0,2.6,1738.0,3200.0,420.0,1.5
Canley Heights,10455.0,5139.0,5316.0,35.0,2811.0,1.9,3120.0,3.4,1018.0,1733.0,270.0,1.6
Canley Vale,9296.0,4549.0,4747.0,35.0,2401.0,1.9,3133.0,3.1,824.0,1430.0,250.0,1.4
Canterbury,7857.0,3677.0,4180.0,44.0,2064.0,2.0,3033.0,2.8,2350.0,2984.0,371.0,1.9
Canton Beach,1076.0,505.0,571.0,61.0,269.0,1.7,685.0,1.8,519.0,1300.0,230.0,1.0
Cardiff,237.0,127.0,110.0,47.0,70.0,2.0,116.0,2.6,1678.0,1148.0,150.0,2.7
Cardiff Heights,1280.0,620.0,660.0,48.0,327.0,1.9,478.0,2.5,1389.0,1700.0,250.0,1.8
Cardiff South,2963.0,1449.0,1514.0,38.0,864.0,1.8,1204.0,2.6,1146.0,1650.0,288.0,1.7
Caringbah,10955.0,5193.0,5762.0,37.0,2869.0,1.7,5170.0,2.3,1317.0,2253.0,350.0,1.5
Carlingford,21570.0,10594.0,10976.0,40.0,6120.0,1.8,7706.0,2.9,1572.0,2200.0,410.0,1.8
Carlton,1241.0,637.0,604.0,38.0,353.0,1.9,603.0,2.4,925.0,1257.0,260.0,2.1
Carramar,6605.0,3207.0,3398.0,32.0,1840.0,2.0,2190.0,3.2,1964.0,2297.0,400.0,2.1
Carrington,1874.0,929.0,945.0,33.0,470.0,1.6,931.0,2.2,1059.0,1733.0,280.0,1.3
Carss Park,1218.0,609.0,609.0,41.0,324.0,2.0,466.0,2.8,1352.0,3000.0,130.0,1.8
Cartwright,2256.0,1144.0,1112.0,37.0,521.0,2.1,954.0,2.6,609.0,1600.0,120.0,1.1
Castle Cove,2523.0,1250.0,1273.0,44.0,721.0,1.8,948.0,2.9,2586.0,3500.0,730.0,2.1
Castle Hill,1009.0,491.0,518.0,42.0,276.0,1.9,422.0,2.8,2587.0,2200.0,420.0,2.1
Castlecrag,2957.0,1471.0,1486.0,42.0,819.0,1.9,1033.0,3.0,2793.0,4467.0,710.0,2.0
Casula,14696.0,7167.0,7529.0,34.0,3804.0,2.0,4858.0,3.1,1366.0,2167.0,340.0,1.8
Caves Beach,3936.0,1920.0,2016.0,44.0,1149.0,1.9,1620.0,2.7,1187.0,1928.0,320.0,1.9
Cecil Hills,6865.0,3408.0,3457.0,33.0,1789.0,2.1,1911.0,3.7,1832.0,2167.0,420.0,2.3
Centennial Park,567.0,252.0,315.0,47.0,135.0,1.6,407.0,1.7,579.0,1424.0,200.0,1.2
Charlestown,12411.0,6083.0,6328.0,39.0,3548.0,1.8,5326.0,2.4,1244.0,1850.0,290.0,1.7
Charmhaven,2325.0,1126.0,1199.0,37.0,630.0,1.9,923.0,2.6,972.0,1668.0,270.0,1.7
Chatswood,21194.0,10068.0,11126.0,35.0,5568.0,1.6,9105.0,2.5,1616.0,2600.0,492.0,1.2
Chatswood West,1426.0,703.0,723.0,41.0,415.0,1.8,540.0,2.9,2503.0,3400.0,500.0,1.8
Cheltenham,2139.0,1076.0,1063.0,42.0,565.0,1.8,928.0,2.4,1088.0,1500.0,220.0,1.7
Cherrybrook,18778.0,9170.0,9608.0,40.0,5255.0,1.9,6096.0,3.2,2267.0,2600.0,525.0,2.0
Chester Hill,11752.0,5756.0,5996.0,36.0,3036.0,2.0,4110.0,3.0,935.0,2000.0,240.0,1.6
Chifley,2489.0,1259.0,1230.0,36.0,661.0,1.8,1101.0,2.4,1633.0,1950.0,363.0,1.6
Chippendale,4057.0,2195.0,1862.0,29.0,707.0,1.5,2199.0,2.0,1371.0,2167.0,440.0,0.6
Chipping Norton,8837.0,4345.0,4492.0,37.0,2471.0,1.9,3013.0,3.0,1609.0,2057.0,360.0,2.1
Chiswick,2470.0,1186.0,1284.0,35.0,696.0,1.5,1346.0,2.1,2068.0,2600.0,540.0,1.5
Chittaway Bay,1901.0,940.0,961.0,39.0,543.0,1.8,765.0,2.7,1104.0,1733.0,255.0,1.8
Chittaway Point,896.0,448.0,448.0,41.0,252.0,1.9,366.0,2.7,1187.0,2000.0,320.0,2.0
Church Point,1121.0,551.0,570.0,49.0,341.0,1.7,464.0,2.7,2272.0,3000.0,750.0,2.1
Claremont Meadows,4151.0,2071.0,2080.0,29.0,1111.0,2.0,1333.0,3.2,1652.0,2077.0,330.0,1.9
Claymore,3308.0,1486.0,1822.0,20.0,709.0,2.5,957.0,3.5,588.0,477.0,160.0,1.1
Clontarf,7911.0,3938.0,3973.0,42.0,2164.0,1.7,3567.0,2.4,985.0,1777.0,270.0,1.6
Clovelly,4581.0,2203.0,2378.0,37.0,1202.0,1.8,2013.0,2.5,2529.0,3067.0,520.0,1.4
Coal Point,1730.0,851.0,879.0,49.0,525.0,1.7,769.0,2.6,1583.0,2200.0,320.0,2.2
Coledale,1168.0,581.0,587.0,41.0,320.0,1.8,519.0,2.7,1825.0,2350.0,400.0,1.9
Collaroy,14388.0,7088.0,7300.0,38.0,3979.0,1.9,5559.0,2.8,1862.0,2668.0,475.0,1.8
Colyton,7993.0,3953.0,4040.0,34.0,2196.0,1.9,2858.0,2.9,1180.0,1885.0,290.0,1.7
Como,13399.0,6253.0,7146.0,35.0,3373.0,1.6,7214.0,2.1,1432.0,2037.0,330.0,1.5
Concord,14150.0,6892.0,7258.0,39.0,3867.0,1.9,5186.0,2.9,1734.0,2500.0,426.0,1.7
Concord West,5850.0,2849.0,3001.0,39.0,1558.0,1.9,2106.0,2.9,1750.0,2383.0,390.0,1.7
Condell Park,10417.0,5243.0,5174.0,34.0,2713.0,2.1,3365.0,3.2,1111.0,2167.0,360.0,1.8
Coniston,2180.0,1083.0,1097.0,38.0,559.0,1.8,971.0,2.4,985.0,1534.0,220.0,1.4
Connells Point,2703.0,1301.0,1402.0,42.0,757.0,2.0,975.0,2.9,1834.0,2600.0,450.0,2.0
Coogee,4142.0,2079.0,2063.0,41.0,1216.0,1.9,1599.0,2.8,1793.0,2000.0,385.0,2.1
Cooks Hill,3621.0,1767.0,1854.0,32.0,813.0,1.7,1878.0,2.1,1398.0,1950.0,310.0,1.4
Copacabana,2690.0,1342.0,1348.0,39.0,715.0,1.9,1442.0,2.8,1488.0,1924.0,350.0,1.9
Cordeaux Heights,4720.0,2385.0,2335.0,36.0,1311.0,2.1,1454.0,3.4,2082.0,1898.0,325.0,2.4
Corrimal,6325.0,3046.0,3279.0,41.0,1715.0,1.8,2776.0,2.4,963.0,1950.0,250.0,1.5
Cranebrook,14721.0,7279.0,7442.0,30.0,4054.0,2.0,4952.0,3.1,1555.0,2000.0,275.0,2.0
Cremorne,461.0,227.0,234.0,39.0,135.0,1.7,239.0,2.6,1422.0,1560.0,240.0,2.1
Cremorne Point,1978.0,961.0,1017.0,43.0,527.0,1.6,1124.0,2.0,2530.0,3525.0,540.0,1.3
Cringila,2114.0,1094.0,1020.0,36.0,561.0,1.9,750.0,3.0,831.0,1326.0,240.0,1.4
Cromer,7161.0,3486.0,3675.0,40.0,1965.0,1.9,2653.0,2.8,1659.0,2600.0,490.0,1.9
Cronulla,17042.0,8512.0,8530.0,37.0,4498.0,1.7,9209.0,2.1,1455.0,2275.0,360.0,1.5
Croudace Bay,544.0,272.0,272.0,41.0,172.0,1.9,208.0,2.7,1358.0,1984.0,300.0,2.0
Crows Nest,2039.0,974.0,1065.0,49.0,553.0,1.9,951.0,2.2,640.0,1100.0,190.0,1.6
Croydon,1394.0,678.0,716.0,37.0,374.0,1.8,601.0,2.5,1089.0,1668.0,258.0,1.5
Croydon Park,3998.0,2010.0,1988.0,36.0,980.0,1.8,1735.0,2.5,801.0,1500.0,220.0,1.5
Curl Curl,2415.0,1229.0,1186.0,37.0,631.0,2.0,885.0,2.9,2120.0,3000.0,510.0,2.0
Currans Hill,5030.0,2494.0,2536.0,29.0,1384.0,2.0,1726.0,3.1,1669.0,2167.0,360.0,1.9
Daceyville,1164.0,482.0,682.0,56.0,256.0,1.6,602.0,1.9,462.0,1600.0,108.0,0.8
Daleys Point,588.0,270.0,318.0,59.0,178.0,1.7,343.0,2.1,804.0,1550.0,335.0,1.6
Dapto,10735.0,5200.0,5535.0,39.0,3038.0,1.8,4234.0,2.6,1051.0,1733.0,250.0,1.7
Darling Point,3919.0,1789.0,2130.0,47.0,962.0,1.5,2573.0,1.9,2511.0,3200.0,650.0,1.3
Darlinghurst,10060.0,5917.0,4143.0,34.0,1863.0,1.4,6437.0,1.7,1840.0,2643.0,460.0,0.6
Darlington,3524.0,1742.0,1782.0,43.0,1055.0,1.9,1397.0,2.7,1926.0,2000.0,395.0,2.3
Davidson,2417.0,1194.0,1223.0,42.0,716.0,2.0,814.0,3.1,2403.0,3000.0,577.0,2.2
Davistown,2394.0,1122.0,1272.0,45.0,678.0,1.9,1124.0,2.4,948.0,1918.0,280.0,1.7
Dawes Point,544.0,264.0,280.0,49.0,142.0,1.4,365.0,2.0,2703.0,5500.0,670.0,1.2
Dean Park,3102.0,1559.0,1543.0,32.0,806.0,1.9,964.0,3.2,1422.0,1950.0,330.0,1.9
Dee Why,19838.0,9786.0,10052.0,35.0,5374.0,1.6,9535.0,2.2,1435.0,2370.0,410.0,1.4
Denistone,3566.0,1778.0,1788.0,40.0,996.0,1.9,1219.0,3.1,2145.0,2500.0,480.0,1.8
Denistone East,2098.0,1028.0,1070.0,39.0,600.0,1.8,734.0,3.0,1864.0,2817.0,485.0,1.9
Denistone West,911.0,442.0,469.0,39.0,254.0,1.9,310.0,3.1,1790.0,2450.0,423.0,1.8
Dharruk,2765.0,1365.0,1400.0,33.0,734.0,2.0,891.0,3.2,1179.0,1647.0,215.0,1.6
Dolans Bay,554.0,273.0,281.0,45.0,156.0,2.1,184.0,3.1,2374.0,3017.0,550.0,2.3
Dolls Point,1784.0,849.0,935.0,42.0,499.0,1.5,973.0,2.1,1206.0,2405.0,350.0,1.3
Doonside,13087.0,6423.0,6664.0,34.0,3480.0,2.0,4435.0,3.1,1110.0,1900.0,210.0,1.5
Double Bay,4687.0,2049.0,2638.0,38.0,1100.0,1.7,2540.0,2.1,2277.0,3000.0,550.0,1.2
Dover Heights,3940.0,1893.0,2047.0,39.0,1078.0,2.0,1466.0,2.9,2508.0,4275.0,501.0,1.9
Drummoyne,11378.0,5452.0,5926.0,39.0,2955.0,1.7,5271.0,2.3,2148.0,2760.0,485.0,1.5
Dudley,2267.0,1120.0,1147.0,41.0,673.0,1.8,905.0,2.6,1621.0,2000.0,295.0,1.9
Dulwich Hill,12981.0,6224.0,6757.0,36.0,3337.0,1.7,5877.0,2.3,1540.0,2200.0,360.0,1.2
Dundas,3880.0,1920.0,1960.0,35.0,1002.0,1.8,1423.0,2.8,1379.0,2167.0,323.0,1.6
Dundas Valley,4628.0,2309.0,2319.0,37.0,1211.0,1.8,1801.0,2.7,1370.0,2500.0,300.0,1.7
Dural,7357.0,3541.0,3816.0,42.0,1989.0,2.0,2546.0,3.0,1998.0,2600.0,450.0,2.2
Eagle Vale,5706.0,2782.0,2924.0,32.0,1524.0,2.0,1826.0,3.2,1459.0,1733.0,300.0,1.9
Earlwood,16753.0,8193.0,8560.0,41.0,4798.0,1.8,6305.0,2.8,1391.0,2500.0,400.0,1.7
East Gosford,3908.0,1762.0,2146.0,46.0,1021.0,1.7,2016.0,2.0,863.0,1750.0,260.0,1.2
East Hills,3274.0,1607.0,1667.0,40.0,870.0,1.9,1289.0,2.7,1319.0,2300.0,280.0,1.7
East Killara,2880.0,1421.0,1459.0,42.0,818.0,1.9,986.0,3.2,2339.0,3467.0,773.0,2.0
East Lindfield,3628.0,1754.0,1874.0,42.0,962.0,2.1,1233.0,3.1,2694.0,3267.0,877.0,1.9
East Ryde,2337.0,1148.0,1189.0,41.0,666.0,1.9,845.0,2.9,2034.0,2600.0,505.0,1.9
Eastern Creek,799.0,404.0,395.0,31.0,215.0,2.0,289.0,3.0,1068.0,1847.0,300.0,1.8
Eastlakes,6920.0,3470.0,3450.0,36.0,1755.0,1.7,2865.0,2.5,865.0,2030.0,300.0,1.1
Eastwood,778.0,384.0,394.0,41.0,173.0,1.8,442.0,2.0,1447.0,1900.0,320.0,1.4
Edensor Park,9440.0,4686.0,4754.0,35.0,2587.0,2.0,2768.0,3.5,1458.0,2026.0,350.0,2.1
Edgecliff,1981.0,935.0,1046.0,38.0,433.0,1.4,1233.0,1.8,1783.0,2817.0,500.0,0.9
Edgeworth,6252.0,2999.0,3253.0,38.0,1758.0,1.8,2550.0,2.5,1015.0,1623.0,240.0,1.7
Elanora Heights,3852.0,1889.0,1963.0,39.0,1068.0,1.9,1321.0,3.1,1997.0,3000.0,500.0,2.1
Elderslie,4252.0,2020.0,2232.0,34.0,1221.0,2.0,1593.0,2.8,1671.0,2253.0,350.0,1.9
Eleebana,5498.0,2679.0,2819.0,44.0,1629.0,1.9,2070.0,2.8,1833.0,1950.0,350.0,2.1
Elermore Vale,5186.0,2466.0,2720.0,39.0,1449.0,1.8,2042.0,2.6,1212.0,1733.0,265.0,1.8
Elizabeth Bay,5093.0,2629.0,2464.0,39.0,984.0,1.3,3838.0,1.5,1710.0,2200.0,425.0,0.7
Emerton,2394.0,1197.0,1197.0,30.0,570.0,2.2,782.0,3.1,825.0,1517.0,220.0,1.4
Empire Bay,2274.0,1138.0,1136.0,41.0,637.0,1.9,923.0,2.6,1133.0,2114.0,270.0,1.8
Emu Heights,209.0,97.0,112.0,34.0,56.0,2.1,88.0,2.5,945.0,867.0,200.0,1.6
Emu Plains,8097.0,3848.0,4249.0,38.0,2247.0,1.8,3095.0,2.6,1409.0,2126.0,320.0,1.8
Enfield,4895.0,2410.0,2485.0,35.0,1162.0,1.8,2121.0,2.4,873.0,1517.0,230.0,1.4
Engadine,16867.0,8345.0,8522.0,37.0,4839.0,1.9,6020.0,2.9,1666.0,2427.0,370.0,1.9
Enmore,3572.0,1780.0,1792.0,34.0,770.0,1.6,1757.0,2.2,1714.0,2600.0,400.0,1.0
