,People,Male,Female,Median age,Families,Average children per family,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Lilli Pilli,1280.0,644.0,636.0,44.0,371.0,2.1,435.0,3.1,2534.0,3033.0,700.0,2.3
Lilyfield,7342.0,3470.0,3872.0,38.0,1865.0,1.7,3207.0,2.4,1871.0,3111.0,390.0,1.3
Lindfield,8657.0,4167.0,4490.0,40.0,2306.0,1.9,3261.0,2.9,2414.0,3000.0,500.0,1.7
Linley Point,394.0,201.0,193.0,43.0,104.0,2.1,131.0,2.9,3023.0,5000.0,738.0,2.3
Lisarow,5038.0,2499.0,2539.0,35.0,1373.0,2.0,1691.0,3.1,1558.0,1842.0,300.0,2.0
Little Bay,2937.0,1424.0,1513.0,42.0,745.0,1.8,1233.0,2.6,1613.0,2999.0,230.0,1.6
Liverpool,24095.0,11881.0,12214.0,33.0,5971.0,1.9,9115.0,2.8,922.0,1600.0,280.0,1.3
Loftus,4016.0,2005.0,2011.0,39.0,1128.0,2.0,1435.0,2.9,1671.0,2492.0,390.0,1.9
Long Jetty,5797.0,2747.0,3050.0,42.0,1519.0,1.8,3127.0,2.2,735.0,1740.0,250.0,1.3
Long Point,202.0,105.0,97.0,42.0,62.0,2.1,68.0,3.1,1722.0,1517.0,380.0,3.1
Longueville,2099.0,1047.0,1052.0,42.0,578.0,2.1,690.0,3.2,3040.0,3900.0,600.0,2.1
Lugarno,5551.0,2727.0,2824.0,43.0,1641.0,1.9,1981.0,2.9,1811.0,2500.0,410.0,2.1
Lurnea,8610.0,4225.0,4385.0,32.0,2256.0,2.1,2936.0,3.0,883.0,1733.0,263.0,1.5
Macquarie Fields,13170.0,6345.0,6825.0,33.0,3515.0,2.0,4722.0,2.9,989.0,1690.0,213.0,1.4
Macquarie Hills,3073.0,1518.0,1555.0,34.0,879.0,1.8,1095.0,2.9,1755.0,1950.0,351.0,2.1
Macquarie Links,1093.0,554.0,539.0,38.0,305.0,1.9,352.0,3.4,2684.0,2734.0,570.0,2.2
Macquarie Park,6143.0,2832.0,3311.0,30.0,1187.0,1.5,2784.0,2.0,1258.0,2000.0,360.0,1.0
Malabar,4937.0,3117.0,1820.0,42.0,888.0,1.9,1468.0,2.6,1058.0,2600.0,105.0,1.5
Mangerton,2821.0,1448.0,1373.0,37.0,719.0,1.9,1247.0,2.5,1251.0,1840.0,215.0,1.5
Manly,3702.0,1836.0,1866.0,42.0,1000.0,1.8,1664.0,2.4,1409.0,2167.0,340.0,1.6
Manly Vale,5702.0,2798.0,2904.0,36.0,1523.0,1.7,2500.0,2.4,1555.0,2383.0,415.0,1.4
Marayong,7316.0,3577.0,3739.0,36.0,1940.0,1.9,2636.0,2.8,1149.0,1950.0,275.0,1.5
Mardi,3439.0,1686.0,1753.0,35.0,930.0,1.9,1218.0,2.9,1330.0,1997.0,320.0,1.8
Marks Point,1731.0,822.0,909.0,45.0,481.0,1.7,878.0,2.2,823.0,1650.0,235.0,1.4
Marmong Point,762.0,369.0,393.0,43.0,203.0,2.0,319.0,2.5,1172.0,1950.0,340.0,1.9
Maroubra,29594.0,14249.0,15345.0,36.0,7487.0,1.7,12853.0,2.5,1428.0,2600.0,430.0,1.3
Marrickville,24613.0,12193.0,12420.0,37.0,6170.0,1.7,10427.0,2.5,1406.0,2324.0,340.0,1.2
Marsfield,12347.0,5896.0,6451.0,34.0,3025.0,1.6,5228.0,2.5,1413.0,2300.0,410.0,1.4
Maryland,7787.0,3857.0,3930.0,34.0,2235.0,1.9,2748.0,2.9,1434.0,1796.0,300.0,2.0
Maryville,1420.0,735.0,685.0,36.0,389.0,1.5,688.0,2.3,1377.0,1820.0,330.0,1.5
Mascot,10179.0,5102.0,5077.0,35.0,2764.0,1.7,4075.0,2.6,1483.0,2600.0,450.0,1.4
Matraville,9039.0,4369.0,4670.0,40.0,2416.0,1.8,3429.0,2.8,1291.0,2600.0,310.0,1.5
Mayfield,1558.0,755.0,803.0,32.0,396.0,2.0,658.0,2.4,630.0,1036.0,160.0,1.5
Mayfield East,1710.0,847.0,863.0,36.0,422.0,1.6,773.0,2.2,1069.0,1690.0,280.0,1.4
Mayfield West,1771.0,915.0,856.0,36.0,441.0,1.7,794.0,2.3,944.0,1647.0,215.0,1.5
Mays Hill,715.0,358.0,357.0,34.0,190.0,1.8,260.0,2.9,1269.0,2167.0,330.0,1.7
McMahons Point,2344.0,1086.0,1258.0,39.0,595.0,1.5,1505.0,1.9,2549.0,3000.0,490.0,1.1
Meadowbank,3667.0,1852.0,1815.0,31.0,977.0,1.4,1985.0,2.0,1419.0,2000.0,360.0,1.0
Melrose Park,2135.0,1015.0,1120.0,38.0,582.0,1.7,1018.0,2.2,1053.0,1733.0,275.0,1.4
Menai,10529.0,5125.0,5404.0,35.0,2946.0,1.9,3477.0,3.1,1967.0,2350.0,400.0,2.0
Merewether,10469.0,5194.0,5275.0,37.0,2650.0,1.8,4802.0,2.4,1559.0,2167.0,300.0,1.7
Merewether Heights,1433.0,700.0,733.0,41.0,411.0,1.8,534.0,2.8,1901.0,2167.0,450.0,1.9
