,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Bowna,34.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10534
Springdale Heights,702.0,78.0,8.0,0.0,88.5,9.8,1.0,0.0,13622
Hay (NSW),815.0,24.0,39.0,5.0,92.0,2.7,4.4,0.6,11874
Hay South,120.0,0.0,17.0,0.0,85.7,0.0,12.1,0.0,11875
Gol Gol,484.0,0.0,16.0,4.0,95.3,0.0,3.1,0.8,11693
Buronga,366.0,12.0,30.0,27.0,84.1,2.8,6.9,6.2,10696
Wentworth (NSW),491.0,12.0,67.0,16.0,83.1,2.0,11.3,2.7,14225
Coomealla,253.0,0.0,0.0,3.0,97.7,0.0,0.0,1.2,11041
Dareton,161.0,17.0,4.0,0.0,88.5,9.3,2.2,0.0,11206
Curlwaa,128.0,0.0,0.0,8.0,94.1,0.0,0.0,5.9,11170
Euston,243.0,7.0,5.0,7.0,92.7,2.7,1.9,2.7,11468
Tooleybuc,81.0,0.0,4.0,4.0,91.0,0.0,4.5,4.5,13902
Balranald,459.0,13.0,25.0,10.0,90.0,2.5,4.9,2.0,10168
Corowa,1939.0,117.0,133.0,39.0,86.6,5.2,5.9,1.7,11080
Mulwala,710.0,42.0,100.0,14.0,81.3,4.8,11.5,1.6,12830
Oaklands,129.0,0.0,4.0,0.0,94.9,0.0,2.9,0.0,13059
Howlong,947.0,33.0,35.0,36.0,90.1,3.1,3.3,3.4,11950
Urana,134.0,0.0,3.0,0.0,97.8,0.0,2.2,0.0,14052
Deniliquin,2689.0,62.0,235.0,36.0,88.1,2.0,7.7,1.2,11237
Mathoura,355.0,7.0,22.0,26.0,86.6,1.7,5.4,6.3,12522
Barham,540.0,39.0,37.0,20.0,84.5,6.1,5.8,3.1,10199
Moulamein,174.0,0.0,6.0,0.0,94.1,0.0,3.2,0.0,12743
Moama,1952.0,125.0,174.0,57.0,84.2,5.4,7.5,2.5,12654
Barooga,578.0,31.0,33.0,28.0,86.3,4.6,4.9,4.2,10205
Tocumwal,947.0,23.0,39.0,73.0,87.5,2.1,3.6,6.7,13886
Finley,878.0,52.0,30.0,12.0,90.1,5.3,3.1,1.2,11520
Berrigan,460.0,0.0,25.0,8.0,93.3,0.0,5.1,1.6,10318
Jerilderie,357.0,0.0,25.0,3.0,92.0,0.0,6.4,0.8,12014
Armidale,6590.0,892.0,505.0,31.0,81.5,11.0,6.2,0.4,10085
Guyra,697.0,13.0,26.0,0.0,93.7,1.7,3.5,0.0,11822
South Guyra,107.0,4.0,0.0,0.0,96.4,3.6,0.0,0.0,13586
Uralla (NSW),1018.0,13.0,29.0,20.0,93.8,1.2,2.7,1.8,14051
Invergowrie,265.0,0.0,0.0,0.0,98.5,0.0,0.0,0.0,11983
Castle Doyle,55.0,0.0,0.0,0.0,94.8,0.0,0.0,0.0,10846
Walcha,926.0,3.0,26.0,13.0,94.3,0.3,2.6,1.3,14093
Woolbrook,54.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,14400
Yarrowitch,70.0,0.0,0.0,3.0,95.9,0.0,0.0,4.1,14491
Glen Innes,2217.0,37.0,115.0,27.0,90.7,1.5,4.7,1.1,11649
Emmaville,214.0,0.0,5.0,7.0,94.7,0.0,2.2,3.1,11414
Deepwater (NSW),180.0,0.0,0.0,0.0,96.3,0.0,0.0,0.0,11231
