,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Beaumont Hills,2372.0,93.0,0.0,0.0,96.1,3.8,0.0,0.0,10243
Nelson (The Hills Shire - NSW),138.0,3.0,0.0,0.0,97.9,2.1,0.0,0.0,12922
Box Hill (NSW),261.0,0.0,0.0,0.0,97.8,0.0,0.0,0.0,10539
Blacktown,10182.0,2433.0,2232.0,7.0,68.3,16.3,15.0,0.0,10397
Kings Park (NSW),1073.0,85.0,0.0,0.0,92.7,7.3,0.0,0.0,12150
Acacia Gardens,235.0,836.0,37.0,0.0,21.1,75.2,3.3,0.0,10014
Quakers Hill,3416.0,4270.0,443.0,3.0,41.7,52.1,5.4,0.0,13286
Marayong,2190.0,219.0,110.0,7.0,86.3,8.6,4.3,0.3,12485
Woodcroft (NSW),1478.0,347.0,0.0,0.0,80.9,19.0,0.0,0.0,14381
Bungarribee,675.0,9.0,0.0,3.0,98.3,1.3,0.0,0.4,10682
Doonside,3707.0,366.0,63.0,0.0,89.2,8.8,1.5,0.0,11275
Seven Hills (NSW),5530.0,670.0,80.0,31.0,87.3,10.6,1.3,0.5,13518
Lalor Park,2515.0,41.0,172.0,15.0,91.5,1.5,6.3,0.5,12261
Kings Langley,2863.0,142.0,15.0,3.0,94.6,4.7,0.5,0.1,12149
Toongabbie (NSW),2983.0,1101.0,424.0,0.0,65.6,24.2,9.3,0.0,13907
Prospect (NSW),1336.0,101.0,12.0,0.0,91.8,6.9,0.8,0.0,13266
Glenwood (NSW),4279.0,126.0,3.0,0.0,96.9,2.9,0.1,0.0,11682
Parklea,425.0,231.0,0.0,0.0,64.8,35.2,0.0,0.0,13153
Stanhope Gardens,2391.0,396.0,3.0,0.0,85.6,14.2,0.1,0.0,13649
Kellyville Ridge,2526.0,85.0,257.0,0.0,87.8,3.0,8.9,0.0,12089
The Ponds,2203.0,1055.0,0.0,0.0,67.5,32.3,0.0,0.0,13835
Riverstone,2151.0,77.0,8.0,48.0,93.3,3.3,0.3,2.1,13368
Schofields,1232.0,262.0,3.0,25.0,80.4,17.1,0.2,1.6,13502
Shanes Park,111.0,0.0,0.0,0.0,97.4,0.0,0.0,0.0,13524
Marsden Park,198.0,3.0,0.0,143.0,56.9,0.9,0.0,41.1,12505
Colebee,526.0,0.0,0.0,0.0,99.4,0.0,0.0,0.0,10965
Bidwill (NSW),826.0,429.0,23.0,0.0,64.6,33.6,1.8,0.0,10340
Hebersham,1513.0,85.0,24.0,0.0,93.1,5.2,1.5,0.0,11886
Dharruk,809.0,11.0,0.0,3.0,97.9,1.3,0.0,0.4,11248
Blackett,924.0,93.0,14.0,0.0,89.6,9.0,1.4,0.0,10392
Emerton,548.0,93.0,57.0,0.0,78.5,13.3,8.2,0.0,11413
Glendenning,1394.0,35.0,0.0,0.0,97.6,2.4,0.0,0.0,11659
Dean Park,906.0,36.0,3.0,0.0,95.9,3.8,0.3,0.0,11224
Plumpton (NSW),2067.0,379.0,0.0,0.0,84.2,15.4,0.0,0.0,13230
Oakhurst (NSW),1819.0,87.0,0.0,0.0,95.4,4.6,0.0,0.0,13058
Hassall Grove,1180.0,37.0,0.0,4.0,96.6,3.0,0.0,0.3,11866
Shalvey,915.0,88.0,6.0,0.0,90.7,8.7,0.6,0.0,13523
Willmot,632.0,68.0,23.0,0.0,87.4,9.4,3.2,0.0,14302
Tregear,1046.0,34.0,85.0,15.0,88.4,2.9,7.2,1.3,13934
Lethbridge Park,1353.0,48.0,100.0,9.0,89.4,3.2,6.6,0.6,12307
Ropes Crossing,1712.0,109.0,0.0,0.0,93.4,5.9,0.0,0.0,13397
Mount Druitt,2231.0,1401.0,1270.0,18.0,45.2,28.4,25.7,0.4,12756
Whalan,1637.0,113.0,96.0,6.0,88.2,6.1,5.2,0.3,14266
Eastern Creek,228.0,13.0,0.0,0.0,94.6,5.4,0.0,0.0,11366
Minchinbury,1518.0,29.0,51.0,0.0,94.8,1.8,3.2,0.0,12633
Rooty Hill,3196.0,793.0,49.0,17.0,78.7,19.5,1.2,0.4,13395
Botany,1187.0,953.0,1450.0,39.0,32.5,26.1,39.7,1.1,10517
Mascot,1662.0,331.0,3156.0,17.0,31.9,6.4,60.7,0.3,12519
Eastlakes,699.0,63.0,1823.0,3.0,27.0,2.4,70.3,0.1,11368
Rosebery (NSW),1240.0,231.0,2150.0,60.0,33.3,6.2,57.7,1.6,13405
Pagewood,936.0,134.0,177.0,3.0,74.9,10.7,14.2,0.2,13125
Daceyville,83.0,359.0,93.0,0.0,15.5,67.1,17.4,0.0,11185
Hillsdale,108.0,155.0,1693.0,0.0,5.5,7.9,86.6,0.0,11911
Eastgardens,235.0,35.0,31.0,0.0,78.1,11.6,10.3,0.0,11367
Matraville,1592.0,1028.0,689.0,4.0,47.9,31.0,20.7,0.1,12524
Marrickville,3159.0,1967.0,4411.0,160.0,32.4,20.2,45.2,1.6,12504
Petersham,703.0,873.0,1465.0,67.0,22.4,27.8,46.7,2.1,13190
Dulwich Hill,1695.0,617.0,2952.0,171.0,31.0,11.3,54.0,3.1,11303
Newtown (NSW),254.0,3296.0,2373.0,150.0,4.2,54.0,38.9,2.5,12960
Lewisham (NSW),455.0,227.0,496.0,21.0,37.5,18.7,40.9,1.7,12313
Stanmore (NSW),581.0,1204.0,1143.0,70.0,19.1,39.7,37.6,2.3,13650
Camperdown (NSW),88.0,934.0,3408.0,15.0,2.0,20.9,76.4,0.3,10781
Enmore (Inner West - NSW),228.0,703.0,528.0,65.0,14.7,45.4,34.1,4.2,11425
St Peters (NSW),279.0,558.0,352.0,13.0,23.0,46.1,29.1,1.1,13644
Sydenham (NSW),168.0,192.0,40.0,15.0,40.1,45.8,9.5,3.6,13714
Tempe,806.0,326.0,75.0,14.0,65.8,26.6,6.1,1.1,13785
Darlinghurst,25.0,1063.0,3877.0,12.0,0.5,21.1,77.0,0.2,11212
Erskineville,119.0,1382.0,1905.0,17.0,3.5,40.2,55.3,0.5,11439
Alexandria,122.0,1227.0,2205.0,16.0,3.4,34.1,61.3,0.4,10030
Glebe (NSW),236.0,2432.0,1994.0,60.0,4.9,51.0,41.8,1.3,11641
Forest Lodge,30.0,781.0,1051.0,8.0,1.6,41.6,55.9,0.4,11546
Annandale (NSW),163.0,2348.0,977.0,72.0,4.5,65.4,27.2,2.0,10061
Darlington (Sydney - NSW),40.0,578.0,519.0,10.0,3.4,49.3,44.2,0.9,11214
Potts Point,17.0,365.0,3169.0,29.0,0.5,10.1,87.7,0.8,13256
Elizabeth Bay,12.0,21.0,2811.0,0.0,0.4,0.7,98.6,0.0,11395
Sydney,10.0,0.0,5961.0,34.0,0.2,0.0,98.9,0.6,13715
Woolloomooloo,8.0,423.0,1434.0,6.0,0.4,22.5,76.2,0.3,14406
Rushcutters Bay,4.0,5.0,1249.0,4.0,0.3,0.4,97.2,0.3,13444
Pyrmont,58.0,349.0,4945.0,5.0,1.1,6.5,92.1,0.1,13284
Ultimo,5.0,234.0,2583.0,0.0,0.2,8.2,90.6,0.0,14006
Redfern,49.0,1676.0,3948.0,58.0,0.8,29.0,68.3,1.0,13339
Eveleigh,3.0,33.0,213.0,0.0,1.2,13.3,85.5,0.0,11471
Chippendale,11.0,371.0,2929.0,24.0,0.3,11.0,87.1,0.7,10907
Surry Hills,27.0,2090.0,4984.0,29.0,0.4,29.1,69.4,0.4,13699
Haymarket,0.0,0.0,1952.0,0.0,0.0,0.0,99.8,0.0,11877
Dawes Point,3.0,36.0,119.0,0.0,1.9,22.8,75.3,0.0,11222
Millers Point,3.0,56.0,602.0,0.0,0.5,8.4,90.7,0.0,12619
Barangaroo,3.0,0.0,49.0,0.0,5.8,0.0,94.2,0.0,10191
Balmain East,42.0,426.0,317.0,3.0,5.3,53.9,40.1,0.4,10165
The Rocks (Sydney - NSW),0.0,18.0,232.0,0.0,0.0,7.2,92.8,0.0,13840
Waterloo (NSW),19.0,622.0,5813.0,9.0,0.3,9.6,89.7,0.1,14183
Zetland,8.0,333.0,3840.0,0.0,0.2,7.9,91.4,0.0,14524
Beaconsfield (NSW),38.0,199.0,145.0,4.0,9.6,50.4,36.7,1.0,10239
Bronte,759.0,462.0,1175.0,34.0,31.1,18.9,48.2,1.4,10594
Tamarama,121.0,88.0,374.0,0.0,20.6,15.0,63.7,0.0,13741
Bondi,295.0,492.0,3096.0,56.0,7.4,12.3,77.6,1.4,10464
Bondi Beach,213.0,530.0,3980.0,3.0,4.5,11.2,83.9,0.1,10465
North Bondi,617.0,953.0,1683.0,6.0,18.9,29.2,51.6,0.2,12984
Waverley (NSW),245.0,385.0,837.0,18.0,16.4,25.8,56.2,1.2,14200
Bondi Junction,201.0,982.0,2218.0,195.0,5.6,27.2,61.4,5.4,10467
Queens Park (NSW),374.0,417.0,282.0,4.0,34.6,38.6,26.1,0.4,13294
Centennial Park (NSW),102.0,108.0,871.0,0.0,9.4,9.9,80.0,0.0,10873
Darling Point,118.0,102.0,1624.0,0.0,6.3,5.5,87.3,0.0,11211
Edgecliff,52.0,245.0,835.0,0.0,4.6,21.6,73.6,0.0,11379
Double Bay,290.0,190.0,1494.0,12.0,14.6,9.6,75.1,0.6,11281
Bellevue Hill,1309.0,173.0,2360.0,18.0,33.8,4.5,60.9,0.5,10271
Rose Bay (NSW),852.0,321.0,2645.0,29.0,22.1,8.3,68.5,0.8,13398
Paddington (NSW),146.0,3369.0,1688.0,50.0,2.8,63.7,31.9,0.9,13115
Point Piper,142.0,18.0,382.0,0.0,26.2,3.3,70.5,0.0,13233
Vaucluse,1549.0,278.0,1248.0,47.0,49.5,8.9,39.9,1.5,14071
Dover Heights,838.0,141.0,276.0,0.0,66.5,11.2,21.9,0.0,11284
Watsons Bay,122.0,71.0,57.0,12.0,46.0,26.8,21.5,4.5,14187
Woollahra,438.0,977.0,1464.0,15.0,15.0,33.5,50.2,0.5,14404
Clovelly,433.0,470.0,842.0,36.0,24.2,26.3,47.1,2.0,10938
South Coogee,754.0,348.0,937.0,16.0,36.5,16.9,45.4,0.8,13579
Coogee (NSW),637.0,554.0,4782.0,36.0,10.6,9.2,79.3,0.6,11015
La Perouse,108.0,15.0,14.0,0.0,78.8,10.9,10.2,0.0,12230
Little Bay,496.0,266.0,806.0,0.0,31.5,16.9,51.2,0.0,12349
Malabar,795.0,149.0,350.0,8.0,60.9,11.4,26.8,0.6,12453
Chifley (NSW),611.0,252.0,195.0,3.0,57.3,23.6,18.3,0.3,10901
Phillip Bay,194.0,10.0,11.0,0.0,90.2,4.7,5.1,0.0,13193
Kensington (NSW),890.0,299.0,3375.0,43.0,19.2,6.5,72.9,0.9,12099
Kingsford (NSW),1756.0,663.0,2915.0,33.0,32.5,12.3,53.9,0.6,12156
Maroubra,3444.0,2365.0,5436.0,71.0,30.3,20.8,47.9,0.6,12501
Randwick,1607.0,1888.0,7747.0,199.0,14.0,16.5,67.5,1.7,13312
Georges Hall,2279.0,285.0,52.0,9.0,86.7,10.8,2.0,0.3,11601
Bass Hill,1924.0,562.0,167.0,16.0,72.0,21.0,6.2,0.6,10224
Yagoona,3548.0,797.0,863.0,14.0,67.7,15.2,16.5,0.3,14453
Villawood,1301.0,128.0,320.0,12.0,73.7,7.2,18.1,0.7,14074
Greenacre,4363.0,1955.0,392.0,26.0,64.5,28.9,5.8,0.4,11757
Potts Hill,118.0,62.0,67.0,0.0,47.8,25.1,27.1,0.0,13255
Milperra,1205.0,57.0,0.0,0.0,95.3,4.5,0.0,0.0,12625
Revesby,2951.0,1305.0,305.0,20.0,64.0,28.3,6.6,0.4,13355
Condell Park,2204.0,958.0,33.0,11.0,68.3,29.7,1.0,0.3,11001
Bankstown,3162.0,1089.0,5227.0,64.0,33.0,11.4,54.5,0.7,10180
Mount Lewis,302.0,44.0,0.0,0.0,87.3,12.7,0.0,0.0,12774
Punchbowl (Canterbury-Bankstown - NSW),3341.0,1003.0,1254.0,74.0,58.6,17.6,22.0,1.3,13273
Padstow,3006.0,1209.0,232.0,11.0,67.2,27.0,5.2,0.2,13120
Padstow Heights,876.0,174.0,177.0,0.0,71.4,14.2,14.4,0.0,13121
Panania,2969.0,999.0,98.0,51.0,71.9,24.2,2.4,1.2,13144
East Hills,736.0,252.0,134.0,7.0,65.2,22.3,11.9,0.6,11351
Picnic Point,1508.0,462.0,3.0,0.0,76.2,23.4,0.2,0.0,13199
Revesby Heights,399.0,116.0,0.0,4.0,76.9,22.4,0.0,0.8,13356
Birrong,760.0,96.0,37.0,3.0,83.8,10.6,4.1,0.3,10379
Belmore,2056.0,437.0,1727.0,23.0,48.3,10.3,40.6,0.5,10279
Belfield,1401.0,522.0,138.0,14.0,67.4,25.1,6.6,0.7,10257
Campsie,1836.0,902.0,5174.0,18.0,23.1,11.3,65.0,0.2,10782
Canterbury (NSW),997.0,218.0,1292.0,59.0,38.7,8.5,50.1,2.3,10797
Clemton Park,412.0,95.0,3.0,0.0,80.8,18.6,0.6,0.0,10928
Earlwood,4682.0,496.0,545.0,7.0,81.5,8.6,9.5,0.1,11343
Kingsgrove,3409.0,320.0,351.0,48.0,82.3,7.7,8.5,1.2,12158
Riverwood,1742.0,551.0,2016.0,55.0,39.8,12.6,46.0,1.3,13371
Roselands,2319.0,572.0,684.0,20.0,64.4,15.9,19.0,0.6,13409
Beverly Hills,2243.0,548.0,508.0,22.0,67.4,16.5,15.3,0.7,10331
Narwee,967.0,395.0,541.0,13.0,50.4,20.6,28.2,0.7,12912
Lakemba,1215.0,191.0,3445.0,25.0,24.8,3.9,70.4,0.5,12257
Wiley Park,876.0,164.0,2026.0,10.0,28.5,5.3,65.8,0.3,14293
Hurstville,3062.0,806.0,5601.0,17.0,32.2,8.5,58.8,0.2,11964
Carlton (NSW),1733.0,241.0,1548.0,46.0,48.1,6.7,43.0,1.3,10819
Penshurst (NSW),1792.0,613.0,1956.0,6.0,40.9,14.0,44.7,0.1,13186
Oatley,2558.0,376.0,596.0,29.0,71.7,10.5,16.7,0.8,13064
Mortdale,1617.0,604.0,1514.0,5.0,43.1,16.1,40.4,0.1,12728
Peakhurst,2318.0,928.0,173.0,16.0,67.2,26.9,5.0,0.5,13168
Hurstville Grove,718.0,71.0,35.0,0.0,86.6,8.6,4.2,0.0,11965
Lugarno,1745.0,81.0,13.0,6.0,94.6,4.4,0.7,0.3,12421
Peakhurst Heights,731.0,76.0,3.0,4.0,89.8,9.3,0.4,0.5,13169
South Hurstville,845.0,376.0,406.0,4.0,51.7,23.0,24.8,0.2,13587
Blakehurst,1667.0,124.0,92.0,12.0,87.7,6.5,4.8,0.6,10403
Kyle Bay,306.0,7.0,0.0,0.0,97.8,2.2,0.0,0.0,12227
Connells Point,809.0,92.0,0.0,0.0,89.8,10.2,0.0,0.0,11013
Carss Park,335.0,61.0,30.0,0.0,77.9,14.2,7.0,0.0,10837
Arncliffe,1547.0,440.0,1401.0,33.0,44.9,12.8,40.7,1.0,10086
Wolli Creek,32.0,11.0,2415.0,0.0,1.3,0.4,97.3,0.0,14353
Turrella,390.0,60.0,315.0,0.0,50.7,7.8,41.0,0.0,13982
Bardwell Valley,538.0,200.0,28.0,6.0,69.7,25.9,3.6,0.8,10196
Bardwell Park,655.0,49.0,48.0,16.0,85.3,6.4,6.2,2.1,10195
Bexley,3216.0,1561.0,1199.0,53.0,53.2,25.8,19.8,0.9,10334
Kogarah,1323.0,401.0,3502.0,45.0,25.0,7.6,66.3,0.9,12181
Bexley North,1056.0,157.0,156.0,24.0,75.6,11.2,11.2,1.7,10335
Allawah,343.0,74.0,1594.0,13.0,16.9,3.7,78.6,0.6,10038
Beverley Park,610.0,70.0,132.0,0.0,75.1,8.6,16.3,0.0,10330
Kogarah Bay,595.0,24.0,0.0,0.0,95.7,3.9,0.0,0.0,12182
Kyeemagh,270.0,34.0,10.0,3.0,85.2,10.7,3.2,0.9,12226
Brighton-le-Sands,985.0,270.0,2021.0,4.0,30.0,8.2,61.6,0.1,10569
Rockdale,1370.0,296.0,3429.0,92.0,26.3,5.7,65.7,1.8,13379
Monterey,715.0,352.0,602.0,4.0,42.5,20.9,35.7,0.2,12686
Banksia,816.0,94.0,119.0,25.0,77.2,8.9,11.3,2.4,10178
Sandringham (NSW),288.0,40.0,135.0,0.0,62.2,8.6,29.2,0.0,13478
Dolls Point,120.0,98.0,529.0,0.0,16.1,13.1,70.8,0.0,11267
Sans Souci,1935.0,1167.0,779.0,44.0,49.2,29.7,19.8,1.1,13489
Ramsgate,236.0,34.0,109.0,5.0,60.8,8.8,28.1,1.3,13309
Ramsgate Beach,111.0,237.0,364.0,0.0,15.6,33.3,51.1,0.0,13310
Concord,3400.0,483.0,782.0,107.0,70.9,10.1,16.3,2.2,10999
Breakfast Point,99.0,77.0,1561.0,0.0,5.7,4.4,89.3,0.0,10557
Cabarita (NSW),283.0,133.0,273.0,5.0,40.6,19.1,39.2,0.7,10736
Mortlake (NSW),45.0,83.0,263.0,3.0,11.3,20.9,66.1,0.8,12729
North Strathfield,540.0,121.0,911.0,31.0,33.5,7.5,56.5,1.9,13009
Concord West,1547.0,142.0,193.0,12.0,81.4,7.5,10.2,0.6,11000
Sydney Olympic Park,0.0,0.0,644.0,0.0,0.0,0.0,100.0,0.0,13716
Liberty Grove,56.0,214.0,450.0,0.0,7.8,29.7,62.5,0.0,12315
Rhodes,176.0,78.0,4454.0,0.0,3.7,1.7,94.6,0.0,13358
Drummoyne,1440.0,517.0,2557.0,49.0,31.1,11.2,55.3,1.1,11293
Russell Lea,1228.0,121.0,421.0,13.0,68.6,6.8,23.5,0.7,13447
Rodd Point,448.0,25.0,0.0,4.0,93.9,5.2,0.0,0.8,13391
Abbotsford (NSW),623.0,328.0,1184.0,10.0,28.9,15.2,54.9,0.5,10003
Chiswick,195.0,63.0,950.0,0.0,16.1,5.2,78.4,0.0,10910
Five Dock,1633.0,421.0,1274.0,47.0,48.2,12.4,37.6,1.4,11530
Canada Bay,258.0,74.0,108.0,0.0,58.2,16.7,24.4,0.0,10785
Wareemba,323.0,58.0,175.0,19.0,55.9,10.0,30.3,3.3,14148
Balmain,361.0,2308.0,1484.0,11.0,8.6,55.0,35.4,0.3,10164
Birchgrove,45.0,974.0,235.0,0.0,3.6,77.3,18.7,0.0,10374
Woolwich,197.0,18.0,69.0,0.0,67.7,6.2,23.7,0.0,14412
Leichhardt (NSW),1904.0,2235.0,1177.0,63.0,35.1,41.2,21.7,1.2,12297
Lilyfield,590.0,1563.0,645.0,8.0,20.9,55.5,22.9,0.3,12325
Rozelle,481.0,1675.0,1208.0,65.0,14.0,48.6,35.0,1.9,13435
Ashfield (NSW),1983.0,674.0,5665.0,39.0,23.2,7.9,66.3,0.5,10098
Summer Hill (Inner West - NSW),565.0,462.0,1843.0,4.0,19.6,16.0,64.0,0.1,13687
Hurlstone Park,974.0,244.0,425.0,56.0,57.2,14.3,25.0,3.3,11963
Ashbury,947.0,91.0,18.0,6.0,89.2,8.6,1.7,0.6,10093
Burwood (NSW),1417.0,573.0,3232.0,21.0,26.8,10.8,61.1,0.4,10718
Croydon (NSW),1952.0,544.0,921.0,32.0,56.3,15.7,26.6,0.9,11134
Strathfield (NSW),3797.0,384.0,3786.0,36.0,47.3,4.8,47.1,0.4,13675
Croydon Park (NSW),1735.0,1109.0,979.0,16.0,45.0,28.7,25.4,0.4,11135
Enfield (NSW),432.0,307.0,245.0,0.0,43.8,31.1,24.8,0.0,11421
Burwood Heights,177.0,49.0,65.0,0.0,60.8,16.8,22.3,0.0,10719
Haberfield,1679.0,292.0,168.0,22.0,77.3,13.4,7.7,1.0,11828
Homebush West,169.0,66.0,2405.0,3.0,6.2,2.4,88.7,0.1,11930
Homebush (NSW),554.0,192.0,1403.0,80.0,24.6,8.5,62.2,3.5,11929
Strathfield South,685.0,188.0,267.0,11.0,59.2,16.2,23.1,0.9,13676
Chatswood,2633.0,408.0,5831.0,8.0,29.6,4.6,65.6,0.1,10892
North Willoughby,773.0,244.0,448.0,12.0,52.2,16.5,30.2,0.8,13016
Willoughby (NSW),1380.0,263.0,572.0,19.0,61.7,11.8,25.6,0.8,14303
Artarmon,803.0,314.0,2457.0,8.0,22.4,8.7,68.4,0.2,10090
Roseville,2365.0,100.0,746.0,4.0,73.4,3.1,23.2,0.1,13412
Lane Cove North,1099.0,290.0,3168.0,4.0,24.1,6.4,69.4,0.1,12267
Chatswood West,460.0,25.0,0.0,0.0,94.8,5.2,0.0,0.0,10893
Lane Cove West,615.0,110.0,213.0,0.0,65.6,11.7,22.7,0.0,12268
Lane Cove,1445.0,334.0,2478.0,10.0,33.8,7.8,58.0,0.2,12266
Riverview (NSW),893.0,9.0,6.0,0.0,95.4,1.0,0.6,0.0,13370
Greenwich,1031.0,89.0,942.0,3.0,49.6,4.3,45.3,0.1,11770
Northwood (NSW),269.0,6.0,8.0,0.0,95.1,2.1,2.8,0.0,13024
Longueville,645.0,3.0,5.0,0.0,98.8,0.5,0.8,0.0,12385
St Leonards (NSW),111.0,25.0,2367.0,4.0,4.4,1.0,94.0,0.2,13642
Naremburn,861.0,448.0,912.0,0.0,38.7,20.1,41.0,0.0,12898
Cammeray,729.0,474.0,1770.0,16.0,24.4,15.8,59.1,0.5,10778
Castle Cove,773.0,10.0,47.0,0.0,92.8,1.2,5.6,0.0,10845
Castlecrag,887.0,14.0,11.0,3.0,96.5,1.5,1.2,0.3,10849
Northbridge (NSW),1554.0,168.0,287.0,5.0,76.6,8.3,14.2,0.2,13022
Middle Cove,414.0,9.0,4.0,0.0,97.0,2.1,0.9,0.0,12602
Willoughby East,523.0,30.0,0.0,0.0,94.6,5.4,0.0,0.0,14304
Hornsby Heights,1968.0,42.0,0.0,0.0,97.8,2.1,0.0,0.0,11937
Mount Colah,2149.0,92.0,7.0,0.0,95.2,4.1,0.3,0.0,12750
Asquith,910.0,124.0,45.0,8.0,83.4,11.4,4.1,0.7,10103
Hornsby,2980.0,518.0,4627.0,8.0,36.5,6.3,56.7,0.1,11936
Mount Kuring-Gai,518.0,25.0,0.0,0.0,94.0,4.5,0.0,0.0,12772
Cowan,207.0,3.0,0.0,0.0,98.6,1.4,0.0,0.0,11097
Berowra,1403.0,86.0,0.0,0.0,94.0,5.8,0.0,0.0,10308
Brooklyn (NSW),234.0,0.0,17.0,3.0,88.0,0.0,6.4,1.1,10599
Berowra Heights,1639.0,52.0,13.0,0.0,95.9,3.0,0.8,0.0,10310
Normanhurst,1320.0,275.0,113.0,6.0,76.9,16.0,6.6,0.3,12976
Thornleigh,2183.0,456.0,42.0,3.0,81.1,16.9,1.6,0.1,13850
Westleigh,1403.0,51.0,0.0,0.0,96.5,3.5,0.0,0.0,14260
Wahroonga,4157.0,304.0,975.0,0.0,76.2,5.6,17.9,0.0,14085
Waitara,275.0,172.0,1863.0,7.0,11.9,7.4,80.4,0.3,14086
East Killara,883.0,3.0,0.0,0.0,99.7,0.3,0.0,0.0,11355
Killara (NSW),2007.0,66.0,1414.0,0.0,57.5,1.9,40.5,0.0,12129
Lindfield,1990.0,75.0,1245.0,10.0,59.7,2.3,37.4,0.3,12339
Gordon (NSW),1444.0,103.0,1002.0,0.0,56.6,4.0,39.3,0.0,11718
East Lindfield,1038.0,3.0,123.0,0.0,89.2,0.3,10.6,0.0,11357
Roseville Chase,484.0,20.0,0.0,0.0,96.0,4.0,0.0,0.0,13413
Pymble,2783.0,75.0,588.0,3.0,80.4,2.2,17.0,0.1,13281
West Pymble,1586.0,35.0,19.0,0.0,96.5,2.1,1.2,0.0,14250
St Ives (NSW),4088.0,553.0,1180.0,0.0,70.1,9.5,20.2,0.0,13639
St Ives Chase,938.0,17.0,15.0,0.0,96.7,1.8,1.5,0.0,13640
Turramurra,2980.0,159.0,885.0,0.0,73.9,3.9,22.0,0.0,13980
South Turramurra,952.0,17.0,0.0,0.0,98.2,1.8,0.0,0.0,13598
North Turramurra,1021.0,179.0,261.0,0.0,69.7,12.2,17.8,0.0,13013
Warrawee,682.0,0.0,290.0,0.0,70.2,0.0,29.8,0.0,14165
North Wahroonga,609.0,35.0,6.0,0.0,93.7,5.4,0.9,0.0,13015
Cremorne Point,141.0,83.0,818.0,0.0,13.5,7.9,78.2,0.0,11113
Cremorne (NSW),867.0,558.0,3441.0,8.0,17.8,11.4,70.5,0.2,11112
Neutral Bay,336.0,511.0,3744.0,18.0,7.3,11.1,81.0,0.4,12934
Crows Nest (NSW),221.0,648.0,1191.0,14.0,10.6,31.1,57.1,0.7,11131
Wollstonecraft,251.0,498.0,2955.0,0.0,6.8,13.4,79.6,0.0,14359
Waverton,218.0,433.0,684.0,0.0,16.2,32.3,51.0,0.0,14202
North Sydney,229.0,421.0,2683.0,12.0,6.8,12.5,79.9,0.4,13010
Mosman,3901.0,1339.0,5701.0,49.0,35.4,12.1,51.7,0.4,12738
Kirribilli,88.0,150.0,1637.0,3.0,4.7,7.9,86.6,0.2,12173
Kurraba Point,96.0,42.0,544.0,0.0,14.1,6.2,79.8,0.0,12217
Milsons Point,3.0,3.0,1021.0,0.0,0.3,0.3,99.1,0.0,12629
McMahons Point,107.0,286.0,661.0,0.0,10.1,27.1,62.5,0.0,12547
Lavender Bay,27.0,120.0,300.0,0.0,6.0,26.7,66.7,0.0,12285
Seaforth (NSW),1879.0,197.0,102.0,5.0,85.9,9.0,4.7,0.2,13509
Balgowlah Heights,980.0,28.0,0.0,9.0,96.1,2.7,0.0,0.9,10154
Clontarf (NSW),498.0,28.0,0.0,0.0,94.7,5.3,0.0,0.0,10935
Balgowlah,1026.0,701.0,1241.0,27.0,34.1,23.3,41.3,0.9,10153
Manly (NSW),739.0,723.0,5014.0,22.0,11.3,11.1,76.9,0.3,12475
Fairlight,638.0,494.0,1151.0,10.0,27.7,21.5,50.0,0.4,11482
Avalon Beach,2663.0,75.0,537.0,9.0,80.8,2.3,16.3,0.3,10111
Palm Beach (NSW),536.0,3.0,46.0,0.0,89.6,0.5,7.7,0.0,13132
Whale Beach,94.0,0.0,0.0,0.0,96.9,0.0,0.0,0.0,14267
Clareville,276.0,0.0,0.0,0.0,98.9,0.0,0.0,0.0,10923
Scotland Island,202.0,0.0,0.0,4.0,96.7,0.0,0.0,1.9,13505
Elanora Heights,1205.0,14.0,98.0,0.0,90.9,1.1,7.4,0.0,11389
Ingleside,257.0,7.0,0.0,15.0,91.1,2.5,0.0,5.3,11979
Bayview (NSW),843.0,412.0,183.0,0.0,58.5,28.6,12.7,0.0,10237
Church Point,329.0,7.0,14.0,3.0,92.4,2.0,3.9,0.8,10915
Lovett Bay,29.0,0.0,0.0,3.0,90.6,0.0,0.0,9.4,12397
Mona Vale,1979.0,641.0,1078.0,27.0,52.8,17.1,28.8,0.7,12672
Newport (NSW),2142.0,220.0,897.0,54.0,64.2,6.6,26.9,1.6,12956
Bilgola Plateau,1131.0,0.0,19.0,0.0,98.3,0.0,1.7,0.0,10351
Warriewood,1181.0,644.0,574.0,0.0,49.1,26.8,23.8,0.0,14173
North Narrabeen,1598.0,61.0,67.0,94.0,86.8,3.3,3.6,5.1,12999
Beacon Hill,2030.0,105.0,79.0,0.0,91.3,4.7,3.6,0.0,10238
Narraweena,1580.0,336.0,266.0,4.0,71.7,15.2,12.1,0.2,12910
Cromer (NSW),1921.0,216.0,365.0,4.0,76.3,8.6,14.5,0.2,11118
Oxford Falls,33.0,8.0,0.0,0.0,80.5,19.5,0.0,0.0,13106
Dee Why,1440.0,271.0,6910.0,16.0,16.6,3.1,79.8,0.2,11227
North Curl Curl,1050.0,63.0,64.0,3.0,88.5,5.3,5.4,0.3,12988
Forestville (NSW),2227.0,209.0,303.0,0.0,80.9,7.6,11.0,0.0,11548
