,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
North Gosford,849.0,305.0,40.0,69.3,24.9,3.3
North Lambton,800.0,302.0,96.0,64.8,24.5,7.8
North Manly,699.0,153.0,32.0,77.2,16.9,3.5
North Narrabeen,1449.0,330.0,75.0,74.0,16.8,3.8
North Parramatta,1748.0,1080.0,225.0,52.0,32.1,6.7
North Rocks,2102.0,244.0,36.0,87.2,10.1,1.5
North Ryde,2664.0,656.0,109.0,75.7,18.7,3.1
North St Marys,1011.0,232.0,28.0,77.6,17.8,2.1
North Strathfield,811.0,222.0,77.0,69.7,19.1,6.6
North Sydney,1069.0,1016.0,262.0,39.4,37.4,9.7
North Turramurra,951.0,221.0,19.0,79.6,18.5,1.6
North Wahroonga,634.0,44.0,4.0,91.6,6.4,0.6
North Willoughby,1005.0,349.0,80.0,68.1,23.6,5.4
North Wollongong,307.0,317.0,157.0,36.5,37.7,18.7
Northbridge,1554.0,346.0,41.0,76.9,17.1,2.0
Northmead,1860.0,487.0,83.0,73.5,19.2,3.3
Northwood,255.0,32.0,6.0,82.3,10.3,1.9
Oak Flats,1864.0,410.0,45.0,79.2,17.4,1.9
Oakhurst,1587.0,146.0,40.0,87.1,8.0,2.2
Oatlands,1276.0,274.0,51.0,77.6,16.7,3.1
Oatley,2607.0,738.0,88.0,74.9,21.2,2.5
Old Guildford,516.0,101.0,13.0,79.6,15.6,2.0
Old Toongabbie,1333.0,379.0,55.0,73.6,20.9,3.0
Ourimbah,723.0,178.0,46.0,74.6,18.4,4.7
Oxley Park,659.0,169.0,24.0,75.7,19.4,2.8
Oyster Bay,1560.0,207.0,29.0,85.7,11.4,1.6
Paddington,2479.0,1921.0,613.0,43.4,33.6,10.7
Padstow,3280.0,995.0,77.0,74.1,22.5,1.7
Padstow Heights,923.0,234.0,19.0,77.4,19.6,1.6
Pagewood,902.0,247.0,26.0,74.4,20.4,2.1
Palm Beach,389.0,149.0,17.0,51.9,19.9,2.3
Panania,2956.0,860.0,95.0,74.4,21.7,2.4
Parramatta,4055.0,1919.0,552.0,55.0,26.0,7.5
Peakhurst,2123.0,792.0,46.0,70.4,26.3,1.5
Peakhurst Heights,709.0,95.0,4.0,86.9,11.6,0.5
Pearl Beach,45.0,36.0,3.0,52.9,42.4,3.5
Pelican,243.0,76.0,5.0,73.9,23.1,1.5
Pendle Hill,2301.0,846.0,104.0,67.1,24.7,3.0
Pennant Hills,1671.0,398.0,50.0,77.9,18.6,2.3
Penrith,2758.0,1676.0,249.0,55.7,33.9,5.0
Penrose,416.0,134.0,5.0,74.7,24.1,0.9
Penshurst,2877.0,1150.0,163.0,66.8,26.7,3.8
Petersham,1490.0,918.0,290.0,52.0,32.0,10.1
