,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Sikhism,Uniting Church,Islam,Latter-day Saints,Buddhism,"Christian, nfd",Pentecostal,Judaism,Baptist,Miscellaneous Religions,Oriental Orthodox,Seventh-day Adventist,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Sikhism (%),Uniting Church (%),Islam (%),Latter-day Saints (%),Buddhism (%),"Christian, nfd (%)",Pentecostal (%),Judaism (%),Baptist (%),Miscellaneous Religions (%),Oriental Orthodox (%),Seventh-day Adventist (%)
Beverley Park,648,572,247,232,,,,,,106,,,,,,,,,,30.8,27.2,11.7,11.0,,,,,,5.0,,,,,,,,,
Beverly Hills,"2,532","1,215",832,"1,703",,,,,,,,692,,,,,,,,26.2,12.6,8.6,17.6,,,,,,,,7.2,,,,,,,
Bexley,"4,677","3,683","1,545","2,449",,,,,,"2,448",,,,,,,,,,24.5,19.3,8.1,12.8,,,,,,12.8,,,,,,,,,
Bexley North,949,943,292,525,,,,,,244,,,,,,,,,,23.7,23.6,7.3,13.1,,,,,,6.1,,,,,,,,,
Bidwill,"1,318",,954,768,,,,,162,133,,,,,,,,,,28.7,,20.8,16.7,,,,,3.5,2.9,,,,,,,,,
Birchgrove,696,,515,"1,205",,63,,,60,,,,,,,,,,,22.4,,16.6,38.8,,2.0,,,1.9,,,,,,,,,,
Birmingham Gardens,432,,377,536,,77,,,103,,,,,,,,,,,20.3,,17.7,25.2,,3.6,,,4.8,,,,,,,,,,
Birrong,729,,248,282,,,,,,415,,532,,,,,,,,24.7,,8.4,9.5,,,,,,14.0,,18.0,,,,,,,
Blackalls Park,525,,836,538,,,,,258,,,,,,,110,,,,19.0,,30.3,19.5,,,,,9.3,,,,,,,4.0,,,
Blackbutt,"1,046",477,618,423,,,,,104,,,,,,,,,,,33.1,15.1,19.6,13.4,,,,,3.3,,,,,,,,,,
Blackett,990,,793,508,,117,,,123,,,,,,,,,,,29.0,,23.2,14.9,,3.4,,,3.6,,,,,,,,,,
Blacksmiths,426,,504,386,,76,,,158,,,,,,,,,,,23.1,,27.3,20.9,,4.1,,,8.6,,,,,,,,,,
Blacktown,"13,043",,"5,430","4,557",,,"3,599",,,"3,206",,,,,,,,,,30.1,,12.5,10.5,,,8.3,,,7.4,,,,,,,,,
Blackwall,520,,475,308,,54,,,48,,,,,,,,,,,29.9,,27.3,17.7,,3.1,,,2.8,,,,,,,,,,
Blairmount,190,,77,33,,18,,,,27,,,,,,,,,,39.5,,16.0,6.9,,3.7,,,,5.6,,,,,,,,,
Blakehurst,"1,599","1,352",866,825,,,,,,262,,,,,,,,,,26.2,22.2,14.2,13.5,,,,,,4.3,,,,,,,,,
Blaxland,"1,760",,"1,703","1,646",,301,,,332,,,,,,,,,,,24.0,,23.2,22.5,,4.1,,,4.5,,,,,,,,,,
Blue Bay,312,,310,142,,42,,,35,,,,,,,,,,,30.4,,30.2,13.9,,4.1,,,3.4,,,,,,,,,,
Blue Haven,"1,760",,"1,875","1,166",,151,,,232,,,,,,,,,,,28.5,,30.4,18.9,,2.4,,,3.8,,,,,,,,,,
Bolton Point,452,,643,488,,98,,,184,,,,,,,,,,,19.7,,28.0,21.2,,4.3,,,8.0,,,,,,,,,,
Bondi,"2,185",253,927,"2,336",,,,,,,,,,,"1,468",,,,,22.7,2.6,9.6,24.3,,,,,,,,,,,15.3,,,,
Bondi Beach,"2,362",253,"1,187","3,346",,,,,,,,,,,858,,,,,22.0,2.4,11.0,31.1,,,,,,,,,,,8.0,,,,
Bondi Junction,"1,995",,897,"2,045",,,,,,,,226,,,"1,112",,,,,23.0,,10.4,23.6,,,,,,,,2.6,,,12.8,,,,
Bonnet Bay,680,,536,328,,76,,,122,,,,,,,,,,,31.9,,25.1,15.4,,3.6,,,5.7,,,,,,,,,,
Bonnyrigg,"2,114",487,343,592,,,,,,,,"2,691",,,,,,,,26.5,6.1,4.3,7.4,,,,,,,,33.7,,,,,,,
Bonnyrigg Heights,"2,408",852,,481,,,,,,410,,"1,691",,,,,,,,33.4,11.8,,6.7,,,,,,5.7,,23.5,,,,,,,
Booker Bay,291,,377,196,,41,,,36,,,,,,,,,,,25.7,,33.3,17.3,,3.6,,,3.2,,,,,,,,,,
Boolaroo,169,,292,179,,,,,85,,,,,,,48,,,,18.1,,31.3,19.2,,,,,9.1,,,,,,,5.1,,,
Booragul,311,,456,225,,,,,141,,,,41,,,,,,,22.0,,32.3,15.9,,,,,10.0,,,,2.9,,,,,,
Bossley Park,"7,387",871,809,,760,,,,,,,"1,097",,,,,,,,52.7,6.2,5.8,,5.4,,,,,,,7.8,,,,,,,
Botany,"3,535",514,"1,449","1,220",,,,,,,,202,,,,,,,,39.8,5.8,16.3,13.7,,,,,,,,2.3,,,,,,,
Bow Bowing,555,,263,155,,,119,,,63,,,,,,,,,,35.1,,16.6,9.8,,,7.5,,,4.0,,,,,,,,,
Bradbury,"2,479",,"2,163","1,229",,,,,266,353,,,,,,,,,,28.4,,24.8,14.1,,,,,3.0,4.0,,,,,,,,,
Broadmeadow,373,75,311,384,,,,,75,,,,,,,,,,,24.0,4.8,20.0,24.7,,,,,4.8,,,,,,,,,,
Bronte,"1,755",205,"1,082","2,048",,,,,,,,,,,270,,,,,25.7,3.0,15.8,30.0,,,,,,,,,,,4.0,,,,
Brookvale,824,,377,585,,,,,66,,,65,,,,,,,,31.9,,14.6,22.6,,,,,2.6,,,2.5,,,,,,,
Budgewoi,863,,"1,073",618,,91,,,101,,,,,,,,,,,26.5,,33.0,19.0,,2.8,,,3.1,,,,,,,,,,
Buff Point,888,,"1,134",550,,127,,,129,,,,,,,,,,,27.0,,34.5,16.7,,3.9,,,3.9,,,,,,,,,,
Bulli,"1,521",,"1,311","1,437",,215,,,375,,,,,,,,,,,26.8,,23.1,25.3,,3.8,,,6.6,,,,,,,,,,
Burwood,"2,668",,561,"3,685",,,858,,,,,"1,308",,,,,,,,21.4,,4.5,29.6,,,6.9,,,,,10.5,,,,,,,
Burwood Heights,317,79,67,112,,29,,,,,,,,,,,,,,39.2,9.8,8.3,13.9,,3.6,,,,,,,,,,,,,
Busby,"1,007",,579,261,,,,,,706,,361,,,,,,,,23.9,,13.8,6.2,,,,,,16.8,,8.6,,,,,,,
Cabarita,662,87,293,313,,,,,,,,77,,,,,,,,34.4,4.5,15.2,16.2,,,,,,,,4.0,,,,,,,
Cabramatta,"3,164","1,008",598,"2,339",,,,,,,,"10,301",,,,,,,,15.2,4.9,2.9,11.3,,,,,,,,49.6,,,,,,,
Cabramatta West,"1,612",316,303,569,,,,,,,,"2,805",,,,,,,,23.8,4.7,4.5,8.4,,,,,,,,41.5,,,,,,,
