,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Sikhism,Uniting Church,Islam,Latter-day Saints,Buddhism,"Christian, nfd",Pentecostal,Judaism,Baptist,Miscellaneous Religions,Oriental Orthodox,Seventh-day Adventist,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Sikhism (%),Uniting Church (%),Islam (%),Latter-day Saints (%),Buddhism (%),"Christian, nfd (%)",Pentecostal (%),Judaism (%),Baptist (%),Miscellaneous Religions (%),Oriental Orthodox (%),Seventh-day Adventist (%)
Lethbridge Park,"1,296",,"1,031",702,,178,,,,,,,149,,,,,,,27.9,,22.2,15.1,,3.8,,,,,,,3.2,,,,,,
Leumeah,"2,644",,"2,285","1,333",,,275,,,423,,,,,,,,,,28.1,,24.3,14.2,,,2.9,,,4.5,,,,,,,,,
Lewisham,758,116,279,977,,,,,,,,82,,,,,,,,25.9,4.0,9.5,33.4,,,,,,,,2.8,,,,,,,
Liberty Grove,511,,149,476,,133,191,,,,,,,,,,,,,24.9,,7.3,23.2,,6.5,9.3,,,,,,,,,,,,
Lidcombe,"3,844",,,"2,816",,,"1,309",,,"2,008",,"2,037",,,,,,,,23.1,,,16.9,,,7.9,,,12.0,,12.2,,,,,,,
Lilli Pilli,403,,425,188,,48,,,44,,,,,,,,,,,31.5,,33.2,14.7,,3.8,,,3.4,,,,,,,,,,
Lilyfield,"2,128",298,986,"2,368",,,,,159,,,,,,,,,,,29.0,4.1,13.4,32.2,,,,,2.2,,,,,,,,,,
Lindfield,"2,064",,"1,841","2,020",,314,,,477,,,,,,,,,,,23.8,,21.3,23.3,,3.6,,,5.5,,,,,,,,,,
Linley Point,152,,62,66,,13,,,,,,14,,,,,,,,38.3,,15.6,16.6,,3.3,,,,,,3.5,,,,,,,
Lisarow,"1,124",,"1,347","1,049",,,,,263,,,,,,,162,,,,22.3,,26.7,20.8,,,,,5.2,,,,,,,3.2,,,
Little Bay,997,132,580,487,,,,,,,,,,,100,,,,,33.9,4.5,19.7,16.6,,,,,,,,,,,3.4,,,,
Liverpool,"4,930","3,135",,,,,"1,796",,,"3,202",,,,,,,"1,709",,,20.5,13.0,,,,,7.5,,,13.3,,,,,,,7.1,,
Loftus,"1,273",,"1,140",680,,140,,,200,,,,,,,,,,,31.7,,28.4,16.9,,3.5,,,5.0,,,,,,,,,,
Long Jetty,"1,897",,"1,744",909,,182,,,202,,,,,,,,,,,32.7,,30.1,15.7,,3.1,,,3.5,,,,,,,,,,
Long Point,72,13,40,27,,,,,,,,,,,,16,,,,35.5,6.4,19.7,13.3,,,,,,,,,,,,7.9,,,
Longueville,857,55,438,365,,,,,78,,,,,,,,,,,40.8,2.6,20.9,17.4,,,,,3.7,,,,,,,,,,
Lugarno,"1,660",721,"1,137",707,,,,,225,,,,,,,,,,,29.9,13.0,20.5,12.7,,,,,4.1,,,,,,,,,,
Lurnea,"2,310",532,"1,109",599,,,,,,"1,970",,,,,,,,,,26.8,6.2,12.9,7.0,,,,,,22.9,,,,,,,,,
Macquarie Fields,"3,210",,"2,443","1,550",,,769,,,"1,182",,,,,,,,,,24.4,,18.5,11.8,,,5.8,,,9.0,,,,,,,,,
Macquarie Hills,875,,705,560,,,,,218,,,,,,,107,,,,28.5,,22.9,18.2,,,,,7.1,,,,,,,3.5,,,
Macquarie Links,509,,171,65,,,48,,,76,,,,,,,,,,46.7,,15.7,6.0,,,4.4,,,7.0,,,,,,,,,
Macquarie Park,"1,034",,550,"1,749",,,,,,307,,359,,,,,,,,16.8,,9.0,28.5,,,,,,5.0,,5.8,,,,,,,
Malabar,"1,404",152,675,519,,78,,,,,,,,,,,,,,28.4,3.1,13.7,10.5,,1.6,,,,,,,,,,,,,
Mangerton,781,189,582,601,,,,,125,,,,,,,,,,,27.7,6.7,20.6,21.3,,,,,4.4,,,,,,,,,,
Manly,"3,464",,"2,856","4,642",,386,,,351,,,,,,,,,,,23.0,,18.9,30.8,,2.6,,,2.3,,,,,,,,,,
Manly Vale,"1,553",,"1,102","1,555",,179,,,177,,,,,,,,,,,27.2,,19.3,27.3,,3.1,,,3.1,,,,,,,,,,
Marayong,"2,931",,"1,172",731,,,270,,,242,,,,,,,,,,40.1,,16.0,10.0,,,3.7,,,3.3,,,,,,,,,
Mardi,955,,836,625,,,,,113,,,,,,,108,,,,27.8,,24.3,18.2,,,,,3.3,,,,,,,3.1,,,
Marks Point,377,,543,310,,91,,,102,,,,,,,,,,,21.8,,31.3,17.9,,5.3,,,5.9,,,,,,,,,,
Marmong Point,188,,177,156,,,,,59,,,,24,,,,,,,24.7,,23.3,20.5,,,,,7.8,,,,3.2,,,,,,
Maroubra,"8,842","2,676","3,313","5,632",,,,,,,,,,,"1,617",,,,,29.9,9.0,11.2,19.0,,,,,,,,,,,5.5,,,,
Marrickville,"5,834","2,615","1,581","6,710",,,,,,,,"1,970",,,,,,,,23.7,10.6,6.4,27.3,,,,,,,,8.0,,,,,,,
Marsfield,"2,886",,"1,204","3,643",,452,,,,,,730,,,,,,,,23.4,,9.8,29.5,,3.7,,,,,,5.9,,,,,,,
Maryland,"1,924",,"2,150","1,392",,,,,535,,,,,,,274,,,,24.7,,27.6,17.9,,,,,6.9,,,,,,,3.5,,,
Maryville,335,,243,476,,41,,,65,,,,,,,,,,,23.6,,17.1,33.5,,2.9,,,4.6,,,,,,,,,,
Mascot,"3,311",996,"1,019","1,503",,,,,,651,,,,,,,,,,32.5,9.8,10.0,14.8,,,,,,6.4,,,,,,,,,
Matraville,"3,626",517,"1,308","1,314",,,,,,,,,,,263,,,,,40.1,5.7,14.5,14.5,,,,,,,,,,,2.9,,,,
Mayfield,"2,349",,"1,757","2,188",,,,,412,,,,239,,,,,,,25.9,,19.4,24.1,,,,,4.5,,,,2.6,,,,,,
Mayfield East,430,,307,497,,37,,,90,,,,,,,,,,,25.1,,17.9,29.0,,2.2,,,5.3,,,,,,,,,,
Mayfield West,482,,378,381,,46,,,97,,,,,,,,,,,27.2,,21.3,21.5,,2.6,,,5.5,,,,,,,,,,
Mays Hill,219,,51,96,,,92,,,53,,,,,,,,,,30.5,,7.1,13.4,,,12.8,,,7.4,,,,,,,,,
McMahons Point,476,,420,724,,54,46,,,,,,,,,,,,,20.3,,17.9,30.9,,2.3,2.0,,,,,,,,,,,,
Meadowbank,774,,279,996,,216,254,,,,,,,,,,,,,21.1,,7.6,27.2,,5.9,6.9,,,,,,,,,,,,
Melrose Park,570,53,211,216,,53,,,,,,,,,,,,,,38.7,3.6,14.3,14.7,,3.6,,,,,,,,,,,,,
Menai,"3,617",700,"2,479","1,229",,,,,382,,,,,,,,,,,34.4,6.6,23.5,11.7,,,,,3.6,,,,,,,,,,
Merewether,"3,117",,"2,404","2,484",,322,,,539,,,,,,,,,,,29.8,,23.0,23.7,,3.1,,,5.1,,,,,,,,,,
Merewether Heights,360,,353,339,,70,,,96,,,,,,,,,,,25.1,,24.7,23.7,,4.9,,,6.7,,,,,,,,,,
Merrylands,"9,249","1,374","1,743","1,968",,,,,,"5,140",,,,,,,,,,34.7,5.2,6.5,7.4,,,,,,19.3,,,,,,,,,
Merrylands West,"2,320",272,643,475,,,,,,893,,,,,,,,,,37.5,4.4,10.4,7.7,,,,,,14.4,,,,,,,,,
Middle Cove,374,,220,391,,34,,,42,,,,,,,,,,,29.4,,17.3,30.8,,2.7,,,3.3,,,,,,,,,,
Miller,730,,493,258,,,,,,583,,231,,,,,,,,23.7,,16.0,8.4,,,,,,18.9,,7.5,,,,,,,
Millers Point,386,51,237,367,,,,,,,,53,,,,,,,,22.2,2.9,13.7,21.1,,,,,,,,3.1,,,,,,,
Milperra,"1,314",184,"1,109",450,,120,,,,,,,,,,,,,,34.2,4.8,28.8,11.7,,3.1,,,,,,,,,,,,,
Milsons Point,386,,266,565,,,,,57,,,91,,,,,,,,19.2,,13.2,28.1,,,,,2.8,,,4.5,,,,,,,
Minchinbury,"2,185",,799,423,,,172,,,393,,,,,,,,,,40.1,,14.7,7.8,,,3.2,,,7.2,,,,,,,,,
Minmi,137,,251,141,,27,,,40,,,,,,,,,,,19.7,,36.1,20.3,,3.9,,,5.7,,,,,,,,,,
Minto,"2,524",,"1,742","1,011",,,632,,,"1,451",,,,,,,,,,24.5,,16.9,9.8,,,6.1,,,14.1,,,,,,,,,
Miranda,"4,348",740,"3,331","2,143",,,,,507,,,,,,,,,,,30.1,5.1,23.1,14.8,,,,,3.5,,,,,,,,,,
Mona Vale,"2,731",,"2,642","2,205",,284,,,497,,,,,,,,,,,26.9,,26.0,21.7,,2.8,,,4.9,,,,,,,,,,
Monterey,"1,078","1,210",479,428,,,,,,232,,,,,,,,,,24.9,28.0,11.1,9.9,,,,,,5.4,,,,,,,,,
Moorebank,"2,496",697,"1,319",795,,,,,,361,,,,,,,,,,32.9,9.2,17.4,10.5,,,,,,4.8,,,,,,,,,
Mortdale,"2,653",937,"1,545","1,834",,,,,,,,318,,,,,,,,27.3,9.7,15.9,18.9,,,,,,,,3.3,,,,,,,
Mortlake,274,31,125,148,,27,,,,,,,,,,,,,,36.3,4.1,16.6,19.6,,3.6,,,,,,,,,,,,,
Mosman,"7,030",,"6,765","6,459",,892,,,726,,,,,,,,,,,25.6,,24.6,23.5,,3.2,,,2.6,,,,,,,,,,
Mount Annan,"3,643",,"2,763","1,497",,241,,,351,,,,,,,,,,,34.6,,26.2,14.2,,2.3,,,3.3,,,,,,,,,,
Mount Colah,"1,757",,"1,638","1,647",,,,,425,,,,194,,,,,,,24.7,,23.1,23.2,,,,,6.0,,,,2.7,,,,,,
Mount Druitt,"5,636",,"1,240",943,,,694,,,"2,850",,,,,,,,,,35.7,,7.9,6.0,,,4.4,,,18.0,,,,,,,,,
Mount Hutton,762,,820,666,,146,,,242,,,,,,,,,,,24.0,,25.8,20.9,,4.6,,,7.6,,,,,,,,,,
Mount Keira,449,108,282,352,,,,,65,,,,,,,,,,,29.5,7.1,18.5,23.1,,,,,4.3,,,,,,,,,,
Mount Kembla,291,,235,252,,28,,,51,,,,,,,,,,,28.3,,22.9,24.5,,2.7,,,5.0,,,,,,,,,,
Mount Lewis,409,171,59,38,,,,,,264,,,,,,,,,,37.1,15.5,5.3,3.4,,,,,,23.9,,,,,,,,,
Mount Ousley,437,,290,342,,,,,79,,,,52,,,,,,,28.5,,18.9,22.3,,,,,5.2,,,,3.4,,,,,,
Mount Pleasant,342,68,226,259,,,,,63,,,,,,,,,,,28.7,5.7,18.9,21.7,,,,,5.3,,,,,,,,,,
Mount Pritchard,"2,727",840,998,803,,,,,,,,"1,370",,,,,,,,30.2,9.3,11.0,8.9,,,,,,,,15.2,,,,,,,
Mount Riverview,640,,752,627,,171,,,126,,,,,,,,,,,21.6,,25.3,21.1,,5.8,,,4.2,,,,,,,,,,
Mount Saint Thomas,384,113,279,288,,,,,60,,,,,,,,,,,27.0,7.9,19.6,20.3,,,,,4.2,,,,,,,,,,
Mount Warrigal,"1,457",246,"1,033",806,,,,,187,,,,,,,,,,,32.1,5.4,22.7,17.7,,,,,4.1,,,,,,,,,,
Narara,"1,824",,"1,999","1,591",,,,,377,,,,271,,,,,,,23.5,,25.7,20.5,,,,,4.9,,,,3.5,,,,,,
Narellan,"1,083",,"1,182",468,,114,,,112,,,,,,,,,,,31.0,,33.8,13.4,,3.3,,,3.2,,,,,,,,,,
Narellan Vale,"2,566",,"2,084","1,058",,161,,,242,,,,,,,,,,,35.4,,28.8,14.6,,2.2,,,3.3,,,,,,,,,,
Naremburn,"1,541",,"1,023","1,601",,143,,,148,,,,,,,,,,,28.1,,18.7,29.2,,2.6,,,2.7,,,,,,,,,,
Narrabeen,"1,930",,"1,923","1,545",,244,,,303,,,,,,,,,,,25.8,,25.7,20.7,,3.3,,,4.1,,,,,,,,,,
Narraweena,"2,177",,"1,355","1,091",,179,,,215,,,,,,,,,,,35.4,,22.1,17.8,,2.9,,,3.5,,,,,,,,,,
Narwee,"1,060",358,430,"1,036",,,,,,,,415,,,,,,,,21.4,7.2,8.7,20.9,,,,,,,,8.4,,,,,,,
Neutral Bay,"2,139",,"1,677","2,819",,237,,,,,,301,,,,,,,,22.8,,17.9,30.0,,2.5,,,,,,3.2,,,,,,,
New Lambton,"2,775",,"2,204","2,062",,309,,,672,,,,,,,,,,,28.4,,22.6,21.1,,3.2,,,6.9,,,,,,,,,,
New Lambton Heights,520,,477,499,,70,,,162,,,,,,,,,,,24.1,,22.1,23.1,,3.2,,,7.5,,,,,,,,,,
Newcastle,519,,447,682,,66,,,92,,,,,,,,,,,21.8,,18.7,28.6,,2.8,,,3.9,,,,,,,,,,
Newcastle East,187,,155,347,,28,,,37,,,,,,,,,,,18.9,,15.6,35.0,,2.8,,,3.7,,,,,,,,,,
Newcastle West,143,,97,153,,,,,28,19,,,,,,,,,,24.0,,16.3,25.7,,,,,4.7,3.2,,,,,,,,,
Newington,"1,379",,419,"1,318",,356,,,,,,293,,,,,,,,25.9,,7.9,24.8,,6.7,,,,,,5.5,,,,,,,
Newport,"1,898",,"2,467","2,409",,257,,,337,,,,,,,,,,,21.0,,27.3,26.7,,2.8,,,3.7,,,,,,,,,,
Newtown,"2,313",415,"1,414","6,324",,,,,,,,556,,,,,,,,16.3,2.9,10.0,44.7,,,,,,,,3.9,,,,,,,
Niagara Park,624,,752,660,,,,,141,,,,,,,89,,,,22.2,,26.7,23.5,,,,,5.0,,,,,,,3.2,,,
Norah Head,295,,330,188,,44,,,37,,,,,,,,,,,27.2,,30.4,17.3,,4.1,,,3.4,,,,,,,,,,
Noraville,847,,827,473,,77,,,94,,,,,,,,,,,31.4,,30.7,17.5,,2.9,,,3.5,,,,,,,,,,
Normanhurst,"1,428",,"1,021","1,002",,,,,380,,,,,,,167,,,,27.7,,19.8,19.4,,,,,7.4,,,,,,,3.2,,,
North Avoca,473,,466,485,,52,,,96,,,,,,,,,,,24.2,,23.9,24.8,,2.7,,,4.9,,,,,,,,,,
North Balgowlah,952,,892,911,,104,,,96,,,,,,,,,,,27.6,,25.8,26.4,,3.0,,,2.8,,,,,,,,,,
North Bondi,"1,771",170,831,"1,965",,,,,,,,,,,"2,077",,,,,20.6,2.0,9.7,22.9,,,,,,,,,,,24.2,,,,
North Curl Curl,"1,063",,903,814,,126,,,137,,,,,,,,,,,30.1,,25.5,23.0,,3.6,,,3.9,,,,,,,,,,
North Epping,985,,943,988,,194,,,217,,,,,,,,,,,22.4,,21.5,22.5,,4.4,,,4.9,,,,,,,,,,
North Gosford,798,,737,800,,,,,142,,,,134,,,,,,,22.8,,21.1,22.9,,,,,4.1,,,,3.8,,,,,,
North Lambton,725,,616,664,,,,,198,,,,99,,,,,,,23.3,,19.8,21.3,,,,,6.4,,,,3.2,,,,,,
North Manly,905,,612,672,,47,,,97,,,,,,,,,,,32.6,,22.1,24.2,,1.7,,,3.5,,,,,,,,,,
North Narrabeen,"1,467",,"1,336","1,376",,157,,,171,,,,,,,,,,,26.5,,24.1,24.9,,2.8,,,3.1,,,,,,,,,,
North Parramatta,"3,297",,"1,305","2,093",,,623,,,815,,,,,,,,,,26.2,,10.4,16.6,,,4.9,,,6.5,,,,,,,,,
North Rocks,"2,210",,"1,440","1,423",,321,,,464,,,,,,,,,,,29.0,,18.9,18.7,,4.2,,,6.1,,,,,,,,,,
North Ryde,"3,075",,"1,531","1,922",,,,,,,,362,,,,,,383,,30.4,,15.1,19.0,,,,,,,,3.6,,,,,,3.8,
North St Marys,"1,154",,830,493,,113,,,,,,,103,,,,,,,31.3,,22.5,13.4,,3.1,,,,,,,2.8,,,,,,
North Strathfield,"1,261",,348,920,,,251,,,,,225,,,,,,,,28.4,,7.8,20.7,,,5.7,,,,,5.1,,,,,,,
North Sydney,"1,442",,944,"1,759",,,225,,,,,236,,,,,,,,23.0,,15.1,28.1,,,3.6,,,,,3.8,,,,,,,
North Turramurra,809,,"1,171",730,,160,,,308,,,,,,,,,,,20.4,,29.5,18.4,,4.0,,,7.8,,,,,,,,,,
North Wahroonga,429,,512,366,,87,,,125,,,,,,,,,,,22.7,,27.1,19.4,,4.6,,,6.6,,,,,,,,,,
North Willoughby,"1,280",,673,929,,,,,,,,133,,,,,,101,,32.9,,17.3,23.9,,,,,,,,3.4,,,,,,2.6,
North Wollongong,569,73,303,707,,,,,,73,,,,,,,,,,25.0,3.2,13.3,31.1,,,,,,3.2,,,,,,,,,
Northbridge,"1,785",,"1,308","1,397",,148,,,242,,,,,,,,,,,30.1,,22.0,23.6,,2.5,,,4.1,,,,,,,,,,
Northmead,"3,018",,"1,818","1,552",,,,,494,498,,,,,,,,,,29.5,,17.8,15.2,,,,,4.8,4.9,,,,,,,,,
Northwood,273,,197,224,,,,,43,,,20,,,,,,,,30.1,,21.7,24.7,,,,,4.7,,,2.2,,,,,,,
Oak Flats,"1,691",,"1,726","1,269",,190,,,271,,,,,,,,,,,26.8,,27.3,20.1,,3.0,,,4.3,,,,,,,,,,
Oakhurst,"2,684",,967,582,,,394,,,538,,,,,,,,,,38.6,,13.9,8.4,,,5.7,,,7.7,,,,,,,,,
Oatlands,"1,892",,770,738,,248,,,,,,,,,,232,,,,35.5,,14.4,13.8,,4.7,,,,,,,,,,4.4,,,
Oatley,"3,039",689,"2,234","1,808",,,,,527,,,,,,,,,,,30.1,6.8,22.1,17.9,,,,,5.2,,,,,,,,,,
Old Guildford,672,,155,123,,,,,,"1,024",,145,,,,,,,,25.9,,6.0,4.7,,,,,,39.4,,5.6,,,,,,,
Old Toongabbie,875,,502,388,,96,,,146,,,,,,,,,,,32.6,,18.7,14.5,,3.6,,,5.4,,,,,,,,,,
Ourimbah,850,,"1,210",945,,,,,202,,,,125,,,,,,,20.4,,29.1,22.7,,,,,4.9,,,,3.0,,,,,,
Oxley Park,962,89,561,365,,,,,,122,,,,,,,,,,32.9,3.0,19.2,12.5,,,,,,4.2,,,,,,,,,
Oyster Bay,"1,770",211,"1,350","1,044",,,,,232,,,,,,,,,,,32.6,3.9,24.9,19.2,,,,,4.3,,,,,,,,,,
Paddington,"2,626",305,"2,171","3,675",,,,,,,,,,,298,,,,,21.6,2.5,17.9,30.3,,,,,,,,,,,2.5,,,,
Padstow,"3,548","1,137","2,067","1,798",,,,,,,,700,,,,,,,,27.9,8.9,16.3,14.1,,,,,,,,5.5,,,,,,,
Padstow Heights,"1,108",367,817,335,,,,,102,,,,,,,,,,,31.8,10.5,23.4,9.6,,,,,2.9,,,,,,,,,,
Pagewood,"1,278",542,489,433,,,,,,,,,,,129,,,,,35.1,14.9,13.4,11.9,,,,,,,,,,,3.5,,,,
Palm Beach,315,,488,427,,55,,,54,,,,,,,,,,,19.7,,30.6,26.7,,3.4,,,3.4,,,,,,,,,,
Panania,"3,704",914,"2,380","1,259",,,,,,589,,,,,,,,,,32.2,8.0,20.7,11.0,,,,,,5.1,,,,,,,,,
Parramatta,"3,049",,"1,131","4,081",,,"3,977",,,"1,327",,,,,,,,,,15.4,,5.7,20.7,,,20.1,,,6.7,,,,,,,,,
Peakhurst,"2,750","1,074","1,823","1,342",,,,,,424,,,,,,,,,,27.7,10.8,18.4,13.5,,,,,,4.3,,,,,,,,,
Peakhurst Heights,742,278,485,301,,,,,119,,,,,,,,,,,32.0,12.0,20.9,13.0,,,,,5.1,,,,,,,,,,
Pearl Beach,66,,119,153,,19,,,36,,,,,,,,,,,12.9,,23.2,29.8,,3.7,,,7.0,,,,,,,,,,
Pelican,175,,284,150,,43,,,75,,,,,,,,,,,20.8,,33.8,17.9,,5.1,,,8.9,,,,,,,,,,
Pendle Hill,"1,628",,688,544,,,"1,657",,,295,,,,,,,,,,24.4,,10.3,8.2,,,24.9,,,4.4,,,,,,,,,
Pennant Hills,"1,701",,"1,289","1,495",,274,,,444,,,,,,,,,,,24.2,,18.3,21.3,,3.9,,,6.3,,,,,,,,,,
Penrith,"3,285",,"2,922","1,960",,406,,,325,,,,,,,,,,,27.8,,24.7,16.6,,3.4,,,2.8,,,,,,,,,,
Penrose,366,49,412,260,,,,,82,,,,,,,,,,,26.2,3.5,29.5,18.6,,,,,5.9,,,,,,,,,,
Penshurst,"3,139",991,"1,314","2,364",,,,,,,,597,,,,,,,,26.8,8.5,11.2,20.2,,,,,,,,5.1,,,,,,,
Petersham,"1,994",343,689,"2,662",,,,,,,,249,,,,,,,,26.5,4.6,9.2,35.4,,,,,,,,3.3,,,,,,,
Phillip Bay,277,41,143,75,,,,,,,,15,,,,,,,,43.5,6.4,22.4,11.8,,,,,,,,2.4,,,,,,,
Picnic Point,"1,963",452,"1,333",605,,,,,205,,,,,,,,,,,35.0,8.1,23.8,10.8,,,,,3.7,,,,,,,,,,
Plumpton,"3,357",,795,489,,,533,,,901,,,,,,,,,,40.7,,9.6,5.9,,,6.5,,,10.9,,,,,,,,,
Point Clare,969,,966,714,,148,,,164,,,,,,,,,,,25.4,,25.4,18.7,,3.9,,,4.3,,,,,,,,,,
Point Frederick,456,,392,353,,55,,,62,,,,,,,,,,,25.7,,22.1,19.9,,3.1,,,3.5,,,,,,,,,,
Point Piper,229,56,258,248,,,,,,,,,,,167,,,,,16.3,4.0,18.4,17.7,,,,,,,,,,,11.9,,,,
Port Kembla,"1,433","1,098",716,721,,,,,100,,,,,,,,,,,29.4,22.5,14.7,14.8,,,,,2.0,,,,,,,,,,
Potts Point,"1,414",,726,"2,369",,123,,,,,,221,,,,,,,,20.6,,10.6,34.5,,1.8,,,,,,3.2,,,,,,,
Prairiewood,"1,423",203,,166,216,,,,,,,362,,,,,,,,47.3,6.7,,5.5,7.2,,,,,,,12.0,,,,,,,
Prestons,"4,647",925,"1,168",,,,"1,388",,,"2,105",,,,,,,,,,32.2,6.4,8.1,,,,9.6,,,14.6,,,,,,,,,
Primbee,542,154,320,238,,39,,,,,,,,,,,,,,34.3,9.7,20.2,15.1,,2.5,,,,,,,,,,,,,
Prospect,"1,772",264,556,472,,,258,,,,,,,,,,,,,38.4,5.7,12.0,10.2,,,5.6,,,,,,,,,,,,
Punchbowl,"5,130","1,810",,962,,,,,,"5,579",,"1,217",,,,,,,,27.8,9.8,,5.2,,,,,,30.3,,6.6,,,,,,,
Putney,"1,666",253,624,583,,148,,,,,,,,,,,,,,40.9,6.2,15.3,14.3,,3.6,,,,,,,,,,,,,
Pymble,"2,262",,"2,473","2,352",,421,,,782,,,,,,,,,,,21.4,,23.4,22.2,,4.0,,,7.4,,,,,,,,,,
Pyrmont,"2,506",251,"1,109","3,700",,,,,,,,809,,,,,,,,21.6,2.2,9.5,31.8,,,,,,,,7.0,,,,,,,
Quakers Hill,"9,114",,"4,076","2,968",,,"1,822",934,,,,,,,,,,,,34.8,,15.6,11.3,,,7.0,3.6,,,,,,,,,,,
Queens Park,799,103,438,750,,,,,,,,,,,283,,,,,27.3,3.5,15.0,25.6,,,,,,,,,,,9.7,,,,
Raby,"2,102",,"1,422",751,,,,,127,269,,,,,,,,,,35.1,,23.8,12.6,,,,,2.1,4.5,,,,,,,,,
Ramsgate,219,176,160,92,,,,,,,,,,,,,,38,,24.2,19.5,17.7,10.2,,,,,,,,,,,,,,4.2,
Ramsgate Beach,379,263,273,145,,,,,40,,,,,,,,,,,25.9,18.0,18.7,9.9,,,,,2.7,,,,,,,,,,
Randwick,"8,181","1,132","3,588","7,035",,,,,,,,,,,"1,556",,,,,29.5,4.1,12.9,25.4,,,,,,,,,,,5.6,,,,
Rankin Park,562,,565,571,,101,,,176,,,,,,,,,,,22.9,,23.1,23.3,,4.1,,,7.2,,,,,,,,,,
Redfern,"2,277",475,"1,094","4,155",,,,,,,,458,,,,,,,,18.9,3.9,9.1,34.5,,,,,,,,3.8,,,,,,,
Redhead,964,,877,642,,152,,,269,,,,,,,,,,,27.9,,25.4,18.6,,4.4,,,7.8,,,,,,,,,,
Regents Park,"1,067",,254,506,,,,,,806,,569,,,,,,,,23.7,,5.6,11.2,,,,,,17.9,,12.6,,,,,,,
Regentville,220,,187,64,,31,,,12,,,,,,,,,,,35.5,,30.2,10.3,,5.0,,,1.9,,,,,,,,,,
Revesby,"4,082",960,"1,922","1,573",,,,,,800,,,,,,,,,,31.6,7.4,14.9,12.2,,,,,,6.2,,,,,,,,,
Revesby Heights,500,95,281,171,,,,,43,,,,,,,,,,,36.6,6.9,20.6,12.5,,,,,3.1,,,,,,,,,,
Rhodes,956,,299,"1,950",,285,,,,,,462,,,,,,,,16.8,,5.3,34.3,,5.0,,,,,,8.1,,,,,,,
Riverstone,"2,058",,"1,601",931,,,,,,,,,160,,,167,,,,33.2,,25.9,15.0,,,,,,,,,2.6,,,2.7,,,
Riverview,"1,449",106,513,527,,,,,92,,,,,,,,,,,45.9,3.4,16.3,16.7,,,,,2.9,,,,,,,,,,
Riverwood,"2,423",782,"1,001","1,868",,,,,,919,,,,,,,,,,23.7,7.6,9.8,18.3,,,,,,9.0,,,,,,,,,
Rockdale,"2,650","1,918",,"2,255",,,"1,411",,,"1,441",,,,,,,,,,18.9,13.7,,16.1,,,10.1,,,10.3,,,,,,,,,
Rocky Point,91,,66,45,,,,,10,,,,16,,,,,,,33.1,,24.0,16.4,,,,,3.6,,,,5.8,,,,,,
Rodd Point,538,99,178,225,,,,,,,,44,,,,,,,,41.5,7.6,13.7,17.3,,,,,,,,3.4,,,,,,,
Rooty Hill,"5,863",,"1,528",871,,,717,,,747,,,,,,,,,,43.8,,11.4,6.5,,,5.4,,,5.6,,,,,,,,,
Rose Bay,"1,785",331,"1,142","1,574",,,,,,,,,,,"2,796",,,,,19.0,3.5,12.1,16.7,,,,,,,,,,,29.7,,,,
Rosebery,"2,221","1,418",594,"1,403",,,,,,490,,,,,,,,,,26.2,16.7,7.0,16.5,,,,,,5.8,,,,,,,,,
Roselands,"2,923","2,130",841,893,,,,,,"1,901",,,,,,,,,,26.2,19.1,7.5,8.0,,,,,,17.0,,,,,,,,,
Rosemeadow,"2,576",,"1,631","1,032",,,,,,274,,308,,,,,,,,33.7,,21.4,13.5,,,,,,3.6,,4.0,,,,,,,
Roseville,"2,233",,"2,238","2,119",,314,,,449,,,,,,,,,,,24.4,,24.4,23.1,,3.4,,,4.9,,,,,,,,,,
Roseville Chase,384,,434,369,,40,,,50,,,,,,,,,,,24.1,,27.2,23.1,,2.5,,,3.1,,,,,,,,,,
Rouse Hill,"2,628",,"1,582",825,,,,,302,,,,,193,,,,,,35.1,,21.1,11.0,,,,,4.0,,,,,2.6,,,,,
Rozelle,"1,946",183,"1,188","2,834",,178,,,,,,,,,,,,,,24.6,2.3,15.0,35.8,,2.2,,,,,,,,,,,,,
Ruse,"1,891",,"1,495",779,,131,,,177,,,,,,,,,,,34.4,,27.2,14.2,,2.4,,,3.2,,,,,,,,,,
Rushcutters Bay,482,,295,773,,50,,,,,,60,,,,,,,,20.3,,12.4,32.6,,2.1,,,,,,2.5,,,,,,,
Russell Lea,"2,214",332,652,764,,139,,,,,,,,,,,,,,46.3,6.9,13.6,16.0,,2.9,,,,,,,,,,,,,
Russell Vale,367,,370,307,,78,,,154,,,,,,,,,,,24.2,,24.4,20.2,,5.1,,,10.2,,,,,,,,,,
Rydalmere,"1,961",,804,"1,239",,272,,,,287,,,,,,,,,,31.5,,12.9,19.9,,4.4,,,,4.6,,,,,,,,,
Ryde,"7,375",992,"2,536","3,952",,,,,,,,801,,,,,,,,34.1,4.6,11.7,18.3,,,,,,,,3.7,,,,,,,
Sadleir,678,,497,258,,,,,,670,,228,,,,,,,,22.2,,16.3,8.5,,,,,,22.0,,7.5,,,,,,,
San Remo,"1,102",,"1,390",886,,105,,,107,,,,,,,,,,,25.6,,32.3,20.6,,2.4,,,2.5,,,,,,,,,,
