,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
Run-o-Waters,2059.0,--,--,--,97.1,2.9,13440
Marulan,1517.0,--,--,--,91.1,8.9,12513
Windellama,1733.0,--,--,--,93.7,6.3,14318
Bigga,923.0,--,--,--,93.5,6.5,10346
Tirrannaville,1800.0,--,--,--,93.8,6.2,13883
Lake Bathurst,1571.0,--,--,--,89.1,10.9,12239
Quialigo,1688.0,--,--,--,95.8,4.2,13297
Laggan,1257.0,--,--,--,92.3,7.7,12235
Grabben Gullen,1153.0,--,--,--,95.8,4.2,11731
Parkesbourne,2167.0,--,--,--,94.7,5.3,13152
Yarra,2034.0,--,--,--,92.7,7.3,14468
Crookwell,1343.0,--,--,--,94.8,5.2,11123
Bungonia,1560.0,--,--,--,88.8,11.2,10685
Collector,2118.0,--,--,--,92.3,7.7,10972
Middle Arm,1950.0,--,--,--,94.7,5.3,12599
Taralga,1114.0,--,--,--,95.2,4.8,13759
Tarlo,2084.0,--,--,--,100.0,0.0,13767
Wayo,1631.0,--,--,--,92.7,7.3,14204
Kingsdale,2167.0,--,--,--,100.0,0.0,12155
Bannister (NSW),1302.0,--,--,--,92.3,7.7,10183
Brayton,2123.0,--,--,--,94.1,5.9,10554
Greenwich Park,2481.0,--,--,--,92.1,7.9,11771
Tallong,1779.0,--,--,--,86.5,13.5,13733
Carrick (NSW),2051.0,--,--,--,92.5,7.5,10828
Brisbane Grove,1650.0,--,--,--,91.9,8.1,10577
Binda,1300.0,--,--,--,96.4,3.6,10363
Towrang,1560.0,--,--,--,94.5,5.5,13930
Mummel,1725.0,--,--,--,87.1,12.9,12835
Baw Baw (NSW),1939.0,--,--,--,90.9,9.1,10234
Boxers Creek,1907.0,--,--,--,88.7,11.3,10541
Gundary,2392.0,--,--,--,92.3,7.7,11806
Yass,1763.0,--,--,--,94.3,5.7,14493
Bookham,1000.0,--,--,--,93.9,6.1,10478
Binalong,1257.0,--,--,--,93.0,7.0,10362
Jugiong,1083.0,--,--,--,93.7,6.3,12044
Galong,986.0,--,--,--,100.0,0.0,11580
Manton (NSW),1993.0,--,--,--,88.2,11.8,12481
Yass River,2600.0,--,--,--,87.5,12.5,14494
Rye Park,1300.0,--,--,--,89.3,10.7,13455
Dalton,1127.0,--,--,--,91.4,8.6,11194
Gundaroo,2167.0,--,--,--,90.5,9.5,11805
Bowning,1517.0,--,--,--,91.5,8.5,10535
Bellmount Forest,2300.0,--,--,--,92.3,7.7,10274
Gunning,1517.0,--,--,--,92.6,7.4,11813
Lade Vale,1753.0,--,--,--,93.5,6.5,12232
Good Hope,1500.0,--,--,--,89.8,10.2,11700
Wallaroo (NSW),2313.0,--,--,--,95.3,4.7,14112
Murrumbateman,2383.0,--,--,--,92.3,7.7,12860
Springrange,2500.0,--,--,--,96.0,4.0,13625
Jeir,2167.0,--,--,--,85.1,14.9,12004
Marchmont,2782.0,--,--,--,100.0,0.0,12487
Nanima,2383.0,--,--,--,92.2,7.8,12891
Young,1300.0,--,--,--,94.6,5.4,14518
Kingsvale,1272.0,--,--,--,100.0,0.0,12161
Burrangong,1300.0,--,--,--,92.4,7.6,10706
Wyangala,910.0,--,--,--,93.0,7.0,14434
Wombat,1343.0,--,--,--,96.2,3.8,14364
Cunningar,1170.0,--,--,--,94.2,5.8,11164
Harden,867.0,--,--,--,96.2,3.8,11851
Boorowa,1172.0,--,--,--,96.6,3.4,10503
