,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
Upper Taylors Arm,824.0,--,--,--,100.0,0.0,14045
Taylors Arm,867.0,--,--,--,93.3,6.7,13776
Argents Hill,867.0,--,--,--,90.7,9.3,10079
Missabotti,1083.0,--,--,--,91.3,8.7,12649
South West Rocks,1500.0,--,--,--,95.7,4.3,13600
Arakoon,1320.0,--,--,--,95.0,5.0,10069
Jerseyville,1600.0,--,--,--,90.7,9.3,12022
Lord Howe Island,1867.0,--,--,--,95.5,4.5,12387
Bonny Hills,1733.0,--,--,--,92.4,7.6,10470
North Haven (NSW),1214.0,--,--,--,97.9,2.1,12992
Kendall,1430.0,--,--,--,92.9,7.1,12096
West Haven,1387.0,--,--,--,96.9,3.1,14245
Kew (NSW),1517.0,--,--,--,95.5,4.5,12109
Herons Creek,1433.0,--,--,--,94.7,5.3,11897
Logans Crossing,1733.0,--,--,--,88.5,11.5,12373
Lorne (NSW),1151.0,--,--,--,94.6,5.4,12390
Lakewood,1447.0,--,--,--,95.8,4.2,12259
Dunbogan,1517.0,--,--,--,96.2,3.8,11310
Johns River,1344.0,--,--,--,88.5,11.5,12037
Camden Head,1441.0,--,--,--,95.1,4.9,10771
Lake Innes,1733.0,--,--,--,96.7,3.3,12251
Fernbank Creek,2084.0,--,--,--,87.8,12.2,11505
Riverside (NSW),1700.0,--,--,--,95.0,5.0,13367
Thrumster,2167.0,--,--,--,77.3,22.7,13852
North Shore (NSW),1625.0,--,--,--,89.3,10.7,13006
Telegraph Point,1345.0,--,--,--,88.6,11.4,13781
Blackmans Point,1486.0,--,--,--,94.6,5.4,10395
Gum Scrub,2113.0,--,--,--,87.2,12.8,11797
Cooperabung,1517.0,--,--,--,90.7,9.3,11046
Upper Rollands Plains,1777.0,--,--,--,86.5,13.5,14043
Pembrooke,1608.0,--,--,--,90.6,9.4,13180
Mortons Creek,1723.0,--,--,--,94.1,5.9,12731
Brombin,1943.0,--,--,--,100.0,0.0,10593
Long Flat (NSW),1105.0,--,--,--,100.0,0.0,12377
Byabarra,1333.0,--,--,--,95.8,4.2,10727
Ellenborough,1042.0,--,--,--,90.9,9.1,11401
Comboyne,1062.0,--,--,--,91.1,8.9,10992
Wauchope,1473.0,--,--,--,93.6,6.4,14197
Yippin Creek,1753.0,--,--,--,94.9,5.1,14515
Rosewood (Port Macquarie-Hastings - NSW),1950.0,--,--,--,91.3,8.7,13414
Beechwood,1517.0,--,--,--,91.9,8.1,10248
Redbank (NSW),1904.0,--,--,--,92.2,7.8,13336
Crosslands,1928.0,--,--,--,93.1,6.9,11127
King Creek,1950.0,--,--,--,90.6,9.4,12145
Sancrox,1667.0,--,--,--,95.7,4.3,13471
Craven,1948.0,--,--,--,100.0,0.0,11107
Stratford (NSW),920.0,--,--,--,100.0,0.0,13672
Forbesdale,1864.0,--,--,--,94.0,6.0,11539
Barrington (NSW),1733.0,--,--,--,93.9,6.1,10216
Manning Point,1430.0,--,--,--,100.0,0.0,12478
Oxley Island,1875.0,--,--,--,91.8,8.2,13109
Old Bar,1560.0,--,--,--,94.8,5.2,13073
Black Head,1642.0,--,--,--,97.3,2.7,10384
Red Head,1517.0,--,--,--,91.0,9.0,13329
Hallidays Point,1800.0,--,--,--,90.9,9.1,11832
Koorainghat,1385.0,--,--,--,88.9,11.1,12191
Tallwoods Village,1800.0,--,--,--,91.7,8.3,13737
Taree,1256.0,--,--,--,95.7,4.3,13764
Cundletown,1300.0,--,--,--,92.2,7.8,11161
Taree South,1626.0,--,--,--,92.2,7.8,13765
Glenthorne,1083.0,--,--,--,90.7,9.3,11680
Harrington,1430.0,--,--,--,96.5,3.5,11858
Wherrol Flat,1287.0,--,--,--,96.4,3.6,14271
Moto,585.0,--,--,--,100.0,0.0,12742
Moorland (NSW),1157.0,--,--,--,94.8,5.2,12714
Hannam Vale,1980.0,--,--,--,89.2,10.8,11849
Upper Lansdowne,1233.0,--,--,--,91.4,8.6,14033
Lansdowne (Mid-Coast - NSW),1083.0,--,--,--,87.8,12.2,12273
Kundle Kundle,1495.0,--,--,--,100.0,0.0,12211
Killabakh,1300.0,--,--,--,89.1,10.9,12128
Marlee,1400.0,--,--,--,100.0,0.0,12494
Elands,650.0,--,--,--,96.3,3.7,11388
Bobin,974.0,--,--,--,94.5,5.5,10427
Mount George (NSW),1029.0,--,--,--,94.4,5.6,12761
Killawarra (NSW),1551.0,--,--,--,94.0,6.0,12132
Burrell Creek,1300.0,--,--,--,93.9,6.1,10709
Bootawa,1257.0,--,--,--,94.3,5.7,10504
Mondrook,2025.0,--,--,--,94.6,5.4,12676
Hillville,1560.0,--,--,--,92.8,7.2,11913
Kimbriki,1425.0,--,--,--,91.1,8.9,12139
Krambach,1257.0,--,--,--,90.2,9.8,12202
Possum Brush,2350.0,--,--,--,93.0,7.0,13251
Dyers Crossing,1560.0,--,--,--,86.8,13.2,11338
Firefly,1300.0,--,--,--,95.1,4.9,11521
Coralville,1967.0,--,--,--,100.0,0.0,11064
Wingham,1245.0,--,--,--,93.5,6.5,14332
Thurgoona,1689.0,--,--,--,92.8,7.2,13856
East Albury,1517.0,--,--,--,96.0,4.0,11344
North Albury,1175.0,--,--,--,95.2,4.8,12977
Glenroy (Albury - NSW),1500.0,--,--,--,95.4,4.6,11678
Hamilton Valley,1560.0,--,--,--,90.9,9.1,11842
Albury,1625.0,--,--,--,96.6,3.4,10027
South Albury,1300.0,--,--,--,96.9,3.1,13573
West Albury,1326.0,--,--,--,96.5,3.5,14239
Splitters Creek,2000.0,--,--,--,93.8,6.2,13610
Jindera,1450.0,--,--,--,91.0,9.0,12032
Holbrook,1083.0,--,--,--,94.4,5.6,11920
Table Top,1950.0,--,--,--,88.7,11.3,13722
Brocklesby,697.0,--,--,--,95.0,5.0,10584
Walla Walla,1040.0,--,--,--,96.3,3.7,14097
Glenellen,1506.0,--,--,--,93.5,6.5,11663
Burrumbuttock,1300.0,--,--,--,92.9,7.1,10716
Walbundrie,467.0,--,--,--,92.7,7.3,14092
Morven (Greater Hume Shire - NSW),1268.0,--,--,--,89.1,10.9,12737
Culcairn,960.0,--,--,--,94.9,5.1,11147
Bungowannah,900.0,--,--,--,100.0,0.0,10686
Woomargama,1000.0,--,--,--,94.9,5.1,14413
Springdale Heights,1387.0,--,--,--,93.3,6.7,13622
Hay (NSW),952.0,--,--,--,96.7,3.3,11874
Hay South,1000.0,--,--,--,97.5,2.5,11875
Gol Gol,1517.0,--,--,--,94.0,6.0,11693
Buronga,1235.0,--,--,--,92.7,7.3,10696
Wentworth (NSW),888.0,--,--,--,96.9,3.1,14225
Coomealla,975.0,--,--,--,93.8,6.2,11041
Curlwaa,1029.0,--,--,--,92.5,7.5,11170
Euston,1100.0,--,--,--,93.2,6.8,11468
Pomona (NSW),925.0,--,--,--,100.0,0.0,13240
Tooleybuc,834.0,--,--,--,96.3,3.7,13902
Balranald,858.0,--,--,--,98.5,1.5,10168
Corowa,1245.0,--,--,--,96.5,3.5,11080
Mulwala,1343.0,--,--,--,95.1,4.9,12830
Balldale,997.0,--,--,--,90.9,9.1,10159
Rand,808.0,--,--,--,95.9,4.1,13311
Oaklands,867.0,--,--,--,93.4,6.6,13059
Urana,563.0,--,--,--,97.6,2.4,14052
Mayrung,0.0,--,--,--,87.0,13.0,12537
Mathoura,932.0,--,--,--,96.8,3.2,12522
Barham,1083.0,--,--,--,95.0,5.0,10199
Wakool,575.0,--,--,--,94.8,5.2,14090
Moulamein,715.0,--,--,--,97.1,2.9,12743
Koraleigh,740.0,--,--,--,91.3,8.7,12195
Conargo,754.0,--,--,--,100.0,0.0,10998
Murray Downs,1246.0,--,--,--,95.8,4.2,12852
Moama,1560.0,--,--,--,95.0,5.0,12654
Blighty,585.0,--,--,--,87.8,12.2,10412
Barooga,1344.0,--,--,--,95.5,4.5,10205
Tocumwal,1200.0,--,--,--,96.3,3.7,13886
Finley,875.0,--,--,--,95.4,4.6,11520
Berrigan,867.0,--,--,--,96.9,3.1,10318
Jerilderie,789.0,--,--,--,97.1,2.9,12014
Armidale,1452.0,--,--,--,96.2,3.8,10085
South Guyra,1127.0,--,--,--,91.3,8.7,13586
Llangothlin,1400.0,--,--,--,92.7,7.3,12364
Ben Lomond (NSW),867.0,--,--,--,90.0,10.0,10286
Hillgrove (Armidale Regional - NSW),988.0,--,--,--,100.0,0.0,11907
Ebor,596.0,--,--,--,100.0,0.0,11372
Uralla (NSW),1278.0,--,--,--,95.1,4.9,14051
Saumarez Ponds,1800.0,--,--,--,88.9,11.1,13495
Invergowrie,1647.0,--,--,--,91.5,8.5,11983
Arding,1560.0,--,--,--,100.0,0.0,10075
Castle Doyle,1600.0,--,--,--,94.2,5.8,10846
Dangarsleigh,1379.0,--,--,--,93.8,6.2,11200
Kellys Plains,1896.0,--,--,--,100.0,0.0,12087
Yarrowyck,1159.0,--,--,--,92.9,7.1,14492
Kentucky,1337.0,--,--,--,85.5,14.5,12102
Kentucky South,1274.0,--,--,--,93.8,6.2,12103
Balala,1100.0,--,--,--,92.9,7.1,10144
Woolbrook,725.0,--,--,--,93.8,6.2,14400
Nowendoc,1267.0,--,--,--,86.5,13.5,13026
Yarrowitch,172.0,--,--,--,100.0,0.0,14491
Stonehenge (NSW),1486.0,--,--,--,90.9,9.1,13665
Glen Innes,1083.0,--,--,--,95.3,4.7,11649
Emmaville,867.0,--,--,--,94.4,5.6,11414
Deepwater (NSW),650.0,--,--,--,92.4,7.6,11231
Dundee,867.0,--,--,--,92.7,7.3,11314
Red Range,813.0,--,--,--,90.4,9.6,13333
Shannon Vale,1219.0,--,--,--,93.3,6.7,13526
Glencoe (NSW),997.0,--,--,--,95.4,4.6,11657
Inverell,1287.0,--,--,--,95.6,4.4,11981
Ashford (NSW),650.0,--,--,--,95.7,4.3,10099
Tingha,867.0,--,--,--,97.7,2.3,13874
Yetman,639.0,--,--,--,91.3,8.7,14514
Bundarra,797.0,--,--,--,93.5,6.5,10671
Gilgai,1083.0,--,--,--,91.5,8.5,11618
Bonshaw (NSW),1289.0,--,--,--,100.0,0.0,10473
Coolatai,488.0,--,--,--,100.0,0.0,11028
Bukkulla,1083.0,--,--,--,85.4,14.6,10648
Oakwood (NSW),1344.0,--,--,--,89.1,10.9,13061
Nullamanna,1484.0,--,--,--,92.9,7.1,13032
Bingara,1049.0,--,--,--,96.1,3.9,10365
Gravesend,1000.0,--,--,--,91.3,8.7,11742
Gum Flat,1106.0,--,--,--,87.7,12.3,11796
Delungra,780.0,--,--,--,95.7,4.3,11234
Warialda,1029.0,--,--,--,97.0,3.0,14149
Yallaroi,651.0,--,--,--,100.0,0.0,14456
Warialda Rail,1874.0,--,--,--,100.0,0.0,14150
Upper Horton,575.0,--,--,--,100.0,0.0,14029
Tenterfield,1083.0,--,--,--,95.8,4.2,13792
Drake,446.0,--,--,--,95.6,4.4,11290
Liston,892.0,--,--,--,94.5,5.5,12346
Legume,1257.0,--,--,--,100.0,0.0,12296
Urbenville,921.0,--,--,--,97.2,2.8,14057
Woodenbong,867.0,--,--,--,96.6,3.4,14382
Jennings,542.0,--,--,--,92.1,7.9,12008
Moree,1304.0,--,--,--,96.6,3.4,12722
Garah,600.0,--,--,--,96.6,3.4,11586
Boomi,858.0,--,--,--,95.6,4.4,10489
Boggabilla,800.0,--,--,--,98.9,1.1,10441
North Star,309.0,--,--,--,100.0,0.0,13008
Mungindi (NSW),672.0,--,--,--,96.4,3.6,12843
Gurley,700.0,--,--,--,95.9,4.1,11817
Biniguy,585.0,--,--,--,92.3,7.7,10369
Bellata,869.0,--,--,--,100.0,0.0,10266
Narrabri,1517.0,--,--,--,95.0,5.0,12903
Wee Waa,1051.0,--,--,--,97.1,2.9,14211
Maules Creek,1279.0,--,--,--,100.0,0.0,12526
Baan Baa,1517.0,--,--,--,93.1,6.9,10120
Jacks Creek,1560.0,--,--,--,91.5,8.5,11993
Gwabegar,400.0,--,--,--,94.1,5.9,11823
Curlewis (NSW),1000.0,--,--,--,91.7,8.3,11169
Boggabri,1255.0,--,--,--,96.2,3.8,10442
Carroll,1150.0,--,--,--,100.0,0.0,10832
Breeza,566.0,--,--,--,100.0,0.0,10561
Caroona,439.0,--,--,--,100.0,0.0,10823
Spring Ridge,649.0,--,--,--,100.0,0.0,13619
Emerald Hill,1755.0,--,--,--,90.5,9.5,11412
Mullaley,800.0,--,--,--,94.2,5.8,12820
Kelvin,1842.0,--,--,--,90.6,9.4,12091
Werris Creek,919.0,--,--,--,96.3,3.7,14238
Quirindi,1200.0,--,--,--,96.2,3.8,13301
Wallabadah,1083.0,--,--,--,89.8,10.2,14098
Currabubula,1556.0,--,--,--,88.2,11.8,11172
Quipolly,1745.0,--,--,--,93.9,6.1,13300
Willow Tree,1000.0,--,--,--,90.0,10.0,14305
Hillvue,1589.0,--,--,--,94.3,5.7,11914
Calala,1650.0,--,--,--,93.4,6.6,10748
South Tamworth,1261.0,--,--,--,96.2,3.8,13597
North Tamworth,1603.0,--,--,--,96.0,4.0,13011
East Tamworth,1517.0,--,--,--,97.3,2.7,11363
Oxley Vale,1408.0,--,--,--,95.2,4.8,13111
Nemingha,1582.0,--,--,--,95.5,4.5,12926
Kootingal,1387.0,--,--,--,93.2,6.8,12194
Duri,1500.0,--,--,--,92.2,7.8,11332
Winton (NSW),2029.0,--,--,--,85.7,14.3,14336
Rushes Creek,2290.0,--,--,--,100.0,0.0,13445
Somerton (NSW),1092.0,--,--,--,96.7,3.3,13572
Attunga,1268.0,--,--,--,92.6,7.4,10105
Garthowen,2052.0,--,--,--,93.2,6.8,11593
Tintinhull,1600.0,--,--,--,95.4,4.6,13879
Loomberah,1800.0,--,--,--,91.3,8.7,12386
Moonbi,1517.0,--,--,--,93.7,6.3,12699
Bendemeer,1000.0,--,--,--,89.2,10.8,10289
Watsons Creek (NSW),1365.0,--,--,--,92.9,7.1,14188
Halls Creek (NSW),1202.0,--,--,--,89.4,10.6,11834
Barraba,650.0,--,--,--,98.0,2.0,10206
Upper Manilla,1021.0,--,--,--,90.0,10.0,14037
Manilla,1083.0,--,--,--,96.1,3.9,12474
Daruka,2100.0,--,--,--,92.0,8.0,11218
Moore Creek,2167.0,--,--,--,91.4,8.6,12710
Nundle,902.0,--,--,--,95.8,4.2,13043
Ogunbil,1400.0,--,--,--,92.3,7.7,13071
Dungowan,1700.0,--,--,--,89.3,10.7,11321
Piallamore,1517.0,--,--,--,85.7,14.3,13195
Timbumburi,2184.0,--,--,--,88.4,11.6,13870
Windale,1481.0,--,--,--,97.7,2.3,14315
Jewells,1842.0,--,--,--,93.6,6.4,12024
Belmont North,1734.0,--,--,--,91.8,8.2,10277
Blacksmiths,1733.0,--,--,--,95.8,4.2,10396
Pelican (NSW),1876.0,--,--,--,95.7,4.3,13178
Marks Point,1680.0,--,--,--,95.2,4.8,12492
Belmont South,1700.0,--,--,--,94.7,5.3,10278
Kahibah,1767.0,--,--,--,94.0,6.0,12048
Charlestown (NSW),1863.0,--,--,--,93.7,6.3,10885
Whitebridge,1825.0,--,--,--,94.7,5.3,14276
Dudley,2000.0,--,--,--,94.4,5.6,11300
Highfields (NSW),2167.0,--,--,--,94.2,5.8,11902
Garden Suburb,1950.0,--,--,--,93.8,6.2,11587
Cardiff (NSW),1690.0,--,--,--,93.3,6.7,10809
Hillsborough (Lake Macquarie - NSW),1863.0,--,--,--,93.2,6.8,11909
Warners Bay,1800.0,--,--,--,95.2,4.8,14153
Glendale (NSW),1613.0,--,--,--,94.2,5.8,11658
Macquarie Hills,1907.0,--,--,--,92.4,7.6,12434
Kotara,1894.0,--,--,--,94.3,5.7,12200
Cardiff Heights,1777.0,--,--,--,94.1,5.9,10810
New Lambton Heights,2054.0,--,--,--,93.7,6.3,12943
Rankin Park,1789.0,--,--,--,94.0,6.0,13315
Tingira Heights,1800.0,--,--,--,89.2,10.8,13875
Mount Hutton (NSW),1733.0,--,--,--,93.0,7.0,12766
Eleebana,2000.0,--,--,--,94.2,5.8,11393
Redhead,2037.0,--,--,--,96.4,3.6,13340
Swansea (NSW),1733.0,--,--,--,95.1,4.9,13711
Catherine Hill Bay,2167.0,--,--,--,95.2,4.8,10857
Murrays Beach,2253.0,--,--,--,91.3,8.7,12854
Croudace Bay,2234.0,--,--,--,94.5,5.5,11128
Speers Point,1841.0,--,--,--,93.7,6.3,13605
Lakelands (NSW),2100.0,--,--,--,95.8,4.2,12256
Boolaroo,1467.0,--,--,--,94.3,5.7,10482
Booragul,1521.0,--,--,--,92.5,7.5,10495
Fennell Bay,1615.0,--,--,--,92.5,7.5,11500
Marmong Point,1800.0,--,--,--,93.9,6.1,12498
Woodrising,1453.0,--,--,--,89.7,10.3,14391
Teralba,1538.0,--,--,--,93.5,6.5,13793
Fassifern (NSW),1600.0,--,--,--,94.9,5.1,11495
Balcolyn,1750.0,--,--,--,92.2,7.8,10145
Yarrawonga Park,1450.0,--,--,--,92.6,7.4,14487
Mirrabooka (NSW),1653.0,--,--,--,92.3,7.7,12647
Sunshine (NSW),1759.0,--,--,--,96.8,3.2,13694
Silverwater (Lake Macquarie - NSW),1842.0,--,--,--,92.9,7.1,13546
Bonnells Bay,1700.0,--,--,--,93.2,6.8,10468
Brightwaters,1827.0,--,--,--,95.5,4.5,10570
Morisset Park,2143.0,--,--,--,93.2,6.8,12724
Windermere Park,1517.0,--,--,--,90.6,9.4,14321
Edgeworth,1600.0,--,--,--,91.6,8.4,11381
Cameron Park,2167.0,--,--,--,89.6,10.4,10775
Cooranbong,1733.0,--,--,--,93.2,6.8,11052
Wyee,1733.0,--,--,--,91.6,8.4,14438
Morisset,1576.0,--,--,--,96.9,3.1,12723
Wyee Point,1842.0,--,--,--,88.7,11.3,14439
Mandalong,2025.0,--,--,--,91.7,8.3,12465
Dora Creek,1733.0,--,--,--,92.7,7.3,11277
Eraring,2169.0,--,--,--,88.6,11.4,11429
Blackalls Park,1625.0,--,--,--,93.7,6.3,10390
Toronto,1500.0,--,--,--,95.5,4.5,13918
Kilaben Bay,1950.0,--,--,--,94.1,5.9,12125
Awaba,1718.0,--,--,--,91.1,8.9,10118
Carey Bay,1977.0,--,--,--,94.3,5.7,10812
Buttaba,1961.0,--,--,--,89.2,10.8,10723
Rathmines,1613.0,--,--,--,92.0,8.0,13319
Wangi Wangi,1733.0,--,--,--,94.6,5.4,14135
Arcadia Vale,1647.0,--,--,--,90.1,9.9,10073
Balmoral (Lake Macquarie - NSW),1800.0,--,--,--,92.7,7.3,10166
Holmesville,1712.0,--,--,--,89.9,10.1,11924
Barnsley,1700.0,--,--,--,90.3,9.7,10204
Seahampton,1595.0,--,--,--,86.0,14.0,13511
West Wallsend,1625.0,--,--,--,91.4,8.6,14253
Adamstown Heights,2008.0,--,--,--,95.3,4.7,10017
Adamstown,1842.0,--,--,--,94.0,6.0,10016
Kotara South,1950.0,--,--,--,91.2,8.8,12201
Woodberry,1300.0,--,--,--,92.6,7.4,14377
Beresfield,1400.0,--,--,--,94.3,5.7,10301
Tarro,1478.0,--,--,--,94.2,5.8,13771
Hexham (NSW),1300.0,--,--,--,87.2,12.8,11898
Hamilton South,2167.0,--,--,--,97.0,3.0,11841
Broadmeadow,1712.0,--,--,--,94.5,5.5,10578
Hamilton East,2221.0,--,--,--,93.8,6.2,11839
Newcastle West,1740.0,--,--,--,96.4,3.6,12951
Hamilton North,1900.0,--,--,--,91.5,8.5,11840
Hamilton (NSW),1950.0,--,--,--,96.0,4.0,11838
New Lambton,1842.0,--,--,--,95.4,4.6,12942
Lambton,1777.0,--,--,--,95.4,4.6,12264
Jesmond,1558.0,--,--,--,97.4,2.6,12023
Fletcher (NSW),2200.0,--,--,--,88.9,11.1,11533
Minmi,1733.0,--,--,--,90.1,9.9,12638
Warabrook,1700.0,--,--,--,96.0,4.0,14140
Mayfield West,1680.0,--,--,--,94.0,6.0,12536
Mayfield (Newcastle - NSW),1698.0,--,--,--,93.8,6.2,12530
Merewether Heights,2167.0,--,--,--,95.7,4.3,12574
Merewether,2167.0,--,--,--,95.1,4.9,12573
Cooks Hill,1950.0,--,--,--,96.4,3.6,11019
Bar Beach,2435.0,--,--,--,95.1,4.9,10187
The Hill,1950.0,--,--,--,95.6,4.4,13826
Newcastle East,2600.0,--,--,--,94.3,5.7,12950
Carrington (Newcastle - NSW),1733.0,--,--,--,95.7,4.3,10830
Shortland,1517.0,--,--,--,92.9,7.1,13542
North Lambton,1625.0,--,--,--,95.1,4.9,12993
Stockton (NSW),1950.0,--,--,--,94.0,6.0,13662
Fern Bay,2167.0,--,--,--,96.4,3.6,11501
Fullerton Cove,2189.0,--,--,--,94.1,5.9,11575
Wallsend,1647.0,--,--,--,94.6,5.4,14118
Georgetown (NSW),1831.0,--,--,--,93.0,7.0,11603
Waratah West,1733.0,--,--,--,95.2,4.8,14142
Wickham (NSW),1761.0,--,--,--,95.4,4.6,14285
Maryville,1893.0,--,--,--,93.3,6.7,12518
West Ballina,1512.0,--,--,--,95.8,4.2,14240
Wardell,1343.0,--,--,--,91.3,8.7,14144
East Wardell,1473.0,--,--,--,96.6,3.4,11365
Meerschaum Vale,1480.0,--,--,--,93.6,6.4,12556
Dalwood (Ballina - NSW),2292.0,--,--,--,89.9,10.1,11195
Marom Creek,1387.0,--,--,--,90.7,9.3,12499
Rous,1330.0,--,--,--,94.5,5.5,13427
Pimlico (NSW),1560.0,--,--,--,87.5,12.5,13207
Coolgardie (NSW),2000.0,--,--,--,76.7,23.3,11031
Keith Hall,1950.0,--,--,--,84.8,15.2,12086
Uralba,1967.0,--,--,--,92.1,7.9,14050
Tuckombil,1850.0,--,--,--,86.4,13.6,13947
Fernleigh,1777.0,--,--,--,89.5,10.5,11508
Tintenbar,2000.0,--,--,--,89.0,11.0,13878
Cumbalum,2000.0,--,--,--,86.3,13.7,11154
Brooklet,2000.0,--,--,--,88.0,12.0,10598
Knockrow,1500.0,--,--,--,89.7,10.3,12178
Newrybar,1733.0,--,--,--,93.6,6.4,12957
Alstonvale,1950.0,--,--,--,95.7,4.3,10045
Teven,2167.0,--,--,--,91.0,9.0,13807
Pearces Creek,1733.0,--,--,--,89.3,10.7,13170
Rous Mill,1192.0,--,--,--,95.6,4.4,13428
Ewingsdale,2000.0,--,--,--,88.6,11.4,11474
Eureka (NSW),2100.0,--,--,--,92.8,7.2,11461
Coorabell,3000.0,--,--,--,93.6,6.4,11051
Possum Creek,1411.0,--,--,--,84.8,15.2,13252
Bangalow,1800.0,--,--,--,90.5,9.5,10174
Coopers Shoot,2225.0,--,--,--,94.3,5.7,11049
Talofa,1465.0,--,--,--,100.0,0.0,13739
Federal (NSW),1600.0,--,--,--,90.2,9.8,11499
Ocean Shores,1724.0,--,--,--,90.2,9.8,13070
Tyagarah,1700.0,--,--,--,92.6,7.4,13993
New Brighton,1777.0,--,--,--,92.6,7.4,12939
South Golden Beach,1775.0,--,--,--,88.3,11.7,13581
Wooyung,1630.0,--,--,--,89.1,10.9,14418
Suffolk Park,2000.0,--,--,--,91.0,9.0,13684
Broken Head,1326.0,--,--,--,95.3,4.7,10591
Woodburn (Richmond Valley - NSW),1276.0,--,--,--,93.1,6.9,14379
Rileys Hill,1625.0,--,--,--,80.0,20.0,13364
Evans Head,1517.0,--,--,--,96.5,3.5,11469
Bungawalbin,770.0,--,--,--,89.2,10.8,10683
New Italy,1183.0,--,--,--,88.7,11.3,12941
Lennox Head,1992.0,--,--,--,92.0,8.0,12303
Billinudgel,1907.0,--,--,--,90.3,9.7,10355
The Pocket,2004.0,--,--,--,88.9,11.1,13834
Middle Pocket,1733.0,--,--,--,90.5,9.5,12606
Upper Main Arm,1993.0,--,--,--,94.3,5.7,14035
Mullumbimby,1560.0,--,--,--,90.7,9.3,12828
Mullumbimby Creek,1290.0,--,--,--,93.9,6.1,12829
Wilsons Creek,1689.0,--,--,--,84.6,15.4,14310
Goonengerry,1333.0,--,--,--,90.1,9.9,11712
Huonbrook,1477.0,--,--,--,100.0,0.0,11962
Whian Whian,1160.0,--,--,--,90.2,9.8,14272
Yorklea,1255.0,--,--,--,92.4,7.6,14517
Casino,1257.0,--,--,--,95.8,4.2,10843
North Casino,1760.0,--,--,--,85.9,14.1,12987
Fairy Hill,1559.0,--,--,--,91.7,8.3,11483
Bonalbo,650.0,--,--,--,94.3,5.7,10463
Coraki,1127.0,--,--,--,94.3,5.7,11063
Mallanganee,650.0,--,--,--,92.1,7.9,12457
Backmede,1700.0,--,--,--,93.0,7.0,10130
Stratheden,1300.0,--,--,--,88.4,11.6,13674
Woodview,1117.0,--,--,--,100.0,0.0,14397
Spring Grove,1588.0,--,--,--,97.0,3.0,13614
McKees Hill,1721.0,--,--,--,92.8,7.2,12543
Tatham,1539.0,--,--,--,82.2,17.8,13773
Ellangowan (NSW),1213.0,--,--,--,90.8,9.2,11400
Leeville,1365.0,--,--,--,88.1,11.9,12295
Shannon Brook,1400.0,--,--,--,90.9,9.1,13525
Rappville,1083.0,--,--,--,93.0,7.0,13318
Goonellabah,1517.0,--,--,--,93.4,6.6,11711
Eden Creek,1592.0,--,--,--,95.0,5.0,11376
West Wiangaree,2080.0,--,--,--,86.0,14.0,14254
Wiangaree,867.0,--,--,--,91.5,8.5,14283
Doubtful Creek,1101.0,--,--,--,93.2,6.8,11282
Ettrick (NSW),1207.0,--,--,--,87.2,12.8,11448
Kyogle,1200.0,--,--,--,93.9,6.1,12229
Cedar Point,1463.0,--,--,--,95.0,5.0,10871
Geneva,1430.0,--,--,--,93.9,6.1,11599
Upper Horseshoe Creek,932.0,--,--,--,90.9,9.1,14028
Barkers Vale,680.0,--,--,--,100.0,0.0,10201
Lillian Rock,802.0,--,--,--,92.3,7.7,12323
New Park,966.0,--,--,--,93.9,6.1,12945
Homeleigh,1647.0,--,--,--,91.4,8.6,11931
Green Pigeon,1000.0,--,--,--,93.6,6.4,11752
Collins Creek,874.0,--,--,--,89.1,10.9,10978
Lismore (NSW),1300.0,--,--,--,94.8,5.2,12344
Lismore Heights,1350.0,--,--,--,94.8,5.2,12345
South Lismore,1228.0,--,--,--,92.8,7.2,13589
Girards Hill,1288.0,--,--,--,94.4,5.6,11631
Monaltrie,1325.0,--,--,--,95.7,4.3,12674
Modanville,1584.0,--,--,--,87.0,13.0,12655
Terania Creek,1320.0,--,--,--,100.0,0.0,13794
The Channon,1322.0,--,--,--,91.5,8.5,13816
Koonorigan,1300.0,--,--,--,91.2,8.8,12188
Rosebank,1717.0,--,--,--,90.1,9.9,13401
Corndale (NSW),1767.0,--,--,--,87.3,12.7,11076
Tregeagle,1950.0,--,--,--,93.6,6.4,13933
Wyrallah,1625.0,--,--,--,89.6,10.4,14449
South Gundurimba,1361.0,--,--,--,94.4,5.6,13585
Caniaba,1795.0,--,--,--,92.4,7.6,10790
Blakebrook,1751.0,--,--,--,93.9,6.1,10402
Goolmangar,1343.0,--,--,--,90.5,9.5,11708
Keerrong,1617.0,--,--,--,100.0,0.0,12083
Tullera,1415.0,--,--,--,92.0,8.0,13956
Bexhill,1950.0,--,--,--,87.6,12.4,10333
Boat Harbour (Lismore - NSW),1545.0,--,--,--,91.3,8.7,10424
Eltham (NSW),1850.0,--,--,--,96.9,3.1,11409
Lindendale,2102.0,--,--,--,89.7,10.3,12336
Nimbin,1083.0,--,--,--,92.1,7.9,12965
Stony Chute,1083.0,--,--,--,94.8,5.2,13667
Blue Knob,1170.0,--,--,--,96.8,3.2,10416
Tuntable Creek,1200.0,--,--,--,90.8,9.2,13971
Coffee Camp,984.0,--,--,--,95.9,4.1,10958
Tucki Tucki,1918.0,--,--,--,87.5,12.5,13946
