,Male,Female,Median age,Male (%),Female (%),Median age (%),SSC_CODE
Blackwall (NSW),46.0,54.0,18.0,46.0,54.0,--,10399
Wyoming,164.0,190.0,18.0,46.3,53.7,--,14445
Bateau Bay,195.0,215.0,20.0,47.6,52.4,--,10227
Killarney Vale,176.0,169.0,21.0,51.0,49.0,--,12131
Blue Haven,231.0,241.0,18.0,48.9,51.1,--,10415
San Remo (NSW),190.0,176.0,18.0,51.9,48.1,--,13470
Doyalson,14.0,8.0,23.0,63.6,36.4,--,11286
Buff Point,110.0,98.0,22.0,52.9,47.1,--,10645
Budgewoi,98.0,99.0,19.0,49.7,50.3,--,10642
Halekulani,76.0,81.0,22.0,48.4,51.6,--,11830
Glenning Valley,21.0,33.0,18.0,38.9,61.1,--,11672
Berkeley Vale,174.0,189.0,23.0,47.9,52.1,--,10304
Chittaway Point,19.0,16.0,20.0,54.3,45.7,--,10912
Chittaway Bay,61.0,48.0,21.0,56.0,44.0,--,10911
Kanwal,95.0,99.0,20.0,49.0,51.0,--,12067
Wyongah,53.0,44.0,19.0,54.6,45.4,--,14448
Tuggerawong,35.0,36.0,26.0,49.3,50.7,--,13951
Rocky Point (NSW),12.0,10.0,32.0,54.5,45.5,--,13388
Gorokan,239.0,213.0,21.0,52.9,47.1,--,11721
Charmhaven,89.0,98.0,17.0,47.6,52.4,--,10889
Lake Haven,107.0,129.0,25.0,45.3,54.7,--,12247
Jilliby,11.0,14.0,19.0,44.0,56.0,--,12027
Yarramalong,0.0,3.0,12.0,0.0,100.0,--,14475
Cedar Brush Creek,3.0,5.0,46.0,37.5,62.5,--,10867
Wyong Creek,7.0,14.0,36.0,33.3,66.7,--,14447
Dooralong,13.0,3.0,36.0,81.2,18.8,--,11276
Lake Munmorah,102.0,112.0,21.0,47.7,52.3,--,12253
Chain Valley Bay,49.0,44.0,21.0,52.7,47.3,--,10880
Mannering Park,60.0,84.0,20.0,41.7,58.3,--,12477
Doyalson North,3.0,3.0,55.0,50.0,50.0,--,11287
Ourimbah,49.0,63.0,22.0,43.8,56.2,--,13103
Fountaindale,8.0,4.0,19.0,66.7,33.3,--,11554
Gwandalan,82.0,97.0,20.0,45.8,54.2,--,11824
Summerland Point,48.0,53.0,28.0,47.5,52.5,--,13690
Long Jetty,137.0,159.0,22.0,46.3,53.7,--,12378
Shelly Beach (NSW),18.0,27.0,25.0,40.0,60.0,--,13535
Blue Bay,7.0,19.0,21.0,26.9,73.1,--,10414
The Entrance North,28.0,25.0,32.0,52.8,47.2,--,13819
Magenta (NSW),12.0,3.0,24.0,80.0,20.0,--,12441
The Entrance,107.0,110.0,21.0,49.3,50.7,--,13818
Toukley,131.0,121.0,22.0,52.0,48.0,--,13925
Canton Beach,25.0,13.0,43.0,65.8,34.2,--,10798
Noraville,83.0,82.0,23.0,50.3,49.7,--,12974
Norah Head,18.0,17.0,30.0,51.4,48.6,--,12973
Kangy Angy,5.0,0.0,29.0,100.0,0.0,--,12064
Tuggerah,24.0,13.0,28.0,64.9,35.1,--,13950
Wyong,135.0,138.0,24.0,49.5,50.5,--,14446
Mardi,61.0,60.0,19.0,50.4,49.6,--,12488
Tacoma South,9.0,6.0,28.0,60.0,40.0,--,13725
Hamlyn Terrace,132.0,161.0,17.0,45.1,54.9,--,11843
Woongarrah,106.0,99.0,17.0,51.7,48.3,--,14415
Warnervale,9.0,19.0,18.0,32.1,67.9,--,14154
Wallarah,9.0,7.0,19.0,56.2,43.8,--,14109
Wadalba,73.0,75.0,19.0,49.3,50.7,--,14080
Watanobbi,142.0,136.0,23.0,51.1,48.9,--,14181
Tacoma,13.0,17.0,23.0,43.3,56.7,--,13724
Llanarth (NSW),22.0,31.0,15.0,41.5,58.5,--,12362
South Bathurst,42.0,47.0,21.0,47.2,52.8,--,13577
Bathurst,156.0,164.0,21.0,48.8,51.2,--,10231
Robin Hill,12.0,5.0,21.0,70.6,29.4,--,13375
West Bathurst,132.0,137.0,20.0,49.1,50.9,--,14241
Mitchell (NSW),174.0,22.0,28.0,88.8,11.2,--,12650
Gormans Hill,28.0,25.0,24.0,52.8,47.2,--,11720
Abercrombie,13.0,26.0,20.0,33.3,66.7,--,10004
Eglinton (NSW),32.0,32.0,17.0,50.0,50.0,--,11386
Windradyne,82.0,86.0,20.0,48.8,51.2,--,14324
Raglan (NSW),40.0,31.0,21.0,56.3,43.7,--,13304
White Rock (NSW),5.0,0.0,15.0,100.0,0.0,--,14275
Kelso (NSW),325.0,368.0,17.0,46.9,53.1,--,12090
O'Connell (NSW),3.0,9.0,41.0,25.0,75.0,--,13052
Trunkey Creek,3.0,5.0,6.0,37.5,62.5,--,13942
Perthville,12.0,16.0,28.0,42.9,57.1,--,13189
Sofala,5.0,3.0,19.0,62.5,37.5,--,13569
Wattle Flat (NSW),7.0,11.0,20.0,38.9,61.1,--,14191
Georges Plains,0.0,5.0,22.0,0.0,100.0,--,11602
Billywillinga,3.0,3.0,32.0,50.0,50.0,--,10357
Mount Rankin,5.0,3.0,24.0,62.5,37.5,--,12786
Yetholme,5.0,5.0,13.0,50.0,50.0,--,14513
Meadow Flat,9.0,3.0,19.0,75.0,25.0,--,12549
Tarana,0.0,3.0,30.0,0.0,100.0,--,13760
Glanmire (NSW),4.0,4.0,20.0,50.0,50.0,--,11640
Oberon,55.0,56.0,24.0,49.5,50.5,--,13068
Black Springs (NSW),9.0,4.0,10.0,69.2,30.8,--,10389
Condobolin,343.0,435.0,21.0,44.1,55.9,--,11002
Tullamore,13.0,10.0,30.0,56.5,43.5,--,13954
Lake Cargelligo,120.0,119.0,22.0,50.2,49.8,--,12242
Tullibigeal,4.0,3.0,21.0,57.1,42.9,--,13957
Ungarie,10.0,14.0,12.0,41.7,58.3,--,14011
Euabalong,18.0,19.0,23.0,48.6,51.4,--,11449
Fifield,11.0,11.0,25.0,50.0,50.0,--,11514
Tottenham (NSW),15.0,8.0,44.0,65.2,34.8,--,13923
Cowra,434.0,421.0,23.0,50.8,49.2,--,11099
Canowindra,42.0,31.0,20.0,57.5,42.5,--,10796
Woodstock (Cowra - NSW),29.0,29.0,22.0,50.0,50.0,--,14394
Gooloogong,3.0,0.0,49.0,100.0,0.0,--,11709
Mandurama,3.0,10.0,8.0,23.1,76.9,--,12467
Wattamondara,6.0,0.0,53.0,100.0,0.0,--,14190
Darbys Falls,13.0,11.0,28.0,54.2,45.8,--,11205
Billimari,7.0,3.0,47.0,70.0,30.0,--,10354
Forbes (NSW),485.0,531.0,22.0,47.7,52.3,--,11536
Eugowra,20.0,23.0,26.0,46.5,53.5,--,11454
Bedgerabong,3.0,0.0,46.0,100.0,0.0,--,10247
Grenfell,42.0,25.0,29.0,62.7,37.3,--,11776
Greenethorpe,9.0,3.0,10.0,75.0,25.0,--,11760
Quandialla,7.0,0.0,26.0,100.0,0.0,--,13290
Caragabal,3.0,5.0,18.0,37.5,62.5,--,10806
Parkes (NSW),538.0,543.0,19.0,49.8,50.2,--,13151
Cookamidgera,3.0,5.0,43.0,37.5,62.5,--,11016
Peak Hill (NSW),122.0,144.0,23.0,45.9,54.1,--,13166
Trundle,22.0,26.0,30.0,45.8,54.2,--,13940
Bogan Gate,5.0,11.0,32.0,31.2,68.8,--,10438
Alectown,6.0,5.0,62.0,54.5,45.5,--,10029
West Wyalong,73.0,78.0,20.0,48.3,51.7,--,14256
Wyalong,23.0,22.0,27.0,51.1,48.9,--,14431
Weethalle,5.0,6.0,25.0,45.5,54.5,--,14215
Tallimba,4.0,0.0,11.0,100.0,0.0,--,13732
Barellan,26.0,16.0,17.0,61.9,38.1,--,10197
Ardlethan,3.0,6.0,8.0,33.3,66.7,--,10076
Ariah Park,5.0,4.0,27.0,55.6,44.4,--,10081
Barmedman,16.0,17.0,17.0,48.5,51.5,--,10202
South Bowenfels,16.0,24.0,22.0,40.0,60.0,--,13578
Marrangaroo,87.0,10.0,28.0,89.7,10.3,--,12502
Lithgow,109.0,133.0,26.0,45.0,55.0,--,12347
Bowenfels,96.0,97.0,22.0,49.7,50.3,--,10529
Rydal,4.0,0.0,10.0,100.0,0.0,--,13452
Pottery Estate,4.0,6.0,29.0,40.0,60.0,--,13254
Oakey Park,7.0,15.0,31.0,31.8,68.2,--,13055
Morts Estate,21.0,22.0,32.0,48.8,51.2,--,12732
Hermitage Flat,3.0,3.0,36.0,50.0,50.0,--,11895
McKellars Park,18.0,6.0,32.0,75.0,25.0,--,12544
South Littleton,4.0,8.0,21.0,33.3,66.7,--,13590
Littleton,25.0,19.0,17.0,56.8,43.2,--,12360
Vale Of Clwydd,18.0,22.0,24.0,45.0,55.0,--,14064
Portland (NSW),86.0,79.0,19.0,52.1,47.9,--,13250
Lidsdale,20.0,19.0,22.0,51.3,48.7,--,12318
Wallerawang,56.0,52.0,21.0,51.9,48.1,--,14114
Little Hartley,0.0,0.0,19.0,0.0,0.0,--,12352
Hartley (NSW),13.0,7.0,24.0,65.0,35.0,--,11861
Glen Davis,5.0,4.0,12.0,55.6,44.4,--,11646
Cullen Bullen,7.0,3.0,42.0,70.0,30.0,--,11148
Capertee,3.0,3.0,38.0,50.0,50.0,--,10802
Running Stream,3.0,3.0,40.0,50.0,50.0,--,13441
Mudgee,355.0,320.0,19.0,52.6,47.4,--,12812
Burrundulla,3.0,3.0,12.0,50.0,50.0,--,10717
Spring Flat,3.0,7.0,34.0,30.0,70.0,--,13613
Kandos,29.0,34.0,25.0,46.0,54.0,--,12057
Rylstone,17.0,20.0,37.0,45.9,54.1,--,13457
Ilford,8.0,5.0,13.0,61.5,38.5,--,11971
Clandulla,8.0,8.0,16.0,50.0,50.0,--,10916
Charbon,10.0,7.0,22.0,58.8,41.2,--,10883
